"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
33926,318616440,944945,"Ross Stores Inc., Q4 2016 Earnings Call, Mar 01, 2016",2016-03-01,"Earnings Calls","Ross Stores, Inc.","Operator","Good afternoon, and welcome to the Ross Stores Fourth Quarter and Fiscal Year 2015 Earnings Release Conference Call. [Operator Instructions] Before we get started, on behalf of Ross Stores, I would like to note that the comments made on this call will c",138,"Good afternoon, and welcome to the Ross Stores Fourth Quarter and Fiscal Year 2015 Earnings Release Conference Call. [Operator Instructions] 
Before we get started, on behalf of Ross Stores, I would like to note that the comments made on this call will contain forward-looking statements regarding expectations about future growth and financial results, including sales and earnings forecasts and other matters that are based on the company's current forecast of aspects of its future business. These forward-looking statements are subject to risks and uncertainties that could cause actual results to differ materially from historical performance or current expectations. Risk factors are included in today's press release and the company's fiscal 2014 Form 10-K, Fiscal 2015 Form 10-Qs and 8-Ks on file with the SEC. 
Now I'd like to turn the call over to Barbara Rentler, Chief Executive Officer."
33926,318616440,944945,"Ross Stores Inc., Q4 2016 Earnings Call, Mar 01, 2016",2016-03-01,"Earnings Calls","Ross Stores, Inc.","Executives","Good afternoon. Joining me on our call today are Michael Balmuth, Executive Chairman; Michael O'Sullivan, President and Chief Operating Officer; Gary Cribb, Executive Vice President, Stores and Loss Prevention; John Call, Executive Vice President, Finance",532,"Good afternoon. Joining me on our call today are Michael Balmuth, Executive Chairman; Michael O'Sullivan, President and Chief Operating Officer; Gary Cribb, Executive Vice President, Stores and Loss Prevention; John Call, Executive Vice President, Finance and Legal; Michael Hartshorn, Group Senior Vice President and Chief Financial Officer; and Connie Kao, Senior Director of Investor Relations. 
We'll begin our call today with a review of our fourth quarter and 2015 performance, followed by our outlook for 2016. Afterwards, we'll be happy to respond to any questions you may have. 
As noted in today's press release, we are pleased with our sales and earnings results for the fourth quarter, which exceeded our expectations despite a highly promotional holiday selling environment. 
Additionally, we faced our most challenging sales comparisons from the prior year. Our results were driven by the competitive values we offered on a wide assortment of name-brand bargains and gifts throughout our store. 
Earnings per share for the fourth quarter grew 10% to $0.66 on net earnings that rose 6% to $264 million. 
Sales for the quarter increased 7% to $3,251,000,000, with comparable store sales up 4% on top of last year's 6% gain. 
For the 2015 fiscal year, earnings per share grew 14% to $2.51 on top of strong multi-year increases. Net earnings rose 10% to $1,021,000,000, with comparable sales up 4% for the year.
 dd's DISCOUNTS also posted better-than-expected gain in sales and operating profit for both the quarter and year. As customers continue to respond positively to their value offering. 
Sportswear was the best-performing merchandise category at Ross for the fourth quarter, while the Midwest was the strongest region. 
Our fourth quarter operating margin of 12.7% was down from last year as improved merchandise margins and strong expense control were more than offset by the timing of packaway-related costs. 
For the full year, however, we are pleased that operating margin increased 10 basis points to a record 13.6%. 
As we ended 2015, total consolidated inventories were up 3% over the prior year with packaway levels of 47% of total inventory compared to 45% last year. 
Average in-store inventories were down approximately 2% at year-end. 
During the fourth quarter, we repurchased 3.2 million shares of common stock for a total price of $170 million. 
For the full year, we repurchased 13.7 million shares for an aggregate price of $700 million. We expect to complete the $700 million remaining under our current 2-year, $1.4 billion program by the end of fiscal 2016. 
As noted in today's release, our board recently approved an increase in our quarterly cash dividend to $0.135 per share, up 15% on top of an 18% increase last year. The continued growth of our shareholder payouts reflects our ongoing confidence in the company's ability to generate significant amounts of cash after funding our growth and the other capital needs of our business. 
We have repurchased stock as planned every year since 1993 and raised our cash dividend annually since its inception in 1994. This consistent record reflects our unwavering commitment to enhancing stockholder value and return. 
Now Michael Hartshorn will provide further color on our 2015 results and details on our fiscal 2016 full year and first quarter guidance."
33926,318616440,944945,"Ross Stores Inc., Q4 2016 Earnings Call, Mar 01, 2016",2016-03-01,"Earnings Calls","Ross Stores, Inc.","Executives","Thank you, Barbara. Let's start with our fourth quarter results. Our 4% comparable store sales gain was driven by a combination of higher traffic and an increase in the size of the average basket. As Barbara mentioned, while full year operating margin w",619,"Thank you, Barbara. Let's start with our fourth quarter results. Our 4% comparable store sales gain was driven by a combination of higher traffic and an increase in the size of the average basket. 
As Barbara mentioned, while full year operating margin was up 10 basis points compared to last year, fourth quarter operating margin declined 45 basis points to 12.7%. 
Cost of goods sold increased 75 basis points in the quarter, driven by 100 basis points of higher distribution expenses due to the timing of packaway-related costs that benefited earnings earlier in the year. Freight and buying expenses also rose 15 and 5 basis points, respectively. 
These increases were partially offset by merchandise margin improvement of 35 basis points from the prior year and 10 basis points of lower occupancy costs. Selling, general and administrative expenses during the period improved by 30 basis points, benefiting from strong cost control and leverage on the 4% comparable store sales increase. 
Our tax rate for the quarter was lower-than-expected due to the passage of federal tax credit legislation and also the favorable resolution of a state tax matter. 
Let's turn now to our guidance for the upcoming quarter and year. Earnings per share for fiscal 2016 are forecast to be in the range of $2.59 to $2.71, up 3% to 8% from $2.51 in fiscal 2015. 
The operating statement assumptions for fiscal 2016 include the following: Total sales are forecast to grow 4% to 5% on a comparable store sales increase of 1% to 2%. We expect to add about 70 Ross and 20 dd's DISCOUNTS locations. As usual, these numbers do not reflect our plans to close or relocate about 10 older stores. 
If same-store sales are in line with our guidance of up 1% to 2%, then we would project operating margin for 2016 to be 13.5% to 13.7%. This forecast calls for a slight increase in merchandise margin that would offset some deleveraging on operating costs. Net interest expense is estimated to be $17 million, our tax rate is projected to be approximately 37% to 38%. We expect average diluted shares outstanding to be about $395 million. 
Capital expenditures in 2016 are projected to be approximately $425 million, and depreciation and amortization expense inclusive of stock-based amortization is forecast to be about $385 million, up from $346 million in 2015. 
Lastly, our guidance includes our plans to raise the minimum wage for eligible hourly associates to $10 per hour in the second quarter of 2016, up from the current $9 minimum. 
These wage adjustments will help keep us competitive in our hiring practices and enhance our ability to retain talented associates to provide the shopping experience our customers have come to expect. 
Let's move now to our first quarter guidance. We are projecting same-store sales to be up 1% to 2% and earnings per share to be flat to up 4% at $0.69 to $0.72. 
Following are the assumption that support this range. Total sales are projected to increase 4% to 5%, we expect to open 22 new Ross and 6 dd's DISCOUNTS locations during the quarter. 
First quarter operating margin is projected to be 15.0% to 15.2% compared to last year's 15.7%. The forecasted decline is mainly from the timing of packaway-related costs that benefited the first quarter last year and also the impact of a new distribution center that opened in the second quarter of 2015. 
In addition, net interest expense for the quarter is estimated to be about $4.5 million, our tax rate is expected to be approximately 38% to 39%, and weighted average diluted shares outstanding are projected to be around 400 million. 
Now I'll turn the call back to Barbara for closing comments."
33926,318616440,944945,"Ross Stores Inc., Q4 2016 Earnings Call, Mar 01, 2016",2016-03-01,"Earnings Calls","Ross Stores, Inc.","Executives","Thank you, Michael. We are very pleased with our strong performance in 2015 as we were, once again, are able to convert our better-than-expected revenue gains into solid double-digit earnings per share growth. These results are due to the resilience of ou",259,"Thank you, Michael. We are very pleased with our strong performance in 2015 as we were, once again, are able to convert our better-than-expected revenue gains into solid double-digit earnings per share growth. These results are due to the resilience of our off-price business model and our testament to the talented people we have throughout our organization. They have demonstrated, once again, their ability to deliver compelling bargains to our customers, which will always be the key to success in our business. 
As we move into 2016, we are well positioned to take advantage of the best opportunities in the marketplace. However, we continue to face our own challenging multi-year sales and earnings comparison. And with the increasing, uncertain and volatile macroeconomic climate, it doesn't appear that the retail landscape will get any less competitive or promotional in 2016. 
So while we hope to do better, we believe it's prudent to maintain a conservative posture when forecasting our business for this year. 
As we look ahead over the longer term, we remain confident in our ability to deliver average annual earnings per share gain in the low double-digit percentage range. This view is rooted in our belief that the off-price sector will remain a strong performing segment of retail, especially given consumers' ongoing focus on values. 
Equally important is our proven ability over time to maximize our favorable industry position by delivering the exceptional values our customers have come to expect. 
At this point, we'd like to open up the call and respond to any questions you might have."
33926,318616440,944945,"Ross Stores Inc., Q4 2016 Earnings Call, Mar 01, 2016",2016-03-01,"Earnings Calls","Ross Stores, Inc.","Operator","[Operator Instructions] Your first question comes from the line of Michael Binetti from UBS.",14,"[Operator Instructions] Your first question comes from the line of Michael Binetti from UBS."
33926,318616440,944945,"Ross Stores Inc., Q4 2016 Earnings Call, Mar 01, 2016",2016-03-01,"Earnings Calls","Ross Stores, Inc.","Analysts","Would you help us think about the timing shift that you pointed to with the merch margins up and the packaway, I guess, taking away a little bit of that merch margin upside that we saw and how to think about those dynamics as we go forward into the -- at",59,"Would you help us think about the timing shift that you pointed to with the merch margins up and the packaway, I guess, taking away a little bit of that merch margin upside that we saw and how to think about those dynamics as we go forward into the -- at least into the first half of 2016, please?"
33926,318616440,944945,"Ross Stores Inc., Q4 2016 Earnings Call, Mar 01, 2016",2016-03-01,"Earnings Calls","Ross Stores, Inc.","Executives","Yes, as we mentioned on the call Michael, it's Michael Hartshorn, for the quarter, it impacted us by about 100 basis points. And to walk through that timing of what happened during the year. Q1, we got about $0.03 benefit last year; Q3, we've got about $0",107,"Yes, as we mentioned on the call Michael, it's Michael Hartshorn, for the quarter, it impacted us by about 100 basis points. And to walk through that timing of what happened during the year. Q1, we got about $0.03 benefit last year; Q3, we've got about $0.01 and then Q4 went $0.05 was a charge to earnings. So as we think about it going forward in the first quarter as we called out in our guidance, we expect some headwind in the first quarter. It's hard to predict how it will fall out during the rest of the year, and that's based on market availability of merchandise."
33926,318616440,944945,"Ross Stores Inc., Q4 2016 Earnings Call, Mar 01, 2016",2016-03-01,"Earnings Calls","Ross Stores, Inc.","Analysts","Right. And it sounds like you're pleased with the inventory available in the channel, in the quarter as you head into the first half of the year. I'm trying to think about areas where you perhaps that will see -- as we walk around the stores here in the f",80,"Right. And it sounds like you're pleased with the inventory available in the channel, in the quarter as you head into the first half of the year. I'm trying to think about areas where you perhaps that will see -- as we walk around the stores here in the first quarter, where are some of the areas that we're going to see that you found to be more readily available perhaps than you thought as we get into the year?"
33926,318616440,944945,"Ross Stores Inc., Q4 2016 Earnings Call, Mar 01, 2016",2016-03-01,"Earnings Calls","Ross Stores, Inc.","Executives","Actually, I think the availability, Michael, is pretty broad-based. I mean, it's really when you think about the sectors of the market where business was difficult, it's apparel, and it's home, so we feel that opportunity is in our business.",40,"Actually, I think the availability, Michael, is pretty broad-based. I mean, it's really when you think about the sectors of the market where business was difficult, it's apparel, and it's home, so we feel that opportunity is in our business."
33926,318616440,944945,"Ross Stores Inc., Q4 2016 Earnings Call, Mar 01, 2016",2016-03-01,"Earnings Calls","Ross Stores, Inc.","Analysts","Okay. And if I could just sneak in one final one, obviously, we get a lot of questions about new entrants coming into off price and everyone seems focused on getting their fair share of the growth that you talked about and the optimism you have in the cat",85,"Okay. And if I could just sneak in one final one, obviously, we get a lot of questions about new entrants coming into off price and everyone seems focused on getting their fair share of the growth that you talked about and the optimism you have in the category longer term. In the markets where you have seen rising count of competitors throw somehow into the off price umbrella, would you mind talking about sales dynamics, the competitive dynamics that you've seen in those markets?"
