"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
18711,321971776,926544,"The Allstate Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","The Allstate Corporation","Operator","Good day, ladies and gentlemen, and welcome to the Allstate Fourth Quarter 2015 Earnings Conference Call. [Operator Instructions] As a reminder, today's program is being recorded. I would now like to introduce your host for today's program, Mr. Pat Macell",48,"Good day, ladies and gentlemen, and welcome to the Allstate Fourth Quarter 2015 Earnings Conference Call. [Operator Instructions] As a reminder, today's program is being recorded. I would now like to introduce your host for today's program, Mr. Pat Macellaro, Vice President of Investor Relations. Please go ahead."
18711,321971776,926544,"The Allstate Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","The Allstate Corporation","Executives","Thank you, Jonathan. Good morning, and welcome, everyone, to Allstate's Fourth Quarter 2015 Earnings Conference Call. After prepared remarks by Tom Wilson, Steve Shebik and myself, we'll have a question and answer session. Yesterday, following the close o",186,"Thank you, Jonathan. Good morning, and welcome, everyone, to Allstate's Fourth Quarter 2015 Earnings Conference Call. After prepared remarks by Tom Wilson, Steve Shebik and myself, we'll have a question and answer session. Yesterday, following the close of the market, we issued our news release and investor supplement and posted the results presentation we'll use this morning in conjunction with our prepared remarks. All documents are available on our website at allstateinvestors.com. Claim to file our 2015 Form 10-K later this month. As noted on the first slide, our discussion today will contain forward-looking statements regarding Allstate's operations. Allstate's results may differ materially from these statements. So please refer to our 10-K for 2014, the slides and our most recent news release for information on potential risks. Also, this discussion will contain some non-GAAP measures for which there are reconciliations in our news release and in our investor supplement. We're recording the call today and the replay will be available following its conclusion. I'll be available to answer any follow-up questions you may have after the call. And now I'll turn it over to Tom Wilson."
18711,321971776,926544,"The Allstate Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","The Allstate Corporation","Executives","Good morning. Thank you for our investing time to keep up on our progress at Allstate. I'll cover an overview of the results, and then, Pat and Steve will take you through the details. Our comments today are more detailed on 4 topics to make sure we provi",1396,"Good morning. Thank you for our investing time to keep up on our progress at Allstate. I'll cover an overview of the results, and then, Pat and Steve will take you through the details. Our comments today are more detailed on 4 topics to make sure we provide you with good transparency. I will spend some time discussing our rationale for 2016 underlying combined ratio outlook, Pat will provide more detail on our profitability plans, and Steve will discuss the asset liability investment decisions including Allstate's financial and operating income and the impact that has the operating income. And then, Steve's also going to provide some perspective on the overall investment portfolio. That will include both the investments we're in including limited partnership and energy. Also in the room today to answer any questions then any and all topics are Matt Winter; Don Civgin leads our Emerging Businesses; Judith Greffin, our Chief Investment Officer; and Sam our Corporate Controller. 
So let's begin on Slide 2. We finished 2015 with a strong fourth quarter that was driven by our reposition to homeowners business, continued progress in executing our auto insurance profit improvement plan and reducing expenses. The underlying Property-Liability combined ratio for the fourth quarter was 87.4, which brought our full year results to 88.7, which was within the original annual outlook range we gave last year at this time. The reported combined ratio in the fourth quarter was 92.0, which generated $611 million of underwriting income. The comprehensive program we implemented shortly after a significant increase in auto accident frequency and claim severity includes seeking higher approval for auto insurance prices making changes to our underwriting standards to slow new business growth and addressing underperforming segments both of those and reducing expenses. This proactive approach, however, did not offset the impact to the external trends, and underwriting profits from our auto insurance declined significantly in 2015. 
Continued strong results from homeowners insurance and moderate catastrophe losses resulted in operating from $1.60 per diluted common share for the quarter and $5.19 for the full year.
The return on equity on an operating income basis was 11.6% in 2015, down 1% on the prior year. Common shareholders received $691 million in cash during the fourth quarter and $3.3 billion for the full year to a combination of common share dividends and share repurchases.
We move to the chart on the slide. Revenues were up 1.2% for 2015, and profit liability premiums grew by 4.8%. Net investment income declined 8.8% compared to the prior year that reflects a smaller which is due to the sale of benefit in April 2014 and the continued downsizing of our annuity business. Lower interest income, which resulted from shortening the duration of our fixed income portfolio and a slight decline in income for performance-based investment. Net income for the year was $2.055 billion, which was $5.05 per diluted common share. 
Go to Slide 3. It shows our full year operating results for our 4 Property-Liability customers segments. So total policy imposed growth across all brands as 1.3% in 2015, as you can see at the top, and the recorded combined ratio was 94.9. The Allstate brand, which is in the lower left is our largest segment and comprises 90% of premiums written, and it serves customers who prefer branded product and value local advice and assitance. Allstate brand total policies in force in 2015 were 1.7% higher than 2014. Auto insurance, which is on that left-hand side of that box, new business and retention were both impacted by profit improvement actions. The policy still increased by 2.1% for the year. Homeowner policies grew over the prior year at a rate of 1.1%, and other personal lines grew by 2.7% compared to 2014. Underlying combined ratio was a strong 87.4 for this segment at year-end 2015, as you can see in the red box at bottom. 
Issuance in the lower right serves customers that preferred branded product for their comfortable handling their own insurance needs. Growth was slowed throughout 2015 in this segment as our focus shifted to profit improvement. Policies imposed were 1.4% higher at the end of 2015 in the prior year, and net written premium grew by 6.6%. The underlying loss ratio and issuance improved by 1.2 points in 2015 and in the year 75.4. As a result, the underlying combined ratio declined to 108.4, which includes about 4 points due to a number of expansion initiatives. Encompassing the upper left, competes for customers that want local advice, but are less concerned about their choice of insurance company. This business decreased in size in 2015, as policies imposed declined by 8.2% from a year over due to lower new business and retention, which is largely result of price increases and underwriting changes.
The net written premium declined of 2.8% for 2015. That reflects higher average premiums from increasing rate to improved returns. The underlying combined ratio was 92.6 for 2015, which was 1 point, 1 point better than the prior year. 
And the financial in the right upper right, that serves brand-new self-service customers, and potentially, an aggregator that does not underwrite insurance risks. Total nonproprietary written premiums are $581 million in 2015 were 10% higher than the prior year. 
So let's go to page, Slide 4. Looking forward to 2016, we expect our annual underlying combined ratio to be in the range of 88 to 90. It ranges comprised a number of key assumptions. First, we assume that we continue the improvement in auto insurance profitability across all 3 brands given the profit improvement actions we undertook in 2015 and that will continue in 2016. We do expect moderate increases in both auto accident frequency and claim severity, which reflects the broad-based trends we experienced in 2015. Third, we assume the homeowners underlying combined ratio will increase slightly from last year's level. And as our profit improvement -- improvements are realized the benefit of a lower combined ratio, we will continue to invest to generate long-term value, which will likely increase our expense ratio.
As you know, of course, predicting frequency and loss trends in a rapidly changing external environment difficult, as a result we put a range on our outlook every year. Now what you also know with that we react quickly to trends whether they are positive or negative to adapt our business priorities. So we're building long-term shareholder value. So our operating priorities for 2016 are designed to build long-term value. And as you can see, they're generally the same as 2015.
Serving our customers and generating returns and shareholder capital are 2 top priorities and they're central to our time. When we do these well, we grow insurance policies in force. We intentionally slowed auto insurance growth in 2015 to improve auto margins that new business typically has a higher loss ratio than more tenured business. New auto insurance buyings in Allstate Brand been declined by 24% in the fourth quarter as a result of higher underwriting, lower advertising and increased prices.
While these actions are necessary, they're also flexible. So our appetite for new business will increase as the auto profit improvement efforts translates into a lower commendation ratio. The largest factor in overall growth, however, is a rate of how which we retain customers. The auto retention rate declined in the fourth quarter in reflecting higher auto insurance prices. We're implementing actions to reduce the impact that will have on growth, but what competitors do in their pricing is also major driver and that's not controllable. So our 2016 growth plan in prospects vary by customer segments. Growth in the Allstate brand auto insurance will depend on the timing of the success with implementation of auto profitability actions and competitor's pricing actions.
The sooner we see a lower combined ratio, the sooner we will increase new business. We do have growth plans in place for homeowners and other personal lines policies given the attractive returns on those products. We expect Esurance and Allstate Benefits to continue to grow in 2016. Encompass had a decline in policies in 2015 and is not yet in a position to grow. So we're still committed to growing policies in force across the company, but it will be more difficult in 2016 and has been in the past.
Pat will now go through the Property-Liability results in more detail."
18711,321971776,926544,"The Allstate Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","The Allstate Corporation","Executives","Thanks, Tom. I'll start with a review of our Property-Liability results on Slide 5. Beginning with the chart on the top of this page, Property-Liability net written premium of $30.9 billion in 2015 grew $1.3 billion or 4.2% over 2014. Recorded combined ra",1602,"Thanks, Tom. I'll start with a review of our Property-Liability results on Slide 5. Beginning with the chart on the top of this page, Property-Liability net written premium of $30.9 billion in 2015 grew $1.3 billion or 4.2% over 2014. Recorded combined ratio for the year of 94.9 increased 1 point versus 2014, driven by an increase in auto losses, which was partially offset by lower expenses, strong homeowner underlying margins and catastrophe losses of $1.7 billion, which were 13.7% lower than 2014.
As Tom mentioned earlier, the year-end 2015 underlying combined ratio of 88.7, while 1.5 points higher than 2014, finished within our original annual guidance range given the strong results in the fourth quarter. Net investment income for the Property-Liability segment decreased 4.9% from the prior year due primarily to lower performance-based investment income. Property-Liability operating income in 2015 was $1.9 billion, which was 8.2% lower than 2014. Chart on the lower left-hand side of this page shows Property-Liability net written premium and policy in force growth rates. Red line representing policy in force growth versus prior year shows a slowing growth rate of 1.3% given actions in place across all 3 underwriting brands to improve auto margins. Even with these headwinds with grew policy accounts by 449,000 to 34.6 million in 2015 compared to 2014. The Allstate brand accounted for almost all policy growth in 2015, as Esurance policy growth showed and Encompass policies were lower in 2014. This policy growth results exclude 5.6 million Allstate Financial policies, which grew by 6.1% in 2015, driven by 11.1% policy growth in Allstate benefits. Average premium increases to reflect higher costs resulted in the net written premium shown by the blue line. 
Bottom right-hand side of this page shows Property-Liability recorded and underwriting -- underlying combined ratio results. Recorded in underlying combined ratios, both finished the year strong compared to results earlier in the year given our actions to improve auto returns. The underlying Property-Liability combined ratio in the fourth quarter of 2015 was 87.4 and was 2.1 points lower in the fourth quarter of 2014. 
Slide 6 highlights the margin trends for Allstate brand auto and Allstate brand homeowners. Chart on the top left of this page provides a view of quarterly recorded and underlying margin performance for Allstate brand auto. As Tom mentioned earlier, our fourth quarter results continued to be impacted by elevated frequency and severity, as they have been since fourth quarter of 2014.
Our efforts to respond to higher cost trends to price underwriting and expense management resulted in an underlying combined ratio of 97.6 in the fourth quarter of 2015, which was 6/10 of a point improvement from the fourth quarter a year ago.
On a sequential basis, the underlying combined ratio improved by 0.5 a point compared to the third quarter of 2015. 
Chart on the top right highlights trends driving the change in the Allstate brand auto underlying combined ratio. Annualized average written premium per policy shown by the blue line continued to show upward momentum as rate increases implemented throughout 2015 resulted in the 3.9% increase in the fourth quarter of 2015 compared to the quarter a year ago.
Average underlying losses and expenses per policy in the fourth quarter of 2015 increased 3.2% compared with the fourth quarter of 2014 given the influence of higher frequency and severity, but lower expenses per policy.
The gap between these 2 points remains positive, but it's smaller than what it's been historically. Similar information is shown for Allstate band homeowners on the bottom of this page. On the bottom left, you can see the favorable impact from low catastrophies that we experienced for most of 2015 continued in the fourth quarter resulting in the 71 Allstate brand homeowners recorded combined ratio.
Lower frequency of fire claims in the fourth quarter benefited the underlying homeowners combined ratio, which at 56 was 5 points below the results in the fourth quarter of 2014. Components of the fourth quarter homeowners underlying combined ratio were in the chart on the bottom right. Average earned premium per policy increased to $1,085 or 1.9% over the prior year quarter.
Underlying losses per policy decreased 6.6% in the quarter compared to the fourth quarter of 2014, resulting in continued favorable underlying gap between the 2 trends. 
Slide 7 provides some context on combined ratio and top line trends for both Esurance and Encompass. Chart on the top of this page includes fourth quarter and annual combined ratio of results for both companies. Esurance's recorded combined ratio of 107 in the fourth quarter of 2015 was 8.5 points lower than the same period a year ago, given decreased investment in marketing along with a 5-point in the loss ratio, which is reflective of ongoing actions taken in the business to improve auto returns. Esurance's combined ratio of 110.3 in 2015 improved by 7.4 points compared to 2014. Encompass's recorded combined ratio of 95.5 in the fourth quarter of 2015 was 2.4 points worse than the prior year quarter was adversely impacted by 2.9 points of higher catastrophe losses compared to the prior year quarter. Encompass's combined ratio of 102 in 2015 was 4.1 points better than the full year results in 2014. 
2 charts on the bottom of this page show how growth is being impacted by profit improvement actions in both of the brands. In Esurance, policy in force growth slowed to 1.4% over the prior year and continued to decline sequentially from net written premium grew by 5.3% in the fourth quarter of 2015 compared to the same quarter a year ago.
In Encompass, net written premium declined by 5.5% in the fourth quarter of 2015 compared to the fourth quarter of 2014, as the 8.2% decline in policies in force more than offset higher average premiums from increased rates and underwriting actions. As with the Allstate brand, we continue to evaluate our results and we'll adjust profit improvement actions to insure returns in both of these brands are appropriate.
Slide 8 provides an update on our ongoing plan to improve auto returns. As we discussed throughout 2015, our auto profit improvement plan is comprised of 4 parts, which should design to work together to address the higher loss trends we're experiencing. First, we've sort accrual for higher auto rate across the country. Second, we've implemented underwriting changes, slowed new business and addressed specific underperforming segments business. Along with underwriting changes, we've also increased our ongoing credit classification programs. Third, we focused on claims operational excellence precision. And fourth, we've reduced expenses across the organizations to quickly impact the combined ratio, while the other components took hold. These actions in total helped us to finish 2015 within our underlying combined ratio guidance range. 
Details for the fourth quarter of 2015 are shown on the bottom of this slide. Approved auto rate increases for all 3 underwriting brands in the fourth quarter 2015 were worth $401 million in net written premium, while the total amount of improved rate increases for 2015 in total were worth $1.1 billion in net written premium, the highest amount of improved auto rate increases in over 10 years. We also continue to intentionally slow new business and make underwriting changes on isolated underperforming segments of business and geographies across the country to improve auto returns. These underwriting actions in connection with our credit classification programs and price increases slowed new business and impacted retention. As Tom mentioned earlier, all of these actions are flexible and they're all driven by local market conditions. We'll continue to adjust them selectively from market to market as auto returns improved. Maintaining claims operational excellence and precision also continue to be priorities given cost trends that we and others in the industry are experiencing. Property-Liability expense ratio decreased by 2.8 points in the fourth quarter of 2015 compared to the fourth quarter of 2014 was 1.2 points lower than 2014 year-end reflecting expenses actions taken across the company.
You can see the impact by underwriting brand in the chart on the lower left. These actions included reductions in advertising in Allstate Esurance brands as well as professional services costs and lower compensation incentives across the company. Bottom right-hand chart shows the net written premium amounts generated by the rates we've received approval for over the past 3 years across all 3 underwriting brands.
The Allstate brand represents the largest component of these rate increases accounting for 942 million of the 1.1 billion for the full year of 2015 and 342 million of 401 million for the fourth quarter of 2015. Rating and underwriting changes will drive customers to shop their customers to shop their insurance with our carriers, nonrenew their policies or change their level of coverage, which will result in lower levels of premium in aggregate that was shown on this chart. Allstate Agency owners and their staff collectively consult with their customers during insurance review -- during insurance review process to write at the best coverage and deductible options for their specific situations and needs. We feel that having a trusted advisor to help guide customers understanding protection needs during a period of rising auto prices across the industry is a key competitive advantage for us. 
This analysis only includes rates proved through December 31. We continue to evaluate and run our business on a local, market-by-market basis and continue to adjust our actions going forward whether it be through price, underwriting, claims excellence our expense management to ensure appropriate auto returns. And now I'll turn it over to Steve who will cover Allstate Financial investment and capital management."
18711,321971776,926544,"The Allstate Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","The Allstate Corporation","Executives","Thanks, Pat. Slide 9 provides an overview of Allstate Financial's results for the fourth quarter and full year 2015, as highlighted on the top of the slide. Overall, we've made good progress in Allstate Financial's focus and positioned the business to sup",1250,"Thanks, Pat. Slide 9 provides an overview of Allstate Financial's results for the fourth quarter and full year 2015, as highlighted on the top of the slide. Overall, we've made good progress in Allstate Financial's focus and positioned the business to support long-term value creation. In 2015, we continued our efforts to fully integrate the life and retirement business into the Allstate brand customer value proposition and repositioned the investment portfolio supporting our immediate annuities. Premiums and contracts charges in 2015 increased 4.2% when excluding the impact of the 2014 results company, given by 5.7% growth in Allstate Benefits accident health insurance business as well as a 7.3% increase in additional life insurance premiums. 
Operating income for 2015 up $509 million was 16.1% lower than 2014 given primarily by higher life insurance claims, the disposition of LDL and lower investment income. In the fourth quarter, operating income of $98 million was $30 million below the prior year quarter driven by a lower fixed-income yield and decrease in performance-based long-term investment income.
The bottom of the slide, the liabilities and investments of our immediate annuity business. The approximately $12 billion of liabilities pay out over the next 40-plus years. Our Investment Strategy is to match near-term cash flows with fixed income and commercial mortgages. However, for longer-term liabilities, we believe equity investments provide the best risk adjusted returns. 
As such, in the third quarter, we sold approximately $2 billion of long duration, fixed-income securities to make the portfolio less sensitive to rising interest rates. proceeds were invested in shorter duration, fixed income and public equity securities, which will lower net investment income in the near term.
Over time, we will shift the majority of the proceeds to performance-based investments that we expect to deliver attractive, long-term economic returns. Other income will be volatile from the quarter to quarter. 
Moving on to Slide 10 and investments. I'll start with our portfolio of composition at the top of the slide. We've a diverse $77.8 billion portfolio. Fixed income represents 74% of portfolio of value with $8.6 billion or 15% below the investment grade. As we have discussed previously, we are increasing and shifting the risk posture of our portfolio to deliver more attractive long-term returns. We created capacity for this incremental list by strengthening our capital position to issuing preferred securities, reducing debt, exported reduction to catastrophe prone regions and shrinking our annuity business over the past 2 or 3 years. We are utilizing a portion of that capacity in our investment portfolio to increase risk to performance-based investing and selectively increasing our high yield holdings. Our high yield portfolio is conservatively positioned relative to broader markets. We did meaningfully towards double B and to a lesser extent single B issuers. We have also managed with underway the certain sectors, including metals and mining and energy. Our portfolio breakdown by investment approach is at the bottom left. Within the context of these 4 approaches, we target asset mix that reflects our risk tolerance and liability profile. 
Our market-based core by far the largest part of the portfolio delivers predictable earnings aligned to our business needs. We seek to outperform the public markets and take advantage of volatility through our market-based active strategy. We've a growing allocation to performance-based investments, also return long-term and opportunistic, including private equity and real estate partnership and direct investments. The majority of our energy holding shown in the middle table are investment grade corporate bonds. We are conservatively positioned versus the broader energy market referring midstream and higher-quality exploration and production players, which we believe are better equipped to standard the dislocation energy prices. With that said, this is a dynamic environment. Any implications for the falling energy prices are being built across the market. 
During the fourth quarter, $47 million of the trading losses, $82 million of the recognized impairment related to energy holdings. Losses were split between public and private securities. Detailed and limited partnership holdings in our performance-based long-term strategy are shown in the table on the right. Approximately 3 quarters of the investments are in private equity including timber and agriculture and 1 quarter in real estate. Likewise, approximately 3 quarters are accounted for equity method of accounting over the of EMA. Our performance-based long-term strategy had strong results despite a lower fourth quarter with 2015 being our second highest income year. 
We have received significant cash distributions from realizations in this portfolio, which have reduced the amount on distributed income related to our EMA investments. 
Moving on to Slide 11. Net investment income was $710 million in total for the quarter and $3.2 billion for the full year of 2015. Investment income and yield by business segment is provided at the top of the slide. In addition to a multiyear shift in the long-term mix, we continue to proactively manage the portfolio in economic and market conditions. This includes reducing the duration of our fixed income holdings in both the Property-Liability and Allstate Financial portfolios with the belief that the markets were not providing sufficient compensation for taking interest rate risks in the low yield environment. 
To the left is Property-Liability. We reduced our interest rate risk in this portfolio in 2013, which resulted in a lower yield in The Allstate Financial portfolio. The yield is now increasing, reflecting our increased allocation for high-yield bonds as well as reinvest in the higher interest rates and our continued shift of the portfolios to performance-based long-term investments. To the right is Allstate Financial. We took actions in 2015 to make the portfolio less sensitive to rising interest rates, as I covered a bit earlier in talking about the business, which reflected in the lower interest-bearing yield in 2015.
Moving to the bottom half of the slide, at the left is our GAAP total return. The investment income component of return has been fairly consistent, while the valuation contribution was negative in 2015 on wider spreads across the market with the majority attributed in our returns to investment grade securities given our weight in our portfolio. In the middle is our realized capital gains and losses. 
In 2015, we had a net capital gain of $30 million, which included $470 million of net gains on sales, including the gains on long duration, fixed-income securities we sold in the Allstate Financial portfolio, largely offset by impairments and write downs. The impact of lower valuations can be seen in the decrease in our fixed-income unrealized gains in the chart to the right. 
Slide 12 provides an overview of our capital position and highlights the cash returns shareholders received throughout 2015. Allstate remains in a position of financial strength and strategic flexibility. Our deployable holding company assets totaled $2.6 billion at December 31, 2015. Book value per common share was $47.34 as of year-end 2015, down 1.9% from 2014, reflecting lower unrealized net capital gains and losses on fixed-income securities. Excluding this impact, book value per common share was 4.2% in 2015 versus 2014. 
We returned $3.3 billion cash to shareholders in 2015 to the combination of common dividends and common share repurchases. We repurchased 9.3 million common shares for $573 million during the fourth quarter of 2015, which brought the annual total to 42.8 million shares, 10.2% of our beginning of the year common shares outstanding. As of December 31, we have $532 million remaining on our current repurchase authorization, which we expect to complete by July 2016. 
Now let's open it up the call for your questions."
18711,321971776,926544,"The Allstate Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","The Allstate Corporation","Operator","[Operator Instructions] Our first question comes from the line of Ryan Tunis from Crédit Suisse.",15,"[Operator Instructions] Our first question comes from the line of Ryan Tunis from Crédit Suisse."
18711,321971776,926544,"The Allstate Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","The Allstate Corporation","Analysts","My first question, I guess, is on the expense side. I appreciate there's a good amount of flexibility there whether it's advertising expenses or lower incentive comp. But I guess, in the base case that you highlighted in your guidance that assumes, I gues",66,"My first question, I guess, is on the expense side. I appreciate there's a good amount of flexibility there whether it's advertising expenses or lower incentive comp. But I guess, in the base case that you highlighted in your guidance that assumes, I guess, some step up in sincerity and frequency. How should we think about The Allstate brand expense ratio in 2016 relative to 2015?"
18711,321971776,926544,"The Allstate Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","The Allstate Corporation","Executives","Ryan, it's Tom. I'll make a over comment, and Matt might have some perspective as well. First, you should expect the expense ratio to go up, because we this year to make our goal, we did advertising I wanted to improve some of the effectiveness through th",137,"Ryan, it's Tom. I'll make a over comment, and Matt might have some perspective as well. First, you should expect the expense ratio to go up, because we this year to make our goal, we did advertising I wanted to improve some of the effectiveness through the advertising stuff anyway with new advertising. And then, we took some nice-to-do technology stuff and deferred it and decide not do it and cut some other expenses. And if you look at it over the quarters, you can see we increasingly reduced our expenses throughout the year, which was a focus. That said, there were a number of things we're investing heavily and invested in terms of either long-term growth or short-term growth, everything from technology I mentioned to things like Matt, do you want to add anything to that?"
18711,321971776,926544,"The Allstate Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","The Allstate Corporation","Executives","I think, the only thing I would add Ryan is that, as Tom said in his prepared remarks, as we see the combined ratio in each local geography getting to an appropriate point and loss ratios getting where they need to be and the profit improvement actions fu",182,"I think, the only thing I would add Ryan is that, as Tom said in his prepared remarks, as we see the combined ratio in each local geography getting to an appropriate point and loss ratios getting where they need to be and the profit improvement actions fully taking hold and rate burning in, we will want to be able to stimulate growth in selected areas as long as we're earning appropriate return and growth requires some investment. And so part of the expense ratio for next year -- this year, I'm sorry, will be influenced by our growth plan and when we're able to turn on growth in certain areas and when we want to invest. We're focused on long-term value creation, and long-term value creation does require some investment, but it requires investment with appropriate levels of profitability. And so it's flexible, it will go up, the degree it goes up will depend upon thoughtful analysis of whether or not we had appropriate profitability, appropriate margin and whether or not we're going to earn an appropriate return on the investment."
18711,321971776,926544,"The Allstate Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","The Allstate Corporation","Analysts","Okay. That's helpful. And my follow-up is just, I guess, in the supplement, you guys a few quarters ago started breaking out growth versus paid frequency, and the way I understand it is you incur the losses based on what the gross frequency is and that's",101,"Okay. That's helpful. And my follow-up is just, I guess, in the supplement, you guys a few quarters ago started breaking out growth versus paid frequency, and the way I understand it is you incur the losses based on what the gross frequency is and that's also what, I think, you guys tend to talk about what the investment community tends to talk about, but the paid frequency numbers been running significantly below the gross over the past several quarters. I am just wondering how we should think about that as there possibility that you have been overestimating what frequency is."
