"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
312769,322630123,926682,"Vulcan Materials Company, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Vulcan Materials Company","Operator","Welcome to the Vulcan Materials Company Fourth Quarter Earnings Call. My name is Bridget, and I'll be your conference call  coordinator today. [Operator Instructions] And now, I'd like to turn the call over to your host, Mr. Mark Warren, Director of Inv",51,"Welcome to the Vulcan Materials Company Fourth Quarter Earnings Call. My name is Bridget, and I'll be your conference call  coordinator today. [Operator Instructions] 
And now, I'd like to turn the call over to your host, Mr. Mark Warren, Director of Investor Relations for Vulcan Materials. Mr. Warren, you may begin."
312769,322630123,926682,"Vulcan Materials Company, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Vulcan Materials Company","Executives","Thank you, Bridget. Good morning, everyone, and thank you for your interest in Vulcan Materials Company. Joining me today for this call are Tom Hill, Chairman and CEO; and John McPherson, Executive Vice President, Chief Financial and Strategy Officer.",248,"Thank you, Bridget. Good morning, everyone, and thank you for your interest in Vulcan Materials Company. 
Joining me today for this call are Tom Hill, Chairman and CEO; and John McPherson, Executive Vice President, Chief Financial and Strategy Officer. 
To facilitate our discussion today, we have made available during this webcast and on our website supplemental information. Rather than walk through each slide as we've done in past calls, Tom and John will summarize the highlights of our fourth quarter results and outlook for 2016. We believe this approach will assist your analysis and will allow more time to respond to your questions. 
With that said, please be reminded that comments regarding the company's results and projections may include forward-looking statements, which are subject to risks and uncertainties, including general economic and business conditions, the timing and amount of federal state and local funding for infrastructure and the highly competitive nature of the construction materials industry. These and other risks and uncertainties are described in detail in the company's SEC reports, including our earnings release and our most recent Annual Report on Form 10-K. 
In addition, during this call, management will refer to certain non-GAAP financial measures. You can find a reconciliation of these non-GAAP financial measures to the most directly comparable GAAP measure and other related information in our earnings release and at the end of the supplemental presentation. 
Now I'd like to turn the call over to Vulcan's Chairman and Chief Executive Officer, Tom Hill. Tom?"
312769,322630123,926682,"Vulcan Materials Company, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Vulcan Materials Company","Executives","Thank you, Mark, and thank you all for joining us for our fourth quarter earnings call. I hope you've had time to review our earnings release and the supplemental information posted earlier today on our website. As Mark mentioned, John and I will summar",1507,"Thank you, Mark, and thank you all for joining us for our fourth quarter earnings call. I hope you've had time to review our earnings release and the supplemental information posted earlier today on our website. 
As Mark mentioned, John and I will summarize the highlights of our fourth quarter results and the outlook for 2016. Then we'll be happy to take your questions. 
We remain highly focused on the fundamentals of our business at Vulcan, on the clear opportunities in front of us. Regardless of recent concerns that have swept through global securities markets, we are focused on the things that we control and on our improving profitability. 
We've made a lot of progress over the last year, and we have a good report for you today. 
Aggregates volumes are up nicely, pricing is positive, our gross profit per ton numbers continue to be really impressive. We are controlling our cost. 
But first, I'd like to start the conversation by making 3 basic points. Number one, we finished the year strong. Our teams company-wide are executing our Aggregate focus strategy extremely well. 
Second, I assure you that we will sustain this focus into 2016. We believe these efforts will result in more than $1 billion in adjusted EBITDA this year. 
Circumstances obviously vary across our geographic footprint, but the gradual recovery and demand continues in each of our end use segments. 
Third, our performance throughout 2015 as we continued to move through the early stages of construction recovery demonstrated clear and steady progress towards the longer-range goals and the expectations we put forth at our Investor Day last year. With very few exceptions, construction activity and the markets we serve still remains well below long-term trends. However, we're positioned for multiple years of double-digit revenue growth, with strong conversion of those incremental sales to gross profit. 
Now I'd like to go a little deeper into our fourth quarter and full year results. John will then hit the highlights of our 2016 outlook, and I'll conclude with some observations about our path forward. 
Let me say upfront, I'm pleased with how we finished 2015. Our mindset at Vulcan is that we can always improve, and we work hard on getting better all the time in every aspect of the business. 
Shipments were strong in the fourth quarter, whenever and wherever the weather cooperate. As we noted in our third quarter call, many of our customers have seen their backlogs grow as demand continues to pick up and as they face capacity constraints. 
We saw higher levels of shipments on weekends and many of our customers were beginning to keep their crews on as long as the weather allow. Those trends held up through the fourth quarter. 
Firming demand and recently dry weather in California and Florida contributed to year-over-year shipment growth, exceeding 15% in those states. Shipments in Georgia grew by 22% despite wet weather. On the other hand, shipments increased in the low single digits in Texas. This was due to extremely wet weather in October, November.  The underlying shipment trends in each of these states continue to be good. 
In total, same-store shipments for the quarter were up more than 8% in our Aggregates segment, 4% in our Asphalt segment and 2% in our Concrete segment. 
For the year, we shipped 178 million tons of aggregates. This is slightly above our mid-year forecast of 177 million tons, and an increase of about 10% over 2014 shipments. All in all, this was a very solid year of volume growth. 
Remember, this is from an asset base that has delivered aggregate shipments of approximately 300 million tons. As we talked about before, we are still early in the recovery towards 255 million tons, which we believe represents a more normal, mid-cycle level of shipments. 
We have a broad base of demand, both in terms of geography and end use markets. We see each of our end use markets continuing to grow. 
Some of our Texas markets are of the upper end of the spectrum of normalized demand, having absorbed extremely strong growth. Most of our markets, however, are still well below normal demand and should enjoy steady growth for years to come.  We are seeing good growth on both coasts with still lot of upside. 
Other individual markets in the Central United States such as Nashville, Knoxville and Chattanooga are also continued to strengthen. When you put it all together, the longer-term shipment trends we focus on continue to look good across most of our markets. 
Regarding pricing. We continue to experience a positive pricing environment in most of our markets. This is a result of 3 factors. First, we've invested substantial capital in the business to serve our customers and need to earn a fair return. Second, we continue to see increasing customer confidence in the recovery. And third, the construction industry is increasingly focused on improving returns on capital as volumes remain well below normal levels. 
Overall, free adjusted average sales price for Aggregates increased 11% on same-store basis, or $1.18 per ton compared to the prior year's fourth quarter. 
In the quarter, we estimate $0.15 per ton helped from product and geographic mix.  For the full year, average selling prices increased 7%. 
Now I'd like to take -- make a few remarks regarding our customer service and cost control efforts. Throughout the quarter, our teams did an excellent job meeting our customers' needs, including tight deadlines and complex demands on big projects, both safely and efficiently. 
During the quarter, we saw improvement in repair maintenance costs and overtime labor costs. This improvement contributed to our strong finish for the year. Cost during the first 3 quarters of 2015 have begun to rise as increasing volumes required us to run our plants longer. This led to more repairs and higher spending on parts and supplies and associated labor. 
Now as said in our last call, we are very focused on improving these costs, and we're beginning to see these improvements in September. The improvements continued, and I'm proud of our operating people for the work they have done here. We remain intensely focused on managing these costs efficiently, balancing the factors affecting production quality, service and cost. 
Still, a clear picture comes with a longer term view.  For the year, our unit cost of sales in aggregates declined slightly as our employees remain focused on continuous improvement. We get better at controlling costs as the year progressed. 
We also saw reduced expenditures as diesel cost declined. Setting aside external forces, our strong emphasis on cost control, near-term and longer term, will not change. 
Overall, I'm pleased with the progress we've made with our execution and our focus. We continue to focus on customer service, employee development, cost control and our safety performance. We saw marked improvement in our safety performance in the fourth quarter. 
Let me emphasize, this is a continuous improvement track, a process of working to get better every day. We have made good progress, but there's still more to be done. 
A strong example of the progress we have made is the outstanding job our teams did converting incremental revenue into incremental gross profit. Flow through in the quarter was 89% on a same-store basis, obviously, strong results. But better to look at it on a trailing 12-month basis where it was 77%, well ahead of the 60% threshold we target longer term. 
Our unit profitability in aggregates continues to improve, something our employees work hard on and can be very proud of. 
Gross profit margin on a same-store basis increased 38% in the fourth quarter compared to the prior year's quarter. Unit gross profit margin was $5.38 per ton. This marks 12 consecutive quarters of expanding unit margin. 
We will continue this trend. On a trailing 12-month basis, unit margin increased by 29% to $4.38 per ton. Now there's a slide you've seen before, Slide #11 that covers this, and I'd like to call your attention to it because it's impressive. 
Here, you will see that for the trailing 12 months, we shipped 178 million tons, 38 million tons more than the year prior to the start of the recovery. Aggregates segment gross profit for the year was $756 million or $398 million, ahead of the 12 months before the recovery began. 
So on 38 million tons of improvement, we've delivered almost $400 million in incremental segment gross profit. Gross profit per ton has increased $1.69 or 66% during this period. A 27% increase in shipments has been inverted into an increase in gross profit in excess of 100%. 
Looking at 2015 as a whole, you can clearly see the benefits of our aggregate focused strategy. We have the assets and capabilities in place to service our customers. We have the focus execution to drive profitability, and we have a very strong platform for continuing growth. 
With that, I'll turn the call over to John for additional comments on our earnings performance and outlook for the remainder of the year. John?"
312769,322630123,926682,"Vulcan Materials Company, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Vulcan Materials Company","Executives","So thanks, Tom, and good morning to everyone. So Tom just highlighted, and as you've seen in our release, we had a strong finish to a strong year, a year with same-store Aggregate shipments up 7%, Aggregates' pricing up 7%, strong conversion of that incre",1484,"So thanks, Tom, and good morning to everyone. So Tom just highlighted, and as you've seen in our release, we had a strong finish to a strong year, a year with same-store Aggregate shipments up 7%, Aggregates' pricing up 7%, strong conversion of that incremental revenue and to incremental gross profit, improved material margins in our Asphalt and Concrete businesses and continued leveraging of SAG to revenues.  We expect to see much of the same in 2016. Another year of continuous compounding improvement in our execution and in our results. 
To complement the information shared in our release, I'll first offer a few comments regarding the demand environment, then outline our performance expectations for the year and briefly note our plans for capital allocation. 
As Tom said, we see a broadening recovery and demand across each of our end-use segments and across most of our geographic footprint. In total, we see demand across the markets we serve growing approximately 7% with some upside potential based on the rate at which rising DOT budgets and public infrastructure funding convert into active construction projects and material shipments. 
We project private demand in the markets we serve to grow approximately 10% year-over-year, supported by growth in both residential and nonresidential activity. We see continued double-digit growth in residential construction across our footprint with nonresidential construction continuing to expand, albeit at a slower pace than 2015. 
Although certain measures of private nonresidential construction suggested some decline in the second half of the year, our on the ground view indicates continued solid growth.  And importantly, employment data and other macroeconomic and demographic factors further signal a sustained recovery in private demand across our markets. 
Much has been made about the potential impact of lower oil prices, and we continue to monitor trends in private construction activity in markets such as Houston. But to-date, we have not seen a materially negative impact when looking at our portfolio as a whole. 
I'll now turn to public demand, where we see 2016 being something of a transition year and in a positive way. 
Across our markets, we expect demand growth tied to public construction of approximately 5%. Longer-term visibility with respect to public demand has improved markedly with the passage of the federal highway bill, state-level funding initiatives and record levels of local tax receipts. 
In addition, the public construction share of tax receipts remains at 20-year lows and at ultimately unsustainable levels. 
This shift to higher levels of total public funding combined with greater visibility, should allow for a higher percentage of new construction in the mix, which bodes well for our materials demand and in our case, product balance. All of this is good. But at this point, we don't see the full benefit of these trends impacting our volumes until 2017 and beyond. 
We will monitor the lag between DOT budgets rising and commensurate increase in project activity throughout the year. But to be clear, rising public construction activity is beginning to kick in with the question being at what pace. 
Finally, we continue to see the overall rate of recovery in many markets constrained by construction labor shortages and other bottlenecks in the total construction supply chain. Although the situation can inhibit the overall rate of shipment growth in the near-term and lengthen the time required to return to normalized levels, it does provide further support for disciplined increases in pricing, margins and ultimately, returns on capital. 
So against this backdrop of approximately 7% total demand growth in 2016, what do we expect to deliver in terms of financial results? 
As we stated, our 2016 guidance is for between $1.0 billion and $1.1 billion in adjusted EBITDA and approximately 25% increase over 2015. 
We don't give quarterly guidance, as you know, and we encourage investors to consider longer-term trends in addition to quarter-to-quarter results. 
I'll now comment on certain of the factors and assumptions underpinning our annual guidance. You should consider these figures to be at midpoints of current management expectations and keep in mind that our results vary widely across the individual markets we serve. 
Starting with aggregate shipments. We're projecting a total of 191 million tons or an increase of 7% over the prior year. 
On a geographic basis, we expect the growth in 2016 to be relatively widespread, with higher rates in markets such as Arizona, Florida, Georgia and Southern California, offsetting lower-than-average rates in markets such as Texas, where we see continued growth but at a slower rate than a company as a whole and Illinois, where we project a small decline in year-over-year shipments. 
And as with 2015, we may see a greater share of shipments occur in the second half of the year, in part due to the impact of El Niño weather on our used Western states and in part due to the expected flow of large project activity throughout the year. 
Again, as Tom noted, the overall pricing climate for our materials remain as positive and constructive. We're entering the year with good momentum, and we currently expect freight adjusted average selling prices for Aggregates to increase 7% in 2016, in line with the increase seen in 2015. 
Please keep in mind that pricing decisions in our business are made locally with wide variances by product type and geography. Our local teams will continue to balance pricing, customer service, operating efficiencies and the overall sales and production mix, all with an eye toward improving total units margins and earning a fair return on capital employed. 
These shipment and pricing expectations, of course, are just mid-double-digit growth and freight-adjusted revenues for the Aggregates segment. We expect to continue converting these incremental revenues, into incremental gross profit at a 60% or higher rate. 
Consistent with this view, we expect gross profit in the segment to increase by approximately 25% year-over-year, and we expect to realize continued improvements in our per ton margins. 
We also expect to see continued profit improvement in our Asphalt and Concrete segments, following on the strong gains posted in 2015. We currently project gross profit for these segments combined to increase approximately 20% in 2016. These operations are well positioned the benefit from the continued recovery and demand due to improvements to our asset portfolio as well as our internal operating efficiencies. 
Our current forecast for SAG is $295 million, approximately 3% growth over 2016. We plan to continue to leverage SAG to sales even as we make important investments in our sales and customer service capabilities.  Administrative headcount should remain essentially flat year-over-year. 
So to recap, we expect to see in 2016 much the same of which you've seen in a very positive 2015. As well as through the entire early-stage of the recovery so far. Our people at all levels of the organization are focused on helping our customers grow, controlling what they can control and driving continuously improved results for our shareholders and other stakeholders. 
Now, I'll conclude with some brief remarks regarding capital allocation. Our aggregate-centric strategy and the way we manage it day by day is geared toward generating significant amounts of free cash flow even in periods of depressed demand. That's by design, as you'd expect, and we gave it a great deal of focus. 
Our priorities for allocating net cash flow and managing the inherent cyclicality of our business have not changed from those we've outlined at different times over the course of the last year or so. 
In short, we intend to balance 3 objectives: Reinvesting in the business for productivity and growth; maintaining adequate financial strength and flexibility; and a disciplined return of capital to shareholders. 
With respect to reinvestment, I'll note that we plan to allocate approximately $275 million of cash this year to what we call core CapEx. That is reinvestment to sustain and improve the performance and productivity of our current operations. 
In addition, we expect to invest a meaningful amount in growth, whether in the form of acquisitions or the internal development of new production and distribution capacity. 
With respect to financial strength and flexibility, I'll note that our debt-to-EBITDA ratio has lowered to 2.4x. Refinancing activities during 2015 extended our debt durations while lowering of weighed  average interest rate. 
We do not expect to use cash in the near term to lower our total debt of approximately $2 billion. Rather, we have the financing capacity and the liquidity needed to fund smart reinvestments and growth such as those I just mentioned. And we intend to maintain that flexibility throughout the cycle. 
And finally, we expect the amount of capital returned to shareholders to increase as the recovery moves forward. 
As noted previously, we expect the dividend to grow roughly in line with earnings during the recovery phase of the cycle. We also expect to use opportunistic share repurchase to return additional capital over time. 
And with that, I'll hand the call back to Tom."
312769,322630123,926682,"Vulcan Materials Company, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Vulcan Materials Company","Executives","Thank you, John. You've heard me talk about the strong year we had and the things we consistently focus on to deliver superior results. Ours is a long-term business. We set long-range goals and work hard to get where we think we can be given our world-cla",426,"Thank you, John. You've heard me talk about the strong year we had and the things we consistently focus on to deliver superior results. Ours is a long-term business. We set long-range goals and work hard to get where we think we can be given our world-class assets and people. 
We are pleased with our 2015 results and the way we are positioned for future success. We've made clear progress towards the goals that we set forth in our Investor Day last February and are very much on track. 
We're on track to achieve $2 billion in EBITDA at normal levels of demand. We're on track moving steadily towards a normalized demand level of 255 million tons per year for Vulcan aggregates. We're on track for continuing gradual recovery in each major end market and in most of our geographies. We now have a fully funded long-term highway bill, and we are very pleased to see healthy increase is in state and local funding for highways and other public construction.  
We continue to anticipate Aggregates segment cash gross profit at normal demand in the range of $8.25 per ton. This will be the result of solid sales execution, continued growth weighted towards our more profitable geographies, pricing fundamentals that continue to strengthen and consistently strong incremental margins. 
At normal demand levels, we also see greater profitability in our non-Aggregates segment in the range of $175 million. Here, we benefit from continuing operating discipline and improvements, the strength in portfolio that came with our asset swap in early 2015 and improving materials margins. 
We also remain on track with SAG costs, moving towards 6% as a percent of sales. SAG as a percent of revenue declined 70 basis points in 2015. We intend to further leverage SAG to sales growth. 
As we look forward, we believe that we are well-positioned for several years of double-digit top line growth with strong conversion to the bottom line. 
No matter how you look at this, I'm pleased to tell you that we are executing well, and that is the watchword of our people: Execute, execute, execute. Control your own destiny and finish strong. I'm very proud of our people and the good work they are doing. I can promise you that we are all committed to making a good company better every day. We are excited about where we are today, and we're even more excited about where this company is going. 
Now if the operator will give the required instructions, we will be happy to respond to your questions."
312769,322630123,926682,"Vulcan Materials Company, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Vulcan Materials Company","Operator","[Operator Instructions] And your first question comes from the line of Timna Tanners with Bank of America Merrill Lynch.",19,"[Operator Instructions] And your first question comes from the line of Timna Tanners with Bank of America Merrill Lynch."
312769,322630123,926682,"Vulcan Materials Company, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Vulcan Materials Company","Analysts","I was wondering if you could provide a little bit more color around what would comprise, like the range of your guidance? So if you could speak a little bit about volumes and how much that might include, deferred tons last year's weather and talk a little",57,"I was wondering if you could provide a little bit more color around what would comprise, like the range of your guidance? So if you could speak a little bit about volumes and how much that might include, deferred tons last year's weather and talk a little bit more about color regarding Texas. That would be great."
312769,322630123,926682,"Vulcan Materials Company, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Vulcan Materials Company","Executives","I don't think -- when it comes to deferred tons in the fourth quarter, maybe a little bit, but as you heard us talk about our customers and sense of urgency, when the sun came out, when they were ready to work, whether it was weekends or evenings, they pu",162,"I don't think -- when it comes to deferred tons in the fourth quarter, maybe a little bit, but as you heard us talk about our customers and sense of urgency, when the sun came out, when they were ready to work, whether it was weekends or evenings, they pushed a lot of work through. So if there may be a little bit, but probably not a lot of deferred work from '15 into '16. Your second question was about Texas. And I think that, how we look at Texas is obviously it's a very big state with multiple markets and multiple market dynamics. So kind of breaking that down a little bit, Dallas, Fort Worth, San Antonio, West Texas, all have very healthy demand growth that we think will flow into 2016. Houston and some of the coastal markets may have some softening in the private side. But overall, I think that when you look at Texas, it's still growing."
312769,322630123,926682,"Vulcan Materials Company, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Vulcan Materials Company","Analysts","Okay, great. And the only other one for me, if I could is, if we could talk us -- give us an update on what you're seeing in terms of M&A opportunities in general, how receptive are mom and pops right now. Or do you think new geographies or kind of where",59,"Okay, great. And the only other one for me, if I could is, if we could talk us -- give us an update on what you're seeing in terms of M&A opportunities in general, how receptive are mom and pops right now. Or do you think new geographies or kind of where you've been expanding recently as your focus?"
312769,322630123,926682,"Vulcan Materials Company, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Vulcan Materials Company","Executives","I think, we continue to see opportunities for attractive acquisitions. The timing of that is always an unknown or a question mark just because when people decide they want to sell, I think the key piece of that is discipline, being disciplined in what we",86,"I think, we continue to see opportunities for attractive acquisitions. The timing of that is always an unknown or a question mark just because when people decide they want to sell, I think the key piece of that is discipline, being disciplined in what we buy, what we pay for and being very disciplined about how we integrate it into the Vulcan family. And we also have to be very disciplined and clear about the synergies that are unique to Vulcan, and how we leverage them."
