"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
137473239,418653028,1131236,"Quintiles IMS Holdings, Inc., Q4 2016 Earnings Call, Feb 14, 2017",2017-02-14,"Earnings Calls","IQVIA Holdings Inc.","Operator","Ladies and gentlemen, thank you for standing by. Welcome to the Quintiles IMS Fourth Quarter 2016 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded, Tuesday, February 14, 2017. I would now like to turn the",52,"Ladies and gentlemen, thank you for standing by. Welcome to the Quintiles IMS Fourth Quarter 2016 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded, Tuesday, February 14, 2017. I would now like to turn the conference over to Andrew Markwick, Vice President, Investor Relations. Please go ahead."
137473239,418653028,1131236,"Quintiles IMS Holdings, Inc., Q4 2016 Earnings Call, Feb 14, 2017",2017-02-14,"Earnings Calls","IQVIA Holdings Inc.","Executives","Thank you, Jennifer. Good morning, everyone. Thank you for joining our fourth quarter and full year 2016 earnings call. With me today are Ari Bousbib, Chairman and Chief Executive Officer; and Michael  McDonnell, Executive Vice President and Chief Financi",262,"Thank you, Jennifer. Good morning, everyone. Thank you for joining our fourth quarter and full year 2016 earnings call. With me today are Ari Bousbib, Chairman and Chief Executive Officer; and Michael  McDonnell, Executive Vice President and Chief Financial Officer. 
Today, we'll be referencing a presentation that will be visible during this call as well as [ph] on our webcast. This presentation will also be available following this call on the Events & Presentations section of our QuintilesIMS Investor Relations website at ir.quintilesims.com.
Before we begin, I would like to caution listeners that certain information discussed by management during this conference call will include forward-looking statements. Actual results could differ materially from those stated or implied by forward-looking statements due to risks and uncertainties associated with the company's business, which are discussed in the company's filings with the Securities and Exchange Commission, including our quarterly report on Form 10-Q filed on November 3, 2016, and subsequent SEC filings.
In addition, we will discuss certain non-GAAP financial measures on this call, which should be considered as a supplement to and not a substitute for financial measures prepared in accordance with GAAP. A reconciliation of these non-GAAP measures to the comparable GAAP measures is included in the press release and conference call presentation.
I would also like to point out that as with other global businesses, we have been impacted by foreign exchange, and therefore, we will discuss many of our results in constant currencies to improve comparability.
I would now like to turn the call over to our Chairman and CEO, Ari Bousbib."
137473239,418653028,1131236,"Quintiles IMS Holdings, Inc., Q4 2016 Earnings Call, Feb 14, 2017",2017-02-14,"Earnings Calls","IQVIA Holdings Inc.","Executives","Thank you, Andrew, and good morning, everyone. Thank you for joining our fourth quarter and full year 2016 earnings call. This is our first call reporting earnings for the combined company. And on this call, we will provide results for 2016 as well as gui",959,"Thank you, Andrew, and good morning, everyone. Thank you for joining our fourth quarter and full year 2016 earnings call. This is our first call reporting earnings for the combined company. And on this call, we will provide results for 2016 as well as guidance for 2017. 
The fourth quarter was very active for the QuintilesIMS team. We delivered on our financial commitments through solid operational discipline; our integration teams continued to drive execution of their integration plans, implementing best practices and process efficiencies across the organization; changes were made to our management structure as we look to fully leverage the talent across both legacy organizations; and specifically, we began to leverage the legacy IMS operating infrastructure and implemented organizational and salesforce changes at the country level. 
We started the process of integrating data into our site identification and patient recruitment processes, and we are beginning to see great traction with clients. We also repurchased $1 billion of our stock during the quarter. And I'm pleased that our Board of Directors just approved an increase in our postmerger share repurchase authorization from $1.5 billion to $2.5 billion, leaving us with a $1.5 billion remaining authorization. 
Let's review the financial results. Year-over-year comparisons are obviously impacted by the merger. We are making comparisons more meaningful by discussing results on a combined company basis, that is as if the merger took place January 1, 2015. Fourth quarter revenue was about $2 billion. On a combined company basis and adding back the merger-related deferred revenue adjustment we discussed last quarter, growth would have been 4.2% at constant foreign exchange rates.
The legacy IMS business grew 6.9%. The new Commercial Solutions segment also includes legacy Quintiles commercial businesses, which declined year-over-year. And so in aggregate, Commercial Solutions grew 4.9%. 
R&D Solutions growth was 6.6% and Integrated Engagement Services declined 8.4% during the quarter, and this is all at constant FX. Revenue growth on a reported basis was impacted by some headwinds from unfavorable currency movements during the current quarter. 
In aggregate, we lost about $10 million of revenue to our guidance of 3 months ago due to adverse effects, nearly all of which was in our Commercial Solutions segment. All in all, we performed in line with our revenue guidance at constant currency in all 3 segments. 
Fourth quarter adjusted EBITDA was $541 million, which was $34 million higher than our midpoint guidance 3 months ago. Adjusted EBITDA growth was 14.5%, again at constant currency in our combined company basis. Fourth quarter combined company adjusted EBITDA margin was about 27% when you exclude the deferred revenue adjustment. We have strong margin expansion of about 300 basis points, and this was primarily driven by operational improvements and good margin expansion in the commercial segment, mostly the legacy IMS commercial business, as well as operational improvements in the R&D segment, and to a lesser degree, from a favorable currency mix in the delivery costs of our CRO work. 
The Commercial Solutions segment continues to see success in the market. I'd like to give you some color and a few examples of a few recent wins.
A top 5 pharma client signed a global multiyear, multi-million dollar tech deal for our life science cloud-based master data management or MDM. The clients already uses a number of our SaaS-based apps and will benefit from our integrated suite. In this case, the win was driven by our proven track record and expertise in the MDM space, combined with our global deployment and support capabilities. 
Another win, this time with a specialty pharma company, we selected QuintilesIMS to be the single supplier supporting their entire commercial operations. This is a $16 million deal combined technology and services from our Commercial Solutions segment as well as sales rep deployment from our integrated engagement services segment. 
The R&D Solutions business saw good progress as well with a turnaround of our booking trend, which I'll remind you we now report on an as-contracted basis. We finished the year with about $9.5 billion in contracted backlog. And that is stated as at the end-of-year currency rates. And we have about $4.3 billion in LTM-contracted net new business. 
You will recall that our integration teams are working hard to drive a productionized data-enriched R&D offering, which we expect to take to clients in the second half of 2017. We have a large, full-time team working to integrate the legacy IMS data with the CRO business. But we're not waiting. We're already engaged with over 30 clients on opportunities to leverage this next generation of clinical development offering. In fact, we had already over $100 million worth of awards in the quarter for this next-gen clinical development. And we are working over $1 billion worth of opportunities where data-enabled site ID and patient recruitment can be leveraged. 
For example, in a recent such win, which was for an ophthalmology trial, we were able to use our data assets, predictive analytics capabilities and expertise with biosimilar development to identify the right size with both the appropriate patient density levels and the required investigator therapeutic expertise, in this case, intraocular injections. In the traditional approach, 3,000 potential sites would have normally been identified as having the relevant patients that would qualify for the trial. However, using our data and analytics, we were able to target and pinpoint the 261 most optimal sites from the get-go. The use of the IMS data saves considerable time and resources with the design of the trial, the identification of sites and the targeting of eligible patient populations, ultimately, help decline -- deliver the product to market faster.
With that, I'd like to turn it over to Mike McDonnell, our Chief Financial Officer, to take you through the financials in more detail."
137473239,418653028,1131236,"Quintiles IMS Holdings, Inc., Q4 2016 Earnings Call, Feb 14, 2017",2017-02-14,"Earnings Calls","IQVIA Holdings Inc.","Executives","Thank you, Ari, and good morning, everyone. As Ari mentioned, Q4, our first quarter as a combined company, was a strong quarter for QuintilesIMS, and we hit the ground running. Let's review the details. On a reported basis, the year-over-year numbers ar",1895,"Thank you, Ari, and good morning, everyone. As Ari mentioned, Q4, our first quarter as a combined company, was a strong quarter for QuintilesIMS, and we hit the ground running. Let's review the details. 
On a reported basis, the year-over-year numbers are not meaningful as this is our first quarter as a combined company. And IMS results are not included in prior periods. I will not read them out, but they are in the tables and many of them will be in the 10-K for review. I would like to call to your attention the more meaningful comparisons in the center of the page. 
Fourth quarter revenue was just over $2 billion, an increase of 4.2% at constant currency and 3.5% reported on a combined company basis and adding back deferred revenue. You will recall the deferred revenue adjustment we highlighted on our last call. This noncash adjustment is the result of purchase accounting rules, which at the time of the merger, requires the elimination of IMS Health deferred revenue, which would have converted to revenue in the fourth quarter. 
Adjusting for deferred revenue and on a combined company basis, Commercial Solutions revenue grew 4.9% at constant currency and 4.2% reported. The Commercial Solutions growth rate was dampened by a decline in the Quintiles legacy commercial business of about $12 million. Excluding this drag, legacy IMS Commercial Solutions grew 6.9% at constant currency and 6.1% at actual foreign currency. R&D Solutions service revenue grew 6.6% at constant currency and 5.4% at actual FX rates. And Integrated Engagement Services declined 8.4% at constant FX and 6.7% reported.
Turning now to profit. Adjusted EBITDA was $541 million, increasing 14.5% at constant FX and 16.7% of reported FX rates on a combined company basis. Adjusted EBITDA margins, when adjusting for deferred revenue, expanded about 300 basis points versus the fourth quarter of last year on a combined company basis. As Ari mentioned, this strong margin expansion was primarily from operational improvements in the commercial and R&D segments as well as, to a lesser degree, from the favorable currency mix in our R&D Solutions costs.
Moving down the P&L. Fourth quarter GAAP net loss was $178 million, and GAAP loss per share was $0.74. The loss was primarily due to a onetime deferred tax charge from changing our assertion regarding most of our 2016 and prior foreign earnings, whereby we will no longer permanently reinvest those earnings overseas. As a result, in the fourth quarter of 2016, deferred taxes were reported on these earnings at the higher U.S. income tax rate. The total P&L charge, as a result of this change, was $252 million. 
It is important to note that we intend to assert that our foreign earnings after 2016 will be indefinitely reinvested overseas. Therefore, we do expect to return to normal tax levels in 2017 and subsequent years.
Adjusted net income was $266 million. You will recall that our adjusted net income is calculated using an adjusted book tax rate, which was 34% for the fourth quarter. You should note that our cash tax rate is much lower and in the fourth quarter was only 4.8%. Adjusted diluted earnings per share was $1.09 in the fourth quarter using the adjusted book tax rate. 
Now let's turn to full year revenue. For the full year, once again, the reported numbers are not comparable as this is the first quarter we are reporting results as a combined company. I will not go into details on these numbers during the call. But as I mentioned previously, they're in the table. And many of them will be in the 10-K for review. 
Full year revenue increased 7.8% at constant currency and 7.4% reported on a combined basis and adjusting for deferred revenue. For our segments and on the same basis, Commercial Solutions revenue grew 9.1% at constant currency, 8.5% reported. The Commercial Solutions full year growth rate was also impacted by a decline in the legacy Quintiles commercial business. Excluding this drag, legacy IMS Commercial Solutions grew 11.3% at constant currency and 10.5% at actual FX. R&D Solutions grew 10.6% at constant FX rates, 9.9% reported and Integrated Engagement Services declined 7.9% at constant currency, 5.8% at actual FX rates. 
Turning to R&D Solutions, net new business and backlog. You will recall that last quarter, we began reporting our net new business and backlog metrics on an as-contracted basis, meaning that we will not recognize the value of a client award until we have receipt of a written binding commitment or an executed contract. We believe this is a more conservative practice and precise approach compared to the traditional industry practice. 
For the 12 months ended December 31, 2016, R&D Solutions bookings were about $4.3 billion, resulting in an ending contracted backlog of approximately $9.5 billion. This end-of-year backlog is stated at end-of-year exchange rates and the number, therefore, includes an adverse FX impact. We expect to convert approximately $2.9 billion of this backlog into revenue over the next 12 months. 
Now contracted bookings were stronger this quarter than last quarter, and we are pleased with this development. I do want to remind you this is a long cycle business, and quarterly bookings can ebb and flow. This is why you should focus on overall backlog and LTM metrics rather than the book to bill in a given quarter. Adjusted EBITDA for the full year was $1.956 billion, an increase of 9.1% at constant FX and 12.6% reported on a combined company basis. 
Let's spend a few minutes on the balance sheet.  At December 31, cash and cash equivalents totaled $1.2 billion. And debt was $7.2 billion, resulting in net debt of $6 billion. Our gross leverage ratio was 3.7x trailing 12 months adjusted EBITDA. Net of cash, our leverage ratio was 3.1x. Cash flow from operating activities was $447 million in the fourth quarter. Capital expenditures were $86 million and free cash flow was $361 million for the fourth quarter. A quick update on share repurchase.
You will recall that on our last call, we announced the $1.5 billion share repurchase authorization. Share repurchases is our preferred method of returning capital to shareholders, and we also see our shares as an attractive investment. As a result, we repurchased $1 billion of our stock, representing almost 13 million shares, which is about 5% of our shares outstanding. As Ari mentioned, our board has also approved an increase in our postmerger share repurchase authorization from $1.5 billion to $2.5 billion, leaving us with a remaining authorization of $1.5 billion.
Before we move to guidance, let's take a minute to discuss foreign currency. As you are aware and as depicted on the chart, following the end of the third quarter and the U.S. election results, the U.S. dollar strengthened significantly, especially against the Japanese yen, the euro and the British pound. As a result, this impacts our full year 2017 guidance at actual FX rates, which assumes rates remain unchanged through the end of 2017. 
To help you best understand the impact of currency fluctuations on our revenue, I will provide you with a rule of thumb for hypothetical scenario where the value of the U.S. dollar changes 1% versus our entire basket of securities. Of course, we do business in over 60 currencies and not all will move in the same direction by the same amount, at the same time. Therefore, the purpose of providing this rule of thumb is not to predict exactly what will happen as currencies move, but simply to help you understand the potential impact of movements. 
Based on our current mix of currency, if the dollar changes 1% versus our basket of currencies, there would be about a $30 million impact on full year revenue. The euro would account for about $14 million of this full year revenue impact, the yen would account for approximately $6 million and all other currencies combined would account for approximately $10 million. 
Now we will attempt to mitigate the foreign currency impact on adjusted EBITDA through cost reductions and the potential to leverage favorable currency mix based upon where we perform R&D work. You should also note that our euro-denominated interest expense provides a natural hedge that reduces the impact from foreign exchange fluctuations on adjusted diluted EPS by about 1/3.
Now let's turn to guidance. Our revenue outlook for 2017, assuming FX rates held constant in 2017 versus 2016 would be $8.125 billion to $8.225 billion. The difference between where rates are today and where they were on average for 2016 results in a foreign currency headwind of approximately $125 million. Therefore, our full year 2017 revenue guidance is $8 billion to $8.1 billion, assuming currency rates remain at current levels for the rest of the year. 
From a segment perspective, Commercial Solutions revenue is expected to be between $3.6 billion and $3.65 billion. Research and development solutions revenue is expected to be between $3.655 billion and $3.69 billion. And integrated engagement services revenue is expected to be between $745 million and $760 million.
Similar to last quarter, this guidance again includes an estimate for deferred revenue, which is expected to reduce the Commercial Solutions segment revenue and QuintilesIMS revenue by about $7 million in the first quarter of 2017. For full year profit, we expect adjusted EBITDA to be between $2 billion and $2.1 billion, and adjusted diluted EPS to be between $4.40 and $4.55. For our tax rates, we expect adjusted book tax rate to be approximately 30% for the year, adjusted cash tax rate to be approximately 16% and GAAP tax rate to be approximately 25%. 
Now remember, the timing of tax payments can be lumpy, so you may see that cash tax rate vary by a few percentage points in any given quarter. As discussed on our last call, we will also provide quarterly guidance going forward. As you know, for legacy Quintiles and legacy IMS, the first quarter is seasonally lower than other quarters so you should not expect the linear progression throughout the year. For the first quarter of 2017, assuming today's FX rates remain constant through the end of the quarter, we expect revenue to be between $1.89 billion and $1.925 billion. From a segment perspective, Commercial Solutions revenue is expected to be between $850 million and $865 million. Research & Development Solutions revenue is expected to be between $855 million and $870 million. And Integrated Engagement Services revenue is expected to be between $185 million and $190 million. This revenue guidance includes the expected $7 million deferred revenue adjustment I just mentioned.  For profit, we expect adjusted EBITDA to be between $450 million and $465 million, and adjusted diluted EPS to be between $0.93 and $0.97. 
In summary, we had a strong quarter. We delivered solid operational and financial performance. Operational integration is moving forward as expected. We saw an uptick in our R&D booking trends. The early client success we are seeing for our next-gen clinical development is encouraging. We repurchased $1 billion of our stock under the existing $1.5 billion authorization, and our board improved -- approved an increase to this authorization by another $1 billion to a total of $2.5 billion. And we look forward to delivering another year of strong financial performance in 2017. 
With that, I would ask the operator to please open the lines for Q&A."
137473239,418653028,1131236,"Quintiles IMS Holdings, Inc., Q4 2016 Earnings Call, Feb 14, 2017",2017-02-14,"Earnings Calls","IQVIA Holdings Inc.","Operator","[Operator Instructions] Our first question comes from the line of Jack Meehan with Barclays.",14,"[Operator Instructions] Our first question comes from the line of Jack Meehan with Barclays."
137473239,418653028,1131236,"Quintiles IMS Holdings, Inc., Q4 2016 Earnings Call, Feb 14, 2017",2017-02-14,"Earnings Calls","IQVIA Holdings Inc.","Analysts","I wanted to ask about the new authorizations in the quarter. It looked like the trailing 12-month data was pretty solid at 1 2 4 [ph]. And I think you mentioned in the fourth quarter, you saw an uptick. Is there any other data you can give just to give us",64,"I wanted to ask about the new authorizations in the quarter. It looked like the trailing 12-month data was pretty solid at 1 2 4 [ph]. And I think you mentioned in the fourth quarter, you saw an uptick. Is there any other data you can give just to give us a little bit more visibility on how the integration is affecting those numbers?"
137473239,418653028,1131236,"Quintiles IMS Holdings, Inc., Q4 2016 Earnings Call, Feb 14, 2017",2017-02-14,"Earnings Calls","IQVIA Holdings Inc.","Executives","Well, thank you for the question. Look, we've cautioned you in the past not to focus too much on quarterly bookings. Once again, this is a long cycle business. And we ought to focus on at, least, the last 12 months booking trends. Now we did mention in th",209,"Well, thank you for the question. Look, we've cautioned you in the past not to focus too much on quarterly bookings. Once again, this is a long cycle business. And we ought to focus on at, least, the last 12 months booking trends. Now we did mention in the Q3 earnings release call that bookings have been weak in the third quarter, the last quarter of Quintiles' standalone existence. And frankly, there had been ups and downs in the prior 12 months period. So we were pleased to see that kind of weaker trend reverse in the fourth quarter. And in aggregate again, for the last 12 months, we had strong bookings, again, on a contracted basis, which we -- is what we want to focus people on. The new -- the data, I did mention in my introductory remarks that we actually won over $100 million of awards, which we believe can be traced to the leveraging of the data. And I gave an example of how that helped us. We have a lot of pipeline of opportunities where we are already leveraging the data even though, as I mentioned, we're not yet fully productionized. And we expect to be productionized in the second half of this year."
137473239,418653028,1131236,"Quintiles IMS Holdings, Inc., Q4 2016 Earnings Call, Feb 14, 2017",2017-02-14,"Earnings Calls","IQVIA Holdings Inc.","Analysts","Great. And I just wanted to follow up on that point, Ari, in terms of automating the process. Could you just talk a little bit more about the system's build-out and what should we be expecting to see as you look to just integrate the process and make the",58,"Great. And I just wanted to follow up on that point, Ari, in terms of automating the process. Could you just talk a little bit more about the system's build-out and what should we be expecting to see as you look to just integrate the process and make the data recruitment part of the package that you offer?"
137473239,418653028,1131236,"Quintiles IMS Holdings, Inc., Q4 2016 Earnings Call, Feb 14, 2017",2017-02-14,"Earnings Calls","IQVIA Holdings Inc.","Executives","Right. So again, we -- you bring out consistent. There's a lot of technology, specifically data mining tools and the way our data -- our databases are constructed. So there's a lot of work by our data scientists that is being done at the moment focusing o",354,"Right. So again, we -- you bring out consistent. There's a lot of technology, specifically data mining tools and the way our data -- our databases are constructed. So there's a lot of work by our data scientists that is being done at the moment focusing on the top most significant 15 therapeutic categories. So that's going well. We have a large full-time team with again, data scientists, [indiscernible] statisticians, [indiscernible] tech [ph] clinicians working on this. We're also leveraging our OneKey assets, which is over 15 million health care professionals around the world, a massive database which again traditionally and historically had been used by IMS to support commercial activities. And we are redirecting this significant data asset to be used in clinical trials and in site identification and the ability to convert some of those physicians into investigators for specific trials. So a lot of work is being done. And again, how we expect to see this happening in our commercial activities is we obviously want a higher win rate. That's what we're targeting. And we are trying to, as we mentioned earlier, unlock large accounts that have been previously not significant clients of the legacy Quintiles R&D business. We also, frankly, looking at the burn rate. I'm sure you've observed that the industry generally is looking -- is experiencing slower burn of their backlog. And that is due to the increased complexity of the trials and of the highly specialized nature of the drugs that are being developed and [indiscernible] patient populations and the difficulty to enroll those patients. So all of that leads to lower burn rate of the backlog, not so for us. We've thankfully not experienced that, and we believe it's because we're leveraging the data and the fact also that we now look at our backlog and our bookings on a contracted basis is much more precise. And therefore, we should see, for both reasons, the fact that we have a more precise backlog, more correct backlog, more accurate and the fact that we're leveraging our data should lead to a backlog conversion that's improving over time."
137473239,418653028,1131236,"Quintiles IMS Holdings, Inc., Q4 2016 Earnings Call, Feb 14, 2017",2017-02-14,"Earnings Calls","IQVIA Holdings Inc.","Operator","Our next question comes from the line of Tim Evans with Wells Fargo.",13,"Our next question comes from the line of Tim Evans with Wells Fargo."
