"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
409115,552669241,1399614,"Anglo American plc, 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Anglo American plc","Executives","Good morning, ladies and gentlemen. My name is Stuart Chambers, I'm the Chairman of Anglo American. It's my great pleasure to welcome you all to our 2017 full year results presentation. Let me first please just mention about the fire alarms and exits. T",216,"Good morning, ladies and gentlemen. My name is Stuart Chambers, I'm the Chairman of Anglo American. It's my great pleasure to welcome you all to our 2017 full year results presentation. 
Let me first please just mention about the fire alarms and exits. There are no drills this morning. So if it goes off, its real. I'm sure, they will follow an announcement just in case we haven't the fire alarm, but there are 4 exits. There are 2 at the back, 2 at the front. And the simplest way is the go back out this way you came and follow the signs, and you will be shepherded out on 
Let me just before I hand over to Mark and Stephen, let me just quickly refresh you on board changes that we had last year. So Steve, of course, you know very well already, took over from René Médori. We had 2 new Non-Executive Directors joined us Nolitha Fakude, South African businesswoman; and Ian Ashby, a long serving mining and very experienced miner. And finally, myself, who had the great privilege and pleasure to take over from John Parker as Chairman of Anglo American. 
And I think, that's enough for me. Let me hand over to Mark, who is going to kick off our results presentation."
409115,552669241,1399614,"Anglo American plc, 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Anglo American plc","Executives","Thanks, Stuart. Okay. Well, welcome ladies and gentlemen, and thank you very much for taking the time to join us. As always, I'd like to acknowledge Stuart and welcome. I up there in another board member and my colleagues, my executive colleagues that are",788,"Thanks, Stuart. Okay. Well, welcome ladies and gentlemen, and thank you very much for taking the time to join us. As always, I'd like to acknowledge Stuart and welcome. I up there in another board member and my colleagues, my executive colleagues that are scattered around the audience. 
What I would encourage you to do, again, is to catch them after the presentation from them, you will find the real story. I think it's important that you hear from them what changes are occurring. And certainly, from our perspective, I think, it's important to get to know who is actually running the business. 
So, again, thank you very much for joining us here today. From our point of view in terms of the agenda, I'll kick away with very short business overview. Stephen will pull apart the numbers and try and help people understand what's behind the results. And then, from my perspective, I'll focus on where to from here and, in particular, I'll be focusing on the quality of our asset portfolio, number one. 
I'll talk about our capabilities and the work we're doing to continue to improve the business. And then finally, pull apart our capital allocation and the discipline that, I think, it's been very important behind the performance improvement over the last 5 years and talk about how we're thinking about the future in terms of capital allocation. 
So to the numbers. I think the simple message is, we've done what we said we do. Production volumes are up 5%, reflecting improvements and the commissioning of new projects, consistent with the performance improvement. We've also exceeded our cost and volume improvements that we target for the year that was $1 billion or at $1.1 billion. Earnings and cash flow reflect by the continuing improvements in the business. And yes, we saw some help from process, but almost half of that improvement is being delivered on the back of the improvements we've seen in the business that we've delivered in the business. 
Cash flow, $4.9 billion, that's been very important in terms of improving in debt position. EBITDA margins were up 15% and 40%. And for us, very important number. Return on capital employed now at 19%. 
For us, the disappointment in the year safety. We've improved our fatality frequency rate by 40%, but one would never say that's a good number nonfatalities in the year, exceptionally disappointing for us. 
We have established an elimination of fatalities task force, working across the business looking to drive the next level of performance to 0. And for us, we've still got a way to go. 6 of those fatalities were in Platinum and 3 in Collahuasi, South Africa. So, in particular, the focus in South Africa is going to be very important for us. And so, a lot of work still to be done. 
Across occupational health and the environmental issues, being well managed during the course of the last few years. We continue to improve the business as planning and execution disciplines have been improved. So still some work to do on safety. Other areas, making good progress. 
In terms of driving the results, productivity improvement since 2012 significant, around 80%. Half coming from portfolio changes. The other half coming from internal efficiency improvements. The most pleasing aspect of the 2017 year was a 28% improvement in productivity. And that's a significant improvement and explains a good part of the cost-reduction performance during the quarter of the year. 
Yes, again, we got some price pressures -- we got some price help, but some of that was taken away by foreign exchange and inflation, and Stephen will talk to that. So the 28% productivity very important in supporting the improvement work. 
Over the same time, we've seen a 26% reduction in unit costs. And from our point of view, the real cost improvement has been something like 40% when I take inflation and foreign exchange movements into account. 
Despite the sale of 30-odd assets, we've actually delivered 9% more production than what we were doing 2012. And I think that gives you a sense of this kind of improvement inside the business. 
In terms of EBITDA margins, we're up to 40%, and that's the see-through margin based on the mining business itself. And again, the key drivers, productivity improvement. The efficiencies that we've also achieved through the implementation of the operating model and the technical changes that we talked about back in 2013, 2014 improvement. And with our marketing focus on high-quality products and we'll talk about some of our niche positioning in the in particular, has helped us improve the realized process, particularly in the box area. 
And so with that, I'll hand across to Stephen."
409115,552669241,1399614,"Anglo American plc, 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Anglo American plc","Executives","Thanks very much, Mark. Just before I get start numbers, just a quick anecdote, if I may. So for those of you that we hear back in July with my first half year presentation, Mark was trying to convince me to go blue and go with Chelsea. So my decision. I",1796,"Thanks very much, Mark. Just before I get start numbers, just a quick anecdote, if I may. So for those of you that we hear back in July with my first half year presentation, Mark was trying to convince me to go blue and go with Chelsea. So my decision. I was around 2 things. One was So the team back in Australia was yellow and black. So I had to find the team with yellow and black because some of the gear. And the other one was being a good finance person about capital discipline and cash flow management. And so I'll try to principles  we're corporate life into my personal life. And one of the other executives, so one of the colleagues work has membership ticket So I thought -- and he travels a lot. 
So I thought chance at leat those tickets out the some stage for the season. So I will declare my colors the yellow and black. And it's the that I'm going for. 
Okay. So let's get into the real business of the day. So it is a good set of numbers, as Mark said. And importantly, for me, it's a clean set of numbers. So the things that we've been focusing on through the business, simply showing through the numbers and the outputs. 
The other important thing for me and for Mark and the whole executive team is really that we've been delivering And that's really important factor for us. 
So I'm going to 9 slides this morning relatively quickly. We'll touch on EBITDA and how that flows in a cash flow. What we did with that cash flow, particularly in terms of capital allocation, EPS and dividends. And we're also providing a little more detail in terms of how we're looking forward and how we're thinking about the business in the years to come. 
Clearly, for '17, the priority has been around balance sheet. And you've seen that and how we've allocated the cash flow and the reduction in net debt. We've maintained a spend in terms of stay in business capital. And it's really the combination of those things that itself also for very, very strong 2018. 
So let's have a look at EBITDA in the first case. So there's really 2 key themes, you can see on the slides. So the left-hand side is really about the things. So we have had some sort of upside from commodity prices. There are up from about 16% on the prior year, but offset by strengthening in currencies and underlying inflation in the regions that we work. 
On the right-hand side, you can see more of a self-help theme. So continuing on the work we've done over recent years, the cost, the volume, the productivity improvements. If you recall at the start of the year, we've identified a $1 billion challenge. And at that stage, we've identified about half of those initiatives, and we backed ourselves to deliver the other half. So really pleasing, we delivered $1.1 billion for the year. 
I'm just touch on inflation briefly. I know there's been a lot of sort of new talk about inflation. Yes, some of you guys have better as well. And while it's maybe an emerging theme in the U.K., Europe and the U.S., it's really being part of their lives now for a couple of years in terms of the regions that we work in the countries that we're operating. 
So it's been vital that we really focus on the productivity and efficiencies, so that outpacing that in terms of the things that we're focused on. 
We haven't had the benefit of low inflation and even in areas like the deflation in recent years. And obviously, now that hasn't applied to us. I think the other thing I would just remind you of often in a period of higher inflation, it's driven by increased activity, which is fundamentally good for commodity prices in most cases. 
And obviously, the third of that is really currencies. So as we look at the data, obviously, it's a fifth straight year for us in terms of delivering those improvements. $4.2 billion since 2013. 
Now the next dollar harder than the last dollar. And similar to last year, we've identified about half of what we're going to look at in terms of our go-forward targets. We did have some headwinds this year. So we had in the first quarter. We had extensive South Africa in the first quarter. So we were able to overcome those and deliver the $1.1 billion. 
As far as I'd just remind you that that's a run rate. So $4.2 billion is a run rate number for us of improvement per annum in underlying EBITDA. But we're not going to stop here. So we've identified $800 million in terms of our target for 2019. And as I mentioned, we've identified a bit less than half in terms of specific initiatives. We're going to back ourselves to deliver the balance. 
It will be sort of a normal theme of operating cost productivity. And as we look forward then across that period to 2022, we really start to pick up some of the themes of the innovation and technology. Now we often get asked what are the things you're going to focus on. And really is some of the lot of little things hard work. It's not just one sort of key area focus or key initiatives. It's the sum of enormous number of paths that help us deliver these. 
So as we look at underlying EBITDA and the key numbers here it really reflects what we've done with portfolio, the improvements we're heading marketing, the cost, all the efficiencies tried to, we've tried to focus on and that's really delivered the strip change in underlying earnings up 48% to $3.3 billion. Free cash flow up 93% to $4.9 billion. And obviously, the measure that we absolutely is return on capital employed up 73% to 19%. 
For those of you that need to in terms of looking forward, effective tax rate in the low 30s as we go forward. 
 The year sort of focus on continued capital discipline. You recall at the start of the year, we guided to $2.5 billion. We revised that guidance down to $2.3 billion. And we came under that $2.2 billion for the full year. 
Focus for me, as I mentioned, the half year is really to 1. When we spend it, we spend it well on the things that we need to spend it on. But also are we spending enough, are we spending enough to maintain the assets in the condition that we want to maintain them? 
So look forward to 2018 guidance of $2.6 billion to $2.9 billion. so last year, up about $0.2  billion on what we originally guided for 2017. Couple of reasons is a little bit of rollover from 2017 for things that we still need to get done, some stronger currencies that as we look forward and then there's business capital for some of those new projects that we've delivered assess that we've maintained within the portfolio. 
As we look beyond that in terms of some longer-term guidance $2.6 billion to $2.9 billion, just to note that, that excludes unapproved projects, but it does include things like underground that already in the system. 
So focusing on the balance sheet. Net debt almost half down to $4.5 billion. That flowed very directly into the EBITDA-to-cash flow ratio 0.5 and obviously, into the gearing or leverage ratio down to 13%. 
For me, it's the combination of all of these 3 measures that I suppose are really focused on, rather than just one in particular. The sort of have at different parts in the cycle. Obviously, absolute net debt real priority for us, and we'll continue in 2018. 
We have guided in terms of a net debt-to-EBITDA ratio 1 to 1.5x, but it's really at low point in the cycle that we won't to exceed that 1.5 half or any sort of extended period, and we look to bring it back inside that guideline. Then, obviously, gearing or leverage really the strength of the underlying balance sheet consistency of strategy no matter what point you are in the cycle. 
Priority for us is to continue to digital in. This is really a once financial directors life cycle that you get to fundamentally reset the balance sheet in the way that we have that opportunity now. 
Now we're seeing strong process, in particular, continuing. And that's generating fairly significant cash flow for us. So we do intend to continue to take balance sheet as we go forward. 
As we look at returns to shareholders, as far as this is for us a really good example of just simply doing what we said we do. So we reinstated the dividend early at the half year, and we announced the 40% payout ratio policy. And what that has done is really exactly as it's intended, we had a high profit in the second half. So dividends are up $0.06 to $0.54, brings the total payment for the year to $1.02 or $1.3 billion to shareholders after 2017 result. And just to note that that's the highest dividend we paid in 10 years. 
So finally, for me, really this slide comeback to my little anecdote is what it's all about at the moment in terms of how we're thinking about running the business. 
So sustainable cash flow really underpins both the balance sheet and the returns to shareholders. That strength of balance sheet has really been driven well and rapidly over the last 2 years, in particular, but particularly the last 6 to 12 months. That's enabled us to return dividends to payments and significant returns to shareholders. And obviously, then we consider the discretionary options we have target. 
We will consider additional returns to shareholders as part of that evaluation. So it is as part of that choices, I should say across the bottom. Right now, though, we think we've got the right sort of balance in terms of returns to shareholders, continue with the balance sheet and sensible growth within the portfolio. 
So how did we go? You can see sort of the on the right-hand side. When I talked to the numbers, you can see, clearly, the priority was allocating cash flow to strengthen the balance sheet and appropriate returns to shareholders. 
As we look forward, what should you expect? And the answer is pretty much more So we're going to continue to focus on cash flow, balance sheet and returns to shareholders and should expect that to continue next 6 months, 6 months beyond and in the year's following. Mark, back to you."
409115,552669241,1399614,"Anglo American plc, 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Anglo American plc","Executives","Thanks, Stuart. For those that know our organization pretty well, you be aware that we've actually got 2 sitting on the Executive, Duncan and Stephen, with a man of -- or with a frequency that they change the coaches in the next few weeks given performanc",3298,"Thanks, Stuart. For those that know our organization pretty well, you be aware that we've actually got 2 sitting on the Executive, Duncan and Stephen, with a man of -- or with a frequency that they change the coaches in the next few weeks given performance we move on. 
I think the most important point to make in talking about the future is to drove our line underway we are today. It is a fundamentally different business. 47% assets, yet, we're producing 9% more product. That productivity improvement and the efficiencies that go with it have helped us reduce our cost by 26%. 
Our EBITDA margins are up 33%, and this is against the 2013 performance. And that's against the backdrop of an 18% lower price basket today compared to when we did that comparison back in '13. So a 33% improvement in our industrial margins against an 18% lower price basket. 
As a consequence, cash flows and returns have substantially improved. And most importantly, return on capital employed at 19%, remains a number that we focus on as the measure whether we delivered those cash flows at the right way. 
in talking about the future, I want to focus on 3 points: firstly, we'll outline the key points in the transformed business as it is today, which builds of that foundation I'd like also to talk about how we think about capital allocation in the context that the future revolution and improvements we see available to us in the business. And then beyond that, where we see further scope for material continuous and step change improvement that we hope to deliver the $3 billion to $4 billion improvements that Stephen mentioned earlier. 
So first on the portfolio operating. Gahcho Kué delivered on time and budget. Grosvenor completed its first longwall at the end of last year. During the changeover and the team corrected some technical problems with the hydraulic support. We've started in the new year with a second longwall and so far so good. 
Minas-Rio, 26th of January is a very important day in terms of our states relicensing. During the course of this year, we'll complete the preparation for the next phase of expansion. We require a confirmation that we built the asset consistent with the states relicense at the end of the year and that will hope the next phase of ramp up through '19 into '20. 
On disposals and closures, we've done a lot of cleanup work through the year, and you will see some of those transactions confirmed in January. And I think that demonstrates that continuing focus on making sure focus on the assets, the focus on margins, the focus on continuous improvement. That's where we're going with in terms of all the assets. But I want to be clear, we like what we have in terms of the assets. And now we're focused on making up current businesses improve in terms of the margins and the performance in terms of delivery of returns. 
As a consequence of the focus on asset quality and again, I'll make the point that it's about the quality of the assets that we have in the portfolio. We have a business that is diversified by commodity and by geography. Our job, as a leadership team, is to bring the capabilities that we have within the business to bear on those assets and with the unique nature of the portfolio provide what we think is a very unique value proposition to our shareholders. 
And consistent with the geographic conversation, I should make a couple of points from South Africa. In the last 3 years, we've gone through major restructuring of all our businesses in South Africa. We've gone from 31 assets to 17 assets. And with the efficiency improvements, we've also delivered across the portfolio. Our EBITDA margin is around 35%. We generated $2.3 billion free cash flow last year. And we delivered a healthy return on capital employed to 23%. 
We're encouraged with the leadership changes in the country. And certainly, we're encouraged with the hand that the to the industry of the court case around the Mining Charter, I think it's a very important development. And so from our point of view, we're very focused on working across the portfolio and with the government and the stakeholders to make sure that our South African business remains competitive and continues to improve. 
South Africa is like all other jurisdictions, from our point of view, we want policy certainty and we make sure that we're doing the right things in the country to make sure that we've got a competitive industry. And when it can be demonstrated, we can make returns in the country then investment follows, which is very simple thesis and one that drives our behavior across the global portfolio. 
In terms of capital allocation, Steven has outlined our broader approach to capital and how we think about capital. I'd like to add some further shape to that conversation. Dealing with both discipline and our allocation priorities, a track record over the last 5 years has been one of discipline and delivery. And we're determined to repeat that in terms of the next 5 years. 
1 statistic that, I think, was very important to reflect on, in 2012, our sustaining capital was $2.9 billion. In 2017, it was $1.8 billion. And our production was actually 9% higher than it was in 2012. And yes little bit of lumpiness in some of those capital numbers. But from a sustaining position, the efficiencies we've improved -- or we've achieved in, our capital spend reflect the efficiencies we've achieved throughout the operations with the application of the operating model. 
On the portfolio, the focus, again, is on asset quality. Second, any expansion object or any expansion proposal that we look at is subject to intense competition for capital and is scrutinized against strict investment criteria at each stage 
In copper, we've got significant growth options both inside the assets that we've got operating today and with our greenfields potential in Quellaveco. We like the commodity, we like the resources we've got, we like the assets we've got. And we believe we've got the potential to continue to improve the copper business. 
On De Beers, as you would expect, we continue to supply to market demand. And as we see demand growing, we have the capacity to respond to the market in a sensible way without significant capital allocation. 
On Platinum, we're still in the business improvement journey. And we're in a market that doesn't require more products. So the focus has to be on continuing efficiency drives and incremental improvements, and that journey is continuing. 
On  we've developed the last few years. There has been significant capital So today, we're working hard to continue to improve our margins to make sure those assets are delivering on their potential. And once we'll continue to spend money on incremental improvements, that business is playing a very important role in generating significant cash, helping us without debt. And it, certainly, has turned out to be a great decision on making sure that we stayed focused on value and get the quality of the assets. And from our perspective, the team has done a great job in delivering on the expectations that we saw and the ability we see -- or the potential we see in those assets. 
Now continuing with the capital allocation theme, I think it's important to make a few points in respect to important markets from our point of view. We will allocate capital if the demand is there for our products. We certainly have incremental improvement opportunities that we will encourage and support But in terms of understanding the business and where it sits, I'll give you a sense of how we think about the business. 
On trading conditions, recent condition -- or recent indicators trading conditions, particularly in the U.S. are pretty strong. We also see opportunities in other markets. 
One of the most features of what we've seen in the market over the last 18 months is the amount of dominance that are buying and the 45% represents the amount of dominance both by millennial's in our 4 most significant markets. And people say that maybe buying changing. But from our point of view, millennial's are single most important of our product. 
And so I think from our point of view, that's a great outcome and certainly, shows that people buying diamonds for engagement rings, but they're also buying diamonds to celebrate other significant events in their lives. And they're looking for something that special that's unique and that's something special about the event and the person, which they celebrating that event with. 
The other significant change in the market dynamics is self purchases by women are growing. And a few years back, it was around 22%. Today, 33%. So the autonomy and the change in the demographics in purchasing behaviors is very much related to women. And certainly, from our point of view, the team have done in terms of UN female conversations and positioning the business in a different -- very different way have been very effective  in the marketing certainly. 
On geographic demand, again, the U.S. remains our most important market. And certainly, in the last 3 months, we've seen encouraging trends. We'll continue to commit to marketing expenditures. And from our point of view, we think that's very important in making sure that we promote our goods and see growth in the market. 
And on the other side of the coin in terms of synthetics, I think, certainly, deserve a comment as we had a few questions from people in the market. The why I think to characterize synthetics is there a very different market offering like compete in a different market, whether it be with crystal or other products such as costume jewelry. 
From our point of view, it's important that we continue to differentiate the value proposition for It's unique. It's rare. And from our point of view, that proposition still holds. The responsibility of us at De Beers and the industry is to make sure that, that proposition is continue to be articulating in a very clear way. 
On PGM's, electrification of the drive track, certainly something that we're aware of and watching very carefully. But let's put it in the into context, the drivetrain or the small vehicle, electric vehicles of the small diesel vehicles in Europe represent about 15% of the market for our products. 
The overall growth in demand for vehicles continues to outweigh the switching from diesel to small-scale electric vehicles. We expect that those trends will hold well up to 2030. The question we have in our minds is how much will fuel sales play into that market and counterbalance and drive growth across the sector. 
Certainly, as an industry, we have to do more to promote our products, but from our point of view, we think the prognosis for our products is very solid over the next few years. And in terms of the longer-term, hydrogen and fuel cells will be the game changer. 
We're just not sure of the timing. So we have to make sure that we remain and continue to move to the left of the cost curve in our industry. And we think, from our perspective, there are a lot of things that we can manage and improv and certainly help demand prognosis for us in the industry. 
Consistent with our overall thesis on quality of assets, in all markets, we see challenges to the demand for our products. The good thing about our position, particularly with the Mogalakwena, is that even today where people would say it's a pretty tough market for PGM's. We've delivered a 54% margin in 2017. And when you look at the character of our revenues, 40% platinum, 40% pallidum. And overtime, base metals and other products will play a more important role in the revenue stream. 
So 54% margin of a diversified revenue mix is a very important position. And we've still got a lot of improvement that we can deliver through the operating improvement programs that we see and the application of new technologies that both Chris and Tony working on across the asset. 
Amandelbult, significant resource, needs to continue to improve its cost 25% cost reduction. That will be important in terms of their business, focused on both safety and productivity. 
Our processing operations, arguably, the most efficient in the industry, delivering a stable 9% margin. We need to continue to improve to make sure we stay there. But for us, we think we're very well positioned in the industry, drive to the left, protect margins. And the long-term prognosis is pretty good when you think about the new technologies in fuel cell and hydrogen that you can -- that could impact us in a very positive way. 
Again, capital allocation We've been very targeted in the way we've developed the portfolio. In going from 68 assets down to 37 assets, we did sell a number of coal and smaller scale assets. So today, we have niche positions  Minas-Rio, quality assets, good margins, and we continue to improve our performance in each one of those areas. 
Peter, partners in positioning those products at the top end of the revenue scale. And so as a consequence, our margins in those businesses are challenging the lower cost, lower quality producers  And for us, margins drive returns. So making sure we keep our capital allocation tight, we drive our revenues and our costs and our margins returns challenging the major players in the industry. 
Again, I've got to acknowledge the team through a tough time in the last 4 years, but the performance that they've delivered while going through some uncertainties has been exceptional and the fact that we've kept those assets as a reflection of the great work they've done in improving the cost and efficiencies across the business. 
With an asset sweep of around 35 assets, we've got lots of opportunities to improve the business on an incremental basis. That is small scale capital, quick written projects, that add cash flow and returns to the business. 
The couple of examples Grosvenor by doing bottlenecking the processing plant, we get ourselves another 25% capacity, continues to help improve our cost position. It's $200 million. 
In De Beers, some of our highest value diamonds delivered from our Marine operations in the another ship less than a 3-year payback, again a very strong business developing. We have a number of other options across the portfolio, copper, De Beers, PGM's, Mogalakwena  a number of options that we can kick into place depending on market demand and the margins that we see can be delivered from those assets. 
So again, an exciting range of portfolio options across the business. 
In terms of greenfields remains a very important resource in the context of Anglo American. We're currently finalizing our feasibility work. So we're going through the verification processes post the feasibility. We expect to bring the project to the board for review at the 
It's a significant resource. We believe there are significant additional resources that could be added to improve the 30-year life that we see today, potentially doubling that life. The current estimates and operating cost around the Pound. And we've done a lot of work in de-risking the asset both from a geotechnical point of view or the permits are in place. We've built our relationship with the local community. We've built our relationship with the government. And certainly, from our point of view, we're doing the final work, so that we can bring the project to both the middle of the year. We would expect during the course of the year to make a final decision, but I certainly don't want to preempt the decision. The board would make. And so again, we are planning to take the project to the board mid-year. If there's work to be done to complete, I wouldn't expect to be significant. So during the course of the year, we'd expect to be moving forward. 
of the project is also an important principle or important point to make. We believe it's appropriate for these types of projects to bring in partners that add value, that can support the development of these types of projects, both from a risk point of view and to bring value forward. 
So thinking about would be on the basis of value. So getting that balance right is something that we'll talk to the board, and we're talking to the board about as a part of the process. 
Over the last 5 years, we've restructured the business by about an 80% productivity improvement. Half of the productivity improvements come from portfolio changes. Half of that productivity improvements come from actual underlying efficiency improvements. 
We expect to continue to improve the business. As Stevens said, we've identified $3 billion to $4 billion with the cost and volume improvements that we expect to deliver by 2022. Now that's a run rate number.  So for us, we still see a lot of opportunities to improve. 
On the continuous improvement front with our operating model, we'd expect most assets to improve in a range 3% to 5% a year. And certain some of those improvements in our numbers. 
On a broader front, the technical team led by Tony and with the business unit leaders, we've in terms of step changes. They will tend to be a little backend loaded given the innovation where we're progressing with the energy, water, the concentrate mine  but they certainly -- they will certainly start making a contribution inside that time frame. 
Embedded in a culture of continuous improvement, every person in the business is responsible for identifying and improving their part of the business. And for us, it's a way of life and in everyday conversation across the business. So we're confident we can deliver at least $3 billion to $4 billion worth of run rate improvement over the next 3 to 5 years. 
With that type of culture, the quality of the portfolio is important. And one major of quality and potential we have is that we've got a life of mine average across those assets of around 30 years. 
Our job in the next 5 years is to continue to identify improvements and work that potential. So that every year, we're getting better across the asset suite. It also provides us with flexibility to think about where we are in the market and make judgments inside those assets in terms of the best way to operate them under various market conditions. 
That's not hydrating That's just about making sure we're delivering on the potential and responding to markets conditions, which is a lot tougher when you've got high cost assets. 
And with that, we believe with the internal opportunities we have, we can continue to grow profitable production around 16% over the next 5 years. And that includes continuous improvement in some of those projects that I've talked about in terms of opportunities. 
So finally, in terms of our investment proposition, we characterize Anglo American first of the acid-base. We've got a portfolio, high-quality assets that have the potential to continue to improve as we get smarter. Second, we've built the people capabilities to get the best out of those assets. And three, we've instilled an operating capital discipline that understands our job is to deliver cash flow and returns on a sustainable basis. 
We put ourselves in a position where we don't have to do anything outside our portfolio to continue to improve or provide you with quality enhancement opportunities. 
So with that, very happy to take questions."
409115,552669241,1399614,"Anglo American plc, 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Anglo American plc","Analysts","Jason Fairclough, Bank of Americal Merrill Lynch. Mark, 2 related questions, I guess. First, Minas-Rio, I mean, it's taken a really long time to get this thing ramped up. Why? And then just from that, you're looking to care back its sounds like your decis",73,"Jason Fairclough, Bank of Americal Merrill Lynch. Mark, 2 related questions, I guess. First, Minas-Rio, I mean, it's taken a really long time to get this thing ramped up. Why? And then just from that, you're looking to care back its sounds like your decision point. How do you think about the readiness of Anglo American as an organization to do another megaproject, because to be frank, it didn't really covered with Minas-Rio?"
409115,552669241,1399614,"Anglo American plc, 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Anglo American plc","Executives","2 good questions. Firstly, on Minas-Rio. Maybe if I reflect for 1 minute on Minas-Rio. We've for the resource. We bought a project that was at concept level. The permits went in place. And we underestimated the project cost. A number of errors, and I'm ju",384,"2 good questions. Firstly, on Minas-Rio. Maybe if I reflect for 1 minute on Minas-Rio. We've for the resource. We bought a project that was at concept level. The permits went in place. And we underestimated the project cost. A number of errors, and I'm just saying we've turned that upside down and inside out to make sure we understood every lesson that can be learnt. And that very thorough. On Minas-Rio, today, the license -- the final license had remained a constraint on the footprint for the mine. So that stage 3 license has been very important With a completion of the license process we can then step out the mine and mine at 26.5 million ton rate. So now it's just physical constraint on the footprint. if you remember the Samancor incident, anything that had to do with in Brazil became an issue. And so we lost probably 18 months on that final approval as a consequence of Samancor. So we've got through that process. It's not finished. But certainly, I think point to make is the technologies that we've used for the at Minas-Rio is very different to the Samancor. It's a downstream a different engineering principle. So that's the key issue. Now going into as I said, the learnings have been applauded we have all of our major permits. We've been through all of the process with the locals, with the government, very supportive of the project. We've gone 3 times back through the engineering. We're doing a final external review. If anything we may have been a little bit conservative in the process, that's good news, but let's way to see what the final outcome is in terms of the review. All of the project disciplines have been renewed team between Tony and Duncan teams. We've pulled organization and reconstructed the business. In the last 5 years against all of the major projects that we had when I started back in 2013, we've delivered all of those projects on time for $1 billion less than the estimate I gave you back in 2013. So the disciplines are there, the learnings have been applied, we've got a different team looking at this business. This is a different business and the approach to different to what would you've seen with Minas-Rio."
409115,552669241,1399614,"Anglo American plc, 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Anglo American plc","Analysts","I have a few questions. First, on net debt, which I think was surprise coming about $1 billion below our consensus. I wonder what extent this could be because of one-off factors, I think there was $900 million overcome capital release. And I think the tax",179,"I have a few questions. First, on net debt, which I think was surprise coming about $1 billion below our consensus. I wonder what extent this could be because of one-off factors, I think there was $900 million overcome capital release. And I think the taxes paid were also about $600 million below the a figure on the net -- on the income statement. So the total about $1.5 billion. So I wonder on normalized working capital and excluding this movement in deferred taxes, what would be the adjusted net debt figure for the year? That's question number one. Second, are you expect CapEx to increase by about $500 million next year give us an idea which divisions, which projects will be the main drivers here? Third, the diamond production guidance, you expect 2018 to be a bumpy year. And then, production to go down to about 32 million carats. Is just because this is the physical constraint, you cannot go higher? Or is this how you see the market don't see more demand? And finally, just very short."
409115,552669241,1399614,"Anglo American plc, 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Anglo American plc","Executives","I think you're going have to spend an extra penny. Let Mr. pick up the 2 capital numbers.",19,"I think you're going have to spend an extra penny. Let Mr. pick up the 2 capital numbers."
409115,552669241,1399614,"Anglo American plc, 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Anglo American plc","Executives","So firstly, on net debt outcome as far as we've appreciated lower we're expecting. But really as far as the thing that placed about is the translation of EBITDA into cash flow. It's probably focus. So I'm pleased about that. Yes, working capital has been",470,"So firstly, on net debt outcome as far as we've appreciated lower we're expecting. But really as far as the thing that placed about is the translation of EBITDA into cash flow. It's probably focus. So I'm pleased about that. Yes, working capital has been a focus. And I think I flagged that at the half year as well. So I can't promise we're going to continue to reduce it. What I can promise is that we'll continue to understand it better and better in terms of days, et cetera. So yes, we saw probably a little bit of price increase receivables towards the end of the year. Inventories, in fact, will probably a little bit higher than we'd hope in a couple of areas. So in and in particularly, we couldn't all get the tons to the ports that we wanted. But offsetting that was probably a really positive moving creditors, which is probably a little more that what people were expecting. And one of the biggest things in that is being the prepayment that we have through the platinum business, increased and also some of the change in the arrangements as we have moved some of the operations and joint ventures into sort of processing of concentrates contracts. You've seen that translate into some working capital movements as well. So I'm pretty comfortable with where it is from working capital point of view. But I wouldn't be banking on major steps forward from that from a dollar point of view. On the  so yes, there's a couple of timing things, probably the major one I'd point out would be dryer. We will probably have a bit of -- probably $400 million pick up, I think, towards the tail end of 2018. And that's just timing as we have come out of constructions and lower processing profits. So that will true it self through 2018. On CapEx, so again, just a reminder, our original guidance was $2.5 billion. Our guidance into next year was $2.6 billion to $2.8 billion. Again, carryover from '17 FX and some additional projects that and probably the influences. The majority of the CapEx that was really around stay in business mine development. So they're really the key things that we're focused on. And some of that's really the continuation of the projects we've already got in play. So is a great example. That's probably the major point that was this year and next year in terms of expansion top capital. But there's still some work to do in terms of as we get ready for long hauls of things. So it's a combination. It's probably spread. So nothing on particularly sort of pull out there. Mark, I'd like you to comment on production, but obviously from underground place sort of 3 to 4 as"
