"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
339305,550774284,1399620,"Realty Income Corporation, Q4 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Realty Income Corporation","Operator","Good day, and welcome to the Realty Income Fourth Quarter and Year End 2017 Operating Results Conference Call. Today's conference is being recorded.At this time, I'd like to turn the conference over to Janeen Bedard, Senior Vice President. Please go ahe",42,"Good day, and welcome to the Realty Income Fourth Quarter and Year End 2017 Operating Results Conference Call. Today's conference is being recorded.
At this time, I'd like to turn the conference over to Janeen Bedard, Senior Vice President. Please go ahead."
339305,550774284,1399620,"Realty Income Corporation, Q4 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Realty Income Corporation","Executives","Thank you all for joining us today for Realty Income's Fourth Quarter 2017 Operating Results Conference Call.Discussing our results will be John Case, Chief Executive Officer; Paul Meurer, Chief Financial Officer and Treasurer; and Sumit Roy, President",112,"Thank you all for joining us today for Realty Income's Fourth Quarter 2017 Operating Results Conference Call.
Discussing our results will be John Case, Chief Executive Officer; Paul Meurer, Chief Financial Officer and Treasurer; and Sumit Roy, President and Chief Operating Officer.
During this conference call, we will make certain statements that may be considered to be forward-looking statements under federal securities law. The company's actual future results may differ significantly from the matters discussed in any forward-looking statements. We will disclose in greater detail the factors that may cause such differences in the company's Form 10-K. [Operator Instructions]
I will now turn the call over to our CEO, John Case."
339305,550774284,1399620,"Realty Income Corporation, Q4 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Realty Income Corporation","Executives","Thanks, Janine, and welcome to our call today. We're pleased to complete another successful year for our company, with healthy AFFO per share growth of 6.3%.We achieved this growth while completing just over $1.5 billion and high-quality acquisition gen",104,"Thanks, Janine, and welcome to our call today. We're pleased to complete another successful year for our company, with healthy AFFO per share growth of 6.3%.
We achieved this growth while completing just over $1.5 billion and high-quality acquisition generating favorable rent recapture rates and continuing to strengthening our balance sheet, becoming one of a handful of REITs with at least 1 single A credit rating. We are introducing 2018 AFFO per share guidance of $3.14 to $3.20, which represents annual growth of approximately 3% to 5%. 
Let me hand it over to Paul now to provide additional detail on our financial results. Paul?"
339305,550774284,1399620,"Realty Income Corporation, Q4 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Realty Income Corporation","Executives","Thanks, John. I'm going to provide highlights for a few items and our financial results for the quarter and year, starting with the income statement. Interest expense increased in the quarter by $12.5 million to $61.5 million. This increase was due to t",536,"Thanks, John. I'm going to provide highlights for a few items and our financial results for the quarter and year, starting with the income statement. 
Interest expense increased in the quarter by $12.5 million to $61.5 million. This increase was due to the $2 billion of long-term bonds we issued during 2017, as well as lower interest rate swap gain versus the comparative quarter a year ago.
Our G&A, as a percentage of total rental and other revenues, was 5.1% for the quarter and 5% for the year, which was in line with our full year projection.
We continue to have the lowest G&A ratio in the net lease REIT sector, and we project G&A to remain approximately 5% in 2018. Our nonreimbursable property expenses, as a percentage of total rental and other revenues, was 1.8% for the quarter and 2% for the year, which also was in line with our full year projection. We expect nonreimbursable property expenses to remain in that 1.5% to 2% range in 2018.
Funds from operations, or FFO, per share was $0.61 for the quarter and $2.82 for the year. In the fourth quarter, we recognized a onetime charge of $42.4 million or $0.15 per share as a result of the early redemption of our 6.75% 2019 bonds, which we replaced with longer-term and lower coupon bonds.
As a reminder, our reported FFO does follow the NAREIT defined FFO definition, which includes various nonrecurring and noncash items such as interest rate swaps, gains or losses; amortization of lease intangibles; the $0.05 charge we incurred in connection with our preferred stock redemption back in April; and this $0.15 bond redemption charge we incurred in December. These 2 redemption charges from liability management this year, totaling $0.20 cents, were the primary driver of the difference in FFO and AFFO in 2017.
Adjusted funds from operations, or AFFO, or the actual cash we have available for distribution as dividends, was $0.76 per share for the quarter and $3.06 for the year, representing a 6.3% increase over 2016.
Briefly turning to the balance sheet. We've continued to maintain our conservative capital structure. During the quarter, we raised $136 million in equity, primarily through our ATM program. For the full year, we raised over $1.4 billion in equity at approximately $60 per share.
Additionally, we issued $1.3 billion in long-term fixed-rate unsecured bonds during the quarter, at a weighted average yield of 3.48% and a weighted average term of 11.8 years. Last year, we extended the weighted average maturity of our bonds from 6.6 years at the start of the year to 9.3 years at the end of 2017. Additionally, our fixed charge coverage ratio is now 4.8x, which is the highest coverage in our company's history.
Our overall debt maturity schedule remains in very good shape, with less than $100 million of debt coming due the remainder of 2018, and our maturity schedule is well laddered thereafter.
Our overall leverage remains modest. Our pro forma debt to EBITDA, assuming the annualized impact of our fourth quarter acquisition, is now 5.4x. In summary, we continued to have low leverage, excellent liquidity and strong coverage metrics.
And now let me call fall back over to John."
339305,550774284,1399620,"Realty Income Corporation, Q4 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Realty Income Corporation","Executives","Thanks, Paul. I'll begin with an overview of the portfolio, which continues to perform well. Occupancy, based on the number of properties, was 98.4%, an increase of 10 basis points versus the year-ago period and matching our 10-year high for year-end occu",921,"Thanks, Paul. I'll begin with an overview of the portfolio, which continues to perform well. Occupancy, based on the number of properties, was 98.4%, an increase of 10 basis points versus the year-ago period and matching our 10-year high for year-end occupancy. We expect occupancy to be approximately 98% for 2018.
During the year, we released 259 properties, recapturing approximately 106% of the expiring rent, which is significantly above our long-term average. This was our sixth consecutive quarter of leasing recapture rates above 100%. Our recapture rates reflect net effective rents, as we saw them incur tenant improvements and leasing commission. This compares favorably to those companies in our sector who also report this metric.
Additionally, our recapture rates have continued to improve as we have increased our active asset management efforts. Since 2013, our recapture rates have been 102%, an improvement over our previous run rate of 96%. This is a testament to the talent and experience of our portfolio and asset management teams, which we view is one of our competitive advantages in the net lease industry.
Moving on to dispositions. We also continue to selectively sell properties that no longer meet our investment criteria. In 2017, we sold $166 million of nonstrategic assets, achieving an unlevered IRR of approximately 10% and a cap rate on leased property sales of approximately 7%. 20% of the disposition proceeds were from the vacant assets that we were pleased to dispose off, given the associated carrying costs. These negative cash flowing properties were sold at an attractive IRR at approximately 9%.
This allowed us to recycle the proceeds into properties that better fit our investment criteria, generating earnings growth and incremental shareholder value. Our same-store rental revenue increased 1% during the year, which is consistent with our projected run rate for 2018.
The methodology for our same-store pool excludes properties that were vacant, under development or redevelopment or involved in eminent domain actions during any point of the comparable periods. Our methodology is consistent with how we manage our portfolio, isolating our rental rate trends on leased assets. However, we recognized that some of the investment community prefer to analyze this metric without excluding any properties.
As a result, we have decided to add an additional disclosure, which we will present on an annual basis at year end to reflect our same-store rental revenue growth, inclusive of all properties owned for the entirety of the comparable periods. In 2017, our same-store rental revenue growth for all properties owned in both comparable years was also 1% of rent.
Our portfolio continues to be diversified by tenant, industry, geography and to a certain extent, property type, which contributes to the stability of our cash flow. At the end of the year, our properties were leased to 249 commercial tenants and 47 different industries located in 49 states in Puerto Rico.
81% of our rental revenue is from our traditional retail properties. The largest component outside of retail is industrial properties at about 12% of rental revenue. Walgreens remains our largest tenant at 6.5% of rental revenue, and drugstores remained our largest industry at 10.6% of rental revenue.
Within our retail portfolio, over 90% of our rent come from tenants with a service, nondiscretionary and/or low price point component to their business.
We believe these characteristics allow our tenants to compete more effectively with e-commerce and operate in a variety of economic environments. These factors have been particularly relevant in today's retail climate, where the vast majority of U.S. retailer bankruptcies in 2017 were in industries that do not possess these characteristics.
We continue to have excellent credit quality in the portfolio, with 46% of our annualized rental revenue generated from investment grade rated tenants.
The store level performance of our retail tenants also remained sound. The weighted average rent coverage for our retail properties is 2.8x on a 4 wall basis, while the median remains 2.7x. This metric is currently at the upper end of our historical range.
Our watch list remains in the low 1% range, as a percentage of rent, which is also consistent with our levels of the last few years.
Moving on to acquisitions. We completed just over $1.5 billion in acquisitions in 2017, of which $563 million was completed during the fourth quarter. We continue to see a steady flow of opportunities that meet our investment parameters. 
During the quarter, we sourced $6.2 billion in acquisition opportunities, bringing us to $30.4 billion sourced in 2017. We remain selective in our investment strategy, acquiring approximately 5% of the amount sourced.
Our capital costs have increased recently. We continue to invest at accretive investment spreads over our short-term cost of capital, that are consistent with our historical average of approximately 150 basis points.
As a reminder, our nominal first year weighted average cost of capital reflects both our current AFFO yield as well as our cost of 10-year unsecured fixed rate debt, which has experienced considerable spread compression following our upgrade to A3 by Moody's in November.
Our continued low cost of capital allows us to acquire the highest-quality properties that provide favorable long-term returns, while also creating meaningful near-term earnings growth.
Given the continued strength in our investment pipeline and the current market environment, we're estimating 2018 acquisitions to be $1 billion to $1.5 billion. As a reminder, this estimate primarily reflects our typical flow business and does not account for any unidentified large-scale transactions.
I'll hand it over to Sumit now to discuss acquisitions and dispositions in more detail."
339305,550774284,1399620,"Realty Income Corporation, Q4 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Realty Income Corporation","Executives","Thank you, John. During the fourth quarter of 2017, we invested $563 million in 130 properties located in 27 states, at an average initial cash cap rate of 6.25% and with a weighted average lease term of 13.6 years.On a revenue basis, approximately 65%",377,"Thank you, John. During the fourth quarter of 2017, we invested $563 million in 130 properties located in 27 states, at an average initial cash cap rate of 6.25% and with a weighted average lease term of 13.6 years.
On a revenue basis, approximately 65% of total acquisitions are from investment-grade tenants. 91% of the revenues are generated from retail and 9% are from industrial assets. These assets are leased to 28 different tenants in 16 industries. We closed 30 discrete transactions in the fourth quarter, and the average investment per property was approximately $4.3 million.
During 2017, we invested $1.52 billion in 303 properties located in 40 states at an average initial cash cap rate of 6.4% and with a weighted average lease term of 14.4 years. On a revenue basis, approximately 48% of total acquisitions are from investment-grade tenants, 95% of the revenues are generated from retail and 5% are from industrial.
These assets are leased to 61 different tenants in 23 industries. Of the 80 discrete transactions closed during 2017, 4 transactions were above $50 million.
Transaction flow continues to remain healthy. Of the opportunities sourced during the year, 49% were portfolio and 51% were one-off assets. Investment-grade opportunities represented 23% for the fourth quarter. Of the acquisitions closed in the fourth quarter, 57% were one-off transactions.
As to pricing, cap rates remained steady in the fourth quarter. Our investment spreads relative to our weighted average cost of capital were healthy, averaging 175 basis points in the fourth quarter, which were above our historical average spreads. We define investment spreads as initial cash yield less our nominal first year weighted average cost of capital.
Our dispositions program remained active. During the quarter, we sold 13 properties for net proceeds of $97.2 million, at a net cash cap rate of 6.9% and realized an unlevered IRR of 8.7%. This brings us to 58 properties sold during 2017 or $166.2 million at a net cash cap rate of 7.1% and an unlevered IRR of 9.9%.
We had an exceptional year in 2017 regarding acquisitions as well as dispositions. We look forward to achieving our 2018 acquisition target and disposition volume between 75 million and 100 million.
With that, I'd like to hand it back to John."
339305,550774284,1399620,"Realty Income Corporation, Q4 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Realty Income Corporation","Executives","Thanks, Sumit. As Paul said, 2017 was a very active year for our capital markets activities. We issued just under $1.5 billion in common equity, at an average price to investors of $60 per share. Additionally, we issued $2 billion in fixed-rate unsecure",266,"Thanks, Sumit. As Paul said, 2017 was a very active year for our capital markets activities. We issued just under $1.5 billion in common equity, at an average price to investors of $60 per share. 
Additionally, we issued $2 billion in fixed-rate unsecured bonds at a weighted average yield of 3.7%, with the term of over 14 years. The nearly $3.5 billion of permanent and long-term capital was used to term out our loan balance, fund our acquisitions activity and redeem high coupon bonds. 
As a result of these capital markets activities, we reduced our leverage and extended the average term on our debt by almost 3 years. We currently have approximately $1.5 billion available on our $2 billion line of credit. We have ample liquidity and flexibility as we grow our company.
Last month, we increased the dividend for the 95th time in our company's history. Our current annualized dividend represents a 4% increase over the year-ago period. We have increased our dividend every year since the company's listing in 1994, growing the dividend at a compound average annual rate of 4.7%.
We are proud to be 1 of only 5 REITs in the S&P High Yield Dividend Aristocrats Index. Our 2017 AFFO payout ratio of 82.6% was our lowest payout ratio since 2007.
To wrap it up, we were pleased with our company's performance in 2017 and remained optimistic for 2018. Our real estate portfolio, acquisitions pipeline and balance sheet all remained healthy, contributing to favorable risk-adjusted earnings growth for our shareholders.
At this time, I'd like to open it up for questions. Operator?"
339305,550774284,1399620,"Realty Income Corporation, Q4 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Realty Income Corporation","Operator","[Operator Instructions] And we'll take our first question from Joshua Dennerlein with Bank of America Merrill Lynch.",17,"[Operator Instructions] And we'll take our first question from Joshua Dennerlein with Bank of America Merrill Lynch."
339305,550774284,1399620,"Realty Income Corporation, Q4 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Realty Income Corporation","Analysts","My question is on lease renewals. What were the nature of lease renewals in '17? Did you renew anything early that might have been expiring in '18 or beyond? And what's up for renewal this year that you haven't renewed yet?",41,"My question is on lease renewals. What were the nature of lease renewals in '17? Did you renew anything early that might have been expiring in '18 or beyond? And what's up for renewal this year that you haven't renewed yet?"
339305,550774284,1399620,"Realty Income Corporation, Q4 2017 Earnings Call, Feb 22, 2018",2018-02-22,"Earnings Calls","Realty Income Corporation","Executives","Yes. That's great question, Josh. We have consistently proactively got in front of our future year's lease rollover. So last year, we were able to address more than 30% of the 2018 leases rolling during 2017. So we had good activity on the properties rele",184,"Yes. That's great question, Josh. We have consistently proactively got in front of our future year's lease rollover. So last year, we were able to address more than 30% of the 2018 leases rolling during 2017. So we had good activity on the properties released in 2017, achieving above average recapture rates. We didn't really have a lot of significant releasing activity amongst our top 20 tenants, but we did have some fairly sizable portfolios that we were able to address in 2017 that were set to expire in 2018. One of those was our PNC Bank portfolio. We owned 49 assets leased to PNC Bank, and we were able to released 47 of the 49 assets to PNC during 2017 and extending the maturities from 2018 to ranging from 2023 to 2029, and we were able to add substantial term to those leases and also recapture rental rates that were well above our average for the year. So that's something we've always done. As we sit here today, we're working on 2019 and 2020 lease rollovers, including the remaining lease rollovers for 2018."
