"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
252684,597399085,1647970,"Atmos Energy Corporation, Q1 2019 Earnings Call, Feb 06, 2019",2019-02-06,"Earnings Calls","Atmos Energy Corporation","Operator","Greetings, and welcome to Atmos Energy's First Quarter 2019 Earnings Call. [Operator Instructions] As a reminder, this conference is being recorded. I would now like to turn the conference over to your host, Jennifer Hills, Vice President of Investor Re",40,"Greetings, and welcome to Atmos Energy's First Quarter 2019 Earnings Call. [Operator Instructions] As a reminder, this conference is being recorded. 
I would now like to turn the conference over to your host, Jennifer Hills, Vice President of Investor Relations."
252684,597399085,1647970,"Atmos Energy Corporation, Q1 2019 Earnings Call, Feb 06, 2019",2019-02-06,"Earnings Calls","Atmos Energy Corporation","Executives","Thank you, and good morning, everyone, and thank you for joining us for. This call is being webcast live on the internet. Our earnings release and conference call slide presentation are available on our website at atmosenergy.com. As we review these finan",120,"Thank you, and good morning, everyone, and thank you for joining us for. This call is being webcast live on the internet. Our earnings release and conference call slide presentation are available on our website at atmosenergy.com. As we review these financial results and discuss future expectations, please keep in mind that some of our discussion might contain forward-looking statements within the meaning of the Securities Act and the Securities Exchange Act. Our forward-looking statements and projections could differ materially from actual results. The factors that could cause such material differences are outlined on Slide 21 and are more fully described in our SEC filings. 
Our first speaker is Chris Forsythe, Senior Vice President and CFO at Atmos Energy. Chris?"
252684,597399085,1647970,"Atmos Energy Corporation, Q1 2019 Earnings Call, Feb 06, 2019",2019-02-06,"Earnings Calls","Atmos Energy Corporation","Executives","Thank you, Jennifer, and good morning, everyone. We appreciate your interest in Atmos Energy. Yesterday, we reported fiscal 2019 first quarter earnings of $158 million, a $1.38 per diluted share compared with adjusted earnings of $152 million or $1.40 per",957,"Thank you, Jennifer, and good morning, everyone. We appreciate your interest in Atmos Energy. Yesterday, we reported fiscal 2019 first quarter earnings of $158 million, a $1.38 per diluted share compared with adjusted earnings of $152 million or $1.40 per diluted share in the prior-year quarter. Fiscal 2018 adjusted earnings and diluted earnings per share, excluding [ $152 million ], a $1.49 per diluted share benefit as a result of tax reform last year. 
Also, yesterday, the Board of Directors approved a 141st consecutive quarterly dividends of $0.525, which represents an indicated annual dividend of $2.10 per share for fiscal 2019, an 8.3% increase over fiscal 2018. While [indiscernible] by the quarter-over-quarter changes, operating income in our distribution and pipeline storage segments. I'll touch in a few of the highlights. Contribution margin for distribution segment grows a net 1% or about $4 million, strong consumption driven by colder weather in October and November when by the normalization mechanisms are not yet an effect contributing an incremental $7.7 million. 
Weather 20% colder in the quarter with most [indiscernible] experiencing colder-than-normal condition. 
Solid [indiscernible] customer growth continued, primarily in our Mid-Tex Division, though in the last 12 months, our distribution segment added a net [ 36,000 ] customers, which represents 1.1% net customer growth. This growth contributed incremental $3.7 million of contribution margin. The implementation of tax reform is the [indiscernible] bills more than offset rate increases that were implemented [Audio Gap] in the prior fiscal year and the first quarter, resulting in net $7.3 million increase in customer rates. 
As I said no impact for the segment net income as a result of the corresponding reduction in our effective income tax rate. Operating expenses rose 3.5%. Higher employee-related costs, depreciation and [indiscernible] tax expenses drove this increase. 
In our pipeline and storage segment, contribution margin increased about $9 million. About 2/3 of this increase relates to the new rates that implement approved in the prior fiscal year through APT's 2 GRIP filings. Additionally, stronger transportation margins contributed incremental $3.1 million, net of the impact of our right revenue mechanism as APT continues to benefit from wider spreads. 
The supply and demand dynamics in the Permian basin combined the colder weather drove a 12% increase in transportation volumes. Operating expenses for this segment increased $11 million or almost 20%. This increase is focused on pipeline integrity work and reflects the timing of these activities. In the current year quarter, APT accelerate some [indiscernible] testing that new client provided this fiscal year. In the prior year quarter, pipeline [indiscernible] work that had been planned for the first quarter was deferred lagger into fiscal 2018, resulting in a lower-than-normal expense for that quarter. 
Additionally, depreciation and admin belong taxes grow year-over-year due to last year's capital spending. Consolidated capital spending increased 8.7% to [ $460 million ], about 82% of the spending dedicated to safety and reliability projects. Colder wet weather [indiscernible] created challenging conditions which delayed some projects. However, we benefit from having over 6,000 relatively small projects each year that allow us to quickly relocate our spending when we faced these types of challenges. We remain on track to achieve our capital spending target of $1.65 billion to $1.75 billion for the year. 
From the financial perspective, we had a very busy quarter. As you can compare, the $1.35 billion in debt and equity financing. And during October, we completed a successful $600 million, 30-year public debt issuance at an interest of 4.3%. The net proceeds were used to pay down outstanding commercial paper. 
In late November, we issued approximately $750 million of equity. The offering included an equity arrangement that will remain in place through March of 2020. The contemplation of the offering from [indiscernible] approximately $495 million in net proceeds and allocated the remaining $245 million to the forward. 
As of September 21, we got an excess in net proceeds allocated to [indiscernible]. At this time, we anticipate the net proceeds from this [indiscernible] will satisfy our equity needs for fiscal 2019. Additionally, in November, we filed a new $500 million at the market equity issuance program that was [indiscernible] equity needs beyond fiscal 2019. 
As a result of these financing activities, equity capitalization was 59% and we had no short-term debt at quarter-end. We consider the $218 million in cash on hand at the end of December with approximately $1.8 billion in total liquidity available to support our capital spending program. After an exceptionally busy year in fiscal 2018, we completed our fiscal -- we expect our fiscal 2019 regulatory calendar to return to a more traditional cadence. To date, we've implemented $21 million of annualized regulatory outcomes and held about $38 million in progress. [indiscernible] generate cases in Kentucky and for about 15% of our Texas customers and annual filings were [indiscernible] serviced area in Louisiana, the City of Dallas and Tennessee highlight the key filings of current in progress. We continue to implement tax reform into customer bills with completion of our Mississippi and Tennessee annual filings during the first quarter. Virginia, as the last date we have not yet incorporated effects of tax reform into our rates but our general rate case in Permian progress will address tax reform. We're now focused on finalizing the refund periods for access deferred taxes. Slide 20 details the progress we have made on tax reform to date. 
In summary, we're off to a solid start to this fiscal year. We remain on track to meet our 6% to 8% earnings per share growth target. And yesterday, we reaffirmed our fiscal 2019 earnings per share guidance range of $4.20 to $4.35 per diluted share. 
I will now turn the call over to Mike for some closing remarks."
252684,597399085,1647970,"Atmos Energy Corporation, Q1 2019 Earnings Call, Feb 06, 2019",2019-02-06,"Earnings Calls","Atmos Energy Corporation","Executives","Well, thank you, Chris, for the update on the quarter. It was a very good quarter, and thank you, for those of you who are joining us this morning. As you can see from our fiscal first quarter results, we're off to a very good start for the year. We remai",1240,"Well, thank you, Chris, for the update on the quarter. It was a very good quarter, and thank you, for those of you who are joining us this morning. As you can see from our fiscal first quarter results, we're off to a very good start for the year. We remain on track to meet our investor -- investment spending goals and our earnings growth target. The 8.7% increase in capital spending during the first quarter demonstrates our team's consistent predictable exposition of our safety investment strategy. In order to sustain this strategy for the long term, which includes increasing our capital spending from $9 billion over the past 10 years, to be in $9 billion to $10 billion over the next 5 years, our team is constantly looking for ways to improve. In the first quarter, we began rolling out new advanced asset data collection technology to field employees and contractors. During construction, crews will collect GPS locations, material, construction methods, operator qualification data, the newly constructed pipeline. This will transform the process of asset data collection, data verification, project closings and the transfer of that key data to backend systems that are used to support operations, maintenance, damage prevention, integrity management and our compliance programs. With thousands of capital projects completed each year, innovations like there's reliability section of our emerging technology, business process change and most importantly, our employees, are certainly game changers on our safety journey. This rollout will continue through this year 2019 and also through 2020. 
This transformational technology is the one example of the many initiatives underway inside the company to scale our capabilities, capture efficiencies and enable our very talented employees to do what they do best, which is investing in safety and conserving our customers and members of the community exceptionally well. 
We're also taking huge steps forward in message of the mitigating with key stakeholders. In the first quarter, we implemented interactive project maps for all of our service areas that are displayed on our company website and show current and recently completed pipe replacement projects, given our customers and other stakeholders access the status update or my projects and their communities, fly down to the street level. For larger projects we now develop customized websites, contact sonic was it, send out mailings and use other channels as needed to most effectively reach our customers. And we're beginning to publish annual operating reports for our regulators and also community leaders. And we meet with officials in the cities we serve to keep them informed about our pipe replacement activity. 
In December, we issued our first corporate responsibility report under the title of an Integrated Annual Report. We also published our first [indiscernible] emissions report. Keeping the key stakeholders informed, the company actions supporting our long-term commitments to good governance on employees, customers, the 1,400 communities we serve and the environment. 
I want to share some of the highlights from these reports. We'd hear the strong corporate government by decision including the focus on thought diversity of the board. Women now hold more than 20% of our board seats. And 3 or 4 directors who joined the board since 2016 are female and minorities. And this year, the board will further strengthen corporate governance by forming a new board committee to oversee the company's corporate responsibility and sustainability. 
In our pursue to be the safest provider of natural gas services, we know that quipping employees with the training tools and support they need to operate safely and contribute at the highest level of essential power success. Employees received more than 53,000 hours of safety training last year and more than 73,000 hours of hands-on technical training and the state-of-the-art Charles K. Vaughan training center in Plano, which is a site of more than 850,000 hours of training since its opening. In part due to this training, the Osher of recordable employee injuries that decreased 23% since 2013. 
Over the past 5 years, employees also benefited from more than $1 million in higher education assistance received through the company's Robert W [indiscernible] Education Assistance program. Employees continue to reach new heights in building its exceptional customer service, given customers more options and convenience for initiating servers, calling a marble and making a payment arrangement. Our new Spanish-language account center wasn't limited in the past quarter as well as intelligent call routing technology that anticipates customers need and connects them with the most qualified agents. 
And our customers tell us they like what they see. 96% of our customers are satisfied or very satisfied with the interactions with our context center agents and 97% of are satisfied or very satisfied with our on-site technicians. The company contributed $6.1 million to share the board organization last year and that includes $2.7 million that went to help customer in need to our energy assistance program. We'll also work with 400 communities support organizations to give lower income families access to federal home energy assistance plans for it I am particularly proud of the contributions our efficient energy make in the communities in which they operate. Last year, employees contributed $700,000 during our week of giving campaign and volunteered more than 35,000 hours of their own time to help their community. Also highlighted in the report as the work our team does to protect the environment, which has always been important to our company, our employees, our customers and the communities. As a founding member of the EPA's natural gas side mapping challenge program, we work proactively to improve efficiency and reduce methane emissions. Since 2012, we've replaced over 3,500 miles of pipe and we've decreased total emissions through to the use and loss are natural gas by 13.7% in our system. Over the next 5 years, we plan to replace between 5,000 and 6,000 miles of pipeline, including all remaining gas cast iron by 2021, 2 years earlier than originally planned. 
And between 200,000 and 300,000 field service lines. This will reduce methane emissions another 10% to 15%. As we continue to replace infrastructure, we set a goal to reduce our systems methane emissions by 50% by 2035. In addition to pipe line replacement, we're protecting environment in other ways. In 2018, we completed our 9 Leed certified service center and we have 4 more on the way. Over 40% of our customers has signed up for electronic building, one of the highest percentages in the industry, resulting in savings of approximately  152,000 pounds of paper every year. And we partner with municipal solid waste landfill gas producers to transport renewable natural gas to market. And for safety and to best serve our customers, for review and incorporate state-of-the-art equipment for lease detection, monitoring and liquid [indiscernible] prioritization, including the use of 11 advanced mobile the production technology units that are 1,000x more sensitive than traditional technologies. 
In closing, as always, I'd like to thank our employees for their outstanding efforts. They strive to find ways to improve every day that deliver safe, reliable, affordable and exceptional natural gas service for the nearly $3.3 million customers we serve in over 1,400 communities in our 8-state footprint. They come to work every day focused on safety, by providing excellent customer service, closely monitoring and maintaining our system and executing our capital spending program. We appreciate your time this morning. We're off to good start for the year. 
And now we'll take any questions you may have."
252684,597399085,1647970,"Atmos Energy Corporation, Q1 2019 Earnings Call, Feb 06, 2019",2019-02-06,"Earnings Calls","Atmos Energy Corporation","Operator","[Operator Instructions] Our first question is from Christopher Turnure with JPMorgan.",11,"[Operator Instructions] Our first question is from Christopher Turnure with JPMorgan."
252684,597399085,1647970,"Atmos Energy Corporation, Q1 2019 Earnings Call, Feb 06, 2019",2019-02-06,"Earnings Calls","Atmos Energy Corporation","Analysts","It was helpful that you quantify the impact of wider basis spreads at APT on the quarter. Certainly, good to see that number. It's difficult to do, but could you maybe take a crack at talking about how sustainable that might be throughout 2019 and maybe i",48,"It was helpful that you quantify the impact of wider basis spreads at APT on the quarter. Certainly, good to see that number. It's difficult to do, but could you maybe take a crack at talking about how sustainable that might be throughout 2019 and maybe into 2020?"
252684,597399085,1647970,"Atmos Energy Corporation, Q1 2019 Earnings Call, Feb 06, 2019",2019-02-06,"Earnings Calls","Atmos Energy Corporation","Executives","It's Chris, good morning, by the way, and thanks for being on for your question. As as we've said in the past, it's difficult to predict really beyond the current quarter. We do know that there is additional pipeline capacity. It's factored to come on and",198,"It's Chris, good morning, by the way, and thanks for being on for your question. As as we've said in the past, it's difficult to predict really beyond the current quarter. We do know that there is additional pipeline capacity. It's factored to come on and to service at the end of calendar year. And so we would expect that, that would normalize pressing a little bit. And as you know -- and a lot of our transport opportunities are opportunistic as we serve primarily our firm supply customers, which would we the LDCs and our on system industrials. And as we get into the summer months, as we saw in the last summer, we do an awful lot of made up maintenance on the pipeline when we're in the off-peak season. So we're not going to get into the production for the rest of the year. We're happy we got off to a good start and had this opportunity. And again, as you know, and others know, that 3 quarters of any benefits beyond the regular benchmark flow back to our care of customers, which is -- creates yet another opportunity to keep customers build up."
252684,597399085,1647970,"Atmos Energy Corporation, Q1 2019 Earnings Call, Feb 06, 2019",2019-02-06,"Earnings Calls","Atmos Energy Corporation","Analysts","Okay. So it is for the first quarter, fair to say that you're running a little bit of head of maybe the plan that you had introduced back in November?",30,"Okay. So it is for the first quarter, fair to say that you're running a little bit of head of maybe the plan that you had introduced back in November?"
252684,597399085,1647970,"Atmos Energy Corporation, Q1 2019 Earnings Call, Feb 06, 2019",2019-02-06,"Earnings Calls","Atmos Energy Corporation","Executives","Yes.",1,"Yes."
252684,597399085,1647970,"Atmos Energy Corporation, Q1 2019 Earnings Call, Feb 06, 2019",2019-02-06,"Earnings Calls","Atmos Energy Corporation","Executives","Yes.",1,"Yes."
