"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
8057672,600093695,1663795,"Extra Space Storage Inc., Q4 2018 Earnings Call, Feb 21, 2019",2019-02-21,"Earnings Calls","Extra Space Storage Inc.","Operator","Good day, ladies and gentlemen, and welcome to the Fourth Quarter 2018 Extra Space Storage Inc. Earnings Conference Call. [Operator Instructions] As a reminder, this call is been recorded. I would now like to turn the call over to Jeff Norman, you may b",44,"Good day, ladies and gentlemen, and welcome to the Fourth Quarter 2018 Extra Space Storage Inc. Earnings Conference Call. [Operator Instructions] As a reminder, this call is been recorded. 
I would now like to turn the call over to Jeff Norman, you may begin."
8057672,600093695,1663795,"Extra Space Storage Inc., Q4 2018 Earnings Call, Feb 21, 2019",2019-02-21,"Earnings Calls","Extra Space Storage Inc.","Executives","Thank you, Michelle. Welcome to Extra Space Storage's Fourth Quarter and Year-end 2018 Earnings Call. In addition to our press release, we have furnished unaudited, supplemental financial information on our website.Please remember that management's prep",157,"Thank you, Michelle. Welcome to Extra Space Storage's Fourth Quarter and Year-end 2018 Earnings Call. In addition to our press release, we have furnished unaudited, supplemental financial information on our website.
Please remember that management's prepared remarks and answers to your questions may contain forward-looking statements as defined in the Private Securities Litigation Reform Act. Actual results could differ materially from those stated or implied by our forward-looking statements due to risks and uncertainties associated with the company's business. These forward-looking statements are qualified by the cautionary statements combined in the company's latest filings with the SEC, which we encourage our listeners to review. Forward-looking statements represent management's estimates as of today, Thursday, February 21, 2019. The company assumes no obligation to revise or update any forward-looking statements because of changing market conditions or other circumstances after the date of this conference call. 
I would now like to the call over to Joe Margolis, Chief Executive Officer."
8057672,600093695,1663795,"Extra Space Storage Inc., Q4 2018 Earnings Call, Feb 21, 2019",2019-02-21,"Earnings Calls","Extra Space Storage Inc.","Executives","Thank you, Jeff, and hello, everyone. Thank you for joining us for our fourth quarter and year-end call. It was great to have so many of you here last month for our Investor Day, and we appreciate your interest in and support of Extra Space Storage.2018",585,"Thank you, Jeff, and hello, everyone. Thank you for joining us for our fourth quarter and year-end call. It was great to have so many of you here last month for our Investor Day, and we appreciate your interest in and support of Extra Space Storage.
2018 was another solid year. Same-store revenue was in line with expectations. Our diversified portfolio and best-in-class platform are maintaining very high occupancies, while producing positive rate growth, despite a challenging environment with new supply in many markets. 
Expenses were also generally in line with expectations, with the exception of a couple of uncontrollable expenses, which hit in the first half of the year. Our team stepped up and did a great job with controllable expenses, especially in the last 2 quarters, and found ways to offset some of the expense growth through savings and efficiencies. 
Our same-store NOI grew 4% for the year despite a challenging operating environment.  Same-store NOI was enhanced by our strong external growth from third-party management and off-market acquisitions, resulting in core FFO growth of 6.6%, which was above the high end of our annual guidance.
Looking forward to 2019, many of the themes are similar to 2018. We continue to seek new supply delivered in many markets. The rate of deliveries has started to slow. And while we still believe new the openings in 2019 will be lower than in 2018, we expect to impact new supply to be greater due to the cumulative impact of several years of elevated development.
These concerns are the same concerns we discussed on our call a year ago. However, there are also some encouraging themes from last year that will continue into 2019. First, the economic continues to be healthy. Second, we are in a need-based industry with steady demand and solid fundamentals. Third, concerns about declining use of storage due to millennials, disruptive new businesses or otherwise are proving to be ill-founded. And fourth, large operators continue to have a significant technology advantage over most of the industry.
As a result, occupancy remains very strong and we have positive rate growth in most markets. We have a geographically diverse portfolio and a platform built to drive traffic to our stores, our website and our call center. 
In short, Extra Space is well prepared to navigate today's competitive landscape.
The challenges presented by new supply also continued to bring us opportunities. In 2018, we added 153 stores to our third-party platform and continue to have a robust pipeline for 2019. We invested $580 million in acquisitions, $145 million of which was invested in certificate of occupancy or development fields.
We were successful at finding accretive acquisition opportunities to our partners and other relationships before they were exposed to the broader market. 84% of all 2018 acquisition volume was completed through off-market transactions. This off-market acquisition trend has continued into 2019, as we recently completed the buyout of one of our joint venture partners in 12 properties in Los Angeles and the Bay Area. These are well-located, purpose-built properties that we developed ourselves in the early 2000 in top-tier infill markets with true barriers of entry. Extra Space realized $72.8 million promote in the joint venture to the transaction, which was applied to the purchase price.
While 2019 will not be without its challenges, we are making the necessary investments to strengthen our platform and support our growth, while maintaining operational excellence in the current environment. 
I would now like to turn the time over to Scott."
8057672,600093695,1663795,"Extra Space Storage Inc., Q4 2018 Earnings Call, Feb 21, 2019",2019-02-21,"Earnings Calls","Extra Space Storage Inc.","Executives","Thanks, Joe, and hello, everyone. Our core FFO for the quarter was $1.22 per share, and our core FFO for the year was $4.67 per share, ahead of our guidance. The was primarily due to property performance and G&A savings. Core FFO includes $0.02 adjustment",374,"Thanks, Joe, and hello, everyone. Our core FFO for the quarter was $1.22 per share, and our core FFO for the year was $4.67 per share, ahead of our guidance. The was primarily due to property performance and G&A savings. Core FFO includes $0.02 adjustment for the write-off of deferred financing costs related to the prepayment of notes payable to trust. We continue to evolve our balance sheet, which is never been stronger. 
During the quarter, we amended our credit facility, accessed our ATM and increased our unencumbered pool, which now stands at $5.6 billion. These efforts are part of our goal to further diversify our capital structure, latter our maturities and minimize our average interest rate, while extending the average term. This will ensure that we continue to have capacity to fund future growth through multiple sources of capital.
Last night, we provided guidance in annual assumptions for 2019. Our new same-store pool increased by 38 stores to a total of 821. Same-store revenue is expected to increase 2% to 3% in 2019. As Joe mentioned, we believe the impact from new supply will be greater in 2019 than it was in 2018. The level of this impact will depend on the timing of deliveries and the speed of absorption in impacted markets, specifically the major Florida and Texas markets.
Our guidance also assumes some revenue growth moderation in markets not heavily impacted by new supply. This is due to multiple years of outsized growth resulting in tough comps. Same-store expense growth is expected to increase 3.75% to 4.75%. The increase in expenses is primarily driven by outsized growth in property taxes and marketing spend. Our revenue and expense guidance results in NOI growth of 1.25% to 2.75%.
Our full year core FFO is estimated to be $4.73 to $4.83 per share. Our 2019 -- in 2019, we anticipate total dilution of $0.23 from value add and C of O acquisitions, up $0.03 from 2018. We recognize the short-term headwind has cause to our core FFO growth rate, but believe the investment in these lease-up stores continues to improve the quality of the portfolio and generates long-term value for our shareholders. 
With that, let's turn it over to Jeff to start our Q&A."
8057672,600093695,1663795,"Extra Space Storage Inc., Q4 2018 Earnings Call, Feb 21, 2019",2019-02-21,"Earnings Calls","Extra Space Storage Inc.","Executives","Thanks, Scott. [Operator Instructions] With that, I'll turn over to Micheele to start our Q&A.",15,"Thanks, Scott. [Operator Instructions] With that, I'll turn over to Micheele to start our Q&A."
8057672,600093695,1663795,"Extra Space Storage Inc., Q4 2018 Earnings Call, Feb 21, 2019",2019-02-21,"Earnings Calls","Extra Space Storage Inc.","Operator","[Operator Instructions] Our first question comes from Jeff Spector of Bank of America.",13,"[Operator Instructions] Our first question comes from Jeff Spector of Bank of America."
8057672,600093695,1663795,"Extra Space Storage Inc., Q4 2018 Earnings Call, Feb 21, 2019",2019-02-21,"Earnings Calls","Extra Space Storage Inc.","Analysts","This is Shirley Wu with Jeff Spector. Thanks for the extra color on supply. I think our previous earnings call, you've mentioned that the percentage of portfolio being affected by the new supply would be around 60% in '19. Has that changed? And what do yo",53,"This is Shirley Wu with Jeff Spector. Thanks for the extra color on supply. I think our previous earnings call, you've mentioned that the percentage of portfolio being affected by the new supply would be around 60% in '19. Has that changed? And what do you think '20 is going to look like?"
8057672,600093695,1663795,"Extra Space Storage Inc., Q4 2018 Earnings Call, Feb 21, 2019",2019-02-21,"Earnings Calls","Extra Space Storage Inc.","Executives","So our view of 2019 has not changed. The only thing that's changed on the ground is a certain number of developments that we expected to be delivered in 2018 were in fact delayed and now will be delivered in 2019. But we expect the same thing to happen in",146,"So our view of 2019 has not changed. The only thing that's changed on the ground is a certain number of developments that we expected to be delivered in 2018 were in fact delayed and now will be delivered in 2019. But we expect the same thing to happen in 2019. It's some of the properties that are scheduled to be delivered late in 2019 will in fact be delayed and not delivered into 2020. So our view continues to be that deliveries will be higher in 2018 than in 2019, although peak impact is in 2019 because of the cumulative effect. As to 2020 and our views frankly, it's all subject to the trend continuing of decreasing new developments. If, in fact, people start putting more shovels in the ground, then we could be wrong and we'll just have to wait and see what happens."
8057672,600093695,1663795,"Extra Space Storage Inc., Q4 2018 Earnings Call, Feb 21, 2019",2019-02-21,"Earnings Calls","Extra Space Storage Inc.","Analysts","Okay. So you did talk about in 4Q and maybe how that's trying to look in 1Q of '19 as well?",21,"Okay. So you did talk about in 4Q and maybe how that's trying to look in 1Q of '19 as well?"
8057672,600093695,1663795,"Extra Space Storage Inc., Q4 2018 Earnings Call, Feb 21, 2019",2019-02-21,"Earnings Calls","Extra Space Storage Inc.","Executives","Yes, surely. Our streets rates in the fourth quarter were -- this is our achieved street rate. We achieved the streets rates that were in the low single digits, and it was about 2% in January.",36,"Yes, surely. Our streets rates in the fourth quarter were -- this is our achieved street rate. We achieved the streets rates that were in the low single digits, and it was about 2% in January."
