"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
274561,597394105,1642789,"General Dynamics Corporation, Q4 2018 Earnings Call, Jan 30, 2019",2019-01-30,"Earnings Calls","General Dynamics Corporation","Operator","Good morning, and welcome to the General Dynamics Fourth Quarter and Full Year 2018 Earnings Conference Call. [Operator Instructions] Please note, this event is being recorded. I would now like to turn the conference over to Howard Rubel, Vice President",46,"Good morning, and welcome to the General Dynamics Fourth Quarter and Full Year 2018 Earnings Conference Call. [Operator Instructions] Please note, this event is being recorded. 
I would now like to turn the conference over to Howard Rubel, Vice President of Investor Relations. Please go ahead."
274561,597394105,1642789,"General Dynamics Corporation, Q4 2018 Earnings Call, Jan 30, 2019",2019-01-30,"Earnings Calls","General Dynamics Corporation","Executives","Thank you, Nicole, and good morning, everyone. Welcome to the General Dynamics Fourth Quarter and Full Year 2018 Conference Call. Any forward-looking statements made today represent our estimates regarding the company's outlook. These estimates are subj",74,"Thank you, Nicole, and good morning, everyone. Welcome to the General Dynamics Fourth Quarter and Full Year 2018 Conference Call. 
Any forward-looking statements made today represent our estimates regarding the company's outlook. These estimates are subject to some risks and uncertainties. Additional information regarding these factors is contained in the company's 10-K and 10-Q filings. 
With that, it's my pleasure to turn the call over to our Chairman and Chief Executive Officer, Phebe Novakovic."
274561,597394105,1642789,"General Dynamics Corporation, Q4 2018 Earnings Call, Jan 30, 2019",2019-01-30,"Earnings Calls","General Dynamics Corporation","Executives","Good morning, and thank you Howard. We enjoyed a solid fourth quarter, the results and comparisons to the prior periods are straightforward for the most part. As a result, I will go through them briefly to leave more time for my thoughts on the business s",1459,"Good morning, and thank you Howard. We enjoyed a solid fourth quarter, the results and comparisons to the prior periods are straightforward for the most part. As a result, I will go through them briefly to leave more time for my thoughts on the business segments, our outlook for 2019 and your questions. 
I also think you will find the press release and the additional presentation on our website fulsome and helpful. 
So earlier today, we reported fourth quarter revenue of $10 billion -- $10.38 billion, earnings from continuing operations of $909 million, and earnings of $3.07 per fully diluted share. This is a significant improvement against the fourth quarter of 2017, which was adversely impacted by a discrete $119 million increase in the tax provision as a result of the 2017 Tax Cuts and Jobs Act. Even after adjusting for the adverse impact in Q4 2017, EPS was up $0.07 and earnings from continuing operations were up $154 million. Earnings per share at $3.07 also beat consensus by $0.09. Revenue and operating earnings were largely consistent with consensus. Most of the difference comes from a lower tax provision and the sum of lower share count. 
So all in all, a solid quarter with good performance, particularly compared to the year-ago quarter as well as the third quarter of 2018. For the year, we had fully diluted earnings per share from continuing operations of $11.22. This was also $0.09 above consensus. Revenue of $36.2 billion was up over 2017 by $5.2 billion. On an organic basis, excluding CSRA, revenue was up $1.5 billion. Revenue was up across each of our reporting segments. Operating earnings of $4.5 billion were up 229 -- $221 million or 5.2% over 2017. Earnings from continuing operations were up $446 million or 15.3% over 2017. Importantly, earnings per share from continuing operations were $1.66 above 2017. All in all, 2018 was a very good year, a year of growth and year of important quarter intakes that left the company well positioned for 2019. 
I will review the full year and the quarters on a year-over-year basis for the group's without reference to sequential comparisons. On a sequential basis, suffice it to say that we had more revenue, higher operating earnings, higher earnings from continuing operations and higher earnings per share than in the third quarter 2018. So let me discuss each group and provide some color where appropriate. 
First, Aerospace. Aerospace revenue of $2.7 billion was up against the year-ago quarter by an impressive $722 million, that is 36.4%. This was attributable in large part to the delivery of 9 G500s in the quarter, and also, a strong fourth quarter in the service centers. For the full year, revenue of $8.46 billion was up $326 million or 4%. Operating earnings of $1.49 billion were down $87 million on lower operating margins. The lower operating earnings were attributable to poor performance in the completions business at Jet Aviation, the mix shift at Gulfstream and cost attendant to the introduction of the G500. This time last year, we told you to expect revenues between $8.35 billion to $8.4 billion with a margin rate of 18%, leading to forecasted earnings of $1.5 billion. We finished the year with more-than-forecasted revenue at 17.6% margin, a -- and $1.49 billion of operating earnings. All in all, very close to the forecast we gave you this time last year. On the order front, activity in the quarter was good and the pipeline activity remains robust. The book-to-bill at Aerospace in the fourth quarter was $0.08 to $1-denominated. You can see more information on deliveries and orders in the Exhibit J to the press release. We expect the G600 to be certified this tear although the exact timing is hard to predict given the impact of the government shutdown on the FAA. But we fully expect certification of the 600 this half. 
The pacing item for deliveries of the G500 and 600 will be our ability to deliver in itself. We have that line in good order. Costs are increasingly under control and we are producing very good quality. But we had to restart the supply chain that is on dormant with the thought filing of the Nordam bankruptcy proceedings. That has impacted rate and our ability to keep schedule. We expect all schedule issues to be behind us by mid-year. As a result, you will see accelerating G500 deliveries as the year progresses and our ability to provide nacelle to support G600 deliveries in the second half as well. 
Next, combat systems. At combat revenue of $1.74 billion was almost the same as the year-ago quarter. The same holds true for operating earnings of $251 million and an operating margin of 15%. For the full year, revenue of $6.24 billion was up $292 million, just short of 5%. Operating earnings of $952 million were up $25 million on a 40 basis point contraction in margin, largely related to mix shift. By the way, this performance is reasonably consistent with the forecast we provided at this time last year. We enjoyed somewhat better revenues than our initial forecast, which was an increase of $200 million to $250 million over 2017. We actually grew revenue $292 million. We forecast operating earnings of $970 million and came in at $962 million, an $8 million shortfall largely attributable to the diplomatic issues that slowed production of the vehicle program in Canada in the fourth quarter. We continue to see nice order activity in this group with fourth quarter orders of $2.19 million, a book-to-bill of 1.3:1 in the quarter and [ one-to-one ] for the year. Tank orders alone are in excess of $1 billion. 
We also continue to have significant international opportunities, particularly in Europe. We-have been negotiating with Spain with respect to a program valued at $2 billion for piranha vehicles. And of note, we acquired FWW, a qualified maintenance and service provider to the German Army and other international customers to enhance our position in the key market. FWW will become part of European Land Systems. 
In our U.S. market, our Army customer is modernizing and providing a growing demand across our combat vehicle and munitions business. In short, this group had quite positive revenue growth, continued to shift to a strong margin performance and had very good order activity. 
Next, Marine Systems. This is a really good news story across the board. Marine revenue of $2.3 billion was up $237 million, a stunning 11.5% over the year-ago quarter. Operating earnings of $213 million were up $46 million against the year-ago quarter, a 27.5% increase on a 120 basis point improvement in operating margins. This is very strong operating leverage in a growth environment. By the way, the sequential comparison's equally impressive. For the full year, revenue of $8.5 billion was up $498 million, in excess of 6%. Operating earnings for the year of $751 million were up $76 million, over 11%, on a 40 basis point improvement in operating margin. At this time last year, we told you to expect revenue of $8.4 billion to $8.5 billion, and operating earnings of $735 million to $745 million. We came in at the higher end of the revenue range. Operating earnings of $761 million outperformed our forecast by $16 million to $26 million. 
In response to the significant increased demand from our Navy customer across all 3 of our shipyards, we continue to invest in each of our yards with particular emphasis on Electric Boat, to prepare for increased production associated with the Block V of the Virginia submarine program and the new Columbia ballistic-missile submarine. As you may recall, Block V is a significant upgrade in size and performance requiring additional manufacturing capacity. 
As you know, we have also increased our internal training programs as well as our public-private partnerships with Connecticut and Rhode Island to meet our need for skilled trades. At $243 million, CapEx in 2018 from Marine was double its depreciation for the year. For 2019, we again expect the Marine segment to command the larger share of our capital budget as we work toward satisfying the nation's needs for its critical malleable systems. So suffice it to say, we are poised to support our Navy customers as they increase the size of the fleet. 
As you are well aware, the Information Systems and Technology group has been realigned and reshaped into 2 separate segments. Mission Systems, the large C4ISR business and GDIT, a leading provider of information solutions to the central government and its agencies. That was supplemented in the second quarter of 2018 by the acquisition of CSRA. I am going to ask Jason to interject some comparison data here that you might find relevant and helpful."
274561,597394105,1642789,"General Dynamics Corporation, Q4 2018 Earnings Call, Jan 30, 2019",2019-01-30,"Earnings Calls","General Dynamics Corporation","Executives","On that note, let me make some comments on GDIT and Mission Systems performance in 2018. We originally guided the full year revenue for the former IS&T business group between $9.3 billion and $9.4 billion, and operating earnings of approximately $1,030,00",179,"On that note, let me make some comments on GDIT and Mission Systems performance in 2018. We originally guided the full year revenue for the former IS&T business group between $9.3 billion and $9.4 billion, and operating earnings of approximately $1,030,000,000. If we look at how Mission Systems and GDIT, excluding CSRA, did for the year, they combined for $9.325 billion in sales. So in line with our expectations and that includes an organic growth rate of 4.3% for GDIT, not withstanding the impact of several divestitures during the year. From an operating earnings perspective, they were actually closer to $1,050,000,000 on a combined basis so somewhat better than we had expected. So all in all, a solid year for both businesses. As I alluded to, we also completed several portfolio-shaping activities in our GDIT segment during the year. These included the sale of the commercial health products business, CSRA's SEDAR business and our public-facing call centers. These divestitures of more than $1 billion of annualized sales enhance the groups focus on high-end solutions and high value-added customer needs."
274561,597394105,1642789,"General Dynamics Corporation, Q4 2018 Earnings Call, Jan 30, 2019",2019-01-30,"Earnings Calls","General Dynamics Corporation","Executives","So let's first address information technology. Information technology enjoyed revenue in the quarter of $2.38 billion and operating earnings of $194 million with an operating margin of 8.1%. Since the numbers for the fourth quarter at 2017 did not include",1017,"So let's first address information technology. Information technology enjoyed revenue in the quarter of $2.38 billion and operating earnings of $194 million with an operating margin of 8.1%. Since the numbers for the fourth quarter at 2017 did not include CSRA comparison to the year-ago quarter are not particularly meaningful. However, sequentially, revenue is up $75 million, operating earnings up $37 million and operating margin up 130 basis points. Evidence of our continuing ability to extract cost synergies here. 
For the year, revenue was $8.27 billion, and operating earnings were $608 million with a 7.4% margin. Once again, annual comparisons do not offer meaningful perspective since the prior year did not include CSRA. 
Next Mission Systems. Revenue in the quarter was essentially flat against the year-ago quarter, while operating earnings of $181 million were $6 million lower than the fourth quarter last year on a 40 basis point decrement in operating margin. 
For the year, revenue of $4.73 billion was up $245 million or 5.5%. Operating earnings of $659 million were up $21 million or 3.3% due to a 30 basis point decline in operating margin, driven in part by mix. Book-to-bill for the year was somewhat above onetime in the end of the year with a modestly higher backlog at $5.3 billion. 
So on this call last year, on a companywide basis our forecast for 2018 was to expect revenue of $32.35 billion to $32.45 billion. Operating earnings of $4.25 billion and an operating margin of 13.1%. As you know, we wound up $36.2 billion on an organic basis. But on an organic basis, revenue was up $1.5 billion, $500 million more than forecast. 
At the EPS line, we forecasted $10.90 to $11, and came in at $11.22, including the transaction cost related to CSRA, which were about $0.20 per share. 
So let me provide our forecast for 2019 initially by business group and then on a companywide rollout. In Aerospace, we expect 2019 revenue to be about $9.7 billion, but more than $1.2 billion on deliveries of approximately 145 business jets. Operating earnings will be slightly in excess of $1.5 billion with an operating margin rate of approximately 15.5%. The margin rate is lower than 2018 as a result of mix shift as well as a modest increase in preowned sales, which again generally carry no margin. 
So revenue will be back-end loaded as will the margin rate. In general, the quarterly spread in revenue preparation will something like [ $2.2 million, $2.3 billion, $2.4 billion and $2.8 billion ]. Operating margins in the first 2 quarterss should be in the [ mid-14 ] area, strengthening in Q3 moving well over [ 17 ] in Q4. 
We believe that last year will be the low point operating earnings during this transition training models with modest earnings increases in 2019 and 2020 and significant earnings traction thereafter. 
In Combat, we expect revenue to be between $6.5 billion and $6.6 billion, a $250 million to $350 million increase over 2018 with operating earnings up $965 million to $975 million, slightly better than last year. Here again, look for both revenue and earnings and margin rate of growth quarter-over-quarter during the year with a particularly strong fourth quarter. We continue to see solid growth for this business with orders for the Abraham and solid demand for Stryker vehicles in munitions. 
We see domestic volumes to expanding faster than our international business. The Marine Group is expected to have revenue of approximately $9 billion, a 6% or $500 million increase over 2018. Operating earnings in 2019 are anticipated to be about $770 million with an operating margin rate of around 8.5%. 
We anticipate growth at each of the yards with mix being reflected in margins. We continue to see long-term growth with an expanding need for submarines, service combatant and support ships and overhaul work. Our biggest opportunity here is around outperforming the forecasted margin rate. We respectively expect Information Technology revenue in 2019 of approximately $8.3 billion, consistent with 2018 with margins in the 7.5% range. The slight improvement over 2018's performance. 
To the plus side, we have a full year CSRA offset by the divestitures of the call centers and CEDA businesses, which represented just over $1 billion of prior year  revenues. We see the business excellent progress towards optimizing the acquisition is we combined teams, deeply integrate business systems, consolidate facilities and increase our value proposition to diverse, defense intel and federal civilian agencies. 
Information systems, we expect revenue in 2019 somewhere between 8 -- $4.8 million and $4.9 billion, an increase of just over $100 million, or between 2% to 3%. We see strong growth in our maritime, cyper and space-related markets, with fairly studied top line in our core tactical network incumbencies. 
We anticipate operating earnings up modestly over last year with margins in the -- between mid-And high 30s. Once again, building throughout the year. So for 2019, companywide all of this rolls up to approximately $38.5 billion of revenue, up by 6% over 2018. Operating earnings of $4.5 billion and an operating margin of around 11.7%. This gives us an EPS forecast of $11.60 to $11.70 per fully diluted share. 
I may emphasize that this plan is purely from operations. It assumes a low-18% tax provision and assumes we buy only in are shares to hold the share steady with year-end figures so as to avoid dilution from option exercises. So much like last year, beating our EPS guidance must come from the outperforming the operating plan, achieving a lower effective tax rate and the effective deployment of capital. With respect to the quarterly progression for EPS, the first quarter should be seasonally low at about 20% of the full year's results. The second quarter should be more than 10% better than that and the third quarter should account for over 25% of EPS and the final quarter of the year should represent about 1/3 of our EPS. 
Now let me turn this over to Jason for additional commentary around cash backlog and other items and then we'll take your questions."
274561,597394105,1642789,"General Dynamics Corporation, Q4 2018 Earnings Call, Jan 30, 2019",2019-01-30,"Earnings Calls","General Dynamics Corporation","Executives","Thank you, Phebe. Our net interest expense in the quarter was $112 million, bringing interest expense for the year to $356 million. That compares to $27 million and $103 million in the comparable periods of 2017. The increase in 2018 is due to the roughly",702,"Thank you, Phebe. Our net interest expense in the quarter was $112 million, bringing interest expense for the year to $356 million. That compares to $27 million and $103 million in the comparable periods of 2017. The increase in 2018 is due to the roughly $10 billion of debt we issued to finance the acquisition of CSRA. 
We repaid approximately $1.7 billion of this debt during the year and will continue to prioritize paying down debt consistent with our mid-A credit-rating. We ended the year with $850 million of commercial paper outstanding, and our next scheduled fixed-debt maturity is in the second quarter of 2020. For 2019 we expect interest expense to be approximately $430 million, reflecting a full year of the notes issued in 2018. Our effective tax rate was 19.7% for the quarter and 17.8% for the year, in line with our previous guidance. 
Looking ahead to 2019, we expect a full year effective tax rate in the low-18% range, between 18% and 18.5%. This is slightly higher than 2018 but recall in 2018, we took advantage of a onetime benefit provided by tax reform and made a $255 million discretionary pension contribution, which lowered the tax rate by approximately 75 basis points. Looking at capital deployment, we paid $274 million in dividends in the fourth quarter, bringing the full year to $1.1 billion. We also took advantage of the market decline in December by purchasing our shares to a greater degree than planned. In the quarter, we purchased 7.6 million shares of our stock for $1.3 billion. Bringing the full year to 10.1 million shares for $1.8 billion. 
Looking ahead, while debt repayment will continue to be a priority as I mentioned, we continue to have the flexibility to adjust our capital deployment in response to changing market conditions, as we did in December. 
Moving on to our pension plans, we contributed approximately $570 million to our plans in 2018, including the discretionary contribution. For 2019, we expect that amount to be approximately $200 million, to be contributed mostly during the third quarter. We've also ramped up our capital expenditures, which were almost 2% of sales for the year, that's up 60% from 2017 as we invest to support the growth of our businesses, particularly Marine Systems and Aerospace. For 2019, we expect capital expenditures to rise to 3% of sales, driven by the continued investment in the Columbia-class program. 
Our free cash flow conversion rate for the quarter was 200%, bringing our rate for the year to 78% excluding the discretionary pension contribution and this is below our typical 100% conversion target. 
If you're following the headcounts out of Canada, you know there are discussions taking place between the Canadian government and their customer on our armored vehicle supply contract. As a result of these discussions, we've experience payment delays that significantly impacted the free cash flow we expected last year. To be clear, this is a timing issue, and we expect to receive the delayed payments this year. 
Assuming the resolution of this matter, we expect the cash conversion rate well in excess of 100% in 2019 and looking ahead, we expect cash performance throughout the planning horizon to be very strong, in our typical 90% to 100% range. 
One last point on backlog. We ended the year with total backlog of approximately $68 billion, that's up 7.5% over this time last year. That increase came in spite of a headwind from foreign currency exchange rate fluctuations, which reduced the backlog by $840 million, $700 million of which impacted the Combat Systems group. 
Beyond firm backlog, our total potential contract value, which include options and IDIQ arrangements, increased by an impressive 17.5% over the end of last year, including the multibillion CHS-5 IDIQ award at Mission Systems. In addition, we entered into a $1.1 billion contract with an existing corporate customer for a multiairplane multiyear order that requires their board approval this quarter. Once approved, that order will move into the firm backlog. So these awards along with the firm backlog provide a nice foundation for the continued growth we see ahead. Howard, that concludes my remarks, and I'll turn it back over to you for Q&A."
274561,597394105,1642789,"General Dynamics Corporation, Q4 2018 Earnings Call, Jan 30, 2019",2019-01-30,"Earnings Calls","General Dynamics Corporation","Executives","Thanks, Jason. [Operator Instructions] Nicole, could you please remind participants how to enter the queue.",15,"Thanks, Jason. [Operator Instructions] Nicole, could you please remind participants how to enter the queue."
274561,597394105,1642789,"General Dynamics Corporation, Q4 2018 Earnings Call, Jan 30, 2019",2019-01-30,"Earnings Calls","General Dynamics Corporation","Operator","[Operator Instructions] And our first question comes from David Strauss with Barclays.",12,"[Operator Instructions] And our first question comes from David Strauss with Barclays."
274561,597394105,1642789,"General Dynamics Corporation, Q4 2018 Earnings Call, Jan 30, 2019",2019-01-30,"Earnings Calls","General Dynamics Corporation","Analysts","Phebe, can you give us a little more detail on the IT guide? I understand with the divestitures, that's a headwind on the top line but you have one additional quarter of CSRA. And in terms of the margin guide, I would've thought we would have seen some ma",61,"Phebe, can you give us a little more detail on the IT guide? I understand with the divestitures, that's a headwind on the top line but you have one additional quarter of CSRA. And in terms of the margin guide, I would've thought we would have seen some margin improvement here given what's going on with intangible amortization and additional synergies."
274561,597394105,1642789,"General Dynamics Corporation, Q4 2018 Earnings Call, Jan 30, 2019",2019-01-30,"Earnings Calls","General Dynamics Corporation","Executives","So let's talk a little bit about this business. In a growing environment last year, they had one-to-one book-to-bill. They also had a 75% win rate and a $26 billion pipeline. This management team is performing the cost synergies beautifully and frankly is",237,"So let's talk a little bit about this business. In a growing environment last year, they had one-to-one book-to-bill. They also had a 75% win rate and a $26 billion pipeline. This management team is performing the cost synergies beautifully and frankly is a bit of ahead of schedule. By the way, this is a very energetic, innovative management team that is really making GDIT into the workplace of preference. And in this market, people are absolutely critical, important across the board, but people here truly matter. I might also add the cash performance on this business is outstanding. Last year, they generated over 100% in net income in cash and will continue that this year and for the years to come. So what we see this year, despite that large backlog, despite the large win rate and book-to-bill is this is simply a question of timing, when the contracts move from the backlog into sales and you'll see the growth rate increase in the third quarter, fourth quarter and then significantly next year. This is just a question of the timing of several hundred contracts moving from backlog into sales. That also is impacting the margin rate. So I'm very confident in the ability of this business to perform. They are going to outperform their cost synergies. They are growing great cash performance so in the instance right now, its simply a question of timing."
