"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
3738520,597402326,1646370,"Seagate Technology plc, Q2 2019 Earnings Call, Feb 04, 2019",2019-02-04,"Earnings Calls","Seagate Technology Holdings plc","Operator","Good afternoon, and welcome to the Seagate Technology Fiscal Second Quarter 2019 Financial Results Conference Call. My name is Latif, and I will be your coordinator for today. [Operator Instructions] As a reminder, this conference is being recorded for re",61,"Good afternoon, and welcome to the Seagate Technology Fiscal Second Quarter 2019 Financial Results Conference Call. My name is Latif, and I will be your coordinator for today. [Operator Instructions] As a reminder, this conference is being recorded for replay purposes.
At this time, I would like to turn the call over to Jingjing Chen, Director, Investor Relations. Please proceed, Jingjing."
3738520,597402326,1646370,"Seagate Technology plc, Q2 2019 Earnings Call, Feb 04, 2019",2019-02-04,"Earnings Calls","Seagate Technology Holdings plc","Executives","Thank you. Good afternoon, everyone, and welcome to today's call. With me today from Seagate's management team are Dave Mosley, Chief Executive Officer; and Gianluca Romano, Chief Financial Officer. We have posted our earnings press release and detailed s",261,"Thank you. Good afternoon, everyone, and welcome to today's call. With me today from Seagate's management team are Dave Mosley, Chief Executive Officer; and Gianluca Romano, Chief Financial Officer. We have posted our earnings press release and detailed supplemental information for our December 2018 quarter on the Investor section of our website. We're planning for the call today to go approximately 30 minutes, and we'll do our best to accommodate your questions following our prepared remarks, as time permits. 
For the March quarter, we'd like to note that our quiet period will begin on March 18. We'll refer to GAAP and non-GAAP measures. Non-GAAP figures are reconciled to GAAP figures in our earnings release for our December 2018 quarter, which is posted on our website and has been furnished on our Form 8-K that was filed with the SEC. 
As a reminder, this call contains forward-looking statements, including our March quarter financial guidance and expectations about our financial performance; customer demand; industry growth trend; trance product introduction; future growth opportunities; and general market conditions. These statements are based on management's current views and assumptions and should not be relied upon as of any subsequent date. Actual results may vary materially from today's statements. Information concerning our risks, uncertainties and other factors that could cause results to differ from these forward-looking statements are contained in the company's most recent 10-K filed with the SEC and the supplemental information posted on the investors section of our website. I would now like to turn the call over to Dave Mosley. Please go ahead, Dave."
3738520,597402326,1646370,"Seagate Technology plc, Q2 2019 Earnings Call, Feb 04, 2019",2019-02-04,"Earnings Calls","Seagate Technology Holdings plc","Executives","Thanks, Jingjing. Good afternoon, everyone, and thanks for joining us. For today's earnings call, I will cover the high-level results from the December quarter and offer some market commentary. Gianluca Romano, our Chief Financial Officer, will then discu",1061,"Thanks, Jingjing. Good afternoon, everyone, and thanks for joining us. For today's earnings call, I will cover the high-level results from the December quarter and offer some market commentary. Gianluca Romano, our Chief Financial Officer, will then discuss certain financial highlights from the quarter. And then I will wrap up with our outlook for the March quarter. Following our prepared demos, we will open the call for questions.
For the December quarter, Seagate achieved revenue of over $2.7 billion, non-GAAP gross margin of 29.7% and non-GAAP EPS of $1.41, meeting and in some aspects exceeding our expectations. We executed our plans well and with strong operational efficiency, delivered solid financial results.
As we indicated last quarter, we were working to effectively manage through a near-term demand downturn that is having an impact in our current business. For the overall HDD industry, the December quarter exabyte demand declined for the first time after 6 quarters of continued growth. In the nearline market, we continue to see a cyclical impact affecting a broad base of customers globally. While some of the demand variation is due to intermittent periods of digestions we have experienced in this market over the last few years, some cloud customers are also pausing ahead of next-generation mass storage technology transitions that will deliver significant capacity, performance and total cost of ownership benefits.
While inventory levels for our HDD, storage devices and global channels are fairly healthy, other market dynamics, including seasonality, parts shortages and liquidity have created strain for some smaller end customers. For example, in the surveillance market, demand was soft compared to this time last year, impacted by tightening of downstream customer credit as well as government project delays.
We believe that these storage demand headwinds are short lived and that the long-term demand picture for our mass storage product portfolio continues to be strong. Data creation and data utilization are forecasted to grow rapidly over the next decade. 
According to a recent IDC study, global data creation will grow from 33 zettabytes in 2018 to 175 zettabytes by 2025, representing a 27% compound annual growth rate. Efficient and cost-effective data technologies are becoming more critical for productivity expansion, data monetization and value creation than ever before. 
To support future storage customer needs, storage capacity across all media types will need to grow rapidly. And IDC estimates that at least 59% of those zettabyte demand in 2025 will be supplied by the HDD industry. Seagate is a critical supplier to both the mature and emerging businesses that are only just beginning to derive value from massive application workloads coming in Big Data analytics, smart cities and machine learning devices using both edge and cloud-based architectures.
At CES a few weeks ago, we demonstrated the breadth of our storage solutions covering diverse products from consumer to enterprise, leveraging our 40-year history of storage technology innovation. We are highly encouraged by the continued engagement we have with customers on their future capacity and performance requirements. These technical insights are driving many of the performance and flexibility attributes of our future product portfolio. 
As evidence of our drive for innovation, we showcased our future generations of single and multi actually devices that many customers are testing in their own data center environments. We're confident in our ability to achieve 16-terabyte drive shipments in the first half of this calendar year, growing to over 20 terabytes next year.
These significant product introductions delivering high capacity and performance options will be critical in the efficient scaling of cloud data centers for the next decade.
This was our second year showcasting -- showcasing Seagate's HAMR technology at CES. In the December quarter, we broke another areal density record, demonstrating almost 2.4 terabit per square inch in spin testing, indicating technology than can enable the capacity of 3 terabytes per disc or 24-terabyte drive production capability. 
In the past few months, we shipped fully functional HAMR demonstration drives to select global hyperscale and OEM partners. These drives are meeting expectation. Central to that is to establish the plug-and-play nature of HAMR recording technologies in all storage ecosystems. With that, in mind, our HAMR recording systems have demonstrated more than 4 petabyte per head data transfers, much greater than the workloads required for today's drives.
This means our focus is now on the volume manufacturability of these designs, designs that will fuel the future global data center. 
Along with HAMR, we are also working to improve the efficiency of mass storage by eliminating the stranded capacity when a drive becomes too large for its ideal bandwidth. This is already being seen today on 12-terabyte and 14-terabyte drives at many data centers and will become more challenging as drive capacities increases. 
Our mark to dual actuator drive unlocks significant capability with a rough doubling of the I/O bandwidth. We have successfully deployed sample drives to customer sites. And for the past 6 months, some of these drives have been serving live production traffic. Later this calendar year, we will begin our volume ramp of these important new designs.
The gaming industry continues to be a richer storage market opportunity, driven by demand for increased capacity points. This year at CES, we showcased our new M.2 NVMe which delivers blazing performance with the intense read and write speeds for the ultimate gaming experience. We are confident Seagate's complete gaming portfolio, including internal drives and attached gaming console drives with the HDD and footprints will continue to provide optimal user experiences. 
Also at CES, we introduced our Iron 110 SATA SSD, the world's first purpose-built NAS SSD with enterprise-class endurance and reliability. Looking ahead, we believe we are on the front end of a long-term secular data productivity era that will evolve over the next decade, and managing data through cloud and edge computing layers will remain within the top priority of the growing data economy.
Fiscal 2019 continues to be a year of focused execution and technology advancement for Seagate. With near-term demand headwinds, we are taking action to demonstrate sustained operational performance and the resilience of our company through the fluctuations in the marketplace. We will continue to strive for long-term revenue growth, properly staged capital investment for the coming growth opportunities, control expenses and optimize cash flow generation. Now I'll turn the call over to Gianluca to go into more depth on our financial performance."
3738520,597402326,1646370,"Seagate Technology plc, Q2 2019 Earnings Call, Feb 04, 2019",2019-02-04,"Earnings Calls","Seagate Technology Holdings plc","Executives","Thank you, Dave. Seagate executed well in the December quarter. Total second quarter revenue was over $2.7 billion, and non-GAAP gross margin was 29.7%, aligned with our long-term margin range target of 29% to 33% of revenue. The sequential decline of 130",952,"Thank you, Dave. Seagate executed well in the December quarter. Total second quarter revenue was over $2.7 billion, and non-GAAP gross margin was 29.7%, aligned with our long-term margin range target of 29% to 33% of revenue. The sequential decline of 130 basis points was mainly due to overall product portfolio mix, and in particular, to a decline in the nearline volume sold. Non-GAAP EPS was $1.41, higher than expected, gaining from overall solid execution and successful expense management.
Our enterprise market includes mission-critical and nearline applications, which represents 39% of total revenue. In the second quarter, we shipped a total of 36.4 exabyte in the enterprise market, down 3% compared to last year's strong demand.
The average capacity per enterprise drive was 4.5 terabyte, up 4% year-over-year. 
In the mission-critical market, we continue to address strong demand, better resulted in 44% year-over-year exabyte growth, with average capacity per drive of over 1.1 terabyte, up 30% year-over-year. Our breadth of portfolio, up to 2.4 terabyte, continues to provide customers with a cost effective solution required for mature enterprise application.
In the nearline market, we shipped 33 exabytes, and our average capacity per drive exceeded 6.5 terabytes, up 10% over last year and up 44% from the same quarter 2 years ago.
The most recorded digestion phase that we are experiencing with cloud service provider customers is temporary affecting the exabyte demand and the overall nearline market. However, demand from OEM enterprise customers for nearline drives remains very stable.
As cloud and enterprise customers transition to higher capacity points, our nearline hard disk drive portfolio is well positioned to monetize storage demand over the long term. Our 12-terabyte nearline drive was the leading enterprise revenue product in the December quarter. And our highest capacity products, the 14-terabyte drive, continue to ramp in volume. Looking ahead, we are on scheduled to launch 16-terabyte products in the first half of this calendar year.
Edge noncompute market include our consumer, surveillance, NAS, gaming and DVR portfolio offering. In the December quarter, this market represented 31% of total revenue, 1% higher compared to the December quarter a year ago.
With growth year-over-year exabyte growth and increased average capacity per drive for almost all end markets in the December quarter. Within this, the consumer portfolio at 27% sequential capacity growth is driven by strong seasonal demand and market share gains. While we are confident of the long-term growth and profitability of this market, we are mindful when near-term demand in some markets and channels was impacted by the liquidity issues that Dave discussed earlier.
As compute market include desktop and notebook and disk drive applications, in the December quarter, this market represented 21% of total revenue, 2% lower compared to the December quarter a year ago. Total exabyte shipment declined 4% year-over-year, and average capacity per drive grew 9% year-over-year.
While these markets remain largely stable, there are some headwinds affecting near-term demand. Particularly, in the December quarter, the industry was negatively impacted by a CPU shortage, which affected some vendor's ability to fulfill demand created by business PC upgrades.
This, coupled with economic uncertainties in some countries, affected the performance of the normally seasonally strong quarter for the compute market. Note hard disk drive revenue in the December quarter were $225 million, up 8% year-over-year, mainly driven by higher SSD revenue. Cloud systems decreased year-over-year due to a planned end-of-life of some legacy OEM cloud system products. Sequentially, revenue has been stable in the past 2 quarters as we optimize the product portfolio.
SSD revenue were up mostly year-over-year and sequentially. We are optimistic about our long-term opportunities as we invest in developing appropriate SSD product portfolio in the SaaS, NVMe, consumer and gaming market. We are mindful of the short-term market dynamics and then pricing movement, and are managing our business to meet current customer demand and a prudent manner.
Non-GAAP operating expenses were $365 million, down 6% year-over-year and down 4% sequentially. Expenses were lower, mostly due to reduced discretionary spending and overall operational efficiency. We are committed to controlling operating expenses within our long-term financial model range of 13% to 15% of revenue.
Cash flow from operations in the December quarter was $288 million. The sequential decrease was mostly related to the timing of some working capital transactions. We do not expect adverse impact to cash flow from working capital changes to reoccur in the March quarter.
On a fiscal-to-date basis, Seagate has generated $875 million in cash flow from operations and $571 million in free cash flow. Total inventory levels are slightly lower sequentially and consistent with demand expectations. 
Capital expenditures, on a cash basis, were approximately $127 million in the December quarter. For fiscal year '19, we expect total capital expenditures to be at the low end of our content range of 6% to 8% revenue.
In the December quarter, we repurchased 3.2 million shares and we exited the quarter with 283 million ordinary shares outstanding. Our balance sheet remains healthy. We ended the quarter with $1.4 billion in cash and cash equivalent, and our board has approved a quarterly dividend payment of $0.63 per share, which will be payable on April 12, 2019.
As planned, we also repaid the remaining 2018 senior notes for approximately $500 million. The company's debt balance as of December quarter was $4.3 billion.
Our net debt to last 12-month EBITDA ratio is 1.1x as of the December quarter.
Interest expense continues to be well within our financial capabilities, given our staggered maturities and low interest rates. Overall, our financial performance in the December quarter reflects solid execution in a challenging demand environment. I will now turn the call back to Dave for final comments and outlook."
3738520,597402326,1646370,"Seagate Technology plc, Q2 2019 Earnings Call, Feb 04, 2019",2019-02-04,"Earnings Calls","Seagate Technology Holdings plc","Executives","Thanks, Gianluca. As we enter calendar year 2019, there are a number of market uncertainties that are broadly affecting IT companies. Macroeconomic risks and softness persist in global demand from cloud service providers and supply chain frictions and liq",457,"Thanks, Gianluca. As we enter calendar year 2019, there are a number of market uncertainties that are broadly affecting IT companies. Macroeconomic risks and softness persist in global demand from cloud service providers and supply chain frictions and liquidity have created strain for some smaller end customers. We are navigating through these market dynamics with conservative same and managing our business with a focus on profitability and cash flow generation. 
As we go through this cycle of compressed exabyte demand, we are taking measures to control our costs and capital spending with the expectation that the exabyte growth will resume sometime in the second half of the calendar year. 
Within our revenue expectations for the March quarter, we anticipate nearline HDD demand to remain soft and our nearline exabyte shipments to be flat to down -- to slightly down sequentially. 
We expect the consumer and gaming markets to 
be seasonally down in the March quarter, and desktop and notebook demand to be slightly lower than seasonal demand as CPU shortage and macro uncertainty overhang continue to affect the volume in these markets. We also expect our cloud systems revenue to be relatively flat sequentially and our SSD revenues to be down sequentially due to product transitions and our near-term conservative approach to the demand market. 
We expect total revenues in the March quarter to be in the range of $2.3 billion, plus or minus 5%. Total exabyte shipments are forecasted to be 10% to 15% lower sequentially. We expect non-GAAP gross margins for the March quarter to be at least 26%, with the majority of the sequential change related to mix and manufacturing underutilization. This forecast is outside of our long-term margin range of 29% to 33% as we adjust our manufacturing plant to a lower build volume and to keep a lean inventory level. As demand resumes and other market trends stabilize, we expect margins to return for the long-term range.
We expect non-GAAP EPS to be $0.70, plus or minus 5%. We remain confident in our ability to generate significant cash flow over the next several years as we leverage our mass storage solutions portfolio for existing in new market opportunities. 
In closing, like to thank our customers, suppliers, business partners and employees for their alignment and contributions to our strong second fiscal quarter results. Seagate's deep storage industry expertise, leading technology portfolio and focused execution will allow us to meaningfully participate in the long-term growth trajectory for storage, delivering sustainable success for the company and value for our shareholders. I'm confident Seagate will continue to lead the HDD industry and serve our customers with the best technology developments, product offerings and supply chain responsiveness. Thanks, Latif. Now we'll open up the call for questions."
3738520,597402326,1646370,"Seagate Technology plc, Q2 2019 Earnings Call, Feb 04, 2019",2019-02-04,"Earnings Calls","Seagate Technology Holdings plc","Operator","[Operator Instructions] Our first question comes from the line of Steven Fox of Cross Research.",15,"[Operator Instructions] Our first question comes from the line of Steven Fox of Cross Research."
3738520,597402326,1646370,"Seagate Technology plc, Q2 2019 Earnings Call, Feb 04, 2019",2019-02-04,"Earnings Calls","Seagate Technology Holdings plc","Analysts","Dave, just a couple of questions on the nearline comments you made. First of all, when you talked about the outlook for the current quarter for nearline, o was wondering how that's different than maybe 90 days ago? And along similar lines, can you just so",85,"Dave, just a couple of questions on the nearline comments you made. First of all, when you talked about the outlook for the current quarter for nearline, o was wondering how that's different than maybe 90 days ago? And along similar lines, can you just sort of talk about what gave you the confidence in the second half recovery in nearline spending? And then last question on which is being noticeable market share shifts on different capacity points that you might want to call out."
3738520,597402326,1646370,"Seagate Technology plc, Q2 2019 Earnings Call, Feb 04, 2019",2019-02-04,"Earnings Calls","Seagate Technology Holdings plc","Executives","Yes, Stephen I'd say that we've talked about the cyclicality before, the peak that we're in and probably fiscal Q4 of last year, maybe even fiscal Q1 of this year. It really looks like we're in the trough now again, and the question is how deep is the tro",256,"Yes, Stephen I'd say that we've talked about the cyclicality before, the peak that we're in and probably fiscal Q4 of last year, maybe even fiscal Q1 of this year. It really looks like we're in the trough now again, and the question is how deep is the trough and how wide is it. So there's no reason to believe that this is necessarily how much different than the prior, but it was different than 90 days ago, I would say that we do see some customers coming back for mix changes and things like that, so there are signs in life but nothing that I would call growth back to the next peak. And I think there are various reasons for that, you can see that in our capital spending. I don't really think there's very many competitive dynamics that are changing. We did allude to in our script, if you'll notice, that there could be some waiting for the next capacity points to be qualified, if you will. Because once you go into one of these cycles, everyone -- not just the suppliers with hard drives, but also the customers and the filters are requesting a resources and the timing of what they want to ramp when. So there maybe some of that, that's impacting things a little bit. I do  think that this cycle will come back because just the exabyte demand and that -- and servicing -- what's already in the legacy data centers would have to get back on the pace."
3738520,597402326,1646370,"Seagate Technology plc, Q2 2019 Earnings Call, Feb 04, 2019",2019-02-04,"Earnings Calls","Seagate Technology Holdings plc","Operator","Our next question comes from the line of Katy Huberty of Morgan Stanley.",13,"Our next question comes from the line of Katy Huberty of Morgan Stanley."
3738520,597402326,1646370,"Seagate Technology plc, Q2 2019 Earnings Call, Feb 04, 2019",2019-02-04,"Earnings Calls","Seagate Technology Holdings plc","Analysts","90 days ago, you thought that the nearline business would be weak for a couple of quarters. And if I remember correctly, you thought you could hold the 29% gross margin. Obviously, quite different outlook today. Can you just talk about what has changed in",77,"90 days ago, you thought that the nearline business would be weak for a couple of quarters. And if I remember correctly, you thought you could hold the 29% gross margin. Obviously, quite different outlook today. Can you just talk about what has changed in terms of the mix and manufacturing utilization dynamic that you talked about? Cloud is certainly going to continue to be weak, but it seems like that was the assumption 3 months ago."
