"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
373264,651878665,1921956,"Ameren Corporation, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Ameren Corporation","Operator","Greetings. Welcome to Ameren Corporation Fourth Quarter 2019 Earnings Call. [Operator Instructions] Please note, this conference is being recorded. It is now my pleasure to introduce your host, Andrew Kirk, Director of Investor Relations for Ameren Corpor",44,"Greetings. Welcome to Ameren Corporation Fourth Quarter 2019 Earnings Call. [Operator Instructions] Please note, this conference is being recorded. It is now my pleasure to introduce your host, Andrew Kirk, Director of Investor Relations for Ameren Corporation. Thank you, Mr. Kirk. You may begin."
373264,651878665,1921956,"Ameren Corporation, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Ameren Corporation","Executives","Thank you, and good morning. On the call with me today are Warner Baxter, our Chairman, President and Chief Executive Officer; and Michael Moehn, our Executive Vice President and Chief Financial Officer; as well as other members of the Ameren management t",248,"Thank you, and good morning. On the call with me today are Warner Baxter, our Chairman, President and Chief Executive Officer; and Michael Moehn, our Executive Vice President and Chief Financial Officer; as well as other members of the Ameren management team. Warner and Michael will discuss our earnings results and guidance as well as provide a business update. Then we will open the call for questions. 
Before we begin, let me cover a few administrative details. This call contains time-sensitive data that is accurate only as of the date of today's live broadcast, and redistribution of this broadcast is prohibited. To assist with our call this morning, we have posted a presentation on the amereninvestors.com homepage that will be referenced by our speakers. 
As noted on Page 2 of the presentation, comments made during this conference call may contain statements that are commonly referred to as forward-looking statements. Such statements include those about future expectations, beliefs, plans, strategies, objectives, events, conditions and financial performance. We caution you that various factors could cause actual results to differ materially from those anticipated. For additional information concerning these factors, please read the Forward-looking Statements section in the news release we issued today and the Forward-looking Statements and Risk Factors sections in our filings with the SEC. Lastly, all per share earnings amounts discussed during today's presentation, including earnings guidance, are presented on a diluted basis, unless otherwise noted. 
Now here's Warner, who will start on Page 4 of the presentation."
373264,651878665,1921956,"Ameren Corporation, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Ameren Corporation","Executives","Thanks, Andrew. Good morning, everyone, and thank you for joining us. This morning, I'm going to kick off our presentation by summarizing our team's strong 2019 financial and operating performance as well as highlight some of our key accomplishments that",3424,"Thanks, Andrew. Good morning, everyone, and thank you for joining us. This morning, I'm going to kick off our presentation by summarizing our team's strong 2019 financial and operating performance as well as highlight some of our key accomplishments that will position Ameren for success in the future. Importantly, I will then look ahead and discuss how we plan to continue delivering superior long-term value in 2020 and beyond to our customers, communities and shareholders. I'll then turn it over to Michael to discuss key drivers of our 2019 earnings results and 2020 earnings guidance as well as some key regulatory matters. And as always, we will turn it over to you for Q&A after our remarks. 
Before I jump into the details of our accomplishments and strategic areas of focus, I want to reiterate the strategy that has been delivering significant long-term value to all of our stakeholders. Specifically, our strategy is to invest in a robust pipeline of rate-regulated energy infrastructure, continuously improving operating performance and advocate for responsible energy policies to deliver superior value to our customers and shareholders. As always, our customers continue to be at the center of our strategy. As a result, we are focused on meeting our customers' energy needs and exceeding their expectations. And in so doing, delivering on our shareholders' expectations for sustainable and strong long-term earnings per share and dividend growth. 
Our customers' expectations include providing them with safe, reliable and affordable service. They want new tools, products and services to enhance their interactions with us and to better manage their energy usage. And our customers also want us to continue to be forward-thinking when it comes to environmental, social and governance matters. I'm pleased to say that our actions and performance in 2019 as well as our strategic areas of focus for the future are aligned with our customers' and shareholders' expectations, which brings me to a discussion of our 2019 performance. 
As I said earlier, we delivered strong financial and operational performance in 2019. Earlier today, we announced 2019 earnings of $3.35 per share compared to core earnings of $3.37 per share earned in [ 2018 ]. Excluding the impact from weather, 2019 normalized earnings increased to $3.32 per share or approximately 9% from 2018's normalized base of $3.05 per share. With our customers and shareholders' expectations in mind, we made $2.4 billion of infrastructure investments in 2019 that resulted in a more reliable, resilient, secure and cleaner energy grid as well as contributed to strong rate base growth at all of our business segments. Consistent with these objectives, we successfully completed several important projects in 2019. I'm sure that you're familiar with some of the more notable projects on this slide, as we've discussed them with you throughout 2019. 
I also want to congratulate our Callaway Energy Center for receiving an exemplary rating from the World Association of Nuclear Operators in 2019. It was a great team effort that demonstrates our focus on operational excellence. In 2019, we also achieved constructive outcomes in several regulatory proceedings that will help drive additional infrastructure investments that will benefit customers and shareholders while keeping our customer rates affordable. Those constructive regulatory outcomes are outlined on this slide. 
We're also able to obtain regulatory approvals in 2019 of our planned acquisition of 700 megawatts of wind generation, along with several other innovative programs such as Charge Ahead and Community Solar, which will drive incremental investments in electric vehicle charging stations and renewable energy. Further, we continue to deliver robust energy efficiency programs for our customers. All of these programs are consistent with our ESG initiatives to bring cleaner energy and innovative solutions to the grid and our customers. The bottom line is that we successfully executed our strategy in 2019, which will have significant long-term value for all of our stakeholders. 
Turning to Page 5. As you can see on this page, our laser focus on executing this strategy for the last several years has delivered strong results. From our customer standpoint, our investments in infrastructure have improved reliability while, at the same time, our disciplined management of costs have kept our electric rates among the lowest in the country. Not surprisingly, these factors have also driven higher customer satisfaction scores. 
We've also delivered superior value to our shareholders, as you can see on Slide 6. Our weather-normalized core earnings per share has risen 60% or an approximately 8% compound annual growth rate since 2013, while our dividend has increased 20% over the same time period. This has resulted in a significant reduction in our weather-normalized dividend payout ratio from over 77% in 2013 to 58% in 2019, near the bottom of our 55% to 70% targeted dividend payout range, position us well for continued strong infrastructure investment and rate base growth as well as future dividend growth. I want to express my appreciation to all of our coworkers who have been relentlessly focused on executing our strategy over the last several years. Their actions are clearly consistent with our mission to power the quality of life. 
While I'm very pleased with our performance over the last several years, we are not sitting back and taking a deep breath. We will remain focused on accelerating and enhancing our performance in 2020 and in the years ahead, which brings me to Slide 7. 
Earlier this morning, we also announced that we expect our 2020 earnings to be in the range of $3.40 to $3.60 per share. Michael will provide you with more details on our 2020 guidance a bit later. 
Building on our robust earnings growth over the past several years, I am pleased to say we continue to expect to deliver long-term earnings growth that is among the best in the industry. Today, we affirm our expected 6% to 8% compound annual earnings per share growth rate from [ 2019 ] through 2023 issued last February. In addition, we expect to deliver 6% to 8% compound annual earnings per share growth from 2020 through 2024, using the midpoint of our 2020 guidance, $3.50 per share, as the base. Our long-term earnings growth will be driven by continued execution of our strategy, including investing in infrastructure for the benefit of our customers while keeping rates affordable. This outlook accommodates several factors, including a range of treasury rates, sales growth, spending levels and regulatory developments. And of course, earnings growth in any individual year will be impacted by the timing of capital expenditures, regulatory rate reviews and weather, among other factors. 
Turning to Page 8. The first pillar of our strategy stresses investing in and operating our utilities in a manner consistent with existing regulatory frameworks. The strong earnings growth I just discussed is primarily driven by our rate base growth outlook. Today, we are rolling forward our 5-year investment plan. And as you can see, we expect to grow our rate base in an approximately 9% compound annual rate for the 2019 through 2024 period. This growth is driven by a robust capital plan of $16 billion over the next 5 years that will deliver significant value to our customers and the communities we serve. Our plan also includes strategically allocating significant capital to all 4 of our business segments. 
Finally, we remain relentlessly focused on disciplined cost management to earn as close to our allowable returns as possible in all of our businesses. 
Moving now to Page 9. This morning, Ameren Missouri filed its updated smart energy plan with the Missouri Public Service Commission, which includes a status update for 2019 and a capital investment plan for 2020 through 2024. Ameren Missouri is making significant investments to modernize the energy grid and enhance how customers receive and consume energy. In 2019, Ameren Missouri invested $1 billion under the plan of more than 900 projects that are already delivering value to our customers. Some examples of the important projects undertaken in 2019 is shown on this slide. 
Our work in 2019 was just the beginning, and the pipeline for investment remains robust. The $7.6 billion updated smart energy plan filing today includes investments focused on improvements and upgrades to modernize the energy grid as well as our approximately $1.2 billion wind generation investment. 
In 2020, we will also begin the deployment of 1 million smart meters over the next 5 years, which will provide more visibility and choices for our customers to control their energy usage. We look forward to working with the Missouri PSC and other key stakeholders as we implement the second year of the smart energy plan and continue to provide benefits to customers while we transform the image grid of today to build a brighter energy future for generations to come as well as create significant jobs. 
Moving to Page 10 for an update on Ameren Missouri's pending electric rate review. I am pleased to report that as a result of extensive collaboration, all the major parties participating in this rate review, Ameren Missouri, the staff of the Missouri PSC, the Office of Public Counsel, industrial consumer groups and others, recently reached an agreement in principle of nearly all the issues in this case. As a result, we expect non-unanimous stipulation and agreement to be filed with the Missouri PSC this week, with the request that the agreement be approved by the Commission. At this point, the terms of the agreement in principle are confidential. This page outlines the remaining open items, which will be taken to hearings in early March. Specifically, we will defend the current sharing ratio for the fuel adjustment clause, which we have successfully defended since 2009. In addition, we will strongly defend the recovery of all of our affiliate transaction costs and investments and expenses related to our coal-fired energy centers. We look forward to presenting our views to Missouri PSC. 
Turning now to Page 11. Next, I want to cover the second pillar of our strategy: enhancing regulatory frameworks and advocating for responsible energy and economic policies. Beginning with Ameren Illinois electric distribution, downstate Clean Energy Affordability Act legislation was filed recently. This important legislation would allow Ameren Illinois to make significant investments at lower cost solar energy and battery storage to improve reliability as well as in transportation electrification in order to benefit customers in the economy across Central and Southern Illinois. The Downstate Clean Energy Affordability Act would also extend electric formula ratemaking through 2032 and builds on Ameren Illinois' efforts to modernize the energy grid under a transparent and stable regulatory framework that has supported significant investment to modernize the energy grid, while improving reliability and created approximately 1,400 jobs, all while keeping rates well below the Midwest and national averages. In addition, this legislation will modify the allowed turn on equity formula to increase the basis point adder to the average 30-year treasury rate from 5 80 to 6 80 and set an ROE cap at no more than 50 basis points above the national average for electric utility ROEs. This bill will move the state of Illinois closer to reaching its goal of 100% clean energy by 2050 and is a great example of how Ameren Illinois is supporting our ESG initiatives to bring cleaner energy to our customers. With all these benefits in mind, we are focused on working with key stakeholders to get this important legislation passed this year. 
Turning to Page 12. Earlier this month, the Missouri PSC approved the unanimous stipulation and agreement that allows the expenses for Callaway Energy Center refueling and maintenance outages to be deferred and amortized over approximately 18 months, beginning with our fall 2020 outage. This change will allow the timing of expense recognition associated with these outages to more closely align with the timing of related revenue recognition, starting with our fall outage this year. 
Moving on to FERC regulatory matters. Ameren, along with other MISO transmission owners, EEI and many other parties, requested a rehearing of FERC's November 2019 order related to the MISO ROE complaint cases. From an overall policy perspective, we believe FERC's order is inconsistent with this long-standing policy to incentivize transmission investment, particularly at a time when meaningful investments were needed for reliability and to enable the nation to continue to transition to cleaner and more diverse generation sources. Strong agreements were presented by several parties, and we are pleased that the FERC issued an order extending the time to consider the rehearing requests. We look forward to addressing this important matter with the FERC in the months ahead. It should be noted that FERC has no set time line to address this matter. And of course, we can't predict the timing and ultimate outcome of these proceedings. 
Moving now to Page 13 for an update on our wind generation investment plans to achieve compliance with Missouri's renewable energy standard and continue to transition our generation portfolio to benefit our customers, the communities we serve and the environment. 
As I discussed earlier, we received regulatory approvals from the Missouri PSC in 2019 to acquire 700 megawatts of new wind generation at 2 sites in Missouri. We expect our investment in these projects to be approximately $1.2 billion, which is included in the 5-year capital expenditure and rate base growth plans we laid out today. Both facilities will be significant additions to our renewable energy portfolio, and importantly, help us continue our transition to a cleaner and more diverse generation portfolio in a responsible fashion. Construction is well underway at both sites. Of course, we continue to work closely with the developers for both projects to monitor the time of the manufacturing and shipment of certain facility components coming from China, due to the potential for issues associated with the coronavirus. At this time, both projects remain on schedule to be in service by the end of 2020, and we expect to see meaningful contributions to earnings in 2021 from these investments. 
I would now like to provide an update on the Renewable Choice Program. As you may recall, the Renewable Choice Program enables Ameren Missouri to provide certain commercial, industrial and municipal customers with up to 400 megawatts of wind generation to meet their energy needs. Under this program, we can own 200 megawatts of this wind generation. Over the last several months, we've been working to meet our customers' top priorities for the program, including prices competitive with existing rates, long-term price predictability and for renewable power generated in Missouri. To date, we have not been able to put together a project that effectively meets the needs of our customers who have expressed an interest in this program. Given that our customers are at the center of our strategy, we remain focused on finding solutions to best meet their needs and expectations. For example, we're exploring the possibility of allowing solar projects to qualify under this program given our success with similar programs for our residential customers. This and certain other modifications to the program could require Missouri PSC approval. The bottom line is that we will continue to relentlessly work with our customers and the Missouri PSC, as needed, to design and develop projects to best serve our customers' needs. We will keep you posted on developments associated with this program. 
Finally, consistent with our goal to meet our customers' long-term energy needs, we will assess additional renewable generation opportunities in the context of our next comprehensive integrated resource plan, which is expected to be filed in September of this year. This comprehensive stakeholder process is well underway to evaluate our future customer demand as well as the existing and new generation needs over the next 20 years and beyond. We are excited about working with key stakeholders in this process and are committed to transitioning Ameren Missouri's generation to a cleaner, more diverse portfolio in a responsible fashion for the environment, our customers and our shareholders. 
Turning now to Page 14. As we look to the future, the successful execution of our 5-year plan is not only focused on delivering strong results through 2024, but is also designed to position Ameren for success over the next decade and beyond. We believe that a safe, reliable, resilient and secure energy grid will be increasingly important and bring even greater value to our customers, our communities and shareholders. With this long-term view in mind, we are making investments that will position Ameren to meet our customers' future energy needs and rising expectations, support increased electrification of the transportation sector and other industrial processes and provide safe and reliable natural gas services. 
The right side of this page shows that our allocation of capital is expected to grow our energy delivery investments to nearly 80% of our rate base by the end of 2024. As a result of Ameren Missouri's investment in 700 megawatts of wind, combined with the scheduled retirement of the Meramec coal-fired energy center in 2022, we expect coal-fired generation to decline to just 8% of rate base by year-end 2024. These steps are consistent with our goals to reduce carbon emissions by at least 80%, low 2005 levels, by 2015. These actions are just some more examples of the actions we are taking to address our customers' and shareholders' focus on ESG matters. The bottom line is that we are taking steps today across the board to position Ameren for success in 2020 and beyond. 
Moving to Page 15. Looking ahead through the end of this decade, we will remain focused on delivering superior long-term value to our customers. In addition to our robust $16 billion 5-year capital plan in years 2025 through 2029, we foresee a strong pipeline of additional investment opportunities of at least $20 billion that will deliver significant value to all of our stakeholders. These projects will be consistent with the Missouri smart energy plan as well as Illinois' Modernization action plan, both of which were designed to make our energy grid stronger, smarter and cleaner. We also plan to continue to bolster our nation's transmission infrastructure to enhance reliability and support greater levels of renewable generation on the grid. 
And speaking of renewable generation, our current plan reflects 700 megawatts of wind generation and 100 megawatts of solar generation over the next decade. As I noted previously, we will be filing our integrated resource plan in Missouri in September. In that plan, we will take a close look at additional renewable generation opportunities that will help us transition to an even cleaner and more diverse portfolio in a responsible fashion and deliver significant long-term benefits to our customers. Of course, these investments will not only create a stronger and cleaner energy grid to meet our customers' needs and exceed their expectations, but they will also create thousands of jobs for our local economies. Our ability to make these critical infrastructure investments has been facilitated by constructive state and federal energy policies across all of our businesses. Maintaining constructive energy policies, which support robust investment in energy infrastructure will be critical to meeting our customers' future energy needs and delivering on our customers' expectations. 
Moving to Page 16. To sum up our value proposition, we remain firmly convinced that the execution of our strategy in 2020 and over the next decade will deliver superior value to our customers, shareholders and the environment. We believe the expectation of a 6% to 8% earnings per share compound annual growth rate from 2020 through 2024 driven by strong rate base growth compares very favorably with our regulated utility peers. I am confident in our ability to execute our investment plans and strategies across all 4 of our business segments, as we have an experienced and dedicated team to get it done. That back, coupled with our sustained past execution of our strategy on many fronts, has positioned us well for future success. 
Further, our shares continue to offer investors a solid dividend. In the fourth quarter of last year, Ameren's Board of Directors expressed its confidence in our long-term growth plan by increasing the dividend by approximately 4%, the sixth consecutive year with a dividend increase. Our strong earnings growth expectations outlined today positions us well for future dividend growth. Of course, future dividend decisions will be driven by earnings growth, in addition to cash flows and other business conditions. Together, we believe our strong earnings growth outlook, combined with our solid dividend, results in a very attractive total return opportunity for shareholders. 
Again, thank you all for joining us today, and I'll now turn the call over to Michael. Michael?"
373264,651878665,1921956,"Ameren Corporation, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Ameren Corporation","Executives","Thanks, Warner, and good morning, everyone. Turning now to Page 18 of our presentation. Today, we reported 2019 core earnings of $3.35 per share compared to core earnings of $3.37 per share in 2018. Ameren Missouri, our largest segment, experienced a decr",1539,"Thanks, Warner, and good morning, everyone. Turning now to Page 18 of our presentation. Today, we reported 2019 core earnings of $3.35 per share compared to core earnings of $3.37 per share in 2018. Ameren Missouri, our largest segment, experienced a decrease of $0.24 per share from $1.98 per share in 2018 to $1.74 per share in 2019. This decrease was largely due to lower electric retail sales, driven by weather, which reduced earnings by approximately $0.26 per share. 
In 2019, we experienced near-normal summer and winter temperatures compared to warmer summer and colder winter temperatures in the year-ago period. Ameren reserves results also reflected this year's scheduled refueling outage in our Callaway Energy Center, which reduced earnings by $0.09 per share compared to 2018 when there was no refueling outage. The next Callaway refueling is scheduled for the fall of 2020. 
Higher property tax has also reduced earnings by $0.05 per share in 2019 when compared to 2018. These items were partially offset by the positive comparative impacts related to EMEA performance incentives, which contributed $0.08 per share, in addition to lower other operations and maintenance expenses. 
Turning to the other segments. Ameren transmission earnings were up $0.08, which reflected increased infrastructure investments. Earnings for Ameren Illinois natural gas were up $0.05, which reflected higher rates effective in November [ 2018 ] and increased infrastructure investments. In addition, Ameren Illinois electric distribution earnings were up $0.02 due to increased investments, mostly offset by a lower allowed return on equity under formulaic rate making of 8.4% compared to 8.9% for the prior year. 
The 2019 allowed ROE is based on a 2019 average 30-year treasury yield of approximately 2.6%, down from the 2018 average of 3.1%. Ameren Parent & Other results reflected higher tax benefits, primarily associated with share-based compensation and charitable donations returning to more normal levels. 
Before moving on, let me briefly cover electric sales trends for Ameren Missouri and Ameren Illinois electric distribution for 2019 compared to 2018. Weather-normalized kilowatt-hour sales to Missouri residential and commercial customers on a combined basis were up a little over 0.5%, excluding the effects of the Missouri energy efficiency plan in EMEA. Sales to low-margin Missouri industrial customers decreased about 4%, excluding the effects of our energy efficiency plan. We exclude the FX because the plan provides rate recovery to ensure that earnings are not affected by reduced electric sales resulting from our energy efficiency efforts. Weather-normalized kilowatt hour sales to resident, Illinois residential and commercial customers on a combined basis decreased 1.5%, and sales to industrial customers decreased 2%. Recall that changes in electric sales in Illinois, no matter the cause, do not affect earnings since we have full revenue decoupling. 
Moving to Page 19 of the presentation. Here, we provide an overview of our $16 billion of planned capital expenditures for the 2020 through 2024 period by business segment. That underlines the approximately 9% projected rate base growth Warner discussed earlier. This plan includes an incremental $2.7 billion compared to the $13.3 billion 5-year plan for 2019 through 2023 that was laid out last February. 
Turning to Page 20. We outlined here the expected funding sources for the infrastructure investments noted on the prior page. We expect continued growth in cash from operations as investments are reflected in customer rates. We also expect to generate significant tax deferrals. The tax deferrals are driven primarily by timing differences between financial statement depreciation reflected in customer rates and accelerated depreciation for tax purposes under makers. 
I should note that over the 5-year time horizon of our plan, we expect to make income tax and payments totaling $150 million to $200 million over our 5-year plan. In addition to the benefits of accelerated tax depreciation as a result of our expected $1.2 billion investment and 700 megawatts of wind generation, we expect to begin generating production tax credits over this period. 
From a financing perspective, we expect to continue to issue long-term debt at Ameren Parent, Ameren Missouri and Ameren Illinois to refinance the maturing obligations and to fund a portion of our cash requirements. We also plan to continue to use newly issued shares from our dividend reinvestment and employee benefit plans over the 5-year guidance period. We expect this to provide equity funding of approximately $100 million annually. Our plan also includes the settlement of the forward equity contract in 2020 to generate between $540 million and $550 million to fund, in part, Ameren Missouri's wind generation investment by the end of that year. In order for us to maintain a strong balance sheet while we fund our robust infrastructure plan, we expect incremental equity issuances of approximately $150 million a year starting in 2021. All of these actions are expected to enable us to maintain a consolidated capitalization target of approximately 45% equity. 
Moving to Page 21 of our presentation. I would now like to discuss key drivers impacting our 2020 earnings guidance. As Warner stated, we expect 2020 diluted earnings per share to be in the range of $3.40 to $3.60 per share. On this page and the next, we have listed key earnings drivers of, and assumptions behind, our 2020 earnings guidance, broken down by segment and compared to the 2019 results. 
Beginning with Ameren Missouri, earnings are expected to rise in 2020 [indiscernible] are expected to be favorably affected by the electric service rates that are expected to be effective as of April -- as early as April 1. In addition, we also expect deferral expenses for the fall 2020 scheduled Callaway refueling and maintenance outage to increase earnings by approximately $0.08 per share compared to the spring 2019 outage. Our expenses will be deferred and amortized over approximately 18 months after completion. Partially offsetting these favorable earnings drivers, we expect lower energy efficiency performance incentives in 2020 of approximately $0.09. 
Finally, at Ameren Missouri, we expect the 700-megawatt wind generation investment by the end of 2020 to not have a material impact on 2020 earnings. Ameren transmission earnings are expected to benefit from additional investments in Ameren Illinois and ATXI projects made under FERC's formula ratemaking. Our guidance assumes the current 10.38% FERC-allowed ROE for the full year of 2020, which includes a 50 basis point adder for the MISO participation, except for the Mark Twain project, which assumes an allowed ROE of 10.88%. 
Turning to Page 22. For Ameren Illinois electric distribution, we anticipate increased earnings in 2020 compared to 2019 from additional infrastructure investments made under Illinois formula ratemaking. Our guidance incorporates a formula-based ROE of 8% using a forecasted 2.2% 2020 average yield for the 30-year treasury bond, which is lower than the allowed ROE of 8.4% in 2019. 
For Ameren Illinois natural gas distribution earnings, we expect to benefit from qualified investments that are included in rates on a timely basis under the state's gas infrastructure rider. 
Moving now to Ameren wide drivers and assumptions. We expect lower tax benefits associated with share-based compensation in 2020 compared to 2019. In addition, the increased number of shares outstanding as a result of issuance under our dividend reinvestment employee benefits plans are expected to unfavorably impact earnings by $0.02 per share. 
I would also like to take a moment to discuss our electric sales outlook. We expect weather-normalized Missouri kilowatt hour sales to customers to be up approximately 0.5% compounded annually over our 5-year plan, excluding the effects of our EMEA energy efficiency plan. Again, we exclude EMEA because the plan provides rate recovery to ensure that earnings are not affected by reduced electric sales resulting from our energy efficiency efforts. 
Turning to Illinois. We expect our weather-normalized kilowatt hour sales to customers, including energy efficiency, to be flat to down slightly over our 5-year plan. 
Turning to Page 23 and Ameren Illinois regulatory matters. In December, the ICC approved an electric distribution rate change consistent with our filing and our annual rate update proceeding, with new rates effective at the beginning of this year. In Ameren Illinois, to get natural gas regulatory matters, last week, we filed a request for $102 million annual increase in gas distribution rates using a 2021 future test year with the ICC. This $102 million included an estimated $46 million of annual revenues that would otherwise [ have ] recovered in 2021, under Ameren Illinois qualifying infrastructure plant and other riders. The details of this gas rate case filing are noted on this page. An ICC decision is required by January 2021, with new rates expected to be effective in February of 2021. 
Finally, turning to Page 24. We delivered strong earnings growth in 2019, and we expect to again deliver strong earnings growth in 2020 as we continue to successfully execute our strategy. As we look ahead, we expect strong 6% to 8% compound earnings per share growth from 2020 to 2024, driven by robust rate base growth and disciplined cost management. Further, we believe this growth will compare favorably with the growth of our regulated utility peers. And Ameren shares continue to offer investors an attractive dividend. In total, we have an attractive total shareholder return story that compares very favorable to our peers. 
That concludes our prepared remarks. We now invite your questions."
373264,651878665,1921956,"Ameren Corporation, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Ameren Corporation","Operator","[Operator Instructions] Our first question is from Julien Dumoulinn-Smith, Bank of America.",12,"[Operator Instructions] Our first question is from Julien Dumoulinn-Smith, Bank of America."
373264,651878665,1921956,"Ameren Corporation, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Ameren Corporation","Analysts","What an update here. I appreciate it.",7,"What an update here. I appreciate it."
373264,651878665,1921956,"Ameren Corporation, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Ameren Corporation","Executives","Thanks, Julien. Thanks. Appreciate it.",5,"Thanks, Julien. Thanks. Appreciate it."
373264,651878665,1921956,"Ameren Corporation, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Ameren Corporation","Analysts","Absolutely. Well, so perhaps just to kick it off here. First, I want to turn it back to Illinois and some of the legislative efforts you described here. Can you perhaps, at least begin to allude to what the opportunity would be under the downstate element",99,"Absolutely. Well, so perhaps just to kick it off here. First, I want to turn it back to Illinois and some of the legislative efforts you described here. Can you perhaps, at least begin to allude to what the opportunity would be under the downstate element here? Specifically, I think you highlighted the transcript solar, EV and further distribution investments, but I just want to try to put at least initial number around what that totality could be? And I presume that's largely not reflected in your outlook as you just updated? And I've got a follow-up as well."
373264,651878665,1921956,"Ameren Corporation, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Ameren Corporation","Executives","Yes. So thanks. Look, a couple of things. Number one, we're excited about this legislation. We think it really has some really important elements in terms of trying to move Illinois to the clean energy future that they've been talking about, but also doin",243,"Yes. So thanks. Look, a couple of things. Number one, we're excited about this legislation. We think it really has some really important elements in terms of trying to move Illinois to the clean energy future that they've been talking about, but also doing the things that we have been doing for the past 8 years, and that's modernizing the grid. 
So number one, one of the things in terms of trying to put some perspective on it. Clearly, the grid modernization efforts we talk a lot about those. And those are, in some respects, reflected back in the slide that we showed in terms of our 10-year outlook. Some of those dollars are certainly a mirror but I think right now, it's premature for us to put a specific number on the solar and energy storage opportunities or electrification. I think clearly, as you've seen us do in Missouri, we see the solar plus battery storage projects, and they have been really important to help reliability. Richard and his team in Illinois certainly see those same types of opportunities. 
And look, at electrification, I think, across the country, we're just scratching the surface in terms of what those opportunities can be. So I'd like to put something around that for you. But I think it's just a little early for us to do that. But clearly, we see this as an important opportunity for the state of Illinois and especially downstate Illinois."
373264,651878665,1921956,"Ameren Corporation, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Ameren Corporation","Analysts","Excellent. And just wanted to clarify a little bit more on your financing plan here. 2 further points. When you talk and perhaps emphasize at points throughout the transcript dividend growth. And obviously, you're broadly at the lower end of your contempl",105,"Excellent. And just wanted to clarify a little bit more on your financing plan here. 2 further points. When you talk and perhaps emphasize at points throughout the transcript dividend growth. And obviously, you're broadly at the lower end of your contemplated payout ratio. You also increased a little bit the equity funding plan through the outlook. How do you think about dividend growth given the pace of CapEx that you have? Do you think that, ultimately, we're still looking at a low -- trending towards the lower end of that payout just through at least the bulk of this high-growth period? I'll leave it."
