"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
24809,650357944,1896360,"AmerisourceBergen Corporation, Q1 2020 Earnings Call, Jan 30, 2020",2020-01-30,"Earnings Calls","Cencora, Inc.","Operator","Good morning, and welcome to the first Quarter 2020 AmerisourceBergen Earnings Conference Call. [Operator Instructions] After today's presentation, there will be an opportunity to ask questions. [Operator Instructions] Please note, this event is being rec",56,"Good morning, and welcome to the first Quarter 2020 AmerisourceBergen Earnings Conference Call. [Operator Instructions] After today's presentation, there will be an opportunity to ask questions. [Operator Instructions] Please note, this event is being recorded. 
I would now like to turn the conference over to Bennett Murphy, Senior Vice President of Investor Relations. Please go ahead."
24809,650357944,1896360,"AmerisourceBergen Corporation, Q1 2020 Earnings Call, Jan 30, 2020",2020-01-30,"Earnings Calls","Cencora, Inc.","Executives","Thank you. Good morning, and thank you all for joining us for this conference call to discuss AmerisourceBergen Fiscal 2020 First Quarter results. I'm Bennett Murphy, Senior Vice President, Investor Relations. And joining me today are Steve Collis, Chairm",211,"Thank you. Good morning, and thank you all for joining us for this conference call to discuss AmerisourceBergen Fiscal 2020 First Quarter results. I'm Bennett Murphy, Senior Vice President, Investor Relations. And joining me today are Steve Collis, Chairman, President and CEO; and Jim Cleary, Executive Vice President and CFO. 
On today's call, we will be discussing non-GAAP financial measures. Reconciliations of these measures to GAAP are provided in today's press release and are also available on our website at investor.amerisourcebergen.com. We've also posted a slide presentation to accompany today's press release on our investor website. 
During this conference call, we will make forward-looking statements about our business and financial expectations on an adjusted non-GAAP basis, including, but not limited to, EPS, operating income and income taxes. Forward-looking statements are based on management's current expectations and are subject to uncertainty and change. For a discussion of key risks and assumptions, we refer you to today's press release and our SEC filings, including our most recent 10-K. AmerisourceBergen assumes no obligation to update any forward-looking statements, and this call cannot be rebroadcast without the express permission of the company. 
You'll have the opportunity to ask questions after today's remarks by management. [Operator Instructions] 
With that, I'll turn the call over to Steve."
24809,650357944,1896360,"AmerisourceBergen Corporation, Q1 2020 Earnings Call, Jan 30, 2020",2020-01-30,"Earnings Calls","Cencora, Inc.","Executives","Thank you, Bennett, and good morning to everyone on today's call. Today, I am pleased to discuss AmerisourceBergen's strong fiscal 2020 first quarter results. We delivered solid performance across both the Pharmaceutical Distribution and Global Commercial",1424,"Thank you, Bennett, and good morning to everyone on today's call. Today, I am pleased to discuss AmerisourceBergen's strong fiscal 2020 first quarter results. We delivered solid performance across both the Pharmaceutical Distribution and Global Commercialization Services and Animal Health groups, each delivering year-over-year growth in the first quarter. 
Revenues were up 5% to $48 billion for the quarter and our adjusted diluted EPS was $1.76 for the first quarter, an increase of 10% compared to the previous fiscal year period. 
Before we provide more details on our first quarter results, I want to take a few moments to discuss the ongoing opioid litigation and the decision to exit the PharMEDium business. AmerisourceBergen and the other parties continue the complex process of working towards a global resolution of the opioid litigation, while also continuing to prepare for upcoming trials. We are hopeful that the necessary parties understand and see the merits of the global framework as a practical path for global resolution. 
As we engage in discussions related to the global framework and continue to litigate, we are unable to comment deeply on these matters at this time. AmerisourceBergen remains committed to transparency and providing shareholders with updates as we are able. 
Moving on to PharMEDium. At this point last year, we detailed how we had begun a comprehensive strategic and financial review of PharMEDium and engage a new CGMP expert consulting firm to work with the business' new seasoned leadership team. As we stated at that time, we entered this review phase with a focus on pursuing a thoughtful and decisive course of action that was best for AmerisourceBergen and our shareholders while respecting both the needs of our customers and other stakeholders. 
Over the past year, we worked internally to optimize the business, continued discussions with regulators and reached an agreement on the terms of a consent decree for PharMEDium with the FDA focused on remediating the business. 
Despite this progress, we still face considerable challenges in order to successfully move the business forward, including ongoing regulatory challenges, continued operational issues, inability to make sufficient progress on remediation and the continued financial burden of running the business. 
Given these factors, we've made the difficult decision to shut down and exit the PharMEDium business. The decision is a difficult one, and we are mindful of the impact it has on our associates and customers. We want to thank all PharMEDium associates for their dedication, and we are appreciative of their efforts. 
As part of the shutdown process, we will provide impacted associates with support and services they need. We are also disappointed that PharMEDium will no longer be able to serve its customers, but believe exiting the business is appropriate path forward for AmerisourceBergen and its shareholders. 
Jim will provide financial details, including the decision's impact on fiscal 2020 guidance later in the call. 
Turning now to our first quarter results. AmerisourceBergen continues to benefit from our unique pharmaceutical center strategy that positions us well within the U.S. market. 
Additionally, the company's core strength and capabilities regarding our unrivaled talent, expertise and ability to provide comprehensive solutions continues to differentiate us from our peers. I want to thank our associates for their dedication, executional excellence and focus on consistently creating and delivering value for all of our stakeholders. I am proud to work alongside our teams who remain relentless in their pursuit of opportunities to unlock value for pharmaceutical manufacturers, health care providers and the patients they serve. 
Within Pharmaceutical Distribution services, the segment's success reflects this continued focus on customer experience, in addition to our ongoing strength in specialty distribution and overall growth in customer volumes. AmerisourceBergen is the leader in specialty distribution, and our strong growth continues to be fueled by our deep expertise and key customer relationships, organically growing market with favorable demographics and increased pharmaceutical utilization, resulting from innovation within specialty, particularly in the areas of oncology, ophthalmology and rheumatology. In these and other therapeutic categories, AmerisourceBergen continues to deliver value and provide differentiated services and solutions to key customer segments, such as our community physician practice partners. A key differentiator for our specialty business, our ION GPO remains a competitive advantage in our suite of offerings to oncology physician practices. 
As the market-leading GPO for community oncologists, ION provides physicians with the contracting, analytics and business practice solutions they need to run their practices more efficiently and profitably. 
At the same time, we continue to see positive early signs for biosimilar utilization. We believe that the right conditions exist in the U.S. were increasing biosimilar commercialization success. We continue to see signs that legislated and commercial plans are recognizing the potential of biosimilars to create better access and affordability for patients. AmerisourceBergen's market-leading position in specialty, strongly positions us to benefit from biosimilars. We've aligned ourselves with key customers and biosimilar manufacturers understand the value of contracting with ION as they seek to increase utilization of their products. 
These elements, combined with our scale, efficiency, state-of-the-art distribution network and competitive sourcing capabilities position Amerisourcebergen to capitalize on market opportunities. 
AmerisourceBergen is also well positioned to seize market opportunities in animal health and pharmaceutical manufacturer services through our Global Commercialization Services and Animal Health Group, businesses that comprise approximately 20% of AmerisourceBergen's operating income, our largest business in this segment, MWI, is a market leader in animal health solutions with the right strategic partnerships and capabilities to enhance operational efficiencies and deliver strong customer experience while our portfolio of global commercialization services strengthens health outcomes by supporting pharmaceutical innovation with data-driven solutions that advance and support patient access and adherence through therapy. 
For example, extended health economics consulting and field tech team reimbursement support services are helping manufacturers maximize market access for products while the Lash Group's technology-enabled patient access and adherence solutions are helping to reduce barriers for patients to stay, start and stay on therapy. 
Essential to pharmaceutical manufacturers' ability to commercialize and improve access to innovative therapies, is ability to transport trial products and unique patient treatment like cell and gene therapies on time and at the right temperature. 
World Courier, the global market leader in specialty and clinical trial logistics, is a trusted solutions partner that services these complex needs for manufacturers around the world, operating in over 50 countries, this highly differentiated and innovative business continues to grow and expand. This business delivered unparalleled service offerings for its pharmaceutical partners in clinical trial logistics and commercial services. 
For example, World Courier cocoon offering is the industry's most dependable and cost-effective refrigerated container solution, providing unprecedented reliability and driving strong momentum for the business this year. 
In addition, World Courier Nova technology platform further improves operational excellence, scaling to meet the demand and complex requirements of our global customers. 
Looking ahead, World Courier will continue to design and deploy patient-centric and forward-thinking transport services in new areas like in home clinical trials making treatments in patients home possible in virtually every therapeutic area. 
I am proud of AmerisourceBergen's role in the global health care solutions leader and purpose-driven organization. We are united in our responsibility to create healthier futures and recognize that there is always a patient connected to every product. Pharmaceutical care is still the most efficient form of health care and medication adherence provides positive health benefits for patients while saving lives and the health care systems, hundreds of billions of dollars annually. 
Adherence, should be the goal for which all health care stakeholders are striving. As an enabler of access and creator of additional efficiencies, Amerisourcebergen will continue to engage in constructive dialogue around benefit design and rising out-of-pocket costs for patients and the sustainability and efficiency of the health care system. 
As a leader in the health care supply chain, Amerisourcebergen remains well positioned to create sustained long-term value. Execution of our 4 key strategic pillars, strong customer base, leadership in specialty distribution and services, innovative services and solutions and proven corporate stewardship, positions us well to benefit from market trends with an evolving market landscape. 
As we move further into fiscal 2020, we will continue to advance our talent and culture and execute on our unique and differentiated business strategy. 
More than ever, we remain confident in our growth strategy, focused on execution and dedicated to delivering long-term value for our associates, shareholders, partners, customers and the patients they serve. 
Thank you, again, for your interest in AmerisourceBergen. I will now turn the call over to Jim for a more in-depth review of our first quarter fiscal 2020 results. Jim?"
24809,650357944,1896360,"AmerisourceBergen Corporation, Q1 2020 Earnings Call, Jan 30, 2020",2020-01-30,"Earnings Calls","Cencora, Inc.","Executives","Thanks, Steve, and good morning, everyone. My remarks today will focus primarily on our adjusted non-GAAP financial results. Growth rates and comparisons are made against the prior year December quarter, unless otherwise noted. For a discussion of our GAA",2065,"Thanks, Steve, and good morning, everyone. My remarks today will focus primarily on our adjusted non-GAAP financial results. Growth rates and comparisons are made against the prior year December quarter, unless otherwise noted. For a discussion of our GAAP results, please refer to our earnings release. 
As Steve mentioned, we had a strong quarter with solid execution in our Pharmaceutical Distribution segment and continued growth in our Global Commercialization Services and Animal Health Group. 
Before I discuss our results in greater detail this morning, I want to take a moment to discuss the GAAP asset impairment charge that we took for PharMEDium as of December 31,and the January strategic decision to exit the business. 
First, the GAAP asset impairment for PharMEDium. We updated our recoverability assessment of PharMEDium's long-lived assets as of December 31 and made the determination that the estimated undiscounted future cash flows indicated that the assets should have a lower carrying value. 
As a result, we calculated the fair value of PharMEDium's long-lived assets using undiscounted cash flow estimates as of December 31, and determine the asset impairment amount to be $138 million. 
Second, I'll cover the decision to exit the PharMEDium business. As Steve said, the company has decided to exit the compounding business. And as a result, we'll see sole commercial and administrative operations related to the business. The decision to exit the PharMEDium business was not easy, but it is undoubtedly the right path forward for AmerisourceBergen and our shareholders. 
As Steve noted, the decision was based on a number of factors notably continuing regulatory and operational challenges, including PharMEDium's decision earlier this month to suspend production at its New Jersey facility. 
In addition to the December quarter impairment charge as a result of the decision in January to exit the business, the company expects to impair the majority of the remaining $55 million of tangible PharMEDium assets and all of the remaining $185 million of PharMEDium intangible assets in the March quarter. 
Finally, as a result of the exit, we expect to claim an ordinary income tax deduction and estimate that we will realize a cash tax benefit in fiscal 2020 through fiscal 2022, totaling approximately $500 million to $600 million. This will benefit our GAAP P&L and GAAP tax rate but will not impact our adjusted tax rate. However, it will have a positive impact on cash flows in the years in which the benefit is realized. 
As it pertains to the adjusted non-GAAP results for the remainder of the year, our decision to exit PharMEDium will have a positive impact on our outlook for fiscal 2020, which I will provide greater detail on in a few minutes. 
Turning now to our first quarter results. I'll provide commentary in 2 main areas this morning. First, I will detail our adjusted quarterly consolidated and segment performance; second, I will cover our increased fiscal 2020 guidance, reflecting the continued strength of AmerisourceBergen businesses, a lower share count and the removal of PharMEDium for the remaining 3 quarters of fiscal 2020. 
We finished the quarter with adjusted diluted EPS of $1.76, an increase of 10% primarily due to higher operating income and a lower share count. Lower net interest expense was offset by an increase in income taxes. 
Also, our December quarter of last year had unfavorable bad debt expense, which benefits the current year-over-year comparison by a couple of pennies. 
Our consolidated revenue was $47.9 billion, up 5%, driven by strong revenue growth in both segments. Gross profit increased 3% or $40 million to $1.24 billion. 
Consolidated operating expenses increased 2% to $748 million. This quarter is an easier comparison in the balance of fiscal 2020, due to a few reasons that we have called out previously. 
First, we had not yet lapped the health care benefit design change that was implemented for calendar 2019; second, much of the operational synergies related to our fiscal 2018 acquisition of HD Smith were captured after the first quarter of fiscal 2019, and additionally, we executed on delivering better-than-expected expense management across the business in the quarter, most notably within the Pharmaceutical Distribution segment. 
Consolidated operating income was $495 million, up 5%, with our operating margin down 1 basis point. As I mentioned earlier, there were some favorable items related to bad debt expense comparison, health care and the timing of HD Smith synergy capture. Our businesses with the exception of PharMEDium, are executing well, and the strength of our business continues to show through in our financial results as we posted another solid quarter of growth in operating income. 
As it pertains to PharMEDium, since the decision to exit the business was made in January, PharMEDium adjusted operating loss for the first quarter of fiscal 2020 will remain in our full year fiscal 2020 results. The adjusted operating loss from PharMEDium in the first quarter was $20 million compared to an adjusted operating loss of $14 million in 2019. 
Moving below the operating income line. Net interest expense decreased 26% to $31 million. As a reminder, the adoption of the new lease accounting standard in fiscal 2020 has a favorable impact on the interest expense line at certain build-to-suit leases that were previously accounted for as finance leases are being accounted for as operating leases, resulting in an offsetting unfavorable impact on operating expenses and, therefore, operating income. 
In addition to the lower interest expense, we continue to benefit from interest income related to our higher average invested cash balance. 
Moving now to income taxes. Our adjusted income tax rate was 21%, up from 19.9% in the prior year quarter, which benefited from a discrete safe income tax item. Our diluted share count decreased 3% to 207.5 million shares. In the December quarter, we used opportunistic share repurchases to return $135 million of capital to our shareholders. While on the topic of returning capital to shareholders, this morning, we also announced that the company's Board of Directors approved a dividend increase of 5%. AmerisourceBergen has a balanced approach to capital deployment and as evidenced by share repurchases and dividend increase, we have exhibited our ongoing commitment to returning capital to shareholders. 
Regarding free cash flow and cash balance, in the December quarter, we had free cash flow of $76 million as we experienced normal seasonality in the business and remain on track for hitting our adjusted free cash flow guidance. 
Adjusted free cash flow in the quarter was $134 million. As a reminder, the company defines adjusted free cash flow as net cash provided by operating activities excluding significant unpredictable or nonrecurring cash payments or receipts relating to legal settlements, minus capital expenditures. 
We ended the quarter with $3.2 billion in cash of which $1.1 billion was held offshore and the majority was U.S. denominated cash. This completes the review of our consolidated results. 
Now I will turn to our segment results. 
Beginning with Pharmaceutical Distribution services. Segment revenue was $46 billion, up 5% as the segment continues to benefit from continued strength in the specialty distribution of specialty products in multiple channels and the growth of our customers overall. Our segment operating income increased 5% to $392 million. We continue to be encouraged by our team's ability to execute and deliver value for our partners, both upstream and down, particularly in our specialty physician services group. 
As I mentioned earlier, the segment did benefit from favorable bad debt expense compared to the previous year quarter as well as the year-over-year comparison of no longer operating the HD Smith distribution centers that we began transitioning to our existing distribution network in the second quarter of fiscal 2019. 
I will now turn to the Other segment, businesses that focus on Global Commercialization Services and Animal Health, including World Courier, AmerisourceBergen Consulting and MWI. 
In the quarter, revenue was $1.8 billion, up 10% driven by 8% growth for MWI and double-digit growth in Global Commercialization Services. 
From an operating income standpoint, this group had operating income of $104 million, up 6% driven by growth in Consulting and World Courier. 
The group is off to a solid start, and we are encouraged by the growth expectations for the business this year. The Global Commercialization Services and Animal Health Group is a positive differentiator for AmerisourceBergen. 
As we look out into the future, we are focused on being leaders in providing key manufacturer services to support pharmaceutical innovation and we are investing to fortify our strength and overall value proposition through projects like Fusion at LASH and Nova at World Courier. 
Additionally, MWI has continued to strengthen its customer relationships and commercial partnerships and is focused on execution to further enhance efficiency. 
This completes the review of our segment results. Let me now turn to our fiscal 2020 guidance. As we said in this morning's press release, we are raising our fiscal 2020 EPS guidance, from a range of $7.3 to $7.6 to an updated range of $7.55 to $7.80, which implies EPS growth of 6% to 10% and reflects the company's continued strong performance, opportunistic share repurchases in the first quarter and our exit of the PharMEDium business, which represents slightly less than half of the guidance increase. 
Regarding operating income, we now expect to grow consolidated operating income in the mid single-digit percent range to reflect the continued strength of our overall business and the year-over-year favorability of not having PharMEDium losses in our adjusted operating income results for the balance of the year. 
We now expect the operating income in Pharmaceutical Distribution Services segment to grow in the mid single-digit percent range. 
As a result of exiting the PharMEDium business, our fiscal second, third and fourth quarters will have a favorable comparison to the respective fiscal 2019 quarters in which we recorded adjusted PharMEDium operating losses of $14 million, $9 million and $18 million, respectively. 
In total, the fiscal 2020 adjusted operating loss from PharMEDium is solely what we recorded in Q1, $20 million. The total adjusted operating loss from PharMEDium in fiscal 2019 was $55 million. Therefore, the exit of PharMEDium results in fiscal 2020 operating income tailwind of $35 million versus the prior year. 
Since we will not be revising our previously reported adjusted non-GAAP operating results, we are providing this additional level of detail as part of our focus on being as transparent as possible on the financial impact of the PharMEDium exit and providing key information for your modeling purposes. 
Regarding share repurchases, given the level of share repurchases in the December quarter, we now expect to finish the year around 208 million weighted average shares outstanding. 
Lastly, while we do not have specific guidance metrics, broadly speaking, both brand and generic pricing are trending relatively in line with our original expectations for the year. 
Regarding our fiscal second quarter EPS expectations, while we do not provide quarterly guidance, I will note that our second quarter EPS growth is likely to be at the low end of the 6% to 10% EPS guidance growth range for the year as we expect an increase in our operating expense growth in the quarter. 
On our second quarter call last year, I noted that there were some positive, general and administrative expense items that benefited that quarter. We do not expect those items to repeat in 2020. 
In closing, regarding PharMEDium, our review has been both thoughtful and decisive, but there comes a point in time where you have to make a decision that the path you have been on is no longer appropriate and our decision to exit the business as the right path forward from here. 
Despite this strategic change, the key differentiators of AmerisourceBergen remain unchanged. 
We have strong customer relationships in each customer segment. Our businesses are focused on execution and bringing innovative services and solutions to our partners, we have leadership in key specialty markets, notably specialty distribution and commercialization services; and finally, AmerisourceBergen is purpose-driven and focused on creating shareholder value through thoughtful corporate stewardship with a balanced and strategic approach to capital allocation and a clear emphasis on advancing our talent and culture. AmerisourceBergen is executing very well across the business. Our value proposition to our partners is undeniable, and we are well positioned to create long-term value for all of our stakeholders. 
Thank you for your interest in Amerisourcebergen. Now I will turn the call back to the operator to start our Q&A."
24809,650357944,1896360,"AmerisourceBergen Corporation, Q1 2020 Earnings Call, Jan 30, 2020",2020-01-30,"Earnings Calls","Cencora, Inc.","Operator","[Operator Instructions] The first question will come from Robert Jones of Goldman Sachs.",13,"[Operator Instructions] The first question will come from Robert Jones of Goldman Sachs."
24809,650357944,1896360,"AmerisourceBergen Corporation, Q1 2020 Earnings Call, Jan 30, 2020",2020-01-30,"Earnings Calls","Cencora, Inc.","Analysts","I guess, just to focus on the pharma segment guidance change and PharMEDium. I guess, Steve, first, maybe could you talk a little bit about whether or not there was a sale process around PharMEDium? Any discussions maybe with the FDA about the ramificatio",126,"I guess, just to focus on the pharma segment guidance change and PharMEDium. I guess, Steve, first, maybe could you talk a little bit about whether or not there was a sale process around PharMEDium? Any discussions maybe with the FDA about the ramifications or potential ramifications from exiting this business just on thinking about the largest compounding pharmacy business out there? And then you gave a lot of detail, Jim, around the change in the pharma segment guidance as far as the impact in the quarter and the balance of the year from PharMEDium. I guess, maybe just to take a step back, did any of your other assumptions change outside of the PharMEDium math you provided as far as thinking about 2Q through 4Q?"
24809,650357944,1896360,"AmerisourceBergen Corporation, Q1 2020 Earnings Call, Jan 30, 2020",2020-01-30,"Earnings Calls","Cencora, Inc.","Executives","Bob, I'll start with the PharMEDium question. Obviously, a disappointing day for ABC, but I think that Jim script was excellent. And by the way, I apologize to everyone. I think the quality of the sound is not quite what we would hope, and we'll endeavor",271,"Bob, I'll start with the PharMEDium question. Obviously, a disappointing day for ABC, but I think that Jim script was excellent. And by the way, I apologize to everyone. I think the quality of the sound is not quite what we would hope, and we'll endeavor to do better next time. But I think Jim's comments were excellent. You can see from the financial disclosures, we've displayed a lot of perseverance with this business. And it's just -- I think the 503B changes have made it very difficult to scale the business and get to the sort of consistent quality that we, AmerisourceBergen, would like to deliver to our customers. And we've continued to experience ongoing regulatory challenges and challenges with the remediation program we put in place. We announced on this call that our New Jersey facility recently had a close. So we really went into this year with an attitude of wanting to protect our profits for our shareholders and other stakeholders. And we had a lot of -- a lot of, I think, perseverance with this business. And I think that we reached this decision, and we think that given -- with the businesses, it would be very difficult to enter into a sales process. We have certainly been in close communication with the FDA. Throughout the consent decree negotiation and the consent decree implementation. We think that we've approached this as a good stakeholder. We certainly regard regulators as a stakeholder. And we'll work collaboratively and transparently with them and professionally with them through the closure. Jim, you want to answer the second part of the question?"
24809,650357944,1896360,"AmerisourceBergen Corporation, Q1 2020 Earnings Call, Jan 30, 2020",2020-01-30,"Earnings Calls","Cencora, Inc.","Executives","Yes, sure. Bob, the second part of the question, my understanding had to do with guidance impact in other than PharMEDium, which I really went into a lot of detail on in the call. What were the other things that impacted guidance, particularly as it relat",261,"Yes, sure. Bob, the second part of the question, my understanding had to do with guidance impact in other than PharMEDium, which I really went into a lot of detail on in the call. What were the other things that impacted guidance, particularly as it relates to our Pharmaceutical Distribution business. And as I said during my prepared remarks, if you look at our increase in guidance, the exit of the PharMEDium business represents slightly less than half of the guidance increase. And so if you look at the $0.20 increase in guidance at the top end of the range, the exit of PharMEDium represents slightly less than half the guidance increase. The benefit excluding those losses in Q2 through Q4. 
And so that means that the rest of the business is performing quite well, and we are seeing really good performance in the core Pharma Distribution business. As we've talked about, we're seeing a lot of strength in specialty distribution, in particular, our specialty physician services business, we're seeing good volume growth in the Pharma Distribution business, we're seeing 5% volume growth. That's due, of course, our balanced portfolio of customers. And so we really feel good about our Q1 performance. And the impact that, that's happening on our full year guidance. And of course, it relates to our Pharma Distribution business you asked about, but also good volumes and good performance in our Global Commercialization Services and Animal Health business, which had 10% revenue growth in the quarter end. So that positively impacts our fiscal year guidance also, Bob."
24809,650357944,1896360,"AmerisourceBergen Corporation, Q1 2020 Earnings Call, Jan 30, 2020",2020-01-30,"Earnings Calls","Cencora, Inc.","Operator","The next question will come from Eric Percher of Nephron Research.",11,"The next question will come from Eric Percher of Nephron Research."
24809,650357944,1896360,"AmerisourceBergen Corporation, Q1 2020 Earnings Call, Jan 30, 2020",2020-01-30,"Earnings Calls","Cencora, Inc.","Analysts","Continuing with PharMEDium. I know over the last 2 years, it's been pretty clear that hospitals don't particularly want to be in this business. And at one point, this was an effort to expand the hospital relationship. As you shutter it, do you see any imp",81,"Continuing with PharMEDium. I know over the last 2 years, it's been pretty clear that hospitals don't particularly want to be in this business. And at one point, this was an effort to expand the hospital relationship. As you shutter it, do you see any impact on the other business that you have focused on the hospital and particularly with respect to the specialty business, how do you help ensure that those relationships don't [ sour ] the impact in specialty?"
