"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
159264,664325740,1975504,"Otis Worldwide Corporation, Q1 2020 Earnings Call, May 07, 2020",2020-05-07,"Earnings Calls","Otis Worldwide Corporation","Operator","Good morning, and welcome to Otis' First Quarter 2020 Earnings Conference Call. This call is being carried live on the Internet and recorded for replay. Presentation materials are available for download from Otis website at www.otis.com. I'll now turn t",52,"Good morning, and welcome to Otis' First Quarter 2020 Earnings Conference Call. This call is being carried live on the Internet and recorded for replay. Presentation materials are available for download from Otis website at www.otis.com. 
I'll now turn the call over to Stacy Laszewski, Vice President of FP&A and Investor Relations."
159264,664325740,1975504,"Otis Worldwide Corporation, Q1 2020 Earnings Call, May 07, 2020",2020-05-07,"Earnings Calls","Otis Worldwide Corporation","Executives","Thank you, Angela, and good morning to everyone. Welcome to Otis' First Quarter 2020 Earnings Call. On the call with me today are Judy Marks, President and Chief Executive Officer; and Rahul Ghai, Executive Vice President and Chief Financial Officer. Pl",158,"Thank you, Angela, and good morning to everyone. Welcome to Otis' First Quarter 2020 Earnings Call. On the call with me today are Judy Marks, President and Chief Executive Officer; and Rahul Ghai, Executive Vice President and Chief Financial Officer. 
Please note, except for otherwise noted, the company will speak to results from continuing operations, excluding restructuring and other significant items. The company will also refer to adjusted results where adjustments were made as Otis was a stand-alone company in the current period and prior year. A reconciliation of these measures can be found in the appendix of the webcast. 
We also remind listeners that the presentation contains forward-looking statements, which are subject to risks and uncertainties. Otis' SEC filings, including its registration statements on Form 10 and Form S3 and its Form 10-Q, provide details on important factors that could cause actual results to differ materially. 
With that, I'd like to turn the call over to Judy."
159264,664325740,1975504,"Otis Worldwide Corporation, Q1 2020 Earnings Call, May 07, 2020",2020-05-07,"Earnings Calls","Otis Worldwide Corporation","Executives","Thank you, Stacy, and good morning, everyone. We hope that everyone listening across all of our stakeholders is safe and well. We're glad that you could join us today on Otis' first earnings call post-spin, another important milestone for us in this new e",1370,"Thank you, Stacy, and good morning, everyone. We hope that everyone listening across all of our stakeholders is safe and well. We're glad that you could join us today on Otis' first earnings call post-spin, another important milestone for us in this new era as an independent company. 
Before I discuss our first quarter results and Otis' outlook, let me share some insights into our people, our business, our management through this crisis, and more importantly, our commitment to our long-term strategy and values. 
Employee health and safety, the core value, is first and paramount to us. I am proud of our 69,000 colleagues who are supporting our customers and the riding public during these unprecedented times. Elevator maintenance and repair was deemed an essential service in most countries and cities. And we continue to service the largest global maintenance portfolio, including elevators and hospitals, critical infrastructure and residential buildings, and we're doing this while prioritizing and paying utmost attention to ensure the health and safety of our workforce around the world, allowing many employees to work from home and providing the proper PPE and guidelines for safe and hygienic working conditions for our colleagues in the field and our manufacturing operations. 
Early in Q1, we made critical decisions to ensure business continuity, and this helped us navigate the COVID-19 impacts, first in China and many countries throughout the world. Today, all 14 of our principal factories are open. Our supply chain team has done an excellent job locally and globally in minimizing disruptions to our factories and our field sites while meeting customer demands. Our decision to air ship critical parts early during this outbreak has enabled us to protect the supply chain, and we're confident that Otis factories around the world are ready to manufacture at full capacity as soon as job site demand resumes and businesses start to return to normal. During this time, we've extended support to our vendors where necessary, providing advances to limit supply disruptions. 
Let's discuss the new equipment segment by region. China has seen substantial recovery within the quarter. At this point, China factories have returned to full capacity, and access to China new equipment job sites is returning at varying case by city to pre-COVID levels. In Asia Pacific, we're installing new equipment in several areas, including Japan, Korea and Hong Kong. While the currently harvested areas are India and certain countries in Southeast Asia, where our access to job sites is limited and there are labor shortages due to government-imposed measures. North America and EMEA continue to experience job site closures in certain areas and cities that are preventing the installation of new equipment, and we are monitoring the situation closely as job sites reopen. 
Moving to service. As I mentioned earlier, elevator maintenance and repair was deemed essential in most areas, allowing Otis' service professionals to provide critical maintenance for our customers. Maintenance and repair made up 80% of Otis' services sales in 2019, and our maintenance business remains resilient while we are experiencing some pressure on our repair business, where buildings are shut down. Our field professionals continue to support round the clock service at hospitals across the globe. In North America and EMEA, we have seen a greater need to support a few limited customers within the harvested verticals and with delayed payment terms and concessions during building closures. We will continue to strengthen our long-term customer relationships. 
Modernization, the other 20% of our service business, is expected to see impacts from COVID-19 as discretionary projects are put on hold, especially in North America and Europe. However, some code-driven and technologically required modernizations are driving activity in Asia Pacific and other regions. 
Across our business, we have responded with cost containment actions to address the evolving situation and associated sales declines. Our China team was focused on immediate actions, which did minimize the first quarter financial impact. Cost containment actions already underway include a global hiring freeze, reduction in travel and other discretionary costs, merit and salary deferrals, reducing executive pay and furloughs in certain locations. These are difficult but necessary actions, and our team continues to assess and adjust to address the evolving situation. 
This crisis has also shown us that our Otis absolutes, safety, ethics and quality, drive our commitment to each other, our customers, our passengers, our investors and to the communities where we live and work. In multiple countries across the world, we use 3D printing technology to manufacture face shields for use by our teams and by frontline workers and hospitals. 
In Wuhan, beyond providing uninterrupted elevator maintenance, we donated elevator cab air purifiers to several hospitals. And lastly, we pledged to match employee contributions to COVID-19 relief funds, and our colleagues continue to volunteer local communities in many ways. 
As the world reopens, we will continue to innovate and lead our industry. We're leveraging technology to allow smartphones to interact with elevators for remote floor selection, and providing disinfectants and fans to assist in a cleaner environment in services for elevators and escalators. We're working closely with many customers who requested elevator adaptations as their buildings reopen and people return to work locations, and we will do all of this while investing for the long term. 
Now let me turn to our first quarter results on Slide 4. As you've seen from our earnings release yesterday, the first quarter was a solid start for Otis in spite of the initial COVID-19 outbreak in China and the subsequent global spread. On April 3, we successfully separated from United Technologies, returning to our roots as an independent company while exemplifying various elements of Otis' culture, our innovation, empowerment and collaboration. Over 200 IT systems were replicated, more than 600 procurement and IT contracts we signed and almost 500 processes cut over. We created several new departments, including tax, treasury and investor relations and executed nearly 50 facility moves in 18 countries. I'd be remiss if I didn't once again thank our team for this historic undertaking, rising to the occasion and setting us off on the right foot as an independent Otis. 
In terms of liquidity, we had approximately $1.4 billion of cash at the time of separation and have an undrawn $1.5 billion revolver, which serves as a backstop to our commercial paper program. During the first quarter, we placed over $6 billion of debt at favorable rates. That led to a $30 million reduction in interest expense from our initial expectations. We announced a Q2 dividend yesterday of $0.20 per share and plan to return $260 million to shareholders through dividends in the balance of the year. 
Q1 results continued the strong operational momentum that you saw during 2019. New equipment orders increased 5.6% at constant currency, excluding China, with double-digit growth in the Americas and mid single-digit growth in EMEA. Organic sales declined slightly, excluding China, where top line growth was significantly impacted by the COVID-19 outbreak. Adjusted operating profit increased $17 million, and we achieved margin expansion in both the new equipment and service segments with 120 basis points of margin expansion overall. Free cash flow conversion was 73%, including the impact of spin-related tax prepayments. 
I'm pleased with the strong first quarter results despite the impact from COVID-19. However, we are not immune from the broader economic impact as this pandemic spreads across the globe. With this in mind, we are updating our 2020 outlook. We now expect organic sales to be down 3% to 7%, reflecting recovery beginning in early Q3 at the high end and a delayed second half recovery at the low end. Adjusted operating profit is expected to decline $25 million to $175 million at constant currency, reflecting volume declines, partially offset by cost containment actions I previously described. We expect adjusted net income to be in the range of $840 million to $940 million. This net income outlook reflects the reduction in interest expense and a 1 point adjusted tax rate improvement from our expectations in February. And lastly, we expect free cash flow conversion to remain strong between 110% and 120% of net income. 
With that, I'll turn it over to Rahul to walk through our results and outlook in more detail."
159264,664325740,1975504,"Otis Worldwide Corporation, Q1 2020 Earnings Call, May 07, 2020",2020-05-07,"Earnings Calls","Otis Worldwide Corporation","Executives","Thank you, Judy. Good morning, everyone. Starting with Q1 results on Slide 5. Net sales were $3 billion, down 4.4%, with slightly less than half of the decline coming from organic sales and the vast from the impact of foreign exchange and net divestitures",1738,"Thank you, Judy. Good morning, everyone. Starting with Q1 results on Slide 5. Net sales were $3 billion, down 4.4%, with slightly less than half of the decline coming from organic sales and the vast from the impact of foreign exchange and net divestitures in 2019. Strong organic sales growth of 3.3% in the service segment was more than offset by a 9.8% decline in new equipment due in part to COVID-19. Adjusted operating profit was up approximately 4% or $17 million and up $27 million at constant currency. Operating profit growth at constant currency was driven by approximately $45 million of operational improvement from higher service volume, strong material and service productivity, lower SG&A and transactional foreign exchange favorability. This was partially offset by the impact of COVID-19 that reduced operating profit by an estimated $17 million due to lower volume and under absorption of costs. 
Adjusted operating profit margin expanded 120 basis points to 15.2%, with margin expansion in both new equipment and service segments. R&D as a percentage of sales was flat versus prior year, and adjusted SG&A expense improved by about $30 million in the quarter. Adjusted EPS was down $0.02 as a $0.04 improvement from operating profit and lower net interest cost was more than offset by $0.06 of headwind from tax due to an unfavorable year-over-year compare in the quarter and higher noncontrolling interest costs. 
Moving to Slide 6. New equipment orders grew 5.6% at constant currency, excluding China, and were flat overall for Otis. New equipment orders grew double digits in the Americas, mid-single digits in Europe and the Middle East and declined low teens in Asia, including China. This strong order growth was delivered in a global market that was down mid-single digits, excluding China, and down mid-teens globally as the China market declined an estimated 20% in Q1. New equipment share continued to grow and was up an estimated 25 basis points in the quarter. While the overall bookings were down in Asia, we continued to see progress in the infrastructure segment and received several key orders, including for the Chongqing and nonKong metro projects in China. As we discussed on Investor Day, this is one of our key target segments, and our infrastructure bookings grew high teens in a segment that was down low double digits. 
We also saw pricing stability in most parts of the world, with 80 basis points of booked margin expansion. Booked margin expanded in EMEA and China and was offset slightly by the pressure in Asia outside of China. America's booked margin was flat. Backlog was up 3% at constant currency in the quarter with growth in Americas and EMEA, offset by a low single-digit decline in China. Organic sales were down 9.8% with double-digit declines in Asia, including China, primarily from the impact of COVID-19. Sales in Americas declined 9%, reflecting a tough compare and the impact of lower order intake in Q1 of 2019. Sales in Europe were up low single digits, but this was more than offset by weak results in Middle East due to market softness. Overall, new equipment sales in EMEA were down 3%. 
New equipment adjusted operating profit margin expanded 80 basis points, a strong material productivity and a small benefit from lower commodity prices was more than offset the impact of volume decline. Material productivity in the quarter exceeded our long-term target of 3%, reflecting the benefit of the actions that we are taking. 
Service segment results on Slide 7 remains strong in the first quarter. Modernization orders grew 2.5%, with high-teens growth in Asia, outside of China and Europe, primarily offset by a high single-digit decline in the Americas. Our maintenance portfolio grew by 1%. Organic sales increased 3.3% with modernization sales up 6.8% and maintenance and repair sales up 2.5%. Adjusted operating profit margin expanded 20 basis points, and profit grew by $14 million at constant currency as strong productivity, favorability in price and mix and lower SG&A expense was partially offset by higher labor costs. Service contribution expanded for the seventh straight quarter with growth in all major regions. 
As we close out the first quarter, our operational agenda remains on track, and we are pleased with the progress on key initiatives, driving share gain in new equipment, making continuous progress on service contributions, material cost productivity and containing SG&A costs. However, as the economic activity slows globally from the spread of COVID-19, we are seeing the impact on our business activity in the second quarter, which is highlighted on Slide 8 with the new equipment orders and factory shipments, both down in April outside of China after a relatively strong start in the first couple of months of the year. 
We are also seeing a reduction in service sales in April due to the challenges created by closure of buildings impacting our modernization and repair business. While China activity is recovering, it is clear that the business in China will not be immune to the global slowdown. And as we look at the balance of the year, we need to adjust our revenue and earnings growth expectation that we had communicated in February while taking incremental cost actions to offset the impact to earnings from sales shortfall. 
Let me start with sales on Slide 9. We now expect overall organic sales to be down 3% to 7% for the year with a 5% to 10% decline in new equipment and a low to mid single-digit decline in service. The low end or a 10% decline in new equipment reflects continuation of the first half trends into second half, while the high end or a 5% decline reflects a recovery in the second half of 2020 to 2019 levels. We do expect continued stability in our contractual maintenance business. However, the range of service sales outlook reflects varying degrees of delay and push out discretionary repair and modernization projects to continue in the back half of the year, depending on the overall macroeconomic environment and the occupancy level of buildings. 
Adjusted operating profit is expected to be down between $25 million and $175 million at constant currency and between $85 million and $235 million at actual currency. At the midpoint, this reflects nearly $300 million of cost containment actions that Judy alluded to earlier. Most of these actions are already announced and are waiting stages of implementation. At the midpoint of our sales outlook, we would expect operating margins to be relatively flat. 
Adjusted net income is expected to be in the range of $840 million to $940 million driven by reduced operating profit, partially offset by lower tax rate and noncontrolling interest costs. We are reducing our tax rate guidance for 2020 to approximately 32% from 33% at Investor Day and are working on additional projects to continue to reduce the rate over time. Free cash flow will remain strong between 110% and 120% of net income as reduction in profit and higher restructuring costs will be partially offset by reduced capital expenditures. 
Taking a further look at our organic growth assumptions on Slide 10. In the new equipment segment, Americas is expected to be down mid-single digits to 10%, reflecting the sharp decline we are seeing in Q2 with job site closures. The high end or a 5% decline contemplates work resuming in Q3 and growth in the back half of the year. In EMEA, the significant delays and limited access to job sites in South Europe, the U.K., Basel, Russia and the Middle East. The EMEA new equipment business has continued -- is expected to be down high single digits to 10% with the high end of the range, reflecting job sites reopening in pre-COVID levels in Q3 in North Europe and a gradual recovery in South Europe and the Middle East. In China, the new equipment business is recovering in Q2. And in rest of Asia, activity in Japan and South Korea has held up relatively well. But we continue to face challenges in India and Southeast Asia from government-imposed lockdown on measures. We expect the Asia new equipment business to be down mid- to high single digits depending on the pace of recovery in India and Southeast Asia and the extent of impact of the Japanese and South Korean economies from the pandemic. 
In the service segment, our contractual  maintenance business has been resilient, and we anticipate this business to continue to be stable. However, there have been delays on discretionary repair and modernization projects as these projects push into 2021. We and we now expect modernization sales to be down mid- to high single digits and maintenance of repair to be down low single digits for the year. Overall, the high end of the 3% to 7% organic sales decline reflects an early Q3 recovery globally, and the low end assumes first half conditions to continue into the second half of the year. 
Switching to profit outlook on Slide 11. At constant currency, adjusted operating profit is expected to be down between $25 million and $175 million year-over-year, reflecting the impact of reduced volume from the COVID-19 pandemic incremental under absorption of costs, higher bad debt expense due to deteriorating credit outlook and an impact to pricing, especially at the higher end of the sales decline. This will be partially offset by the cost actions we have taken and will take in the balance of the year. Foreign exchange is now expected to be a headwind of $60 million for the year versus the $20 million that we were expecting in February due to the strength of the U.S. dollar. 
Moving to 2020 capital deployment on Slide 12. As spin, our net debt-to-EBITDA was about 2.4x with $1.4 billion in cash. During 2020, we expect to generate between $925 million to $1.025 billion of cash and plan to pay down $250 million of debt and returned $260 million to shareholders through dividends between Q2 and Q4 at about 40% of adjusted net income. Approximately $200 million will be spent between noncontrolling interest and M&A. We believe these capital deployment plans are prudent during these uncertain times as they allow us to increase the cash on the balance sheet by the end of the year and are consistent with what we announced in February, reflecting our confidence in the cash flow generation capacity of this business. 
With that, I'll turn it over to Judy for some closing remarks."
159264,664325740,1975504,"Otis Worldwide Corporation, Q1 2020 Earnings Call, May 07, 2020",2020-05-07,"Earnings Calls","Otis Worldwide Corporation","Executives","Thanks, Rahul. A great start to the year. And while the pace of recovery is not known yet, Q1 results illustrate that we are on track to support our investment thesis and long-term strategy. We're confident that Otis will endure and succeed despite today'",227,"Thanks, Rahul. A great start to the year. And while the pace of recovery is not known yet, Q1 results illustrate that we are on track to support our investment thesis and long-term strategy. We're confident that Otis will endure and succeed despite today's current challenges. And I want to close by reminding you of the strong fundamentals behind this fantastic business. This is truly an iconic brand in this large industry where we have been the leader. Over the medium term, we expect sustainable growth and global share gain and new equipment to continue to expand on our leading 2 million unit service portfolio, the heart of our recurring business model, where we'll continue to focus on margin expansion through productivity. And in these difficult times, we're going to continue to invest for growth, maintaining a sustainable level of R&D and capital expenditures to ensure that when we all return to our normal lives, we are still at the forefront of technology, driving digital innovations, providing new solutions for our customers and empowering our field professionals with tools to make them more effective. You have our commitment that we use our robust cash generation in excess of 100% of net income to create shareholder value, and you saw that with our dividend announcement yesterday. 
With that, I'd like Angela to open up the line for questions."
159264,664325740,1975504,"Otis Worldwide Corporation, Q1 2020 Earnings Call, May 07, 2020",2020-05-07,"Earnings Calls","Otis Worldwide Corporation","Operator","[Operator Instructions] Our first question is from the line of Jeff Sprague with Vertical Research.",15,"[Operator Instructions] Our first question is from the line of Jeff Sprague with Vertical Research."
159264,664325740,1975504,"Otis Worldwide Corporation, Q1 2020 Earnings Call, May 07, 2020",2020-05-07,"Earnings Calls","Otis Worldwide Corporation","Analysts","Congrats on a great start out of the gate. A couple from me, if I could, please. First, Judy, could you comment a little bit more on what you're seeing on pricing? And the potential pressure on bad debts? And is the pricing comment, essentially a new equi",59,"Congrats on a great start out of the gate. A couple from me, if I could, please. First, Judy, could you comment a little bit more on what you're seeing on pricing? And the potential pressure on bad debts? And is the pricing comment, essentially a new equipment issue? Or are you seeing that across the service business also?"
159264,664325740,1975504,"Otis Worldwide Corporation, Q1 2020 Earnings Call, May 07, 2020",2020-05-07,"Earnings Calls","Otis Worldwide Corporation","Executives","All right, Jeff. So pricing, actually, we had a good start to the year. I mean, as I mentioned in my prepared remarks, the new groupment -- the booked margin actually expanded. We saw that, and it was pretty strong across the globe with small -- slight pr",461,"All right, Jeff. So pricing, actually, we had a good start to the year. I mean, as I mentioned in my prepared remarks, the new groupment -- the booked margin actually expanded. We saw that, and it was pretty strong across the globe with small -- slight pressure in Asia. But outside of that, it was fairly good. So really, really good starts to the year. 
In America, where we saw some pricing last year, the pricing was stable this year. Europe, we saw good pricing. And same thing even in China, where the markets were down. We were -- our book margins actually went up a little bit. So good start to the year on the new equipment side. 
And same thing on service pricing as well. And the service pricing held up really well in Q1, and we gained a little bit of price in Q1, and we implemented our regularly scheduled price increases that we had planned. 
Having said that, I mean the situation in Q2 is different, and we're working with our customers in the hardest sectors in hospitality, in retail, et cetera, that Judy mentioned a little bit in her prepared comments. These sectors make up about less than 10% of our service installed base. And -- but these are temporary concessions, and therefore, a very specific period of time, and we do not expect any long-term impact from these. 
Also, most customers do understand that we do have fixed costs like our Otis call center, and we need to maintain and address service issues and even when the buildings are only partially occupied. So that is why the concession requests have been very limited, and we address each one of them individually. 
But as we gave guidance, we obviously factored in that these concession requests might increase. Again, as I said, they have not seen a lot of these. There have been a few and which we've addressed them at one at a time. But in our guidance, we assumed some impact and especially at the higher end of the range. And same on our new equipment, we've assumed that there is a little bit of pricing pressure in the back end of the year, especially on the new orders. Now most of that will not impact this year. But on the service pricing, the concessions that we are talking about will come through our results this year. So that's what we've kind of kind of guided to. 
Same thing on the bad debt. The results were okay in Q1. There's not a lot of incremental P&L expense. We did take not a lot of incremental P&L expense in Q1, but we have factored some in our outlook at the back end of the year."
159264,664325740,1975504,"Otis Worldwide Corporation, Q1 2020 Earnings Call, May 07, 2020",2020-05-07,"Earnings Calls","Otis Worldwide Corporation","Executives","Yes, Jeff, this is Judy. The long-term relationships we have with these customers are -- that were there for them when times are challenging as well. And as Rahul said, the hospitality retail segment is just under 10% for us. I really was pleased China pr",113,"Yes, Jeff, this is Judy. The long-term relationships we have with these customers are -- that were there for them when times are challenging as well. And as Rahul said, the hospitality retail segment is just under 10% for us. I really was pleased China price/mix up for the seventh straight quarter. So new equipment, again, although it was up -- book margin was up everywhere. China, again, delivering, especially in a COVID quarter. And then on our service pricing, our revenue per unit was up as well for another quarter. So those indications, again, strong performance in Q1, and we're going to continue to watch price in Q2 -- Q2 through 4."
159264,664325740,1975504,"Otis Worldwide Corporation, Q1 2020 Earnings Call, May 07, 2020",2020-05-07,"Earnings Calls","Otis Worldwide Corporation","Analysts","Great. And maybe just an unrelated second question, just on tax. With a little bit more time under your belt, do you have a kind of better idea of what the -- maybe the 2- or 3-year trajectory of the tax rate might be?",44,"Great. And maybe just an unrelated second question, just on tax. With a little bit more time under your belt, do you have a kind of better idea of what the -- maybe the 2- or 3-year trajectory of the tax rate might be?"
