"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
296568,656077142,1950023,"PVH Corp., Q4 2020 Earnings Call, Apr 02, 2020",2020-04-02,"Earnings Calls","PVH Corp.","Operator","Good day, ladies and gentlemen. Welcome to the PVH Fourth Quarter 2019 Earnings Call. Today's call is being recorded. The safe harbor statement will be read today by Dana Perlman.",30,"Good day, ladies and gentlemen. Welcome to the PVH Fourth Quarter 2019 Earnings Call. Today's call is being recorded. The safe harbor statement will be read today by Dana Perlman."
296568,656077142,1950023,"PVH Corp., Q4 2020 Earnings Call, Apr 02, 2020",2020-04-02,"Earnings Calls","PVH Corp.","Executives","Thank you, operator. Good morning, everyone, and welcome to the PVH Corp. Fourth Quarter and Full Year 2019 Earnings Conference Call. This webcast and conference call is being recorded on behalf of PVH and consists of copyrighted material. It may not be r",336,"Thank you, operator. Good morning, everyone, and welcome to the PVH Corp. Fourth Quarter and Full Year 2019 Earnings Conference Call. This webcast and conference call is being recorded on behalf of PVH and consists of copyrighted material. It may not be recorded, rebroadcast or otherwise transmitted without PVH's written permission. Your participation in the question-and-answer session constitutes your consent to having anything you say appear on any transcript or replay of this call. 
The information being made available includes forward-looking statements that reflect PVH's view as of April 1, 2020, of future events and financial performance. These statements are subject to risks and uncertainties indicated in the company's SEC filings and the safe harbor statement included in the press release that is the subject of this call. These risks and uncertainties include PVH's right to change its strategies, objectives, expectations and intentions and its need to use significant cash flow to service its debt obligations. 
Significantly, at this time, the COVID-19 outbreak is having a significant impact on the company's business, financial condition, cash flow and results of operations. There is significant uncertainty about the duration and extent of the impact of the virus. The dynamic nature of these circumstances means what is said on this call could change materially at any time. Therefore, the operation of the company's business and its future results of operations could differ materially from historical practices and results or current descriptions, estimates and suggestions. 
PVH does not undertake any obligation to update publicly any forward-looking statement, including without limitation any estimates or suggestions regarding revenue or earnings. Generally, the financial information provided is on a non-GAAP basis as defined under SEC rules. Reconciliation to GAAP amounts are included in PVH's fourth quarter 2019 earnings release, which can be found on www.pvh.com and in the company's current report on Form 8-K furnished to the SEC in connection with this release. 
At this time, I am pleased to turn the conference over to Mr. Manny Chirico, Chairman and CEO of PVH."
296568,656077142,1950023,"PVH Corp., Q4 2020 Earnings Call, Apr 02, 2020",2020-04-02,"Earnings Calls","PVH Corp.","Executives","Thank you, and good morning, everyone. Joining me on the call is Stefan Larsson, our President; Mike Shaffer, our Chief Operating Officer and Chief Financial Officer; and Dana Perlman, Treasurer and Senior Vice President of Business Development and Invest",3251,"Thank you, and good morning, everyone. Joining me on the call is Stefan Larsson, our President; Mike Shaffer, our Chief Operating Officer and Chief Financial Officer; and Dana Perlman, Treasurer and Senior Vice President of Business Development and Investor Relations. 
We're all working from home today. So I want to thank everyone for joining us on our fourth quarter call. I must comment that it is indeed strange to be sitting in my living room for this call and not in my conference room, but I suppose that is the new normal. And I hope everyone is safe and healthy this morning. 
We were extremely pleased to how we ended the year. We had a strong holiday season, with increasing momentum across Tommy Hilfiger and Calvin Klein in the majority of the regions where we operate. We had a significant revenue beat of about $100 million and exceeded our earnings guidance on a non-GAAP basis despite the impact from the corona virus, which was not contemplated in our initial outlook. If you compare our fiscal year earnings per share results with our guidance of at least $9.45, we had a $0.31 beat out of earning -- out of our business outperformance from Calvin and Tommy and a $0.03 beat from lower interest and taxes. This was offset by a $0.25 hit for the corona inventory reserves that we booked that we recorded at the very end of the fourth quarter, which was not contemplated in our initial guidance. 
I believe the magnitude of our business outperformance, especially our sales outperformance, given the backdrop that we were dealing with in the fourth quarter, was truly impressive and speaks to the health of our brands and the momentum in the business that we saw in the fourth quarter. We were pleased to end the year with very clean inventories. Overall, our inventory position was down 7% year-over-year, which also was better than the guidance we talked about. 
Before I go into our financial results, I wanted to take a few moments to talk about the coronavirus, which I am sure is top of mind in everyone in the investment community. This is an unprecedented time, and it's a rapidly changing situation. And our hearts go out to all those impacted by the events that are unfolding. Our PVH people are demonstrating their passion and dedication to PVH, with most of our regions working remotely from home to continue to operate our business through this uncertain time. It has been inspiring to see our people rally together, and I truly believe that this demonstrates the power of PVH. 
The spread of the coronavirus is unfortunately having a major impact on our business, with temporary store closings felt across multiple continents, including store closures across Europe, the Americas and Australia. Our wholesale customers and licensees have been similarly impacted, which in turn negatively impacts PVH. Our digital sites and those of our key partners continue to service consumers, and we are seeing significant growth there. Depending on the market, we are seeing anywhere from 20% to over 50% growth online versus last year, which we are balancing with the health and safety of our workers in the distribution center, making sure goods get to consumers. As a reminder, our digital business in 2019 was up approximately 20% globally and now represents about 12% of our total revenues versus 10% in 2018. 
In China, we are seeing some encouraging early signs of recovery. All of our stores have reopened, but stores are operating with shorter hours, and approximately 95% of our franchisee stores are also open. We are seeing some rebound in sales with improvement week over week. And for the month of March, total business was down only about 35%, but digital sales are comping up closer to plus 40%. We know it clearly will take some time to return to normality and hope that our other regions will follow a similar path to normal business once the pandemic has passed. 
Before I go into our business review and forward-looking comments, I want to touch on a few topics given the current climate. The health of our balance sheet remains our core strength. We recently drew down about $750 million from our revolver, which gives us over $1.2 billion in cash and available borrowings. We ended the fourth quarter with a gross leverage ratio of 2.2x and a net leverage ratio of 1.9x. Cash preservation is a critical focus of area of us now. We suspended our stock repurchasing program and also suspended our cash dividend beginning in the first quarter of 2020. 
Cost-cutting measures have been implemented. We have taken a hard look at expenses and are reducing or canceling discretionary spending and variable expenses in many areas to navigate successfully and take the pressure off the business. This includes our marketing expenditures, although we continue to invest in our digital businesses as this is a critical channel for us to maintain our connection with our consumers and to transact globally with our consumers. As of now, store associates in the U.S., Canada and Europe continue to be paid through this week and next, and we are evaluating aiding any and all payroll opportunities and salary reductions, including looking at what different governments are offering as relief packages in each region. 
We took a hard look at capital expenditures and now expect to spend around $190 million in CapEx for 2020, about a 45% reduction from 2019, as we have canceled or delayed capital projects that are not business-critical at this time. On the supply side, our supply chain is one of our key competitive advantages, and we have strong relationships with long-term partners. That when we've been able to reduce our inventory commitments for the fall season, and we are redeploying some inventories, particularly core and core fashion from summer to fall; and consolidating some seasons, particularly holiday and spring, which will give us more time to make better decisions about making inventory commitments. 
As we operate in so many countries around the world, we have a task force headed up by Stefan Larsson, our President, reviewing all options, including government relief and support and different inventory programs that we would utilize in each region. We will take advantage of any government support that's available to us as it is appropriate. 
Lastly, as a reminder, in January, we announced our transaction to sell our Speedo business to Pentland, which is expected to close in April or this coming month for our business. And we will take advantage of that support of about $170 million that will come in as cash sometime in April. 
Before I go into our financial review, I just want to take a moment and reiterate my confidence in PVH and the strengths that we have that will enable us to navigate this crisis. Our brands are iconic with incredibly strong brand health across the board. We have great consumer brand loyalty, and we are taking this opportunity to deepen our connection with the consumers even further as we leverage our always-on digital approach. The diversification of our business is a true advantage, both from a regional and a brand point of view. And we have significant category and regional opportunities to further extend our brands after the pandemic subsides. While the near term is uncertain, I do believe that PVH will emerge from this even stronger given the strength of our brand, our people and our strong competitive balance sheet. 
Moving on to the business. We are pleased with the fourth quarter results, especially in light of the challenging and volatile global backdrop. Our revenues rose 6% on a constant currency basis, which significantly exceeded our previous guidance and exceeded it by about $100 million. I think that clearly demonstrates the momentum that we saw in the business, particularly in the December holiday season and in the January period, right before the coronavirus hit. 
Outperformance was principally driven by our international businesses, which represented about $75 million of the $100 million beat. Europe, in particular, was strong, but also China. 
In North America, we saw an outperformance against our plans of about $25 million in sales, and that was driven principally by our retail businesses, which comped significantly ahead of our initial plans. Our brand health in the region -- all regions is very strong for both Tommy Hilfiger and Calvin Klein, and we feel we significantly outperformed our competition in the fourth quarter. Tommy continue to see an excellent response to its lifestyle offerings, which enabled us to continue to get -- gain share from regional and global competitors. Calvin Klein in Europe continued to see great trajectory of growth, and we remain confident in the long-term path to $2 billion in revenues, which would just about double our business from today, as we expanded both category offerings and capitalized on the consumer appetite for the brand. 
If we look to the current state of the business in Europe, obviously, the region today is quite challenged due to the coronavirus epidemic. Our stores remain temporarily closed as per government regulations and so are those of certain of our key wholesale partners. Before the COVID-19 outbreak, our strong order books were for both brands, plus 12% for spring; and for fall, were plus 12% for Tommy and over 20% increase for Calvin Klein. However, in light of the crisis, there will be some pressure from our partners, and we need to support them through this period and allow for some level of cancellations in order to move goods through and in order to get inventories back in line. We will continue to manage this situation in order to position our both Calvin Klein and Tommy Hilfiger for long-term growth in Europe. 
Moving to North America. We had a great holiday season relative to our plans. Our wholesale business has performed quite well for both Tommy and Calvin, particularly on digital channels where we continue to grow our penetration. We remain a key account for our wholesale partners. Our brands are traffic drivers. 
In our North America retail business in North America, Calvin Klein posted an 800 basis point acceleration in comp stores relative to the third quarter, which we were very pleased with. Comps overall for the quarter came in at plus 4%. However, we saw traffic in sales under pressure during the fourth quarter due to lower visits from international tourists, especially as we got closer to the Lunar New Year period in January. This had a particular impact on our Tommy Hilfiger retail business, which has about 40% of its sales coming from tourists and led us to take deeper discounts and markdowns. 
Currently, in North America, there are clearly store closures for both our own stores and those of our wholesale partners. These temporary closures are pressuring our business, and we expect that we will have to deal with some pressure from order cancellations as we move forward. We're working with all of our retail partners to manage that and to manage the inventory flow. 
Finally, for our results in Asia. I'd like to highlight that China showed a significant improvement in the fourth quarter relative to third quarter trends, with Tommy Hilfiger's fourth quarter comps up double digits and Calvin Klein fourth quarter comps flat. But in January, we saw significant increases, particularly in China. Obviously, this trend reversed with the coronavirus outbreak, where we saw a significant drop in business in the fourth week of January and then moving to February. 
As I mentioned earlier, the majority of our stores in Asia are now open and we have seen a resurgence in business, which I will go into in more detail. Let me begin with talking about Tommy Hilfiger first. Tommy Hilfiger continued to experience momentum during the fourth quarter. Brand health remains strong as we continue to deliver differential product assortments and engaging consumer experiences. We had exciting partnerships, including our sponsorship of the 2020 Hakam Ski races in Australia, where Tommy Hilfiger did a full brand takeover. This was in addition to our new Capsule collections, including a joint Captain collection with Lewis Hamilton and Grammy award-winning singer and songwriter Herd. 
From a business position, Tommy increased its revenue an impressive 12% in the quarter and 13% on a constant currency basis, which significantly exceeded our revenue guidance by about $75 million. However, earnings declined 13% during the quarter, while earnings on Tommy Hilfiger business were up year-over-year during the quarter. This was offset by several factors, most notably the continued gross margin pressure in North America retail business to clear goods as well as the negative impact of additional inventory reserves that were unexpected at the time of -- that we gave items in anticipation of lower sales caused by the coronavirus. 
By segment, our international business continued to show strength, with revenues up 22% on a constant currency basis; and overall comp stores up 10% with comp store increases, particularly in Europe and China, which exceeded our guidance. Tommy's European business continued to outperform as it experienced double-digit revenue growth with strength across all channels of distribution in all the markets and product categories. We believe that our market-leading position is driven by our excellent product, our compelling price-value proposition and strong brand power, which is allowing us to take share from regional and global competitors. 
Our Asia business posted revenue growth during the fourth quarter. China was very strong for us, with comps up double digit. We also experienced strong momentum in our Japan business and had the benefit of the addition of revenues from the acquisitions of our Australia and Central and Southern European Tommy businesses. 
In North America, revenues declined only 2%, and margins were down -- but margins were down sharply. We continued to see very favorable trends at wholesale as our brand outperformed competition throughout holiday. However, results of our business -- retail business, which were planned, were extremely challenged as we continue to take heavy markdowns to end the year clean with inventory. 
Our global licensing business continued to be very favorable for us, particularly with G-III on our women's business, that continues to be an excellent partner for us and continue to exceed all of our sales plans for the Tommy Hilfiger women's business. 
Despite the current pandemic, we continue to having incredible confidence in the long-term opportunities for the Tommy Hilfiger brand from category and regional expansion opportunities and the ability to optimize our distribution network globally. 
Let me move to Calvin Klein now. We continue to expand experience brand heat during the fourth quarter. We deepened our connections with consumers by delivering compelling product, engaging brand experiences, and we're providing a platform for self-expression for our consumers. Importantly, we made significant progress to reposition and refocus the brand with an enhanced product focus. We recently launched CK Everyone, a clean fragrance; alongside the new CK1 underwear and jeans collection, marking our first-ever cross-category marketing launch that spans both fragrance and fashion. This was a global launch for us for the brand. 
We also debuted the spring Calvin Klein jeans and Calvin Klein underwear campaign, featuring new spring offerings and starring Justin Bieber, Le Zang, among other key talent people. 
Moving to the business. Overall, revenues decreased 2% or 1% on a constant currency basis. If you remove the jeans business, which was transferred to our G-III partner, business was up overall 1%, which beat our guidance by approximately $25 million. The only softness in business that we saw was in Asia in Hong Kong during the fourth quarter driven by the protest that continued, which had a major impact on that market's position -- sales position overall. By region, Calvin Klein international revenues increased 8% on a constant currency basis with comp stores increasing overall by 1%. And if you remove the Hong Kong business from that comp store number, comp stores increased ex Hong Kong by 5%. 
We continue to see excellent momentum in our European and our China business. Consumers responded well to our offerings for holiday, and performance was broad-based across our channels, markets and product categories. In Asia, we were pleased to see notable acceleration in China during the quarter. Our trends were quite favorable before the coronavirus escalated. 
Barring that, we made progress relating to our products and consumer engagement. And I think you can see that in the momentum we saw in sales, particularly in December and January, as we started to deliver new spring product. Our digital businesses continued to see excellent growth as the consumer is increasingly shopping online, and we added more online activation to drive overall engagement. Overall, we were very pleased with Asia's performance outside of Hong Kong, which continued to be impacted by the protest in the fourth quarter. 
In North America, revenues declined 11% largely driven by our decision to license the jeans business to G-III. Wholesale was a positive story for us, particularly our performance in the digital channels. Our retail business posted a sequential acceleration, with comps up 4% in the fourth quarter. We were quite pleased with these results, which were achieved in conjunction with an improvement in far fewer and less promotional lockdowns than last year. 
As we look past the current global backdrop, we continue to see strong long-term growth opportunities for the Calvin Klein brand, most notably our expansion in Europe, which we believe is at least $1 billion sales opportunity for us, driving both our -- driven both through all channels of distribution as we move forward. We continue to leverage our growth in the digital opportunities and leveraging our growth opportunities across Asia. 
Finally, moving to our Heritage business. We continue to feel pressure due to the challenging North America retail environment in our Heritage brands that really impact moderate price points sit as our Heritage businesses. Revenues for the business declined 1%, with flat comps in our own retail stores. Operating margins remained under pressure as planned as gross margin expansion in the business was offset by expense deleverage on the expense side. We will continue to look for additional ways to optimize and streamline the Heritage business in the future to generate enhanced returns. And we remain on track, as I mentioned before, with the sale of our Speedo business, which should occur in April. 
Before I pass things over to Mike, I want to highlight that PVH's 140-year history is marked by a strong resiliency. We have overcome countless challenges, including the Great Depression, 2 World Wars and the Great Recession in 2008. As we move forward, we have tremendous opportunities across PVH's business model to capture long-term sustainable profit growth, from driving meaningful engagements with our consumers to continuous improvement product at Calvin Klein for capturing the global distribution opportunities for both Calvin Klein and Tommy Hilfiger. And we continue to look for ways to optimize our business model, whether through the supply chain or through efficiencies across the business. 
I believe that our core strengths, our talented people, our iconic brands and our strong financial fundamentals and our balance sheet -- our conservative balance sheet will continue to serve as a key competitive advantages for us as we -- and will allow us to come out of this crisis stronger than we came in. 
And with that, I'd like to turn it over to Mike to talk about the financial results in more detail. Mike?"
296568,656077142,1950023,"PVH Corp., Q4 2020 Earnings Call, Apr 02, 2020",2020-04-02,"Earnings Calls","PVH Corp.","Executives","Thanks, Manny. The comments I'm about to make are based on non-GAAP results and are reconciled in our press release. I'm going to briefly touch on the fourth quarter of 2019 and then move on to 2020. Our reported revenues were up 5% and up 6% on a const",827,"Thanks, Manny. The comments I'm about to make are based on non-GAAP results and are reconciled in our press release. I'm going to briefly touch on the fourth quarter of 2019 and then move on to 2020. 
Our reported revenues were up 5% and up 6% on a constant currency basis, and revenues were much stronger than our previous guidance. Tommy Hilfiger revenues were very strong, up 12% as reported and 13% on a constant currency basis. And ForEx exceeded our previous guidance. Tommy Hilfiger International revenues increased 20% as reported and were up 22% on a constant currency basis. The Tommy Hilfiger International revenue increase was driven by continued outperformance in Europe and the revenue from our Australia and Tommy Hilfiger Central and Southeast Asia acquisitions. International comp store sales were up 10%. 
Tommy Hilfiger North America revenues declined 2%. Growth in the wholesale business was offset by North America comp sales down 6% primarily due to the lower traffic and spending in our stores in international tourist locations. 
Our Calvin Klein revenues were down 2% as reported and decreased 1% on a constant currency basis and were better than our previous guidance. Calvin Klein International revenues increased 6% as reported and were up 8% on a constant currency basis driven by continued growth in Europe and the revenue from our Australia acquisition, partially offset by softness in Asia due to the Hong Kong protests. 
Our international comp store sales were up 1%. Calvin Klein North America revenues decreased 11%. Our wholesale business revenues were negatively impacted compared to the prior year by the licensing of our women's jeans business to G-III. North America comp sales were up 4%. Heritage revenues were down 1% for the prior year and below our previous guidance. Our Heritage retail business comp store sales were relatively flat to the prior year. 
Our non-GAAP earnings per share was $1.88, which was $0.09 better than our previous guidance. The EPS beat versus previous guidance was driven by outperformance in our Tommy Hilfiger and Calvin Klein businesses for approximately $0.31 and favorable interest and taxes of $0.03. These beats were partially offset by additional inventory reserves we needed to approximately $0.25 because the onset of the virus occurred in Asia at the end of our fourth quarter. 
For the full year 2019, we ended the year with record revenue of $9.9 billion, an increase of 3% versus the prior year, and non-GAAP earnings per share of $9.54. 
Moving on to 2020. Our first quarter and full year 2020 results will be significantly negatively impacted by the COVID-19 pandemic. The duration and extent of the pandemic is highly uncertain, and our results could be impacted in ways we're not able to predict today. As a result, we are not in a position to issue guidance for the quarter of fiscal year 2020. We're monitoring the situation closely with regard to our associates, customers, business partners and supply chain. We feel we are well positioned to manage through these on certain times. We ended 2019 with cash of $503 million and with inventory levels down 7% compared to the prior year. 
We're taking a number of steps to preserve liquidity and financial flexibility. We feel very comfortable with our liquidity position as we've drawn down from our revolving credit facility in addition to suspending share repurchases under our stock repurchase program. Our mandatory long-term debt repayments in 2020 are only $14 million. This is in addition to suspending our cash dividend beginning with the second quarter of 2020. Our previously announced dividend was paid on March 31 and was not impacted by the suspension. We're reviewing every opportunity to eliminate discretionary spending. We are cutting capital expenditures to approximately $190 million from $345 million in the prior year, with capital expenditures only for minimum requirements in our retail stores and for projects currently in progress related to systems and warehouses. 
We are also reducing operating expenses, including reviewing payroll opportunities and reducing all nonpayroll expenses, including creative, marketing and travel. We're also tightly managing working capital. We are adjusting inventory levels by canceling and delaying orders. We're extending payment terms to both merchandise and non-merchandise vendor invoices or suspending the payment of rent temporarily and delaying or canceling planned new store openings. 
Also, as a reminder, our sale of Speedo North America business to Pentland plc, the parent company of Speedo brand, is expected to close in the first quarter of 2020 for $170 million cash, subject to a working capital adjustment. 
We will give guidance for future quarters and the year once there is more clarity on the impact and duration of the COVID-19 pandemic. As we work through 2020, our financial discipline will help us take advantage of the opportunities available to us to withstand current pressures on our business and emerge from the crisis well positioned to capture long-term sustainable profitable growth. 
And with that, operator, we'll open it up for questions."
296568,656077142,1950023,"PVH Corp., Q4 2020 Earnings Call, Apr 02, 2020",2020-04-02,"Earnings Calls","PVH Corp.","Operator","[Operator Instructions] We will take our first question today from Bob Drbul of Guggenheim Securities.",15,"[Operator Instructions] We will take our first question today from Bob Drbul of Guggenheim Securities."
296568,656077142,1950023,"PVH Corp., Q4 2020 Earnings Call, Apr 02, 2020",2020-04-02,"Earnings Calls","PVH Corp.","Analysts","I do have a couple of questions. I think the first question that I was hoping you guys could expand upon is generally, when you look at the channel globally, and you did talk about the need for some markdowns and cancellations, can you just talk through e",139,"I do have a couple of questions. I think the first question that I was hoping you guys could expand upon is generally, when you look at the channel globally, and you did talk about the need for some markdowns and cancellations, can you just talk through exactly where you see the biggest concerns on your inventories in the channel and what's coming over from Asia and your sourcing? And then the second question, I don't know, it's probably for Mike. Mike, can you just talk a little bit about the biggest buckets of expense opportunity as you think about where you could pull the levers, whether it is payroll, whether it is rent, even on the marketing side, just sort of how you're really approaching it? If you could expand upon those 2 questions, that would be great."
296568,656077142,1950023,"PVH Corp., Q4 2020 Earnings Call, Apr 02, 2020",2020-04-02,"Earnings Calls","PVH Corp.","Executives","Bobby, thanks for the question. Everybody just get it out of the way. I feel fine. You saw me on TV yesterday. I'm one of the fortunate ones. Whatever symptoms, they have been unbelievably mild. And I've been able to continue to work and operate and focus",670,"Bobby, thanks for the question. Everybody just get it out of the way. I feel fine. You saw me on TV yesterday. I'm one of the fortunate ones. Whatever symptoms, they have been unbelievably mild. And I've been able to continue to work and operate and focus on the business. 
From a -- look, spring/summer inventory is the biggest issue that everybody is dealing with, first. Goods are coming in, goods have been ordered. Prior to the pandemic and the crisis, as we ended the year with -- our inventory is down 7%. I could tell you, we were going in the channel, department stores across the board in North America, Asia and Europe. In our own stores, we were going into the year very clean and feeling really good with tremendous amount of momentum. I got to tell you, we were really feeling great in January before this all hit us and felt we were going to be starting the first quarter with a tremendous amount of momentum and the ability to continue to grow margins and add to our top line growth. 
Obviously, that all changed within a couple of week period of time. The biggest challenge we're facing is that we've lost -- we have to assume that stores are going to be closed at a minimum through April here in North America and Europe, our 2 biggest markets. And we've lost at least 6 and -- to 8 weeks of spring selling and spring selling in the heart of the season. So I mean you have to think of it that way. When you think about Easter, when you think about March, April, that's the heart of the season as you're going into it. That's your biggest areas of doing full-price selling as you go in. So that losing that's -- that anywhere from 6 to 8 to 10 weeks of sales is really where the pressure point is going to be. And what we're looking at and stepping is really taken on this with the regions. And our brands across the board is what we're really looking at that inventory, making some judgments about what we should promote and liquidate through our own stores or through some partner accounts to really go after it. 
The other piece that we're really looking hard at there is what should we repurpose and utilize to sell into the season and to sell through the season as we go forward. And we're looking at the ability to potentially pack and hold some really good merchandise that's in the warehouse that we'll use and maybe have to carry for a few months to bring it out as we go forward. So we're looking at all of those from a channel point of view as we think about inventory. 
When we think about inventory for fall, we've done a lot of things for ourselves. Stefan has worked with the teams with Daniel Grieder in Europe, with our Tom Chiu in Asia and Cheryl and Ken Duane here in the United States, to really look at the inventory pipeline and with our logistics teams to really look at how that pipeline would be worked, try to push out with our with our partners to push inventory commitments out at least an additional 4 to 5 weeks. So we'll have some more visibility. We've been able to have deep conversations with our retail partners about what makes sense to cancel and what really is necessary as we go forward. So we're trying to balance that as we look at it. 
I think it's -- the risk-reward today is to have less inventory and chase later, if we need more goods. The best story, if we're sitting here in the third quarter of this year, and I'm sitting with you telling we're low on inventory and we're chasing fall, that would be a real excellent problem to have as we go forward. 
Mike, are you going to take the second part of the question?"
296568,656077142,1950023,"PVH Corp., Q4 2020 Earnings Call, Apr 02, 2020",2020-04-02,"Earnings Calls","PVH Corp.","Executives","Sure. Bob, as it relates to expenses, sort of the big buckets, we're very focused on virtually any discretionary expense. So when you think about what that means for us, it's basically -- we're taking a hard look at payrolls. We're taking a hard look at s",147,"Sure. Bob, as it relates to expenses, sort of the big buckets, we're very focused on virtually any discretionary expense. So when you think about what that means for us, it's basically -- we're taking a hard look at payrolls. We're taking a hard look at salary reductions. We're taking a hard look at marketing, any expense that is actually discretionary. Obviously, travel is down to 0 now, and we're going to clamp down on in travel moving forward. And it will just be a matter of doing the right things in the short term to be in a position that when things do get better and we do open, we have the base ready to move, ready to staff up and ready to reopen with the appropriate tools at their availability. 
So we're making every discretionary cut we can at this point. Really, it's anything discretionary."
296568,656077142,1950023,"PVH Corp., Q4 2020 Earnings Call, Apr 02, 2020",2020-04-02,"Earnings Calls","PVH Corp.","Operator","We now move to Erinn Murphy of Piper Jaffray (sic) [ Piper Sandler ].",14,"We now move to Erinn Murphy of Piper Jaffray (sic) [ Piper Sandler ]."
296568,656077142,1950023,"PVH Corp., Q4 2020 Earnings Call, Apr 02, 2020",2020-04-02,"Earnings Calls","PVH Corp.","Analysts","I guess my first question is on digital. It sounds like it's relatively outperformed, particularly as you've shuttered the stores across the globe. Can you just talk a little bit more about what you're seeing there? And maybe using China as kind of a laun",88,"I guess my first question is on digital. It sounds like it's relatively outperformed, particularly as you've shuttered the stores across the globe. Can you just talk a little bit more about what you're seeing there? And maybe using China as kind of a launch point, just given we've seen a bit more recovery there. And then within that $190 million CapEx budget for the year, what are the biggest buckets there? And how is digital and data investment kind of prioritized within the CapEx budget this year?"
