"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
305520,653033698,1922198,"Public Storage, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Public Storage","Operator","Ladies and gentlemen, thank you for standing by, and welcome to the Public Storage Fourth Quarter and Full Year 2019 Earnings Call. [Operator Instructions] It is now my pleasure to turn the floor over to Ryan Burke, Vice President of Investor Relations.",46,"Ladies and gentlemen, thank you for standing by, and welcome to the Public Storage Fourth Quarter and Full Year 2019 Earnings Call. [Operator Instructions] 
It is now my pleasure to turn the floor over to Ryan Burke, Vice President of Investor Relations. Ryan, you may begin."
305520,653033698,1922198,"Public Storage, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Public Storage","Executives","Thank you, Maria. Good day, everyone. Thank you for joining us for our fourth quarter 2019 earnings call. I'm here with Joe Russell and Tom Boyle. Before we begin, we want to remind you that all statements other than statements of historical fact included",214,"Thank you, Maria. Good day, everyone. Thank you for joining us for our fourth quarter 2019 earnings call. I'm here with Joe Russell and Tom Boyle. Before we begin, we want to remind you that all statements other than statements of historical fact included on this call are forward-looking statements that are subject to a number of risks and uncertainties that could cause actual results to differ materially from those projected by the statements. These risks and other factors could adversely affect our business and future results that are described in yesterday's earnings release and in our reports filed with the SEC. 
All forward-looking statements speak only as of today, February 26, 2020. We assume no obligation to update or revise any of these statements, whether as a result of new information, future events or otherwise. A reconciliation to GAAP of the non-GAAP financial measures we provide on this call is included in our earnings release. You can find that press release, our SEC reports and an audio replay of this call on our website at publicstorage.com. We do ask that you initially limit yourself to 2 questions. Of course, if you have additional questions after those, please feel free to jump back in queue. 
With that, I'll turn the call over to Joe."
305520,653033698,1922198,"Public Storage, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Public Storage","Executives","Thank you, Ryan, and thank you for joining us. We had a good quarter where we reported our seventh consecutive quarter with same-store revenue growth between 1% and 2%. As we previously disclosed in an 8-K filed on February 14, we submitted a nonbinding p",90,"Thank you, Ryan, and thank you for joining us. We had a good quarter where we reported our seventh consecutive quarter with same-store revenue growth between 1% and 2%. As we previously disclosed in an 8-K filed on February 14, we submitted a nonbinding proposal to acquire 100% of the stapled securities of Australian-based National Storage REIT and its controlled entities were AUD 2.40 per share. Please refer to the 8-K, and we won't provide any updates on this call. 
Now I'd like the call to be open for questions."
305520,653033698,1922198,"Public Storage, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Public Storage","Operator","[Operator Instructions] Our first question comes from the line of Shirley Wu of Bank of America.",16,"[Operator Instructions] Our first question comes from the line of Shirley Wu of Bank of America."
305520,653033698,1922198,"Public Storage, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Public Storage","Analysts","So my first question is on the marketing spend. So it's up roughly 50% in '19. So I was curious as to what your thoughts are on the effectiveness of any incremental spend? And how you think that's going to trend in 2020?",43,"So my first question is on the marketing spend. So it's up roughly 50% in '19. So I was curious as to what your thoughts are on the effectiveness of any incremental spend? And how you think that's going to trend in 2020?"
305520,653033698,1922198,"Public Storage, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Public Storage","Executives","Sure. Shirley, it's Tom. I'll speak a little bit about our advertising spend in the quarter and then outlook as we head into 2020. So we've been communicating a pretty consistent strategy on advertising throughout 2019. We like what we've seen with the in",349,"Sure. Shirley, it's Tom. I'll speak a little bit about our advertising spend in the quarter and then outlook as we head into 2020. So we've been communicating a pretty consistent strategy on advertising throughout 2019. We like what we've seen with the increase in spend through 2019. And so as we've spent more money, we liked the demand response we received from customers. Advertising was up 40% in the fourth quarter. That rate of growth didn't moderate from the third quarter. And as we've discussed on our last call, we proactively pulled harder on the advertising lever in the third quarter during the busy season to attract more customers during that time period. Stepping back, we continue to have real advantages online. Our brand name is with our product in a top search term drives a meaningful portion of our move-ins, either direct to site or through unpaid channels. Roughly 2/3 of our move-ins come through unpaid channels. Those are our largest channels. 
In addition to that, about half of our paid move-ins come through brand search and brand advertising, which comes at a lower cost. So those gives us some advantages with which we are utilizing today online. 
We talk a lot about Google. Google is a primary portion of our advertising spend, and we really that tool, given it's dynamically managed and very local and granular, so we can set our bidding strategy similar to how we set our pricing on a very local level. But in addition to that, we do utilize social media and affiliates as all. So we spent a lot of time talking about Google, but it's a broader marketing plan. As we head into 2020, I would anticipate that if we continue to like incremental traffic that we're seeing from the advertising spend that we'll continue to spend, and so far, in 2020, we've continued to like what we've seen. So we continue to pull on that lever, along with rental rate changes and discounting to drive traffic to our stores and what is -- what remains a challenging operating environment."
305520,653033698,1922198,"Public Storage, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Public Storage","Analysts","Got it. That's helpful. So -- and then on the flip side, can you talk a little bit in terms of what you're seeing for your move-in rates in 4Q and so far into 1Q as well as street rates?",40,"Got it. That's helpful. So -- and then on the flip side, can you talk a little bit in terms of what you're seeing for your move-in rates in 4Q and so far into 1Q as well as street rates?"
305520,653033698,1922198,"Public Storage, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Public Storage","Executives","Sure. So as you know, Shirley, we don't really like to talk about street rates. We think that move-in rates are really more valuable. So move-in rates were 2.4% in the quarter, which is a little bit better than what we saw in the second and third quarters",131,"Sure. So as you know, Shirley, we don't really like to talk about street rates. We think that move-in rates are really more valuable. So move-in rates were 2.4% in the quarter, which is a little bit better than what we saw in the second and third quarters. But we did have lower move-in volumes. So move-in volumes were down 3.5% in the quarter compared to roughly flat in the second and third quarter. So while move-in volumes were down 3.5%, we continue to be benefited by lengthening stays in tenants and continued very good performance by existing tenants. And so move-out volumes were down 1.5% as well. So continued good trends there amongst the initial or existing tenants, but the initial acquisition of customers remains challenging in this operating environment."
305520,653033698,1922198,"Public Storage, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Public Storage","Operator","Our next question comes from the line of Jeremy Metz of BMO Capital Markets.",14,"Our next question comes from the line of Jeremy Metz of BMO Capital Markets."
305520,653033698,1922198,"Public Storage, Q4 2019 Earnings Call, Feb 26, 2020",2020-02-26,"Earnings Calls","Public Storage","Analysts","Joe, I want to go back to NSR. I understand you can't comment on the process here, and that's not what the question is related. I guess, as I think about what you have going on in the U.S., you have a lot going on in the developments and expansions. You'v",116,"Joe, I want to go back to NSR. I understand you can't comment on the process here, and that's not what the question is related. I guess, as I think about what you have going on in the U.S., you have a lot going on in the developments and expansions. You've been increasingly active on acquisitions. You have the broader CapEx program. You initiated a while back, and that's still ongoing. You got some tech initiatives. We all know about supply in the market, the pressure on revenues and expenses. I guess, you take all that together, why would now be the time to look to make a move outside the U.S. in a big way?"
