"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
285544,682652234,2223298,"L Brands, Inc., Q4 2021 Earnings Call, Feb 25, 2021",2021-02-25,"Earnings Calls","Bath & Body Works, Inc.","Operator","Good morning. My name is Catherine, and I will be your conference operator today. At this time, I would like to welcome you to the L Brands Fourth Quarter 2020 Earnings Conference Call. Please be advised that today's conference is being recorded. If you h",78,"Good morning. My name is Catherine, and I will be your conference operator today. At this time, I would like to welcome you to the L Brands Fourth Quarter 2020 Earnings Conference Call. Please be advised that today's conference is being recorded. If you have any objections, you may disconnect at this time.
I will now turn the call over to Ms. Amie Preston, Senior Vice President, Investor Relations and company affairs for L Brands. You may begin."
285544,682652234,2223298,"L Brands, Inc., Q4 2021 Earnings Call, Feb 25, 2021",2021-02-25,"Earnings Calls","Bath & Body Works, Inc.","Executives","Thanks. Good morning, everyone, and welcome to L Brands' fourth quarter earnings conference call for the period ending January 30, 2021. As a matter of formality, I need to remind you that any forward-looking statements we may make on our call today are s",120,"Thanks. Good morning, everyone, and welcome to L Brands' fourth quarter earnings conference call for the period ending January 30, 2021. As a matter of formality, I need to remind you that any forward-looking statements we may make on our call today are subject to our safe harbor statement found in our SEC filings and in our press releases.
Joining me on the call today are Andrew Meslow, CEO of L Brands, and Bath & Body Works; Martin Waters, CEO of Victoria's Secret; and Stuart Burgdoerfer, CFO of L Brands. All results we've discussed on the call today are adjusted results and exclude the special items described in our press release.
Thanks, and I'll turn the call over to Andrew."
285544,682652234,2223298,"L Brands, Inc., Q4 2021 Earnings Call, Feb 25, 2021",2021-02-25,"Earnings Calls","Bath & Body Works, Inc.","Executives","Thank you, Amie. And good morning, everyone. As we reported last night, we delivered record results in the fourth quarter, and we could not have done so without the hard work and dedication of our whole team of associates and partners. We'd like to expres",628,"Thank you, Amie. And good morning, everyone. As we reported last night, we delivered record results in the fourth quarter, and we could not have done so without the hard work and dedication of our whole team of associates and partners. We'd like to express our deep appreciation for their continued dedication and efforts.
Before we take your questions this morning, I thought it would be appropriate to take a few minutes to reflect on the year we just completed, which presented many challenges, but at the same time, yielded so many accomplishments in our business. To highlight just a few of these accomplishments for L Brands in total: we led with our values and an emphasis on safety, so we could be confident in our decisions and actions to support associates customers and our business; we shifted how we ran the business and thanks the technology didn't miss a beat in managing the calendar and processes that drive our businesses each day; we created ways to navigate the pandemic and support our associates and partners to ensure we could continue to deliver results; we took significant actions to increase liquidity and ended the year with $3.9 billion in cash and delivered $1.8 billion in free cash flow; we restructured the organization to prepare us to operate as 2 separate businesses go forward; we successfully spread business across the fall season with sales volume and margin rates that outpaced expectations.
While the above comments reflect what we did tactically, it's also important to reflect on how we got there, particularly in a year where we saw a substantial social unrest and political divisiveness. The leadership of the business focused on advancing a healthy, high-performance culture, including efforts around diversity, equity and inclusion for ourselves, our business and our communities. In addition to continuing to develop our internal leadership talent, we also recruited a number of new leaders in important roles that both deepen our capability and add to the diversity of our team.
Shifting now to accomplishments that relate specifically to Bath & Body Works. For the year, we increased sales by $1.1 billion or 20%, and operating income by over $600 million or 50%, and delivered results we could not have predicted in the middle of a global pandemic and a year of significant change. We further enhanced our brand positioning with evolved designs, strong product acceptance, emotionally-compelling on-trend, seasonally-right merchandise and marketing. We matched our customers' mindset about wellness, self-care and nesting at home. And we established soaps and sanitizers as true traffic drivers and a solid third pillar of the business. We continue to leverage our speed and agility and made smart choices to plan and replan the business and manage inventory to commercialize, chase and allocate product, and divert and move inventory where it was most needed while also building continuity and capacity into our supply chain and a larger network of fulfillment and distribution centers, all of which gave us a velocity of inventory flow to match increased demands for our products.
We more than doubled our U.S. direct business to $2 billion or 31% of the total business inside of 12 months, breaking high watermarks multiple times during the year. And importantly, we were among the safest as well as most fun and festive place in the mall for Christmas. We expect that 2021 will not be easy as the world, the retail environment and our enterprise and business continue to evolve and as we lap these extraordinary 2020 results. But with continued smart management of the brand and business, I know we can become a fully separate, stand-alone public corporation and proactively accelerate to our next phase of growth.
Thank you. And with that, I'll turn it over to Martin Waters."
285544,682652234,2223298,"L Brands, Inc., Q4 2021 Earnings Call, Feb 25, 2021",2021-02-25,"Earnings Calls","Bath & Body Works, Inc.","Executives","Thanks, Andrew, and good morning, everyone. First, let me say how excited I am to be joining you this morning and for the opportunity that I have to lead the Victoria's Secret business. The Victoria's Secret team, led by Stuart, has accomplished a remarka",146,"Thanks, Andrew, and good morning, everyone. First, let me say how excited I am to be joining you this morning and for the opportunity that I have to lead the Victoria's Secret business. The Victoria's Secret team, led by Stuart, has accomplished a remarkable turnaround in the last 6 months. In the full season, we delivered about a $400 million or 300% increase in operating income at a profit rate of 15% of sales. And that's a result of improved merchandise assortments, more disciplined inventory management, better management of promotions, effective selling execution online and in stores, and of course, the positive impact of our profit improvement plan. While much has already been accomplished, I'm highly energized by the opportunities that we have in front of us to reposition and grow this iconic brand as a stand-alone business. Thanks, and I'll turn it over to Amie."
285544,682652234,2223298,"L Brands, Inc., Q4 2021 Earnings Call, Feb 25, 2021",2021-02-25,"Earnings Calls","Bath & Body Works, Inc.","Executives","Thanks, Martin. That concludes our prepared comments. At this time, we'd be happy to take any questions you might have. We are all in different locations today. So I'm going to do my best to direct the questions to the right folks. [Operator Instructions]",53,"Thanks, Martin. That concludes our prepared comments. At this time, we'd be happy to take any questions you might have. We are all in different locations today. So I'm going to do my best to direct the questions to the right folks. [Operator Instructions] Thanks, and I'll turn it back over to Catherine."
285544,682652234,2223298,"L Brands, Inc., Q4 2021 Earnings Call, Feb 25, 2021",2021-02-25,"Earnings Calls","Bath & Body Works, Inc.","Operator","[Operator Instructions] The first question is coming from Simeon Siegel, BMO Capital Markets.",13,"[Operator Instructions] The first question is coming from Simeon Siegel, BMO Capital Markets."
285544,682652234,2223298,"L Brands, Inc., Q4 2021 Earnings Call, Feb 25, 2021",2021-02-25,"Earnings Calls","Bath & Body Works, Inc.","Analysts","Big congrats on a nice way to cap a year. So congrats. Andrew, soaps and sanitizers aside, can you speak to any changes you observed in how your customers shop during the pandemic? What you think proves longer lasting? Maybe just help us think through cha",59,"Big congrats on a nice way to cap a year. So congrats. Andrew, soaps and sanitizers aside, can you speak to any changes you observed in how your customers shop during the pandemic? What you think proves longer lasting? Maybe just help us think through characterizing the growth of new customers versus higher frequency of shop versus higher AUR?"
285544,682652234,2223298,"L Brands, Inc., Q4 2021 Earnings Call, Feb 25, 2021",2021-02-25,"Earnings Calls","Bath & Body Works, Inc.","Executives","Thanks, Simeon. Andrew, obviously.",4,"Thanks, Simeon. Andrew, obviously."
285544,682652234,2223298,"L Brands, Inc., Q4 2021 Earnings Call, Feb 25, 2021",2021-02-25,"Earnings Calls","Bath & Body Works, Inc.","Executives","Yes. Thank you, Simon, for the question. So on your first part of the question, in terms of growth outside of soaps and sanitizers, I think it's just important to remind everyone, and we've said it in the prepared remarks in both Q3 and Q4. Soaps and sani",425,"Yes. Thank you, Simon, for the question. So on your first part of the question, in terms of growth outside of soaps and sanitizers, I think it's just important to remind everyone, and we've said it in the prepared remarks in both Q3 and Q4. Soaps and sanitizer was a significant growth driver for the business in 2020, really the whole year. But as we called out, we saw about 2/3 of the growth come from outside of soaps and sanitizers. And as we've said on prior calls, really, the biggest trend within that 2/3 has been in our home fragrance business. As we've seen the customer. Clearly, he or she is spending more time at home and spending more attention on making their home a comfortable place to do business, schooling, et cetera. We've seen, again, continued strong growth there.
But importantly, on the year, we did see strong double-digit comp growth in all of our categories. So again, a very balanced performance with the exception, as you mentioned, of soaps and sanitizers that really experienced outsized growth across the entire time frame.
When you think -- when we think about customer behavior in general, we did see that our customer spending across all categories and across both channels, was up significantly year-over-year. From a total number of customers, because we had stores closed for about 90 days in the first half of the year, and because the store customer -- store-only customer at the beginning of the year represented a little over 3/4 of our total customers. That did mean that we saw a decline in number of customers who shopped in stores for fiscal 2020, but we were able to almost fully offset that by the increase that we saw in our direct customers and in our dual-channel customers. So while we finished 2020 with a slight decline in the total number of customers, we did see customer engagement metrics improved substantially. So spending by all customers up over 20%, and importantly, strong growth in both direct and dual customers. And as a reminder, dual customer -- dual-channel customers spend on order of magnitude more than 3x a single channel customer.
And then the last piece I would emphasize is that, again, we saw strong cross-category growth in customers. Meaning number of customers who shop multiple categories within the business as opposed to just 1. And as we saw that strong growth really led by customers engaging in soaps and sanitizers, we saw that spending also increased substantially. So hopefully, that helps."
285544,682652234,2223298,"L Brands, Inc., Q4 2021 Earnings Call, Feb 25, 2021",2021-02-25,"Earnings Calls","Bath & Body Works, Inc.","Executives","Great. Thanks, Simeon.",3,"Great. Thanks, Simeon."
