"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
296181,702990430,2221667,"Exelon Corporation, Q4 2020 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","Exelon Corporation","Operator","Ladies and gentlemen, thank you for standing by, and welcome to the Exelon Fourth Quarter 2020 Earnings Conference Call. [Operator Instructions] Please be advised that today's conference may be recorded. [Operator Instructions] I would now like to hand th",58,"Ladies and gentlemen, thank you for standing by, and welcome to the Exelon Fourth Quarter 2020 Earnings Conference Call. [Operator Instructions] Please be advised that today's conference may be recorded. [Operator Instructions] I would now like to hand the conference over to one of your speakers today, Dan Eggers, Senior Vice President, Corporate Finance. Sir, please go ahead."
296181,702990430,2221667,"Exelon Corporation, Q4 2020 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","Exelon Corporation","Executives","Thank you, Michelle. Good morning, everyone, and thank you for joining our fourth quarter 2020 earnings conference call. Leading the call today are Chris Crane, Exelon's President and Chief Executive Officer; and Joe Nigro, Exelon's Chief Financial Office",228,"Thank you, Michelle. Good morning, everyone, and thank you for joining our fourth quarter 2020 earnings conference call. Leading the call today are Chris Crane, Exelon's President and Chief Executive Officer; and Joe Nigro, Exelon's Chief Financial Officer. They're joined by other members of Exelon's senior management team, who will be available to answer your questions following our prepared remarks. 
We issued our earnings release and separation announcement release this morning along with the presentation, all of which can be found in the Investor Relations section of Exelon's website. The earnings and separation announcement release and other matters which we discuss during today's call contain forward-looking statements and estimates that are subject to various risks and uncertainties. Actual results could differ from our forward-looking statements based on factors and assumptions discussed in today's material and comments made during this call. Please refer to today's 8-Ks and Exelon's other SEC filings for discussions of risk factors and other factors, including uncertainties surrounding the planned separation that may cause results to differ from management's projections, forecasts and expectations. 
Today's presentation also includes references to adjusted operating earnings and other non-GAAP measures. Please refer to the information contained in the appendix of our presentation and our earnings release for reconciliations between the non-GAAP measures and the nearest equivalent GAAP measures. I'll now turn the call over to Chris Crane, Exelon's CEO."
296181,702990430,2221667,"Exelon Corporation, Q4 2020 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","Exelon Corporation","Executives","Thanks, Dan, and good morning, everybody. We have a lot to talk about this morning, so Joe and I will try to go through it and allow adequate time for questions. Some of the stuff we have to talk about is bad. The recent events in Texas put some light on",1434,"Thanks, Dan, and good morning, everybody. We have a lot to talk about this morning, so Joe and I will try to go through it and allow adequate time for questions. Some of the stuff we have to talk about is bad. The recent events in Texas put some light on that, but we have some great other subjects to talk about, our strong performance in 2020, the results there and the future path for our business. 
I'll start with Texas. The experienced unprecedented sustained cold temperatures, as we know, impacted the energy system in the state, along with severely impacting the people who live there. As noted in last week's 8-K, we had operational issues with our plants due to the extreme weather. They only periodically were available when the prices hit and were maintained at the administrative cap of $9,000. Our preliminary estimate, and it is preliminary, of the impact of this event across our portfolio is $750 million to $950 million pretax or $560 million to $710 million post tax. 
At this point, the range is wide. It includes our best estimate for load obligations, ancillary charges and bad debt. It will take some time to refine this estimate. The data we normally comes to us is on a lag from ERCOT. With recently PUCT actions, the data has been further delayed and continued uncertainty around any future actions the PUCT or others may take. We expect to provide a better update no later than the first quarter earnings call. 
This loss is not acceptable to us. We are mitigating it through business updates, including first quarterly favorability, mostly onetime cost reductions and deferral of nonessential maintenance, which Joe will cover in further detail. We have, today, found updates and offsets that are expected to reduce our net impact up to $0.20 per share at the midpoint of our loss estimates, which is reflected in our earnings guidance. These mitigating efforts are expected to reduce the cash impact to $200 million. 
As you know, last week's events have raised many questions about the Texas market design and associated risks. And this has not been a new conversation, it's been one that's been around for a while. And we hope that through this, that the proper actions can be taken on the design. As a result, we are evaluating all our options with respect to our ERCOT business. 
Moving on to good news. Our 2020 operational and financial performance was strong. Our utilities maintained excellent operations not only in the face of the pandemic but in an extremely punishing storm year.  [indiscernible] hurricanes. In 1 day, we had 13 tornadoes in the service territory. The power of our utility platform paid off for us this year. The mutual assistance across the fleet helped achieve record restoration speeds for both ComEd and PECO. 
Each utility delivered excellent reliability, top decile outage frequency and top quartile outage duration. This performance was reflected in our customer satisfaction scores, with all utilities receiving their best on-record scores in first quartile customer satisfaction. 
Strong operations led to constructive regulatory results as we saw in the outcome of 3 rate cases across our jurisdictions in 2020. In December, the Maryland PSC approved BGE's first-ever multiyear plan, enabling investment in reliability. We're expecting orders for multiyear plans at both Pepco D.C. and Pepco Maryland. This is allowing for timely recovery while supporting jobs in the economy in D.C. and Maryland. 
Turning to Slide 7. Nuclear had another very good year, generating 150 terawatt-hours of zero-emitting power, avoiding 80 -- 78 million metric tons of carbon dioxide. The capacity factor was [ 95.4 ] second only to last year's performance in fleet history. The nuclear group completed 12 refueling outages and fewer days planned despite the rigorous pandemic protections. Our relationships with our retail customers continues to remain strong, with a 79% customer renewal rate, average customer duration of more than 6 years and power contracts of 21 months on average. 
Slide 8, the financial results. Exelon operations at robust cost led to our strong financial results, as you see on this slide. The pandemic reduced our demand for electricity, particularly at Constellation, which created financial headwinds for us. We reduced our earnings guidance on the first quarter call based on what we knew at the time, and we kept looking for ways to improve our earnings outlet throughout the year. We delivered on $400 million of savings, $150 million more than announced, which brought us well within our original earning guidance range. And then gains from the Constellation Technology Ventures portfolio brought us above the midpoint of our earnings guidance. We earned $2.01 on a GAAP basis and $3.22 on a non-GAAP basis. 
Turning to Slide 10. This morning's announcement is really a very good strategic move for us. With our Board, we completed -- concluded the separation of our regulated business -- regulated utilities in the competitive businesses is the best interest of all stakeholders and are moving forward with that decision. So separation, it establishes 2 best-in-class stand-alone companies, a high-growth, high-quality, 100% regulated utility and America's leading clean energy company producing the most clean energy paired with the best and largest customer-facing business in the country. 
It better positions each business within its peer set. And it will support business strategies tailored to the distinct business investment profiles and meeting unique customer needs. The same operational expertise, customer focus and financial discipline that you expect from this management team will continue to underpin the value proposition of each company. 
On Slide 11, the separation of the spin of the generation business to our Exelon shareholders, the regulatory business, which is being termed the remainco, shares the traits of a high-quality best-in-class utility, strong above-earnings growth rate of 6% to 8%, diversified rate base across 7 constructive jurisdictions with almost 100% of our rate base growth covered by alternative rate recovery mechanisms. Best-in-class operations and an attractive ESG attributes provide platforms to enable a transition to a clean energy economy without owning the generation. 
The spinco, Genco being titled a spinco for this, will be America's clean energy leader, will continue to produce electricity that is over 90% carbon-free, provide 11% of the clean energy in the country and with no coal-fired generation and emissions profile, our emissions profiles are significantly below the 1.5-degree C targets. Delivering solutions for our large customer-facing platform in the country, and we anticipate having an investment-grade rating on that balance sheet. 
The transition, going to Slide 12, Joe will get in more details around the strategy and the specifics of these 2 great companies, but let me hit on some of the key transaction considerations. The spin is designed to be a tax-free distribution of the spinco shares to the existing shareholders of Exelon. We will work hard to close by the end of the year, which provides execution benefits around a clean calendar year transition for the split. But regulatory approvals could potentially take longer. We have several required approvals, with long lead time items being the NRC and the New York Public Service Commission. We have good plans for each of these approvals and we'll be making the necessary files in the very near term. 
We maintain an open dialogue with the 3 credit agencies and anticipate both businesses remaining investment-grade under various scenarios. Our preliminary work on the dis-synergies gives us confidence that they will be able to at least offset them at both companies. 
Turning to the dividend. The Board has approved the dividend at $1.53 for 2021, which is holding it flat to last year. Remainco expects to target a 60% payout, in line with best-in-class high-growth peers and will grow its dividend consistent with earnings. The spinco will focus on the combination of debt paydown to support our credit metrics and return capital to our shareholders and continue to invest in clean energy solutions. Resolution of the Illinois legislative session and capacity auction results in June, along with a number of other factors, will have a bearing on the allocation of this strategy. 
From a funding perspective, we estimate the remainco will need around $1 billion of new equity capital through 2024 investment horizon. This could change depending on variations of factors that we expect to play out over the course of the year. The EPS bands that Joe will show you for the remainco already incorporate the potential future equity needs. I'm now going to turn the call over to Joe to talk more about the 2 business strategies and the outlook for 2021."
296181,702990430,2221667,"Exelon Corporation, Q4 2020 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","Exelon Corporation","Executives","Thank you, Chris, and good morning, everyone. I will try to build on Chris' remarks by providing more detail about the 2 stand-alone businesses and then we'll discuss our 2021 guidance. I'll start with remainco on Slide 14. Our utilities will continue to",1725,"Thank you, Chris, and good morning, everyone. I will try to build on Chris' remarks by providing more detail about the 2 stand-alone businesses and then we'll discuss our 2021 guidance. I'll start with remainco on Slide 14. Our utilities will continue to be a premium business within the sector and share the characteristics of other high-quality utilities. They operate in constructive regulatory jurisdictions with nearly 100% of rate base growth recovered through alternative recovery mechanisms. 
We will continue to meet our commitments to our customers through bill affordability and best-in-class operations. We will maintain a keen focus on our ESG initiatives, including clean energy and diversity, equity and inclusion. And we'll continue to pursue a balanced and disciplined financial policy underpinned by a strong balance sheet. All of this will allow us to deliver on industry-leading rate base and earnings growth, built on strong returns on equity, growing the remainco business model well into the future. 
If you turn to Slide 15, we show remainco's growth outlook. We have a robust investment plan across our utilities to continue to improve reliability and resiliency, enhance the service experience for our customers and prepare for a clean energy future. In 2021, we intend to invest nearly $6.6 billion and a total of $27 billion over the next 4 years. Since our last capital investment disclosure, we have identified more than $500 million in additional investment needs across our system that will provide further benefits for our customers and communities. We are planning to grow our rate base by 7.6% annually, [indiscernible] to $58.8 billion, adding nearly $15 billion to rate base by 2024. Our rate base growth has improved by 30 basis points since last year. And as a reminder, our capital forecast reflects only identified projects that we expect to recover through our normal rate filings and other recovery mechanisms. 
I will also point out that the largest project in our plan is less than 1% of our capital spend from 2021 to 2024, avoiding concentration risk with any particular project. Our earnings per share outlook remains strong at 6% to 8% growth. Compared to last year's update, this growth reflects updates to our rate base forecast and our assumptions around funding remainco's growth with debt and the $1 billion equity issuance through 2024 that Chris mentioned. We are confident this growth extends beyond 2024. I would note that 2025 will further benefit from rate case timing as you think about your long-term modeling. 
We deliver on this strong growth while maintaining a focus on affordability, which is paramount to a successful utility. We will continue to manage our costs and support energy efficiency programs to keep bill inflation in check even as we make these investments that benefit our customers. 
Now turning to Slide 16. Remainco is a 100% fully regulated transmission and distribution utility with no generation. It is diversified across 7 regulatory jurisdictions with no 1 jurisdiction representing the majority of the rate base. We have worked with stakeholders in our jurisdictions to establish recovery mechanisms that allow us to prudently and efficiently invest in critical infrastructure for the benefit of our customers while generating an appropriate return on capital. Nearly 100% of our rate base growth will be covered by alternative mechanisms by the end of our planning period. 
These mechanisms include multiyear plans in Maryland and D.C., formula rates for both transmission and distribution, capital and other trackers as well as forward-looking test years. We see the combination of being a fully regulated T&D utility with geographic diversity and constructive regulatory designs as a clear differentiator among our utility peers. 
Turning to Slide 17. Chris covered our 2020 operations earlier, but I wanted to highlight our operations over time, which consistently outperform the sector average, bringing tangible benefits to our customers. 
Moving to Slide 18. Environmental, social and governance or ESG values have been at the core of our business since Exelon's founding. We have been committed to doing what is right for all our stakeholders and that will not change. Specifically, remainco is committed to working within our states, regulators and communities to make investments that help them achieve their environmental and clean energy goals. 
Continuing to support our diverse employees, customers and communities and create a workforce that reflects our community and operate responsibly and transparently maintaining the highest standards of corporate governance. ESG will continue to be an integral part of remainco's strategy as a stand-alone company. 
Moving to spinco on Slide 20. Spinco will be the largest supplier of clean energy and sustainable solutions to its customers. It produces 12% or 1 out of every 9 megawatt-hours of carbon-free electricity in the United States. Spinco is an essential partner to businesses and federal, state and local governments that are setting carbon reduction goals and seeking long-term solutions to the climate crisis. 
Spinco's clean generation fleet is paired with one of the largest customer-facing platforms with the leading share in the C&I market where we continue to have very high customer renewal and retention rates. It is also the best operator of nuclear power plants in the country. As Chris mentioned, we are in ongoing conversations with rating agencies and anticipate that spinco will remain investment-grade. It will continue to have a disciplined financial policy focused on optimizing cash flows to support the balance sheet, invest in clean energy solutions and return value to shareholders. 
On Slide 21, you can see how spinco's clean generation fleet stacks up against others. Spinco is and will be the leading clean energy producer in the United States. It does not own coal-fired generation and 90% of its output is emissions-free. As a result, spinco produces nearly double the clean energy of the next leading provider and more than 8 to 17x the clean energy of its IPP peers. It also has the lowest emissions intensity, nearly fivefold less intensive than the next generator and more than 13 to 15x less carbon-intensive than the other IPPs. These attributes are a clear advantage for spinco as the Biden administration commits to 100% zero-carbon electricity sector by 2035 to address the climate crisis. 
Turning to Slide 22. Each of spinco's states have or are looking to set ambitious emissions reductions for clean energy goals. Spinco's generation is essential to helping states meet their goals in an affordable manner. Spinco provides a significant amount of the clean energy in the states where it operates. In Illinois and Maryland, it provides nearly all of the clean electricity in the state. Losing any of these assets would be a significant step backward for each state in meeting its goals while also creating higher cost for customers and significant economic hardship for host communities. The company will continue to be a leading advocate for clean energy policies aimed at preserving and growing clean energy to combat the climate crisis. 
Spinco's clean energy leadership extends beyond the power generation fleet. As you can see on Slide 23, our Constellation business has also been a leader in developing and providing clean energy and sustainability solutions for our customers. The desire of our customers to positively impact the environment is real. And the Constellation business leads the charge through new products and strategic investments to help our customers. 
Not only have these efforts been economically beneficial with solid margins, they've also yielded strong customer retention rates and opened up additional revenue opportunities. One example of this is our core product. Constellation serves as an intermediary between the renewable developer and the customer, filling a niche where multiple offtakes are needed for 150- to 250-megawatt sized projects, and customers may have varying demands for term and deal structure. It allows Constellation to provide a customized solution for our customers. 
Moving to Slide 24. It shows the operational performance of Generation over time compared to the industry. Generation remains the best operator of nuclear power plants in the United States with industry-leading capacity factors of approximately 94% or better and industry-leading refueling outage days at least 10 days better than the industry average every year. 
Turning to our customer-facing business on Slide 25. Constellation's retail business is strong. It is steady, repeatable, and with stable margins. Customer retention rates have averaged 77% over the last 5 years, with average contract terms of 25 months and customer duration of more than 6 years. Constellation is successful at acquiring new customers with a win rate of 29%. We have the largest C&I customer base and that remains key to our strategy. First, C&I customers have higher load factors compared to residential customers and are less exposed to seasonal and weather fluctuations. Second, C&I customers allow us to achieve scale that cannot be done with residential customers. And finally, although the gross margins may be higher on residential customers, these margins do not account for the cost to acquire these customers, which are higher than C&I. 
Turning to Slide 26. There are uncertainties that will impact spinco's future such as legislation in Illinois, the next PJM auction and potential federal carbon legislation. Regardless of those outcomes, spinco will continue to focus on its strong investment-grade rated balance sheet, supported by stable free cash flows which we see in the different scenarios we are currently considering. Exelon Generation has a strong record of cost management with announced savings of more than $1.1 billion since 2015 and that cost discipline will not change. We will continue to seek fair compensation for the zero-carbon attributes while maintaining the discipline to retire uneconomic assets and opportunistically monetize others. 
We will provide a more detailed capital allocation strategy, including debt reduction, return of capital to shareholders and growth later this year when we have more clarity on these policy and auction outcomes. That said, we are confident that our disciplined approach will keep spinco an investment-grade rated business regardless of those outcomes. 
Finally, I'll conclude with our 2021 earnings guidance on Slide 28. We are providing 2021 adjusted operating earnings guidance of $2.60 to $3 per share, which incorporates the midpoint of the range for the severe weather impacts, offset by the opportunities that Chris discussed. Our disclosures, including O&M, CapEx and gross margin reflect the mitigation opportunities we have identified and factored into this guidance. Thank you, and now I'll turn the call back to Chris for closing remarks."
296181,702990430,2221667,"Exelon Corporation, Q4 2020 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","Exelon Corporation","Executives","Thanks, Joe. Turning to Slide 29. I wanted to discuss our key focus areas for 2021. Obviously, we will be working on preparations to separate the businesses, including the regulatory approvals that we are confident we will obtain. That is the work of rela",331,"Thanks, Joe. Turning to Slide 29. I wanted to discuss our key focus areas for 2021. Obviously, we will be working on preparations to separate the businesses, including the regulatory approvals that we are confident we will obtain. That is the work of relatively a small group of our team members, most of the company will continue to focus on delivering operational excellence across our businesses. 
The operating -- operating the grid reliably and safely, supporting our customers and our communities during the pandemic and every day providing 0 carbon energy. We'll meet or exceed our financial commitments, delivering earnings within our guidance strange and maintain a strong balance sheet. We'll continue our work to mitigate the impact of ERCOT losses and maximize the earnings and cash flow. 
At the utilities, we will prudently and effectively deploy $6.6 billion of capital to benefit the customers and meet the state's energy policy goals. We will work with our regulators to ensure timely recovery on these investments. We'll continue to advocate for clean energy climate policies with the new administration and Congress in the states to put our country on a path of meeting the carbon reduction goals. 
In Illinois, stakeholders continue the discussion on clean energy legislation. The governor's call for passing an energy bill session that protects our nuclear fleet, grows renewable energy and supports customers and job creation. We expect the legislative process to ramp up in the coming weeks and months. We will continue to work with all interested parties on legislation that will achieve the state's clean energy goals and a power system dependability while protecting our customers from higher bills, dirtier air in our communities from the loss of the economic engines that our nuclear plants are. 
We will be a partner in allied to our communities we serve, including following through on our work we have underway on social justice, racial equity and restoring civil discourse. Thank you, and I'll open the call up for questions."
296181,702990430,2221667,"Exelon Corporation, Q4 2020 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","Exelon Corporation","Operator","[Operator Instructions] Our first question comes from the line of Stephen Byrd with Morgan Stanley.",15,"[Operator Instructions] 
Our first question comes from the line of Stephen Byrd with Morgan Stanley."
296181,702990430,2221667,"Exelon Corporation, Q4 2020 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","Exelon Corporation","Analysts","Thanks for the thorough update on a lot of topics. I wanted to talk about your Constellation Technology Venture investment portfolio. I think you laid that out well on Slide 45. I've noticed there are quite a few of these entities or public entities now,",133,"Thanks for the thorough update on a lot of topics. I wanted to talk about your Constellation Technology Venture investment portfolio. I think you laid that out well on Slide 45. I've noticed there are quite a few of these entities or public entities now, as you know, with fairly significant market caps. It is challenging to determine kind of the aggregate value that you all have generated here. Often, share counts are not available and I know you can't disclose that on an individual company basis. But I wondered if you could maybe first just talk at a high level, what is the approximate magnitude of value of those public entity stakes that you have? And then over time, could this be a potential offset to the equity needs that you have?"
296181,702990430,2221667,"Exelon Corporation, Q4 2020 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","Exelon Corporation","Executives","Stephen, it's Joe. I can tell you that our -- those entities contributed $0.14 to earnings in 2020. We have included an expectation of value in our '21 forecast. Along those assumptions, we have assumptions of what the IPO schedules would look like. Obvio",91,"Stephen, it's Joe. I can tell you that our -- those entities contributed $0.14 to earnings in 2020. We have included an expectation of value in our '21 forecast. Along those assumptions, we have assumptions of what the IPO schedules would look like. Obviously, for competitive reasons, I can't say a lot more than that. And as you know, these will move around day-to-day until they get to IPO and also until we get to a point if we consider liquidation. But we have included some value in our '21 forecast."
296181,702990430,2221667,"Exelon Corporation, Q4 2020 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","Exelon Corporation","Analysts","Understood, Jo. And is it possible over time, I know you don't want to commit to sell in any particular company, but it looks like the magnitude could be significant compared to the $1 billion of equity you need. Is it a potential offset in the future or",64,"Understood, Jo. And is it possible over time, I know you don't want to commit to sell in any particular company, but it looks like the magnitude could be significant compared to the $1 billion of equity you need. Is it a potential offset in the future or have you ruled that out? How do you think about kind of the longer-term path here?"
296181,702990430,2221667,"Exelon Corporation, Q4 2020 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","Exelon Corporation","Executives","Yes. Those are 2 very distinct things. When you look at the $1 billion, the $1 billion of equity is needed at our remainco and it matches to the growth plans, the capital allocation plan and our target metrics we're shooting for. We'll see where these inv",75,"Yes. Those are 2 very distinct things. When you look at the $1 billion, the $1 billion of equity is needed at our remainco and it matches to the growth plans, the capital allocation plan and our target metrics we're shooting for. We'll see where these investments move through time, and we'll make the necessary decisions on what we want to do with liquidation as we see value. But at this point, they're not linked."
