"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
128209,701917266,2201005,"Fiserv, Inc., Q4 2020 Earnings Call, Feb 09, 2021",2021-02-09,"Earnings Calls","Fiserv, Inc.","Operator","Welcome to the Fiserv 2020 Fourth Quarter Earnings Conference Call. [Operator Instructions] As a reminder, today's call is being recorded. At this time, I would now like to turn the conference over to Peter Poillon, Senior Vice President of Investor Rel",43,"Welcome to the Fiserv 2020 Fourth Quarter Earnings Conference Call. [Operator Instructions] As a reminder, today's call is being recorded. 
At this time, I would now like to turn the conference over to Peter Poillon, Senior Vice President of Investor Relations at Fiserv."
128209,701917266,2201005,"Fiserv, Inc., Q4 2020 Earnings Call, Feb 09, 2021",2021-02-09,"Earnings Calls","Fiserv, Inc.","Executives","Thank you, Ivy, and good afternoon, everyone. With me on the call today are Frank Bisignano, our President and Chief Executive Officer; and Bob Hau, our Chief Financial Officer. Our earnings release and supplemental materials for the quarter are availab",225,"Thank you, Ivy, and good afternoon, everyone. With me on the call today are Frank Bisignano, our President and Chief Executive Officer; and Bob Hau, our Chief Financial Officer. 
Our earnings release and supplemental materials for the quarter are available on the Investor Relations section of fiserv.com. Our remarks today will include forward-looking statements about, among other matters, the impact of the COVID-19 pandemic on our business, expected operating and financial results, strategic initiatives and expected benefits and synergies from the First Data acquisition. 
Forward-looking statements may differ materially from actual results and are subject to a number of risks and uncertainties. You should refer to our earnings release for a discussion of these risk factors. Please refer to our earnings release and supplemental materials for today's call for an explanation of the non-GAAP financial measures discussed on this call, along with the reconciliation of those measures to the nearest applicable GAAP measures. Unless stated otherwise, performance references are year-over-year comparisons, and all references to internal revenue growth are on a constant currency basis. 
Note that the full year 2019 non-GAAP financial measures in our earnings release and supplemental materials have been prepared by making certain adjustments to the sum of historical First Data and Fiserv GAAP financial information for periods prior to the acquisition date. 
And now I'll turn the call over to Frank."
128209,701917266,2201005,"Fiserv, Inc., Q4 2020 Earnings Call, Feb 09, 2021",2021-02-09,"Earnings Calls","Fiserv, Inc.","Executives","Thank you, Peter, and good afternoon, everyone. 2020 was unprecedented on many levels. We started the year strong. And after entering the pandemic, we continued investing heavily in technology, innovation, our client franchise and our people. We've now",1515,"Thank you, Peter, and good afternoon, everyone. 2020 was unprecedented on many levels. We started the year strong. And after entering the pandemic, we continued investing heavily in technology, innovation, our client franchise and our people. 
We've now entered 2021 with tremendous momentum. Your company performed very well given the circumstances across a number of facets of our business. Our 22% sales growth for the year demonstrates that we're clearly winning in the client's office. 
We strengthened our client franchise, raising our client satisfaction scores across all measures. We invest in our people platform, resulting in top quartile engagement scores amongst companies in the Fortune 500. We made outstanding progress on integration. We accelerated and increased synergy execution while ramping our investment in innovative products and solutions. 
We delivered 12% adjusted earnings per share growth for the year, marking our 35th consecutive year of double-digit adjusted EPS growth, and we delivered record free cash flow. We are exiting the year stronger than we entered, and we're well positioned to capitalize on our momentum in 2021 and beyond. 
Let me provide a brief overview of our financial results in the quarter, and Bob will provide more detail later on the call. Total company internal revenue growth was 1%. That performance was led by our Merchant Acceptance segments, which was up 3%, a strong result in light of the global pandemic. 
Total company adjusted operating margin for the quarter was up 420 basis points and adjusted earnings per share increased 16%. Free cash flow was again excellent, coming in at $1.1 billion in the quarter, bringing free cash flow for the full year to more than $3.6 billion. 
Our sales momentum remains quite strong. Fourth quarter sales were up 19%, with terrific results in our credit processing, merchant acquiring and account processing businesses. Sales for the full year were up an impressive 22%. The combination of robust sales and excellent pipeline into 2021 is evidence that our formula of bringing the strength and breadth of Fiserv's offerings together with our integrated sales model is extremely well received in the client's office and bodes well for the future. 
Now I'd like to update you on how our leading digital-enabled merchant business is performing. Through Clover, a leading SMB platform, Carat, our enterprise omnichannel commerce solution and Clover Connect, our rich ISV solution set. 
We continue to drive innovation, expand partnerships and deliver leading solutions to our merchant clients. The momentum within the digital-enabled segments of the merchant business continues to be excellent. 
Clover's gross payment volume grew 25% to $34 billion in the quarter or $135 billion annualized. We continue to extend the breadth of services to Clover merchants with innovative solutions that enhance convenience, especially in the digital segment. 
For example, we recently introduced invoicing capabilities that allow Clover merchants, especially those in the services vertical, to build and collect payments from consumers electronically. 
Carat. So our continued growth with global e-commerce transactions up about 25% both in the quarter and for the full year. 
We saw our omnichannel transactions, such as order-ahead and pick-up in store, grow more than 125% year-over-year with some of our best-known quick service restaurant clients seeing excellent growth. We continue to capture market share winning 46 new enterprise-level e-comm clients in the fourth quarter, including digital acquiring for overstock.com and wingstop in North America. 
In Europe, we signed Total, one of the largest energy providers in the world to provide global digital payment acceptance services across more than 100 countries around the world. We also expanded employer relationships, delivering new products and services to key clients such as Lyft, where we are now powering disbursements to drivers. Clover Connect allows us to win new partnerships and drive growth in our partner Solutions business. 
In the fourth quarter, we signed 44 new ISV partners, bringing us to 176 new ISVs signed for the year. Those new partner relationships are driving strong results in active merchants, up 43% in Q4. And strong revenue growth in the ISV channel. 
For example, during the quarter, Fiserv signed a strategic partnership agreement with RFMS, the largest provider of software services for foreign installation professionals to provide omni-channel payment capabilities to their foreign customers. 
We also signed one of the largest providers of eye care products and technology to provide payment acceptance services to its more than 7,000 eye care professional customers. 
To further expand our value-added services for merchants, Fiserv and Citizens Financial Group have partnered to offer merchants a new suite of lending solutions at the point-of-sale through Citizens Pay, providing merchants with flexible payment options for customers to finance purchases at the point of sale. 
The program expands a partnership with citizens since 2015 to provide new financing options. And we expect it to drive adoption in the fast-growing buy now, pay later space. 
Moving to account processing business. We continue to expand the number of privileged relationships we have in our account processing business across financial institutions of all sizes and types. We signed 19 new core account processing clients in the quarter, including 5 on the DNA platform, bringing the total to 60 for the year with 25 on DNA. 
I'd like to highlight a few of our recent wins. Service First, a commercial bank with more than $11 billion in assets, signed on for a full suite of Fiserv products including: core processing, card services and output solutions. 
Late Side Bank, a full-service bank with more than $2 billion in assets, signed-on core processing, along with a robust suite of solutions that includes CheckFree, debit card services and Zelle. I'm also pleased that just recently, Republic Bank has partnered with Fiserv for core processing plus a rich suite of digital and payment solutions. 
Republic, is a $5 billion asset, full-service retail and commercial bank that was voted the #1 Bank in America for Service by Forbes in 2020. 
All of these illustrative wins were competitive takeaways with a common characteristic. They selected a leading core platform plus multiple surround digital solutions to support their goals of sustained growth and superior customer service. 
I'm also pleased to note that we signed 3 more de novo banks in the quarter. In our payment and network segment, we continue to see robust sales activity, including several notable card production and personalization wins. We gained a new agreement with Capital One to a tap on more than 1,500 ATMs to Fiserv's MoneyPass ATM network, while offering their customers access to thousands of additional surcharge-free ATMs across the country. And I'm pleased to note that we expanded our long-standing partnership with PayPal, signing a deal in the quarter to integrate PayPal as a bill payment option for 5 share billers, a notable synergy sale. 
With that, let me update you on our integration efforts. At Investor Day, we discussed how our integration continues to go extraordinary well and our synergy execution is far ahead of original schedule. Through December 31, we've already actioned over $1 billion of cost savings and are well on our way to fully action at $1.2 billion cost synergies by the end of this year. 
We entered 2021 with the majority of the integration work behind us and a focus on driving further growth and sustainable value in the years ahead. 
On the revenue side, we're pleased with the level of synergy sales, which accelerated in the fourth quarter. As of year-end, we've already actioned $215 million in annualized revenue synergies, and our synergy sales pipeline is growing robustly. Giving us confidence in meeting or exceeding $600 million target. 
Our bank merchant program continues to be one of the larger synergy opportunity and offers financial institutions of all sizes and ability to offer their important merchant clients, a modern suite of merchant acquiring capabilities including the innovative Clover platform, along with digital capabilities like loyalty programs and e-comm solutions. In the fourth quarter, we added 45 new bank merchant clients, bringing the total to 231 new clients since the merger, with more than half of those wins competitive takeaways. The pipeline into 2021 remains robust with over 500 financial institutions, prompting our continued confidence in achieving a sizable revenue synergy opportunity. 
One final point on our digital initiatives before turning it over to Bob. As you've heard us discuss in the past, one of the most important strategic initiatives is to redefine the client experience by utilizing the latest technology to drive innovation and offer digital capabilities across our payments ecosystem. 
We've taken 2 important steps in the last 60 days in this area. First, we acquired on.systems, it's the leading digital card services platform for financial institutions of all sizes. 
We're committed to deploying capital, both organically and inorganically, to develop the digital and data next generational solutions that will drive growth long into the future. 
And second, further demonstrating our commitment to leadership in this area, we appointed a Chief Digital and Data Officer to lead these important strategic growth initiatives across all of tier. 
Now let me pass the discussion to Bob for more detail on the financial results."
128209,701917266,2201005,"Fiserv, Inc., Q4 2020 Earnings Call, Feb 09, 2021",2021-02-09,"Earnings Calls","Fiserv, Inc.","Executives","Thank you, Frank, and good afternoon, everyone. We had a strong fourth quarter in light of continued pressure from the pandemic across the globe. Total company internal revenue growth was 1% in the quarter, led by the Merchant Accepted segment, which grew",1578,"Thank you, Frank, and good afternoon, everyone. We had a strong fourth quarter in light of continued pressure from the pandemic across the globe. Total company internal revenue growth was 1% in the quarter, led by the Merchant Accepted segment, which grew 3%. 
For the full year, internal revenue was flat versus last year, in line with our expectations that we communicated during our last earnings call. Growth from revenue synergies, which were $46 million in the quarter and $160 million for the year, helps mitigate the impact from continued pressure related to the pandemic. 
During our last earnings call, we shared that we saw transaction growth rates stabilize at or around July levels. In the fourth quarter, our transaction and payment growth rates remain relatively in line with what we saw in the third quarter. Fourth quarter adjusted operating income was up a strong 10% to $1.3 billion and adjusted operating margin increased by a very strong 420 basis points to 35.6%, driven by our rigorous cost synergy, execution was produced $177 million of incremental cost synergies in the quarter as well as strong operating performance. 
For the full year, adjusted operating income increased by 2% to $4.4 billion, and adjusted operating margin increased $170 basis points to 31.4%, benefiting from $581 million of incremental cost synergies in the year and excellent operational performance. 
The fact that we improved our margin by 170 basis points due to worst economic cycle in memory is a strong validation of the robust quality and resilience of our business. And since most of the cost actions in 2020 were focused on permanent synergy achievement, not short-term cost savings, we believe our adjusted operating margin improvements are sustainable and expect continued strong improvements in 2021 and beyond. 
Fourth quarter adjusted earnings per share increased 16% to $1.30 compared to $1.12 in the prior year, as adjusted for divestitures. Adjusted earnings per share for the full year increased 12% to $4.42, ahead of our prior expectations. Free cash flow in the quarter was once again very strong at $1.1 billion. 
For the full year, free cash flow increased 11% to more than $3.6 billion. Free cash flow conversion was also very strong at 119% for the fourth quarter and 121% for the full year. 
Turning to each of the segments. Internal revenue growth in the Merchant Acceptance segment was 3% in the quarter, an impressive result given the headwinds faced from economy that was hampered by the pandemic. Our results were once again driven by strong performances in our portfolio SMB clients, supported by our Clover platform, enterprise clients supported by our Carat and another strong quarter from our ISV business. 
For the full year, internal revenue is in line with the prior year. As Frank discussed, our Clover GPV continues to grow very nicely, up 25% in the quarter despite the difficult macroeconomic environment for SMBs. I we feel great about the strength of that portfolio in 2020 and even better about its performance in the months and quarters ahead as we get beyond the pandemic. 
Our integrated payments, or ISV business, continues to perform extremely well with continued strong revenue growth in the quarter. As we discussed at our Investor Day, we recently rolled out Clover Connect, a Clover integrated solution for ISVs. We believe that this solution will further extend our differentiation for ISVs and their merchant customers and continue to drive excellent growth in the future. Adjusted operating income in the aerospace -- in the Acceptance segment increased 8% to $443 million in the quarter. Adjusted operating margin was up 280 basis points in the quarter to 30.7% and increased 150 basis points sequentially. 
On our Q2 earnings call, after reporting our COVID impact at low point for our Acceptance financial results, we said the segment's adjusted operating margin was expected to improve by more than 800 basis points in the second half of 2020 compared to the first half. We're pleased to achieve that with our second half acceptance margin of nearly 1,000 basis points, bringing our full year margin to 25.4%. 
The Fintech segment. Internal revenue declined 1% in the fourth quarter compared to the prior year as growth in high-quality recurring revenue was again offset by much lower periodic revenue, most prominently termination fees. Which created approximately 350 basis points of headwind to internal revenue growth in the quarter. 
For the full year, internal revenue was in line with the prior year. The shift towards digital banking took a strong step forward in 2020 with lockdowns leading consumers and businesses alike to consider new ways of banking, and we continue to see strong demand for a broad array of digital solutions as a result. For example, total mobile subscribers across our leading digital platforms, mobility and architect, grew 15% in the quarter. 
Architect implementations continue at a strong pace. In fact, during the second half of the year, we completed more architect implementations than in all of 2019, an excellent indicator for future growth. 
Fiserv's offerings such as remote data capture, have allowed our FI clients to offer safe, convenient and fast self-service check deposits for their consumer and commercial clients, while improving efficiency in their own results. Mobile deposits in Q4 grew 33% over prior year and were up more than 30% for the full year, while self-service ATM deposits grew more than 50% in both the quarter and full year. 
Adjusted operating income was up a strong 14% in the quarter to $271 million and grew 12% in the full year to $992 million. Adjusted operating margin in the segment increased a robust 590 basis points in the quarter to 36.5% on a combination of growth in processing revenue, operational effectiveness benefits and cost synergies. 
For the year, adjusted operating margin was up an impressive 510 basis points to 34.2%. And as the benefits of growth in processing revenue in our highly scaled business and the combination of both synergy and productivity gains more than offset the impact from lower periodic revenue. 
The payments and network segment saw internal revenue declined 1% in the fourth quarter compared to the prior year as growth in our international issuer, card services and output solutions businesses including the benefit of revenue synergies, was more than offset by COVID-driven impacts elsewhere in this segment. 
Internal revenue for the year was in line with the prior year. Debit transactions continue to show very stable levels of growth in the mid-single-digit range. We've seen this consistent mid- to high-single-digit transaction growth since June. And remain confident that this level is sustainable going forward. 
We continue to see excellent transaction growth in solutions, such as account-to-account and P2P. Zelle transactions in the quarter more than double compared to prior year and were up 18% sequentially. The number of clients live on Zelle has grown significantly this year, nearly tripling our client count compared to a year ago, and we expect continued strong growth in 2021 and beyond. 
Adjusted operating income for the segment was strong, up 5% to $660 million in the quarter, and was up 6% to $2.4 billion for the year. Adjusted operating margin was up 300 basis points to 46.4% in the quarter, was up 280 basis points to 43.3% for the year. The positive impact of both revenue and cost synergies drove our solid adjusted operating income results, both in the quarter and the full year. 
The adjusted corporate operating loss was $87 million in the fourth quarter and $404 million for the full year, a 5% improvement over last year. This improvement was driven by a combination of cost synergies and productivity as well as lower variable compensation, partially offset by incremental COVID costs. 
The adjusted effective tax rate in the quarter was 21.7% and 20.9% for the full year, down slightly from the prior year. For 2021, we expect the full year adjusted effective tax rate fairly consistent with the 2020 rate in the range of 21% to 22%. However, we do expect some variability in the rates by quarter, given different comparison points and the timing of discrete tax items. As such, we expect our Q1 2021 effective tax rate will be higher than Q1 last year. 
As previously communicated, our capital allocation priority for the second half of the year was to focus primarily on debt repayment. We repaid $740 million of debt in the quarter and $1.8 billion in the year. We also repurchased 1.8 million shares of stock for $200 million in the fourth quarter, bringing total capital allocated to share repurchase to $1.6 billion for the full year. We have 65.7 million shares authorized for repurchase as of December 31. 
In rounding out our top capital allocation priorities, as Frank mentioned earlier, in December, we announced the acquisition of the Ondot Systems and closed that acquisition in January. Total debt outstanding was $20.7 billion at December 31 and debt-to-adjusted EBITDA dropped to 3.6x. We are well on track to achieve our targeted leverage in the second half of 2021 as we anticipate both strong adjusted EBITDA growth and some further debt repayment this year. 
As you heard us emphasize throughout our Investor Day in December, we are fully committed to our long-standing capital strategy, which includes maintaining a strong balance sheet, organic investment in innovative solutions and high-value acquisitions like Ondot. Importantly, share repurchase remains our benchmark for capital deployment. 
With that, let me turn the call back to Frank."
128209,701917266,2201005,"Fiserv, Inc., Q4 2020 Earnings Call, Feb 09, 2021",2021-02-09,"Earnings Calls","Fiserv, Inc.","Executives","Thanks, Bob. We expect 2021 internal revenue growth to be 8% to 12% for the full year. This is modestly better at the bottom end of the range than our preliminary outlook we shared at our recent Investor Day. Given our current view of economic conditions,",688,"Thanks, Bob. We expect 2021 internal revenue growth to be 8% to 12% for the full year. This is modestly better at the bottom end of the range than our preliminary outlook we shared at our recent Investor Day. Given our current view of economic conditions, including the second stimulus in late December, and the prospect of a third stimulus package later this quarter, the significant growth rate acceleration relative to 2020 is driven by the multi-pronged impacts of our current expectations for an improving global economy. 
The overall continuing strength in our global merchant Business the cumulative impact of sales and implementation and continued achievement of in-year revenue synergies. We expect 2021 adjusted earnings per share in the range of $5.30 to $5.50, which is above the range we provided at our Investor Day in December. The improvement is driven by the stronger exit rate from 2020 and the benefit of stimulus programs in the U.S. 
We expect adjusted operating margin to expand by at least 250 basis points. And free cash flow conversion will be greater than 108% for the year. Our internal revenue and adjusted EPS growth rate assumptions are grounded in our internal assumptions of when and how the economy will recover from the pandemic in 2021. The midpoint of our guidance generally assumes improvement of the pandemic and increased vaccinations throughout the first half of the year, leading to economic recovery in the second half. There are several factors that we believe will impact the quarterly cadence of the year-over-year growth rates, largely driven by lapping our 2020 performance, which included pre pandemic performance for much of the first quarter, the depth of the impact in Q2 and then the start of improvement in the second half. 
Quarterly results may vary, including rates that may fall outside of the full year guidance range both on the low and high end for a particular quarter. We expect Q1 to be our toughest comparison; and Q2, the most favorable comparison. Then see more normalized comparisons for the second half of the year. 
Throughout this past year, every Fiserv associate was challenged to work differently, to reimagine how we do our jobs to serve our clients, who in turn were learning how to serve their customers. Faced with these challenges, I'm proud of our results. Across a number of measures, 2020 was a successful year. Our client satisfaction scores improved measurably during a time when our clients needed us the most. We saw our employee engagement scores improve even as we executed against a complex integration and through a pandemic. 
We meaningfully increased our synergy targets and accelerated the time to achieve those targets and then regress the integration of First Data to the verge of completion in 2021. And at the end of the day, your company achieved its 35th consecutive year of double-digit adjusted EPS growth. 
Among the most important initiatives your company undertook was the creation of our Forward Together plan to be a force for positive change in our communities. Our Forward Together plan is a 4-part commitment to support and empower underrepresented associates, business owners and not-for-profits. A pillar of our forward together plan, the back-to-business program was launched last summer. 
As part of back-to-business, we committed to invest $10 million to support black and minority-owned business owners and entrepreneurs. We are well into that monetary commitment and are now meaningfully increasing it to $50 million. 
As a further indication of our commitment to continued progress in this important initiative, we recently appointed a senior executive as Head of Corporate Social responsibility to lead these efforts for Fiserv as well as overseas sustainability efforts for the organization. 
Fiserv was once again named a world's most admired company for the eighth consecutive year with excellent scores in people management, social responsibility and a host of other categories. This is well-deserved recognition of the more than 40,000 hard-working and caring Fiserv associates around the world. I will close by thanking all of them. For working relentlessly to serve our clients and you, our shareholders. 
With that, operator, let's open the line for questions."
128209,701917266,2201005,"Fiserv, Inc., Q4 2020 Earnings Call, Feb 09, 2021",2021-02-09,"Earnings Calls","Fiserv, Inc.","Operator","[Operator Instructions] Our first question is from Lisa Ellis from MoffettNathanson.",11,"[Operator Instructions] Our first question is from Lisa Ellis from MoffettNathanson."
128209,701917266,2201005,"Fiserv, Inc., Q4 2020 Earnings Call, Feb 09, 2021",2021-02-09,"Earnings Calls","Fiserv, Inc.","Analysts","First question for me is on Carat. You called out 46 new enterprise wins in Merchant Acceptance this quarter. Can you describe how the launch of Carat is improving your value proposition in the enterprise space? And maybe give some color on some of the cu",52,"First question for me is on Carat. You called out 46 new enterprise wins in Merchant Acceptance this quarter. Can you describe how the launch of Carat is improving your value proposition in the enterprise space? And maybe give some color on some of the customer feedback you're getting on that offering?"
128209,701917266,2201005,"Fiserv, Inc., Q4 2020 Earnings Call, Feb 09, 2021",2021-02-09,"Earnings Calls","Fiserv, Inc.","Executives","Well, I think the strategic point around on Carat is that we've integrated for ease of access globally so although it could be utilized in many currencies in many countries, its multinational capabilities is resonating very, very well in the client's offi",150,"Well, I think the strategic point around on Carat is that we've integrated for ease of access globally so although it could be utilized in many currencies in many countries, its multinational capabilities is resonating very, very well in the client's office. And that ease of access, its ability to optimize acceptance is really what's driving a very high win rate there. And the engineering underneath it was bringing to a single platform, a single instance and ability to execute globally. 
And as you've heard us talk about through the course of the year, the hundreds of wins that we've had institutionally and those are in active, big names that are leaning into the commerce and economy. So it's resonated very well in the client's office, a lot of work done by the team to build it out and get it to be the platform that's winning in the market."
128209,701917266,2201005,"Fiserv, Inc., Q4 2020 Earnings Call, Feb 09, 2021",2021-02-09,"Earnings Calls","Fiserv, Inc.","Analysts","Good stuff. My follow-up quick one is for Bob. Could you just give a little color on the segment level outlooks for 2021? And also what type of transaction growth or unit growth you're anticipating or is embedded in your outlook?",41,"Good stuff. My follow-up quick one is for Bob. Could you just give a little color on the segment level outlooks for 2021? And also what type of transaction growth or unit growth you're anticipating or is embedded in your outlook?"
128209,701917266,2201005,"Fiserv, Inc., Q4 2020 Earnings Call, Feb 09, 2021",2021-02-09,"Earnings Calls","Fiserv, Inc.","Executives","Sure, Lisa. We don't give specific guidance by our individual segments, but let me try to give you a little bit of color to get you kind of directionally. Obviously, if you look at our Merchant Acceptance segment represents about 40% of the overall compan",778,"Sure, Lisa. We don't give specific guidance by our individual segments, but let me try to give you a little bit of color to get you kind of directionally. Obviously, if you look at our Merchant Acceptance segment represents about 40% of the overall company revenue. We had given during Investor Day an expectation of mid-term or medium-term growth of about 9% to 12%. And we certainly expect in 2021 to be above even the high end of that. As we rebound/recover from what has certainly been a pretty difficult year and in particular, in second quarter of 2020. 
Frank laid out a little bit of some of the key assumptions that we've got in our overall revenue and EPS growth for that matter. And it certainly plays a key part in the improvement, accelerated growth in the merchant segment, things like having a large number of folks vaccinated, seeing some of the restrictions that are in place, particularly in Europe, but even across the United States being lifted and seeing a recovery -- a general economic recovery in the second half of the year. 
If you look at the Fintech segment, very much impacted this year by periodic revenue. We've seen that really across the year, in particular, in the second half of the year, but even a little bit in the first half and overall impact this year. 
As we look to 2021, we see some of that persisting in Q1 and a bit into the second quarter, but by the time we get to the second half of the year, we see that headwind subsiding such that we would expect the Fintech segment, which has medium-term outlook of about 4% to 6% to be in that range for the full year 2021. And we're not counting on a recovery or a rebound of periodic revenue termination fees. It's really that we lap the pretty significant decline we've had over the last several quarters, and it doesn't continue. And so we'll see benefit really in the second half of 2021. 
And then the final segment, the Payments segment, again, about the other 40% of the overall company. Medium-term guidance here was 5% to 8%. I would expect this segment to probably be at the upper end of that range in 2021. And as we see transaction growth improve kind of post-COVID, in particular, in our bill pay business, some of our prepaids. And of course, as you know, we have a leading position in retail private label. And as those retailers improve, again, particularly in the second half of the year, we'll see some improvement. 
And of course, you certainly heard us talk about some very significant wins in our issuer processing business in this segment. The very large ones that we talked about during the last earnings call really won't provide much lift in 2021. But there are quite a few below those top 3. It don't take quite as long to implement, and you'll see some of those come on into 2021, and again, provides some nice growth into that business into that segment. And the last driver of that business, I'd probably point to is Zelle. 
As I mentioned on my prepared remarks, nearly a tripling number of FIs on Zelle through Fiserv and not only do we see that continuing to grow, but also more and more consumers choosing a bank-centric P2P network and seeing more transaction volume. So that gives us some confidence that we'll be kind of in the upper end of the mid-term range of 5% to 8%. 
And the last thing I'd point, Lisa, is we're going to see some probably unique variation in the growth rates by quarter. Again, Frank talked a little bit about this in his prepared remarks. Q1, as you recall, in 2020, was essentially COVID-free for, call it, roughly 10 of the 13 weeks of the first quarter. And we had, had a very strong first quarter until COVID hit really at the latter part of March. And obviously, very significantly in so I would expect Q1 to not only be our lowest point in the quarter in terms of growth rate year-over-year, but actually probably be below the guidance range with a rebound and the opposite take place in the second quarter when you have much easier comps, will be on the -- above the upper end of our guidance range, such that by the time we exit the first half of the year, we're trading in that -- within the overall internal revenue growth and EPS guidance range on the first half basis and be set nicely for the second half."
