"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
33174798,700851977,2188784,"Fortune Brands Home & Security, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","Fortune Brands Innovations, Inc.","Operator","Good afternoon. My name is Jason, and I will be your conference operator today. At this time, I would like to welcome everyone to the Fortune Brands' Fourth Quarter 2020 Earnings Conference Call. [Operator Instructions] I would now like to turn the call o",62,"Good afternoon. My name is Jason, and I will be your conference operator today. At this time, I would like to welcome everyone to the Fortune Brands' Fourth Quarter 2020 Earnings Conference Call. [Operator Instructions] I would now like to turn the call over to Mr. Brian Lantz, Senior Vice President of Communications and Corporate Administration. You may begin your conference call."
33174798,700851977,2188784,"Fortune Brands Home & Security, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","Fortune Brands Innovations, Inc.","Executives","Good afternoon, everyone, and welcome to the Fortune Brands Home and Security Fourth Quarter and Full Year 2020 Investor Conference call and webcast. Hopefully, everyone has had a chance to review the news release issued earlier the news release and the a",239,"Good afternoon, everyone, and welcome to the Fortune Brands Home and Security Fourth Quarter and Full Year 2020 Investor Conference call and webcast. Hopefully, everyone has had a chance to review the news release issued earlier the news release and the audio replay of the webcast of this call can be found in the Investors section of our fbhs.com website. 
I want to remind everyone that the forward-looking statements we make on the call today either in our prepared remarks or in the associated question-and-answer session, are based on current expectations and a market outlook and are subject to certain risks and uncertainties that may cause actual results to differ materially from those currently anticipated. These risks are detailed in our various filings with the SEC, such as our annual report and our Form 10-K. The company does not undertake any obligation to update or revise any forward-looking statements, which speak only to the time at which they are made. Any references to operating profit or margin, earnings per share or cash flow on today's call will focus on our results on a before charges and gains basis unless otherwise specified. 
With me on the call today are Nick Fink, our Chief Executive Officer; and Pat Hallinan, our Chief Financial Officer. Following our prepared remarks, we have allowed time to address some questions that you may have. I will now turn the call over to Nick for his remarks."
33174798,700851977,2188784,"Fortune Brands Home & Security, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","Fortune Brands Innovations, Inc.","Executives","Thank you, Brian, and thank you to everyone for joining us on the call today. I hope that you and your loved ones are all staying safe. I could not be prouder of what we achieved in 2020. Our strong fourth quarter results capped a remarkable full year per",2544,"Thank you, Brian, and thank you to everyone for joining us on the call today. I hope that you and your loved ones are all staying safe. I could not be prouder of what we achieved in 2020. Our strong fourth quarter results capped a remarkable full year performance by our teams. Facing unprecedented challenges, we drove market-beating growth and delivered on our margin expansion strategy ahead of schedule. 
During the year, we deployed over $1 billion in capital towards M&A, share buybacks and dividends, generated excellent free cash flow and exited the year with attractive leverage. And amidst all of this activity, our teams worked tirelessly to keep consumers and customers supplied while maintaining industry-leading safety performance and has truly been an extraordinary year. All of our businesses saw impressive double-digit growth in the quarter. And we drove margin improvement in each segment by delivering against strong demand for our leading brands and leveraging our efficiency programs. 
Importantly, this past year, we also made critical long-term investments in our brands, innovation, Fortune Brands' core capabilities and supply chain capacity that will enable us to capture future opportunities and accelerate our share gains. 
Over the last 8 quarters, we have shown that we can deliver results and create value for our stakeholders in a variety of market conditions. We are positioned to capture growth as the market accelerates, and are structured to tightly manage our P&L in times of slower expansion. With the initiatives that we've undertaken, the investments that we have made, and momentum that we are seeing, we expect even stronger sales and profit growth as we enter 2021. 
Looking forward, we are in the early stages of a long-term expansion of U.S. housing. As has been widely noted, the extent to which U.S. housing has been underbuilt is several multiples greater than the of the mid-2000s. And yet, new construction starts are far short of their peak and only now reaching historic averages. Low supply and high demand, coupled with favorable demographics and low interest rates have unleashed delayed momentum into our marketplace. Given the long inventory of housing, this momentum impacts both new construction, and repair and remodel activity as the aging housing supply requires renovation. Given supply side constraints, we expect this momentum to play out over several years. 
Turning to 2021. We are well positioned to take advantage of this expanding housing market. We've done a lot to replatform the business to be even more efficient and agile and will continue to do more in the year ahead. While economic and pandemic uncertainties still exist, we will stay flexible and nimble and manage the business very tightly. We expect to capture increasing opportunities in this market and have scenario planned for challenges that could arise. 
The last 8 quarters have demonstrated that we can excel in playing offense and defense and can deliver for shareholders in a variety of market environments. We are well positioned and are very excited for the year ahead. 
I want to thank all of our dedicated team members who continue to work so hard to keep our people safe and our facilities operating. I am so proud of our teams, who are not only caring for each other, but who are doing so while serving strong demand for home products. Our people are the foundation upon which our business is built, and they drove our outstanding results in 2020. 
Turning to the remainder of our remarks today. First, I will discuss what we're seeing in the Home Products market. I will then highlight key takeaways from our fourth quarter and full year results as well as discuss our key initiatives and how we expect to evolve over term. And then Pat will provide highlights on our financial results, balance sheet strength and liquidity, as well as our thoughts around our future financial performance expectations for 2021. 
Now turning to our view on the housing market. As I've mentioned, long-term fundamentals continue to be very favorable for housing and home products. U.S. housing is currently substantially underbuilt, and we are uniquely positioned with our brands and channels to take advantage of the tailwind of long-term housing activity. Additionally, the key millennial generation has accelerated their delayed move towards household formation and are showing increased interest in homeownership. Pandemic or no epidemic, this generation's move towards household formation had to happen as they form families who we simply lack the housing stock to support it. Moreover, increased workplace flexibility has allowed many younger homeowners to leverage technology, aligned for larger homes further from urban course. Multifunctional spaces within the home as well as increased trends towards entertaining at home and outdoor living are accelerating new home buying and remodeling. 
New construction activity has remained strong since the latter half of 2019, except during a brief COVID shutdown driven by very favorable demographics, low inventory and attractive mortgage rates, and is showing no signs of slowing down. The strength of our new construction channel gives us exposure to excellent growth as builders work to meet the significant demand. Repair and remodel activity remains very strong as consumers continue their focus on home improvement and spending to refurbish older homes. With demand for homes outpacing supply, older inventory is being purchased, leading to significant R&R projects as homes are modernized. Additionally, with home values on the rise, as well as homeowner balance sheet strength, and home equity levels at or near all-time highs, we expect robust on our activity through 2021 and beyond. We believe our advantage mix of exposure to the stable repair and remodel market, combined with the torque of a strong new construction market gives us an unparalleled opportunity to add long-term value for our stakeholders. 
Given current market fundamentals, including very favorable demographics, low inventory and an aged housing stock, we see a very positive multiyear tailwind powering the U.S. housing market to consistent mid-single-digit R&R growth and high single-digit single-family new construction growth, which could be even higher in the near term. Consistent with our long history, we intend to outperform any market conditions that materialize. 
As we have demonstrated over the last 2 years, our ability to capture the upside afforded by new construction exposure, as well as effectively manage periods of softer demand and for when market conditions change, uniquely positions us to drive both growth and margins with a portfolio of leading brands and advantaged channel positions. 
With that market backdrop, some thoughts on the recent quarter. For the fourth quarter, our total sales increased approximately 13% over last year, and operating margin increased to 14.8%. This performance was the result of exceptional operational execution in a strong market, while our teams continue to serve robust demand. We drove solid margin improvement as we saw the continued benefit of our efficiency programs implemented in early 2020.  Consistent with our strategy, our fuel for growth program allowed us to invest heavily in key growth initiatives, including the Moen brand, innovation, decking capacity and distribution rollout, and value-priced cabinetry capacity. We also continue to invest in replatforming our business through advantaged Fortune Brands' common core competencies, including complexity reduction, category management and global supply chain management. We are accelerating investments in our most critical priorities as we position for continued growth in 2021 and for the longer term. 
Importantly, these cost company initiatives to drive long-term growth and margin improvement as well as to free up additional funds for investment in our key priorities are ahead of schedule as reflected in our 2020 results, and will continue to compound in 2021 and beyond. We will continue to drive a common set of capabilities to fuel growth and drive margin expansion. 
Now let me turn to our individual businesses, and how we are positioning to be even stronger long term. Starting with Plumbing. Our Global Plumbing Group continued to outperform the global and U.S. markets, with sales up mid-teens in the quarter, had operating margins of 21.8%. We experienced strong double-digit sales growth across all brands, channels and regions. Plumbing investments in marketing and innovation continue to fuel remarkable results. Our Global Plumbing Group's ability to pursue growth in both core and adjacencies is creating new opportunities for this business to continue producing market-leading growth. Our sustained investment in brand, newer channels such as e-commerce as well as an on-trend innovation sets GPG up for continued long-term success. 
We also achieved solid growth in China during the fourth quarter. Moen continues to outperform its market through channel and category expansion, driving excellent leverage to the bottom line. In China, housing continues to be an important overall component of economic growth and the Chinese economy. 
Turning to Outdoors & Security. Sales increased double digits and operating margin increased by 90 basis points to 15.8%. These exceptional results were driven by double-digit decking and doors growth a return to growth in security and strong segment operating performance. Importantly, our Fiberon decking brand continued to grow in excess of 30%, and notwithstanding the lapping of product load-ins ahead of distribution gains in Q4 of 2019. Decking momentum continues to benefit from our distribution wins and execution as we position the brand for long-term growth in a market fueled by trends in housing, outdoor living and long-term material conversion from wood to higher-performing eco-friendly recycled materials. 
The pandemic has accelerated consumers' focus on outdoor living, and we are seeing continued strong demand for our products. Our distribution wins and capacity expansion plans remain on track. We had incremental capacity come online in the fourth quarter and will expand further at multiple points in time throughout 2021. 
To further capture the momentum in outdoor living and leverage opportunities as the market leader in exterior door products, we added LARSON to our Outdoors and Security business. LARSON is the market leader in and security doors, and is a perfect fit with our exterior door products and outdoor living portfolio of leading brands. It is a high-performing business with a phenomenal team and best-in-class products and customer relationships. We're off to a great start with LARSON and are excited to accelerate value creation with advantage to Fortune Brands' core competencies in synergistic portfolio. 
Sales in our legacy Doors brands experienced strong double-digit growth in the quarter, including robust demand in retail POS and increased wholesale activity from distribution wins. The synergies and scale emerging from our shared wholesale distribution for doors and decking has been particularly advantageous to 2020 share gains. 
Turning to Security. Sales returned to growth with retail producing double-digit growth and commercial markets remain soft as the sales channel remained largely closed. We are continuing to innovate in our security product lines with touchless and connected products for residential and commercial applications and feel good about the progress that the business is making under its new leadership. 
Finally, turning to Cabinets. Our cabinets team again delivered excellent performance in the quarter. Sales increased low double digits with growth across product lines at all price points, and operating margin expanded 150 basis points over last year to 11.6%. This past year, the business has demonstrated how our pivot plan has worked, producing outperformance across vastly different market environments and in extremely challenging conditions. After more than 2 years of aggressive repositioning, this business is now squarely centered on the heart of the market and has proven it can achieve and sustain share gains with leverage through the P&L, producing higher margins. The make-to-order market has returned to solid growth with the stabilization of imports and the rise in home sales and remodeling activity. The streamlining of our make-to-order business is now delivering, and we are being rewarded with incremental business from our vantage dealer network. We continue to further optimize the supply chain to prepare for growth at higher margins over the next few years. 
Regarding our value price point cabinets, we continue to gain share from both domestic players and from the absence of Chinese suppliers, who've exited the market over the past few months or who've been replaced to a lesser extent, with other importers with higher costs and longer lead times. Our advantage low-cost country supply chain is competing and winning against domestic competitors and higher costing imports. Our Cabinets team has succeeded in repositioning products to win in the market and has improved the cost structure of the business. More opportunities lie ahead, and the team is pursuing it with the same aggressiveness and tenacity demonstrated over the last few years. We are well on our journey to drive our Cabinets business to our long-term goal of mid-teens margins. 
In summary, 2020 was an unprecedented year that has reshaped many facets of our society. And also shown a bright light on the value of the home and the role it plays in people's lives. We're proud to work towards our purpose of fulfilling dreams of home, now more than ever. Combined with attractive demographics, strong demand and lower supply of homes, we expect a long-term multiyear tailwind for housing. With our excellent teams, leading brands, strong channel positions and powerful balance sheet, we are perfectly positioned to continue to drive accelerated value creation for our stakeholders. 
As we continue to outperform the strong home products market, we are accelerating our journey to improve operating margins and are ahead of schedule. While the immediate economic outlook and pandemic environment remain uncertain, and supply chains and cost inflation may introduce some volatility, we have proven our ability to perform in a variety of market conditions. We will continue to operate the business with focus and agility while investing in key strategic initiatives to deliver excellent long-term results for stakeholders. Our teams yet again delivered excellent results in a challenging environment. We remain focused on keeping our people safe and serving our customers. We're investing for the long-term and continue to demonstrate that this business model and management team have multiple pods to increasing growth and profitability. We're excited to be in the early innings of a multiyear expansion in U.S. housing. While we are far from prior peaks and housing activity, our business has grown stronger and has more scale than at any prior time in its history. As the market expands to full the much-needed demand for U.S. housing, we expect to scale with demand and continue to take share, consistent with our track record. Our portfolio of products is targeted at the heart of the market is more innovative and has broader channel exposure than ever. Combined with our own actions to continuously improve the business and our proven resilience, we are uniquely positioned to capture the upside of this multiyear expansion, while managing any volatility that may come our way. 
Our 2021 outlook, which Pat will speak to in greater detail, reflects the strength of our business, with robust growth translated to excellent profit leverage, while we continue to invest for the long term. We expect to continue to outperform our markets in 2021 and beyond. 
In addition, our balance sheet is strong and positions us to continue to drive incremental value creation. We are excited for our world-class brands and people can accomplish. With that, I will turn the call over to Pat, who will speak to our financial results. Pat?"
33174798,700851977,2188784,"Fortune Brands Home & Security, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","Fortune Brands Innovations, Inc.","Executives","Thanks, Nick. And as a reminder, the majority of my comments will focus on income before charges and gains in order to best reflect ongoing business performance. Let me start with our fourth quarter results. Sales were $1.66 billion, up 13% from a year",1680,"Thanks, Nick. And as a reminder, the majority of my comments will focus on income before charges and gains in order to best reflect ongoing business performance. 
Let me start with our fourth quarter results. Sales were $1.66 billion, up 13% from a year ago. Consolidated operating income for the quarter was $246 million, up 19% or $40 million compared to the same quarter last year. Total company operating margin was 14.8%, up 70 basis points over the same quarter last year. EPS were $1.25 for the quarter, up 25% versus $1 for the same quarter last year. Our associates focused on safety and on serving our customers during challenging circumstances made these remarkable results possible. Our teams used the circumstances of 2020 to enhance focus, improving share competitiveness and cost efficiency, driving 2020 growth and accelerating our margin improvement trajectory, providing an excellent 2021 setup. 
Our Advantage business model with leading brands and channel positions allowed us to navigate 2020's uncertainties to outperform the markets in which we operate. 
Now let me provide more color on segment results, beginning with Plumbing. Sales for the fourth quarter were $638 million, up $89 million or 16% or up 15% adjusting for FX. Fourth quarter growth was strong double digits across all major products, channels and geographies. Full year 2020 sales were up almost 9% versus 2019. Plumbing operating income increased 17% to $139 million for the current quarter. Operating income for the full year was $490 million, an increase of 12% over 2019. Operating margin for the quarter was 21.8% and over 22% for the full year. Our Global Plumbing Group concluded its fifth straight year of strong growth and margin performance. Our strategies are clearly working, and we expect another strong year for Plumbing in 2021. 
Now turning to Outdoors and Security. Sales for the fourth quarter were $367 million, up $35 million or 11%, driven by double-digit growth in Doors and Decking, and a return to growth in Security. Full year 2020 sales were $1.4 billion, an increase of over 5% versus the prior year. We expect all product categories to drive 2021 growth, with particular strength continuing in Doors and Decking. Door sales were up double digits in the fourth quarter, driven by strong retail POS and accelerating single-family new construction. We expect sales growth to continue in 2021 as both retail and new construction remains strong. 
Decking sales were up strong double digits in the quarter as our distribution gains achieved new performance levels. We added incremental capacity during the quarter and more capacity will come online in 2021. The secular trends favoring composite decking remain as strong as ever. 
Security sales returned to growth in the quarter with retail products growing double digits, while commercial products and markets remained soft due to COVID 19. 
Outdoors and Securities segment operating income was $58 million during the quarter, up 17% over the same quarter last year, driven by operating improvement in Doors and Decking. Operating income for the full year was $205 million, an increase of approximately 16% versus 2019. Segment operating margin for Outdoors and Security increased 90 basis points for the quarter, over last year to 15.8% and was 14.5% for the full year, up 130 basis points versus 2019. 
Turning to cabinets. Sales for the fourth quarter were $656 million, an increase of 11% over the same quarter in 2019. Full year 2020 sales were $2.5 billion, up 3.4%. We continue to experience strong growth of value-priced products and sales of higher-priced make-to-order products returned to growth this quarter, a positive signal for big ticket R&R and reflective of the stabilization of imports and consumers' increased desire and ability to invest in their homes. Operating income in the fourth quarter was $76 million, up 27% or $16 million versus the prior year, and full year operating income was $256 million, up 11% or $26 million versus 2019. Operating margin for the quarter was 11.6% and 10.4% for the full year, up 150 and 70 basis points, respectively, versus the same period a year ago. Full year Cabinet's margin performance was very strong, given big ticket R&R, inclusive of Cabinets, experienced the most severe demand and operating impacts during the second quarter COVID shutdown. We are very pleased with Cabinet's second half margin performance of 11.9% and strong year-end exit rate. We expect Cabinets' operating margin improvement to continue in 2021, as we build on our efforts in 2020 to further enact operational efficiencies and aggressively leverage our market-leading growth. 
For FBHS as a whole, to sum up our full year consolidated 2020 performance, sales increased approximately 6% to over $6 billion for the first time ever as a public company. EPS grew over 16% to $4.19, demonstrating our ability to deliver growth and margin improvement by outperforming the markets in which we operate in an increasingly efficient manner. Our total company operating margin was up 80 basis points to 14.1%, ahead of our full year 2020 plan. 
Free cash flow was $742 million, reflecting a conversion rate of 126%. 2021 profit growth will benefit from the efficiency programs initiated in 2020 and the continuation of a strong U.S. housing market. This will result in positive operating leverage across the company as we continue to enact Fortune Brands' core capabilities across the portfolio. 
Before turning to the balance sheet, I want to take a moment to provide perspective on expected signs of material and cost inflation in the face of current elevated demand and amid a backdrop of a fundamentally strong housing market. We continue to deploy a multitude of tools to mitigate or offset inflation within our business. We do this through continuous cost improvement within our operations, having enacted major improvements just within the past year. We also employ cost-sharing with suppliers where appropriate and continuously look for ways to add flexibility and durability to our global supply chain.  Finally, when necessary, we act via pricing. Through this combination of actions, we expect to navigate 2021 inflation and achieve our margin improvement objectives. We will mitigate, offset and overcome inflationary headwinds and and deliver our goals of market beating growth and continued margin expansion. 
Turning to the balance sheet. Our balance sheet remains strong, with cash of $419 million, net debt of $2.2 billion and our net-debt-to-EBITDA leverage ended the year at 2.1x or slightly below 2x on a pro forma basis, inclusive of LARSON EBITDA. We now have $865 million of total liquidity available between our $1.25 billion revolver and supplemental $400 million revolver. We have the ability to make investments and deploy capital to accelerate growth and shareholder value creation and are assessing opportunities to do so. We will also look to continue to return capital to shareholders through targeted buybacks and our dividend. 
Turning to the details of our outlook for 2021. Based on the global market for our products growing 5% to 7%, with the U.S. housing market also growing 5% to 7%, and within this market forecast, we expect U.S. new construction growth of 10% to 12% and U.S. R&R growth of 4% to 6%. Based on those assumptions, we expect 2021 full year sales growth of 12.5% to 14.5% or 5.5% to 7.5%, excluding LARSON. We expect full year EPS within the range of $4.85 to $5.05 on a before-charges and gains basis, of which the implied midpoint equates to 18% EPS growth versus 2020. 
Specifically, our outlook for each business as it relates to our overall plan. Plumbing net sales growth of 7% to 9%, with operating margins of 22 plus percent. Outdoors and Security net sales growth of 35% to 37% or 5% to 7% ex-LARSON, with segment operating margins of 14% to 15%, or approximately 15% to 16%, adjusting for purchase accounting and onetime integration expenses. Cabinets net sales growth of 5% to 7% with operating margins of 11% to 12%. 
We expect 2021 free cash flow of approximately $600 million to $650 million, which includes the accelerated investments in capacity and inventory to drive growth across all of our segments. We anticipate a cash conversion rate between 85% and 95%. 
The annual EPS outlook includes the following assumptions: corporate expenses of about $92 million to $93 million; interest expense of approximately $82 million to $86 million; a tax rate between 24.5% and 25%; average fully diluted shares of approximately $140 million to $141 million. 
To summarize, we have put together a 2021 plan that provides solid sales and excellent EPS growth, while we continue to accelerate investments in brand, innovation and Advantage Fortune Brands capabilities. Potential exists for upside to our plan and guidance if some combination of the following occurs. Labor is available to address in full the strong expected U.S. new construction and big ticket R&R demand; if U.S. R&R growth improves beyond the 4% to 6% assumed in our plan; government stimulus increases materially beyond programs currently in place without impacting interest rates. Better insight to these opportunities will unfold during the first half. As this occurs and as merited, we will refine our guidance accordingly. We expect a long runway of fundamental U.S. housing growth to result in prolonged market strength for our products. With market growth averaging 5-plus percent per year over the next few years, assuming the current level of unemployment continues to stabilize, and improves, we expect our sales to continue outperforming the market and our margin progression to remain accelerated, averaging improvement above 50 basis points in 2021 in each of the next 2 to 3 years. 
Our balance sheet strength supports capital deployment and while we delivered over $1 billion in M&A, share repurchases and dividends in 2020, we are still advantageously positioned to assess further opportunities to deploy capital. We see multiple paths to value creation to execute for our shareholders, and our company has never been better positioned to capture these opportunities. 
Our teams remain committed to driving market-leading sales performance and continued operating margin improvement. 
I will now pass the call back to Brian to open the call up for questions. Brian?"
33174798,700851977,2188784,"Fortune Brands Home & Security, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","Fortune Brands Innovations, Inc.","Executives","Thanks, Pat. That concludes our prepared remarks on the fourth quarter and for the full year. We will now begin taking a limited number of questions. And since there are a number of you who'd like to ask a question, I will ask that you limit your initial",77,"Thanks, Pat. That concludes our prepared remarks on the fourth quarter and for the full year. We will now begin taking a limited number of questions. And since there are a number of you who'd like to ask a question, I will ask that you limit your initial questions to 2 and then reenter the queue to ask additional questions. I will now turn the call back over to the operator to begin the question-and-answer session. Operator?"
33174798,700851977,2188784,"Fortune Brands Home & Security, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","Fortune Brands Innovations, Inc.","Operator","[Operator Instructions] Your first question comes from the line of Susan Maklari from Goldman Sachs.",15,"[Operator Instructions] Your first question comes from the line of Susan Maklari from Goldman Sachs."
33174798,700851977,2188784,"Fortune Brands Home & Security, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","Fortune Brands Innovations, Inc.","Analysts","Congratulations, everybody, on a great quarter and a great year. My first question is kind of looking at the 2021 guide, I know, historically, you've talked to an incremental margin of about  20% to 30%. And it seems like the midpoint of the revenue guide",132,"Congratulations, everybody, on a great quarter and a great year. My first question is kind of looking at the 2021 guide, I know, historically, you've talked to an incremental margin of about  20% to 30%. And it seems like the midpoint of the revenue guide for this year implies something that's kind of at the lower end of that range in terms of the incrementals. And Pat, I know that you laid out some of the factors that you're kind of thinking about that could impact where you end up for this year, but can you kind of outline for us maybe some of the things that could take you to the higher end of that 20% or 30% range? And how you're thinking about that across each of the different segments?"
33174798,700851977,2188784,"Fortune Brands Home & Security, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","Fortune Brands Innovations, Inc.","Executives","Yes. In terms of margin overall, so I'd start with, we remain committed to getting the total business above 15%, which is the target we've had for a while. And on an organic basis, next year, we'll be very much approaching that. We should be at 15% or ver",244,"Yes. In terms of margin overall, so I'd start with, we remain committed to getting the total business above 15%, which is the target we've had for a while. And on an organic basis, next year, we'll be very much approaching that. We should be at 15% or very close to it on an organic basis by the end of next year, which means on an organic basis, we'll be driving  70 to 80 basis points of margin improvement, if not more, and be on the higher side of that incremental margin. We do, as we fold LARSON into the business, we have some purchase accounting and some integration costs. So our reported margin might be closer to 14.5% for the year. But we expect over '20 and '21 combined to achieve 150 basis points of total margin improvement we've been talking about for a while. And as we get through '21 to be driving for the next 2 to 3 years, 50-plus basis points for each of the following years after that. And so very much on track, if not ahead of track, with where we were at the Investor Day, we had held all the way back in February '19, despite multiple tariff waves and a pandemic. So we feel good about the margin trajectory. And I think, Sue, as we continue to drive market-beating growth and manage our SG&A tightly, we could stay on the higher side of that leverage range."
33174798,700851977,2188784,"Fortune Brands Home & Security, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","Fortune Brands Innovations, Inc.","Executives","This is Nick. I'll just add that if you step back a little bit, we set out as a team to really accelerate the flywheel within the business. So investing in core capabilities across the entire platform to generate fuel for growth with the intention that a",189,"This is Nick. I'll just add that if you step back a little bit, we set out as a team to really accelerate the flywheel within the business. So investing in core capabilities across the entire platform to generate fuel for growth with the intention that a portion of that would be seen through margin accretion, and a portion of that would be generated to incrementally invest in the business to drive more top line. And once the pandemic hit, we really used it as a platform to accelerate our plans and are delighted with how we've emerged. 
Basically, probably about a year ahead of schedule from where we thought we were. But having made far more incremental investments in the business in 2020 than I think we would have expected at the outset of the year, with plans to continue that in '21 and beyond. And so this flywheel really is is working now. And you'll see it through our organic margin, as Pat described, but also through our investment profile as we continue to invest in brand, in innovation, in capacity and in capability in the business."
33174798,700851977,2188784,"Fortune Brands Home & Security, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","Fortune Brands Innovations, Inc.","Analysts","Okay. That's helpful. And I guess when we do think about the out years then and that 50 basis points or so of margin expansion that you expect each year. You talked a lot about how it seems like housing is structurally kind of operating at a higher level.",114,"Okay. That's helpful. And I guess when we do think about the out years then and that 50 basis points or so of margin expansion that you expect each year. You talked a lot about how it seems like housing is structurally kind of operating at a higher level. And you've obviously done a lot of work to really position the business to capture that growth. Do you think that 50 basis points could that rerate higher? What would you need to see to really capture more of that on an annualized basis? And what kind of concerns you, maybe as you look out? And what could kind of hold things back a bit?"
