"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
274715,705555356,2241693,"General Mills, Inc., Q3 2021 Earnings Call, Mar 24, 2021",2021-03-24,"Earnings Calls","General Mills, Inc.","Operator","Greetings, and welcome to the fiscal 2021 Q3 earnings call. [Operator Instructions] As a reminder, this conference is being recorded Wednesday, March 24, 2021. I would now like to turn the conference over to Jeff Siemon, VP of Investor Relations. Please g",43,"Greetings, and welcome to the fiscal 2021 Q3 earnings call. [Operator Instructions] As a reminder, this conference is being recorded Wednesday, March 24, 2021. I would now like to turn the conference over to Jeff Siemon, VP of Investor Relations. Please go ahead."
274715,705555356,2241693,"General Mills, Inc., Q3 2021 Earnings Call, Mar 24, 2021",2021-03-24,"Earnings Calls","General Mills, Inc.","Executives","Thanks, Jennifer, and good morning to everyone. On behalf of my colleagues at General Mills, thanks for joining us. We are looking forward to have our live Q&A session on our third quarter results. I hope everyone had a chance to review our press release,",265,"Thanks, Jennifer, and good morning to everyone. On behalf of my colleagues at General Mills, thanks for joining us. We are looking forward to have our live Q&A session on our third quarter results. I hope everyone had a chance to review our press release, listen to our prepared remarks and view our presentation materials, which are made available this morning on our Investor Relations site. Also refer to the press release we issued yesterday announcing our proposed sale of our European Yoplait operations to Sodiaal. I'll just note that in regard to that transaction, we have a memorandum of understanding and that is still subject to appropriate labor consultations, regulatory filings and other customary closing conditions, and we expect to close that proposed transaction by the end of the calendar year. 
Furthermore, it's important to note that in our Q&A session today, we may make forward-looking statements that are based on management's current views and assumptions, including facts and assumptions related to the potential impact of the COVID-19 pandemic on our results in fiscal '21. Please refer to this morning's press release for factors that could impact our forward-looking statements and for reconciliations of non-GAAP information, which may be discussed on today's call. 
I'm here virtually with Jeff Harmening, our Chairman and CEO; Kofi Bruce, our CFO; Bethany Quam, Group President for our Pet segment; and John Nudi, President for North America Retail. We're holding this call from different locations so hopefully, technology cooperates and everything goes smoothly. And with that, we can get into the first question. Jennifer, you can get us started."
274715,705555356,2241693,"General Mills, Inc., Q3 2021 Earnings Call, Mar 24, 2021",2021-03-24,"Earnings Calls","General Mills, Inc.","Operator","[Operator Instructions] Our first question comes from the line of Andrew Lazar with Barclays.",14,"[Operator Instructions] Our first question comes from the line of Andrew Lazar with Barclays."
274715,705555356,2241693,"General Mills, Inc., Q3 2021 Earnings Call, Mar 24, 2021",2021-03-24,"Earnings Calls","General Mills, Inc.","Analysts","Great. I think I'd like to stick with the 2-year growth CAGR methodology that you kind of laid out and discussed in the prepared remarks. Thinking about it that way would imply fiscal 4Q organic sales growth that would look to be roughly in line with what",139,"Great. I think I'd like to stick with the 2-year growth CAGR methodology that you kind of laid out and discussed in the prepared remarks. Thinking about it that way would imply fiscal 4Q organic sales growth that would look to be roughly in line with what you reported in fiscal 3Q, again, on a 2-year basis. And I realize some of this is likely a bit of a shift of inventory refill from -- that you expected in 3Q into 4Q, but it would seem to suggest you believe sales growth -- the sales growth deceleration as reopening occurs is likely to be maybe slower than many currently expect. So I'm just trying to get a sense if that's a fair characterization of your thinking at this juncture. And if it is, sort of what's informing that viewpoint?"
274715,705555356,2241693,"General Mills, Inc., Q3 2021 Earnings Call, Mar 24, 2021",2021-03-24,"Earnings Calls","General Mills, Inc.","Executives","Yes. Thank you, Andrew. This is Jeff Harmening. You have that exactly right. I mean, as we look at the third quarter of this year, demand was high all over the world, including the U.S., fueled by clearly the pandemic as well as stimulus spending and in a",365,"Yes. Thank you, Andrew. This is Jeff Harmening. You have that exactly right. I mean, as we look at the third quarter of this year, demand was high all over the world, including the U.S., fueled by clearly the pandemic as well as stimulus spending and in addition to that, some weather-related events. As we look at Q4, we really believe that our sales, both in terms of pounds and pricing, is going to be higher than it was pre pandemic. And we're seeing that in the first couple of weeks of the month. And we're confident the consumer behaviors aren't changing seeing as quickly as some would think. 
And what fuels that, Andrew, is really, as you look at the last year, if you look at 2020, our foodservice business, in general, in the U.S., the industry declined about 25%. And of that, about 25% was quick service restaurants, schools and health care and we've seen quick service restaurants bounce back and school are gradually getting online as is health care. So that will bounce back relatively quickly. Another 25% of that decline was related to casual dining, and that's going to take longer to come back. And then finally, about half of the decline we've seen over the last year away-from-home heating, is really driven by travel, leisure, business and industry, think canteens at places of work. And clearly, that's going to take a longer-term to cut back, if it ever does at all because we're not going to work the same way. We're going to be working at home a little more than we were before. People want flexible schedules. While consumers may be making vacation plans now more than they have, business people are not going to be traveling as much because technology has cut up and we realize we can do a lot of things remotely. So we have what fuels our belief in the fourth quarter, and we're confident there's not on inventory buildup, but the move will be better than what some expected based on what we've seen over the past year and kind of what we see in the first few weeks of this month, this quarter."
274715,705555356,2241693,"General Mills, Inc., Q3 2021 Earnings Call, Mar 24, 2021",2021-03-24,"Earnings Calls","General Mills, Inc.","Operator","Our next question comes from the line of Ken Goldman with JPMorgan.",12,"Our next question comes from the line of Ken Goldman with JPMorgan."
274715,705555356,2241693,"General Mills, Inc., Q3 2021 Earnings Call, Mar 24, 2021",2021-03-24,"Earnings Calls","General Mills, Inc.","Analysts","2 for me. First, how should we think about your appetite for being aggressive on share repo? Just looking back prior to the Buff deal, there were some years the company spent upwards of $1.7 billion on buybacks. So should we think this level is at least w",67,"2 for me. First, how should we think about your appetite for being aggressive on share repo? Just looking back prior to the Buff deal, there were some years the company spent upwards of $1.7 billion on buybacks. So should we think this level is at least within the wellness possibilities? Or do you want to keep a little more dry powder around? That's my first one."
274715,705555356,2241693,"General Mills, Inc., Q3 2021 Earnings Call, Mar 24, 2021",2021-03-24,"Earnings Calls","General Mills, Inc.","Executives","Sure, Ken. This is Kofi. Thanks for the question. Look, I think we're absolutely in a position where we ended the quarter with a really strong balance sheet. Our leverage ratio at 2.8x net debt-to-EBITDA, which means we've continued to make great progress",146,"Sure, Ken. This is Kofi. Thanks for the question. Look, I think we're absolutely in a position where we ended the quarter with a really strong balance sheet. Our leverage ratio at 2.8x net debt-to-EBITDA, which means we've continued to make great progress against our capital goals. I expect we will restore our full capacity to use all of our levers of cash return. And I think with the signal that I think was important is that we've already started. So while I can't commit to anything beyond what we've done, we continue to have the flexibility to act and use the balance sheet to the extent that the full extent of our capital allocation policy. And I think, as a reminder, share repurchase is the last of those. So that is where we would look to manage leverage and steer any excess free cash flow."
274715,705555356,2241693,"General Mills, Inc., Q3 2021 Earnings Call, Mar 24, 2021",2021-03-24,"Earnings Calls","General Mills, Inc.","Analysts","And then Bethany, within broader pet food, the refrigerated customer state. It's small, but it's growing quickly, not really showing a lot of signs of slowing down, except for some supply chain issues. Has Blue Buffalo's appetite to break into this subcat",77,"And then Bethany, within broader pet food, the refrigerated customer state. It's small, but it's growing quickly, not really showing a lot of signs of slowing down, except for some supply chain issues. Has Blue Buffalo's appetite to break into this subcategory changed at all? Or is it still sort of a wait and see attitude? It is not necessarily what you've said, but some of your predecessors may have kind of implied in talking about it?"
274715,705555356,2241693,"General Mills, Inc., Q3 2021 Earnings Call, Mar 24, 2021",2021-03-24,"Earnings Calls","General Mills, Inc.","Executives","Well, thanks for the question. What we really have seen is that pet parents throughout this pandemic, I think, have really wanted to continue to offer their pets different forms. So you're talking about different forms here. So we've seen mixing between a",109,"Well, thanks for the question. What we really have seen is that pet parents throughout this pandemic, I think, have really wanted to continue to offer their pets different forms. So you're talking about different forms here. So we've seen mixing between and then wet food from cans to our wet business performing incredibly well as well as fresh. It's still a very small part of the category. But the trend is pet parents continuing to mix different kinds of food. So we'll continue to look at all those different areas and continue to take the Blue Buffalo master brand where we think pet parents want to see it."
