"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
261825,701221281,2188331,"HCA Healthcare, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","HCA Healthcare, Inc.","Operator","Welcome to the HCA Healthcare Fourth Quarter 2020 Earnings Conference Call. Today's call is being recorded. At this time, for opening remarks and introductions, I'd like to turn the call over to Vice President of Investor Relations, Mr. Mark Kimbrough.",44,"Welcome to the HCA Healthcare Fourth Quarter 2020 Earnings Conference Call. Today's call is being recorded. 
At this time, for opening remarks and introductions, I'd like to turn the call over to Vice President of Investor Relations, Mr. Mark Kimbrough. Please go ahead, sir."
261825,701221281,2188331,"HCA Healthcare, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","HCA Healthcare, Inc.","Executives","All right. Good morning, and thank you, Nora. Welcome to everyone on today's call. With me this morning is our CEO, Sam Hazen; and CFO, Bill Rutherford. Sam and Bill will provide some prepared remarks, and then we will take questions. Before I turn the",177,"All right. Good morning, and thank you, Nora. Welcome to everyone on today's call. With me this morning is our CEO, Sam Hazen; and CFO, Bill Rutherford. Sam and Bill will provide some prepared remarks, and then we will take questions. 
Before I turn the call over to Bill and Sam, let me remind everyone that should today's call contain any forward-looking statements are based upon management's current expectations. Numerous risks, uncertainties and other factors may cause actual results to differ materially from those that might be expressed today. More information on forward-looking statements and these factors are listed in today's press release and in our various SEC filings. 
On this morning's call, we may reference measures such as adjusted EBITDA, which is a non-GAAP financial measure. A table providing supplemental information on adjusted EBITDA and reconciling to net income attributable to HCA Healthcare, Inc. is included in today's release. 
This morning's call is being recorded, and a replay of the call will be available later today. 
With that, I'll now turn the call over to Sam."
261825,701221281,2188331,"HCA Healthcare, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","HCA Healthcare, Inc.","Executives","Good morning. In the face of the highest surge yet of the COVID-19 pandemic, we finished the year with strong financial results in the fourth quarter. These results were driven once again by highly acute inpatient volumes, coupled with solid cost manageme",1227,"Good morning. In the face of the highest surge yet of the COVID-19 pandemic, we finished the year with strong financial results in the fourth quarter. These results were driven once again by highly acute inpatient volumes, coupled with solid cost management. In the quarter, our hospitals provided care to 56,000 COVID-19 inpatients, a 40% increase over the third quarter. 
Since March, we have delivered care to 122,000 inpatients with the virus, representing 8% of total admissions. Currently, our hospitals continue to treat many patients with COVID-19. Census levels fortunately have begun to decline over the past few weeks. 
Revenues in the fourth quarter grew by $770 million or 5.7% over the prior year. This increase was driven by growth in inpatient revenues, which were up 12%. Revenue per admission grew 16%, while admits were down 3.4%. As mentioned, the acuity within our inpatient business was higher as reflected in both case mix index, which increased almost 7%, and length of stay, which grew by 6%. 
Outpatient revenue continued to lag as volume declined across most categories. We attribute many of these declines to the swell in COVID activity across the communities we serve, causing many patients to defer care. Outpatient revenues were down 4%. 
On the cost side, our teams continue to perform well. Adjusted EBITDA margin for the company grew on a year-over-year basis. In the quarter, we experienced some upward pressure on labor costs due to challenges related to nurse staffing, which were caused mostly by demands related to the COVID-19 surge that occurred across most hospitals in the country. 
With respect to supply costs, we incurred increased drug costs related to the growing utilization of remdesivir and personal protective equipment costs. Diluted earnings per share increased 33.7% in the quarter to $4.13. For the year, diluted earnings per share, excluding losses and gains on sales as well as losses on debt retirement, grew 10.6% over 2019 to $11.61. 
Before I provide our outlook on 2021, I want to reflect on 2020. Just like many others, this past year was clearly a remarkable year for HCA Healthcare on multiple fronts. For us, however, I believe it will be seen also as a pivotal year. Across many dimensions, we improved our enterprise capabilities, which should allow us to support our local health systems better and enhance their abilities to provide higher quality care with greater efficiency. 
More importantly, we demonstrated an organizational ability to respond quickly and effectively to possibly the greatest challenge the company has ever experienced. And now I believe we are emerging on the backside of this event stronger and better positioned to grow and drive value for our stakeholders. We did this while staying true to our mission throughout the process, and we could not have made these improvements without the unwavering commitment and excellent execution shown by the 285,000 colleagues and 50,000 physicians who make up HCA Healthcare. I want to thank them for their tremendous work, compassion and service to our patients and others in their communities. 
Currently, our teams are working diligently to vaccinate as many people connected to our health system as possible. To date, we have vaccinated approximately 200,000 colleagues, physicians, first responders and other individuals critical to the delivery of health care services. 
As we push forward into 2021, our overall outlook for the year remains generally consistent with the early perspectives we provided last quarter. While many aspects of our business, including the impact of the pandemic, remain difficult to predict, we believe the guidance that we are providing today is reasonable. We also believe that, together, our growth plan and capital deployment plan, which was announced in today's earnings release, should enhance long-term shareholder value. Because of the decisive actions we took at the onset of the pandemic and the solid results we produced in 2020, our company is now in a stronger financial position. This strength allows us to deploy sufficient capital resources to both plans while still maintaining ample balance sheet capacity to use for other strategic opportunities that may develop, including acquisitions. 
As part of our growth plan, we continue to find ways to strengthen our position locally and nationally. Some highlights are as follows. This past year, we acquired a 40% interest in a telemedicine company, which we believe has capabilities that can accelerate our program. We have committed significant capital to develop new and expanded inpatient rehab bed capacity in Florida, which recently eliminated certificate of need requirements in this service. 
And finally, we have partnered, in many instances, with marquee physicians across the company to grow programs horizontally and vertically in key services. Our objective is still to be the provider system of choice in the communities we serve. 
Our strategic approach to accomplishing this goal has 2 overarching components: first, develop comprehensive health systems locally that deliver high quality, convenient care to our patients; and second, support these networks with our unique enterprise capabilities and economies of scale. This blended model, supported with strong execution, has served us well over the past few years as market share has reached an all-time high using the most recently available data. 
But we are pushing for more. We have constructed a set of strategic initiatives that are underway and designed to deliver a better experience for our patients and improve the company's future performance. These efforts include seeking ways to utilize our network and expand into upstream or downstream business opportunities, including identifying different approaches to optimizing our portfolio of assets. We are investing more in technology to enhance quality outcomes for our patients, advance our operational effectiveness and drive efficiencies. And finally, we are finding ways to capitalize on the diverse footprint that we have by partnering with other companies to accelerate these initiatives. One example of our efforts to partner is the recent announcement we made to invest in a domestic PPE production company, which will be based in Asheville, North Carolina. This entity will supplement other supply chain sources we have for procuring sufficient PPE for our colleagues. 
In 2021, we plan to increase our capital spending by approximately $850 million. This step-up is expected to mostly support our growth plans. Additionally, we have approximately $3.3 billion of other growth projects under construction that we expect to be operational this year or next. This pipeline includes capacity expansion projects at various hospitals, 2 new hospitals and additional outpatient facilities, mainly ambulatory surgery centers, freestanding emergency rooms and physician clinics. 
To round out our capital plans, our Board of Directors approved reinstating the quarterly dividend at $0.48 per share, while also increasing the authorization for our share buyback program. Bill will provide more details on these items and others in his comments.
We are incredibly proud of our colleagues and the company's accomplishments in 2020, which included returning or repaying early over $6 billion of CARES Act funds to the federal government. Our performance this past year gives us greater confidence to believe that we will be able to navigate successfully through future challenges as well.
As we continue to honor our mission, we will remain focused on delivering high-quality care to our patients, supporting our colleagues and physicians, responding to the vital role we play in the communities we serve and creating value for our shareholders. 
And now I will turn the call over to Bill."
261825,701221281,2188331,"HCA Healthcare, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","HCA Healthcare, Inc.","Executives","Great. Thank you, Sam, and good morning, everyone. I'm going to walk through our 2021 guidance and then touch on our capital allocation plan, including our announcement this morning to reinstate our dividend and share repurchase program. The 2021 guidan",933,"Great. Thank you, Sam, and good morning, everyone. I'm going to walk through our 2021 guidance and then touch on our capital allocation plan, including our announcement this morning to reinstate our dividend and share repurchase program. 
The 2021 guidance outlined in our release this morning is consistent with our broader commentary we provided on our third quarter call. We anticipate our inpatient admissions to grow approximately 2% to 4% over 2020 as reported results, and this would equate to about 1% to 3% below 2019 levels. We expect our outpatient volumes to grow from 2020 levels but to track below 2019 as well. 
We expect our revenue per equivalent admission to be flat to down slightly with our 2020 level. This is mainly driven by expected declines in COVID activity throughout the year and loss of supplemental COVID funding. We expect adjusted EBITDA margin to be consistent with our as-reported 2020 full year level and range between 19% and 20%. Our adjusted EBITDA guidance is between $10.3 billion and $10.9 billion for 2021. Earnings per share is expected to range between $12.10 and $13.10 for 2021. Also, we expect interest expense of approximately $1.6 billion and an effective tax rate of approximately 23%. 
I would like to share a couple of other thoughts regarding our 2021 guidance as we think about our 2020 performance and results. The COVID pandemic and the various surges we have seen had a significant effect on our operating results throughout the year. As we have mentioned previously, we expect to continue to serve COVID patients throughout 2021. And while it is difficult to predict how the future cycles of this pandemic will occur, at this point, we anticipate our COVID volume to be heavier in the first half of the year and then hopefully will decline in the second half of the year as broader segments of the population receive a vaccination. We do expect some recovery of demand and deferred volume as the COVID activity lessens. It is difficult to predict the progression of the pandemic during 2021, but we believe our baseline assumptions are reasonable at this point. 
Let me speak briefly to some cash flow and balance sheet metrics, along with our capital allocation decisions. First, as a result of numerous measures we took in 2020, the cash flow, liquidity and balance sheet position of the company are in a very strong position. We finished 2020 with cash flow from operations of $9.2 billion. After our capital spend of $2.8 billion, the first quarter dividend of $150 million and noncontrolling interest distributions of $625 million, our free cash flow was $5.6 billion for the year. Our debt balance declined $2.7 billion from our year-end 2019 levels, and we have approximately $1.8 billion of cash on the balance sheet. Our debt to adjusted EBITDA ratio was 3.0x at the end of the year after netting out available cash. All of this is after returning or repaying early over $6 billion of provider relief funds and accelerated Medicare payments that we discussed on our third quarter call. 
Our 2020 cash flow metrics were benefited by deferred payroll taxes of approximately $700 million, which will begin to be repaid in later 2021, as well as great working capital management by our teams. The -- for 2021, we anticipate cash flow from operations to range between $7.5 billion and $8 billion. 
As we evaluated our 2021 finance plan and considered our capital allocation strategies, we recognized our current position and outlook for 2021 presents an opportunity to find the optimum balance of investing capital to drive growth, position the balance sheet to execute on strategic M&A opportunities as they may present and returning value to our shareholders through reinstated dividend and share repurchase programs. We entered 2021 positioned to execute on all of these objectives. 
So as mentioned in our release this morning, our 2021 finance plan calls for the following. We anticipate capital spending to approximate $3.7 billion in 2021. This represents an approximately $850 million increase over 2020. Our Board of Directors declared a $0.48 dividend to be paid in the first quarter. This represents over an 11% increase from the quarterly dividend level that we suspended in the second quarter of 2020 due to the COVID pandemic. Our Board of Directors also authorized a new $6 billion share repurchase program. We had approximately $2.8 billion remaining on our prior authorization. As a result, the company currently has $8.8 billion in total authorization. 
Consistent with our past programs, we have no defined time period to execute on the share repurchase authorization, but we anticipate executing over the next 12 to 18 months, with the majority expected to be completed in 2021, subject to market conditions. 
In addition to these actions, we are making an adjustment to our historical leverage target. Since 2013, we've had a stated leverage target to operate at a leverage ratio between 3.5x and 4.5x. Given our current leverage position is below that range and with our outlook going forward, we are lowering our expected leverage target to be between 3x and 4x, and we expect to run at the mid- to low end of this range in the foreseeable future. 
We believe all of these actions represent a balanced capital philosophy that allows the company to continue to invest in our existing facilities to drive growth, position us well to explore strategic acquisitions as they may become available and provides the opportunity to drive long-term value. 
So with that, I'll turn the call over to Mark and open it up for Q&A."
261825,701221281,2188331,"HCA Healthcare, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","HCA Healthcare, Inc.","Executives","Okay. Thank you, Sam and Bill. Nora, would you give directions on getting into the Q&A [Operator Instructions]",18,"Okay. Thank you, Sam and Bill. Nora, would you give directions on getting into the Q&A [Operator Instructions]"
261825,701221281,2188331,"HCA Healthcare, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","HCA Healthcare, Inc.","Operator","[Operator Instructions] We have a question from the line of Kevin Fischbeck with Bank of America.",16,"[Operator Instructions] We have a question from the line of Kevin Fischbeck with Bank of America."
261825,701221281,2188331,"HCA Healthcare, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","HCA Healthcare, Inc.","Analysts","Okay. Great. I just wanted to get a little bit more color on how you were thinking about, as volumes normalize, how the margins look on that volume returning just because this year, you benefited -- last year, you benefited from higher acuity payer mix be",76,"Okay. Great. I just wanted to get a little bit more color on how you were thinking about, as volumes normalize, how the margins look on that volume returning just because this year, you benefited -- last year, you benefited from higher acuity payer mix benefited the volumes return? Is it going to be lower acuity, worse payer mix? How are you thinking about how that all comes together when you think incremental margin, not volume?"
261825,701221281,2188331,"HCA Healthcare, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","HCA Healthcare, Inc.","Executives","Yes, Kevin. Thank you.",4,"Yes, Kevin. Thank you."
261825,701221281,2188331,"HCA Healthcare, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","HCA Healthcare, Inc.","Executives","Yes, Kevin, this is Bill. Let me take first stab at that. We recognize we've been running high margins in the last half of the year. And as you stated and as we've said previously, that's largely due to the acuity that we've seen, the higher COVID activit",185,"Yes, Kevin, this is Bill. Let me take first stab at that. We recognize we've been running high margins in the last half of the year. And as you stated and as we've said previously, that's largely due to the acuity that we've seen, the higher COVID activity, and a favorable payer mix going forward. 
We said in my commentary that we expect margins to range between 19% and 20%. The midpoint, obviously, will be 19.5%, which is where we finished full year 2020. And we do believe as COVID declines throughout the year and we begin to see return of our historical volumes that, that will settle out. And we see that in our revenue per adjusted admission commentary that I gave as well. So it really is a matter of timing of when that occurs. But as we look forward -- and this year, we've been benefited by the acuity and the payer mix in terms of our commercial volume declines lower than our Medicare volumes, I think that will eventually settle out and return to maybe what our historical norms have been."
261825,701221281,2188331,"HCA Healthcare, Inc., Q4 2020 Earnings Call, Feb 02, 2021",2021-02-02,"Earnings Calls","HCA Healthcare, Inc.","Executives","Let me add to that comment. This is Sam, Kevin. I think one thing, as I mentioned, we're pushing for more with respect to growth. We're also pushing ourselves with respect to resiliency and finding ways again to leverage economies of scale inside of HCA,",174,"Let me add to that comment. This is Sam, Kevin. I think one thing, as I mentioned, we're pushing for more with respect to growth. We're also pushing ourselves with respect to resiliency and finding ways again to leverage economies of scale inside of HCA, giving us opportunities possibly to sustain this. That's our management challenge. We're obviously not there yet, but we have opportunities, we believe, inside of our financial resiliency program to advance that initiative. 
The second thing I would tell you is our investments and our advancing of technology is another opportunity for us to find more profitability within our existing revenue base. We have a lot of variation. We have a lot of opportunities to create more timely decisions and ultimately drive more efficiencies and better patient outcomes. And so technology and economies of scale continue to present opportunities for us to improve profitability across the organization. 
I don't know exactly where that lands, to Bill's point, but we do see certain initiatives yielding certain value for us over time."
