"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
1081952,700655257,2191653,"Intercontinental Exchange, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Intercontinental Exchange, Inc.","Operator","Good morning. My name is Kate, and I will be your conference operator today. At this time, I would like to welcome everyone to the Intercontinental Exchange Fourth Quarter Conference call. [Operator Instructions] Please note, this event is being recorde",47,"Good morning. My name is Kate, and I will be your conference operator today. At this time, I would like to welcome everyone to the Intercontinental Exchange Fourth Quarter Conference call. [Operator Instructions] 
Please note, this event is being recorded. Mr. Gardner, you may begin your conference."
1081952,700655257,2191653,"Intercontinental Exchange, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Intercontinental Exchange, Inc.","Executives","Good morning. ICE's fourth quarter 2020 earnings release and presentation can be found in the Investors section of the ice.com. These items will be archived and our call will be available for replay. Today's call may contain forward-looking statements. Th",269,"Good morning. ICE's fourth quarter 2020 earnings release and presentation can be found in the Investors section of the ice.com. These items will be archived and our call will be available for replay. Today's call may contain forward-looking statements. These statements, which we undertake no obligation to update or present our current judgment and are subject to risks, assumptions and uncertainties. For a description of the risks that could cause our results to differ materially from those described in forward-looking statements, please refer to our 2020 Form 10-K and other filings with the SEC. In our earnings supplement, we refer to certain non-GAAP measures, including pro forma revenues, adjusted income, EPS, operating income, operating margin, expenses, effective tax rate and debt to adjusted EBITDA. We believe our non-GAAP measures are more reflective of our cash operations and core business performance. To find a reconciliation to the equivalent GAAP term in the earnings materials and an explanation of why we deem this information to be meaningful as well as how management uses these measures in our Form 10-K. When used on this call, net revenue refers to revenue net of transaction-based expenses and adjusted earnings refers to adjusted diluted earnings per share. Throughout this presentation, unless otherwise indicated, references to revenue growth are on a constant currency basis. Please see the explanatory notes on the second page of the earnings supplement for additional details regarding the definition of certain terms. With us on the call today are Jeff Sprecher, Chairman and CEO; Scott Hill, Chief Financial Officer; and Ben Jackson, our President. I'll now turn the call over to Scott."
1081952,700655257,2191653,"Intercontinental Exchange, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Intercontinental Exchange, Inc.","Executives","Thanks, Warren. Good morning, everyone, and thank you for joining us today. I'll begin on slide 4 with some key highlights from 2020 and a summary of our strong fourth quarter results. Earnings per share of $4.51 were up 16% year-over-year on record reven",1017,"Thanks, Warren. Good morning, everyone, and thank you for joining us today. I'll begin on slide 4 with some key highlights from 2020 and a summary of our strong fourth quarter results. Earnings per share of $4.51 were up 16% year-over-year on record revenues of over $6 billion. Free cash flow totaled a record $2.4 billion and we returned nearly $2 billion to shareholders through buybacks and dividends. We also use some of that cash and our strong credit profile to make the important strategic acquisition of Ellie Mae in September. An acquisition that was nearly 3% accretive to our full year 2020 earnings per share. Our fourth quarter results were an exclamation point on a great year. Our earnings per share totaled $1.13, up   19%   year-over-year. Net revenue totaled approximately $1.7 billion, a 14% increase on a pro forma basis. While we've now transitioned to new segment reporting, I'll mention that fourth quarter data services revenues totaled $595 million, which was at the high end of our guidance range and up 6% year-over-year. For the full year, despite the challenges brought on by the pandemic, our data sales teams focused on serving our customers deliver data services revenues that grew 5% over the prior year, and were near the top of our guidance entering the year. 
Fourth quarter adjusted operating expenses totaled $712 million. We were above the high end of our guidance, largely driven by lower levels of capitalized labor as our technology teams who delivered near flawless execution, while largely working from home for most of 2020, took some well-deserved vacation to recharge from an extraordinary year. 
Now let's move to slide 5, where I'll provide an overview of the performance of our Exchange segment. Fourth quarter revenues totaled $871 million, up 6% year-over-year. Transaction revenues increased 7%, driven by 6% growth in our Energy business and 21% growth in cash equities and options trading. Importantly, through the end of January, our energy open interest, which we believe is the best indicator of long-term growth was up 4% versus a year ago, including 11% growth in our global natural gas business and 5% growth in our environmental complex. Recurring revenues, which include our exchange data and listing services, increased 3% year-over-year. These results were driven by the NYSE share of strong year-over-year growth in industry ship revenues. Looking to the first quarter, we expect recurring revenues in the Exchange segment to be between $310 million and $315 million. 
Turning now to slide 6. I'll discuss our fixed income and data services segment. Fourth quarter revenues for the segment grew 3% year-over-year. While transaction revenues declined   16%  , recurring revenues, which account for nearly 90% of total segment revenues grew 6% year-over-year. Fixed income Data & Analytics, which includes our leading pricing and reference data and index business increased by 7%, an acceleration from 6% growth in the third quarter. Other data and network services grew 5% in the fourth quarter, driven by continued growth in customer demand for both ICE global network and consolidated feeds. 
Looking to 2021, we expect recurring revenues in this segment to grow 5% to 6% on a constant currency basis for the full year, including $395 million to $400 million in the first quarter. These expectations are supported by ASV growth of 5.7% exiting 2020. 
Please flip to slide 7, where I'll discuss the results in our Mortgage Technology segment. Please note that my comments on revenue growth are on a pro forma basis. Mortgage Technology revenues grew 65% year-over-year in the fourth quarter and 56% for the full year. Fourth quarter transaction revenues increased 92% year-over-year. Favorable financing conditions, accelerating millennial homeownership trends and demand for digital workflow tools, such as our Network, Closing solutions and analytics all contributed to our strong results. Recurring revenues increased 29% versus the prior year as increased utilization and new customer adoption of both our Origination technology and Analytics continue to expand our subscription base. We expect recurring revenues in the first quarter to range between   $122 million   and $127 million, representing around 30% growth versus last year on a pro forma basis. 
I'll conclude my remarks on slide 8 with some additional guidance. We expect 2021 adjusted operating expenses to be in the range of $2.83 billion to $2.88 billion. We expect the spinout of that to reduce expenses versus last year by $50 million. And as I mentioned on the last earnings call, we expect roughly $20 million of additional D&A expense in our Mortgage segment. In addition, we plan to invest $25 million to $30 million to enhance our Mortgage Technology platforms to support the significant growth in customers and volumes that we've seen over the past few years and which we expect to continue. With those items roughly netting out, our year-over-year expense growth will be largely consistent with prior years, including investments in our people and tied to revenue growth. We expect compensation expense across ICE to increase by $40 million to $50 million. Expenses tied to revenue growth are expected to increase $15 million to $25 million, and FX, based on current spot rates, will add $10 million to $15 million, which will be more than offset by a positive impact to revenues. 
For the first quarter, we expect adjusted operating expenses to be in the range of $720 million to $730 million, including roughly $23 million related to Bakkt. 
In summary, we delivered a very strong finish to another record year. We once again grew revenues, operating income, free cash flow and earnings per share. We grew our dividend and returned nearly   $2 billion   to our shareholders. At the same time, we invested in our business to meet the needs of our customers while also expanding our Mortgage Technology network through the acquisition of Ellie Mae. As a result, we've set the stage for continued top and bottom line growth and enhance shareholder returns into 2021 and beyond. I'll be happy to take your questions during Q&A, but for now, I'll hand it to Ben to discuss some additional business highlights and key growth initiatives."
1081952,700655257,2191653,"Intercontinental Exchange, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Intercontinental Exchange, Inc.","Executives","Thank you, Scott, and good morning to everyone on the call. Please turn to slide 9, where I'll begin with some of the highlights and key initiatives across our Global Energy business. While inflation, economic growth, and geopolitics will always influence",901,"Thank you, Scott, and good morning to everyone on the call. Please turn to slide 9, where I'll begin with some of the highlights and key initiatives across our Global Energy business. While inflation, economic growth, and geopolitics will always influence volume trends in a particular quarter or year. We are focusing on investing in the structural growth opportunities that exist across global energy markets. Investments that have been critical to the 7% average annual revenue growth we have generated across our energy and environmental network over the last 5 years. In our oil markets, we soon plan to launch ICE futures Abu dhabi or IFAD. This is a launch in partnership with the Abu Dhabi National Oil Company, or ADNOC, and 9 of the world's largest energy trading firms. For the first time, this new exchange will offer futures on Murban crude oil, an important price benchmark for crude flowing through to Asia. And by leveraging the existing breadth of our energy network, we will launch an array of related differentials, cracks and intercommodity spreads against our Brent, WTI, gas oil and naphtha benchmarks. In our natural gas markets, the demand centers of Europe and Asia are increasingly at the forefront of global price formation. We began investing in the globalization of gas markets over a decade ago, at a time when exchange-traded volume in our TTF contract was less than 10% of total trading activity. Today, exchange-traded volume is approaching 50%, with open interest in TTF, growing at an average annual rate of nearly 40% since 2015. 
This growing network also plays an important role in the growth of our global environmental markets, where the number of market participants has grown by 40% since 2017 as customers increasingly seek solutions to help navigate the long tail and the complex evolution of global energy markets. 
Turning to slide 10. ICE Mortgage Technology is at the center of an analog-to-digital conversion as customers demand greater workflow automation. In addition, an acceleration of millennial home buying and attractive refinancing conditions continue to provide a tailwind to our robust results. Pro forma Mortgage Technology revenues totaled $1.2 billion in 2020, ahead of the high end of the range we expected for all of 2021 and when we announced the acquisition of Ellie Mae back in August. As we execute against this   $10 billion   addressable market, our approach has been and will be similar to the blueprint we apply across our other networks. 
We will invest behind secular growth, both organically and through acquisition. By adding new tools and content to enhance the value proposition of our network. As a recent example, during the fourth quarter, we launched our credit analyzer. A product that leverages our artificial intelligence engine, or AIQ, to reduce the time it takes to perform a credit review by up to 80%. In 2021, we plan to begin rolling out new eClose solutions, an initiative that we believe has a   $1 billion   addressable market. And we continue to see strong customer uptake across our network and our data and analytics offerings as we execute our strategy of relieving the pain points and inefficiencies that exist across the workflow. 
Turning to slide 11. Our proprietary price evaluation serves as the cornerstone of a network that is uniquely positioned to capture growth opportunities across the fixed income ecosystem. As an example, we are a leading solutions provider to the fixed income ETF industry, which, as many of you know, has seen assets under management grow at an average annual rate of 25% over the last 5 years. Our decades-long position as a leading provider of price information and reference data has served as the foundation for what is today the second largest provider of fixed income indices globally. While critical, our price information and our indices are only a part of what we offer to this growing industry. 
In late 2019, we launched our ETF Hub, a network we designed to reduce the workflow inefficiencies that exist within the ETF create redeem process. Late last year, we integrated ICE Chat, a platform that we acquired in 2008 and have since grown to over 100,000 users. We also linked ETF Hub to our ice fixed income Select platform, providing access to our fixed income data and analytics as well as seamless connectivity to our trading venues. 
As a leading provider of these proprietary data services, we have also developed an expertise in the gathering and cleansing of unstructured data, essentially, a skill in building the databases that serve as the foundation for developing actionable insights and identifying opportunities, not only in the fixed income markets, but across many other asset classes as well. This is an expertise we are leveraging through new product development, such as our suite of ESG data services and some early mortgage data initiatives, which will leverage our growing mortgage technology network. This also applies to new partnerships, such as our announcement to apply our data services expertise to ADP's unstructured workforce data to help bring additional insights into the municipal bond markets. 
As we move into 2021, we are excited about the many opportunities for growth that lie ahead, opportunities that we're able to capture because of the investments we've made in the past and the strategic investments we will continue to make across our networks into the future. With that, I'll turn the call over to Jeff."
1081952,700655257,2191653,"Intercontinental Exchange, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Intercontinental Exchange, Inc.","Executives","Thank you, Ben, and thank you all for joining us this morning. Please turn to slide 12. Over 2 years ago and in collaboration with Starbucks and Microsoft, among others, we seeded a venture within ICE called Bakkt. Our vision was to leverage our collect",524,"Thank you, Ben, and thank you all for joining us this morning. 
Please turn to slide 12. Over 2 years ago and in collaboration with Starbucks and Microsoft, among others, we seeded a venture within ICE called Bakkt. Our vision was to leverage our collective core competencies to build a regulated ecosystem that would support the full life cycle of a digital asset, and through efficiency gains and greater transparency, a platform that would have strong network effects within a nascent but rapidly growing asset class. Since launching Bakkt in 2018, we've applied our blueprint. We've invested in organic product development by building a consumer wallet and launching futures and options contracts. And we've made inorganic investments by purchasing Bridge2 solutions and adding digital custody services. In January, Bakkt announced that it will merge with a sPac, managed by Victory Park capital. The transaction valued Bakkt at an enterprise value of approximately $2.1 billion, of which we will retain a 65% economic interest. Our decision to merge Bakkt was threefold. First, the combination will provide significant incremental capital, enabling Bakkt to maximize its future growth potential. Second, by listing as a public company on the New York Stock Exchange, Bakkt will benefit from elevated consumer brand recognition. And third, we believe this transaction will unlock value for ICE shareholders. Value that we believe was not fully recognized within the ICE share price. And as you've often heard us say, I believe 1 of the most important parts of my job and the job of the management team here at ICE is to leverage our infrastructure and our expertise to create value for our shareholders. In that vein and shifting to what was another successful year, 2020 marked our 15th consecutive year of record adjusted earnings per share, a track record of growth that began with our initial public offering on the New York Stock Exchange in 2005 and has compounded at an average annualized rate of 17% ever since. 
Our strategic approach to delivering this growth and building shareholder value has been consistent since our inception. Through the application of our world-class technology, leading operating expertise and our unique position both as a creator and distributor of proprietary data services, we create workflow efficiencies that add transparency and that drives powerful network effects across the asset classes that we operate. And as we've expanded into new asset classes, we've grown our addressable market, broadened our expertise and further solidified a foundation for growth well into the future. 2020 was a year of incredible global challenges. Our customers needed to find ways to protect their employees while continuing to do business as they procured and accessed our products. Our ICE colleagues responded with extraordinary resourcefulness to meet our customer needs. So thank you to our customers for their business and their trust. And thank you to my colleagues at ICE for their remarkable contribution to the best fourth quarter in our company's history, resulting in another consecutive record year of revenues and earnings. 
With that, I'll now turn the call back to our moderator, Kate, and we'll conduct an question-and-answer session until 9:30 Eastern time."
1081952,700655257,2191653,"Intercontinental Exchange, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Intercontinental Exchange, Inc.","Operator","[Operator Instructions] The first question comes from Rich Repetto of Piper Sandler.",12,"[Operator Instructions] 
The first question comes from Rich Repetto of Piper Sandler."
1081952,700655257,2191653,"Intercontinental Exchange, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Intercontinental Exchange, Inc.","Analysts","Yes. Jeff, Scott and Ben. Congrats on the great year. I guess the question is on the recurring revenue. Thanks for the breakout and transparency on that, Scott. So I get -- I think the exchange you said are the SIP revenues. What I didn't understand is ho",76,"Yes. Jeff, Scott and Ben. Congrats on the great year. I guess the question is on the recurring revenue. Thanks for the breakout and transparency on that, Scott. So I get -- I think the exchange you said are the SIP revenues. What I didn't understand is how -- what's recurring in the mortgage side. And it looks like you're about almost half of your revenue is recurring now overall. If I have it calculated accurately."
1081952,700655257,2191653,"Intercontinental Exchange, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Intercontinental Exchange, Inc.","Executives","Yes, Rich, you picked up on it exactly right. We did want to continue to give transparency in our guidance on those elements of our business that are recurring and a little easier to predict in some of the volume-based business. And you're exactly right t",239,"Yes, Rich, you picked up on it exactly right. We did want to continue to give transparency in our guidance on those elements of our business that are recurring and a little easier to predict in some of the volume-based business. And you're exactly right that if you add up the total of the recurring guides, it's around midpoint $830 million of revenue, which is just less than half of the overall business. If you look at, we've given you that detail on a pro forma basis, historically, and if you do the math on the guide in the first quarter, those recurring revenues are growing 7% to 9%. So very strong performance on a very stable part of our business right out of the gate, obviously, led by a strong performance in the Mortgage business, which has picked up customers picked up volume from existing customers, but then also the Data business, which, again, despite the pandemic, as I said in my remarks, sales team did a remarkable job and put us in a position where ASV was nearly 6% entering this year. So we feel very good about those recurring businesses, and we intend to continue to give you each quarter, our perspective on what we expect of those revenues to be. 
You asked specifically about the recurring nature of the mortgage business. I'll let Ben give you a little color on what's driving that great performance."
1081952,700655257,2191653,"Intercontinental Exchange, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Intercontinental Exchange, Inc.","Executives","Rich, we saw this. So the first thing to start with is on the mortgage side of the business, when someone subscribes to come on to our network, they're getting our full platform and our network services as part of that. So there's a base level of subscrip",332,"Rich, we saw this. So the first thing to start with is on the mortgage side of the business, when someone subscribes to come on to our network, they're getting our full platform and our network services as part of that. So there's a base level of subscription fee that someone's paying to be a part of that, and that's really what that recurring revenue piece is. And when we analyze the deal, 1 of the exciting things that we saw under the covers here and that I've talked about in terms of the different TAMs that we can go after here with this business, out of that $10 billion TAM,   $4 billion   of it alone is just in the origination side. And automating that whole origination process. And we had seen that Ellie Mae had increased market share from 38% to 44% in a pretty short period of time, and we had conviction that they're going to continue to grow market share in that space. And I'm pleased to say that under the covers, what we've seen in terms of sales performance, and I even highlighted this on the last quarterly earnings call, back in October that the sales results have been phenomenal in terms of selling new versions of our loan origination system into new customers and then also cross-sells of our products into the customer base. And to go into that even a little bit further in Q3 and Q4 the company set all-time records in terms of bookings on the encompass loan origination system. So Q3 and Q4 were the 2 highest quarters ever in the company's history. Q4 across the entire Ellie Mae product set was the largest bookings quarter ever in the company's history. So all of that are real tailwinds, and Scott gave the guide to the Q1 recurring revenue for the business as well and why we feel really strong about the business' ability to grow that recurring revenue base regardless of volume environments."
1081952,700655257,2191653,"Intercontinental Exchange, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Intercontinental Exchange, Inc.","Operator","The next question is from Alex Kramm with UBS.",9,"The next question is from Alex Kramm with UBS."
