"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
61036,695124073,2191941,"International Paper Company, 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","International Paper Company","Operator","Good morning, and thank standing by. Welcome to today's International Paper Fourth Quarter and Full Year 2020 Earnings Conference Call. [Operator Instructions] I'd now like to turn today's conference over to Vice President of Investor Relations, Guillermo",42,"Good morning, and thank standing by. Welcome to today's International Paper Fourth Quarter and Full Year 2020 Earnings Conference Call. [Operator Instructions] I'd now like to turn today's conference over to Vice President of Investor Relations, Guillermo Gutierrez. Please go ahead, sir."
61036,695124073,2191941,"International Paper Company, 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","International Paper Company","Executives","Thank you, Holly. Good morning, and thank you for joining International Paper's Fourth Quarter and Full Year 2020 Earnings Call. Our speakers this morning are Mark Sutton, Chairman and Chief Executive Officer; and Tim Nicholls, Senior Vice President and C",162,"Thank you, Holly. Good morning, and thank you for joining International Paper's Fourth Quarter and Full Year 2020 Earnings Call. Our speakers this morning are Mark Sutton, Chairman and Chief Executive Officer; and Tim Nicholls, Senior Vice President and Chief Financial Officer. 
There is important information at the beginning of our presentation on Slide 2, including certain legal disclaimers. For example, during this call, we will make forward-looking statements that are subject to risks and uncertainties, including the impact of COVID-19. We will also present certain non-U.S. GAAP financial information. A reconciliation of those figures to U.S. GAAP and financial measures is available on our website. 
Our website also contains copies of the fourth quarter and full year 2020 earnings press release and today's presentation slides. 
Relative to the Ilim joint venture and graphic packaging investments, Slide 2 also provides context around the financial information and statistical measures presented on those issues. 
I will now turn the call over to Mark Sutton."
61036,695124073,2191941,"International Paper Company, 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","International Paper Company","Executives","Thank you, Guillermo, and good morning, everyone. We will begin our discussion on Slide 3 with full year 2020 results. The way International Paper navigated the impacts of the pandemic in 2020 reaffirms my operation and appreciation our employees and th",729,"Thank you, Guillermo, and good morning, everyone. We will begin our discussion on Slide 3 with full year 2020 results. 
The way International Paper navigated the impacts of the pandemic in 2020 reaffirms my operation and appreciation our employees and their ongoing commitment to take care of each other and to take care of our customers. I'm really proud of the outstanding collaboration across our commercial, supply chain and manufacturing teams to adapt to our customers' rapidly changing needs. 
We ran our manufacturing system well and leveraged the flexibility of our mill and converting systems to overcome significant challenges due to the pandemic while managing costs extremely well across our 3 businesses. 
Looking at our performance, International Paper delivered solid earnings and outstanding free cash flow in 2020. We generated $2.3 billion in free cash flow and delivered the company's 11th consecutive year of value-creating returns. Our performance demonstrates the strength and resilience of our employees, our diverse customer base and our world-class manufacturing and supply chain capabilities. 
Given the significance of economic uncertainty, we took prudent and early actions to reinforce cash generation and enhance our financial strength. On capital allocation, we're making choices consistent with our capital allocation framework. We repaid $1.7 billion of debt to further strengthen our balance sheet. We're also seeing significant benefits in our pension plan from the actions that we took to derisk the plan during the past few years, which contributed to a 95% funding level at year in 2020. 
Also in 2020, we returned $800 million to our shareholders, and we continue to invest in our North American and EMEA corrugate packaging business to enhance our capabilities and grow our earnings. We're really excited about the journey to build a better IP. We're building on the strength of our corrugated packaging business and taking meaningful actions to drive sustainable, profitable growth and accelerate value creation for our customers and shareholders. 
In a few minutes, I'll discuss some of the initiatives we have on the way to deliver on our commitment. 
Turning to the full year results on Slide 4. We delivered EBITDA of $3.1 billion and free cash flow of $2.3 billion. Lower year-over-year sales was driven by the decline in Printing Papers demand due to market disruptions from global pandemic. Earnings were impacted by lower demand for paper as well as lower average pricing for the packaging of cellulose fibers. These headwinds bits were fortunately offset by strong volume growth in our packaging business, outstanding cost management and lower maintenance outage expense. 
In 2020, we made choices around plant maintenance and other spending priorities to mitigate the impact of market disruptions. Our equity earnings were $77 million, including $48 million from our Ilim joint venture, which was impacted by challenging pulp markets and a noncash foreign exchange loss of $50 million. For the full year, we received $141 million in dividends per mill. Across International Paper, we proactively managed cash levers to deliver another year of outstanding cash generation. 
Moving to Slide 5. At the outset of the COVID-19 pandemic, we established 3 principles to focus on what we needed to do as a company to remain strongly resilient for all of our stakeholders. First was to keep our employees and contractors safe. Second was to take care of our customers, and third was to maintain the financial strength of the company. And I believe International Paper executed extremely well against that success criteria. We did not experience any material operational disruptions due to COVID-19 while  taking care of our customers. 
It all starts with our employees, and their health and safety remains our most important responsibility. Our performance reaffirms my appreciation for our 48,000 employees worldwide. We recognize our teams financially for their capacity, commitment and resilience with a bonus totaling $25 million in the fourth quarter. 
I'm also proud of the work we're doing to support the critical needs in our communities, which included the donation of 2 million corrugated boxes to agencies that have delivered essential food and supplies. We remain absolutely committed to our COVID-19 principles, and we'll continue to focus on what we need to do to further strengthen the company for all of our stakeholders in the short term and in the long term. 
Now I'll turn it over to Tim, who will cover our business performance and our first quarter outlook. Tim?"
61036,695124073,2191941,"International Paper Company, 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","International Paper Company","Executives","Thank you, Mark. Good morning, everyone. I'm on Slide 6, which is our year-over-year operating earnings bridge. Our 2020 results reflect strong execution and effective cost management to mitigate the impact of market disruptions associated with COVID-19.",2298,"Thank you, Mark. Good morning, everyone. I'm on Slide 6, which is our year-over-year operating earnings bridge. Our 2020 results reflect strong execution and effective cost management to mitigate the impact of market disruptions associated with COVID-19. 
Looking at the bridge, price and mix were a significant headwind mostly due to the full year impact of 2019 index movements in our North American packaging business as well as lower average pricing in Cellulose Fibers and the Printing Papers business. Volume was a drag on earnings due to the unprecedented decline in demand for printing papers. The impact was partly offset by strong volume in our packaging business, driven by higher demand across most consumer segments. 
We managed operations and cost well in a challenging environment with no material operational disruptions due to COVID-19. Our teams performed at a high level under reconfigured work systems to protect our employees and contractors. We did experience higher operating and distribution costs in the latter part of the year as we flexed our system to meet very strong packaging demand. 
Input costs were favorable for the full year driven by lower wood, energy cost and distribution costs, partly offset by higher recovered fiber costs. I would also note that cost for wood, recovered fiber, energy and distribution increased in the fourth quarter. 
Corporate items were favorable, driven by outstanding cost management and lower interest expense based on significant debt reduction. On the full year 2020, our operational tax rate was 25% and compared to 26% in 2019. And equity earnings decreased due to lower earnings, which includes $0.13 of unfavorable FX impact. 
Turning now to Slide 7, which shows our fourth quarter results. Operating earnings were $0.75 per share, which includes a $0.05 impact related to the employee recognition bonus that Mark discussed earlier. Sales improved sequentially and came in better than our expectations, driven by strong demand in our North American packaging business. 
EBITDA decreased due to the higher operating and input cost. As already mentioned, we generated robust free cash flow, which we'll continue to apply in a manner consistent with our capital allocation framework. In the fourth quarter, we reduced debt by about $600 million, bringing our full year 2020 debt reduction to $1.7 billion. 
Turning to the quarter-over-quarter earnings bridge on Slide 8. Fourth quarter operating earnings were $0.75. Looking at the bridge, lower price/mix was driven by prior period price flowthrough in packaging and cellulose fibers. Volume was favorable, driven mostly by strong demand in corrugated packaging in North America and EMEA as well as higher seasonal demand for papers in Brazil and Russia. 
Operations and costs were a significant headwind in the quarter. We experienced some reliability issues on our North American containerboard system, most of which are behind us now. We also experienced higher marginal operating and distribution costs to meet very strong packaging demand. We had a $20 million asset write-off in cellulose fibers in the fourth quarter. And as a reminder, our sequential earnings were impacted by the non-repeat of $30 million of favorable items in the third quarter. 
I'd also like to note that the employee recognition bonus is reflected in operations involved, which was allocated to each business. 
Input costs were unfavorable due to higher wood and recovered fiber, higher seasonal energy costs and higher distribution costs. We're experiencing significant rail truck and ocean transportation and congestion. And we expect recovered fiber and distribution costs to trend higher as we enter 2021. 
Higher corporate expenses reflects the effective tax rate of 26% in the fourth quarter as compared to 19% in the third quarter, which included a favorable adjustment after finalizing our 2019 tax returns. 
Equity earnings includes a noncash foreign exchange gain of $0.05 in the fourth quarter [indiscernible] as compared to a $0.14 loss in the third quarter. 
Let me turn to the segments now, and I'll start with industrial Packaging on Slide 9. Volume improved sequentially across all regions, with strong demand in North America outpacing the impact of the 3 last shipping days in the fourth quarter. We're seeing broad-based demand strength across all of our channels, including boxes, sheets and containerboard. Just about every consumer segment accelerated in the fourth quarter. 
We continue to see strong double-digit growth in e-commerce, and we believe the vast majority of e-commerce adoption is permanent. We're also seeing strong demand for consumer and durable goods, especially for building materials. Foodservice categories continue to lag, and the pace of recovery will depend on the restaurant and travel industry recovery. Export containerboard demand is also robust. We have strong backlogs as we have prioritized containerboard shipments to our integrated system here in North America to meet our customers' demands. 
Operations and costs were a significant headwind due to several factors. We experienced some isolated reliability issues late in the quarter, most of which are now behind us. We also faced higher costs in our mill and box system to meet the strong demand, including the impact of less optimal containerboard sourcing to our box plants. We also experienced higher supply chain costs and overtime, with just about every box plant running on weekends. And lastly, recall that ops and costs includes the employee bonus we discussed earlier, which for packaging, represents about $15 million. 
Maintenance and outage costs improved sequentially as planned. Input costs increased driven by higher recovered fiber, seasonal energy and distribution costs. Cost pressure for recovered fiber and distribution continued as we enter the first quarter, which reflects the broad strength in [indiscernible]. 
Moving to Global Cellulose Fibers on Slide 10. Price and mix was unfavorable on the contract flowthrough of lower third quarter list price. Volume was stable. Demand for fluff pulp improved late in the fourth quarter, following the expected destocking. Operations and costs were impacted by a $20 million write-off of capital and engineering costs, following a review of the capital investment needs for the business. Maintenance outage costs increased and input costs were essentially flat. 
Taking a closer look at flu pulp demand. As I mentioned, demand improved throughout the fourth quarter. Demand continued to improve as we entered 2021 with healthy backlogs for fluff pulp. In addition, port congestion is stretching supply chains due to the high levels of imports in the U.S. 
Turning to Printing Papers on Slide 11. The business delivered earnings of $80 million in the fourth quarter with continued strong cash generation. Our North American, Brazilian and Russian regions delivered returns above the cost of capital. We continue to leverage our strong brands, our world-class customer service and our low-cost system to maximize performance as we navigate a challenging demand environment. 
Looking at the fourth quarter performance across the segment. Price and mix was stable. Volume improved sequentially across all regions with stronger seasonal demand in Brazil and Russia. We're seeing a gradual recovery in demand across all regions, which we expect will accelerate with broader return to office and return to school activity. 
Operations and cost includes higher seasonal energy consumption and the non-repeat of favorable items in the third quarter of about $10 million. Fixed cost absorption improved with economic downtime decreasing by nearly 100,000 tons sequentially. Maintenance outages increased as expected, and input costs increased primarily due to higher transportation and seasonal energy costs. 
Looking at the Ilim results on Slide 12. The joint venture delivered $53 million in equity earnings in the fourth quarter with an EBITDA margin of nearly 30% on improved commercial performance. Volume improved 16% year-over-year on strong softwood pulp exports. Price and mix was also favorable with price realization for softwood accelerating in the fourth quarter. 
Fourth quarter equity earnings included a foreign exchange gain on U.S. dollar-denominated net debt, of which IP's after tax portion was $22 million or $0.05 per share. For the full year, adjusted EBITDA was $519 million, which represents a 26% margin. Full year 2020 equity earnings were $48 million, which includes a $50 million foreign exchange loss on Ilim's U.S. dollar-denominated net debt. 
Although 2020 was a challenging year across global pulp markets, Ilim's strong operational performance and low-cost system make it a powerful cash generator. We expect to receive about $100 million in dividends from Ilim in 2021. 
Moving to Slide 13. As Mark said in his opening remarks, we generated outstanding free cash flow of $2.3 billion in 2020. In our first quarter earnings call last year, we highlighted the company's financial flexibility and some of the cash levers we had available to enhance our cash generation. Given the significant economic uncertainty, we chose to pull some of those cash levers to reinforce the company's financial strength. 
We executed well on the things that impacted cash. In addition, COVID-19 changed the way we worked in 2020 and the choices that we made around our plant maintenance and other spending priorities. In the fourth quarter, we also benefited from a tax refund claim, which contributed $115 million to free cash flow. Our early actions and strong execution across the company enabled us to deliver another year of outstanding free cash flow generation. 
Turning to Slide 14. I wanted to take a moment to update you on our capital allocation actions in 2020 and provide clarity on what you can expect from International Paper as we move forward. 
We will maintain a strong balance sheet, and we're committed to our current investment grade rating with a targeted debt-to-EBITDA of 2.5 to 2.8x on a Moody's basis. We're very pleased with the progress we made on the balance sheet, debt and pension in 2020. We repaid $1.7 billion of debt and our pension gap improved by $500 million. 
Our pension plan is sufficiently funded. We closed 2020 with a healthy 95% funding level, and we feel really good about the actions we have taken over the past few years to derisk the plan.  We closed 2020 at 2.9x leverage in a much better place, and we're committed to getting to our target range. 
Returning cash to shareholders is a meaningful part of our capital allocation framework. In 2020, we returned $800 million to shareowners. Over the past 5 years, we've returned nearly $5.2 billion to shareowners through dividends and share repurchases or just over 50% of our free cash flow. 
We remain committed to a competitive and sustainable dividend of a target range of 40% to 50% of free cash flow, which we review annually as earnings and cash flow grow. And we will continue evaluating our free cash flow and intrinsic value to ensure that share repurchase opportunities are weighed against other capital allocation options, always with a commitment to maximize value creation. 
Investment excellence is essential growing earnings and cash. We expect CapEx in 2021 to be around $800 million. We will continue to proactively manage CapEx and have the ability to increase or pull back as circumstances warrant. You can expect strategic capital to be deployed mostly to our packaging business to build out capability and capacity needs to drive profitable growth. 
We will continue to assess disciplined and selective M&A opportunities to supplement our goal of accelerating profitable growth. You can expect M&A to focus primarily on bolt-on opportunities in our packaging business in North America and Europe. 
Continuing on Slide 14. I want to provide an update on the 2006 timber monetization installment notes. After careful consideration, we've decided not to extend the notes. When these notes mature in August of 2021, we expect to receive $630 million in cash, which represents our equity. We expect to pay about $75 million in taxes upon maturity of the timber notes. 
Now I'll turn to Slide 15 and our first quarter outlook. Demand for corrugated packaging is very strong as we enter the first quarter. Demand for fluff pulp accelerated in the fourth quarter, and that momentum continues in the first quarter. 
In Printing Papers, we're seeing a modest recovery in demand, but challenges will likely persist until we see a broad-based return to offices and schools. 
Taking a closer look at Industrial Packaging. We expect price and mix to improve by $65 million on the realization of our November 2020 price increase. Volume is expected to be flat sequentially with strong box demand offset by 1 less shipping day in the first quarter. Operations and costs are expected to improve by $35 million. 
Staying with Industrial Packaging, maintenance outage expense is expected to increase by $87 million and costs are expected to increase by $30 million, mostly due to higher recovered fiber and distribution cost. 
In Cellulose Fibers, we expect price and mix to increase by $15 million on realization of prior price movements. Volume is expected to be stable. Operations and input costs are expected to improve by $35 million. Maintenance outage expense is expected to decrease by $6 million, and input costs are expected to increase by $10 million, mostly due to higher seasonal wood and energy costs. 
Turning to Printing Papers. We expect price and mix to be stable. Volume is expected to decrease by $15 million on lower seasonal demand in Latin America and Russia. Operations and costs are expected to improve by $15 million. Maintenance outage expense is expected to increase by $2 million, and input costs are expected to increase by $10 million, again, mostly due to higher seasonal wood and energy costs. 
And under equity earnings, you will see the outlook for our Ilim joint venture. Coming back to plant maintenance expense, for the full year 2021, we plan $155 million of higher expenses. This increase includes deferrals we chose to make in our packaging mill system to meet strong customer demand as well as the impact of higher coal maintenance outages across of the system. 
And with that, I'll turn it back over to Mark."
61036,695124073,2191941,"International Paper Company, 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","International Paper Company","Executives","Thank you, Tim. Coming on to Slide 16 now. As we shared with you in December, we are taking meaningful actions to build a better IP and accelerate profitable growth with a focus on corrugated packaging. We're committed to deliver $350 million to $400 mill",740,"Thank you, Tim. Coming on to Slide 16 now. As we shared with you in December, we are taking meaningful actions to build a better IP and accelerate profitable growth with a focus on corrugated packaging. We're committed to deliver $350 million to $400 million in incremental earnings by the end of 2023. 
As part of our commitment, we will deliver $50 million to $100 million of incremental annual earnings growth in our businesses through commercial execution and investment excellence. We'll also deliver $300 million of structural cost reduction.
We have initiatives underway in 3 areas. First, we will streamline and simplify our organization to support a packaging focused company with a more focused geographic footprint. 
Second, we will redesign processes to increase efficiency and reduce costs in areas such as maintenance and reliability, distribution and logistics and sourcing. 
And third, we are identifying opportunities to better optimize our fleet of assets to make the right products on the right assets to further improve our cost position and to be more efficient with our capital. 
As we move forward, we will be sharing with you the multiple streams of earnings initiatives we have underway and when you should expect to see them enhance our earnings. Today, let me describe one of the key enablers to delivering on our process and asset optimization cost savings. And as you noticed on the slide, that area accounts for about 70% our structural cost reduction target. 
We will use new approaches that leverage technology and data analytics in our businesses. We established a dedicated team that's been working closely with external partners and our businesses over the past year to identify, develop and pilot a wide range of highly attractive opportunities, which are now moving to scaled implementation. 
Turning to Slide 17. You can see a few areas where we're using data to provide greater visibility and actionable insights. These tools enable new approaches to optimize our value chain, from our mills to our box plants, and ultimately, to our customers. We expect these initiatives to deliver between $150 million and $200 million in annual earnings improvement. We are making excellent progress scaling up several of these initiatives and expect to realize about half of these benefits in 2022. 
Let me give you a few examples of what this looks like. We would use real-time data to optimize production scheduling across our box plants in North America. Although many of the benefits result in lower costs across our system, we'll also gain low-cost incremental capacity in our box system to pursue profitable growth with very little incremental capital.  We're also using third-party logistics technology to optimize transportation planning and reduce distribution costs in our box plants. 
In our mills, we'll use continuous online monitoring and data analytics to improve fiber, chemical and energy consumption. In addition, online equipment monitoring will also enable us to predict potential equipment failures, improve reliability and reduce our overall maintenance costs. 
And in sourcing, we have greater visibility and more effective tools across a broader set of our procurement activities. We'll use internal and external data to develop a more targeted catalog of sourcing options to drive savings in operating and repair materials. Working with our external partners, our team is moving quickly to scale these opportunities and integrate them into our business processes. The team is also working closely with our businesses to identify more opportunities. 
Let me close on Slide 18. Our 2020 performance adds to my confidence in the path we're charting to build a better IP. We're motivated by the opportunities we have to accelerate value creation for our shareholders. Now I'm mindful that we're still in the midst of a global pandemic, and there's still significant uncertainty. International Paper's strengthened resilience endures. We're proud of the essential nature of our products that we make. Our employees have demonstrated a commitment to take care of each other and our customers. And that commitment continues.  Our customers can count on International Paper to be there for them and deliver superior solutions. And our communities can count us to be responsible partners to improve the lives of the people who depend on us. 
We have an exciting and ambitious agenda. We will continue to focus on what we need to do to further strengthen the company in the short-term and in the long-term for all of our stakeholders. 
With that, we are ready to take your questions."
61036,695124073,2191941,"International Paper Company, 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","International Paper Company","Operator","[Operator Instructions] And our first question is going to come from the line of Phil Ng with Jefferies.",18,"[Operator Instructions] And our first question is going to come from the line of Phil Ng with Jefferies."
61036,695124073,2191941,"International Paper Company, 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","International Paper Company","Analysts","How should we think about inflation when we think about 2021, particularly some of these buckets you've called out that's a little more volatile, ordered freight and OCC? And certainly, really good to see operation costs proved sequentially. But are there",62,"How should we think about inflation when we think about 2021, particularly some of these buckets you've called out that's a little more volatile, ordered freight and OCC? And certainly, really good to see operation costs proved sequentially. But are there any costs like distribution, for example, that we should be expecting to be more elevated just given how strong demand is?"
61036,695124073,2191941,"International Paper Company, 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","International Paper Company","Executives","So we think about inflation in a couple of ways. We have the general inflation of employee wage increases and general materials and operating materials. And that roughly runs around $200 million a year for us. It can be a little bit more a little bit less",161,"So we think about inflation in a couple of ways. We have the general inflation of employee wage increases and general materials and operating materials. And that roughly runs around $200 million a year for us. It can be a little bit more a little bit less. 
On the input side, of course, we track those quarter-by-quarter, and it's really driven on what's happening in the market. So in the moment, given transportation, we see that as a bit of a headwind given the economic activity that we're experiencing across the country. Spot rates on truck are elevated, as I mentioned in the speaker notes, congestion across most of the transportation mode. So we'll have to see how it plays out. 
And some of it is driven marginally by just the incremental demand growth that we're seeing in a moment and sourcing transportation to make sure we get it to customers on time. So yes, it's a bit of a headwind."
61036,695124073,2191941,"International Paper Company, 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","International Paper Company","Analysts","Got it. That's helpful. And then I noticed that most of your maintenance downtime, particularly in your corrugated segment in North America was going to be first half loaded. It sounds like demand is still really strong. Market is pretty tight to begin wi",76,"Got it. That's helpful. And then I noticed that most of your maintenance downtime, particularly in your corrugated segment in North America was going to be first half loaded. It sounds like demand is still really strong. Market is pretty tight to begin with. Just wanted to get some comfort on do you have enough inventory to kind of meet demand? And give us a little flavor how lead times and backlogs are looking right now."
61036,695124073,2191941,"International Paper Company, 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","International Paper Company","Executives","Well, we've got long backlogs, extended backlogs in the export channel. As we mentioned, we've been pivoting and prioritizing that to the North American market through our integrated system. I would say our inventories are lean right now, and we will mana",73,"Well, we've got long backlogs, extended backlogs in the export channel. As we mentioned, we've been pivoting and prioritizing that to the North American market through our integrated system. I would say our inventories are lean right now, and we will manage our outages accordingly to balance outage time and customer demand and the need for more. But we ran very lean in the back half of 2020, and we still see pressure."
