"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
247017859,702565510,2215936,"Keysight Technologies, Inc., Q1 2021 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","Keysight Technologies, Inc.","Operator","Good day, ladies and gentlemen, and welcome to the Keysight Technologies Fiscal First Quarter 2021 Earnings Conference Call. My name is Sedarius, and I will be your lead operator today. After the presentation, we will conduct a question-and-answer session",82,"Good day, ladies and gentlemen, and welcome to the Keysight Technologies Fiscal First Quarter 2021 Earnings Conference Call. My name is Sedarius, and I will be your lead operator today. After the presentation, we will conduct a question-and-answer session. [Operator Instructions] Please note that this call is being recorded today, Thursday, February 18, 2021, at 1:30 p.m. Pacific Time. 
I would now like to hand the conference over to Jason Kary, Vice President, Treasurer and Investor Relations. Please go ahead, Mr. Kary."
247017859,702565510,2215936,"Keysight Technologies, Inc., Q1 2021 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","Keysight Technologies, Inc.","Executives","Thank you, and welcome, everyone, to Keysight's First quarter Earnings Conference call for Fiscal Year 2021. Joining me are Ron Nersesian, Keysight's Chairman, President and CEO; and Neil Dougherty, our CFO joining us in the Q&A session will be Satish Dha",267,"Thank you, and welcome, everyone, to Keysight's First quarter Earnings Conference call for Fiscal Year 2021. Joining me are Ron Nersesian, Keysight's Chairman, President and CEO; and Neil Dougherty, our CFO joining us in the Q&A session will be Satish Dhanasekaran, Chief Operating Officer; and Mark Wallace, Senior Vice President of Global Sales. 
You will find the press release and information to supplement today's discussion on our website at investor.keysight.com. While there, please click on the link for quarterly reports under the Financial Information tab. There you will find an investor presentation along with Keysight's segment results. Following this conference call, we will post a copy of the prepared remarks to the website. To today's comments by Ron and Neil will refer to non-GAAP financial measures. We will also make references to core growth, which excludes the impact of currency movements and acquisitions or divestitures completed within the last 12 months. 
You will find the most directly comparable GAAP financial metrics and reconciliations on our website. All comparisons are on a year-over-year basis, unless specifically noted otherwise. We will make forward-looking statements about the financial performance of the company on today's call. These statements are subject to risks and uncertainties and are only valid as of today. The company assumes no obligation to update them. Please review the company's recent SEC filings for a more complete picture of our risks and other factors. Lastly, I would note that management is scheduled to participate in upcoming virtual investor conferences in March, hosted by Susquehanna, Credit Suisse and UBS. 
And now I will turn the call over to Ron."
247017859,702565510,2215936,"Keysight Technologies, Inc., Q1 2021 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","Keysight Technologies, Inc.","Executives","Thank you, Jason, and thank you, everyone, for joining us. Keysight delivered another outstanding quarter. Our consistent performance illustrates the strength of our differentiated solutions, broad-based momentum across diverse end markets and the durabil",810,"Thank you, Jason, and thank you, everyone, for joining us. Keysight delivered another outstanding quarter. Our consistent performance illustrates the strength of our differentiated solutions, broad-based momentum across diverse end markets and the durability of our business model. Today, I'll focus my comments on 3 key headlines. First, we achieved record first quarter orders, driven by growth across all regions despite China trade headwinds. Second, strong execution by the Keysight team delivered revenue and earnings growth above guidance; and third, we entered the year with solid momentum across multiple end markets and confidence in our revenue and earnings growth trajectory for the year. Despite a short-term expectation of elevated expenses from variable compensation which is due to the high near-term revenue growth, we expect to achieve mid- to high teens earnings growth in fiscal 2021. 
Now let's take a deeper look into our first quarter results. We delivered record first quarter orders of $1.2 billion, which again exceeded revenue and grew 7%. First quarter revenue grew 8% to $1.2 billion. As previously discussed, we faced strong year-over-year headwinds in the first quarter due to China trade restrictions. Adjusting for this impact, both orders and revenue grew solid double digits. 
We continue to make strong progress towards our long-term financial targets with consistent execution and enabled by the strength and discipline of the Keysight leadership model. We delivered first quarter gross margin of 64%, operating margin of 27%, which increased 210 basis points and free cash flow of $267 million. Turning to our markets. Aerospace, defense and government achieved record first quarter orders and revenue. 20% revenue growth was driven by continued investment in electromagnetic spectrum operations, space and the new commercial technologies like 5G and early 6G research. 
In Commercial Communications, we achieved all-time record orders in total as well as for 5G, while revenue declined 3%. Adjusting for the transit impact of unfavorable trade restrictions, Commercial Communications orders grew double digits, and revenue grew high single digits. Strength was driven by ongoing global 5G deployments and the rollout of new 5G devices and continued investment in 400G and 800G Ethernet for data centers. 
Keysight's end-to-end solutions portfolio is enabling the rapid progression of new technologies, both in the wireless and wired systems of the communications network, where our value proposition remains strong. Keysight continues to lead the industry in 5G powered by years of close collaboration with market makers and standards bodies. We are advancing our 5G strategy to capture emerging opportunities in the application layer as momentum builds ahead of deployments in 2021. 
We made great progress this quarter as broad industries embrace our 5G platform and new applications emerge. For example, O-RAN continues to be an area of active investment for our customers. We recently introduced a suite of end-to-end solutions for O-RAN vendors and mobile operators. Our solutions are used to verify the interoperability, performance, conformance and security of multi-vendor 5G networks. 
We also announced strategic partnerships in the expanding O-RAN space with industry leaders like Xilinx, Radisys, Array and Alteo store. In addition, we continue to accelerate Keysight's capabilities to provide industry-leading solutions through strategic acquisitions. In Q1, we acquired Sangale, a leader in wireless test and measurement solutions for protocol decoding and interoperability. San Tele's offerings complement our end-to-end solutions portfolio providing problem-solving tools that extend from inside the wireless network out through over-the-air analytics. 
Record revenue for our Electronic Industrial Solutions group was driven by double-digit growth in semiconductors and general electronic solutions. Record semiconductor revenue was fueled by ongoing investment in next-generation process technologies bolstered by new customer wins in China as we successfully redeployed our sales force to capitalize on new opportunities. 
General electronics strength reflected continued economic recovery with growth across all regions and improvement in the advanced research education market. In automotive, despite ongoing macro challenges, and demand is stabilizing as strategic investments in advanced technologies have accelerated in Asia and in the Americas. In Europe, we continue to expand our presence and recently announced a collaboration with elring cleaner, one of the world's leading system partner to the automotive industry. 
They chose Keysight's battery test solution to advance e-mobility in the field of battery development for electric vehicles. Software and services each delivered double-digit order and revenue growth, combined, they were approximately 1/3 of total Keysight revenue contributing significantly to our software-centric solution strategy and differentiation and further strengthening the durability of our business model with increasing recurring revenue. 
In summary, I'd like to thank our Keysight employees around the world who have reacted dynamically to a challenging environment to deliver exceptional results for our customers and shareholders. We are pleased with our first quarter performance and encouraged by the broad-based momentum across our markets entering the year. 
Now I would like to turn it over to Neil to discuss our financial performance and outlook in more detail."
247017859,702565510,2215936,"Keysight Technologies, Inc., Q1 2021 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","Keysight Technologies, Inc.","Executives","Thank you, Ron, and hello, everyone. As Ron mentioned, the Keysight team delivered an outstanding first quarter as the continued economic recovery drove a steady improvement in demand across all major regions. First quarter revenue of $1,180,000,000 was a",677,"Thank you, Ron, and hello, everyone. As Ron mentioned, the Keysight team delivered an outstanding first quarter as the continued economic recovery drove a steady improvement in demand across all major regions. First quarter revenue of $1,180,000,000 was above the high end of our guidance range and grew 8% or 6% on a core basis. Q1 revenue growth was driven by broad strength across multiple end markets and geographies. Total Keysight orders again exceeded revenue in Q1 with a book-to-bill just over 1. We achieved first quarter orders of $1,223,000,000, up 7% or 5% on a core basis successfully overcoming increased trade restrictions. 
Turning to our operational results for Q1. We reported gross margin of 64% and operating expenses of $439 million were well managed. Resulting in an operating margin of 27%, an increase of 210 basis points year-over-year. We achieved net income of $270 million and delivered $1.43 in earnings per share, which is well above the high end of our guidance. Our weighted average share count for the quarter was 188 million shares. 
Moving to the performance of our segments. Our Communications Solutions Group generated record first quarter revenue of $852 million, up 4% and was delivering gross margin of 65% and operating margin of 26%. In Q1, Commercial Communications achieved all-time record total and 5G quarterly orders. First quarter revenue declined 3% to $558 million, with Commercial Communications disproportionately impacted by the China trade restrictions. 
Aerospace, defense and government achieved record first quarter revenue of $294 million, an increase of 20% versus a strong compare in Q1 last year. Growth was driven by robust year-end spending across all major regions. In the U.S., growth was driven by prime contractor spending, offsetting slightly lower our spending from direct government customers as we saw less than expected disruption from the U.S. administration transition. The Electronic Industrial Solutions Group generated record revenue of $328 million, up 18% or 13% on a core basis. Orders and revenue for our Semiconductor and General Electronics Measurement Solutions both grew double digits for the second quarter in a row, with strong revenue growth across all regions, particularly in Asia Pacific. 
EISG reported gross margin of 63% and operating margin of 29%. Moving to the balance sheet and cash flow. We ended our first quarter with $1.9 billion in cash and cash equivalents and reported cash flow from operations of $295 million and free cash flow of $267 million or 23% of revenue. Under our share repurchase authorization during the quarter, we acquired approximately 137,000 shares on the open market at an average price of $145.14 for a total consideration of $20 million. Before moving to our guidance, I'd like to remind everyone of my comments last quarter, in which I stated that flexible spending and variable compensation is expected to increase in FY '21 with Q2 expenses seasonally higher than all other quarters. 
The principal driver is variable compensation, which is a function of organic revenue growth and operating margin. Just is reflect expenses down last year in response to a decline in revenue, it will flex up this year, particularly in quarters with soft revenue comps, notably Q2 and Q3. We believe our variable compensation is an important element of not only our flexible cost structure, but our human capital philosophy in which employees are engaged and participate in both the ups and downs of the business. 
Now turning to our outlook and guidance. We expect second quarter 2021 revenue to be in the range of $1,190,000,000 to $1,210,000,000, which represents 34% revenue growth at the midpoint. We expect Q2 earnings per share to be in the range of $1.29 to $1.35 based on a weighted diluted share count of approximately 188 million shares. 
In closing, we are entering the year with order momentum, a solid backlog position and strong operational execution. We are pleased with the trajectory of our business and expect to achieve mid- to high teens to earnings growth for the full fiscal year. 
With that, I will now turn it back to Jason for the Q&A."
247017859,702565510,2215936,"Keysight Technologies, Inc., Q1 2021 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","Keysight Technologies, Inc.","Executives","Thank you, Neil. So Darius, will you please give the instructions for the Q&A?",14,"Thank you, Neil. So Darius, will you please give the instructions for the Q&A?"
247017859,702565510,2215936,"Keysight Technologies, Inc., Q1 2021 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","Keysight Technologies, Inc.","Operator","[Operator Instructions] And your first question comes from the line of Rick Eastman with Baird.",15,"[Operator Instructions] And your first question comes from the line of Rick Eastman with Baird."
247017859,702565510,2215936,"Keysight Technologies, Inc., Q1 2021 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","Keysight Technologies, Inc.","Analysts","Yes, could you perhaps maybe just kind of walk through a little bit of the operating leverage that we really saw in both Commercial Communications Solutions Group. I'm kind of looking at the op profit number of 1 70 is that -- with the gross margin maybe",93,"Yes, could you perhaps maybe just kind of walk through a little bit of the operating leverage that we really saw in both Commercial Communications Solutions Group. I'm kind of looking at the op profit number of 1 70 is that -- with the gross margin maybe down, is that primarily all mix? Or maybe give us a couple -- a little bit of a feel for that. And maybe the same question around EISG, just significant operating leverage there. I'm curious how much is mix versus volume. I mean that's a word."
247017859,702565510,2215936,"Keysight Technologies, Inc., Q1 2021 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","Keysight Technologies, Inc.","Executives","Yes, Rick, this is Neil. So I think you've hit on it, right? Q4 was a very favorable -- if you're looking sequentially, Q4 was a very favorable gross margin quarter for us as we really significantly ramp production after the COVID disruptions of Q2 and Q3",137,"Yes, Rick, this is Neil. So I think you've hit on it, right? Q4 was a very favorable -- if you're looking sequentially, Q4 was a very favorable gross margin quarter for us as we really significantly ramp production after the COVID disruptions of Q2 and Q3. And I think just the nature of us responding to immediate customer demand for urgent delivery kind of shifted the mix in a favorable direction in the fourth quarter. 
I think what we saw in the first quarter was a return to more normalized mix. It aligns with kind of the quarters leading up to Q4 as well as slightly lower volume. And I think that comment is basically true across both the communications group as well as EISG. There's nothing really specific to either one of the 2 businesses."
247017859,702565510,2215936,"Keysight Technologies, Inc., Q1 2021 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","Keysight Technologies, Inc.","Executives","And if you also look at the long-term model that we outlined at Analyst Day for FY '23, obviously, our performance shows very strong against that. And we have no doubt that we'll be able to deliver to that level going forward.",43,"And if you also look at the long-term model that we outlined at Analyst Day for FY '23, obviously, our performance shows very strong against that. And we have no doubt that we'll be able to deliver to that level going forward."
247017859,702565510,2215936,"Keysight Technologies, Inc., Q1 2021 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","Keysight Technologies, Inc.","Analysts","Got you. Great. And then just a quick question, maybe if I could. I surprised to see a positive surprise to see the order growth. And basically, it looks like you held your backlog up kind of in the low 20s year-over-year, 20% year-over-year. I think math",101,"Got you. Great. And then just a quick question, maybe if I could. I surprised to see a positive surprise to see the order growth. And basically, it looks like you held your backlog up kind of in the low 20s year-over-year, 20% year-over-year. I think math quickly says 23% year-over-year on the backlog side. And I know you spoke to orders being strong across geographies and across product lines. Is there any particular place that you might flag, whether it be geography or between the 2 business segments where you were pleasantly surprised with the order growth in the quarter?"
