"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
288502,700595323,2191630,"Merck & Co., Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Merck & Co., Inc.","Operator","Good morning. My name is Lara, and I will be your conference operator today. At this time, I would like to welcome everyone to the Merck & Co. Q4 Sales and Earnings Conference Call. [Operator Instructions] I would now like to turn the call over to Peter D",56,"Good morning. My name is Lara, and I will be your conference operator today. At this time, I would like to welcome everyone to the Merck & Co. Q4 Sales and Earnings Conference Call. [Operator Instructions] I would now like to turn the call over to Peter Dannenbaum, Vice President, Investor Relations. Sir, please go ahead."
288502,700595323,2191630,"Merck & Co., Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Merck & Co., Inc.","Executives","Thank you, Lara, and good morning. Welcome to Merck's Fourth Quarter 2020 Conference Call. Today, I'm joined by Ken Frazier, our Chairman and Chief Executive Officer; Rob Davis, our Chief Financial Officer; Dr. Dean Li, President of Merck Research Labs; F",314,"Thank you, Lara, and good morning. Welcome to Merck's Fourth Quarter 2020 Conference Call. Today, I'm joined by Ken Frazier, our Chairman and Chief Executive Officer; Rob Davis, our Chief Financial Officer; Dr. Dean Li, President of Merck Research Labs; Frank Clyburn, our Chief Commercial Officer; and Mike Nally, our Chief Marketing Officer. 
Before we get started, I'd like to point out a few items. You will see that we have items in our GAAP results such as acquisition-related charges, restructuring costs and certain other items. You should note that we have excluded these from our non-GAAP results and provide a reconciliation in our press release. We've also provided a table in our press release to help you understand the sales in the quarter for the business units and products. And the supplemental financials posted to our website include Recap 2020 Quarters based on the reporting change we are announcing today. 
I would also like to remind you that some of the statements that we make during today's call may be considered forward-looking statements within the meaning of the Safe Harbor provision of the U.S. Private Securities Litigation Reform Act of 1995. Such statements are made based on the current beliefs of Merck's management and are subject to significant risks and uncertainties. If our underlying assumptions prove inaccurate or uncertainties materialize, actual results may differ materially from those set forth in the forward-looking statements. 
Our SEC filings, including Item 1A in the 2019 10-K, identify certain risk factors and cautionary statements that could cause the company's actual results to differ materially from those projected in any of our forward-looking statements made this morning. Merck undertakes no obligation to publicly update any forward-looking statements. Our SEC filings, today's earnings release and an investor presentation with highlights of our results are all posted on merck.com. 
With that, I'd like to turn the call over to Ken."
288502,700595323,2191630,"Merck & Co., Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Merck & Co., Inc.","Executives","Thank you, Peter. Good morning, and thank you all for joining today's call. Before turning to our financial results and our future perspective, I'd like to make a few comments about this morning's other announcement. It has been a distinct honor and privi",751,"Thank you, Peter. Good morning, and thank you all for joining today's call. Before turning to our financial results and our future perspective, I'd like to make a few comments about this morning's other announcement. It has been a distinct honor and privilege to serve this great company as its CEO over the past decades. I thank all of my Merck colleagues for their extraordinary support throughout this period. We are making this leadership change to cure in the knowledge that Merck has the elements in place for a strong future of scientific innovation and profitable growth. 
Rob Davis is well prepared and well suited to help capitalize on the many exciting opportunities before it, as well as to take on the challenges that lie ahead. He and the Merck senior team will provide outstanding leadership for our company in the coming years. Given Merck's current position of strength, the Merck Board and I believe it is a good time to begin transitioning the company's day-to-day decision-making as well as a strategic direction to Rob, who will assume the title of President in April. At which point our operating divisions, human health, animal health, manufacturing and research, will begin reporting to him. 
I will retire as CEO at the end of June, but remain for some period of time as Executive Chairman to assist Rob, Dean and the rest of the senior team. I am extremely confident in the capabilities and commitment of Merck's people and Rob's ability to guide the company to an even brighter future. 
Moving on to our results. Despite challenges from the pandemic, Merck achieved solid growth in revenues and earnings in 2020, made meaningful advancements in our pipeline and added important assets through business development. Despite the particular impact to our portfolio, the underlying demand for our innovative medicines and vaccines remain strong. And our initial guidance reflects our expectation for a return to strong growth this year, 2021. 
Looking out to 2024, we continue to believe our revenue potential is underappreciated. Longer term, the work we are doing in advancing our internal pipeline and in adding assets through business development, gives us increasing line of sight to significant potential growth drivers later this decade and into the next. I'm amazed by the dedication of our employees who rallied to keep supply uninterrupted, regulatory filings on track and clinical and commercial execution in line with our goals. And I remain continually inspired by what Merck accomplishes for patients around the world. 
I'm also encouraged by the progress scientific experts across the biopharmaceutical industry have achieved in bringing vaccines to market that will help address the pandemic and start to return the world to normalcy. These successes further underscore the societal value of our industry's ongoing investments in science and innovation. Merck remains committed to developing an effective response to COVID-19 also. We have discontinued development of our COVID-19 vaccine candidate, but our therapeutic research programs continue to move forward. We believe that our oral antiviral candidate molnupiravir could make an important contribution to treating COVID-19 patients, and we look forward to seeing the results of our pivotal trials. 
More recently, we acquired OncoImmune and have accelerated the development of MK-7110, a Phase III candidate with strong potential in the treatment of severe and critical COVID-19 patients. I am encouraged by the innovative research happening in our lab, not just on the COVID front, but across our broad late-stage pipeline of promising medicines and vaccines, including in oncology, HIV and pneumococcal disease. We remain highly focused on business development to enhance our internal pipeline. 
We completed 120 transactions in total in 2020, including important acquisitions, such as OncoImmune, VelosBio and ArQule and collaborations, including CGEN and Ridgeback. Our plan to spin-off Organon remains on track for completion late in the second quarter. As independent, more focused company, I'm confident Merck and Organon will have the ability to more effectively pursue their respective market opportunities and business strategy to bring more value to patients and to shareholders. 
Let me conclude by expressing my confidence in the leaders of this company and how proud I am of the Merck team's success in advancing our pipeline and maintaining business continuity in a challenging environment. Additionally, I'd like to recognize and thank the frontline health care workers, scientists and government officials working together to bring the world back to normalcy. And with that, I'll pass it on to my colleague, Rob, to review the details of our performance and our outlook."
288502,700595323,2191630,"Merck & Co., Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Merck & Co., Inc.","Executives","Thanks, Ken, and good morning, everyone. I'm honored and humbled to be named as Merck's next Chief Executive Officer. I look forward to continuing the important work we do to bring our medicines and vaccines to the people who need them. Under my leadershi",1787,"Thanks, Ken, and good morning, everyone. I'm honored and humbled to be named as Merck's next Chief Executive Officer. I look forward to continuing the important work we do to bring our medicines and vaccines to the people who need them. Under my leadership, Merck will remain focused on scientific innovation as the source of sustained long-term value for both patients and shareholders. 
Ken's unrelenting commitment to excellence and scientific innovation with patients at the center of everything we do permeates the culture of the company and its employees. Under Ken's leadership, Merck has achieved improved growth, clinical success, most notably with KEYTRUDA, and a revitalized pipeline and discovery research capability that will benefit both the company and the patients we serve for many years to come. 
Ken has put us in a position of financial and operational strength, from which we will be able to pursue our important mission to save and sustain lives through ongoing scientific innovation. The company has benefited from Ken's leadership. I personally and professionally benefited from his mentorship and guidance and want to thank him for that. Issues won't be easy to fill in so many ways, both within Merck but also including his many principled and valuable contributions to import issues facing society today. The talent and commitment of Merck's employees worldwide, however, make me extremely confident that we will achieve continued success through this transition and long into the future as we build on Ken's legacy. 
Now turning to the business. Our resilience in a year that brought us countless challenges amidst the global pandemic is a true testament to the talent, hard work and dedication of Merck employees worldwide. Our performance in this environment reinforces the confidence we have in our science-led strategy and in our potential for strong growth in 2021 and beyond. Underlying demand for our key growth pillars allowed our business to deliver 2% growth year-over-year or 4% excluding the impact of exchange, while absorbing approximately $2.5 billion of negative pandemic impact to revenues. Were it not for the pandemic impacts, we estimate growth for the year would have been approximately 9% ex exchange. 
Now turning to our fourth quarter results. Total company revenues were $12.5 billion, an increase of 5% year-over-year, both nominally and excluding the impact of foreign currency. Fourth quarter results were negatively impacted by approximately $400 million due to the pandemic. Excluding this impact, fourth quarter revenues would have grown by approximately 9% ex exchange. 
The remainder of my comments will be on an ex exchange basis. Our Human Health revenues increased 6%. In Oncology, KEYTRUDA sales in the quarter grew 27% to $4 billion and for the year by 30% to $14 billion. In the U.S., KEYTRUDA continues to maintain its leadership position in lung cancer and is benefiting from strong usage across all key tumor types. We continue to see strong growth outside of lung cancer, including in renal and endometrial carcinomas, and further uptake in our Q6 weekly dosing regimen. 
Outside the U.S., KEYTRUDA growth continues to be driven by lung cancer indications. Uptake from KEYNOTE-189 in newly imbursed markets for KEYNOTE-407 and remain the key growth drivers in the EU. In Japan, price adjustments in the first half of the year more than offset underlying volume growth. LYNPARZA and LENVIMA continue to demonstrate strong growth and are meaningful contributors to our broader oncology portfolio, growing 53% and 26%, respectively, year-over-year. 
Our vaccines portfolio continues to be impacted by below normal wellness visits, particularly in the United States. [indiscernible] sales grew year-over-year, mostly reflecting the impact from the $120 million CDC stockpile replenishment in the quarter and the initial $120 million borrowing in the fourth quarter of 2019, which had a combined positive impact of $240 million year-over-year. 
Our hospital performance showed continued improvement in the fourth quarter. [ Region ] sales grew 13% year-over-year, driven by continued market share gains, offset in part by lower elective surgery procedures. Our Animal Health business again delivered a strong quarter with sales of $1.2 billion and 6% growth. Companion Animal grew 9%, reflecting demand for companion animal vaccines and parasiticides. Livestock grew 4%, primarily reflecting an extra month of sales from the acquisition of [ Antelliq, ] partially offset by distributor purchasing patterns. 
Turning to the rest of our P&L. My comments will be on a non-GAAP basis. Gross margin was 73% in the quarter, an increase of 0.4 percentage points, driven by favorable product mix and manufacturing variances, partially offset by higher inventory write-offs due to a recall of Zerbaxa, pricing pressure and foreign exchange. Operating expenses grew 4% year-over-year to $5.4 billion. COVID had a largely neutral impact as operating savings were offset by incremental spend to advance our COVID-19 research programs. 
Operating expenses in the quarter reflect overall growth in R&D spending, as well as a donation to the Merck Foundation. Other income increased year-over-year driven by income from equity securities. The effective tax rate for the quarter was 15.3%, a decrease of 1.6 percentage points from a year ago due to favorable earnings mix. Taken together, we earned $1.32 per share, an increase of 17%. 
Now before detailing our 2021 outlook, I want to highlight that our press release details reporting changes we will be implementing beginning in the first quarter that are reflected in our guidance ranges. These changes result in a better alignment between our non-GAAP results and the underlying operational performance of our company and improved unpredictable quarter-to-quarter volatility. While these changes will have an impact on our non-GAAP results going forward, there is no impact to cash flow. 
Turning to 2021 guidance. For Merck, we expect revenues of $51.8 billion to $53.8 billion, which represents growth of 8% to 12% versus 2020, and excludes any potential revenue from our COVID therapeutics. This range assumes a positive impact from foreign exchange of roughly 2 percentage points using mid-January rates. We assume full year pandemic impacts to be approximately 2% or roughly $1 billion, largely in the first half of the year. 
Our gross margin will be roughly 77% including a benefit of 1.8 percentage points due to the reporting change. We expect operating expenses to grow at a high single-digit to low double-digit rate. Normalized for the impact of COVID, operating expenses would be expected to grow closer to mid-single digits. We expect other expense of $400 million in our other income and expense line, driven largely by net interest expense. Under our prior reporting, we would have guided to an expected $400 million of income, resulting in an $800 million unfavorable swing. This difference is driven by an expected gain on the amount sale of Preventice, mark-to-market gains on our fund holdings, which include our indirect investment in Moderna, and other expected investment gains that will now be excluded from non GAAP. 
We expect our full year tax rate to be between 15% and 16%. And we anticipate 2.53 billion shares outstanding. Taken together, we expect our non-GAAP EPS to be between $6.48 to $6.68, which reflects growth of 12% to 15% versus 2020 recast EPS. This range includes a positive impact from foreign exchange of roughly 3 percentage points. Our EPS growth under the new reporting convention benefits from the removal of the disproportionate mark-to-market equity gains we recorded in 2020. Importantly, however, under either reporting method, we expect strong operating margin leverage of 1 percentage point or more in 2021. The benefit to our 2021 EPS guidance is only $0.08 under new reporting versus previous reporting. 
We will continue to monitor the ongoing impact of the pandemic on wellness visits and delay procedures as we move into and through 2021. We remain confident in our ability to grow both in the near and long term, driven by our portfolio of derisked and innovative assets. 
Now turning to Organon. We are on track to complete the spin-off of Organon, which we expect will take place in the second quarter -- I should say, late in the second quarter. The strategic merits of this transaction are even more clear as we sit here today. In 2020, we brought the products we will spin-off as part of Organon, achieved revenues of $6.5 billion. The high level metrics for organ on that we provided a year ago remain largely unchanged. We expect Organon to achieve 2021 revenues of $6 billion to $6.5 billion. Off of this base and has the negative impact of the loss of exclusivity on key brands diminishes, we expect Organon to achieve longer-term revenue growth in the low to mid-single digits. 
As a stand-alone company post spin, we continue to expect Organon's operating margins to be in the mid-30% range and to increase over time. This compares to a non-GAAP operating margin of approximately 45% within Merck, with the difference reflecting additional costs Organon will incur to operate as an independent company. EBITDA margins are now expected to be in the high 30% range initially and are expected to grow over time. This is a slight decrease from our prior guidance due to a lower proportion of capital assets transferred to Organon versus our initial expectations. 
We expect Organon to have initial debt of $9 billion to $9.5 billion. Merck expects to receive a special tax-free dividend of $8.5 billion to $9 billion prior to the spin. We continue to expect Organon to pay a meaningful dividend that will be entirely incremental to that of Merck. For Merck, spinoff of Organon is expected to enable incremental operating efficiencies of approximately $1.5 billion over 3 years, including approximately $500 million in 2021, which is included in our guidance. 
We now expect to deliver operating margins of greater than 42% in 2024, an increase of 2 percentage points versus our prior expectation of greater than 40% as a result of the impact of the reporting change. For modeling purposes, please be aware that Merck will continue to incur overhead costs previously allocated to the Organon products, which we estimate to be approximately $400 million on a full year basis. These stranded costs will be reduced over time and are netted into the overall efficiency target. 
To conclude, the strength and resilience of our business in 2021 -- 2020 reinforces our confidence as we begin the new year. Demand for our key growth drivers remains intact, and we are confident that we will deliver strong growth in 2021 and long into the future. We will continue to use our strong financial position to invest meaningfully in our pipeline, capitalizing both internal and external opportunities, and to make the right strategic decisions like the spin-off of Organon to position our company for continued success. With that, I'll turn the call back over to Ken."
288502,700595323,2191630,"Merck & Co., Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Merck & Co., Inc.","Executives","Thank you, Rob. As I've underscored many times, innovative research is the cornerstone of Merck. This is why we planned carefully for Dr. Roger Perlmutter's retirement and the transition of leadership of the Merck Research Laboratories to Dr. Dean Li, who",170,"Thank you, Rob. As I've underscored many times, innovative research is the cornerstone of Merck. This is why we planned carefully for Dr. Roger Perlmutter's retirement and the transition of leadership of the Merck Research Laboratories to Dr. Dean Li, who I'm pleased to welcome to today's call. 
Dean is a physician scientist who has a keen understanding of Merck's mission, dedication and science in our early and late-stage assets. He has hands-on experience leading key areas of research, including early discovery in translational medicine, while under Roger's leadership at Merck, as well as in his prior role where he exploited new technologies to found companies and was a leader in an academic health care delivery system. 
We believe he is uniquely positioned to take on this important role and advance Merck's promising pipeline. I'm confident that under Dean's leadership, Merck's legacy of innovative R&D will continue and we will persist in successfully bringing forward breakthrough medicines and vaccines that make a real difference for patients and shareholders alike. Dean?"
288502,700595323,2191630,"Merck & Co., Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Merck & Co., Inc.","Executives","Thank you, Ken. I'm delighted to be here for my first earnings call as Head of Merck Research Laboratories. And so for my remarks today, I will provide an update on our COVID research effort, cover key regulatory milestones, clinical updates and recent bu",1288,"Thank you, Ken. I'm delighted to be here for my first earnings call as Head of Merck Research Laboratories. And so for my remarks today, I will provide an update on our COVID research effort, cover key regulatory milestones, clinical updates and recent business development, first in our oncology pipeline and then the broader pipeline. 
Regarding our COVID-19 research programs, Merck has made the decision to discontinue development of its vaccine candidate, V590 and V591. This decision was based on clinical finding from Phase I study showing that, while the vaccines were well tolerated, immune responses were inferior to those observed with natural infection and those reported for other authorized COVID vaccines. We are grateful to our collaborators and the volunteers who participated in this trial. Our COVID-19 efforts now shift, advancing our 2 therapeutic candidates, molnupiravir, often known as MK-4482 and MK-7110. Our orally available antiviral candidate molnupiravir, which we are developing in collaboration with Ridgeback Biotherapeutics, continues to progress in our Phase II/III trials studying hospitalized and nonhospitalized patients. The primary completion date is in May 2021, but it is possible that we may have interim efficacy data in the first quarter which, of course, we would share publicly, if meaningful. 
Molnupiravir has the potential to play an important role in the current pandemic as well as other emerging novel coronavirus infections. We have been scaling production capacity and expect to have over 10 million courses of therapy available by the end of 2021. We recently added the second candidate to address COVID-19 through the acquisition of OncoImmune. This agent, MK-7110 is a recombinant fusion protein administered by IV infusion that targets the novel immune checkpoint. Final results are expected in our -- in the clinical trial in the first quarter. 
Turning to oncology. In the fourth quarter, KEYTRUDA received an additional new approval in the U.S. in combination with chemotherapy for first-line treatment of patients with metastatic triple-negative breast cancer, whose tumors express PD-L1 had a combined proportional score of 10 or greater. The approval was based on progression-free survival results from KEYNOTE-355, and this marks the 17th tumor type for which KEYTRUDA has been approved. 
Also in the last quarter, the FDA accepted a supplemental New Drug Application with priority review for KEYTRUDA in combination with chemotherapy in previously untreated patients with esophageal carcinoma regardless of PD-L1 expression based on KEYNOTE-590. These results demonstrated clinically meaningful improvement in overall survival, progression-free survival, and overall response rate. The FDA target action date is April 13. 
Working with our partners at Eisai, we are pleased to note positive results from the KEYNOTE-581 trial for KEYTRUDA plus 1 [ VMA ] versus sunitinib for first-line treatment of renal cell carcinoma. The study demonstrated statistically significant improvements across primary and secondary endpoints, and these data will be presented at ASCO GU next week. 
We also announced at KEYNOTE-775, evaluating KEYTRUDA plus LENVIMA for treatment of second-line endometrial carcinoma, which stopped early. The independent data monitoring committee reported that KEYTRUDA plus LENVIMA demonstrated a significant improvement across all endpoints versus chemotherapy. The success of KEYNOTE-581 and KEYNOTE-775 reinforces the opportunity presented by the combination of KEYTRUDA in the multi-tyrosine kinase inhibitor, LENVIMA. We continue to explore this combination in 19 studies spanning multiple tumor types. 
Now looking ahead, we look forward to meeting with the FDA's Oncologic Drug Advisory Committee to discuss data from the third interim analysis from KEYNOTE-522, evaluating neoadjuvant and adjuvant treatment of patients with early-stage, triple-negative breast cancer as compared with an alternative regimen. The DLA that includes data from this study is currently under FDA review with a PDUFA date next month. 
Business development remains a priority. In the fourth quarter, we completed the acquisition of VelosBio, whose lead candidate, VLS-101, known as MK-2140, is [ Aror 1 ] targeted antibody drug conjugate currently being evaluated in a Phase II study of patients with solid tumor and in Phase I for patients with hematologic malignancies. This opportunity, along with the [ LIVE 1 ] antibody-drug conjugates that we are developing in partnership with Seagen underscores our commitment to investigating tumor-targeted chemotherapy using next-generation antibody drug conjugate. 
Now as part of our strategy to explore new tumor targeting technology, we recently entered collaborations with A2 Biotherapeutics and Ortiva Biotherapeutics aimed at evaluating opportunities for key and NK cell therapy and a third collaboration with Genic Therapeutics on their T-cell engager technology. These collaborations, along with work already underway with Dragonfly Therapeutics to design targeted NK cell engagers, support our commitment to tumor targeting technologies. 
Now turning to our broader pipeline. We continue to progress our suite of pneumococcal vaccine candidate, V114, V116 and V117. Each one is designed for targeted production against prevalent pneumococcal disease serotypes across different age groups. [indiscernible] V114, our 15 villent pneumococcal vaccine candidate was recently granted priority review by the FDA for the prevention of invasive pneumococcal disease in adults. The target action date is July 18. 
Adults administered V114 produced comparable levels of antibodies for all serotypes in the currently available conjugate vaccines with higher responses observed for serotype 3, one of the most common causes of invasive pneumococcal diseases in adults and in children. Robust response to unique disease-causing serotypes, 22F and 33F, were also observed. Now in the U.S., serotypes 22F and 33F have been linked, the 13% of invasive pneumococcal disease seen among adults aged 65 and older; and in Europe, 7% to 12% of adult cases. Our V114 Phase III pediatric studies are on track, and we anticipate results from these trials this year. In 
In addition to V114, we are progressing our adult and pediatric next-gen vaccines, V116 and V117. The infectious disease space is [ Logerfo, ] our novel nucleoside reverse transcriptase translocation inhibitor for HIV, continues to progress in both the treatment and in-the-prep setting. In the prep setting, we expect to begin recruitment soon for 2 new Phase III trials, IMPOWER 22 and IMPOWER 24 in different populations at high-risk of acquiring HIV infection. 
Now IMPOWER 22 will evaluate the efficacy and safety of [ Islatravir ] as a once-monthly oral capsule in adult women and adolescent girls. IMPOWER 24 will evaluate the same regimen in men who have sex with men and transgender women who have sex with men. Also, in the prep setting, positive interim results from the Phase II trial evaluating [ islatravir ] as a once-monthly oral prep regimen were recently presented at HIV Research for Prevention 2021. These interim results show that is [indiscernible] achieved the efficacy pharmakinetic threshold at each of the 2 doses study, 60 milligrams and 120 milligrams, and that these doses are well tolerated. These findings offer further evidence for the potential of [ islatravir ] to provide a monthly oral prep option for people at risk of acquiring HIV. 
Now in addition, as we announced previously, we are advancing MKA 507, our non nucleoside reverse transcriptase inhibitor, in combination with islatravir into a Phase II study as a potential once-weekly oral treatment option. This weekly islatravir MKA 507 combination builds on the once-daily islatravir plus doravirine combination currently in Phase III, a Phase III study, which we expect to start to read out in the second half of 2021. 
Finally, we received FDA approval for [indiscernible] following priority review. This new option for patients who experienced worsening heart failure built on our commitment to develop therapies for patients with cardiovascular disease. We at Merck Research Laboratories are well positioned to continue to take full advantage of our [indiscernible] strength in oncology and vaccine while investing in other therapeutic areas, exploring new modalities and complementing and supplementing our internal pipeline with external opportunities. 
I will now turn the call back to Peter."
288502,700595323,2191630,"Merck & Co., Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Merck & Co., Inc.","Executives","Thank you, Dean. We recognize there could be additional questions today, and we're prepared to extend the call past 9 a.m., but in order to get to as many analysts as possible, I ask that you please limit yourselves to 1 question. Larry, could you start t",49,"Thank you, Dean. We recognize there could be additional questions today, and we're prepared to extend the call past 9 a.m., but in order to get to as many analysts as possible, I ask that you please limit yourselves to 1 question. Larry, could you start the queue, please?"
288502,700595323,2191630,"Merck & Co., Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Merck & Co., Inc.","Operator","[Operator Instructions] So your first question will come from the line of Mr. Seamus Fernandez.",15,"[Operator Instructions] 
So your first question will come from the line of Mr. Seamus Fernandez."
288502,700595323,2191630,"Merck & Co., Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Merck & Co., Inc.","Analysts","Great. So Rob, congratulations on the CEO appointment. Just wanted to get a sense of your thoughts in terms of Merck moving forward. You've talked about the underappreciation of the upside that you see for the company in 2023 plus relative to consensus ex",127,"Great. So Rob, congratulations on the CEO appointment. Just wanted to get a sense of your thoughts in terms of Merck moving forward. You've talked about the underappreciation of the upside that you see for the company in 2023 plus relative to consensus expectations. But the obvious question that is going to continue is, how are you thinking about the evolution of the company in sort of 2026 to 2030 as KEYTRUDA basically approaches its patent expiration. What do you think the company really needs to do in that regard? 
And then just as a follow-up to that, just from a strategic perspective, can you just give us your thoughts around the Animal Health business as part of Merck? Could that be part of a future restructuring?"
288502,700595323,2191630,"Merck & Co., Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Merck & Co., Inc.","Executives","Great. Thanks, Seamus, for the question. As we look forward, from a strategic perspective, obviously, there'll be a lot more time as we move into the months and quarters to come to continue to have the dialogue. But I think at the highest level, the impor",582,"Great. Thanks, Seamus, for the question. As we look forward, from a strategic perspective, obviously, there'll be a lot more time as we move into the months and quarters to come to continue to have the dialogue. But I think at the highest level, the important point is that the strategy we've been under, which is focused on scientific innovation as the core of who we are, driven first by really the revitalization of what we're doing in the drug discovery and from a clinical development perspective, which I think you're seeing the fruits of, and obviously, what we're achieving with KEYTRUDA and with what we see as a growing earlier stage pipeline, which we're excited about. 
So as we look at 2025 and beyond and into the 2030 time frame, it really is to continue to focus first and foremost on investing behind the best science, whether it comes from inside the company or outside the company, execute on the pipeline we have. We have a lot of great -- near-term late-stage launches coming. We've got islatravir, we've got our V114, the entire pneumococcal franchise that we're building, we have obviously a whole host of opportunities in oncology, which I'm sure Dean and others would be happy to comment on. Looking at both what we can do to extend the breadth of KEYTRUDA's reach to the number of patients it serves as well as its efficacy through combinations as well as broadening into other oncology fields and broader mechanisms, which we have. So that all will be continue to be where we will focus our efforts. 
As we look at that, we realize, though, we will need to continue to do business development to augment that, and we are committed to that. We've been pretty consistent in talking about the urgency we have around business development. That hasn't changed. That won't change. But what also won't change is we will do it when we see an alignment of strategy and value that is tied with our scientific endeavor and that -- so that is really the way we look. But as we started to highlight even at the JPMorgan conference, I think people under appreciate what we have as growth opportunities as we start to move into that 2028 and beyond time frame. 
Clearly, we have a real opportunity to continue to grow between now and then with KEYTRUDA. But I think actually, we will have an opportunity to grow beyond them through all of the things I mentioned. So more of the same from that regard. And then with regard to Animal Health, we continue to see Animal Health as a strategic part of this business. If you look at the growth that business delivers, it's best-in-class within the animal health space. It's accretive to the overall position for Merck and we are investing in it. And I think it is positioned to continue to show very strong growth, both through the existing products it has, but also through a very good portfolio of pipeline products which is leveraging the synergies we have with the MRL function we have on the human health side. 
So as we sit here, looking forward, I continue to see animal health as a core part of our strategy. And as we've said, we always are looking at our portfolio, but everything I see tells me that this is something we will maintain and grow because we are the most advantaged owner, in my mind."
