"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
335919,701290759,2191746,"Penn National Gaming, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","PENN Entertainment, Inc.","Operator","greetings, and welcome to the Penn National Gaming Fourth Quarter Conference Call. [Operator Instructions] I would now like to turn the conference over to Mr. Joe Jaffoni, Investor Relations. Please go ahead.",32,"greetings, and welcome to the Penn National Gaming Fourth Quarter Conference Call. [Operator Instructions] I would now like to turn the conference over to Mr. Joe Jaffoni, Investor Relations. Please go ahead."
335919,701290759,2191746,"Penn National Gaming, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","PENN Entertainment, Inc.","Attendees","Thank you, Frank. Good morning, everyone, and thank you for joining Penn National Gaming's 2020 Fourth Quarter Conference Call. We'll get to management's presentation and comments momentarily as well as your questions and answers. But as always, I'll firs",283,"Thank you, Frank. Good morning, everyone, and thank you for joining Penn National Gaming's 2020 Fourth Quarter Conference Call. We'll get to management's presentation and comments momentarily as well as your questions and answers. But as always, I'll first review the safe harbor disclosure. 
In addition to historical facts or statements of current conditions, today's conference call contains forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995, which involve risks and uncertainties. These statements can be identified by the use of forward-looking terminologies such as expects, believes, estimates, projects, intends, plans, seeks, may, will, should or anticipates or the negative or other variations of these or similar words or by discussion of future events, strategies or risks and uncertainties, including future plans, strategies, performance, developments, acquisitions, capital expenditures and operating results. Such forward-looking statements reflect the company's current expectations and beliefs but are not guarantees of future performance. As such, actual results may vary materially from expectations. 
The risks and uncertainties associated with the forward-looking statements are described in today's news announcement and in the company's filings with the Securities and Exchange Commission, including the company's reports on Form 10-K and Form 10-Q.  Penn National Gaming assumes no obligation to publicly update or revise any forward-looking statements. 
Today's call and webcast will include non-GAAP financial measures within the meaning of SEC Regulation G. When required, a reconciliation of all non-GAAP financial measures to the most directly comparable financial measures calculated and presented in accordance with GAAP can be found in today's press release as well as the company's website. With that, it's now my pleasure to turn the call over to the company's CEO and Jay Snowden. Jay?"
335919,701290759,2191746,"Penn National Gaming, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","PENN Entertainment, Inc.","Executives","Thanks, Joe. Good morning, everyone. Thanks for joining us for our fourth quarter earnings call. Unfortunately, we don't have our new Chief Financial Officer, Felicia Hendricks, on board quite yet, though I know she's out there listening and eager to join",1796,"Thanks, Joe. Good morning, everyone. Thanks for joining us for our fourth quarter earnings call. Unfortunately, we don't have our new Chief Financial Officer, Felicia Hendricks, on board quite yet, though I know she's out there listening and eager to join the team here in a few weeks. We're excited for that. So in her place, I'll be providing a brief financial update this morning, following a high level year-end review and some additional color on what was really an exciting quarter for us in Q4 of 2020. 
Here with me, as usual, are members of my executive team this morning who can help answer your questions, including our Head of Operations, Todd George, who will answer questions about our core business; and Justin Sebastiano, our SVP, Finance and Treasurer, who will tag team with me as needed on the finance side. We're also joined for the first time by Harper Ko, our new Chief. Welcome, Harper. 
With that, let me begin by saying that as we close the final chapter on one of the most difficult and surreal years for all of us from a personal and professional standpoint, I'm immensely proud of the way our team members at all levels of our organization came together, weather the storm and helped us emerge as a stronger company than ever before. While we'll continue to adjust to the uncertainties of today's world until COVID-19 is behind us, we used all the adversities and challenges thrown at us in 2020 as catalysts to completely reevaluate and reimagine the way we do business, and we supercharge the digital transformation of our company at the same time. 
Our team at Penn proved a lot in 2020. For me, as I reflect the words agility, perseverance, tenacity, resilience, creativity and change agent all come to mind. Our results in 2020 speak to the relentless focus and nimbleness of our best-in-class corporate and property management teams and they reflect the power of our incredible partnership with our great friends at Barstool Sports. 
While I am equally proud -- what I am equally proud of, excuse me, and looking back on 2020 is how our company rose the occasion to support our team members and host communities in these times of great need and heightened social justice awareness. Through our Penn National Gaming Foundation, we created a COVID-19 emergency relief fund for our team members and raised over $3.7 million from our Board of Directors, senior management team and our foundation. In addition, we provided $13 million in onetime holiday cash bonuses to our nonexecutive team members company-wide in the fourth quarter to help with the financial impact to their families from the pandemic. 
We also created the Hurricane Laura relief funds with an initial contribution of $2.5 million to help our community and team members impacted by the storm, in addition to providing more than $6 million in full wages and benefits to our team members while the Bars Lake Charles was closed. 
Most importantly, we joined Dave Portnoy's latest mission at Barstool to help save and sustain small businesses across the country that have been impacted by COVID-19, contributing more than $4.6 million and counting to the Barstool funds. 
Finally, on the social justice front, our Diversity Committee announced a new $1 million annual scholarship program to support team members from historically disadvantaged and underrepresented groups. And we launched a series of new inclusion-related initiatives, to educate our team members across the organization and continue to foster a respectful and inclusive workplace. 
Turning now to our fourth quarter results. Both our revenues and adjusted EBITDA were trending ahead of forecast before COVID-19-related closures in Illinois, Michigan and Pennsylvania and increased restrictions in Ohio and Massachusetts amongst a few other states began in mid-November. While revenues contracted 23% year-over-year, adjusted EBITDAR declined by only 9% for the same period, reflecting structural changes that we -- that were put in place with the onset of the pandemic. These adjustments to our core business helped to expand adjusted EBITDAR margins by 580 basis points relative to Q4 '19 results despite the aforementioned headwinds, helped by an improvement of 720 basis points in the South segment, which was least affected by the COVID-19 restrictions despite the impact of Hurricane Laura in the fourth quarter in Lake Charles. We remain convinced that these structural changes to our business will result in meaningful EBITDAR growth once volumes return to pre-pandemic levels. 
Trends in January, thus far, are very encouraging, which Todd can provide more color on during our Q&A session. In fact, this past weekend, we saw our highest Friday, Saturday combined slot volumes across our company portfolio of properties since the first quarter of 2020. Our South segment has continued to be particularly strong with January revenues, the highest we have seen in the month of January and the last 5 years on a same-store basis, leading to exceptional flow through to EBITDA. 
We are continuing to see encouraging growth in the younger demographic tiers of our database, and we believe the rollout of COVID vaccinations and treatments will encourage more guests in all age segments of our database to return to our land-based facilities. When they do, they'll soon be met with the 3Cs: our new cashless, cardless and contactless technology, which will improve efficiency and provide a guest experience in line with other industries historically frequented by younger demographics, which we expect also to drive further incremental revenue for us. 
We're planning to launch the 3Cs at our Pennsylvania casinos in the first half of '21 subject to regulatory approval, and we'll continue that rollout for the remainder of 2021 to other regions. 
I'm sure Felicia would also want you to know that our cash balance stood at a healthy $1.9 billion at quarter end, even after paying down $115 million of our Term loan B. In turn, our net traditional debt decreased to approximately $578 million at December 31, 2020, bringing our lease-adjusted net leverage to 4.7% based on 2019 adjusted EBITDAR compared to 5.7% at the end of 2019. Some of you may have also noticed in our financial statements that we recorded a sizable unrealized gain related to our equity positions in Pointsbet and the score, which were received as part of our market access skin agreements. This is just an example of the significant value we think we will realize over the next several years from our portfolio of leading market access partners. 
Other highlights from the fourth quarter include the continued momentum we're seeing for our Barstool Sports book app in Pennsylvania, strong retention, CRM efforts and creative promotions including our matching of first-time deposits with donations to the Barstool fund to support small businesses throughout the state, have led to an increased handle and market share. And most importantly, highlight our unique and unmatched approach to efficient customer acquisition. 
More recently, on January 22, we introduced our Barstool Sportsbook Mobile app in Michigan to very strong demand. Dave Portnoy, as many of you know, went to the University of Michigan, and he and big cat have a very loyal fan base there. They've been hanging out at our Greentown property in Detroit, generating a lot of excitement and awareness, not just for our Barstool Mobile Sportsbook and fully integrated iCasino, which we launched on Monday, but also our retail Barstool Sportsbook in the Greentown Casino in general, which really highlights the power of our differentiated omnichannel strategy. We think this strategy is shared to only gain steam in a post-COVID environment. 
Importantly, Michigan's launched weekend had 68% more first time depositors than Pennsylvania's initial weekend. And the daily active users were nearly 2/3 higher than the average daily active users in Pennsylvania during 2020. All the more impressive when you consider the state of Michigan's population is only a little over 70% that of Pennsylvania. Also worth noting the attention and excitement from the Michigan launch has created a halo or spillover effect. And the publicity surrounding our Michigan launch helped our registrations and daily active users climb in Pennsylvania as well. We are just beginning to scale, but we are excited to see the early benefits from being live in our second state. 
Our next launch state will be in Illinois, where we plan to go live prior to March madness, pending regulatory approval, of course. And from there, we'll continue to roll out in new states every 3 to 5 weeks or so until we're operational in 10 or more states by the end of 2021. 
We achieved another milestone in Michigan with the launch of our Barstool-branded iCasino product on February 1. And although it's obviously early, we have been extremely pleased with the initial results as nearly 15% or as of this morning, over 15% now of our Michigan Sportsbook customers placed a wager on the Barstool iCasino during its first 2 days of operation. And average daily users exceeded our more mature Hollywood-branded iCasino product in Pennsylvania by more than 70% over the same 2-day period. 
Finally, we have now fully implemented our industry-leading mychoice reward program across all of our properties and our online channels. This program of over 20 million members connects our land-based casinos to our sports betting and iCasino products, offering players a wide range of compelling incentives to consolidate play across our various platforms. Our mychoice player affinity program has become even more compelling as we recently announced a strategic partnership with Choice Hotels that provides for yet even more earning and redemption options for our most valued and loyal guests as well as an additional funnel to fill our nearly 10,000 hotel rooms across the enterprise. 
Looking forward, we're anticipating an exciting new year as we continue to introduce Barstool-branded retail and mobile sports books across our portfolio, including brand-new builds at our 2 properties opening in Pennsylvania during the second half of '21. We have already seen very strong results from our retail sportsbooks, with our Indiana properties seeing meaningful increases in both gaming and non-gaming revenues following their rebranding at Barstool Sportsbooks. We are incredibly optimistic about the opportunities to unlock further upside as we introduce additional Barstool Sportsbook and sportsbars across the portfolio. 
In the meantime, on the legislative front, we're focused on the enabling legislation for voter-approved sports betting laws in Louisiana and Maryland, and we're aggressively lobbying in 2021 for new opportunities for sports betting in Ohio, New York, Texas, Massachusetts and Missouri, among others. We believe our industry-best geographic footprint, combined with the work we have done over the past year, has set the stage for a very exciting '21. And with that, I'd like to ask Frank for you to please turn it over to the line of questions."
335919,701290759,2191746,"Penn National Gaming, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","PENN Entertainment, Inc.","Operator","[Operator Instructions] Our first question comes from Joe Greff with JPMorgan.",11,"[Operator Instructions] Our first question comes from Joe Greff with JPMorgan."
335919,701290759,2191746,"Penn National Gaming, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","PENN Entertainment, Inc.","Analysts","First question for you, Jay. You kind of talked about it in a couple of different places in your prepared comments, but we're all kind of thinking about the return of that 50 years old and older database gaming segment. Can you remind us, when we think ab",89,"First question for you, Jay. You kind of talked about it in a couple of different places in your prepared comments, but we're all kind of thinking about the return of that 50 years old and older database gaming segment. Can you remind us, when we think about spend per visit and visitation and margins, how does that segment compare to the other segments in your database? How does that compare to that retail segment? Is that something that could be a positive mix shift driver for overall performance?"
335919,701290759,2191746,"Penn National Gaming, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","PENN Entertainment, Inc.","Executives","Yes, I'm going to let Todd George answer that one, Joe.",11,"Yes, I'm going to let Todd George answer that one, Joe."
335919,701290759,2191746,"Penn National Gaming, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","PENN Entertainment, Inc.","Executives","Thanks, Jay. So traditionally, Joe, this segment has performed higher. This is the group with more time, more cash so we're encouraged that in Q4, the trend has been positive, but we're starting to see greater visitation from this group than we've seen in",112,"Thanks, Jay. So traditionally, Joe, this segment has performed higher. This is the group with more time, more cash so we're encouraged that in Q4, the trend has been positive, but we're starting to see greater visitation from this group than we've seen in the prior 2 quarters. This is also a group that is more actively engaged with us, starting to get into that age range. We're seeing more app downloads from them. So they're starting to grasp technology better. And they're coming back out. Again, as Jay touched on in his opening remarks, this was a group that was out in force this last weekend and through much of January."
335919,701290759,2191746,"Penn National Gaming, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","PENN Entertainment, Inc.","Analysts","Great. And then, Jay, on the U.S. sports betting side, we're seeing not necessarily Pennsylvania and Michigan, but just in other markets that the environment has gotten a little bit more promotional and some kind of craziness with customer acquisition cos",179,"Great. And then, Jay, on the U.S. sports betting side, we're seeing not necessarily Pennsylvania and Michigan, but just in other markets that the environment has gotten a little bit more promotional and some kind of craziness with customer acquisition costs. When you look at the broad overall trends there, how does that factor into your thinking on how you're going to market and promote and acquire customers? How is your thinking evolve maybe over the last, I don't know, year or so that you've seen more experience? And then how does that translate into what you're doing in Michigan and thus far in Pennsylvania, which I know both markets are kind of early days. And then when you think about the initial performance in Michigan outperforming Pennsylvania, is it really just a function that Michigan is sort of a jump ball market for everybody and so therefore, you're a little bit more on an even playing field. And so therefore, share momentum is a little bit stronger. But I'd love to hear your thoughts on all these things."
335919,701290759,2191746,"Penn National Gaming, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","PENN Entertainment, Inc.","Executives","Sure, Joe. I'll tackle the second one and then the first one. And the answer to the second question around the differences between Michigan and PA, I would point to that as the primary reason. We've been pointing to Michigan for, I don't know, 6 months no",462,"Sure, Joe. I'll tackle the second one and then the first one. And the answer to the second question around the differences between Michigan and PA, I would point to that as the primary reason. We've been pointing to Michigan for, I don't know, 6 months now, ever since we knew that Michigan was a state that was going to be ready to go sometime in the late fourth quarter or early first quarter. Because any other state that we could launch in out of the gate like Pennsylvania, you're playing catch-up. We launched in Pennsylvania, I think it was 14 or 15 months after sports betting had gone live on a -- from a mobile standpoint. So Michigan, for us is a great proving ground. We're at the starting gate at the same time. The gun goes off, and we're not playing catch-up. We can get out of the starting gate the same way that everybody else can. But of course, we definitely do things different. We have this amazing partnership in this fully integrated media strategy with what is the most compelling and fastest-growing sports and lifestyle media company on the Internet. So you look at the popularity of Barstool where it was when we announced our investment in Barstool 1 year ago to where it is today. And it's been so robust. It's beyond anything that any of us could have ever expected. And so we're in this really great position, Joe, where I think it's well documented that this is kind of tying into your first question, customer acquisition costs. It's -- I think most analysts have done a good job researching this and it's anywhere from $300 to $800 per customer for the space, right? What I would tell you is that for Penn, so far in the first 4 months in PA, despite all of the Barstool fund matching that we've done as well as in Michigan in our first month, we are well below the bottom end of that range. We have so much room for -- we have so much cushion to be opportunistic and figure out what we want to do and how we want to do it. And so we're starting to test some paid media, paid advertising in PA and Michigan. We're just dabbling. We're happy with the early returns, but we're in this great spot where we think we can generate meaningful market share and profitability just relying on that Barstool media partnership. And then anything else we do above and beyond there is for us just to continue to grow our share and do it in a way that delivers a nice return on investment. And I think that's a very different strategy than everybody else in the space."
335919,701290759,2191746,"Penn National Gaming, Inc., Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","PENN Entertainment, Inc.","Operator","Our next question comes from Shaun Kelley with Bank of America.",11,"Our next question comes from Shaun Kelley with Bank of America."
