"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
32710,700823588,2182933,"PTC Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","PTC Inc.","Operator","Good afternoon, ladies and gentlemen, and thank you for standing by, and welcome to the PTC 2021 First Quarter Conference Call. [Operator Instructions]I would now like to turn the call over to Tim Fox, PTC Senior Vice President of Investor Relations. Pl",45,"Good afternoon, ladies and gentlemen, and thank you for standing by, and welcome to the PTC 2021 First Quarter Conference Call. [Operator Instructions]
I would now like to turn the call over to Tim Fox, PTC Senior Vice President of Investor Relations. Please go ahead."
32710,700823588,2182933,"PTC Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","PTC Inc.","Executives","Thank you, Carmen. Good afternoon, everyone, and thank you for joining PTC's conference call to discuss first quarter 2021 financial results and the outlook for the remainder of the fiscal year. On the call today are Jim Heppelmann, Chief Executive Office",211,"Thank you, Carmen. Good afternoon, everyone, and thank you for joining PTC's conference call to discuss first quarter 2021 financial results and the outlook for the remainder of the fiscal year. On the call today are Jim Heppelmann, Chief Executive Officer; and Kristian Talvitie, Chief Financial Officer. 
Before we get started, please note that today's comments include forward-looking statements including statements regarding future financial guidance. These forward-looking statements are subject to risks and uncertainties and involve factors that could cause actual results to differ materially from those expressed or implied by such statements. Additional information concerning these factors is contained in PTC's filings with the SEC, including our annual report on Form 10-K and quarterly reports on Form 10-Q. 
As a reminder, we will be referring to operating and non-GAAP financial measures today on today's call. A discussion of our operating metrics and the items excluded from our non-GAAP financial measures and a reconciliation between GAAP and non-GAAP financial measures are included in our earnings press release and related Form 8-K. References to growth rates will be in constant currency unless otherwise noted. And lastly, we'll be referencing our earnings presentation, which you can find posted on our IR website. 
With that, I'd like to turn the call over to Jim."
32710,700823588,2182933,"PTC Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","PTC Inc.","Executives","Thanks, Tim. Good afternoon, everyone, and thank you for joining us. I hope that you and your families continue to stay safe and well during this ongoing pandemic. Before jumping into our quarterly review, I'd like to begin by discussing the news we sha",3122,"Thanks, Tim. Good afternoon, everyone, and thank you for joining us. I hope that you and your families continue to stay safe and well during this ongoing pandemic. 
Before jumping into our quarterly review, I'd like to begin by discussing the news we shared 2 weeks ago about closing the Arena acquisition and some related organizational changes. 
Turning to Slide 4 in the deck. First, we're very pleased to have closed the acquisition and would like to formally welcome the Arena employees to the PTC team. As we discussed at our recent Investor Day, we're excited to complement the strong momentum we have with Creo and Windchill in the traditional CAD and PLM market, with the leading CAD and PLM solutions in the pure SaaS market. Together, Arena and Onshape represent a powerful pure SaaS solution that's #1 in technology, customers and revenue. With this combo, we're positioned to capture the rapidly emerging shift towards SaaS for product development, manufacturing and support. There's clear evidence that the global pandemic has been driving a new normal in our industry and we're now in a position to lead the product development market well into the future. 
We also announced an organization strategy that I'm excited about. We're expanding our SaaS business unit, initially built around Onshape and Vuforia, to embrace arena as well. This will put us in position to pursue technology, business process and revenue synergies across this SaaS portfolio. The expanded business unit, which now accounts for about $100 million of ARR and about 20% of PTC's bookings, will be led by long-time PTC leader, Mike DiTullio. Mike will focus on integrating the Arena team and leveraging the tremendous talent and expertise we have across our SaaS portfolio. With his proven track record of aligning organizations to drive growth, I'm confident that in this new role, Mike can help us fully capitalize on our SaaS leadership position. 
I'm also pleased to announce that Jamie Pappas will succeed Mike as Head of Global Sales, reporting to our Chief Operating Officer, Troy Richardson. Jamie is an accomplished 25-year PTC sales veteran, and he has led regional sales in Asia, Europe and most recently in North America. Jamie has a tremendous track record of success at PTC, so I'm confident in a smooth transition as he assumes his new role. 
With that, I'd like to turn to Slide 5 and review the 3 key elements of our strategy to deliver long-term shareholder value. 
First, let's cover the topic of market demand. We had outstanding bookings results in the first quarter, up more than 30% year-over-year versus the fiscal Q1 of last year that was largely unaffected by the pandemic. The bookings helped the Q1 results, but they also beefed up the future backlog. We see the bookings strength is reflecting a continuation of the secular demand trends we experienced in fiscal '20 as customers accelerated their digital transformation initiatives in response to the new way of doing business. 
Industrial companies are prioritizing initiatives like moving all product life cycle processes online across their entire enterprise with PLM, remotely monitoring the products in factories with IoT, bringing digital productivity to their frontline production workers with AR and they're generally getting more and more interested in SaaS as they go forward. For PTC, this all translates into more demand for our unique product portfolio, and we see a strong pipeline heading into the balance of the fiscal year. 
Given that the global PMI number reached its highest point in 3 years in December, we also believe PTC's strong Q1 bookings may have reflected improved customer optimism around promising vaccine news, stimulus policies of the new administration in Washington, and perhaps even some calendar year-end budget flush. We hope that optimization or optimism continues, but with mixed news related to the global pandemic, including concerns about new strains of the virus, we're not sure that we're out of the woods yet, and we continue to think that our outlook for the year is prudent. 
In the top line category, a combination of strong bookings and lower-than-expected churn translated into a very strong quarter with ARR growth of 16% or 12% in constant currency. This was at the high end of our guidance range and was driven by continued momentum in our core business and solid performance in the growth business. Revenue growth of 20% was well above guidance, resulting from strong large deal activity in the quarter. 
In the bottom line category, we delivered strong free cash flow of $111 million and non-GAAP EPS growth of 70%, reflecting a combination of strong top line results combined with continued operating expense discipline. 
In the wake of this strong first quarter, we are increasing our guidance for the year, and Kristian will share the details later in the call. 
With that as context, let's take a look at the respective contributions of the FSG, Core and Growth segments of our portfolio. 
Moving to Slide 6. You'll see that ARR in our Focused Solutions Group, or FSG, was flat year-over-year, but ARR growth was robust in our much larger Core business once again, and the mid-20s growth performance of our growth business track to our guidance for the year. You might note visually that the Growth business has now reached roughly the same magnitude as FSG. And with Arena coming into the picture, it will soon step up about 30%. And then with its higher growth rates, it will soon become much larger, driving the combined portfolio toward higher growth rates as well. 
Recall that our FSG segment has exposure to certain industries heavily impacted by the pandemic like retail and airline industries. However, our FSG products remain important and are very competitive and we continue to expect FSG to recover to low single-digit ARR growth in fiscal '21 as economic conditions improve. We've seen some good progress in retail already. But as you know, the airline business remains difficult for everybody. 
Naturally, we're very pleased about the 12% ARR growth of our Core business, which materially outpaced the market growth again. Q1 was the 13th consecutive quarter that our Core business ARR growth rate has been in double digits. As Jay Leshaw pointed out in the recent report, PTC has, of late, enjoyed the #1 growth rate in the traditional CAD industry with Creo, and our Windchill business has been doing even better. 
Meanwhile, our Growth business had another strong quarter with year-over-year bookings growth of nearly 40% and delivered ARR growth in the mid-20 s, in line with our guidance for the year. 
Let's go a click deeper into the main elements of our Core and Growth segments. Turning to Slide 7. Our Creo CAD team delivered another impressive quarter with ARR growth in the high single digits. The improvement in the demand environment that we started to see in Q4 continued this past quarter, with strong performance across all major geos. And in a market that tends to see very little replacement activity, we had some notable CAD competitive displacements, which speaks to the technological strength of the Creo product suite. 
Our CAD technology leadership was further extended with the latest release of Creo 7, which incorporates our first Atlas-based offering. Creo Generative Design Extension, or GDX as we call it, leverages the Frustum generative design engine acquired in 2019 with the compute being offloaded to an Atlas, pure SaaS, elastic computing environment, from where it served the Creo sessions now and soon to Onshape sessions as well. 
We also released the high-fidelity mainstream simulation capabilities of ANSYS, fully integrated into Creo, creating another highly differentiated leg of growth for our CAD business. 
Speaking of ANSYS, on Slide 8, we highlight a great Creo and Creo Simulation Live for CSL win with Shark Ninja. SharkNinja is becoming a household name. And to respond to the growing demand for its products in a very competitive space, SharkNinja reevaluated its design technology and decided to phase out competitive CAD systems and standardize on Creo, adding CSL to help accelerate the new product development cycle times. 
Moving on to Slide 9 in our PLM business. You'll see that PLM continued to deliver very strong performance with another mid-teens ARR growth quarter. From a geographic perspective, in Q1, PLM performance was broad-based with double-digit growth across all 3 major geographies, led again by the APAC region. Thanks to its key role in digital transformation initiatives, PLM continues to be a major growth engine for PTC. 
From a vertical perspective, our PLM team continues to win big in the medical device space, but market traction in the first quarter was strong across a number of verticals, including automotive, aerospace and defense and high tech. 
Turning to Slide 10. A great proof point in A&D was a major extension and expansion at Airbus, which also happened to include a competitive displacement in one of their divisions. Along with the Windchill footprint expansion, Airbus adopted ThingWorx and Vuforia in their manufacturing environment, which is another great example of the cross-sell opportunity within our product portfolio. 
Given today's difficult air transportation market, airframe companies are being careful with spending. But thanks to this deal, PTC is locked into a substantial long-term relationship with Airbus. 
You'll see on Slide 11 that we had a great cloud-based Windchill win at Terumo in the medical device space. Terumo is replacing its paper-based FDA compliance system with an end-to-end digital thread based on Windchill's quality management solution. 
Moving on to our growth segment. I'll begin with IoT on Slide 12. Following strong bookings performance in Q4, IoT had a solid start to the year with a promising uptick in new logo bookings, an area that was pressured over the last year due to travel restrictions and lockdowns. 
Demand was broad-based across verticals, and we had some sizable expansion deals in the process manufacturing space, which is greenfield for PTC. 
With the strong pipeline and encouraging signs of churn improvement in IoT as well, we expect to see continued solid ARR growth in fiscal '21. 
On Slide 13, we have an example of ThingWorx in the process manufacturing space at Griffin Foods. Operating in a market that as relatively thin margins, Griffin Foods was looking for ways to accelerate efficiencies in its production environment, leveraging the ThingWorx smart connected operations, or SCO, solution they are digitizing their production lines to capture key performance data and display it in a unified view to allow managers to see problems and make faster, more informed decisions on the plant floor. 
Let me shift to our AR business on Slide 14. The Vuforia augmented reality team again delivered very strong results in Q1, with bookings up 80% year-over-year. Expansions drove over 50% of bookings in the quarter, with 3 deals greater than $500,000, which was a new record for the AR team. Traction outside the Americas continued to gain momentum with strong growth in both Europe and APAC. 
Let me share 2 examples that highlight the value of our broader AR suite. First, on Slide 15, is at Bid Group, one of the largest integrated suppliers in the wood processing industry. The Bid Group replaced a do-it-yourself, or DIY, approach for industrial IoT. And then they added Vuforia Chalk to the mix to improve workforce productivity while reducing travel costs. 
Turning to Slide 16. A second great AR success story is Royal Enfield, the world's oldest motorcycle brand. As the COVID-19 pandemic unfolded, Royal Enfield was forced to reimagine a planned physical event for launching a new motorcycle. Leveraging Vuforia Studio in under a month, they built a dynamic sales training capability and delivered this highly effective, interactive, augmented reality experience to more than 3,000 remote participants. 
Turning now to Slide 17, and I'll wrap up my comments on our growth business by discussing Onshape, which also delivered a very strong quarter. Onshape had record bookings, up more than 150% from its initial quarter at PTC 1 year ago, including a nice balance of new logo activity and expansions. 
Onshape's pure SaaS CAD solution is quickly becoming a disruptive force in the SMB space, shaking up a mature market segment where PTC has been underrepresented for years. 
I'd like to update you on the exciting trends we're seeing in the education market with Onshape. As the COVID pandemic unfolded, we saw a real opportunity to help schools and universities because we have the only true school-from-home CAD solution that works on any device with no installed footprint. PTC's academic team decided to pivot their focus to Onshape and set an aggressive goal to try to reach 1 million total education users by the end of fiscal '21. To put that in perspective, it's double the number of users that we're participating in our education program across all PTC products at that time. 
I'm happy to report that already in January, we've exceeded the goal of 1 million total Onshape education users, 9 months ahead of schedule. Onshape is quickly becoming the education standard, thanks to one of the greatest share shifts I've experienced. Students and teachers love it. 
Clearly, we caught a wave as world events and the changing needs in education have accelerated this achievement. It's been incredibly rewarding to see how many educators and students have been able to take advantage of Onshape. Students who would not normally have access to CAD are now able to engage in STEM classes. Robotic teams are able to compete even when their season is canceled, and educators have been able to seamlessly continue their instruction because of their access to Onshape. 
On Slide 18, we highlight one of the many school systems supporting their K-12 STEM education program by adopting Onshape, in this case, across the Charlottesville city school system. Gaining 1 million student users is a huge milestone with significant implications for PTC well into the future. 
Manufacturing companies have the very same needs for real-time collaboration and access to data from anywhere and on any device. I continue to think the COVID crisis is accelerating the SaaS tipping point for the engineering software industry by several years. 
On Slide 19, you'll see a great example of a commercial company, Stirling Ultracold doing the same thing. They're adopting Onshape to streamline communication between mechanical designers, supply chain managers, manufacturing and quality assurance teams to avoid the delays associated with sending CAD data back and forth by e-mail like they used to do. 
To wrap up on our Growth business, I think it's pretty clear that our solutions are uniquely positioned to help customers respond to the new normal they're facing today, and they provide a very strong foundation for long-term growth for PTC. 
Let me provide some color on geographic performance, which was strong across the globe. On Slide 20, you'll see that APAC had strong performance with ARR growth of 16%, reflecting the earlier reopening of those economies and much improved churn rates as our subscription licensing model gains increased acceptance. 
Americas ARR growth of 13% was a second quarter in a row of double-digit growth, driven by broad-based demand across our Core and Growth segments, but partially offset by softness in FSG. 
Europe ARR growth of 8% faced a tough year-over-year comparison, but delivered very strong bookings performance in both our Core and Growth segments, along with some notable competitive wins. 
With that, now let me turn to Slide 21 and touch on our key alliance partners. The Microsoft partnership had another strong quarter, delivering above plan for the third consecutive quarter and exceeding expectations in all geos. As you saw in their earnings release yesterday, Microsoft has a lot of momentum, and we're drafting behind it. With a solid pipeline in field engagement strengthening across the globe, we remain bullish on the Microsoft alliance opportunity. 
Rockwell delivered over 20 expansion deals and had transactions in 27 countries. The majority of Rockwell's deals continue to come from customers that are greenfield to PTC and in process industries that we have not traditionally targeted with our core products. I was pleased to see in their earnings release that Rockwell too is seeing a strong uptick in orders. 
If you follow Rockwell, you may be aware that they have reorganized to have a software-focused business unit that owns the PTC partnership. And yesterday, they announced that they have hired Brian Shepherd to head up that unit. Brian worked directly for me at PTC for a dozen years, so I know that Rockwell has found a very capable software leader and somebody who can help the PTC Rockwell relationship unleash its fullest potential. Congratulations to Brian, we're looking forward to working with him. 
Lastly, on the Alliance front, our ANSYS Powered Solutions had a solid quarter with 20% bookings growth and very healthy expansion activity that drove around half of Q1 bookings. To complement CSL in the market, we launched the broader and deeper Creo ANSYS Simulation Suite. We're expecting these ANSYS Powered Solutions to account for high single-digit percentage of our new CAD ACV in fiscal '21. 
Before I wrap up, I'd like to highlight a great win we had with Microsoft on Slide 22. The Colruyt Group was looking for an IoT platform to support a complete digital transformation of their shops food production, energy production and logistics. Microsoft received an RFP in a competitive bid process and turned to PTC to partner on the opportunity. We ultimately won together resulting in a multiphase hybrid cloud IIoT project. 
To wrap up and summarize my comments, turning to Slide 23. We're off to a great start in fiscal '21 as customers continue to embark on digital transformation initiatives that leverage our full product portfolio. We had strong bookings in the quarter, and churn performance was good as well. We delivered ARR at the high end of guidance, while adding to the backlog. We saw a great performance in Core and Growth segments and in our channel. The demand environment appears to be improving globally and our strategic alliances continue to grow and mature. 
Plus, with the Arena team joining forces with Onshape, PTC is now positioned as the #1 leader in SaaS-based CAD and PLM, and along with Vuforia, this sizable pure SaaS portfolio is paving the way toward an attractive future-proof business model for PTC. As Kristian will detail shortly, we're pleased to be raising our fiscal '21 guidance in recognition of solid execution that demonstrates our capability to deliver strong top line growth, margin expansion and free cash flow generation, the necessary ingredients to drive significant shareholder value for years to come. 
With that, I'll turn it over to you, Kristian, to take us through more details on the financial results and guidance."
32710,700823588,2182933,"PTC Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","PTC Inc.","Executives","Thanks, Jim, and good afternoon, everyone. Before I review our results, I'd like to note that I'll be discussing non-GAAP results and guidance, and all growth rate references will be in constant currency. Let me start off with a brief review of our firs",1115,"Thanks, Jim, and good afternoon, everyone. Before I review our results, I'd like to note that I'll be discussing non-GAAP results and guidance, and all growth rate references will be in constant currency. 
Let me start off with a brief review of our first quarter results, then spend the balance of the call on our revised outlook for fiscal '21. 
Turning to Slide 25. Fiscal Q1 ARR of $1.34 billion increased 12% year-over-year. As Jim noted earlier, we had very strong bookings performance in Q1, resulting in new ACV above expectations. And consistent with recent trends, demand for ramp deals was strong, which contributes to backlog in future periods primarily fiscal '22 and beyond. 
With solid new ACV results, along with churn coming in better than expected, we were pleased to deliver constant currency ARR growth at the high end of the guidance range. Reported ARR growth of 16% benefited from 400 basis points of currency, including a 200 basis point tailwind since the beginning of fiscal '21. 
Strong Q1 free cash flow of $111 million was a record Q1 result for PTC. Q1 revenue of $429 million increased 20% year-over-year. And was well above the annual guidance range we had provided last quarter. Revenue performance was driven by very strong large deal results in the quarter, many of which had long contract duration. 
As we've discussed previously, revenue is impacted by ASC 606, which in the case of Q1 drove a higher amount of upfront subscription revenue recognized in the quarter. Currency was also a modest revenue tailwind. The strong revenue growth, along with continued financial discipline, resulted in non-GAAP EPS growth of 70% year-over-year. 
Turning to Page 26. I'll begin with our balance sheet. We ended Q1 with cash of $399 million and $1 billion of gross debt with an aggregate interest rate of 3.8%. Subsequent to the first quarter, we financed the Arena acquisition with $600 million from our revolving credit facility and cash on hand. 
From a use of cash standpoint, we plan, first, to pay down the revolver until we're below our 3x debt-to-EBITDA ratio target, which should be within the next couple of quarters. Over the medium term, we expect to continue to delever while also resuming share repurchases. 
Now turning to guidance. I'll begin on Slide 27 by highlighting a few of the key guidance assumptions. We continue to expect the macro environment to remain stable in the near term, with conditions improving in the second half of the fiscal year. And with this as context, we're also still expecting fiscal '21 bookings growth in the double digits on a year-over-year basis. 
Given our strong Q1 performance, we're raising the low end of our organic ARR growth from 9% to 10%, resulting in a range of 10% to 12% growth for the fiscal year. We're expecting Arena to add approximately 400 basis points of ARR growth and currency to add approximately 200 basis points of ARR growth relative to our previous guidance. 
Regarding ARR in fiscal '21, on a constant currency basis, we continue to expect growth rates to be fairly linear each quarter throughout the fiscal year. 
Now for the specifics. Turning to Slide 28. We're expecting fiscal '21 ARR of $1.47 billion to $1.5 billion. That's a growth rate of 16% to 18%. Free cash flow is still expected to be approximately $340 million for the full year, which is growth of approximately 60% year-over-year. 
Note that currency is also benefiting free cash flow by about $15 million. However, this benefit is being offset by an unforecasted foreign tax assessment related to a matter that's been open for a few years. This tax matter is also reflected in our GAAP results. As you'll note, a $35 million charge that covers the periods from 2011 to 2020. This charge reflects the previous assessment paid in 2016 as well as the current expected assessment. We continue to believe that our position is correct and are fighting this issue in court, and we do not expect a final resolution on the matter for at least another year. 
Our $340 million free cash flow target also includes approximately $15 million of acquisition-related fees and an additional $5 million of incremental interest we expect to pay this year due to the debt we took on to help finance the Arena acquisition. And as a reminder, fiscal '21 free cash flow also includes approximately $15 million of restructuring payments related to -- primarily to the headquarters relocation as well as to cost actions we took early in fiscal '20, that's early last year. 
Regarding the linearity of free cash flow in fiscal '21, we still expect to generate more than 60% of our annual free cash flow in the first half as collections are stronger in the first half, and this is offset by expenses increasing as we ramp hiring throughout the year. 
Now turning to P&L guidance. We're raising our revenue and EPS guidance for the year. We're now expecting fiscal '21 revenue of $1.69 billion to $1.73 billion, that's a growth rate of 16% to 19%. And the increased revenue guidance is really driven by 3 main factors: first, the strong large deal activity and longer-than-anticipated contract durations that we saw in Q1, which, as we've mentioned before, because of ASC 606 is driving higher upfront revenue recognition. This ultimately is contributing about 400 basis points of growth. As a reminder, this change has no impact on ARR or free cash flow as we continue to bill customers annually upfront. 
Second, the Arena acquisition, which will add approximately 300 basis points of growth. And lastly, FX or currency, which should add approximately 200 basis points of growth relative to our prior guidance. 
On the expense front, we're now expecting operating expense growth of approximately 16% in fiscal '21. This is an increase of approximately 600 basis points. Half of the increase is related to the Arena acquisition and half related to currency. Non-GAAP EPS is now expected to be $3.05 to $3.25, which is growth of 19% to 26%. 
I'd also note here that GAAP guidance does not include the impact of Arena Solutions purchase accounting as the valuation of acquired assets and liabilities work has not yet been completed. 
Wrapping up, we had strong financial performance again here in Q1. We delivered double-digit ARR growth while maintaining discipline on our expense structure and continue to navigate in a very challenging macro environment. A strong start to the year positions us well to deliver attractive double-digit top line growth and very strong free cash flow. 
With that, I'll turn the call over to the operator, and we can begin Q&A."
32710,700823588,2182933,"PTC Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","PTC Inc.","Operator","[Operator Instructions] Our first question is from Jay Vleeschhouwer with Griffin Securities.",12,"[Operator Instructions] Our first question is from Jay Vleeschhouwer with Griffin Securities."
32710,700823588,2182933,"PTC Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","PTC Inc.","Analysts","Jim, let me start with a technology question for you having to do with the Arena acquisition. With that, you now arguably have 3 code bases for PLM: Arena, Windchill and Onshape. That's not unprecedented in the industry, as you know, as a result of acquis",137,"Jim, let me start with a technology question for you having to do with the Arena acquisition. With that, you now arguably have 3 code bases for PLM: Arena, Windchill and Onshape. That's not unprecedented in the industry, as you know, as a result of acquisitions in technical software. But could you talk about how you're thinking about the co-development or the conjoining of those technologies, particularly, given the ultimate objective you seem to have had with Atlas of having a microservices architecture, for example? 
And then for Kristian, at the analyst meeting, you put up a very interesting slide on your customer engagement model showing 7 categories of customer that I don't think you've shown before. How does your guidance encompass your thinking about those various categories in terms of growth and contribution to fiscal '21?"
32710,700823588,2182933,"PTC Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","PTC Inc.","Executives","All right. Great. Thanks, Jay. Kristian, you can start thinking about the answer to that. Well I guess -- so it's a good observation. I mean, we had Windchill, then we acquired Onshape, and they were 2 different things and now we acquired Arena. So yes, i",314,"All right. Great. Thanks, Jay. Kristian, you can start thinking about the answer to that. Well I guess -- so it's a good observation. I mean, we had Windchill, then we acquired Onshape, and they were 2 different things and now we acquired Arena. So yes, in fact, we have 3. But actually, we do have a very well understood strategy. 
So first of all, we will begin the process of looking at the best ways for Arena to use more and more of the Atlas platform that came to us with Onshape. And to be frank, Arena and Onshape don't do exactly the same things. Onshape is more like file management, except not really files, but more like data management and collaboration and Onshape's more like bill and material. So those 2 things do different things, but they will, over time, share more and more of a common architecture called Atlas. So then that still leaves Windchill. 
So we have shared kind of a midterm project that we are developing versions of Windchill and Creo that will use the Atlas platform to a great extent, so that they can be delivered in a SaaS model. But those products will retain full upward compatibility from the on-premise versions that exist today. 
Now we'll continue to maintain an on-premise version. So you might say we're going from 3 to 2 to 1.5 or something like that. But there's a good strategy here for how this stuff evolves. And none of it's going to be a revolution because we're bringing all the customers with. But I definitely think this is a problem that will fade away, and we've done that before. It's a problem that -- I'm not sure it's a problem, but it's a situation that will be -- that will evolve over time toward a cleaner kind of steady state in the end. 
Kristian?"
32710,700823588,2182933,"PTC Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","PTC Inc.","Executives","Yes. Great. Jay, so I think what you're referring to is that S1 to S6 customer engagement model. I mean I think here, conceptually, the right way to think about it is the largest piece of our ARR really comes from S1, the S1 and S2 space. That's also actu",232,"Yes. Great. Jay, so I think what you're referring to is that S1 to S6 customer engagement model. I mean I think here, conceptually, the right way to think about it is the largest piece of our ARR really comes from S1, the S1 and S2 space. That's also actually where we still see a significant amount of new booking activity. Those are our largest and customers with the biggest growth prospects. 
We have a lot of stable ARR in kind of the S3 and S4 space. And the new -- really the land-and-expand activity happens primarily within the S5 and S6 space. And so I mean, if I was going to think about this, I'd still put the largest chunk up in S1 and S2. We're seeing a lot of momentum in the S5 and S6. 
Tim -- or we actually mentioned in the -- on the call that we've seen a little bit of a resurgence in new IoT customers coming back in the channel, which also operates in kind of the S5, S6 and the channel space continues to bring in new customers. That's obviously also where relationships like Rockwell are, who also continue to bring in a lot of new greenfield customers, which are the foundation really for us to continue to expand upon those relationships over time. 
So I don't know if that hit your question. But..."
32710,700823588,2182933,"PTC Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","PTC Inc.","Executives","Let me add some color that I think is an easier way to see it. I think if you look at it by product, you get a different story because the size, the relatively larger size of some products kind of overwhelms that story. But Arena and Onshape are all about",216,"Let me add some color that I think is an easier way to see it. I think if you look at it by product, you get a different story because the size, the relatively larger size of some products kind of overwhelms that story. But Arena and Onshape are all about new accounts. They're basically competing in a space where we didn't previously have products competing. So there are almost entirely new accounts. 
If you go to IoT and AR, that's kind of 50-50 because those are products we can sell to our traditional accounts. But of course, there's a lot of demand and interest in IoT and AR, and we have new partners like Rockwell that also take us to a lot of new places. And then if you go back to Creo and Windchill, I mean that would be majority of the bookings coming from companies we've been doing business with. But sometimes we knock one-off or there's a consolidation play or something like that and as well the channel is bringing this to new accounts. 
So I think it's almost all new for Onshape and Arena, roughly half and half-ish for IoT and AR and sort of majority, maybe 70-30 in favor of installed base with Creo in one shop. Sound about right?"
32710,700823588,2182933,"PTC Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","PTC Inc.","Operator","Our next question comes from Adam Borg with Stifel. Maybe just 2 real quick. First, on Arena, can you just remind us on Arena's kind of international footprint? And what's the plans to kind of expand that, both direct and via channel? And then maybe two",91,"Our next question comes from Adam Borg with Stifel. Maybe just 2 real quick. First, on Arena, can you just remind us on Arena's kind of international footprint? And what's the plans to kind of expand that, both direct and via channel? 
And then maybe two, just on ANSYS. So thanks for the color of how you're thinking about Creo Simulation Live and Creo Simulation Growth over the back half of the year. But when you think more broadly, how addressable is the Creo Simulation Technology to your broader installed base?"
