"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
361335,700244213,2191851,"Quest Diagnostics Incorporated, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Quest Diagnostics Incorporated","Operator","Welcome to the Quest Diagnostics fourth Quarter and Full Year 2020 Conference Call. At the request of the company, this call is being recorded. The entire content of the call, including the presentation and questions-and-answers session that will follow",89,"Welcome to the Quest Diagnostics fourth Quarter and Full Year 2020 Conference Call. 
At the request of the company, this call is being recorded. The entire content of the call, including the presentation and questions-and-answers session that will follow, are the copyrighted property of Quest diagnostics with all rights reserved. Any redistribution, retransmission or rebroadcast of this call in any form without the written consent of Quest Diagnostics is strictly prohibited. 
Now I'd like to introduce Shawn Bevec, Vice President of Investor Relations for Quest Diagnostics. Go ahead, please."
361335,700244213,2191851,"Quest Diagnostics Incorporated, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Quest Diagnostics Incorporated","Executives","Thank you, and good morning. I'm on the line with Steve Rusckowski, our Chairman, Chief Executive Officer and President; and Mark Guinan, our Chief Financial Officer. During this call, we may make forward-looking statements and will discuss non-GAAP mea",290,"Thank you, and good morning. I'm on the line with Steve Rusckowski, our Chairman, Chief Executive Officer and President; and Mark Guinan, our Chief Financial Officer. 
During this call, we may make forward-looking statements and will discuss non-GAAP measures. We provide a reconciliation of non-GAAP measures to comparable GAAP measures in the tables to our earnings press release. Actual results may differ materially from those projected. Risks and uncertainties, including the impact of the COVID-19 pandemic that may affect Quest Diagnostics' future results include, but are not limited to, those described in our most recent annual report on Form 10-K and subsequently filed quarterly reports on Form 10-Q and current reports on Form 8-K. 
The company continues to believe that the impact of the COVID-19 pandemic on future operating results, cash flows and/or its financial condition will be primarily driven by the pandemic severity and duration, health care insurer, government and client payer reimbursement rates for COVID-19 molecular tests, the pandemics impact on the U.S. health care system in the U.S. economy, and the timing, scope and effectiveness of federal, state and local governmental responses to the pandemic, which are drivers beyond the company's knowledge and control. 
For this call, references to reported EPS refer to reported diluted EPS from continuing operations and references to adjusted EPS refer to adjusted diluted EPS from continuing operations. References to base testing volumes or base business refer to testing volumes, excluding COVID-19 molecular and serology testing volumes. Growth rates associated with our long-term outlook projections including total revenue growth, revenue growth from acquisitions, organic revenue growth and adjusted earnings growth, our compound annual growth rates. 
Finally, revenue growth rates from acquisitions will be measured against our base business. Now here is Steve Rusckowski."
361335,700244213,2191851,"Quest Diagnostics Incorporated, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Quest Diagnostics Incorporated","Executives","Thanks, Shawn, and thanks, everyone, for joining us today. So in a year dominated by the pandemic, Quest brought critical COVID-19 testing to our country and delivered record revenues, earnings and cash from operations for the fourth quarter and the full",1283,"Thanks, Shawn, and thanks, everyone, for joining us today. So in a year dominated by the pandemic, Quest brought critical COVID-19 testing to our country and delivered record revenues, earnings and cash from operations for the fourth quarter and the full year 2020. 
The pandemic has tested our nearly 50,000 employees, and they have responded as heroes by developing COVID-19 tests, building test capacity, innovating new testing models with our retail partners, fan sporting, specimens, delivering results and, of course, supporting our customers. 
We finished the year as one of the country's leading providers of COVID-19 testing. I'm very proud of what we have achieved and optimistic about what we can accomplish in 2021. 
So this morning, I'll discuss our performance for the fourth quarter and full year 2020. Our ongoing role in the COVID-19 pandemic and update you on our noncoded base business. 
And then Mark will provide more detail on our financial results and our financial outlook for the first half of 2021. 
Well before we get into the details of the quarter and the full year of 2020, we wanted to share our perspective on the new strategy for fighting the COVID-19 pandemic proposed by the new administration. 
We are pleased by the efforts to expand access to testing across the country, especially in the underserved communities where there are known disparities in health care. We support the new administration's approach to controlling the pandemic by expanding the availability of testing supplies, enhancing laboratory testing capacity and ensuring a clarity of messaging about the use of test and insurance coverage. 
We also support the efforts of COVID-19 pandemic testing board and we look forward to addition to details and days of weeks ahead. Now turning to our results. 
Continued high demand for COVID-19 testing, drove our performance throughout the quarter, in the second half of the year. For the fourth quarter, total revenues grew by more than 55% to $3 billion. Earnings per share increased by more than 126% on a reported basis to $4.21 and nearly 168% and on an adjusted basis to $4.48. 
For the full year 2020, total revenues grew by more than 22% to $9.44 billion. 
Earnings per share increased by nearly 71% on a reported basis to $10.47 and more than 70% on an adjusted basis to $11.18. 
Cash provided by operations increased by more than 61% to $2 billion. We announced today that we are increasing our quarterly dividend by 10.7% to $0.62 per quarter, and this is our tenth increase since 2011. 
Additionally, our Board of Directors has increased our share repurchase authorization by $1 billion. 
The increased authority is on top of approximately $900 million that was available as of December 31, 2020. 
In the fourth quarter, we continue to see strong COVID-19 testing volumes. Demand clearly spiked as the virus surged and people got tested in advance of the Holiday gallies we performed an average of 135,000 COVID-19 molecular tests today in the fourth quarter, well below our current capacity. 
We continue to innovate to further expand capacity, reduce turnaround times and gain efficiencies. 
And finally, we are focused on addressing health disparities in the underserved communities through our Quest for health equity initiative. We recently held our first COVID-19 testing event, a obesity in Baptist Church in Holland in conjunction with leading Black Clergy and the United way of New York City. 
Testing is more important than ever as the vaccines roll out over the coming months to get at risk patients into care when their we can still be effective. And to isolate infected individuals. 
We expect 2021 to be another very strong year for Coven testing. Although demand for COVID testing is likely to decline throughout 2021 as more people become accidented and fewer new cases are reported. 
We believe that COVID-19 testing will continue into 2022. Now turning to our base business. Organic volumes recovered rapidly throughout the sum and fall. 
However, the recovery stalled at the end of November and into December due to the surge in COVID-19 infections across the country. 
And Mark will provide and share some more details regarding the trends in our base business later. With that, we continue to make progress on our 2-point strategy to accelerate growth to drive operational excellence. 
Let me share some of the highlights from our strategy to accelerate growth. Our M&A pipeline remains strong, and we achieved our goal to exceed a 2% growth CAGR from acquisitions in our base business over the last 3 years. 
We continue to see increasing interest from our hospital partners about how we can help them with their lab strategy, which includes discussions around both their outreach acquisitions, and professional lab service arrangements. The deals we closed in 2020, particularly the Memorial Herman outreach and macro acquisitions. Position us well to achieve our M&A growth target this year. And we remain confident that this year, we will execute a more similar type of outreach for tuck-in deals in our pipeline. Last year was also a record year for a professional lab services strategy, or PLS. And this is the business to partner with hospitals to help them run their inpatient labs more efficiently. In the fourth quarter, we announced 2 small PLS partnerships with hospital systems in New York and Indiana. And then in December, we announced our largest PLS relationship to date with Hackensack Meridian Health, the largest integrated health network in New Jersey. 
Quest will manage laboratory operations and perform reference testing for 11 aconsortium health hospitals. We also continue to execute our health plan strategy by shifting the dialogue to value-based contracting efforts from the recent past when discussions focused primarily on price. 
We continue to make progress with our new strategic relationship with Aston to improve quality inefficiency and the delivery of laboratory services. 
We're advancing our position with Unitedhealthcare within its preferred lab network and also our building momentum with many of our other national and regional health plan partners. 
Finally, we continue to grow our direct-to-consumer services in the quarter. 
In December, we announced our 0 out-of-pocket QuestDirect COVID-19 testing option. Their servers authors important scheduling a specimen collect you at more than 500 participating Walmart drive through locations. 
And also in the quarter, we saw a number -- saw the deceleration in the number of consumers signing up for MyQuest patient portal. 
Today, roughly 15 million patients have a MyQuest account, an increase of nearly 2 million since October. And recent market research indicates that our brand is strong and has strengthened over the past year with industry-leading Net Promoter Scores. 
We have a strong foundation to accelerate growth in our consumer offerings. The second part of our 2-point strategy is to drive operational excellence. We continue to pursue our goal to reduce our cost base by 3% per year. We also see opportunities ahead to drive further productivity gains, and at the same time, enhancing the customer experience. 
Now once again, our Invigorate program delivered approximately $200 million of cost savings in 2020. And we continue to see more opportunities to deliver future efficiency in our cost base. 
Our new flagship laboratory in Clifton, New Jersey with live on January 4. This is the most highly automated laboratory in our network, and over the course of 2021, we expect to consolidate volumes from Teterboro, Mark, Baltimore and Philadelphia labs to this state of the art facility. Now before turning it over to Mark, I'd like to announce that we plan to update you on our strategy and market overview at our upcoming virtual Investor Day, and it will be held on Thursday, March 11. So stay tuned for more details. Mark?"
361335,700244213,2191851,"Quest Diagnostics Incorporated, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Quest Diagnostics Incorporated","Executives","Thanks, Steve. In the fourth quarter, consolidated revenues were $3 billion, up nearly 56% versus the prior year. Revenues for diagnostic information services grew approximately 58% and compared to the prior year, which reflected ongoing demand for COVID-",1106,"Thanks, Steve. In the fourth quarter, consolidated revenues were $3 billion, up nearly 56% versus the prior year. Revenues for diagnostic information services grew approximately 58% and compared to the prior year, which reflected ongoing demand for COVID-19 testing services, offset by a modest decline in our base testing revenue. 
Volume mentioned by the number of requisitions, increased 26.8% versus the prior year, with acquisitions contributing 4.5%. The as we highlighted in our 2020 outlook update in mid-December, organic testing volumes ordered in our base business were down mid- to high single digits versus the prior year in October and November. 
The recovery stalled in late November with organic testing volume trends down high single digits versus the prior year in December due to the surge in new infections across the country. 
Additionally, many state and local governments imposed new orders designed to reduce the transmission of COVID-19. 
Compared to December, organic base volume trends remained relatively steady in January versus our pre pandemic 2019 baseline. 
For the entire fourth quarter, total testing volumes declined roughly 2% versus the prior year and benefited from M&A and UPLS partnerships that began in 2020. 
Excluding M&A and new POS wins, ACE testing volumes declined approximately 8% in Q4 versus the prior year. COVID-19 testing continued to be a meaningful contributor to volumes during the fourth quarter. 
We resulted approximately 12.5 million molecular tests and 1 million serology tests contributing approximately 29% to volume growth in Q4. We exited the fourth quarter averaging approximately 130,000 COVID-19 molecular tests and 10,000 serology tests per day. 
Revenue per acquisition increased 25.2% versus the prior year, driven largely by COVID-19 testing. This was partially offset by enterprise headwinds of approximately 1.6% and in the fourth quarter, which includes the impact of PAMA and was in line with our prior expectations. 
Reported operating income in the fourth quarter was $795 million or 26.5% of revenues. Compared to $363 million or 18% of revenues last year. 
On an adjusted basis, operating income in Q4 was $860 million or 28.6% of revenues. Compared to $329 million or 17% of revenues last year. The year-over-year increase in operating margin was driven by the strong revenue growth in the fourth quarter. Due to continued high demand for COVID-19 testing. 
Reported EPS was $4.21 in the quarter compared to $1.86 a year ago. 
Adjusted EPS was $4.48 and compared to $1.67 last year. Cash provided by operations was approximately $2 billion for the full year versus $1.24 billion in 2019. 
As a reminder, in the fourth quarter, we returned approximately $138 million of provider release funds we had received under the Cares Act. 
Our financial position remains very strong. As we announced this morning, we increased our quarterly dividend approximately 10.7% to $0.62 per share, and the Board expanded our share repurchase authorization by $1 billion. 
So we now have nearly $2 billion available for future share repurchases. We resumed share repurchases in Q4 and bought back $250 million of company stock during the quarter. 
Turning to guidance. There continues to be a lot of uncertainty around the trajectory of the pandemic and its impact on COVID-19 testing trends as well as further recovery in our base business. Therefore, we are currently providing an outlook for only the first half of 2021 and expect to provide updates as the year progresses. 
Our outlook for the first half of 2021 is as follows: revenue is expected to be between $4.85 billion and $5.15 billion, an increase of approximately 33% to 41% versus the prior year. Reported EPS expected to be in a range of $5.07 and $6.07 and adjusted EPS to be in a range of $5.90 and $6.90. 
The cash provided by operations is expected to be at least $800 million, and capital expenditures are expected to be approximately $200 million. The demand for and duration of COVID-19 testing as well as the continued recovery in the base business are significant swing factors that remain challenging to forecast. 
With that high degree of uncertainty in mind, please consider the following. Our first half outlook generally assumes a gradual improvement in base testing volumes, but we expect the base business to remain below our pre pandemic 2019 baseline throughout the first half of the year. 
COVID-19 molecular testing volumes averaging roughly 100,000 tests per day in the first half of the year. However, we expect average daily volumes to decline throughout the first half of 2021 and as more people become vaccinated. Therefore, we assume COVID-19 molecular volumes will be lower in the second quarter compared to Q1. COVID-19 serology testing volumes averaging 15,000 tests per day for the first half of 2021, with demand expected to increase modestly throughout the first 2 quarters of the year. 
Given the strength of our financial position and high cash balances, we expect to complete a larger amount of share repurchases in 2021 than we have done historically, while maintaining significant flexibility to execute on our M&A pipeline. 
However, at this point, our EPS ranges only assume enough share repurchases to maintain a stable share count. We expect to share more details about our capital deployment priorities at our upcoming Investor Day in March. 
While we aren't providing a detailed outlook for the full year at this time, I'd like to offer some additional considerations for 2021. 
As a reminder, there will be no Medicare reimbursement cut under PAMA this year given the 1-year delay included in the Cares Act. We expect organic base testing trends to slowly recover throughout the year, with volumes likely approaching a full recovery compared to our 2019 baseline by the end of the year. If the country vaccinates a significant portion of the population by the summer, we would expect a continued decline in COVID-19 molecular testing volumes in the second half of 2021 compared to our expectations for the first half. 
Similarly, demand for COVID-19 serology testing is likely to wane in the back half of the year. Finally, COVID-19 molecular reimbursement is likely to trend lower in 2021 compared to last year. As many of you know, beginning January 1, CMS moved to a new reimbursement model with a rate of $100 for all tests reported within 2 days and $75 for all other results. Several commercial payers have now moved to this new reimbursement model as well. 
Also, while we are encouraged that HHS now plans to extend the public health emergencies throughout 2021. And prospective changes to coven molecular reimbursement are still possible. Furthermore, direct client bill reimbursement for coven testing services remains competitive. I will now turn it back to Steve."
361335,700244213,2191851,"Quest Diagnostics Incorporated, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Quest Diagnostics Incorporated","Executives","Thanks, Mark. Well, to summarize, I'd like to thank all Quest employees who have worked hires over the past year. They have delivered a significant portion of the country's COVID-19 testing while serving the needs of people who rely on Quest every day. Th",138,"Thanks, Mark. Well, to summarize, I'd like to thank all Quest employees who have worked hires over the past year. They have delivered a significant portion of the country's COVID-19 testing while serving the needs of people who rely on Quest every day. Thanks to their heroic efforts. 
We delivered record revenues, earnings and cash from operations for the fourth quarter and the full year of 2020. 
In light of the country's company's strong financial performance, we have increased our dividend and share repurchase authorization while maintaining flexibility to pursue our M&A strategy. We look forward to sharing a more in-depth update on our market views and strategy that are upcoming virtual Investor Day to be held on Thursday, March 11. Stay tuned for additional details on that day. Now we'd be happy to take your questions. Operator?"
361335,700244213,2191851,"Quest Diagnostics Incorporated, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Quest Diagnostics Incorporated","Operator","[Operator Instructions] And our first question comes from Ralph Giacobbe with Citi.",12,"[Operator Instructions] And our first question comes from Ralph Giacobbe with Citi."
361335,700244213,2191851,"Quest Diagnostics Incorporated, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Quest Diagnostics Incorporated","Analysts","I guess, I think I heard you say that you expected molecular reimbursement to trend lower just wanted to flesh that out to understand that? And maybe what have you assumed for reimbursement with PHG likely extended for the full year? And has there been an",75,"I guess, I think I heard you say that you expected molecular reimbursement to trend lower just wanted to flesh that out to understand that? And maybe what have you assumed for reimbursement with PHG likely extended for the full year? And has there been any discussion or thoughts about proactively going to plans and perhaps not continuing to get that sort of inflated PAG reimbursement in exchange maybe for more favorable longer-term pricing escalators?"
361335,700244213,2191851,"Quest Diagnostics Incorporated, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Quest Diagnostics Incorporated","Executives","Mark, do you want to started?",6,"Mark, do you want to started?"
361335,700244213,2191851,"Quest Diagnostics Incorporated, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Quest Diagnostics Incorporated","Executives","Sure. So we are expecting to still do quite well in terms of reimbursement in the near term. We believe we can meet the turnaround times, certainly the threshold that's required to be eligible for the higher rates and then we get paid, obviously, based on",346,"Sure. So we are expecting to still do quite well in terms of reimbursement in the near term. We believe we can meet the turnaround times, certainly the threshold that's required to be eligible for the higher rates and then we get paid, obviously, based on the individual tests. 
So we're still thinking in the near-term that our average weighted reimbursement is going to be pretty strong. But we also recognize the reality of the pressure on the industry from all the various payers, especially the commercial payers. 
And so therefore, as we mentioned, throughout the first half of the year, we would expect some reduction in that reimbursement. Not something that would be momentous, but certainly some downward pressure. 
And as we said, the client area is very, very competitive. So there's quite a few labs at this point given the demand that have significant capacity. 
And so therefore, in the coin area that's very, very competitive. In terms of your question, I'm sure you can appreciate, Ralph. But first off, we don't feel we're getting paid excessively for COOPC, we feel like we're being paid appropriately. But even if you could exactly forecast the volume of our COVID testing and forecast the base business over a period of time, which obviously would be nearly impossible. 
I'm not sure that we need to trade-off anything. We're very happy with the relationships that we've built, as Steve mentioned, with the payers. We've moved away from the focus on price and move toward more of a partnership and an alignment around value creation, where they're looking for us to save the money and create value, and a big piece of that is moving more work to us because we're already a very high-value compared to the rest of the industry and possible choices for patients. 
So good question, Ralph. Certainly appreciate it. But for practical and for strategic reasons, because of where we think we are with the payers already with some of these new contracts, is certainly not something that we're looking to pursue right now."
361335,700244213,2191851,"Quest Diagnostics Incorporated, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","Quest Diagnostics Incorporated","Executives","Let me just add to that. Speaking to demand, what we would share is that over the course of the last 10 months, we've brought up our capacity considerably. And we're going to continue to build it. And the reason for that is we want to continue to be prepa",282,"Let me just add to that. Speaking to demand, what we would share is that over the course of the last 10 months, we've brought up our capacity considerably. And we're going to continue to build it. And the reason for that is we want to continue to be prepared in the event that we do have another surge. 
And then secondly, is we want to make sure we really have a capability to meet turnaround times that are expected in the market. And over the last 10 months, obviously, a lot of our testing has been for the clinical purpose and what we believe as we enter the second half and we're having many discussions in this regard, there's going to be a lot more demand for return to work programs with employers, which have been pushed out, as you all know, return to leisure activities, there's a number of of cities that have large tourism bases that are thinking, well, what they need to do to get people back into those venues. And there will be a lot of activity around just return to life. 
And I know that we are still trying to figure that out, and that's going to offer us a lot of opportunity in the future. 
And with that, there's always a covet test, but there's also a number of services we provide, and those are yet to be defined. So we're still trying to understand what that second half opportunity would be. But what we see so far, we will continue to have strong demand, but it may take a different form as we get into the second half and as we go into '22."
