"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
890498,702698109,2215489,"The Mosaic Company, Q4 2020 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","The Mosaic Company","Operator","Good morning, ladies and gentlemen, and welcome to the Mosaic Company's Fourth Quarter 2020 Earnings Conference Call. [Operator Instructions] Your host for today's call is Laura Gagnon, Vice President, Investor Relations of the Mosaic company. Ms. Gagnon,",40,"Good morning, ladies and gentlemen, and welcome to the Mosaic Company's Fourth Quarter 2020 Earnings Conference Call. [Operator Instructions] Your host for today's call is Laura Gagnon, Vice President, Investor Relations of the Mosaic company. Ms. Gagnon, you may begin."
890498,702698109,2215489,"The Mosaic Company, Q4 2020 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","The Mosaic Company","Executives","Thank you, and welcome to our fourth quarter and full Year 2020 earnings call. Opening comments will be provided by Joc O'Rourke, President and Chief Executive Officer, followed by a fireside chat as well as open Q&A. Clint Freeland, Senior Vice President",196,"Thank you, and welcome to our fourth quarter and full Year 2020 earnings call. Opening comments will be provided by Joc O'Rourke, President and Chief Executive Officer, followed by a fireside chat as well as open Q&A. Clint Freeland, Senior Vice President and Chief Financial Officer; and Jenny Wang, Vice President, Global Strategic Marketing, will also be available to answer your questions. 
We will be making forward-looking statements during this conference call. The statements include, but are not limited to, statements about future financial and operating results. They are based on management's beliefs and expectations as of today's date and are subject to significant risks and uncertainties. Actual results may differ materially from projected results. Factors that could cause actual results to differ materially from those in the forward-looking statements are included in our press release furnished yesterday and in our reports filed with the Securities and Exchange Commission. We will also be presenting certain non-GAAP financial measures. Our fourth quarter press release, performance data, a cast as exhibits to yesterday's Form 8-K filing also contain important information on these non-GAAP measures. 
Now I'd like to turn the call over to Joc for opening comments. Joc?"
890498,702698109,2215489,"The Mosaic Company, Q4 2020 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","The Mosaic Company","Executives","Thank you for joining us today for our fourth quarter earnings call. Before we get started, I would like to emphasize the key points from our quarterly earnings report. First, we are realizing the benefits of our extensive cost transformation work, and we",112,"Thank you for joining us today for our fourth quarter earnings call. Before we get started, I would like to emphasize the key points from our quarterly earnings report. First, we are realizing the benefits of our extensive cost transformation work, and we are beginning to see the earnings leverage we have created. Second, agriculture and fertilizer markets around the globe are very strong. Phosphate prices are at 7-year highs and potash prices have risen substantially. We expect the global supply and demand balance to remain tight in 2021. And third, we delivered great results for 2020, and we expect significantly higher earnings this year. 
Now we'll get to your questions, Laura?"
890498,702698109,2215489,"The Mosaic Company, Q4 2020 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","The Mosaic Company","Executives","Joc, the CDD filing is a hot topic, and we've received a large number of questions about the case, status and outlook. Can you bring us up-to-date with the case in your views?",33,"Joc, the CDD filing is a hot topic, and we've received a large number of questions about the case, status and outlook. Can you bring us up-to-date with the case in your views?"
890498,702698109,2215489,"The Mosaic Company, Q4 2020 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","The Mosaic Company","Executives","Thanks, Laura. I'd be happy to. Last week, the Department of Commerce announced final duty rates in the CVD case, having adjusted them from the preliminary rates that we announced in November, the final rates are about 20% for OCP, 9% for Phosagro and 47%",253,"Thanks, Laura. I'd be happy to. Last week, the Department of Commerce announced final duty rates in the CVD case, having adjusted them from the preliminary rates that we announced in November, the final rates are about 20% for OCP, 9% for Phosagro and 47% for Euro count. We really appreciate the work the Department of Commerce has done in this investigation and its efforts to enforce our trade laws. We're closely reviewing their findings to determine whether additional upward adjustments are required. Also last week, the international trade commission held its public full day hearing. The ITC is charged with determining whether the subject imports caused injury to the U.S. phosphate industry. We continue to believe that our injury case is compelling, especially given the undeniable surge in imports during the relevant period. 
The price effects of those imports and the resulting harm to the U.S. industry, which manifests itself in plant curtailments and closures, job losses and reduction in market share, production capacity and revenue. We're thankful for the ITC's work on this case, and we look forward to his vote on or above March 11. 
In terms of the current and expected imports into the U.S., we've seen the expected trade flow shifts, such that the U.S. market continues to be well served with phosphates. Our main concern is that wherever the supply comes from, it needs to be fairly priced and not priced based on highly subsidized production that comes at the expense of a free and fair market."
890498,702698109,2215489,"The Mosaic Company, Q4 2020 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","The Mosaic Company","Executives","Joc, we have a related question from John Roberts at UBS who asks, since the first quarter 2021 U.S. phosphate imports should be flat year-over-year, who has replaced Morocco and Russian imports?",32,"Joc, we have a related question from John Roberts at UBS who asks, since the first quarter 2021 U.S. phosphate imports should be flat year-over-year, who has replaced Morocco and Russian imports?"
890498,702698109,2215489,"The Mosaic Company, Q4 2020 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","The Mosaic Company","Executives","Thank you, John. Importers that have increased their sales into the North American market include the Australians, the Jordanians, the Egyptians, the Saudis and the Mexicans. All of these have also been excluded from this market due to the subsidized impo",72,"Thank you, John. Importers that have increased their sales into the North American market include the Australians, the Jordanians, the Egyptians, the Saudis and the Mexicans. All of these have also been excluded from this market due to the subsidized imports. And so now we're seeing freer and fair trade. I'd encourage you to look at our market update deck published on our website where Andy provides some historical context as well."
890498,702698109,2215489,"The Mosaic Company, Q4 2020 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","The Mosaic Company","Executives","Joc, we've had several questions related to our taxes, specifically Jonas Oxgaard at Bernstein asked, can you simplify what happened in the quarter? And how should we think about both the GAAP and cash taxes going forward? And Artem Adancor from VTBS, if",69,"Joc, we've had several questions related to our taxes, specifically Jonas Oxgaard at Bernstein asked, can you simplify what happened in the quarter? And how should we think about both the GAAP and cash taxes going forward? And Artem Adancor from VTBS, if you can provide details on the tax benefit related to Aley acquisitions, how the reserve was formed and why it was reversed in the fourth quarter."
890498,702698109,2215489,"The Mosaic Company, Q4 2020 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","The Mosaic Company","Executives","Thank you, Artem, and Jonas. I'm going to hand this straight over to Clint to give you a little bit of a background on some of the moves in our taxation in the quarter.",34,"Thank you, Artem, and Jonas. I'm going to hand this straight over to Clint to give you a little bit of a background on some of the moves in our taxation in the quarter."
890498,702698109,2215489,"The Mosaic Company, Q4 2020 Earnings Call, Feb 18, 2021",2021-02-18,"Earnings Calls","The Mosaic Company","Executives","Thanks, Joc. Maybe I'll start with the second question and then move back to Jonas' question afterwards. So related to the tax benefit associated with the Vale acquisitions, when we acquired the Brazil business in 2018. It came with certain tax assets. Th",350,"Thanks, Joc. Maybe I'll start with the second question and then move back to Jonas' question afterwards. So related to the tax benefit associated with the Vale acquisitions, when we acquired the Brazil business in 2018. It came with certain tax assets. That we ended up having to put a valuation allowance against, given the historic profitability of that subsidiary, that just according to GAAP rules. What's now transpired is that, that the profitability of that subsidiary has improved to the point where under GAAP accounting, we can now remove that valuation allowance and affected our GAAP earnings for the year. 
Now to Jonas' question around our effective tax rate for the year, we actually realized some foreign tax benefits in the fourth quarter that we had originally thought would be temporary in nature and reported on the balance sheet. But as we concluded our analysis, we got our opinions and finished our work. It became apparent that those foreign tax benefits were going to be permanent. And when that's the case, you need to take it through the income statement through P&L on the tax line. When we look at where our earnings and earnings mix came out for the year, which provided a lot -- quite a bit of volatility in our rate last year. All of that came out as expected but as we again concluded our work on these foreign tax benefits and recognize that they were going to be eminent, we ended up needing to, again, run that through the tax line, and that's what brought our effective tax rate down to the level that we recorded. 
As we go forward into 2021, a couple of things to keep in mind. First, the foreign tax benefits that we recognized in 2020, we expect that to continue to benefit our rate in future years. The other thing to keep in mind is that the better our phosphate business does, the more income is generated in the United States, which is our lowest tax jurisdiction. So the better that business performs, the lower our rate should go."
