"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
306688,703918553,2221806,"The TJX Companies, Inc., Q4 2021 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","The TJX Companies, Inc.","Operator","Ladies and gentlemen, thank you for standing by. Welcome to the TJX Companies Fourth Quarter Fiscal 2021 Financial Results Conference Call. [Operator Instructions] As a reminder, this conference call is being recorded, February 24, 2021. I would like to",62,"Ladies and gentlemen, thank you for standing by. Welcome to the TJX Companies Fourth Quarter Fiscal 2021 Financial Results Conference Call. [Operator Instructions] As a reminder, this conference call is being recorded, February 24, 2021. 
I would like to turn the conference call over to Mr. Ernie Herrman, Chief Executive Officer and President of the TJX Companies, Inc.  Please go ahead, sir."
306688,703918553,2221806,"The TJX Companies, Inc., Q4 2021 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","The TJX Companies, Inc.","Executives","Thank you, Sheila. Before we begin, Deb has some opening comments.",11,"Thank you, Sheila. Before we begin, Deb has some opening comments."
306688,703918553,2221806,"The TJX Companies, Inc., Q4 2021 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","The TJX Companies, Inc.","Executives","Thank you, Ernie, and good morning. The forward-looking statements we make today about the company's results and plans are subject to risks and uncertainties that could cause the actual results and the implementation of the company's plans to vary materia",154,"Thank you, Ernie, and good morning. The forward-looking statements we make today about the company's results and plans are subject to risks and uncertainties that could cause the actual results and the implementation of the company's plans to vary materially. These risks are discussed in the company's SEC filings, including, without limitation, the Form 10-K filed March 27, 2020, and the Form 10-Q filed December 1, 2020. 
Further, these comments and the Q&A that follows are copyrighted today by the TJX Companies, Inc. any recording, retransmission, reproduction or other use of the same for profit or otherwise, without prior consent of TJX is prohibited and a violation of United States copyright and other laws. 
Additionally, while we have approved the publishing of a transcript of this call by a third party, we take no responsibility for inaccuracies that may appear in that transcript. Thank you. And now I'll turn it back over to Ernie."
306688,703918553,2221806,"The TJX Companies, Inc., Q4 2021 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","The TJX Companies, Inc.","Executives","Good morning. Joining me and Deb on the call is Scott Goldenberg. I'd like to start our call today by expressing our sincerest gratitude to all of our associates for their hard work and dedication in 2020. Together, our organization has successfully accom",2171,"Good morning. Joining me and Deb on the call is Scott Goldenberg. I'd like to start our call today by expressing our sincerest gratitude to all of our associates for their hard work and dedication in 2020. Together, our organization has successfully accomplished many monumental tasks in the most uncertain environment we have ever faced as a company. 
I am so proud of the efforts of all of our global teams who have worked as 1 TJX to operate the business through this environment, while prioritizing the health and safety of our associates and of our customers. I want to give special recognition to our store, distribution center and fulfillment center associates. We are truly grateful for their commitment to our business and to our associate and customer safety protocols. 
In recognition of their efforts, including physically coming into work in the fourth quarter, we awarded a majority of them an appreciation bonus, which is the third appreciation bonus that we have paid during the pandemic. We will continue to look for opportunities, future opportunities to recognize associates for their important contributions to the business. As we continue to manage through the global pandemic, we are thinking of everyone who has been impacted by COVID. Including our associates and their families, our customers and our communities. Also, our hearts are with the people in Texas and other parts of the U.S. who have endured so much due to the severe weather this month. 
Looking ahead, as the power and water situation improves in Texas and other areas and the rollout of vaccines is more widespread in the coming months. We are hopeful and optimistic about the future. 
Turning to our business operations. During the fourth quarter, we were very pleased that our U.S. stores were generally able to stay open. However, at certain times during the quarter, we have to temporarily close all our stores in Europe in a majority of our Canadian stores. In total, Europe was closed for almost 2/3 of the quarter in Canada for about 1/3 of the quarter. As we reopen some of these European and Canadian stores over the past couple of weeks, we were encouraged by consumers' enthusiastic response, similar to what we saw last summer when we began our reopenings. 
We are following government mandates in our regions. And at this time, approximately 690 stores remain temporarily closed. Currently, the vast majority of these closures are still in Europe, where we expect shutdowns to remain in place for a significant portion of the first quarter. 
Okay. Moving to a recap of our fourth quarter results. First, I am very pleased that our overall open only comp store sales of down 3% exceeded our plans. During the fourth quarter, we saw a continuation of strong sales trends in our home and beauty departments as well as great customer response to our holiday gift assortments and values. 
I am particularly pleased with the terrific assortment of brands we offer shoppers across all categories, which we believe was an important driver of our above plan sales. These comp sales also exceeded our plans across each of our divisions, including at HomeGoods, which once again saw a double-digit increase. While overall sales were down significantly due to the temporary closing of our stores for approximately 13% of the quarter, I want to emphasize that we are very encouraged by our fourth quarter overall open only comp sales, which improved each month of the quarter and were positive in January. 
Despite operating during COVID surges, with the headwinds of uncertain consumer behavior, occupancy constraints and social distancing protocols, we only had a small decline in sales at our stores that were committed to be open. It was great to see many of our best customers enthusiastically return to our stores. We believe this speaks to the resilience of the business and enduring appeal of our value proposition across all of our retail banners regardless of the environment. 
All of this gives us great confidence in our business over the long term. We also believe our ongoing commitment to health and safety protocols help customers feel comfortable visiting our stores throughout the quarter. We continue to receive positive feedback from our shoppers on our safe shopping experience. 
We believe this will remain an important factor for consumers when deciding where to shop while COVID persists. 
Next, our merchandise margin was up. The buying environment remains excellent as we continue to see a terrific selection of inventory from both existing and new vendors. We are very pleased with the improved seasonality and mix of merchandise at our stores as our buying teams have done a great job aggressively sourcing branded product across good, better and best categories. We achieved fourth quarter earnings per share of $0.27 and maintained our strong balance sheet and liquidity position despite the overall sales decline. 
Further, we declared a quarterly dividend and refinance some of our outstanding debt to lower our borrowing costs over the long term. 
Scott will speak to all of these items in more detail in his financial update. As we enter 2021, significant uncertainty remains around COVID and its impact on consumer behavior. While many factors remain outside of our control, such as temporary store closings and customer shopping habits, we are very confident about the areas that we can control, including buying, merchandising and store operations. 
Despite the near term uncertainty, we have grown more optimistic about the medium and long-term with the news of multiple effective COVID vaccines. I'm convinced that our business will rebound and we'll capture market share once we are past this health crisis. 
Let me highlight some of the actions we took in 2020 that we believe set us up for success going forward. First, we have strengthened our relationships with many of our existing vendors. With all the uncertainty in the retail landscape, some vendors have looked to us to buy even more of their inventory. We have also had opportunities to buy goods across an even wider range of product categories. 
In 2020, our buyers open thousands of new vendors across good, better and best brands and sourced from a universe of approximately 21,000 vendors around the world. We believe all of this puts us in an excellent position to keep offering consumers an eclectic mix of branded merchandise at amazing values. 
Second, we're prepared to take advantage of the terrific real estate availability that we are seeing across each of our geographies and continue our global store growth. With the increase in-store closures by some other retailers, we are in an excellent position to open new stores in some of our target markets. Further, we see additional opportunities to relocate existing stores to more desirable locations and to seek out more favorable terms when leases expire. 
Next, upon initially reopening our stores last summer, we focused our marketing on addressing safety concerns to build the confidence of our shoppers while highlighting value and the hotter trending categories. In the fourth quarter, we also emphasized gifting. In 2021, we plan to launch bold new campaigns for each banner that reinforce our value leadership, while also highlighting the elements of discovery, variety and quality, which are all major strengths for us. 
Lastly, we prioritized investments in our associates, stores, supply chain and systems to strengthen our infrastructure and support our future growth plans. Scott will outline our 2021 capital plans shortly. 
Looking beyond the health crisis, we are confident that more consumers will be drawn to our stores once they are back to more normalized routines and shopping habits. I'd like to walk through the reasons why we believe we are strongly positioned to capture market share in the future. 
First, we are confident that our relentless focus on value and quality will be as important as ever for shoppers beyond the health crisis. Second, we are convinced that consumers will seek out our stores for our wide assortment of branded and fashionable merchandise. We see our excellent selection of brands in our global buying organization as key differentiators for our business. 
Further, we believe the brands we offer consumers will continue to be a major driver of incremental customer traffic and sales. We believe our flexible close-to-knee buying will continue to be a tremendous advantage. Eventually, consumers will be physically returning to work, socializing again and resuming travel. This is what we saw happen in Australia, where despite recent COVID shutdowns, life had largely returned to normal during the fourth quarter, and we saw strong sales trends return in our apparel business. 
Our buying organization is well positioned to shift our spending in our other geographies to meet shoppers' changing category needs once we move past this health crisis. Third, we are confident that the appeal of our treasure hunt shopping experience will resonate for people looking to be inspired and discover new products when they shop. We shipped to our stores several times a week with new and different merchandise, so there is always something exciting for shoppers to see. With our rapidly changing store assortment, shoppers learned to buy something when they see it, because it may not be there the next time they visit. We believe that the entertainment element of our shopping experience will continue to be important. 
Customers tell us that part of the reason they shop us is for some stress relief, particularly during these times and some ""meet time"" , which we expect to continue into the future. 
Next, we believe our convenient off-mall locations in urban, suburban and rural locations is an advantage as this allows us to reach a very wide customer demographic. In the U.S. roughly 80% of consumers are within 10 miles of one of our stores. This makes it very easy for shoppers to visit our stores. We expect to see incremental traffic once consumers return to their workplaces and go out more as they will be passing by our stores much more frequently. 
We also see a great opportunity to capture share from other retailers that have shut down completely or closed stores. We also believe this will lead to greater availability of inventory from both new and existing vendors. 
Lastly, we continue to aggressively pursue the significant opportunities we are seeing in the home category just as we have for decades. This includes increasing the HomeGoods division's long-term target to 1,500 stores and our plans to launch e-commerce on homegoods.com later this year. 
Further, we have been increasing the mix of all of our banners to capture some of the incremental demand. In 2020, home accounted for almost 40% of our overall sales, up from 33% in the prior year. Going forward, we are confident that the strength of our home buying teams and our global buying offices will allow us to keep bringing an eclectic mix of home merchandise at great value to our shoppers and capture additional market share. 
Before I close, I want to reiterate how great we feel about the long-term and our opportunity to drive sales post pandemic. At the same time, we are still facing several significant expense headwinds. Scott will discuss this in more detail. But the cost pressures that we have pre-COVID, including supply chain, wage and freight, continue to persist, and COVID has made each of them worse. Of course, we also continue to have significant COVID related costs. 
I want to emphasize that we are extremely focused on our top line opportunities that could help to ease some of these pressures. In closing, I am so proud of the resilience and dedication of our associates, who successfully navigated our company through an unprecedented environment in 2020.  I also want to add that as an organization and management team, this has been such an important year in terms of our global corporate responsibility efforts. 
As COVID has been evolving differently in different parts of the world, we have continued to prioritize the health, safety and well-being of our associates and customers, along with the financial stability of the business. 2020 was also a critical year for our inclusion and diversity work, which includes our commitment to standing up for racial justice and equity. 
We are committed to listening to and learning from our associates and taking actions to do better. I am confident as ever about the future of TJX. Longer term, we believe we have a tremendous opportunity to capture additional market share, even beyond the prospect of a resurgence in consumer spending and ""revenge shopping"" once vaccines are widely available, longer term, we are convinced that our flexible off-price model has structural advantages with our entertaining and engaging treasure hunt shopping experience, differentiated assortment of branded merchandise and our excellent values. 
Our teams are energized and laser-focused on capitalizing on the opportunities we see for our company, and I look forward to sharing our success going forward. Now I'll turn the call over to Scott for a financial update, and then we'll open it up for questions. Scott?"
306688,703918553,2221806,"The TJX Companies, Inc., Q4 2021 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","The TJX Companies, Inc.","Executives","Thanks, Ernie, and good morning, everyone. I'd like to first echo Ernie's comments and thank all of our global associates for their hard work and commitment in 2020 and continued efforts in 2021. I'll start today with some additional details of our four",1483,"Thanks, Ernie, and good morning, everyone. I'd like to first echo Ernie's comments and thank all of our global associates for their hard work and commitment in 2020 and continued efforts in 2021. 
I'll start today with some additional details of our fourth quarter results. As Ernie mentioned, open only comp store sales were down just 3% despite the COVID related headwinds we faced. Average basket increased and was strong again, as customers responded favorably to our fresh seasonable mix and put more items in their carts. As to the cadence of comp sales, we saw improvement in each month of the quarter with our Marmaxx, HomeGoods and TJX Canada divisions all achieving positive open only comp sales in January. 
At Marmaxx, our largest division, customer traffic in the fourth quarter was better than the third quarter and also improved each month of the quarter. As to overall sales, the decline was primarily due to the temporary closures of some of our stores. These closures were primarily in Europe, which was closed for 63% of the quarter, including essentially all of January. And in Canada, which was closed for 32% of the quarter. Overall, stores were closed for approximately 13% of the fourth quarter. 
Fourth quarter merchandise margin was up versus the prior year. This was driven by strong mark on and a benefit from the timing of a shrink accrual. These benefits were partially offset by higher freight costs as well as higher markdowns as a result of the store closures in Europe and Canada. 
Moving to the bottom line. Fourth quarter earnings per share were $0.27, which included a debt extinguishment charge of $312 million or $0.18 per share. Earnings per share also included a negative impact of $0.05 from our tax rate, which was significantly higher than last year.  This was due to the company moving to a year-to-date net income position in the fourth quarter and the related impact of the jurisdictional mix of profits and losses. 
Further, as detailed in our press release this morning, we believe the temporary store closures in Europe and Canada during the fourth quarter negatively impacted sales by approximately $950 million to $1.05 billion, resulting in a significant loss of profit dollars and about $0.18 to $0.21 of earnings per share. 
I want to also remind you that our EPS reflects significant cost headwinds in the fourth quarter, which more than offset some of our temporary expense savings. Let me take a moment to go through a couple of the larger ones. First, our net costs related to COVID accounted for approximately $300 million of incremental expense. These costs include extra payroll to clean the store and monitor occupancy levels, payroll for some store associates that we kept active to support the business while stores were temporarily closed, the cost of PP&E and the fourth quarter appreciation bonus for certain associates. 
The increase in our costs versus the third quarter included extra payroll as our stores were open longer hours, partially offset by increased government relief due to the European and Canadian store closures. Second, we had increased supply chain costs. This was due to a lower average ticket and processing more units as our merchandise mix continued to shift to our non apparel categories. Expenses related to additional distribution capacity and wage increases at our distribution facilities. 
As for inventory, our teams are doing a great job procuring merchandise and adjusting logistics to get it to our distribution facilities and stores. As a result, our store inventory position is close to where we want it to be. To reiterate, availability of merchandise in the marketplace is excellent. 
Now I'd like to walk through our cash flow and liquidity. First, we generated $4.6 billion of operating cash flow in fiscal '21. As a result, we ended the fourth quarter in a very strong liquidity position with $10.5 billion in cash. 
Next, we declared a quarterly dividend of $0.26 per share in the fourth quarter. In the first quarter of fiscal '22, we plan -- we're planning to declare a dividend at the same rate, subject to Board approval. 
Lastly, in the fourth quarter, we significantly lowered our borrowing costs by reducing our high interest rate, longer-dated bonds through a cash tender offer and issuing lower interest rate bonds. The net result of these actions will lower our interest expense by approximately $32 million per year. 
Now I'll spend a moment on fiscal 2022. As we said in our press release this morning, we are not providing a financial outlook for fiscal '22 because of the continued uncertainty of the environment due to COVID. As a point of reference, overall open only comps store sales trends for the first 3 weeks of the first quarter were better than in the fourth quarter despite the unfavorable weather in the United States. In the periods before and after the unfavorable weather, overall comp sales were positive. 
In terms of fiscal '22 profitability, we expect pretax margins to be higher than fiscal 2021, but to deleverage significantly versus our pre-COVID levels. This is due to a number of known headwinds that we've discussed many times before. As a reminder, these include the following: first, we continue to have the net costs related to COVID. In the first quarter, we are currently planning $225 million of net expense. At this time, we do not know or by how much these costs may moderate beyond the first quarter. As a reminder, most of these costs are in SG&A. 
Second, based on what we know today, we expect temporary store closures will negatively impact overall first quarter sales by approximately $750 million to $850 million, and will result in some level of margin deleverage. This includes our stores that are currently closed in Europe and the majority of our Canadian stores that are currently closed or have been closed during the first quarter. Based on what we know today, overall, we expect stores to be closed for approximately 11% of the first quarter, which includes Europe being closed for an estimated 67% of the quarter. These expectations could be negatively impacted further if current mandates are extended or new ones are put in place. 
Next, as Ernie mentioned, the headwinds of freight, wage and supply chain that existed pre pandemic have not gone away. In fact, each of them has gotten worse in the current environment. On freight specifically, we continue to see capacity constraints and driver shortages, which has led to higher rates. We're also experiencing incremental freight costs due to our lower average ticket and moving more units through our supply chain. All that said, we remain laser-focused on looking for expense savings throughout the business. 
We may also have an opportunity to offset some of these headwinds over the long-term if we successfully drive outside sales increases and market share gains or see demand improve for the higher ticket categories. Additionally, if the buying environment stays beneficial, we could capture additional merchandise margin. 
Moving on, we expect capital expenditures to be in the range of $1.2 billion to $1.4 billion in fiscal '22. This includes opening new stores, remodels and relocations and investments in our distribution network and infrastructure. For new stores, we plan to add 122 net new stores, which would bring our year-end total close to 4,700 stores. This would represent a store growth of about 3%. 
In the U.S., our plans call for us to add about 30 net stores at Marmaxx, 34 net stores at HomeGoods and 12 Sierra stores. In Canada, we plan to add about 22 net stores. And at TJX International, we plan to open up approximately 15 stores in Europe and 9 stores in Australia. 
As to our long-term store growth opportunity, we now see the potential to grow to [ 6,275 ] stores globally. In addition to the increasing home goods by 100 stores, we've also increased the store potential for Canada and Australia. 
In closing, to reiterate what Ernie said, we feel great about the strength of our business. In general, the stores are -- that are open are performing well despite the numerous COVID related headwinds. Additionally, we are in a very strong financial position, which allows us to continue investing in our business to support our growth plans. All of this gives us great confidence that we will continue to successfully navigate this environment and be a stronger company when we are past the pandemic. 
Now we're happy to take your questions. As we do every quarter, we're going to ask you to please limit your questions to 1 per person and 1 part to each question. We respectfully ask that everyone sticks with this request to keep the call on schedule so that we can answer questions from as many analysts as we can. Thanks, and now we will open it up for questions."
306688,703918553,2221806,"The TJX Companies, Inc., Q4 2021 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","The TJX Companies, Inc.","Operator","[Operator Instructions] Our first question will come from Lorraine Hutchinson.",10,"[Operator Instructions] 
Our first question will come from Lorraine Hutchinson."
306688,703918553,2221806,"The TJX Companies, Inc., Q4 2021 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","The TJX Companies, Inc.","Analysts","We've heard a lot about difficulty getting home products through the ports and also some concern around a shortage of apparel receipts later on in the year as the economy reopens. Can you just talk about the buying environment in a little more detail and",64,"We've heard a lot about difficulty getting home products through the ports and also some concern around a shortage of apparel receipts later on in the year as the economy reopens. Can you just talk about the buying environment in a little more detail and your comfort in your ability to stock the stores with the inventory you need as demand comes back?"
306688,703918553,2221806,"The TJX Companies, Inc., Q4 2021 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","The TJX Companies, Inc.","Executives","Sure, Lorraine. Certainly a question near and dear to my heart as we talk about how we buy the goods and how we stock the stores, as you said, in terms of the demands by category really, since the beginning when COVID, if you remember back, and I know we",508,"Sure, Lorraine. Certainly a question near and dear to my heart as we talk about how we buy the goods and how we stock the stores, as you said, in terms of the demands by category really, since the beginning when COVID, if you remember back, and I know we spoke back when COVID first hit, and we could see our home business and some of our other trending categories we're going to clearly trend differently than apparel, for example. So we were able to adjust, as you could hear what we said in the script, how big our home business has actually gotten to over the last 6 months, we were able to adjust the mix in our stores very appropriately to that because our model is very flexible, right? So we're able to -- and supply has been plentiful even though there were little snippets of time when it wasn't so easy to get exactly what we want. For the most part, we got the categories that we wanted. 
When you ask about apparel, I don't think -- we weren't trying to communicate that we weren't able to get it. So apparel is pretty plentiful in the market. It's just not the -- consumer demand isn't there, as great as it has been, I would say, would be the way to put it. Having said that, I mentioned Australia, where the environment is more normal and almost -- is the least COVID impacted market that we're in. Their apparel business has been very healthy. 
So we are predicting, and there won't be an availability issue that as we start to go through this year, we're feeling that apparel, specifically, second quarter into summer as the vaccine rollout becomes more widespread, and people start to circulate out there more I and the teams are anticipating a surge in apparel, certainly part not every department, but a pretty big search from where we've been hovering and probably gaining back a little bit more of the share within our store. No availability problem, though, on us sourcing across all the categories. And in fact, as I always say to all of you, we have to really control our merchants from buying too much. Specifically, I would say apparel has been where we've really had a slowdown of recent only because the trend isn't what it is in some of the other areas. Everything has been improving quarter-by-quarter. 
So if you look at Marmaxx, our business. And when you talk apparel, I think, domestically here, because, obviously, our Europe business was kind of shut in the fourth quarter. I can't give you as much detail there. But if you look at Marmaxx, we improved from a minus 10 in the third quarter to a minus 7 in the fourth quarter. And then each month got progressively better in the fourth quarter from Marmaxx. And barring the weather, we're starting the year off, improved from where we were in the preceding months in the fourth quarter. So hopefully, that helps you."
306688,703918553,2221806,"The TJX Companies, Inc., Q4 2021 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","The TJX Companies, Inc.","Operator","Our next question will come from Matthew Boss.",8,"Our next question will come from Matthew Boss."
306688,703918553,2221806,"The TJX Companies, Inc., Q4 2021 Earnings Call, Feb 24, 2021",2021-02-24,"Earnings Calls","The TJX Companies, Inc.","Analysts","Congrats on the progress. Ernie, maybe to dig into your comp improvement despite the continued COVID restrictions and your model having little e-commerce, could you help elaborate on your comments around expansion of vendor relationships coming out of the",82,"Congrats on the progress. Ernie, maybe to dig into your comp improvement despite the continued COVID restrictions and your model having little e-commerce, could you help elaborate on your comments around expansion of vendor relationships coming out of the crisis? And also speak to any offensive initiatives that you are taking to capture what others in the sector have quoted as potentially more than $10 billion of potential sector market share. It could be up for grabs coming out of this pandemic."
