"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
264048,700595764,2194231,"Zimmer Biomet Holdings, Inc., Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Zimmer Biomet Holdings, Inc.","Operator","Good morning, ladies and gentlemen, and welcome to the Zimmer Biomet Fourth Quarter 2020 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded today, February 5, 2021. [Operator Instructions] I would now like t",57,"Good morning, ladies and gentlemen, and welcome to the Zimmer Biomet Fourth Quarter 2020 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded today, February 5, 2021. [Operator Instructions] I would now like to turn the conference over to Keri Mattox, Senior Vice President, Investor Relations and Chief Communications Officer. Please go ahead."
264048,700595764,2194231,"Zimmer Biomet Holdings, Inc., Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Zimmer Biomet Holdings, Inc.","Executives","Thank you, operator, and good morning, everyone. I hope you are all well and safe. Welcome to Zimmer Biomet's quarterly earnings conference call. Joining me virtually today are Bryan Hanson, our President and CEO; and CFO, Suky Upadhyay. Before we get s",192,"Thank you, operator, and good morning, everyone. I hope you are all well and safe. Welcome to Zimmer Biomet's quarterly earnings conference call. Joining me virtually today are Bryan Hanson, our President and CEO; and CFO, Suky Upadhyay. 
Before we get started, I'd like to remind you that our comments during this call will include forward-looking statements. Actual results may differ materially from those indicated by the forward-looking statements due to a variety of risks and uncertainties. Please note, we assume no obligation to update these forward-looking statements even if actual results or future expectations change materially. Please refer to our SEC filings for a detailed discussion of these risks and uncertainties, in addition to the inherent limitations of such forward-looking statements. Additionally, the discussions on this call will include certain non-GAAP financial measures. Reconciliation of these measures to the most directly comparable GAAP financial measures is included within our earnings release. As a note to all call participants, we provided updates via 2 press releases issued this morning, and we have also posted an investor presentation to our website, zimmerbiomet.com. 
With that, I'll now turn the call over to Bryan. Bryan?"
264048,700595764,2194231,"Zimmer Biomet Holdings, Inc., Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Zimmer Biomet Holdings, Inc.","Executives","All right. Great. Thanks, Keri. And also I want to say just thanks to everyone for joining us on the call here this morning. As you saw from our announcements earlier today, we clearly have a few updates that we want to fill you in on and I'm looking forw",3041,"All right. Great. Thanks, Keri. And also I want to say just thanks to everyone for joining us on the call here this morning. As you saw from our announcements earlier today, we clearly have a few updates that we want to fill you in on and I'm looking forward to a very productive call this morning. 
Just given the backdrop of COVID, let me just start by saying that I certainly hope that all of you are doing well and staying safe. And continuing to, as much as it's frustrating, I'm sure by now, continuing to social distance and where your masks. I think, at this point, we're all pretty good at it. So let's make sure that we continue to do it. And to all of the ZB team members joining the call this morning and who are listening at a later time, I just want to -- I'm thinking about you as well. I just want to say thanks. Thanks for everything that you do and have done and will do actually to continue to follow our protocols, to keep yourself safe, obviously, but also our teammates safe. And as a result of that, continue to deliver for our customers and our patients and move our mission forward. And I just continue to be very proud of everything this team has accomplished against a significantly challenging backdrop in 2020. So I'm proud of you, I'm glad to see what you've been able to do, and I'm looking forward to what you're going to do in 2021. And here we are, right? We're in 2021. And there's definitely challenges we've seen already early on in 2021, but I'm confident that we're ready to deal with the challenges as we do. And I'm pretty confident that we're going to see some real opportunities for 2021 as well. 
And there's just a lot of updates that I want to share with you today, but I'm going to keep my comments to a minimum, if possible. I really want to make sure that we have time for Suky to get into a little more detail on Q4 and then ultimately say how that's going to translate into 2021. Now we're not going to give too many specifics on 2021, but he'll give you some color, what we're seeing from Q4 and again, the impact we think that's going to have on 2021. And I want to make sure that we leave time for questions as well, okay? 
So for today, I'm just going to kind of keep it to 3 main topics. The first is really how we're continuing to navigate COVID-19 and to continue, inside of that, to ensure that we're executing against our strategy. The second one is really going to talk about the ongoing transformation of the company. We really are making sure that we're moving forward with active portfolio management. And obviously, we're taking the next steps there with the planned spin-off of our Spine and Dental business. So we'll talk a bit about that. And then third, I want to make sure that we, again, touch upon our long-term growth strategy and how it positions us to drive growth, obviously, as a company, but also value for you and value for us. 
And so let's start again, navigating the challenges and executing here in the short term. There's just no doubt that COVID, unfortunately, remains a challenge. Coming out of Q4, we're seeing the pandemic pressure and the surges continue and frankly, worsen across pretty much all of our regions and markets. There's clearly more lockdown measures that we're seeing throughout Europe, Middle East and Africa. To a far lesser extent, but still impacting Asia Pacific as well. And certainly, in the Americas, we're all seeing it in the U.S. May be different by state, but we're clearly seeing increased pressure as a result of surges in the pandemic. So all of that is kind of the backdrop that we saw coming out of Q4. Unfortunately, this pressure in the corresponding decline in elective procedures, grew throughout Q4 and actually was worse at the end of December. And, at this point, we expect that increase in pressure will continue throughout Q1, at least, and will impact all 3 of our regions. As a matter of fact, we're actually seeing this probably increase in pressure coming out of Q4. So we would expect Q1 to be a little more challenging than even what we saw in Q4. 
But even given that backdrop, I'd say that I'm optimistic. Sounds crazy to just say what I said, but say that I'm also optimistic, but the best [indiscernible] approved vaccines. We're currently rolling those out around the world. We do believe the vaccines are going to change the COVID-19 dynamic. And we're going to see positive impact as a result of it. As soon as we start to see the surges stop, we see the impact of COVID. And we're confident that the recovery is going to mean that the normal patient flow is going to start again, and we're going to have the pull-through effect of a sizable patient backlog that's been created over the past number of quarters. We expect that when that recovery occurs, we're going to see a period of what I would define as normal market growth augmented by deferred procedures that will be coming in as well. And we're going to be ready for that. And we're excited about that. So as much as it's going to be at rocky in the short-term and potentially more challenging than what we saw in the fourth quarter, we see a light at the end of the tunnel. And that's a good thing. 
The big question is when? When is that going to happen? We know the vaccine is going to have the impact. The big question is when. And that's certainly going to be the key variable we're going to be looking at as we try to predict where 2021 is going to look like. So while I would just say, against this backdrop of COVID, what is clear to us is we can't control when the vaccines allow the surges to stop, but what we can control inside of that is how we execute our strategy. And I have confidence we're going to continue to move forward. Our core business is strong. Our execution is on point. I would just say momentum around our key commercial launches and programs continues to be strong. And I would say that overall, our commercial confidence is better than it has ever been. 
So let's give a few examples of this. I can say it all day long, but once we talk about it and actually, it reflects in the numbers, who cares. So let's first start with ROSA Knee. Obviously, this is something that everyone's going to be paying attention to. Certainly, I am. And I know we said we're going to hit between 200 to 300 cumulative placements by the end of 2020. Obviously, you know that we are in that range as of Q3. So I'm happy to report that, not only did we achieve that goal, we achieved the high end of that goal. And I would tell you that the momentum is strong coming into 2021. Q4 was actually our strongest quarter as of the date of launch of ROSA Knee. So we had some pretty strong quarters in the past, Q4 was our best, and we were on the high end of the goal that we set for the year. And as I've said before, with some of the new launches that we have coming, specifically associated with the unit, I feel pretty confident that 2021 is going to continue to show that kind of resilience and strength for ROSA Knee. 
On the Persona Revision side, again, this product continues to be very successful for us. We now show that in Q4, we actually had the strongest quarter-over-quarter growth that we've seen since launch. We did realized our 2020 expectations of $100 million in gross revenue and almost $40 million in net of cannibalization revenue during the year. And I would just tell you that that's just the beginning because Persona Revision serves as a really compelling tip of the spear product for our commercial team. Once we get Persona Revision in, we've got an opportunity to hunt for the typical primary knee as well. So we're very excited about that launch, and it continues to be strong. 
On the hip side, Avenir complete continues to be a strong one for us. Even in the pandemic, it continues to beat our expectations. And if I just look at Q4 specifically, we grew about 30% over Q3, again, even with the increased pressures of the pandemic in Q4. So very excited with what we're able to do with Avenir Complete, and we expect big things to continue with this product throughout 2021. And as you obviously know, we also expect at the end of 2021 to launch the ROSA Hip which, again, gives us a lot of confidence in the hip category for our business. 
And then finally, for Signature One planner, we demonstrated, again, strong sequential growth with registrations up nearly 25% in Q4 over Q3, and we expect utilization to continue to expand significantly in 2021 with really a goal of having more than 50% of our shoulder procedures using pre surgical planning. And that's important for a lot of reasons. Remember, the presurgical planning create stickiness with the customer. But it also enhances our ability to get more guides and to augment using the procedure, which can really take up the ASP for that procedure. So again, exciting stuff with signature One planner as well. 
And so all in, we continue to execute. We continue to execute the team. The way we're showing up every day, the way we're showing up in the market, frankly, versus our peers, gives me confidence in our business as does our continued innovation and our product launches. But we're going to see more this year, some pretty pivotal innovation that we're going to see this year. As I mentioned before, we're going to see what ROSA Partial Knee, we're going to see ROSA Hip. And we're also going to see the first smart implant, Persona IQ, launched this year. So definitely exciting for us from an innovation standpoint in 2021. 
And yes, that leads me to really my second topic this morning. We continue the transformation of ZB. That's been the goal since I got here. You've heard me talk about our 3 phases of transformation. First was the hearts and minds and the execution challenges that we had in the very beginning. That's what we talked about a lot in the beginning. The second phase of this was really doing a more robust, longer-term strategy, making sure that we brought innovation to the market and getting our execution straight. We're clearly well into that base. And third is our portfolio transformation. And that's the goal of active portfolio management, to change the complexion of the organization so that we can have better goal of sustaining the mid single-digit growth. 
And I'm proud to say that we're squarely positioned in Phase III now as well. And as you've seen by our recent announcement, we're going to continue to move this forward. We have the portfolio management strategy and the process in place and to build a pretty strong capability to move us forward in this area. Late last year, we executed a number of smaller but still important, M&A deals to fill portfolio gaps and to better position us in higher growth areas that we do believe we have a right to win in. And just this morning, we announced our intent to spin-off our Spine and Dental businesses. Ultimately creating, we believe, 2 independent, publicly traded companies, both Zimmer Biomet and the new company called NewCo that are going to be better positioned, separate. I truly believe, by separating out these businesses, we're going to create 2 stronger companies. 2 companies that are going to be better positioned to meet customer needs and improve patient lives and ultimately, and very importantly, deliver greater value to you, our shareholders. 
And let me give you a bit more detail on why we believe this is an opportunity for value creation and really why we think it delivers value for both the ZB and NewCo. First of all, the transaction increases our management focus and resource prioritization. We truly do believe for both companies. We think about NewCo, and we think it's going to thrive as an independent company with prioritized capital allocation to pursue strategies and growth opportunities and internal investments inside of Spine and Dental that has not been a focus for ZB. It will absolutely be a focus for NewCo. 
And for Zimmer Biomet, the transaction is an important next step in our transition into a more streamlined company with sharper focus in greater and more optimized resource allocation towards innovation in those core businesses that we are committed to that are profitable for us, where we see attractive markets with a right to win in those markets and be market leaders. 
And really, the second thing is it's going to drive increased growth and efficiency for both companies. We really do believe that. Simply put it, we expect that these 2 companies, with their simplified operating models and just reduced complexity and increased focus, we'll be able to grow revenue, margin and earnings per share faster than they would if we remain combined as one company. And Suky is going to talk more about the specific financial impact that we expect in just a few minutes, but just note, it's positive for both organizations, financially speaking, as we separate the organizations. 
And third, it's going to enhance value creation for our patients, our providers and all of our key stakeholders, including our own team members. This is the next step in ZB's transformation, and it underscores our commitment to ensuring long-term priorities remain aligned with shareholders' best interest. It's going drive the business forward to meet customer needs and advance our mission to alleviate pain and improve the quality of life of people around the world. We think we can do it better as 2 separate organizations. 
Okay. So that's the backdrop of the spin. And today, obviously, it's just day 1 in terms of announcements around this process. You can absolutely expect that we're going to continue to provide updates as we move forward, as NewCo take shape and as we move towards the transaction close, which we're currently expecting to be around mid-2022. 
Okay. So we're confident in the steps we're taking in our ability to keep executing and in our overall ZB strategy. And that brings me really to the third and really the final topic that I have for these remarks, and it's our plan to drive long-term growth. And ultimately, as a result of that, deliver increased value for you. And to do that, we remain fully committed and confident in ZB's long-term growth and margin expansion expectations. In fact, the spin-off transaction that we're going to do over the next year serves to de risk, if not accelerate, our path to that 4% to 5% growth rate we've talked about and our 30% operating margin profile by the end of 2023. And to get there, to be able to deliver on both of those, we're going to have to be committed to our priority growth areas, and we've talked about these in the past, but I'm going to remind you of them again. The key area of concentration for us would be knees, hips and set. 
If we think about knees, first and foremost, we need to be able to grow above market rates here. And we're going to continue to focus on the fastest growth submarkets of knees. For us, that's going to be robotics, data and informatics, cementless revision. We feel we have plenty of innovation and momentum here to continue to grow sustainably above market rates in knee. 
From a hip perspective, it's a little less ambitious in the beginning. We just said that we need to grow at market in the short term, with the idea that over the long term, particularly after ROSA Hip is launched, that we would grow above market in hip as well. And I can tell you based on our performance so far, the ROSA Hip application being launched later in 2021 and the Avenir Complete momentum that we have, we feel confident we're going to be able to do that as well. And as far as that goes, we just want to grow at market, if not the higher end of market. And to do that, we're going to focus on the most attractive sub-element to set for us and that's, for us, again, going to be sports medicine and extremities. Those are key areas of concentration for us that we're going to invest internally. We're going to look for external ways to build scale, and we're going to build commercial infrastructure as well, right? 
It's only closed by saying that I continue to be more confident about ZB's future than ever. I know I say that a lot recently, but I really do feel the momentum right now. I truly believe that we are well positioned for success and that our strategy is absolutely working. And our transformation is well underway. And our proven ability to rise to challenges and face adversity, I think has prepared us well for navigating the current environment. And really, for that matter, any environment in front of us. And I just want to, again, say thanks to the entire ZB team in your focus on our mission, our strategy and how we show up and execute every day is unmatched. It's what makes ZB and what makes me confident that we're going to continue to deliver. 
So with that, I'm going to turn the call over to Suky for more financial details of the quarter and also looking forward. Okay. Suky?"
264048,700595764,2194231,"Zimmer Biomet Holdings, Inc., Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Zimmer Biomet Holdings, Inc.","Executives","Thanks, and good morning, everyone. Before jumping into the details, I'd like to summarize the quarter as one where we made significant progress across a number of strategic and operational fronts, all in the backdrop of heightened market pressure. While",1778,"Thanks, and good morning, everyone. Before jumping into the details, I'd like to summarize the quarter as one where we made significant progress across a number of strategic and operational fronts, all in the backdrop of heightened market pressure. While revenue and profitability were challenged due to the pandemic, we executed extremely well against the things we can control, positioning ourselves to win through eventual market recovery and beyond. 
Now for this morning's call, I'm going to focus on 2 topics. First, our Q4 results, including commentary on the COVID impact and what we're seeing so far in Q1; and second, how ZB is positioned for long-term growth specifically, how we believe the spinoff transaction we announced this morning is expected to impact us post execution. Moving forward, unless otherwise noted, revenue and P&L commentary will be on a constant currency or adjusted basis. 
Net sales in the fourth quarter were $2.085 billion, a reported decrease of 1.9% and a constant currency decrease of 3.7% versus 2019. But we did not experience any material day rate differences in our year-over-year comparisons. Our consolidated regional results were in line with expectations despite deepening pandemic pressure on global elective procedures as we exited the year. While the market softened through the quarter, execution remained strong across all regions. 
Beginning with Asia Pacific. The region grew 2% versus Q4 2019 with growth across all 3 of our largest markets of Japan, China and Australia, New Zealand. While COVID pressure on elective procedures increased towards the end of the quarter, the impact is less pronounced than what we are seeing in EMEA and the Americas. We are excited about the uptake we're seeing in ROSA in the region and with the solid performance across our knee and hip businesses. 
As expected, the EMEA region was hardest hit by COVID-19, decreasing 17.5% versus 2019, with all subregions in decline. Surges in the virus leading to policy actions and government lockdowns negatively impacted elective procedures across the region. 
Lastly, the Americas region was about flat, decreasing 0.3% compared to 2019, driven by continued COVID headwinds in Latin America, in tandem with a softening U.S. market. The U.S. was flat despite increased pressure on elective procedures. Performance was buoyed by continued strong demand for recent innovative product introductions, strong execution by our commercial organization and some favorable impact related to the order timing and year-end purchases, as some accounts increased their buying patterns to utilize remaining 2020 budgets. 
Turning to our business performance for Q4. The global knee business declined 4.8%, negatively impacted by the ongoing pressures in EMEA. However, the us knee business continued to grow, increasing 1.8%, and Asia Pacific knee business returned to growth increasing 2.9%. Overall, execution was strong with continued momentum for Persona and ROSA Knee. 
Our global hip business decreased 3.4%, again, driven by declines in EMEA. Both U.S. hips and APAC hips continued their growth trends, increasing 1.4% and 1.3%, respectively. 
Sports extremity and trauma sales declined 3.3%. [indiscernible] spine and CMFT continued to deliver better execution, increasing 0.8%. And finally, our other category was down 9.3%. 
Moving to the P&L. We reported GAAP diluted earnings per share of $1.59 and adjusted diluted earnings per share of $2.11. Additional details on our GAAP results can be viewed in our press release issued this morning. On an adjusted basis, with revenue down 3.7%, EPS was down about 10%, driven by a lower operating margin and a higher share count, which more than offset the favorable tax rate in the quarter. Lower adjusted operating margin was driven by lower revenue and an expected year-over-year decline in gross margins. Adjusted gross margin was 71.3%, sequentially better than Q3 but lower than Q4 2019. Versus the prior year, favorable geographic mix was more than offset by lower volumes, ongoing pricing pressure and the impact from prior period deferred costs. 
OpEx was down versus the prior year as we implemented several cost containment initiatives as part of our response to the pandemic, in addition to the realization of our transformation programs that were ultimately reinvested back into R&D and commercial infrastructure to help drive consistent above-market growth in priority areas. Based on our performance versus market over the recent quarters, our reinvestment of efficiency savings is translating into strong returns. 
The Q4 adjusted tax rate of 15% was better than the previous year due to geographic mix of income and certain discrete benefits in the quarter related to recent audit settlements. 
Turning to cash and liquidity in the quarter. Free cash flow totaled $329 million, higher than the same period in 2019, driven by better working capital and lower capital expenditures. And we utilized better-than-expected cash flow to pay down $250 million of debt ahead of schedule, ending the year with cash and cash equivalents of approximately $800 million. 
Now moving to 2021. Due to the ongoing uncertainty related to COVID-19 and its impact on elective procedures, we will not be providing full year financial guidance at this time. We recognize that this is challenging for you as you build your '21 models. However, we will reserve financial guidance until we have more certainty around the outlook of elective procedures relative to COVID surges, and related vaccine adoption. 
We strive to be credible and transparent. And to that end, I will provide additional quarterly details and broader full year shaping as an interim measure. So far through January, we've seen COVID pressure continuing to intensify from the end of December. Based on what we've seen so far in the quarter and in tandem with our latest estimates for procedure cadence, we project that Q1 revenue will be down in the low single-digit to mid single-digit percentage range versus Q1 2020. 
Now we have optimism and confidence that we'll see a positive vaccine impact on elective procedures this year. And once we do, we expect elective procedure volumes to return to pre-pandemic levels and the sizable patient backlog to serve as a tailwind to underlying market growth. 
As we turn to the P&L, we expect that the impact of COVID-19 on sales volume will put pressure on adjusted operating margins and earnings leverage until we return to consistent pre-COVID revenue levels and growth rates, as I just discussed. Despite this near-term pressure, our confidence in the market recovery and the longer-term financial profile of the company is driving continued investment into priority areas of the business. We expect that adjusted gross margin will stabilize in 2021, with quarterly margin levels broadly in line with what we saw in the back half of 2020. We could see some fluctuation from quarter-to-quarter depending on a number of variables, including volumes, price, foreign currency, mix and other drivers that can change results over time. 
Regarding operating expenses. Sequentially versus the fourth quarter of 2020, we expect noncommission spending in Q1 to be modestly lower with increases in future quarters' OpEx investments as the impact of the pandemic abates. We expect interest expense to increase in the mid-single-digit versus 2020, as the benefit from lower debt balances was more than offset by the renewal of net investment hedge positions. Our tax rate is expected to be modestly higher than the full year 2020 rate and could fluctuate over the year as a result of variability in geographic mix of income due to the pandemic. Also, we are not projecting any material U.S. corporate tax reform to be implemented in 2021. We project that the full year share count in 2021 will continue to increase modestly versus Q4 2020, and we are not planning for any share buybacks in the year. And in terms of capital allocation, we remain committed to maintaining our investment-grade rating and are planning to pay down an additional $500 million of debt in 2021. 
Now let's turn to today's announcement related to our intent to spin the Spine and Dental businesses into an independent publicly traded company. The transaction will be structures of tax redistribution of newly issued NewCo shares to ZB shareholders. As Bryan mentioned, we believe that this tax-efficient transaction, which is expected to close in mid-2022, subject to certain conditions, will drive greater focus for each company with an enhanced prioritization of capital allocation, while accelerating growth and providing the platform for greater shareholder value. 
In terms of the NewCo financial profile, 2019 and 2020 pro forma revenues totaled approximately $1.022 billion and $897 million, respectively, and is supported by a diversified geographic base with real opportunities for enhanced growth and margin expansion. We expect NewCo to have a financial profile generally in line with its peer group and a capital structure supportive of innovation and investment over time. Importantly, the transaction will empower NewCo to pursue a more focused investment and execution strategy. 
ZB delivered 2019 and 2020 pro forma revenue of $6.96 billion and $6.128 billion, respectively. For post-spin ZB, the transaction is expected to deliver an improved growth profile with accretion to our revenue growth of approximately 50 basis points over the course of our 5-year strategic planning period. We also expect that it will expand our adjusted EBITDA and operating margins on a pro forma basis by approximately 125 basis points. With that, you should have even greater confidence in our operating margin expansion goals. We remain committed to at least 30% adjusted operating margins by the end of 2023. And with this transaction, we have the opportunity to accelerate the timing of that goal. However, we will continue to balance margin acceleration against investment opportunities to accelerate durable top line growth. Ultimately, this transaction provides greater optionality to invest more in the business, while delivering a leading margin profile, and that's an incredibly powerful lever. 
And in terms of capital structure, post spin, we will prioritize proceeds towards debt pay down to maintain our investment-grade rating. 
We're truly excited about this transformational opportunity to increase value for our investors, and we'll continue to provide more details as execution of the spin progresses. 
To summarize, while the pandemic continued to pressure our growth and earnings profile in the quarter, we made substantial progress on many fronts, including very strong performance versus the market; progress on our efficiency programs that enabled increased investment for growth; free cash flow generation that was ahead of revenue growth; strengthening of our balance sheet through early pay down of debt; integrating our strategic and accretive tuck-in M&A deals; and positioning ourselves to execute the spin-off of our Spine and Dental business as a platform for greater value. I'm truly proud of what the ZB team accomplished in the quarter and throughout 2020. 
With that, I'll turn the call back over to Keri."
264048,700595764,2194231,"Zimmer Biomet Holdings, Inc., Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Zimmer Biomet Holdings, Inc.","Executives","Thanks, Suky. [Operator Instructions] With that, operator, may we have the first question.",13,"Thanks, Suky. [Operator Instructions] With that, operator, may we have the first question."
264048,700595764,2194231,"Zimmer Biomet Holdings, Inc., Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Zimmer Biomet Holdings, Inc.","Operator","[Operator Instructions] Our first question comes from Steven Lichtman with Oppenheimer & Company.",13,"[Operator Instructions] Our first question comes from Steven Lichtman with Oppenheimer & Company."
264048,700595764,2194231,"Zimmer Biomet Holdings, Inc., Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Zimmer Biomet Holdings, Inc.","Analysts","Bryan, as you continue in Phase III, obviously accelerated with today's announcement, I was wondering if you could provide your latest thoughts on capital allocation. Are you still targeting tuck-ins [indiscernible] larger deals? Any color would be helpfu",43,"Bryan, as you continue in Phase III, obviously accelerated with today's announcement, I was wondering if you could provide your latest thoughts on capital allocation. Are you still targeting tuck-ins [indiscernible] larger deals? Any color would be helpful. And last follow-up on COVID?"
264048,700595764,2194231,"Zimmer Biomet Holdings, Inc., Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Zimmer Biomet Holdings, Inc.","Executives","Okay. Yes. I'll just briefly answer your first question, and then I'll pass it over to Suky. But yes, our capital allocation strategy remains the same. We do want to look at tuck-in acquisitions that we think would have low dis-synergy risk and know we",86,"Okay. Yes. I'll just briefly answer your first question, and then I'll pass it over to Suky. 
But yes, our capital allocation strategy remains the same. We do want to look at tuck-in acquisitions that we think would have low dis-synergy risk and know we have a right to win in the space. And that's what we're going to continue to do. This does not change that. 
And Suky, you want to give maybe a little more color just overall on the overall capital allocation strategy?"
264048,700595764,2194231,"Zimmer Biomet Holdings, Inc., Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Zimmer Biomet Holdings, Inc.","Executives","Yes, sure. So we made good progress even in the backdrop of the pandemic in 2020. We're going to continue to make progress in strengthening our balance sheet and creating firepower moving forward. As I said in my earlier remarks, we expect to pay down abo",137,"Yes, sure. So we made good progress even in the backdrop of the pandemic in 2020. We're going to continue to make progress in strengthening our balance sheet and creating firepower moving forward. As I said in my earlier remarks, we expect to pay down about $500 million of debt -- of maturing debt this year. And as cash flows improve as the virus abate throughout 2021, that will increase and expand our opportunity in firepower opportunity for continued tuck-in M&A. So again, consistent with how we talked about previously. First priority is to maintain investment grade, pay down debt, delever. And our second priority from a capital allocation standpoint is to continue to grow that top line and bottom line through accretive strategic tuck-in M&A. And this now gives us even greater focus to our transaction."
264048,700595764,2194231,"Zimmer Biomet Holdings, Inc., Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Zimmer Biomet Holdings, Inc.","Analysts","Great. And then just on COVID, where do you think the size of deferred procedures is. I know we've talked about in the past, I know it's a tough number to tee that, obviously. But any comments there would be great as we hopefully see end market conditions",54,"Great. And then just on COVID, where do you think the size of deferred procedures is. I know we've talked about in the past, I know it's a tough number to tee that, obviously. But any comments there would be great as we hopefully see end market conditions improve as the year goes on?"
