"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
169838,98354084,50905,"Apache Corp., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","APA Corporation","Operator","Good day, everyone, and welcome to the Apache Corporation Fourth Quarter and Year End 2009 Earnings Conference Call. [Operator Instructions] Today's presentation will be hosted by Mr. Tom Chambers, Vice President, Corporate Planning and Investor Relations",41,"Good day, everyone, and welcome to the Apache Corporation Fourth Quarter and Year End 2009 Earnings Conference Call. [Operator Instructions] Today's presentation will be hosted by Mr. Tom Chambers, Vice President, Corporate Planning and Investor Relations. Mr. Chambers, please go ahead."
169838,98354084,50905,"Apache Corp., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","APA Corporation","Executives","Thank you. Good afternoon, everyone. Thanks for joining us for Apache's Corporation's Fourth Quarter and Year End 2009 Earnings Conference Call. On today's call, we've taken a little bit different approach from previous calls, and intend on using our rema",210,"Thank you. Good afternoon, everyone. Thanks for joining us for Apache's Corporation's Fourth Quarter and Year End 2009 Earnings Conference Call. On today's call, we've taken a little bit different approach from previous calls, and intend on using our remarks to provide additional context for the 2009 results and 2010 year ahead. Therefore, in order to allow you to focus more on the comments, we've prepared a detailed supplemental data package and placed it on our website. This supplemental information, plus the reconciliation of any non-GAAP numbers that we've discuss, such as adjusted earnings, cash flow from operations or costs incurred, can be found on our website at www.apachecorp.com/financialdata.Today's discussion may contain forward-looking estimates and assumptions and no assurance can be given that those expectations will be realized. A full disclaimer is also located on the website at the same URL. On today's call, we'll have four speakers making prepared remarks prior to taking questions. Steve Farris, will be lead off and he's our Chairman and Chief Executive Officer; followed by John Crum, our Co-Chief Operating Officer and President of North America; then Rod Eichler, our Co-Chief Operating Officer and President of International; and concluding was Roger Plank, our President. And with that, I'll turn the call over to Steve."
169838,98354084,50905,"Apache Corp., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","APA Corporation","Executives","Good afternoon, everyone, and thank you for joining us for Apache's 2009 Year End Results Earnings Call. 2009 was obviously a difficult year for the industry due to the sharp drop in commodity prices and a weakening economy. Going into the year, Apache de",998,"Good afternoon, everyone, and thank you for joining us for Apache's 2009 Year End Results Earnings Call. 2009 was obviously a difficult year for the industry due to the sharp drop in commodity prices and a weakening economy. Going into the year, Apache decided to reduce our investments to ensure that we live within our means without the need to tap the capital markets or dilute our portfolio. So we ended the year with drilling 53% fewer wells than we did a year before and investing 40% less capital. We have run cap activities somewhat towards the end of the year, but we really won't start seeing the benefits of that until in 2010.So in that context, we're very satisfied that the Apache's team, managed to increase production by 9% for 2009, and we came out of the year with more cash on our balance sheet than we had going into it. And we did this without diluting our shareholders ownership of our upstream portfolio.On the cost side, our cost management efforts during the year were successful, we managed to reduce lifting costs per boe by 20% during 2009. And overall, we had strong cash flow from operations after dismal first start. We generated over $5 billion and had adjusted earnings of about $1.9 billion. This performance is a testament to the strength of our team and the quality of our portfolio around the world. Every Apache employee is focused on maximizing value and growth on every property. This is easy to claim but very difficult to actually do. It involves an awful lot of geoscience and optimization work, but every location, recompletion, workovers, all add real value and real growth, and you'll see that in our 2009 performance.I'd also like to highlight that in 2009, we replaced 101% of our production, improved reserve terms from drilling and modest acquisitions despite drilling less than 50% of the wells we've drilled in the previous year, and our finding cost for all of Apache globally was about $16 per boe. And the way we really look at that number is internally it's about $13.86 per boe for all regions, excluding the Gulf Coast. And the reason is that be Gulf Coast has a very unique profile of high cost, high cash flow business. I'll try to give you a little more flavor to that. At the end of the year, we ran the full project life internal rate of return on our Gulf of Mexico crude reserves which came out to be almost 30% on a before tax basis. Now that number includes all cash flows from the time we entered the properties and the future cash flows at strict prices. It included $1.1 billion of net hurricane costs and it also included $1.5 billion of future capital costs. Doesn't give any credit for new reserves, we will continue to add on these properties. So in the aggregate, it means we generated an internal rate of return of almost 30% on a go forward tax basis on more $10 billion of capital. If you look at it on a net present value basis, excess of 10% to $17.4 billion, and that's why our Gulf of Mexico portfolio is a great source of value generation for our shareholders.We also took meaningful strategic steps in 2009, including our entry into the global LNG business by our participation on the Wheatstone project in Australia and also, becoming the operator of the potential Kitimat LNG export project in Canada. LNG provides decades of stable cash flow which represents a very interesting contribution to our portfolio of assets for the long-term. We have received many inquiries since we became operator of the Kitimat LNG project in January, and I think all I'll say at this stage, is that it's a very promising concept, we believe it could work, can be very impactful. But at this point, we're simply conducting a FEED study. We have a long way to go before Kitimat potentially becomes a real expert asset on the ground. That sums up everything I'd like to say about 2009 and it's 2010 that matters. So I'd like to outline what we're planning to do for the year and what it means to us.We've been a growth company for 55 years and we focus on long-term growth projects, balanced across our commodities and geographies. We don't follow the latest market fashion because we've found that they tend to change and we're better off to sticking to fundamental principles of profitability and balance and 2010 is going to be no different. We expect another year of production growth in 2010, our international regions continue to deliver a visible pipeline of growth projects and deep drilling inventories. In North America, the aggregate will have another stable year similar to 2009, while our new growth plays aggregate [ph] and will gather some momentum.Overall, we expect Apache's net production for 2010 to grow between 5% and 10% over 2009 and due to projects and activity scheduling, we anticipate the first quarter of 2010 will be slightly up over the fourth quarter of 2009, and then it will accelerate after the first quarter.As you'll hear from John and Rod, we are executing on a broad and a strong portfolio of plays across our global acreage, that will sustain our growth and returns for the long-term. The 662 net wells we're planning to drill this year will advance 32 development plays and 25 exploration plays across our portfolio. To give you a piece of data, the development drilling we do in 2010 alone, will contribute 100,000 barrels of oil equivalent, net to Apache by 2011. The basis for this balanced growth portfolio is simple. The right critical mass of highly perspective acreage around the world, much of which, it is held by production, a good organization with real value and delivery focus and a creative application of technology. With that, let me pass it to John who will discuss North America."
169838,98354084,50905,"Apache Corp., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","APA Corporation","Executives","Thank you, Steve. At the onset of 2009, Apache adopted a cautious approach in North American expenditures in order to allow time for cost to adjust downward, to levels reflecting the challenging commodity price environment. Overall, we cut 2009 investment",1581,"Thank you, Steve. At the onset of 2009, Apache adopted a cautious approach in North American expenditures in order to allow time for cost to adjust downward, to levels reflecting the challenging commodity price environment. Overall, we cut 2009 investment in North America by near 50% from the 2008 level. We're very proud of the fact that our regional teams were able to hold production essentially flat, down 1.3%, while drilling 61% fewer wells in 2009 than in 2008. While I won't suggest that it will be available every year, our large base of HBP properties provided our teams with many opportunities to optimize production from existing wells. This production level was also achieved without any meaningful contribution from new growth plays, such as Horn River in the Granite Wash, which we will be ramping up significantly in 2010 and beyond. You will note that fourth-quarter North American gas production was down 4.4% from the third quarter, that's mostly due to severe weather in Canada where we had widespread freeze up problems.Just a few of the more important 2009 highlights include the startup of Geauxpher in May, eight months later, the two well field is still producing 78 million a day gross, that's 31 million net to Apache. The Horn River activity ramp up, we drilled a total of 42 gross wells, but only completed four. The four wells were completed last summer and continue to produce in excess of 4 million cubic feet per day each, and they confirmed our reserves per well in excess of 10 Bcf for each well. We hold a 50% working interest in that activity with partner in Canada. The horizontal Granite Wash activity, our first operated Granite Wash well, the Hostetter 1-23H in Wheeler County, Texas came on production in late September and continues to produce at a gross rate of 9.5 million and cubic feet of gas per day was 600 barrels of liquids. Additional drilling continues confirming the potential of our interest, covering over 200,000 acreage across the play. And then finally, the acquisition of the marathon interest in the Permian Basin gives us some 200 quality infill development locations for oil in a core area. Moving on to 2010, as we look at 2010, we're going to increase our activity level across North America, the benefit of our very deep portfolio of acreage across the continent, which is primary HBP, is that we can adjust our focus any number of plays as the circumstances dictate. I will now outline our current 2010 North American operating plans.It should be noted and I think this applies across our international regions as well, that while these are our current plans, we will continue to be a nimble value-driven organization that will adjust our plans as necessary through the year to maximize value creation for our shareholders.In 2010, we plan to run an average 26 drilling rigs in North America, nine in the central region, seven in the Gulf Coast region, and five each in the Permian and Canada regions. We currently plan to drill 413 net wells in North America for this year, that will be up from 282 in 2009. Of this 2010 total, 381 will be development wells and 32 exploration wells. On the development side, we expect to run 22 rigs, the top drivers of these activities will be in the following four programs: First, our development in the Horn River Basin in northeast British Columbia jointly with our 50/50 partner in Canada. As mentioned earlier, we drilled 42 gross wells in the Horn River Basin in 2009, while only competing four. With our pad style developments, we are significantly more efficient if we drill all of the wells on a pad before we start completion operations. The 2009 completed wells were the result of the last four wells on the EnCana operated 70-J pad. EnCana drilled an additional 11 wells on their 76-K pad and another five wells on their 63-K pad by the end of the year. Meanwhile, Apache drilled 16 wells on our 70-K pad, and addition seven wells on the 52-L pad during the year. We began completion operations on the Apache operated 70-K pad of 16 wells in January.We are now approximate 1/3 of the way through our frac stimulation program, with more than 90 fractures complete. We expect to get another two pads done with 25 to 28 gross wells completed before the end of the year. So in all, we would expect to have 42 to 44 additional wells on production by the end of 2010.There is a little play in the timing as we continue to experiment with a number and sizes of fracs per well to optimize future development. Our efficiency continue to improve through the program, and we have completed as many as four fracs in a 24 hour period on several occasions. As our drilling activity continues, we expect to leave 2010 with more than 30 wells drilled and ready for completion in 2011. We are targeting a 2010 exit rate of more than 100 million cubic feet of gas per day, net from the Horn River, but most of those volumes will be coming on in the second half of 2010.As Steve mentioned, during 2010, we expect to conduct a FEED study for an LNG plant operated by Apache on the West Coast of Canada at Kitimat, British Columbia. This facility, if we decide to proceed with it, could allow export of significant gas volumes from the Horn River Basin, as well as other Apache plays in North America. Second, our continued development program in the Gulf of Mexico shelf. We currently plan to run an average of four rigs through the year on development plays, and drill 29 development wells here, up from 17 last year. Our activity in the Gulf this year is off to an excellent start with positive result on all eight wells drilled so far.For a perspective, the developments associated with those successes alone, will generate a net present value of over $120 million, with a 67% after-tax rate of return on some $95 million of expected capital invested. Third, our horizontal Granite Wash development program is expected to involve an average of five rigs during 2010, we have 29 gross wells, that's 17 net in our 2010 plan, up from seven net wells last year. With our success to date, we're already planning to increase activity to 25 net wells for 2010 and we're targeting at year end, net production rate of 75 million cubic feet of gas per day from the Granite Wash.And then finally, our oil focused Permian development drilling program will involve an average of five rigs for the year and 171 net wells, almost double the 87 net wells we drilled in 2009. The remainder of our development activity in North America will involve an average of eight rigs for the year, and 126 net wells across 12 programs ranging from East Texas, tight sand plays to oil targeted plays in Canada, Oklahoma and Kansas. Our activity levels in these 12 other programs will be somewhat reduced from the 133 net wells in 2009. These being primarily conventional plays, as we concentrate this year on the development of those top four programs I just outlined.To give you a sense of the materiality of the 2010 development program, we expected to provide a net contribution of 52,000 barrels per day in 2011, the first full year of production, with 83% of that volume coming from the top four programs.On the exploration front, we will be significantly increasing our North American exploration activity in 2010. We plan to run an average of seven drilling rigs on this activity during the year and drill 32 net wells, up from 12 in 2009. We will pursue eight different exploration programs representing a balanced range of continuing trend expiration in the Gulf of Mexico, to new place involving horizontal drilling in a number of offshore locations across the continent. We're not in a position to talk about most of these for now, due to commercial sensitivity. One development we can not is in Eastern Canada, where we have completed the transaction with Corridor Resources, under which Apache will fund the testing of potentially large unconventional resources in New Brunswick, close to the East Coast population, centers in Canada and in the U.S. We will drill and operate at least two wells in that play during 2010.We have good reason to believe that the exploration programs we're advancing in 2010, will have the resource scale equivalent to or greater than the plays we are now moving into development in the Horn River and Granite Wash. On an organizational front, as a final note, In North America, we have created a new regional unit for the Permian Basin. The Permian Basin has been part of our Tulsa based central region over the number of years. We are one of the largest producers in the Permian Basin, the new regional organization will be based in Midland, Texas. We put these two regions together in 2002, but due to our growth over the years, that combined capital programs increase tenfold by the day. We think separating them will continue the growth in both regions.You will see the performance of these two regions reported separately starting in the first quarter of 2010. And with that, I'd like to turn it over to Rod, who will discuss our international activity."
169838,98354084,50905,"Apache Corp., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","APA Corporation","Executives","I thank you, John. Apache's international regions reported excellent results in 2009, highlighted by outstanding exploration and development activity and by seeking out and entering into new markets to sell future production of natural gas in Australia an",1566,"I thank you, John. Apache's international regions reported excellent results in 2009, highlighted by outstanding exploration and development activity and by seeking out and entering into new markets to sell future production of natural gas in Australia and Argentina at more attractive prices. Production in our international regions grew by 21% in 2009, to a yearly average 300,000 barrels of oil equivalent per day, driven by drilling successes in significant increases in Egyptian oil and gas production, as well as significant increases in Australia gas production. Our Egypt region had another outstanding year. Net production averaged 152,600 barrels Of oil equivalent per day, an increase of 38% over 2008. For the year, Apache drilled 164 wells in the Western Desert, including 23 wildcats. Once again, making Apache the most active and successful operator. Fourth quarter drilling successes in the AEB at Phiops, and West Kalabsha 2-X and the Faghur Basin along with successful completions in the Matruh Concession and the Jay Field at Falcon help drive gross production to record high 316,000 barrels of oil equivalent a day at year end.Apache's Australian region production in 2009 increased 40% to 40,400 barrels of oil equivalent per day, driven by the restoration of Varanus Island facilities. Apache took a large step forward in 2009, towards securing new to markets for its Australian natural gas, by agreeing to produce our estimated 2.1 Tcf of natural gas reserves in our Julimar discovery to the Wheatstone LNG facility operated by Chevron. We expect to complete the FEED study and make final investment decision in 2011. First production is scheduled for 2015.North Sea production averaged 61,400 barrels of oil per day in 2009, an increased of 2.5% over 2008 levels, due to increased production from several wells drilled in early 2009 and higher production efficiency for most of the year. During the fourth quarter, we experienced reduced production at Forties Field, due to pipeline and riser repairs on Bravo platform which have since been completed. Our North Sea region actually has a second consecutive year of production growth. This is a remarkable achievement in a 35-year-old oil field, the largest in the North Sea, which have seen declined for many years before Apache took over operations in 2003. We drilled 17 wells and added 9,200 barrels a day over the year. The Forties Charlie 6-3 wells completed in June has already recovered 1.3 million barrels of oil. In the Forties Alpha 4-5 well completed in January is still flowing water free at nearly 5,000 barrels of oil per day, and has reached cumulative production of 1.7 million barrels of oil. In Argentina, we drilled 32 wells with a 97% success rate. Net production for 2009 averaged 45,500 barrels of oil equivalent per day, which was 5% below 2008, due to a reduction in capital spending in 2009 and lower seasonal takes by customers in the fourth quarter. However, there were two important advance for Apache that occurred in Argentina in 2009. First, we successfully extended the life of all of our concessions in Neuquen Basin from 2017 to 2027. Secondly, we see the approval for four Gas Plus projects, which will allow Apache to sell significant quantities of natural gas, at higher prices in the future.Looking at 2010, we are forecasting a very active development and expiration programs across our international regions. We expect the to run an average of 28 drilling rigs in our core areas over the year. We plan to drill 299 gross or 249 net wells, which is up from 248 gross or 213 net wells in 2009. Of these 299 gross wells in 2010, 223, or 188 net, will be development and 76 gross wells, or 61 net wells, will be exploratory. In the developed area, I'd like to highlight four major program driving our drilling activity in 2010. Firstly, we'll continue the four field with element water flood programs in Egypt at the Heba and Asala Ridge fields and East NEAG, which will involve six rigs and 111 wells of which 55 are producing wells. We've currently produced about 70,000 barrels a day gross from our secondary recovery projects in Egypt. Secondly, we'll continue our Cretaceous and Jurassic oil and rich gas development projects at our Greater Khanda area in Egypt, employing six rigs fuel 33 wells. Thirdly, our Forties oil field development program in North Sea will employ two platform rigs and a jack up to drill 15 new wells. Among the new developments is our mall discovery from the fourth quarter of 2009, which we are progressing to achieve first production of 5000 barrels of oil per day by midyear. Lastly, our Gas Plus development programs in Argentina will average three rigs, drilling 21 wells in 2010. Gas plus developments will be our drilling focus in Neuquen Basin, as this will benefit from sales prices of $4.10 per million BTU on 10 million a day contracts for 2010 and $5 per million Btu on 50 million a day contracts beginning in 2011. Additionally, we are presently progressing the three new Gas Plus contracts for approval.I should note that the first three of these four largest development programs are all target oil. The remaining 43 development wells are spread over six different programs across our core areas and are also focused primarily on oil. We expect this development drilling program for the year to grow to contribute around 50,000 barrels of oil per day of new net production by its first full year of contribution in 2011.During 2010, we'll continue to progress other material projects in our longer-term growth pipeline. Projects that have resulted from exploration discoveries in the prior years. The first of these will be production for our Van Gogh and Pyrenees projects in Australia which are expected to contribute 40,000 barrels a day of net new oil production. As we reported earlier this week, Van Gogh has already started production. These volumes are incremental to the contribution from our development drilling program that I just outlined.Ongoing projects in Australia include the Reindeer, Halyard, Macedon and Julimar gas developments and the Coniston oil development. In Egypt, expansion of our oil gathering and transportation facilities as a result of our 2009 Faghur Basin discoveries at Phiops and West Kalabsha, will be complete by the fourth quarter. The capacity of these new facilities will allow to ramp up a production from the current gross 9,000 barrels of oil per day to 40,000 barrels per day of gross production. Additionally, construction of the fifth gas processing train in our Salam gas plant is expected to commence by year end.With this very active development and production infrastructure program, we expect 2010 to be another year of robust production growth for Apache's international regions. And the many ongoing projects represent significant sources of new production that will come on stream between 2011 and 2015.In international exploration, we expect to run an average of 10 rigs during 2010 and expect to drill 76 gross and 61 net wells. 39 of these wells will be in Egypt where we will benefit from a decade-long consistent new field discovery rate, that allows us to bring on production very quickly due to our wide operational reach across the Western Desert. In 2010, we are focusing our exploration drilling on the oil and rich gas condensate prospects of the AEB and Jurassic formations, in our concessions covering four western desert areas. The Faghur Basin, including the Phiops neath areas, the Matruh's rupture trend, the Abu Gharadig Basin and the Beni Suef Basin. Additionally, we are setting up future exploration drilling programs with the planned acquisition of 3,000 energy square kilometers of new 3D seismic, in five surveys covering 10 of our concessions, a 70% increase to our 3D acquisition to our 2009. Our proprietary 3D coverage of the western desert now exceed 30,000 square kilometers.In Australia, we expect to drill 19 exploration wells focusing on our significant offshore acreage holdings in the Carnarvon Basin of the Northwest Shelf. The program will be principally focused on new prospects with Julimar field trend, in support of our Wheatstone LNG project participation and the Varanus Island, Halyard, Harriet and Macedon areas in support of our domestic gas supply projects. Additionally, we expect to acquire 1,400 square kilometer of 3D seismic and five surveys, including a benchmark 4D survey in the Coniston Van Gogh field areas.In Argentina, while we did not drill any exploration wells last year, as we focused on building what is a very interesting portfolio of diverse plays across the country, our 10 well exploration drilling program this year will target impacted prospects for Pre-Cuyo, Cuyo and Springhill reservoirs in each of the Neuquen, Cuyo and Australia basins.In the North Sea, we will resume exploration drilling near the Forties Field complex with three wells, after two years of primary focus on development drilling. To summarize our international exploration program for 2010, we'll be conducting an impactive exploration drilling program across our core areas, that will target an aggregate of nearly 290 million barrels of oil equivalent of risk mean net reserves. We will acquire 5,500 square kilometers of proprietary 3D seismic and support a future exploration and development activities, and we will progress key infrastructure projects in Egypt, Australia and the North Sea, to provide continued production growth in 2010 and future years. And with that, I'd like to pass it over to Roger."
169838,98354084,50905,"Apache Corp., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","APA Corporation","Executives","Thank you, Rod. And Good afternoon, everyone. What a year, a tale of two cycles. Financial Armageddon followed by a recovery that surprised virtually everyone in the spring. What started out as a downright scary year ended with $1.9 billion of adjusted ea",981,"Thank you, Rod. And Good afternoon, everyone. What a year, a tale of two cycles. Financial Armageddon followed by a recovery that surprised virtually everyone in the spring. What started out as a downright scary year ended with $1.9 billion of adjusted earnings or $5.59 a share for the year. First quarter adjusted earnings more than doubled to $664 million or $1.96 per share from the fourth quarter of '08. And there were the strongest earnings of the year, who would've thought it?Cash from operations were just shy of $5 billion for the year and over $1.4 billion for the quarter. Compared to our initial plan, the year's cash flow was 36% or $1.3 billion higher, enabling us to increase drilling capital by $350 million and acquire $300 million of properties while still living within cash flow. Our 9% production growth despite 40% less capital speaks to the benefit of our long-term approach. Clearly this growth could not have been achieved if not for first production from a number of significant long-term development projects.Exploration success continues to add to our pipeline of development projects, providing growth visibility that can really move the needle once brought online. Despite higher production and substantially reduced capital, Apache added 216 million barrels of oil equivalent through drilling and acquisitions, outpacing production of 213 million barrels of oil equivalent, at a cost of $3.5 billion. These additions were added at $16 per barrel of oil equivalent, and were quite economic at some 40% of our additions were oil. At $70 a barrel, oil sells at 14x the price of gas, leaving plenty of profit margin.This growing disparity between the value of oil and gas underscores Apache's advantageous product mix. Oil and NGLs comprise half of our production, but 72% of our 2009 revenue. We talk a lot about our balanced production mix, but I think it's often a lost just how valuable oil really is to us. Our 50/50 production mix generated last year, $8.6 billion in revenue. To get the same revenue, if we were all gas, we would have had to produce 2.3 Tcf, or twice what we actually produced. The point is, our oil production is incredibly valuable to us.Our international gas also held up quite well because it's not tied to volatile North American spot prices. In fact, while North American realizations declined by half in '09, our international gas price dropped less than 20%, coupled with 25% production growth, our international gas revenue actually climbed 5% to $770 million. Prospects are excellent for our international gas revenue to continue to grow, as once stranded gas, rises towards world prices.With international contributing 51% of our total production, Apache's the leading independent international producer in our peer group, and we think that gives us the competitive advantage, both in terms of finding more oil in the future and benefiting from rising international gas prices.Finally, in 2009, against our number one priority to live within cash flow, Apache ended the year with just over $2 billion of cash on the books, versus just under $2 billion in 2008. I would note that this was accomplished without having to issue equity, at or near the bottom of the market. That having been said, the real question is what's next? Now that the world economy is no longer dangling so close to the precipice of financial ruin, we're going to step it up a notch. We plan to increase the D&P capital by about half to $6 billion or $6.5 billion, which we figure roughly approximates to 2010 cash flow, assuming prices of around $700 per barrel, and $5 per Mcf. As usual, Apache will reassess our capital budget on a quarterly basis and adapt accordingly.Capital spending including for GTP facilities and P&A, is forecasted to be split evenly between North America and international. The significant increases in 2010 are in drilling, as activity ramps up to more typical levels. And in facilities, with our large projects progressing in Australia, Egypt, North Sea and Canada. The largest increases will occur in the U.S. after splitting our Central region and in Canada and Australia. You can find capital spending details by country on our website under the supplemental financial data section that Tom mentioned.Given our increased budget for 2010, we currently have hedged approximately 40% of our year end North American gas production. 225,000 MMBtu per day is hedged with swaps averaging around $5.80 and 84,000 MMBtu per day, it's hedged using collars with an average floors and ceilings of around $5.50 and $7. We've also hedged 100 gigajoules per day of our Canada gas production, with swaps at an average of around $5.35 in Canadian dollars in April.On the oil side, we haven't been quite as aggressive, we've hedged just over 10% of our worldwide liquids, or an average of 35,000 barrels per day for 2010, approximately 80% represents collars with average floors and ceilings of approximating $65 and $81 and a barrel. The balance is swapped at an average price of just under $69 a barrel.We're also actively screening acquisition opportunities, and while we we're not in hot pursuit at the moment, it is apparent that our industry's acquisition pipeline is fine. In addition to our $2 billion of cash, $2.3 billion of ongoing credit lines leave us the combined $4.3 billion of firepower, this in the low 24% debt to cap provides considerable flexibility to act on either incremental drilling, or acquisitions should attractive opportunities materialize.With respect to cost, we currently forecast slightly higher cash costs including taxes other than income but I would tell you, our goal is to get them flat with 2009 average of around $11 and a quarter for boe. With a strong financial position, solid oil prices, international gas prices turning higher, and projected production growth of 5% to 10%, the current outlook for 2010 is quite favorable. Steve?"
169838,98354084,50905,"Apache Corp., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","APA Corporation","Executives","Thank you, Roger. I'd like to close by summarizing what I think is the three main messages of all the information that all the gentlemen have shared today. The first is, 2009 was a good year for Apache. We had strong growth and a challenging environment w",195,"Thank you, Roger. I'd like to close by summarizing what I think is the three main messages of all the information that all the gentlemen have shared today. The first is, 2009 was a good year for Apache. We had strong growth and a challenging environment with restricted capital and well capped. We really owe this to the performance and hard work of our team and their focus on generating growth and value.The second message Roger just mentioned is, we expect to have 5% or 10% net production growth in 2010. And I might add in addition, our development drilling program will deliver 100,000 of barrels of oil equivalent per day by the first full year of it's contribution in 2011. And third, we built a well-balanced global portfolio of growth areas for the long-term. The diversity of our 2010 operating plans outlined by John and Rod, I think reflect that. So 2010 is going to be a very busy year for Apache. And with the organization and opportunities set, there's much more in front of us in the years ahead. So before we go back to work, we'd be ready to take your questions."
169838,98354084,50905,"Apache Corp., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","APA Corporation","Operator","[Operator Instructions] We'll take our first question from Bob Morris of Citi.",12,"[Operator Instructions] We'll take our first question from Bob Morris of Citi."
169838,98354084,50905,"Apache Corp., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","APA Corporation","Analysts","John, I had a question looking at -- your finding and development cost and reserve replacement by region. And what's interesting is Canada, was by far, the best region in terms of both reserve replacement and finding cost even after revisions, and that's",78,"John, I had a question looking at -- your finding and development cost and reserve replacement by region. And what's interesting is Canada, was by far, the best region in terms of both reserve replacement and finding cost even after revisions, and that's been a challenging region for other companies out there. With the strong extension in discoveries that you booked in Canada, the results of a lot of PUDs being booked at Horn River, what drove that?"
169838,98354084,50905,"Apache Corp., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","APA Corporation","Executives","I might open it up. Horn River is a big play. We had some PUD drilling locations that we drilled this year, and basically we have one year of drilling, a PUD drilling program for 2010 part of that. But we really didn't change the way we looked at our busi",64,"I might open it up. Horn River is a big play. We had some PUD drilling locations that we drilled this year, and basically we have one year of drilling, a PUD drilling program for 2010 part of that. But we really didn't change the way we looked at our business. If you look at our overall portfolio, our PUDs are up 3% year-over-year."
