"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
399117,84158577,47527,"CONSOL Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","CNX Resources Corporation","Operator","Ladies and gentlemen, thank you for standing by. Welcome to the CONSOL Energy and CNX Gas Fourth Quarter 2009 Results Conference Call. I'd now like to turn the conference over to Vice President of Investor Relations, Mr. Dan Zajdel. Please go ahead.",42,"Ladies and gentlemen, thank you for standing by. Welcome to the CONSOL Energy and CNX Gas Fourth Quarter 2009 Results Conference Call. I'd now like to turn the conference over to Vice President of Investor Relations, Mr. Dan Zajdel. Please go ahead."
399117,84158577,47527,"CONSOL Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","CNX Resources Corporation","Executives","Thank you, Stacey and good morning, everyone and welcome to our Joint Earnings Call with CONSOL Energy and CNX Gas. With me this morning is Brett Harvey, Chief Executive Officer of CONSOL Energy and Chairman and CEO of CNX Gas. Also with us today is Bill",250,"Thank you, Stacey and good morning, everyone and welcome to our Joint Earnings Call with CONSOL Energy and CNX Gas. With me this morning is Brett Harvey, Chief Executive Officer of CONSOL Energy and Chairman and CEO of CNX Gas. Also with us today is Bill Lyons, Executive Vice President and Chief Financial Officer for both companies. This morning, we will be discussing fourth quarter and annual results for both companies. In addition, we will be discussing our outlook for 2010. Any forward-looking statements we may express for our expectations or results as you know are subject to business risks and we have enumerated those risks in both earnings releases issued this morning in our SEC 10-K filings. In addition, the U.S. Securities and Exchange Commission permits oil and gas companies in their filings with the SEC to disclose any proved or unproved reserves that the company has demonstrated by actual production or conclusive formation test, to be economically and legally producible under existing economic and operating conditions. We may use certain terms in this Conference Call such as net unrisked resources which SEC guidelines strictly prohibit us from filing with our filings with the SEC. We also caution you that the SEC views such net unrisked resource estimates as inherently unreliable, and that these estimates may be misleading to investors unless the investor is an expert in the gas industry. With that, let me begin the remarks and then take questions. We will start today with Bill Lyons. Bill?"
399117,84158577,47527,"CONSOL Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","CNX Resources Corporation","Executives","Thank you, Dan and thank you everyone for joining us this morning for the joint CONSOL Energy and CNX Gas earnings conference call. CONSOL Energy is reporting net income of $143 million or $0.78 per diluted share for the fourth quarter of 2009. This is ab",1465,"Thank you, Dan and thank you everyone for joining us this morning for the joint CONSOL Energy and CNX Gas earnings conference call. CONSOL Energy is reporting net income of $143 million or $0.78 per diluted share for the fourth quarter of 2009. This is about equal to the fourth quarter earnings of 2008, after adjusting for the special income item related to the recovery of black lung excise tax. For the full year 2009, CONSOL energy is reporting net income of $540 million or $2.95 per share. This is almost $100 million higher than the net income for the year 2008, which was $442 million or $2.40 per share. This is the second year in a row that CONSOL Energy has set an earnings record.Net cash provided from operating activities is $216 million, compared with $346 million in the fourth quarter of last year. For the year, net cash provided from operating activities was $945 million, compared with $1.029 billion in 2008. EBITDA for 2009 was $1.224 billion, that's up $149 million from the $1.075 billion in 2008. The numbers speak for themselves. CONSOL Energy has established itself as a company that generates strong earnings and cash flows by utilizing a sustainable model that provides financial and operational flexibility. This flexibility enables us to react and adapt to changing economic environments and markets, while continuing to prudently invest in our businesses. The quarter and the year again demonstrated the financial power of being a low-cost diversified energy company. Let me go into the quarter, the year and the coming year in more detail. Our Met[Metallurgical] Coal business, we sold 1 million tons in the fourth quarter at an average price about $108 per ton. With costs at $40.48 per ton, we had all in margin of almost $68. I hope everyone had a chance to read our press release this morning announcing that we have sold five more vessels of high-vol coking coal, sourced from Bailey and Blacksville mines, and destined for integrated steel mills in China. The sales were made by Xcoal,, and as the continual result of our Asian marketing initiative that we announced last month. The sales from these five vessels total approximately 410,000 short tons. Combined with our earlier vessel to China that of 82,000 short tons, we have already sold a half a million tons of Northern Appalachian coal into the Asian met market in 2010.Our coal terminal in Baltimore provides us with dedicated capacity at 12 million tons per year for export to these high-value markets. We also have the ability to expand capacity of Baltimore by 6 million to 8 million tons, if markets warrant this expansion.Brett will talk more about the met markets and our met capabilities in a few minutes. On the thermal or steam coal side, we sold 14.5 million tons in the fourth quarter at an average price of $54 per ton. That was up 17% from last year's quarters average realized price per ton. Cost per ton of thermal coal in the quarter was just over $44, up about $5 from last year. The majority of this increase can be attributed to our decision to reduce production to help the market stay in equilibrium.Thermal coal financial margins for the fourth quarter, were $9.94 per ton or 32% higher than the $7.52 financial margin for the prior year's quarter. While many of our thermal coal contracts were priced in 2008 when the thermal coal market was tight, we believe that a substantial portion of this pricing reflect the continued scrubber build out. Increasingly, our thermal coal is being prized for its high heat content, its location and its stability of supply.You may have seen that last week, we restarted our Shoemaker mine after a $205 million multiyear refurbishment. This mine now joins our premier fleet of efficient low-cost Northern Appalachia longwall mines. The Shoemaker mine will have a production capability of approximately 5 million tons per year. Operationally, our mines continue to do well. Our longwall development is in great shape and we can ramp up some additional production, should the market warrant this effort. 2009 is the most profitable year we have ever had in our coal segment. As I've mentioned on previous earnings calls, margin expansion is the key driver in our step change in profitability. Our gas segment, CNX Gas of which we own 83.3% had another outstanding quarter. Production increased 13% quarter-over-quarter, to a record 25.1 Bcf. This record production was driven by better than anticipated results in our Virginia coalbed methane and our Marcellus Shale operations. In the fourth quarter of 2009, overall cost of CNX Gas operations were $3.47 per Mcf or $0.13 better than they were in the fourth quarter of 2008. However, the record production volumes and lower costs were not enough to overcome the depressed stock prices for natural gas.Even though we had 15.3 Bcf of our gas production hedged at $7.90 per Mcf in the quarter, our average realization per Mcf was $6.47, a reduction of 23% from last year's fourth quarter. Net income at CNX Gas was $41.1 million or $0.27 per diluted share for the fourth quarter, and this is down about 30% compared with the net income in the fourth quarter of 2008.The decrease in net income is solely the result of lower spot prices. For the year 2009, CNX Gas net income was $164.5 million or $1.09 per share and that's down $74.6 million from 2008. Annual production was 94.4 Bcf, a record and was up 23% from 2008.We continue to be excited about our Marcellus Shale opportunities. We increased our footprint by 20,000 acres in the quarter to 250,000 acres. 2/3 of these acres are considered to be Tier 1 acres. We are actively seeking additional acreage primarily in Southwestern Pennsylvania and Northern West Virginia where we have synergies with our other operations. Earlier this week, we issued our year-end gas reserve numbers. During 2009, CNX Gas increased its reserves by 34% to 1.9 trillion cubic feet. We achieved a drill bit finding cost of $0.39 per Mcf and replaced over 400% of our 2009 production in a falling price environment.Our financial position allows us to continue to prudently invest in our businesses, even in difficult economic times. In 2009, we invested almost $1 billion in CapEx, about the same amount we invested in 2008. We expect to invest a similar amount in 2010. And the 2010 numbers we've broken out about $500 million in coal, $400 million in gas and $100 million on other activities. The investments in coal operations are primarily in the efficiency area to maintain our position as a low-cost producer. The investments and the gap company are focused on growth with emphasis on expanding our Marcellus Shale acreage position, increasing drilling and increasing production. CNX Gas required approximately 19,000 acres of CBM leases and 63,700 acres of Marcellus Shale leases in 2009. In the Marcellus Shale area, our goal is to increase our position from 250,000 acres to 400,000 acres. We are ramping up drilling in the Marcellus Shale and plan to add a second rig in March. The new rig will be a flex rig, that will enable us to drill multiple wells on a single pad more efficiently. We have an option to add a third rig if the market dictates. We plan to drill 24 horizontal Marcellus Shale wells in 2010. We also will be drilling 175 Virginia CBM Wells and 25 horizontal wells in the Chattanooga Shale.As I've said, we're very excited about the potential of our Marcellus Shale assets. Next week, the first Marcellus Shale well that we drilled which was in October 2008, will have produced 1 billion cubic feet of gas. Now let me return to CONSOL Energy's overall financial position. Our balance sheet remains strong and we continue to have excellent liquidity. At December 31, 2009, CONSOL Energy and that's including CNX Gas had over $600 million in total liquidity available for immediate use at interest rates that are well below market. We remain steadfast in our confidence in our business model. Our balance sheet and our status as a safe low-cost producer, enables us to effectively compete and produce excellent earnings and cash flows even during times of economic turmoil. Among our met coal reserves and our thermal coal reserves and our gas reserves in Appalachia, CONSOL Energy controls the greatest concentration of Btus in the eastern United States. For almost 15 decades and through many business cycles, CONSOL Energy has remained committed for optimizing long-term shareholder value by putting safety first, by being respectful to the environment and the communities in which we operate and providing meaningful employment opportunities. We remain committed to these values.Brett, your comments on the quarter and the year?"
399117,84158577,47527,"CONSOL Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","CNX Resources Corporation","Executives","Thank you, Bill and welcome to everybody on this call. I'd like to talk about where I see the future and especially in the short-term. We'll talk somewhat about the long-term on both coal and gas. First thing I want to talk about is our initiative on safe",1353,"Thank you, Bill and welcome to everybody on this call. I'd like to talk about where I see the future and especially in the short-term. We'll talk somewhat about the long-term on both coal and gas. First thing I want to talk about is our initiative on safety. We have a safety program that we're trying to drive the company to zero accidents across the company. Zero is achievable, our gas company stays at zero in terms of their reporting and doing a very good job especially with all our expansion. And the coal company, I can say, the coal side is the best year we ever had in terms of safety. So we believe it's achievable. I think we'll see in our future a year where we're zero on all of our operations and we're looking forward to that.On CONSOL Energy in total, I want to talk about the cycles of energy between coal and gas. If you go back to 2008, because gas prices were up, a big contributor was gas as it grew on volume as well as price. It was a higher percentage of earnings in 2008 than coal was. We saw that reverse in 2009, and a higher percentage of coal added value to CONSOL Energy as gas prices dropped even though we added volume. In both cases, if you look at our ability to weather any environment and energy on two different cycles creates real value for our shareholders not only in the gas company, but in total and CONSOL Energy with its ownership of gas. These two cycles create record earnings as we run through the cycles. Our shareholders should be aware of that and understand that the growth of the gas company is directly related to the footprint of the coal company and the combination of those two create real value for our shareholders over time.I'm going to talk specifically about gas now. As Bill said, record year in production. 23% growth. Proven reserves were up 34%. Since we became public in the gas company in 2005, we have doubled our annual production. We have almost doubled our proven reserves. The interesting thing is we plan to do that again in the next five years. And our intention are to keep growing this company because it's a low-cost producer in any marketplace, and we'll always have the advantage on margins. We are the fastest growing company, I think of the United States in terms of gas but in Appalachia for sure, of major companies. We believe we could continue to do this and what another very interesting part of that, it's being done with its own cash flow. We're not borrowing money to grow it, so it's a very powerful position. I would say, when you look at the gas company, its future has never been brighter, it has a real strong position on Marcellus Shale, it has an annuity type project in Virginia, it continues growing both places and we see real value in both of those spots, and real potential to grow on the Marcellus Shale based on our fee footprint. We didn't borrow money to get this footprint. We have it in our company. Let's talk about those markets.We see storage on the gas side at about -- it's approaching a five-year average storage and we think that, that's a good place for gas at this point in time. We see switching from coal to gas at about 450 million, and when it touches that between 450 million and 500 million, we'll see switching between coal and gas on generation.We're very excited about the future of the gas company and where it's headed. Now let's talk about coal. Coal is very interesting at this point in time as well. Keep in mind we have the highest concentration of low-cost high-Btu coal anywhere in the United States. Now, what we're finding is that, that concentration on capital spend on that coal, especially in the Pittsburgh 8 [#8] seam is showing two different marketplace strengths. One is the traditional steam market, of which we've always been very powerful and high margin, and low cost driven. But if you go back in time, the same seem of coal is what made the steel business powerful in Pittsburgh itself. Steel came to Pittsburgh because of coal and water. This same coal is the coal we mine typically for steam, but has metallurgical characteristics that the world is now demanding. That's why you see us moving this coal into a marketplace when the value of the dollar is right, the transportation's right and the demand for this type of product lines up together. So it's important that you understand we're already capitalized to move into these marketplaces between steam and coal, especially with the investment that we have in our own facilities in Baltimore, to move the coal offshore when the time is right. We are a low-cost producer in this product and it creates real value for shareholders and margin expansion, as we move between these two different products.Now, let's not forget about Buchanan. Buchanan is the lowest cost, highest-quality low-vol coal in Appalachia, and so margin expansion there is rather easy as we see prices rising there. That is the solid mine, it's well capitalized, we've done a lot of work to make it more consistent over time and we see rising markets on that very high quality product itself. The high-vol coking coal that we call coming out of the Pittsburgh seam, we think that will range right now, the price is ranging between $70 and $85 a ton depending on the quality from mine-to-mine. What we see at Buchanan right now, we have 2.7 million tons to reprice. For 2010, we see it between $135 and $145 a ton if we sold that today. That's where we see the marketplace right now.Margin expansion is what drives us. If you saw what we did in 2009, even though we dropped volume, we were focused on optimum places, margin expansion and let me say something about the operations of the mines themselves. We pulled back and developed longwall panels, even though we didn't run longwalls, it put us in a great position for 2010. As the market's been unfolding, remember last time I talked about 2010 being a bridge for CONSOL to I think a brighter marketplace in 2011. We see that bridge shortening right now. These changes in the met market, as well as demand for electricity as it begins to rise, as well as cold weather that have drawn stockpiles down in our natural marketplace, puts us in a position where we think that prices on coal for steam will rebound quicker than what we originally anticipated. More like the second half of 2010, versus the first half of 2011.We are spending money in the mines. We're spending money on longwall expansions to keep our costs down in terms of -- we're making the phases wider. And when we finish those projects, we will reevaluate what projects we're going forward. I see the expansion of the Gas business as our number one priority, we see the capitalization of what is already in place on the coal side as a priority in terms of maintaining what we have and expanding margins in that area.So I'm very enthused about both pieces. I'm enthused about the steam side, the metallurgical side, the gas side, the Marcellus Play, and if you go right down into the -- on the gas side down into Virginia, where every hole we poke in the ground, we make a lot of money, that's also the base of our gas company and we're excited about that as well. So with all those pieces, I'm enthused about our ability to work our way through tough marketplaces, and I'm very impressed with this company's assets and the people's ability to adjust to the marketplaces as we see them shift. This is a very valuable company with great assets. And I would be glad to open this up for questions at this point in time."
399117,84158577,47527,"CONSOL Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","CNX Resources Corporation","Executives","Stacey, could you instruct the callers on how to queue up the questions and I would ask, if you're a member of the media, please hold your questions until after the call and I'll take you individually off-line. Stacey?",39,"Stacey, could you instruct the callers on how to queue up the questions and I would ask, if you're a member of the media, please hold your questions until after the call and I'll take you individually off-line. Stacey?"
399117,84158577,47527,"CONSOL Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","CNX Resources Corporation","Operator","[Operator Instructions] And our first question with Kuni Chen from Banc of America.",13,"[Operator Instructions] And our first question with Kuni Chen from Banc of America."
399117,84158577,47527,"CONSOL Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","CNX Resources Corporation","Analysts","On Buchanan. It looks like the overall met production was a little bit below a million tons in the quarter. Can you just talk about your ramp up process there as we go through 2010? When do you expect to be at a 5 million ton run rate?",48,"On Buchanan. It looks like the overall met production was a little bit below a million tons in the quarter. Can you just talk about your ramp up process there as we go through 2010? When do you expect to be at a 5 million ton run rate?"
399117,84158577,47527,"CONSOL Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","CNX Resources Corporation","Executives","We're at that run rate right now. Buchanan will run at that rate all year long, it's a 5 million ton rate.",23,"We're at that run rate right now. Buchanan will run at that rate all year long, it's a 5 million ton rate."
399117,84158577,47527,"CONSOL Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","CNX Resources Corporation","Analysts","As far as your market views with thermal being back into balance by the middle of the year, can you talk about your approach to 2011? Do you wait more until the second half of the year to commit more of those tons or do you see opportunities to sort of la",74,"As far as your market views with thermal being back into balance by the middle of the year, can you talk about your approach to 2011? Do you wait more until the second half of the year to commit more of those tons or do you see opportunities to sort of layer that in as we go through the first half of the year, if you can just talk about your thought process there?"
399117,84158577,47527,"CONSOL Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","CNX Resources Corporation","Executives","I think we'll layer it in softly. I think we'll be in the first half of the year and second half will be more intense. The close you could get to the next year, that negotiations get there. One of the big swings, is how much high-vol coal are we going to",133,"I think we'll layer it in softly. I think we'll be in the first half of the year and second half will be more intense. The close you could get to the next year, that negotiations get there. One of the big swings, is how much high-vol coal are we going to move away from the steam market. And that helps us in the negotiation process in terms of where we want to move this coal. It gives us the optionality. We can move as much as maybe at least 2 million more tons into the Asian market if we can get those sales done. So that creates a shift and we would rather be negotiating towards the second half of the year based on where we see high-vol coking coal go."
