"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
107405,84102172,48008,"DR Horton Inc., Q1 2010 Earnings Call, Feb-02-2010",2010-02-02,"Earnings Calls","D.R. Horton, Inc.","Operator","Good morning. My name is Courtney and I'll be your conference operator today. At this time, I would like to welcome everyone to the DR Horton America's Builder First Quarter 2010 Earnings Release Conference Call. [Operator Instructions] Mr. Don Tomnitz, y",45,"Good morning. My name is Courtney and I'll be your conference operator today. At this time, I would like to welcome everyone to the DR Horton America's Builder First Quarter 2010 Earnings Release Conference Call. [Operator Instructions] Mr. Don Tomnitz, you may begin your conference."
107405,84102172,48008,"DR Horton Inc., Q1 2010 Earnings Call, Feb-02-2010",2010-02-02,"Earnings Calls","D.R. Horton, Inc.","Executives","Thank you, Courtney. Thank you good morning. Joining me this morning are Bill Wheat, Executive Vice President and CFO; and Stacey Dwyer, Executive Vice President and Treasurer. Before we get started, Stacey?",32,"Thank you, Courtney. Thank you good morning. Joining me this morning are Bill Wheat, Executive Vice President and CFO; and Stacey Dwyer, Executive Vice President and Treasurer. Before we get started, Stacey?"
107405,84102172,48008,"DR Horton Inc., Q1 2010 Earnings Call, Feb-02-2010",2010-02-02,"Earnings Calls","D.R. Horton, Inc.","Executives","Some comments made on this call may constitute forward-looking statements as defined by the Private Securities Litigation Reform Act of 1995. Although DR Horton believes any such statements are based on reasonable assumptions, there is no assurance that a",112,"Some comments made on this call may constitute forward-looking statements as defined by the Private Securities Litigation Reform Act of 1995. Although DR Horton believes any such statements are based on reasonable assumptions, there is no assurance that actual outcomes will not be materially different. All forward-looking statements are based upon information available to DR Horton on the date of this conference call and DR Horton does not undertake any obligation to publicly update or revise any forward-looking statements. Additional information about issues that could lead to material changes in performance is contained in DR Horton's annual report on Form 10-K, which is filed with the Securities and Exchange Commission. Don?"
107405,84102172,48008,"DR Horton Inc., Q1 2010 Earnings Call, Feb-02-2010",2010-02-02,"Earnings Calls","D.R. Horton, Inc.","Executives","First, we want to thank all of our team DHI team members for generating our first profit since Q1, fiscal year '08. Congratulations to each of you. We have all pursued a long and arduous road characterized by downsizing, impairing, and consolidating to ad",117,"First, we want to thank all of our team DHI team members for generating our first profit since Q1, fiscal year '08. Congratulations to each of you. We have all pursued a long and arduous road characterized by downsizing, impairing, and consolidating to adjust to an ever-changing national, regional and local economic and housing environment. We have successfully negotiated the road together. This, coupled with your superior effort to secure new lot positions at attractive prices over the last year, places DHI in a preeminent position in our industry with a great opportunity to build on what we have started. It provides us the privilege of telling the public about your accomplishments in this conference call. Stacey?"
107405,84102172,48008,"DR Horton Inc., Q1 2010 Earnings Call, Feb-02-2010",2010-02-02,"Earnings Calls","D.R. Horton, Inc.","Executives","On a pretax basis, including impairments, we are excited to report a pretax profit of 42.8 million. Both our homebuilding and financial services segment were profitable. Our net income for the quarter was $192 million or $0.56 per diluted share, compared",276,"On a pretax basis, including impairments, we are excited to report a pretax profit of 42.8 million. Both our homebuilding and financial services segment were profitable. Our net income for the quarter was $192 million or $0.56 per diluted share, compared to a net loss of $62.6 million or $0.20 per share in the prior year quarter. Net income for the current quarter includes an income tax benefit of $149.2 million related to the recent change in the tax law for NOL carrybacks. Don?Let's be clear. Our goal this year is profitability in each and every quarter and for the entire fiscal year. Profitability in the second quarter will be challenging as we will not close as many homes in the second quarter as we did in the first quarter. We are entering the quarter with 4,136 homes in backlog and we will need to realize a backlog conversion ratio of greater than 100% to reach profitability. With the extension and expansion of the homebuyer tax credit and with our available housing inventory, a high backlog conversion rate is entirely achievable. But we do not expect to be as profitable as we were this quarter. In the third quarter, we expect strong closings since homes must close since June 30 for the extended tax credit. The third quarter will probably be our strongest quarter for profits this year. We expect our September quarter will be the most challenging, as the tax credit support for home sales would have expired. As we move past the selling season, we will be able to get a better read on core demand and we will adjust our business accordingly. Bill?"
107405,84102172,48008,"DR Horton Inc., Q1 2010 Earnings Call, Feb-02-2010",2010-02-02,"Earnings Calls","D.R. Horton, Inc.","Executives","Net sales orders for the first quarter were 4,037 homes, up 45% from same quarter in the prior year. Our average sales price on net sales orders in the quarter increased approximately 3%, both sequentially and from the year-ago quarter to $210,600. Our ca",125,"Net sales orders for the first quarter were 4,037 homes, up 45% from same quarter in the prior year. Our average sales price on net sales orders in the quarter increased approximately 3%, both sequentially and from the year-ago quarter to $210,600. Our cancellation rate was 26% in the quarter.Our sales backlog increased 3% from the prior year to 4,136 homes or $884 million. Our first-quarter home sales revenues increased to $1.1 billion or 5529 homes from $886 million or 4068 homes in the year-ago quarter. Closings were unusually strong for our December quarter, driven by the original November 30 expiration date of the homebuyer tax credit. Our average closing price for the quarter decreased approximately 8% from the year-ago quarter to $200,400. Stacey?"
107405,84102172,48008,"DR Horton Inc., Q1 2010 Earnings Call, Feb-02-2010",2010-02-02,"Earnings Calls","D.R. Horton, Inc.","Executives","Our gross profit margin on home sales revenue in the first quarter was 17.1%, up 160 basis points from our home sales margin in the year ago period and that 460 basis points sequentially from our September quarter. Approximately 300 basis points of the se",202,"Our gross profit margin on home sales revenue in the first quarter was 17.1%, up 160 basis points from our home sales margin in the year ago period and that 460 basis points sequentially from our September quarter. Approximately 300 basis points of the sequential increase was due to the average cost of our homes declining by more than our average selling prices, partially due to our success constructing enclosing homes on recently acquired finished lots in new community. 15% of the first quarter closings were from new deals that were contracted for in fiscal 2009. Margins on closings in our new projects are approximately 350 basis points higher than on the remainder of our closings. Approximately 110 basis points of the sequential increase in gross margins was due to the current quarter change in our warranty and litigation accruals as a percentage of home sales revenue. The final 50 basis points was due to a decrease in the amortization of capitalized interest and property taxes. The decreased amortization resulted from reductions in our interest and property taxes incurred and capitalized over the past year and we have a greater mix of homes closed on acquired finished lots this quarter. Bill?"
107405,84102172,48008,"DR Horton Inc., Q1 2010 Earnings Call, Feb-02-2010",2010-02-02,"Earnings Calls","D.R. Horton, Inc.","Executives","As we had indicated on our year-end call, we expect lower impairments in 2010, primarily based on a reduction in our watch list at September 30, 2009. In addition, this quarter, we saw an increase in our home sales gross margin to 17.1%, an increase in ou",293,"As we had indicated on our year-end call, we expect lower impairments in 2010, primarily based on a reduction in our watch list at September 30, 2009. In addition, this quarter, we saw an increase in our home sales gross margin to 17.1%, an increase in our average sales price on our net sales and good sales volume. These positive results were incorporated in our first quarter impairment analysis when we reviewed all projects in the company and determine the projects with a free impairment carrying value of $5.3 million were impaired. We recorded inventory impairments of $1.7 million as a charge to cost of sales. We refer to our projects which have indicators of potential impairment but we're not impaired as our watch list, which represents those projects deemed to be the highest risk for future impairments. Our watch list is currently $478.7 million, down from $542 million at September 30, 2009, and also down from $1.2 billion at June 30, 2009. The largest concentrations in our watch list are in California, Texas, Hawaii and Illinois. Also, during our first quarter, we had net recoveries of $500,000 of various money and free acquisition costs. If our margins and absorptions stay at current levels, we expect our impairments to be remain at a relatively low level in our second quarter. As we move past April 30, and the expiration of the tax credit, we will evaluate the impact on sales demand, sales prices and expected margins for sales written after April 30 and we will incorporate these market conditions in our inventory impairment process as necessary in the June and September quarters. We still expect our impairments in fiscal 2010 to be substantially lower than those we recorded in fiscal 2009. Don?"
107405,84102172,48008,"DR Horton Inc., Q1 2010 Earnings Call, Feb-02-2010",2010-02-02,"Earnings Calls","D.R. Horton, Inc.","Executives","Our consistent focus on SG&A was a key to our return to profitability. We have leveraged our SG&A structure to focus on opportunities in our existing markets and division operations. Home-building SG&A expense for the quarter, which includes all corporate",96,"Our consistent focus on SG&A was a key to our return to profitability. We have leveraged our SG&A structure to focus on opportunities in our existing markets and division operations. Home-building SG&A expense for the quarter, which includes all corporate overhead, in other words a fully loaded number, was $128.4 million, or 11.6% of homebuilding revenues, compared to 14.1% in the year-ago quarter. SG&A increased only $1.4 million or 1% on a 36% increase in homes closed. We will continue to actively manage our SG&A levels relative to our expected number of home closings. Bill?"
107405,84102172,48008,"DR Horton Inc., Q1 2010 Earnings Call, Feb-02-2010",2010-02-02,"Earnings Calls","D.R. Horton, Inc.","Executives","We recorded $26.9 million in home-building interest expense during the quarter. We are required to expense a portion of our interest incurred as interest expense, while our home building debt level continues to exceed our active inventory. Financial Servi",110,"We recorded $26.9 million in home-building interest expense during the quarter. We are required to expense a portion of our interest incurred as interest expense, while our home building debt level continues to exceed our active inventory. Financial Services pretax income for the quarter was $6.7 million, compared to a pretax loss of $2.9 million in the year-ago quarter. 90% of our mortgage company's business was captive during the quarter. Our company-wide capture rate was approximately 61%, our average FICO score was 7/02 and our average combined loan-to-value was 93%. Our product mix in the quarter was essentially 100% agency-eligible, with government loans accounting for 63% of our volumes. Stacey?"
