"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Operator","Good morning, and welcome to the Fourth Quarter 2009 Dover Corp. Earnings Conference Call. With us today are Bob Livingston, President and Chief Executive Officer of Dover Corp.; Brad Cerepak, Vice President and CFO of Dover Corp.; and Paul Goldberg, Trea",70,"Good morning, and welcome to the Fourth Quarter 2009 Dover Corp. Earnings Conference Call. With us today are Bob Livingston, President and Chief Executive Officer of Dover Corp.; Brad Cerepak, Vice President and CFO of Dover Corp.; and Paul Goldberg, Treasurer and Director of Investor Relations of Dover Corp. [Operator Instructions] I would now like to turn the call over to Mr. Paul Goldberg. Mr. Goldberg, please go ahead, sir."
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Executives","Thank you, Wes. Good morning, and welcome to Dover's Fourth Quarter Earnings Call. With me today are Bob Livingston, Dover's President and CEO; and Brad Cerepak, our CFO. Today's call will begin with some comments from Bob and Brad on Dover's fourth quart",263,"Thank you, Wes. Good morning, and welcome to Dover's Fourth Quarter Earnings Call. With me today are Bob Livingston, Dover's President and CEO; and Brad Cerepak, our CFO. Today's call will begin with some comments from Bob and Brad on Dover's fourth quarter and full year operating and financial performance and our outlook for 2010. We will then open the call up to questions. In the interest of time, we kindly ask that you limit yourself to one question with a follow-up.Please note that our earnings release, investor supplement and associated presentation can be found on our website, www.dovercorporation.com. This call will be available for playback through 11:00 p.m., February 12, and the audio portion of this call will be archived on our website for three months. The replay telephone number is (800)642-1687. When accessing the playback, you'll need to supply the following reservation code, 49660424Before we get started, I'd like to remind everybody that our comments today, which are intended to supplement your understanding of Dover, may contain certain forward-looking statements that are inherently subject to uncertainties. We caution everyone to be guided in their analysis of Dover Corp. by referring to our Form 10-K for a list of factors that could cause our results to differ from those anticipated in any such forward-looking statement.  Also, we undertake no obligation to publicly update or revise any forward-looking statements except as required by law. We would also direct your attention to our website where a considerably more information can be found. And with that, I'd like to turn this call over to Bob."
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Executives","Thanks, Paul. Good morning, everyone, and thank you for joining us for this morning's conference call. Before we get into our results, I'd like to provide some general comments on our end markets and the current business climate. I'm pleased to report we",504,"Thanks, Paul. Good morning, everyone, and thank you for joining us for this morning's conference call. Before we get into our results, I'd like to provide some general comments on our end markets and the current business climate. I'm pleased to report we finished the fourth quarter better than expected across the majority of our companies. Sequentially, order rates continue to be stable or up in virtually all our end markets. The improving trends in Electronic Technologies, Energy and Product ID were supported by several factors such as increased demand for a new wave of consumer electronics, modest but steady improvement in the North American rig count, channel restocking and a relatively-stable pricing environment.  We are encouraged by the way our business activities have developed the last two quarters and are entering 2010 with expectations of revenue growth across our segments. With that, let me move to our fourth quarter and full year results.Today, we reported fourth quarter earnings per share of $0.55, down 40% from last year. Fourth quarter revenue was $1.5 billion, down 13% from last year and flat sequentially. Fourth quarter revenue was stronger than anticipated at Fluid Management and Electronic Technologies, while the revenue seasonality posted at Engineered Systems was as expected. Net earnings from continuing operations were $102 million, down 40%. For the full year, Dover's revenue was $5.8 billion, down 24% from the prior year and in line with our previously provided guidance.Full year EPS of $1.99 and earnings from continuing operations of $372 million were down 46%. Bookings for the quarter were $1.6 billion, up 10% over the prior year and up 10% sequentially. I am very pleased to report all segments and platforms posted sequential improvements in order rates and all segments achieved book to bills of greater than one.Operating margin for the quarter was 13.1%, down 220 basis points. That said, operating margin sequentially improved at Fluid Management and Industrial Products, resulting from higher volume and the continuing benefits of restructuring actions taken earlier in the year. For the full year, operating margin was 12.3%, a 300 basis point decline, but a performance we are pleased with given the economic environment. I am confident the restructuring actions taken throughout the year have positioned us well as we enter 2010.In the fourth quarter, we generated free cash flow of $211 million or 14% of revenue. For the full year, free cash flow was $682 million, 12% of revenue. We continue to invest in strategic target markets, mainly product ID, Energy, Fluid Solutions, Refrigeration and Food Equipment, and Communication Components. We closed on four strategic add-on acquisition during the fourth quarter: Barker, Inpro/Seal, À La Carte, and XTech, for a total investment of $184 million. These acquisitions fit squarely within our strategy and expand our product offerings and niche growth applications.Our acquisition pipeline remains active as we continue to look for opportunities, which complement our existing strong positions in our target markets. Now let me turn the call over to Brad for comments on our segment performance."
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Executives","Thanks, Bob. Good morning, everyone. I would like to cover our segment performance and then discuss some additional financial information. My comments will focus on quarterly results, while full year comparisons are in our slide presentation.Turning to Sl",1657,"Thanks, Bob. Good morning, everyone. I would like to cover our segment performance and then discuss some additional financial information. My comments will focus on quarterly results, while full year comparisons are in our slide presentation.Turning to Slide 5, sequential revenue was up at three of our four segments, and five of our six platforms on the strength of our fourth quarter bookings. Revenue grew 9% sequentially in Fluid Management and 6% in Electronics Technologies, while Industrial Products revenue was up 3%. Engineered Systems revenue was down 9% sequentially, consistent with seasonality normally seen at Hill PHOENIX. From a bookings perspective, fourth quarter bookings sequentially improved at all four segments and all six platforms. Also of note, December bookings were the strongest month of the quarter.Turning to Slide 6, Industrial Products posted fourth quarter revenue of $408 million and $42 million of earnings. Although these results we're down 28% and 29% respectively from 2008, this quarter's earnings were the best of the year for Industrial Products. Bookings were $433 million, up 5%, indicating improving trend in most end markets. Industrial Products generated quarterly operating margins of 10.2%, essentially flat with last year as we continue to see the benefits of our earlier rightsizing actions.With respect to our Material Handling platform, sales decreased 35% to $166 million in the quarter, while earnings decreased 53%. This resulted in platform margin down about 300 basis points from 2008's results. For the quarter, bookings were $180 million, though down 13% compared to last year, they were strong sequentially with a book to bill of 1.09. We anticipate improving results for several of our businesses in this platform over the next few quarters, however, remain cautious for our construction-related businesses.With respect to our Mobile Equipment platform, sales were $242 million in the quarter, down 21% from last year, while earnings declined only 6%. Margins were strong, up 260 basis points. Consistent with the third quarter, margin performance was solid across the platform, capitalizing on aggressive restructuring actions and business integrations. Bookings were $253 million in the quarter, up 24% and also significantly up sequentially. We anticipate solid business conditions for Heil Environmental and our Vehicle Services Group. However, we are not expecting Commercial Aerospace or Trailer markets to recover rapidly.Turning to Slide 7, at Engineered Systems sales were $473 million, up 6% from last year, while segment earnings were down 10% to $48 million. Bookings for the quarter were $487 million, up 17% and up sequentially. The year-over-year growth in revenue in bookings is primarily attributable to the acquisitions of Tyler and Barker, partially offset by end market softness and seasonality. For the quarter, operating margin was 10.2%, a 140 basis point decline. The margin performance was impacted by the lower volume due to normal seasonality, approximately $3 million of one-time costs associated with acquisitions and roughly $4 million of restructuring charges.With respect to our Product Identification platform, we continued to see benefit from the improved demand trends first seen during the second quarter of the year. This is the third consecutive quarter where both revenue and bookings improved sequentially, indicating improved channel dynamics and end market demands. For the quarter, sales were $220 million, up 5%, primarily driven by FX. Year-over-year earnings were up 2%, though margins were down 50 basis points compared to last year. Though still very strong in absolute terms, the reduction in margins was driven by product mix and restructuring costs in the quarter. We are very pleased with the positioning of our Product ID platform and expect continuing improvements in their end markets supported by a solid book to bill of 1.02.The Engineered Products platform posted an increase in revenue of 6%, while earnings declined 9% year-over-year. Platform margins declined due to seasonally-lower volume, product mix and one-time acquisition costs. With the acquisitions of Barker and Tyler, Hill PHOENIX has built a leading position in the North American Refrigeration Case market. These acquisitions provided revenue of $43 million in the fourth quarter and $132 million for the year.Engineered Products bookings were $263 million, up 23% over the prior year period for a book to bill of 1.04. We expect Hill PHOENIX and SWEP to show sequential improvement in the first quarter, but generally remained seasonally down. Their results will improve in the second and third quarters, in line with normal seasonal upswings.Moving to Slide 8, at Fluid Management sales declined 19% to $336 million, and earnings were $68 million, a decline of 32%. Bookings were down only 7% from the prior year. Fourth quarter operating margin was 20.1%, down 400 hundred basis points, but strong considering the weakness in demand experienced throughout 2009. For the year, operating margin was 20.4%. We began the year with a goal to keep full year margins in this segment around 19% to 20%, and I'm happy to report we exceeded this goal. We continue to see signs of improving end markets and sequential growth in revenue, earnings and bookings for the last two quarters.Our Energy platform continued to see sequential revenue growth in conjunction with improving North American rig count. However, as was the case in the fourth quarter and will be the case next quarter, year-over-year comparisons in Energy are difficult. Fourth quarter revenue declined 30% to $165 million while earnings were 42% lower. Fourth quarter margin remained strong but declined 530 basis points from the prior-year period on lower volume and product mix. Quarterly bookings continue to improve sequentially but were down 16% year-over-year. Book to bill was 1.07, reflecting continued momentum in served end markets.Our Fluid Solutions platform generated $171 million in the quarter, a decline of 4%. Earnings also declined 4%, yet we held margins. Bookings improved 5% year-over-year to $170 million. We expect this platform to gradually improve during 2010.Now turning to Slide 9, Electronic Technologies continue to see improved end market demand for their communication components and electronic assembly equipment. We also continue to benefit from restructuring activities taken earlier in the year. Fourth quarter revenue was $292 million, only down 3%. Earnings were $40 million, the high point of 2009. Operating margin was 13.6% for the quarter, driven by higher volume but impacted by roughly $2 million in restructuring costs. Book to bill continues to be strong at 1.05.Our electronic assembly equipment companies continue to see an improving order book for the third consecutive quarter, which contrasted with normal seasonality. In fact, order rates were up 26% sequentially in the fourth quarter. We anticipate favorable climate in the electronic assembly markets to continue in the near-term as a new wave of investment seems to be taking hold. The favorable market conditions resulted in a book to bill of 1.07 for this group of companies.Our communication component companies continue to post strong results, benefiting from relative stability in their key military hearing aid and men's markets and strong operational execution. Bookings continue to be strong in this space, with a book to bill of 1.03. Having reviewed the segments, I would now like to briefly provide some additional financial data.Going to Slide 10, fourth quarter net interest expense was $26.8 million. For the full year, net interest expense increased 5% to $100 million, primarily reflecting lower returns on invested balances. Our net debt to total capitalization was 18.4%, a 650 basis point reduction from year-end 2008 due to strong cash flow and relatively low CapEx and acquisition spending.Turning to taxes, our fourth quarter tax rate was 27.2%. For the full year, our tax rate was 24.4% and compares favorably to last year's 26.6% rate. The primary driver of our lower full year tax rate was a relatively large discrete benefit recognized in the second quarter of 2009.Corporate expenses for the fourth quarter were $29.6 million, essentially flat with last year. Full year corporate expense was $118 million, a 2% increase over 2008. This increase primarily reflects investments in our supply chain program, costs associated with other scale and leverage activities and increased corporate development costs.Turning to Slide 11, in the fourth quarter, restructuring charges were $10 million. For the full year, restructuring costs and benefits were $72 million and $125 million, respectively, and in line with our original guidance.Turning to Slide 12, now with respect to guidance. Looking at 2010, we estimate full year organic revenue to be in the range of 4% to 6%, Electronic Technologies should show organic revenue growth in the low double digit range, Engineered Systems and Fluid Solutions should be in the overall 4% to 6% range and we expect Industrial Products to be flat with 2009. We also expect the acquisition-related growth to be roughly 3% for transactions completed in 2009. Corporate expense, interest expense and CapEx should all be up versus 2009 as we continue to invest in our businesses, and the tax rate is expected to normalize. Based on these expectations, we are forecasting 2010 EPS to be in the range of $2.35 to $2.65. Now let's go to the earnings bridge on Slide 13.Volume improvement, product mix and pricing should improve earnings $0.23 to $0.45, while net acquisitions will add about $0.08. All 2009 acquisitions would be accretive to our 2010 EPS. The benefits of restructuring and net productivity includes the absence of $72 million in restructuring charges from 2009, $30 million to $40 million of incremental benefits from those actions, plus minor 2010 restructuring costs, and includes supply chain, material and other net productivity benefits, which should add $0.40 to $0.48 to 2010 EPS.Compensation increases will be about a $0.10 headwind as we restore some salaries and benefits. Corporate expense and interest expense will impact EPS $0.04 and $0.03, respectively. Lastly, our normalized tax rate of 29% to 30% will impact EPS $0.17 to $0.19. Of course, this line item is subject to some level of risk, but we feel confident that we can achieve full year EPS growth of 18% to 33%. Now I'd like to turn the call back over to Bob."
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Executives","Thanks, Brad. With respect to our 2010 guidance, I am more confident today than two to three months ago about our 2010 outlook. The second half order rates are encouraging and do provide a base organic revenue growth in 2010. In fact, our revenue guidance",289,"Thanks, Brad. With respect to our 2010 guidance, I am more confident today than two to three months ago about our 2010 outlook. The second half order rates are encouraging and do provide a base organic revenue growth in 2010. In fact, our revenue guidance is a little bit stronger than the outlook provided at our November Investor Day.Aside from the gradual improvement in our end markets, I am most extremely pleased with the progress we made on several initiatives throughout the year. Those initiatives include our focused M&A program inclusive of our improved post-merger integration processes, our global supply chain initiative, the establishment of our China regional headquarters and co-locating our corporate and segment management teams to our new office in Chicago. The benefits of these initiatives have already begun to accrue and will continue to benefit Dover and our shareholders in 2010 and beyond. I am pleased we undertook these initiatives in 2009 despite the weak global economy. Our leadership teams realized we needed to make some changes to emerge from a downturn a stronger company, and we have. In fact, once we realized the severity of the recession, we set two key financial objectives for 2009:  Achieve full year double-digit operating margins, and 10% free cash flow as a percent of revenue. Full year operating margin was 12.3% and free cash flow was 11.8% of revenue. Our leadership teams did a great job executing on these objectives.In closing, I'd like to take this opportunity to thank all of the Dover employees for their hard work and support. Through our collective efforts, we have emerged from the recession a stronger company. We are now focused on growth. With that, I'll turn it back to Paul for questions."
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Executives","Thanks, Bob and Brad for that summary. At this point, we'd like to turn it back to Wes. And, Wes, if you can compile the questions. And before you do that, I'd just like to remind everybody if you can limit your question to one with a follow-up, we'll be",62,"Thanks, Bob and Brad for that summary. At this point, we'd like to turn it back to Wes. And, Wes, if you can compile the questions. And before you do that, I'd just like to remind everybody if you can limit your question to one with a follow-up, we'll be better able to serve everybody who wants to ask a question. Thanks."
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Operator","[Operator Instructions] Your first question comes from John Inch of Bank of America, Merrill Lynch.",15,"[Operator Instructions] Your first question comes from John Inch of Bank of America, Merrill Lynch."
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Analysts","Question about the Engineered Products business. If I'm not mistaken, Tyler had pretty big share with the big-box retailers and those companies have actually, I think, called out not insignificant ramp ups in their intended CapEx remodeling, grocery store",110,"Question about the Engineered Products business. If I'm not mistaken, Tyler had pretty big share with the big-box retailers and those companies have actually, I think, called out not insignificant ramp ups in their intended CapEx remodeling, grocery store openings, that sort of thing. I'm curious, post-Tyler, have you guys seen any sort of a share shift on the part of those customers. We obviously know who the other competitor is, but have those customers looked and said, ""Well, we can't give you too much business because of Tyler with Hill PHOENIX together.""? Have you realized that? Or sort of maybe a little color around the expectations on that front."
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Executives","John, my first comment would be, no, we haven't seen a share change or a share mix change. But within that leading comment, you are going to see a little bit of noise from customer to customer. But we actually feel quite positive with the share that we ha",54,"John, my first comment would be, no, we haven't seen a share change or a share mix change. But within that leading comment, you are going to see a little bit of noise from customer to customer. But we actually feel quite positive with the share that we have held on the Tyler business."
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Analysts","Bob, your Construction businesses, where I think, Brad, you even said the outlook still remains challenged. What are your thoughts toward the balancing between some sort of a future divestiture in terms of waiting for profitability to potentially come bac",82,"Bob, your Construction businesses, where I think, Brad, you even said the outlook still remains challenged. What are your thoughts toward the balancing between some sort of a future divestiture in terms of waiting for profitability to potentially come back even though non-res construction still looks challenged in the U.S. versus maybe thinking about wiping this light clean with respect to those businesses, particularly given that it wasn't really on your watch that they were acquired. How are you thinking about that?"
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Executives","Well, I think, to your comment about being on our watch has nothing to do with the decision we make. But to respond to your question, we have made no decision nor do we have anything in the planning for any divestitures in 2010.",44,"Well, I think, to your comment about being on our watch has nothing to do with the decision we make. But to respond to your question, we have made no decision nor do we have anything in the planning for any divestitures in 2010."
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Analysts","Right. But I guess my point is, are you in any way averse to selling businesses that may cyclically be at a bottom? Maybe x those businesses, but cyclically at a bottom versus wanting to refocus over? I guess that's sort of the question.",44,"Right. But I guess my point is, are you in any way averse to selling businesses that may cyclically be at a bottom? Maybe x those businesses, but cyclically at a bottom versus wanting to refocus over? I guess that's sort of the question."
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Executives","I think we will work towards refocusing the portfolio little bit over the, I call it the medium term, the next two to three years. But don't look for a major shift in 2010 as we deal with the bottom of this market.",43,"I think we will work towards refocusing the portfolio little bit over the, I call it the medium term, the next two to three years. But don't look for a major shift in 2010 as we deal with the bottom of this market."
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Analysts","Bob, you've started all these initiatives, right, from supply chain on down. Are you able to -- I mean, do you feel comfortable in terms of the management of the multiple balls that Dover has right now? I'm just curious on that front. How do you balance t",63,"Bob, you've started all these initiatives, right, from supply chain on down. Are you able to -- I mean, do you feel comfortable in terms of the management of the multiple balls that Dover has right now? I'm just curious on that front. How do you balance the concerns that perhaps you've taken on more than you can chew in the short run?"
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Executives","I think 2009 is behind us. I think the initiatives that were introduced in late '08 and during 2009 have started to gain traction, and our focus in 2010 and '11 is on execution. I feel comfortable.",37,"I think 2009 is behind us. I think the initiatives that were introduced in late '08 and during 2009 have started to gain traction, and our focus in 2010 and '11 is on execution. I feel comfortable."
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Operator","Your next question comes from Nigel Coe of Deutsche Bank.",10,"Your next question comes from Nigel Coe of Deutsche Bank."
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Analysts","Brad, I actually missed your organic growth assumptions by segment. Can you just repeat those, please?",16,"Brad, I actually missed your organic growth assumptions by segment. Can you just repeat those, please?"
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Executives","Yes, sure. Let me go back to that. So what we said was, and this is a little bit of a change from what we said at Dover Day, so I can talk about that a little bit too. But Electronic Technologies should show organic revenue growth in the low double digit",81,"Yes, sure. Let me go back to that. So what we said was, and this is a little bit of a change from what we said at Dover Day, so I can talk about that a little bit too. But Electronic Technologies should show organic revenue growth in the low double digit range, then we have Engineered Systems and Fluid Solutions within that range, 4% to 6% for the overall Dover company, and we expect Industrial to be flattish with 2009."
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Analysts","And within Industrial, what is the mix between Material Handling and the other segments?",14,"And within Industrial, what is the mix between Material Handling and the other segments?"
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Executives","I would tell you at this point, we see both of those platforms being relatively flat. No difference.",18,"I would tell you at this point, we see both of those platforms being relatively flat. No difference."
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Analysts","And then again, digging into the guidance, what are you seeing for cost flow back in 2010. And a lot of [ph] industrials are talking about some of the temporary cost actions put through in 2009 come back in 2010. How much are you budgeting for that?",47,"And then again, digging into the guidance, what are you seeing for cost flow back in 2010. And a lot of [ph] industrials are talking about some of the temporary cost actions put through in 2009 come back in 2010. How much are you budgeting for that?"
174901,83890600,47620,"Dover Corp., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Dover Corporation","Executives","What we have, it's right in the bridge there in comp and benefits. So we're saying its about $0.08 to $0.12. So if we figure peak to midpoint at $0.10, roughly $30 million.",33,"What we have, it's right in the bridge there in comp and benefits. So we're saying its about $0.08 to $0.12. So if we figure peak to midpoint at $0.10, roughly $30 million."
