"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
305749,84298751,48556,"Sunoco Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","ETC Sunoco Holdings LLC","Operator","Good afternoon. My name is Rachel and I will be your conference operator today. At this time, I would like to welcome everyone to the fourth quarter 2009 earnings call. All lines have been placed on mute to prevent any background noise. After the speakers",75,"Good afternoon. My name is Rachel and I will be your conference operator today. At this time, I would like to welcome everyone to the fourth quarter 2009 earnings call. All lines have been placed on mute to prevent any background noise. After the speakers’ remarks, there will be a question-and-answer session. (Operator instructions) I would now like to turn the call over to Lynn Elsenhans, Chairman and CEO of Sunoco. Ma’am, you may begin.
"
305749,84298751,48556,"Sunoco Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","ETC Sunoco Holdings LLC","Executives","Thank you, Rachel. Thank you and good evening, everyone. Welcome to Sunoco’s quarterly conference call. We will be discussing the company’s fourth quarter earnings that we reported this afternoon. With me today are Brian MacDonald, our Chief Financial",679,"Thank you, Rachel. Thank you and good evening, everyone. Welcome to Sunoco’s quarterly conference call. We will be discussing the company’s fourth quarter earnings that we reported this afternoon. With me today are Brian MacDonald, our Chief Financial Officer, and Clare McGrory, our Manager of Investor Relations. I will start by taking on a few introductory comments and then Brian will address business results and comment on our overall financial position.
As part of today’s call, I direct you to our website, www.sunocoinc.com, where we have posted a number of presentation slides, which may provide a useful reference as we go through the remarks. For purposes of facilitating a good discussion, I also refer you to the Safe Harbor statement as referenced in slide number two of the slide package and as included in this afternoon’s earnings release and Form 10-Q filing.
So let’s begin. As shown on slide four and five, we reported a quarterly net loss, excluding special items, of $31 million or $0.27 a share. For the year, Sunoco reported a loss, excluding special items, of $37 million or $0.32 a share. The challenging market environment had continued to impact our volumes and our margins in both the petroleum and the chemical businesses. The fourth quarter refining benchmark margins worsened from the previous quarter and the rising crude oil prices during the quarter also negatively impacted our margins. However, in this difficult environment, the company continued to take aggressive actions to address those issues within our control.
Our non-refining businesses earned $127 million in the fourth quarter, as we managed to produce strong earnings as a result of good execution and a sharp focus on cost. Retail marketing earned $21 million as rising feedstock prices put pressure on retail gasoline margins, but Logistics earned $22 million with steady contributions from Sunoco Logistics Partners LP and our Coke segment earned $78 million, including a one-time tax credit of $41 million.
During 2009, we successfully executed our business improvement initiative and we exceeded the target of $300 million in cost savings on an annualized basis by this end of the year. Excluding Tulsa, our SG&A in operating expenses in 2009 were roughly $560 million below 2008. And approximately half of this improvement is attributable to our cost reduction initiative and the other half is from lower volumes and energy costs.
These savings were partially offset by approximately $80 million in increased pension-related expenses. In 2010, we expect to see a full year’s benefit of the lower cost structure from both the business improvement initiative and the closure of the Eagle Point refinery. We will also benefit from the pension and healthcare plan modifications announced in November.
As we consider the outlook for 2010, we continue to expect a challenging market for petroleum and chemical products due to ongoing economic weakness and excess global supply. However, the company has responded to the market environment with several strategic actions to improve our competitive cost position, optimize our portfolio, and our operating performance.
Earlier this week, we announced that we have permanently shut down our previously idle Eagle Point refinery and that we’ve signed an agreement to sell our polypropylene business, which comprises of significant portion of our Chemicals business, for approximately $350 million in cash, a good value for our shareholders.
Earlier in 2009, we sold our Tulsa refinery and the Retail Home Heating Oil business. These portfolio changes addressed areas of the business that were not meeting our cost of capital and enabled the company to redeploy capital to the growth of our Logistics and Coke businesses while we continue to invest in our strong retail brand.
The company has also taken several recent actions to strengthen balance sheet and liquidity, which Brian MacDonald will discuss in more detail shortly. All of these initiatives, along with our continued focus on cost reduction, serve to strengthen the balance sheet and will enable us to maintain our financial flexibility and grow our non-refining businesses as we manage through the refining down-cycle.
So now let me turn the call over to Brian.
"
305749,84298751,48556,"Sunoco Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","ETC Sunoco Holdings LLC","Executives","Thanks, Lynn. First let me comment on quarterly net income attributable to Sunoco shareholders and our special items. We reported net income of $26 million attributable to SUN shareholders in Q4, which included $57 million of net favorable special items,",1947,"Thanks, Lynn. First let me comment on quarterly net income attributable to Sunoco shareholders and our special items. We reported net income of $26 million attributable to SUN shareholders in Q4, which included $57 million of net favorable special items, as detailed in our earnings release and on slide six.
We incurred a $19 million provision for costs associated with MTBE litigation as well as additional charges associated with the business improvement initiative and the Eagle Point shutdown. These charges were offset by a $21 million favorable adjustment to the gain related to the divestment of the discontinued Tulsa operations as well as a $55 million gain from the liquidation of LIFO inventories in connection with the shutdown of the Eagle Point refinery.
Before addressing some specifics regarding our operating performance, our quarterly results, particularly for refining, generally reflect the continuation of market weakness as crack spreads deteriorated further from the third quarter, especially in the mid-continent region. Our non-refining operations, however, continued to make positive contributions and we continue to aggressively take actions to improve our cost structure as well as our financial position for the future.
Regarding Q4 business unit results, I direct you to slide seven. Starting with refining and supply, we had a loss there of $135 million in Q4, as gasoline margins deteriorated significantly from the prior quarter and the mid-continent margins in particular were very weak. Operationally, crude unit utilization across the system in Q4 was 84%.
With respect to Q4 margin realizations, I refer you to slide eight and nine for more detail on the refining system crude costs and product differentials versus our benchmark. Our margin realizations were challenged in Q4 by lower overall benchmark margins as well as rising crude cost and volatility in prices. While most of the factors that affect our realizations versus our benchmarks are market related, we are taking actions on identified opportunities to improve our margin realizations versus benchmark.
These actions include the reorganization of our commercial group. We will place all resources serving external market in one organization. In general, our benchmarks were down approximately $1 from the prior quarter and our realized margins moved lower with the benchmarks. Our crude cost for the quarter averaged about $1.61 above our weighted benchmark due to the impact of rising crude prices on our Northeast crude prices as well as higher transportation costs. On the product side, our average differential was $1.02 lower than the weighted benchmark, as product pricing, particularly for non-benchmark products, continued to be weak in this difficult market environment.
As compared to the third quarter, margins were held by improved yield at both the Northeast Complex and the Toledo refinery, as they recovered from maintenance work during the third quarter. The utilization rates in Q4 reflect the idling of Eagle Point refinery in early November. For the November and December period, Eagle Point volume transitioned to increase utilization at Marcus Hook in Philadelphia, which involved working through intermediate inventories and securing the appropriate mix of crude purchases for these facilities.
The Northeast Complex did experience some operational issues near year-end, which continued into January. However, we have recovered and are currently operating at approximately 90% utilization in the Northeast and expect to continue at or above these rates until the start of our planned FCC turnaround in Marcus Hook, which begins in late February. We also are planning our Toledo HCC [ph] turnaround slated for our mid-March start. Both turnarounds are expected to occur over approximately 35 to 40 days.
Now turning to our non-refining businesses, which earned an aggregate $127 million during the quarter, as detailed on slide ten. Retail marketing earned $21 million in Q4. Sales volumes were lower as compared to the prior quarter, a normal seasonal decline. And retail gasoline margins declined as wholesale prices rose steadily with crude prices during October and again in late December.
During the quarter we also continued to execute on our retail portfolio management program and generated approximately $44 million of proceeds and $6 million of after-tax gains on site sales through the sale of 62 sites primarily to Sunoco branded dealers and distributors.
In 2009, we divested a total of 157 sites and generated $120 million in proceeds. Approximately 80% of these sites divested continued to be in the Sunoco dealer or distribution portfolio. We will continue to use this program to enhance our overall return on capital employed in the business. We anticipate that an additional $60 million of proceeds will be generated through 2011.
Turning now to Chemicals, where we earned $6 million in Q4 with slight improvements related to phenol margins and lower expenses. The results continued to reflect weakness in both the polymers and phenol business, and we continue to manage volumes and margins in this difficult environment.
Logistics earned $22 million as Sunoco Logistics posted another solid quarter. The business continues to produce steady income growth from its growing asset base. Coke posted another solid quarter earning $78 million in Q4, which included a one-time tax credit of $41 million associated with our Granite City, Illinois facility. Excluding the tax credit, the business reflected a slight increase as Granite City operations started up in the fourth quarter. Granite City continues to ramp up production with full production expected to be reached in the first quarter.
Looking ahead to 2010, we expect Coke earnings to be between $125 million and $140 million, as shown on slide 11. As compared to 2009, EBITDA is expected to be about flat. The increase related to a full year of operations from Granite City is expected to be partially offset by lower revenues for Jewell Coke facility due to lower expected coal prices. We also expect to incur more cost as we increase resources dedicated to business development for international expansion and some technology enhancements.
In 2010 and going forward, the Coke business is expected to be near breakeven on a cash flow basis with the capital program we plan for this year and with no major working capital changes. We believe that this will allow us to fund its own capital requirements, which we think speaks to the strength of the business model.
Finally, let me take a few minutes to discuss our financial position at the end of the year. In conjunction with that, I direct you to slides 12 and 13. Our fourth quarter net cash flow before debt activity was a positive $338 million, driven by the liquidation of inventories related to both Tulsa and Eagle Point refinery.
From a balance sheet perspective, our overall net debt position was approximately $2.1 billion, down about $340 million from the third quarter. Of the $2.1 billion of debt, approximately $900 million was attributable to Sunoco Logistics, leaving $1.2 billion attributable to Sunoco at the parent level. We ended the quarter with a net debt-to-capital ratio of 41%. From a liquidity position, at the end of the year, we had $377 million of cash and approximately $1.4 billion of available, committed borrowing capacity, which includes approximately $200 million available to Sunoco Logistics.
Turning to slide 14, which details historic and 2010 capital spending, we were successful at managing expenditures in 2009 by reducing spending where possible in refining and chemicals while making capital available for opportunities in Sunoco Logistics. Our full-year 2009 spend was approximately $950 million, which included about $400 million in growth capital spend in Logistics and Coke. The mix of spending changed during the year as compared to our initial guidance, with the reduction of approximately $150 million in refining and coke being partially offset by higher spending at Sunoco Logistics associated with growth opportunities.
In 2010, we have about $840 million allocated for capital spending, which includes growth capital of $280 million for the construction of the Middletown coke plant and the committed logistics opportunities. Any capital requirements for Sunoco Logistics will be funded within Sunoco Logistics Partner, using its own balance sheet and access to capital. We will to continue to focus on capital discipline in 2010 as we did in 2009.
Turning to slide 15, as we look into 2010, we will continue to take appropriate actions that will assist us in maintaining our financial flexibility. We believe this proactive approach will improve performance in both the short-term and long-term and deliver increased value to shareholders. Together these actions have allowed the company to exit 2009 with a much more competitive cost structure across all of our businesses and reduced future capital calls.
Today’s earnings release also provides a recap of several actions to strengthen our balance sheet and liquidity. To start with, the company has modified the Incentive Distribution Rights, often referred to as IDRs, that entitle Sunoco to receive cash in excess of its general partner interest from Sunoco Logistics.
This transaction will provide Sunoco with approximately $200 million of cash in exchange for a portion of future cash flows from the IDRs while also improving the cost of capital of Sunoco Logistics and enhancing its long-term growth potential. This transition demonstrates the value of Sunoco’s general partner interest as we continue to recover substantial general partner distributions and we will be able to grow back into the cover level of high distributions in the future.
Secondly, Sunoco strengthened its liquidity position through the sale of 2.2 million of its Limited Partner units in Sunoco Logistics Partners for net cash proceeds of approximately $140 million, excluding the underwriter option to exercise the green shoe. This transaction demonstrates the underlying value of Sunoco’s position in Sunoco Logistics. With this sale, we will now hold a 33% interest in the partnership, including our general partnership interest.
The company plans to bolster the funded status of its pension plan with a contribution of approximately $200 million, about evenly split between cash and Sunoco common stock. The pension contributions will generate a positive cash tax benefit in the first half of 2010, and the contribution will have minimal dilutive impact to Sunoco shareholders.
Furthermore, the pension contributions are expected to eliminate the need for any legally required minimum pension contributions until 2012. The combination of these large discretionary contributions and the previously announced modifications to the company’s defined benefit pension plans and postretirement medical benefit plans significantly bolsters the funded status of these plans and reduces future funding needs for these obligations over the coming years.
All of these initiatives, along with our continued focus on cost reduction, serve to strengthen the balance sheet and will enable us to maintain our financial flexibility and grow our non-refining businesses as we manage through this refining down cycle. I’ll also advice that Sunoco’s Board of Directors today declared a cash dividend for the first quarter of $0.15 per share, and we believe that Sunoco’s current dividend level is sustainable under current conditions.
We will continue to take prudent and appropriate actions that will enable Sunoco to face the future from a position of strength. With our significant refining presence in the Northeast and Midwest, a more efficient cost structure, a strong branded retail network, significant ownership and overall control of the Logistics operation, a strong Coke business, and a much stronger balance sheet, we will be well positioned to capitalize on the eventual market recovery and take advantage of opportunities for growth.
With that, we will open up the line for questions. We’ll ask that you limit your questions to two questions each so that everyone has a chance to get their questions answered. And I know it’s been a long day in the market, so we’ll all get off the call at a reasonable time. So with that, operator, we will open up for questions.
"
305749,84298751,48556,"Sunoco Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","ETC Sunoco Holdings LLC","Operator","(Operator instructions) Your first question comes from the line of Jeff Dietert with Simmons.",14,"(Operator instructions) Your first question comes from the line of Jeff Dietert with Simmons.
"
305749,84298751,48556,"Sunoco Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","ETC Sunoco Holdings LLC","Analysts","Good evening.",2,"Good evening.
"
305749,84298751,48556,"Sunoco Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","ETC Sunoco Holdings LLC","Executives","Hi, Jeff.",2,"Hi, Jeff.
"
305749,84298751,48556,"Sunoco Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","ETC Sunoco Holdings LLC","Analysts","If my notes are correct, your previous Coke guidance was $215 million of net income for 2010. Hopefully I didn’t miss an iteration there. But could you talk about the pieces that contributed to the lower guidance?",37,"If my notes are correct, your previous Coke guidance was $215 million of net income for 2010. Hopefully I didn’t miss an iteration there. But could you talk about the pieces that contributed to the lower guidance?
"
305749,84298751,48556,"Sunoco Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","ETC Sunoco Holdings LLC","Executives","Yes. I think, Jeff, the Middletown plant started off. It’s gotten pushed back. We have some coal price changes from the way the coal blends work for our Jewell operation. So those are the primary reasons. We also have a little bit more I would call an i",93,"Yes. I think, Jeff, the Middletown plant started off. It’s gotten pushed back. We have some coal price changes from the way the coal blends work for our Jewell operation. So those are the primary reasons. We also have a little bit more I would call an investment in terms of business development capabilities for us to go after business outside of the United States. And we also have some investments that we are going to make in technology as we kind of look to the next phase of growth for the business.
"
305749,84298751,48556,"Sunoco Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","ETC Sunoco Holdings LLC","Analysts","Okay. Could you split the difference between the major components? What was the coal price impact on the lower guidance and what’s the impact of higher expenses or higher spending on the reduced guidance?",34,"Okay. Could you split the difference between the major components? What was the coal price impact on the lower guidance and what’s the impact of higher expenses or higher spending on the reduced guidance?
"
305749,84298751,48556,"Sunoco Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","ETC Sunoco Holdings LLC","Executives","No. I think, Jeff, what I would say is that, broadly speaking, we have - we have Granite City coming up to operation this year. And that’s clearly a plus for the business. And now I would say the coal price impact is sort of an offset to that. And so I",96,"No. I think, Jeff, what I would say is that, broadly speaking, we have - we have Granite City coming up to operation this year. And that’s clearly a plus for the business. And now I would say the coal price impact is sort of an offset to that. And so I think you can kind of walk from the income this year less the tax credit to the guidance that we are giving. And kind of - those are really the two big items with some additional investment around the business development activities and technology.
"
