"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
270747,84196848,46143,"Fastenal Co., Q4 2009 Earnings Call, Jan-19-2010",2010-01-19,"Earnings Calls","Fastenal Company","Operator","Good day and welcome to the Fastenal Company fourth quarter and fiscal year 2009 earnings results conference call. Today’s conference is being recorded. At this time I would like to turn the conference over to Darin Pellegrino. Please go ahead, sir.",41,"Good day and welcome to the Fastenal Company fourth quarter and fiscal year 2009 earnings results conference call. Today’s conference is being recorded. At this time I would like to turn the conference over to Darin Pellegrino. Please go ahead, sir.
"
270747,84196848,46143,"Fastenal Co., Q4 2009 Earnings Call, Jan-19-2010",2010-01-19,"Earnings Calls","Fastenal Company","Executives","Good morning and welcome to Fastenal Company’s 2009 fourth quarter and year end earnings conference call. This call will be hosted by Will Oberton, Chief Executive Officer and Dan Florness, our Chief Financial Officer. The call will last up to 45 minute",310,"Good morning and welcome to Fastenal Company’s 2009 fourth quarter and year end earnings conference call. This call will be hosted by Will Oberton, Chief Executive Officer and Dan Florness, our Chief Financial Officer. The call will last up to 45 minutes. The call will start with a general overview of our quarterly results and operations by Will and Dan with the remainder of the time being open for questions and answers. Today’s conference call is a proprietary Fastenal presentation and is being recorded by Fastenal.
No recording, reproduction, transmission or distribution of today’s call is permitted without Fastenal’s consent. This call is also being audio simulcast on the internet via the Fastenal’s Investor Relations home page at www.investor.fastenal.com. A replay of this webcast will be available on this website until March 1, 2010, at midnight Central Time.
As a reminder today’s conference call includes statements regarding the company’s anticipated financial and operating results as well as other forward-looking statements based on current expectations as defined by the Private Securities Litigation Reform Act of 1995. Forward-looking statements maybe often are identified with words such as we expect, we anticipate, upcoming or similar indications of future expectations. It is important to note that the company’s actual results may differ materially from those anticipated.
Information on factors that could cause actual results to differ materially from these forward-looking statements is contained in the company’s periodic filings with the Securities and Exchange Commission, and we encourage you to review those carefully. Investors are cautioned not to place undue reliance on such forward-looking statements as there’s no assurance that the matter contained in such statements will occur. Forward-looking statements are made of today’s date only and we undertake no duty to update the information provided on this call.
I would now like to turn the call over to Will Oberton. Go ahead Will.
"
270747,84196848,46143,"Fastenal Co., Q4 2009 Earnings Call, Jan-19-2010",2010-01-19,"Earnings Calls","Fastenal Company","Executives","Thanks Darin. Thanks everyone for joining us today for our fourth quarter 2009 conference call. Start right out with the sales. Sales for the quarter were pretty much on plan. We had a very good November, it was a little weaker in December, but you averag",1053,"Thanks Darin. Thanks everyone for joining us today for our fourth quarter 2009 conference call. Start right out with the sales. Sales for the quarter were pretty much on plan. We had a very good November, it was a little weaker in December, but you average it out, and look at the numbers from where we thought we would be starting the quarter. We really came right on plan and we stayed on our sequential trend pattern that we really started back in July.
So we’re pretty optimistic about numbers. Looking at our January numbers month-to-date at this point it appears when we report numbers in January, we will report a positive number, not a lot of growth, but right now it appears that we will have growth and any amount would be a real positive for our team here at Fastenal.
Jumping to the margin, we are a little disappointed with the margin where it came in at 49.9. Not really surprised because we did make a decision on the rebates to pullback. We understand where we are with that and that will be coming back in the first quarter, or starting to come back in the first quarter in throughout 2010.
There’s really three pieces to margin. The first one as I mentioned the rebates understood what happened there we just made a conscious decision to reduce our purchasing, and just basically work towards 2010 and growth in 2010. We’re comfortable that will come back.
Second one that hit was in 2010 was the deflation in the steel products, primarily the Fastenal products. We have seen the steel price is pretty much flat and down in summer and they’ve actually started rising through the last four months of the year. We anticipate continue in a little bit of inflation in steel is really hard to tell it has a lot to do with what happens with the economy and the world or mainly China right now, but right now we’re anticipating some inflation in steel and inflation or pricing as a year ago, but that won’t kick in until probably the second or third quarter as the product sells through, but that’s a positive for our margin.
In the third part of our margin is the POS, what the customers or what the storage use to charge and price their customers, that bottomed out in August we have seen positive trends in the POS margin every month since August we’re very optimistic. When you look at the margin, rebates, deflation positive in POS positive, we’re still very optimistic we’ll see improvement in each of the next three quarters.
From an expense standpoint, I think we did a really nice job. Our expenses were down 13.2% somewhat of a kick in the health insurance. Our health insurance jumped and the problem with health insurance expense, it’s one of the expenses you can’t manage short term. You set a program up for your employees and we set up a good reprogram for our employees and then you basically just wait for the claims to come in or the experience rating in the claims.
In the last half of the year, we saw our claims go up, but we have also been reading that there are other companies seeing the same thing. We’re not sure if it’s people rushing to get things done before changes in health insurance we’re analyzing it as we speak and helpfully will better information, but we don’t foresee this problem going forward into the new year, so we’re very confident we can lower that a little bit as we go into the New Year, but otherwise our expenses, I think our team did a very good job managing at the point they are.
Earnings, a little disappointing, we came off one point, but or $0.01, but that’s completely explain by the health insurance, that’s almost dollar for dollar there. A couple of other areas I want to touch on accounts receivable down 12.6% right where sales were. That’s one area and I said that in the last conference call, that I was worried going into the year with bankruptcies up and everything going on in the economy, but we did a nice job actually hanging on to our number, holding the days out flat to down a little bit in a difficult time and then the other one is inventory.
Our inventory is down 10% from the beginning of the year. If you take out the acquisition that we made in December, we’d actually be down almost exactly where sales were, so we did bring some inventory in with that acquisition and so they did a nice job on inventory. So overall that’s good.
So when I step back and I look at where we are as a company, starting out the New Year, starting out a new decade, how I feel about our positioning. I feel very good about sales. We’re going to start out with a positive trend and the comps get a little easier as we go on, so I’m very comfortable that we’re going to have good sales trends, not only year-over-year, but also sequentially.
Our margin is lower than we want it to be, but we understand the pieces, and there’s a lot of positive in that. Our headcount is right inline, if you look at where our FTE came in we’re basically from a relative related to sales, we’re almost where we started the year out, so we’re positioned very well. The expense structure, the accounts receivable and the inventory are all in great shape.
So when we look at the business, I say, what do we need to work on? We need to work on margin. We need to continue to work hard on growth and we need to make sure the other things that I just mentioned stay inline. So, I think we near a very good position to move forward as a company and get back on to our strategic plan of pathway to profit, that’s why I’m looking at the year, that’s why I’m communicating to our people internally and that should be in a good position.
With that, I’m going to turn it over to Dan. Dan has more information and I kept my brief today. Thank you.
"
270747,84196848,46143,"Fastenal Co., Q4 2009 Earnings Call, Jan-19-2010",2010-01-19,"Earnings Calls","Fastenal Company","Executives","Thanks, Will and thanks also to the shareholders on the call. I’m going to touch on a few items highlighted in our earnings release and then will turn over to Q-and-A after that. One item I want to tough is centered on page one discussion, about our end",2526,"Thanks, Will and thanks also to the shareholders on the call. I’m going to touch on a few items highlighted in our earnings release and then will turn over to Q-and-A after that. One item I want to tough is centered on page one discussion, about our end market, end full.
As we talked about our last call in the May timeframe, our manufacturing business appears to bottomed out and it has been improving sequentially every month since May, except for July and December, which we would expect a little bit of a drop off because of the holiday impact, but generally speaking the business has been improving mode since bottoming out in the May 2009 timeframe, manufacturing as you recall represents almost 50% of our sales.
On the construction piece, which is decide 25% of our sales that business has continued to weaken as we go through the year. Fortunately the manufacturing has been able to overshadow it through the second half of 2009. If I look at the remaining components of our end market, and I called them out individually on our press release this quarter, generally speaking those trends are all positive as we look through the second half of 2009 and I believe will remain positive as we go in to 2010.
A new piece that I added to the release this quarter, and hopefully for those of you who have had a chance to read it, it create more answers, a better understanding of our business, rather than a bunch of questions, but I’ll try to elaborate on what I’m really trying why I’m highlighting these point.
It really starts from the bottom of page one and continues on to page two, and what I laid out on page two is something that I have been looking at the entire year, as I try to understand really what was happening as we were going along through the year, because historically, when we talk internally at Fastenal, we always talk about kind of where we are in September, October timeframe, because the daily average in October, really sets us up in our mind for how the New Year is going to start, because historically, our daily average has been at or slightly positive to in January to the previous October,
So internally, we are setting our goals once we have the October numbers, because we really think we have the benchmark identified and as you can see in the table I laid out, in 1998 to 2003 and I choose this timeframe is a benchmark, because I believe it’s a timeframe and extended period was an industrial recessionary environment and provides a good basis for comparison and in that timeframe we would see January was again slightly positive in the previous October and then we would start claiming stair way in the New Year.
What you saw in 2009 is our January number wasn’t inline with the previous October. It dropped about 18.5% and what you saw was our sales when from positive to contraction in that timeframe as well. In February, March and April timeframe the erosion continue that a pretty steep clip and we were missing that sequential pattern that we enjoyed historically and then was the April timeframe.
This really started to change in our business in that while the sequential growth was in a strong as we would like, it was starting to get closure to that historical pattern and really since July we have been in position what we have been consistently beating the historical trend and are slowly claiming out of the whole that the economy put us in if you will during the first part of this year.
I think its important trend to understand, because it really servers to guide us as we look into the New Year and being a Midwest and in the account mix me a truly conservative person and so for me to come out and say something positive into the future is a pretty rare event, but when I look at the trends, as of last October, the trends would tell me and again, I’m looking in to 2010, based on where we are in October and I’m doing it based on these trend lines that I have laid out in our press release.
If I were to just plunk it down on a spreadsheet and say, okay if we’re 9-10 of a percent ahead of October. In January 2010, I would expect us to see positive growth and it would quantify to about 0.5% of positive growth and as Will mentioned earlier, we believe in the month of January we’ll see positive growth. So again we tend to be on that pattern which we really started on last July where our sequential numbers not only make sense but are making us more positive in our outlook to our future look in our business.
If I were to extend this out and look into 2010 and again, I’m merely taking the trend line based on our history, extending in to the future, I don’t know our visibility into the future is extremely limited due to the nature of our business, but I can look at history as a guide post. It would tell me, when we get in to the March, April timeframe. We are looking at double digit sales growth and if I were to truly anniversary the numbers, because of easing comps, as we get in deeper to the year.
When I look at out to July, if we were able to follow this past trend line, our sales growth in July, would just tip over would just eclipse 20%, 20.3% is wake up little to. I don’t honestly know if this will happen when I look at 2010, but it does makes me optimistic and bullish when I look at the years as far as our ability to continue to grow out of the pattern to grow out of the place we have been in when I look at 2009 and I believe for the year, this would provide us the ability to see growth that gets into the teens and only time will tell if these trends prove to be a good guide post to our future, or if they just prove to be just wrong, but I believe it gives us a positive by as we enter the New Year.
Will touched on earlier our active account growth and there is something that I think is important also to understand when we you look at our active accounts. Our active account growth was weaker in 2009 than we would like to see. Historically, we like to see our active account growth in the low double digits. So in that 11%, 12%, maybe 13% neighborhood and this year we have been in the single digits, but when I look at the data from history and I look at, what we would expect for frequency of account base.
One thing I do see that’s very distinct in our 2009 numbers is our frequency of existing customers. In other words, what percentages of our customers buy in any given month, because we have some customers that buy daily or weekly? We have some customers that buy monthly. We have some customers that might buy sporadically maybe they are buying every second, every third month.
We measure a lot of those statistics internally and provide that information to our store personnel, but when I look at the frequency factor of our customers, I see that in 2009, our frequency is off about 7%, so that damp things our active account number by about 7%, and, really serves to diminish what I believe is our true active account growth when I look at 2009, and again, what that does, it provides one more component to what gives me confidence when I look at our 2010 top line numbers.
Will touched earlier on gross margin, and I would eco his comment was tough for us to report 49.9% gross margin, because it was a barrier we really did not want to cross. That’s the negative news. The positive news is this, when you look at the decline, it was really when we looked at where we thought our vendor allowance and rebate programs would come in earlier in the year, they did come in weaker than we expected and track a little bit from the fourth quarter, when I look at gross margin, I really think of it in three distinct components.
One is structural, what is going on in the environment, internal and external, but primarily external that influences our number. The second one would be freight side, and the third would be just our transactional activity, in other words what’s happening at the point of sale level, what is happening from an importing level, or a direct purchase level. 
On the structural side, I see two things that are generally speaking have a positive by as going in to 2010 versus 2009, one would be the vendor allowance program which tend to be linked to the calendar year, so the program reset, and starting in January, I would expect the rebate we’re earning would improve relative to where it was in 2009, that won’t necessarily flow in to the P&L in the first quarter, because that better purchasing activity will be sitting in ending inventory at the end of the first quarter.
I would expect us to start seeing that improvement in the second quarter, and that’s one of the components to improvement in gross margin when I look at 2010. The second is what the point Will touched on in the last several months of the Europe, about the last four months, we have seen some inflationary trends, and having a slight inflation trend versus a marked deflation trend as a significant impact on our gross margin, because of the nature of how fact our inventory trends.
The second category I talked about on freight when I look at where we are at the start of 2010 versus 2009 and 2008 and I’ll go back two years, I believe the momentum we had in both of those previous two years we have still today and we continue to identify opportunities to improve our freight margin and so I see that is the positive by as going to New Year.
The final piece the transactional as Will mentioned that the margin we measure at our point to sale level, that margin bottomed out August ‘09 and we have been above that number since and we believe our day to day activities, our transactional activities we’ve been improve the pattern and since that low point August.
That the second component of our transactional is really our direct sourcing margin that we measure and that really is the fact that we’re able to source in volume and that had a negative by as to it in 2009 because of deflation, and again, I believe will have a positive by as to it in 2010 if the inflation patterns that we have seen in the last four months continue.
Finally on the next couple of points, on cash flow, as you see in our cash flow statement, our cash flow for the year was quite strong. The big drivers of the cash flow were the changes in working capital and accounts receivable and inventory that Will alluded to earlier, as a percentage of earnings, for every dollar of earnings we through off $1.66 of operating cash.
Last year that number was $0.93 on the dollar. Our long term number that we really laid out when we started to past way to profit, we feel we could be in a position to be at or slightly exceed $0.85 on the dollar. So, we feel very good about our performance on that in the last several years, since that profit started. When I look at free cash flow again, a very strong number, our capital expenditures came in quite a bit less than they were a year ago, as we expected.
As I mentioned in the conference call, I would expect the capital expenditures to drop again in 2010, because we are complete with our projects in Denton, Texas, and Indianapolis, Indiana and now are in a position to read the benefit of that hard work over the last several years. What this did is provided funding for two items that we did in the current year.
As in prior years, we were able to increase our regular dividend and our buyback, we did buyback some stock late in the year, we bought back about $41 million worth at $37 a share, so feel good about that at this point in time, and we’ll continue to look at buybacks in the future, and we’ll see how that plays out.
Finally, just to touch on a few things on the working capital identified on page nine of the release. As Will mentioned, accounts receivable we were down 12.5% inline with our sales, actually slightly better than our sales pattern and really what we did is identify a structural improvement and that structural improvement is, we have a lot of customers, and a lot of customers that buy relatively small amount and what happens, a lot of times with billing processes, is a lot of stuff gets caught in the chatter, and invoices.
We have most, generally speaking our customers are really fair with us on paying their bills, and what happens is the stuff that usually falls through the cracks, that stuff is inadvertent and we made some structural changes to our billing in 2010. I see that a great job of automating a lot of process emailing more invoices, faxing more invoices, and we just improved the structural collection patterns in our business.
Despite the fact that we had some negatives from the standpoint of some customer bankruptcies during the year, that continue to hangover a little bit from the standpoint of increasing our days out, but the other stuff more than offset it.
On the inventory, as Will mentioned, were pleased with what we were able to accomplish in the year and it’s really an effort of everybody being on the same page and working to be smart about when we’re buying and constantly rebalancing our inventory, and really thinking about the components and challenging everybody, so very pleased with the team and what they were able to accomplish in 2009.
One last item I’ll touch on and then turn it over to the Q-and-A and that is as we disclosed we did a small acquisition late in the year. We acquired a business called Holo-Krome, we are very excited about this acquisition we think it fits in really well with our business, and quite frankly with our customers needs and we look forward to that business being a contributed to us in the future and we welcome the 92 employees in West Hartford, Connecticut to the Fastenal family.
With that I’ll turn it back over to the moderator for the Q-and-A.
"
270747,84196848,46143,"Fastenal Co., Q4 2009 Earnings Call, Jan-19-2010",2010-01-19,"Earnings Calls","Fastenal Company","Operator","(Operator Instructions) Your first question comes from David Manthey - Robert W. Baird.",13,"(Operator Instructions) Your first question comes from David Manthey - Robert W. Baird.
"
270747,84196848,46143,"Fastenal Co., Q4 2009 Earnings Call, Jan-19-2010",2010-01-19,"Earnings Calls","Fastenal Company","Analysts","Can you give us your thoughts on pathway to profit, do you have a new target for when you believe you can achieve the 23% EBIT margin, and then as you talking about growing stores 7% to 10%, is that should we expect that number for the full year or you ex",63,"Can you give us your thoughts on pathway to profit, do you have a new target for when you believe you can achieve the 23% EBIT margin, and then as you talking about growing stores 7% to 10%, is that should we expect that number for the full year or you expecting to hit that pace in the second half of this year?
"
270747,84196848,46143,"Fastenal Co., Q4 2009 Earnings Call, Jan-19-2010",2010-01-19,"Earnings Calls","Fastenal Company","Executives","I’ll hit the second question first. We expect to hit that pace in the second half of the year, assuming we stay on our trends and Dan talked about. So, we’re going to start the year conservatively building back towards the pathway plan, with our plan",121,"I’ll hit the second question first. We expect to hit that pace in the second half of the year, assuming we stay on our trends and Dan talked about. So, we’re going to start the year conservatively building back towards the pathway plan, with our plan the goal of being on pace sometime in the second half of the year.
As far as the pathway to profit, it gets pushed right now, I say it gets push back between 18 and 24 months and what we base that on is the growth we had in 2008 we gave back in 2009, so we’re really starting over again, so right now we’re looking at 2015. Go ahead, Dan has a comment.
"
270747,84196848,46143,"Fastenal Co., Q4 2009 Earnings Call, Jan-19-2010",2010-01-19,"Earnings Calls","Fastenal Company","Executives","One item I would add on to that, one of the things that’s, influencing our thought process here, Dave, is when you look at the pathway to profit, it really is about overtime increasing the average store size, and letting the inherent profitability of Fa",171,"One item I would add on to that, one of the things that’s, influencing our thought process here, Dave, is when you look at the pathway to profit, it really is about overtime increasing the average store size, and letting the inherent profitability of Fastenal business model shine through, earlier in the call, I went through what I believe the trends could mean for our business in 2010 and trust me it was awkward for me to go out on that ledge, because I don’t normally talk about that that openly.
Even when I look out to the summer and I look at, what I believe will be a good year for Fastenal and our ability to move back in to the pathway to profit mode, our sales in the summer will still be down 7% or 8%, and that’s, if those trend lines play out from where they were in 2008 and for us to get back on the pathway to profit, we need to get the top line moving.
"
270747,84196848,46143,"Fastenal Co., Q4 2009 Earnings Call, Jan-19-2010",2010-01-19,"Earnings Calls","Fastenal Company","Executives","Our projection for fourth quarter would put us right at fourth quarter of 2008. Those are the two years we gave up. One thing and I didn’t mention earlier, when you look at the pathway to profit, we have learned a lot of things in this slowdown about ou",84,"Our projection for fourth quarter would put us right at fourth quarter of 2008. Those are the two years we gave up. One thing and I didn’t mention earlier, when you look at the pathway to profit, we have learned a lot of things in this slowdown about our expense structure about what we really need and what we don’t believe, that will improved, I believe, improve our chances of hitting our goals to pathway to profit, because we’re just smarter about controlling expenses.
"
270747,84196848,46143,"Fastenal Co., Q4 2009 Earnings Call, Jan-19-2010",2010-01-19,"Earnings Calls","Fastenal Company","Operator","Your next question comes from Adam Uhlman - Cleveland Research.",9,"Your next question comes from Adam Uhlman - Cleveland Research.
"
