"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
291795,84673379,51616,"Newmont Mining Corp., Q4 2009 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Newmont Corporation","Operator","Welcome, and thank you for standing by. At this time, all participants are in a listen-only mode. (Operator Instructions). I would now like to turn the call over to Mr. John Seaberg, Vice President of Investor Relations. Sir, you may begin.",41,"Welcome, and thank you for standing by. At this time, all participants are in a listen-only mode. (Operator Instructions). I would now like to turn the call over to Mr. John Seaberg, Vice President of Investor Relations. Sir, you may begin.
"
291795,84673379,51616,"Newmont Mining Corp., Q4 2009 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Newmont Corporation","Executives","Thank you, operator, and good morning, everybody. Thanks for joining us on our Q4 and year-end 2009 earnings call. Joining me today are the members of our executive leadership team, who will be available for questions at the end of the presentation. Befor",100,"Thank you, operator, and good morning, everybody. Thanks for joining us on our Q4 and year-end 2009 earnings call. Joining me today are the members of our executive leadership team, who will be available for questions at the end of the presentation. Before we get started, as usual, I need to remind you that we will be discussing forward-looking information involving a number of risks, certain of which are unique to our industry, as further described in our SEC filings, which can be found on our website. I will now turn the call over to Richard O'Brien, President and CEO.
"
291795,84673379,51616,"Newmont Mining Corp., Q4 2009 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Newmont Corporation","Executives","Thanks, John. I would like to start today's call by revisiting Newmont’s strategic priorities outlined on slide 3, for those of you with access to our simulcast presentation.In 2009, we continued to execute well in our operations and drive significant",1111,"Thanks, John. I would like to start today's call by revisiting Newmont’s strategic priorities outlined on slide 3, for those of you with access to our simulcast presentation.
In 2009, we continued to execute well in our operations and drive significant improvement in our financial performance. As we look forward, we believe that successfully executing on the key benchmarks that we set out for the company at the beginning of each year will lead to increased value for our shareholders. Less execution risk should imply a higher value for our portfolio of operations and projects. We continue to work tirelessly to achieve our strategic priorities every year, and we are pleased that 2009 to a significant degree solidified our foundation of doing what we say we will do. Our continuous focus on disciplined planning in operational and business excellence enabled us again to deliver on our annual operational guidance for 2009, just as they did in 2008. The operating results, along with the robust gold price environment led to record financial performance, including the generation of almost $3 billion in operating cash flow, which Russell will speak to later.
Now that we have reached the construction completion and commercial production milestones at our Boddington project in Australia, we are focusing our efforts on advancing our next generation of projects, 30 million to 40 million targeted ounces of development opportunities, of which approximately 20 million ounces are in proven and probable reserves at this year end, with the remainder being at earlier stages of definition. Guy will review a number of these opportunities a little later in the presentation. Importantly, the strength of our balance sheet, combined with expected future cash flow should provide the funding we need to develop these world-class mining projects.
And finally, we consistently aim to improve our safety record and commitment to environmental stewardship, and social responsibility. That said, 2009 was a somber year for Newmont, as we mourn the loss of four co-workers who died as a result of fail accidents in our operations. Because of our relentless commitment to creating the safest possible work environment, we recognize that fatalities are simply unacceptable. We continue to believe that we must get to a zero injury, not just zero-fatality workplace. Safe production is the bottom line here at Newmont.
2009 did offer some high points in our environmental, social and community relations efforts. We completed and published the findings from our unprecedented Community Relations Review, and brought together a global workshop held in Washington DC late in the year for many of the participants to hear feedback from the communities who had a chance to review the CRR. However, our work doesn't stop with just a review. We are in the process of developing standards and pushing them throughout our organization to build better relationships and more sustainable relationships with our host communities. We are also pleased to be recognized as an industry leader in sustainability for the third consecutive year, by our selection to the Dow Jones Sustainability World Index.
We also recognize the challenges facing the world related to climate change. As such, we continue to look for ways to make our operations more energy-efficient and take an industry leading role on this critical issue.
Turning to 2009 performance highlights on slide four, we had an excellent year, setting records for revenue, adjusted net income, and operating cash flow. In 2009, Newmont generated $7.7 billion in revenue, a 26% increase over 2008. We also generated record operating cash flow of $2.9 billion, a 109% increase over 2008. And our adjusted net income increased to $1.4 billion, or $2.79 per share, as 60% improvement on the year. Our equity gold sales reached 5.3 million ounces at costs applicable to sales of $417 per ounce, both within our guidance announced at the beginning of 2009. While realized gold prices grew 12%, our margin on gold increased 28%, demonstrating our ability to deliver strong financial leverage to the gold price. We also sold 226 million pounds of copper at costs applicable to sales of $0.64 per pound.
In addition to record financial results, our combination of excellent 2009 exploration results and the acquisition of Anglo’s one-third interest in Boddington, resulted in equity gold reserves of 92 million ounces, an 8% increase over 2008. This marks the highest level for our equity gold reserves since 2006, and equity copper results of 9.1 billion pounds, a 17% increase over last year. We are excited about these results, as this forms the foundation for future growth to our existing operations and our strong pipeline of products. 2009 marks a significant milestone in Newmont’s transformation and positions us to further emerge as a leader in the mining industry.
Turning to slide five and focusing on our fourth quarter results in particular, our operations generated consolidated revenue of $2.5 billion, a 90% increase over the fourth quarter of 2008. Net operating cash flow was approximately $1 billion, a 323% increase over 2008. Our net adjusted income rose 379% to $561 million, or $1.14 per share, an improvement of 338% over last year.
Equity gold sales for the quarter were 1.5 million ounces at costs applicable to sales of $413 per ounce. This quarter's costs applicable to sales were 7% lower than the fourth quarter of 2008, thanks to a continuous focus on cost control and higher production. These operating results, paired with a 38% realized gold price increase, led to a 94% increase in our gold operating margin. Copper, as in the third quarter, also contributed significantly to our success. In the fourth quarter of 2009, we sold 72 million equity pounds of copper at $3.24 per pound with costs applicable to sales of $0.64 per pound. I want to acknowledge the dedication and commitment of our employees worldwide. We had a superb 2009.
Our total equity gold sales for the year, focusing on slide six, were 5.3 million ounces, falling in the center of the range for our original outlook. Our full-year costs applicable to sales of $417 per ounce also comes in the lower half of the original outlook range of $400 to $440. Due to the delayed completion of Boddington, our consolidated capital expenditures were $1.8 billion, above our original outlook range, and above our third-quarter outlook update of $1.6 billion to $1.7 billion. As we mentioned, the delayed start up of Boddington pushed this number higher for the year, as we continued to capitalize pre-commercial production and interest costs, until we achieved commercial production in mid-November.
I will now ask Brian Hill, our Executive Vice President of Operations, to take us through our operating details on a regional level.
"
291795,84673379,51616,"Newmont Mining Corp., Q4 2009 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Newmont Corporation","Executives","Thank you, Richard. Slide seven illustrates our regional performance as compared to our outlook for 2009. We are proud that across our entire portfolio, our focus on operational education produced equity gold sales and costs applicable to sales results in",461,"Thank you, Richard. Slide seven illustrates our regional performance as compared to our outlook for 2009. We are proud that across our entire portfolio, our focus on operational education produced equity gold sales and costs applicable to sales results in line with our original expectations, which speaks to the hard work, alignment, and dedication of our employees in each one of our regions.
In Nevada, we sold more than 2 million ounces of gold, just slightly ahead of our outlook, due to higher underground tons mined at Leeville and Deep Post, and higher leach recovery at Carlin North and Twin Creeks. Costs applicable to sales in Nevada were $521 an ounce, lower than our expectations due to higher production, fewer tons mined, partially offset by higher royalties, higher net proceeds taxes, and higher underground mining costs.
At our operations in Australia and New Zealand, we sold 1.3 million equity ounces of gold, below our original guidance of 1.5 million to 1.6 million ounces, due to the delayed start up at Boddington. Gold sales at Jundee again came in higher than expected, as we continue to have higher ore grade at this operation, which was offset by lower-than-anticipated sales at Tanami, due to lower ore grade and at Waihi, as a result of an electrical fire in the mill earlier in the year. Costs applicable to sales of $508 per ounce were above our original expectations, but were in line with our third quarter updated outlook.
At Yanacocha in Peru, equity gold sales reached 1.1 million ounces, beating our outlook due to higher mill throughput, ore grade, and recovery. Costs applicable to sales were $311 per ounce, just outside the top end of our original expectation of $290 to $310 per ounce, as higher gold prices resulted in higher royalty and workers’ participation costs, partially offset by higher mill production, and by product credits.
Our Ahafo operation in Ghana sold 546,000 equity ounces of gold, well above our expectations, due to higher ore grade and throughput, and a drawdown of finished goods inventory. Ahafo’s costs applicable to sales were $445 per ounce, better than expected due to lower mining costs as a result of lower than expected waste material mined and lower power costs.
And finally, equity gold sales at Batu Hijau in Indonesia were 239,000 ounces at costs applicable to sales of $214 per ounce, which was lower than expected, due to lower diesel and mining costs, and higher co-product allocation of costs to copper.
Across the portfolio, we are very pleased with our operational performance, and continue to look for innovative ways to improve upon these results.
Now, I will turn it over to Russell Ball, our CFO, to highlight some of the more interesting financial results for the year.
"
291795,84673379,51616,"Newmont Mining Corp., Q4 2009 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Newmont Corporation","Executives","Thanks, Brian. On slide eight, you will see our gold operating margin for 2009 grew 28% on an average realized gold price increase of 12%, demonstrating our ability to deliver gold price leverage to the bottom line. In 2009, gold operating margin of 57% i",291,"Thanks, Brian. On slide eight, you will see our gold operating margin for 2009 grew 28% on an average realized gold price increase of 12%, demonstrating our ability to deliver gold price leverage to the bottom line. In 2009, gold operating margin of 57% is an all-time high, and this does not take into account any benefits from our copper sales, which as Richard mentioned previously, grew significantly in 2009 and we look forward to an even stronger 2010.
As you can see from this chart, historically, our margins were in the 45% to 50% range, not too dissimilar from the rest of the industry. Now, with the continuing focus on cost control, and full of exposure to rising gold, copper, and silver prices, we are seeing substantial earnings in operating cash flow growth. For the 2005 to 2009 timeframe, gold margins increased by 175% on an average realized gold price increase of 122%.
On slide nine, you can see our operating cash flows in absolute dollar terms. 2009 was a record year, as we generated almost $3 billion of operating cash flow, an increase of 109% from 2008. Looking at the chart on the right side of this slide, you can see that we have an extremely strong balance sheet with over $3 billion in cash and cash equivalents. We have approximately $1.6 billion available under our revolving credit facility, plus approximately $1 billion in marketable securities. The $6 billion of available liquidity positions us well for funding internal growth to the development of our project pipeline, and potentially through acquisitions.
Now, I will turn it over to Guy Lansdown, our EVP for Discovery and Development, to talk about our 2009 exploration results, proven and probable reserves, and advanced products.
"
291795,84673379,51616,"Newmont Mining Corp., Q4 2009 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Newmont Corporation","Executives","Thank you, Russell. Looking at slide 10, as we mentioned earlier, our proven and probable gold reserves grew 8% in 2009 to approximately 92 million equity ounces, the highest result there was since 2006. At the same time, our copper reserves grew 17% to 9",844,"Thank you, Russell. Looking at slide 10, as we mentioned earlier, our proven and probable gold reserves grew 8% in 2009 to approximately 92 million equity ounces, the highest result there was since 2006. At the same time, our copper reserves grew 17% to 9.1 billion equity pounds, our highest level on record. Our exploration programs alone replaced over 90% of our gold production depletion. Gold addition came from all regions, with notable new ounces at the Gold Quarry pitch in Nevada, Boddington in Australia, underground operations across Australia and New Zealand, and at Ahafo in Ghana.
In addition to our 2009 equity copper reserves being the highest on record for Newmont, our equity copper NRM is at the highest level since 2003, largely due to the Boddington acquisition completed in January of 2009, and a greater economic interest in Batu Hijau in Indonesia. These increases, combined with our general exploration opportunities, will support future sustainability and growth in each of our operating regions. We have focused our exploration efforts across the full breadth of the (inaudible). We will continue to strengthen our reserve base, as we have budgeted $190 million to $220 million for exploration in 2010, a 10% increase from last year, 75% of which has been budgeted for new mine opportunities.
Turning to slide 11, we are excited about these two major projects in our African region, the Akyem project, which is up for a final development position and full funding approval in the third quarter of this year and as a beta expansion opportunity near our existing Ahafo operation. With respect to Akyem, as mentioned earlier this year, we recently received the mining lease from the Ghanaian government, and have commenced the necessary crop compensation and relocation work. We are committed to implementing industry-leading environmental and socially responsible practices, as we bring this project into production in late 2013 to 2014. We are extremely excited about this project, as we have come up with some innovative ways to reduce the project's capital costs and increase the return on capital. Current initial capital estimates are between $700 million and $1 billion, to produce between 480,000 and 550,000 ounces of gold per year, at average costs applicable to sales of between $350 and $450 per ounce. We are aggressively moving this project forward, and plan to spend approximately $100 million this year, 2010, on basic and detailed project engineering, land access, and building out on this team. As mentioned, we will be looking at making a go-forward decision in the third quarter of this year.
Looking at the Subika expansion project, we have identified a target of approximately 7 million to 9 million equity ounces of gold, of which approximately 3 million ounces are in proven and probable reserves, and the remainder is at earlier stages of definition, including underground operations. We began construction of an exploration beacon in February of this year, and are conducting simultaneous exploration drilling from both the surface and underground to further delineate this deposit. The Subika project will be our first underground operation in Ghana, and demonstrates the potential in and around our existing Ahafo operation.
Slide 12 highlights two other major projects, Conga in Peru, and Hope Bay in Canada. At Conga in 2010, we are advancing the permitting process in basic and detailed engineering, with a gate for full funding decision targeted for the end of the fourth quarter, depending on permitting. Conga is a large copper gold field, with consolidated reserves of approximately 12 million ounces of gold and over 3 billion pounds of copper. First production is currently anticipated for late 2014 to 2015, with average annual production of 650,000 to 750,000 ounces of gold, and 160 million to 210 million pounds of copper at competitive operating costs. The current initial capital estimate stands at between $2.5 billion and $3.4 billion, on 100% basis. Buenaventura is our partner on this project, and as with Yanacocha, Newmont earns 51.35%. We are very excited about this project. First, because it has an expected mine life in excess of 20 years, and because there is tremendous exploration potential in the district.
We are also excited about our vision for the advancement of our Hope Bay project in Canada. Positive 2009 drilling and regional exploration results, combined with a favorable review from our Jundee operations team in Australia, have reinforced our positive view of gold resource potential across the 80 kilometer Greenstone belt. We are advancing development with an underground focus, to be initiated with a decline at the Doris north deposit. Although still in the early stages, we are energized about this opportunity and we now have an experienced team and key contractors in place. With near-term development plans and district exploration for years to come, Hope Bay is a significant asset within our portfolio. We have $140 million to $170 million budgeted for 2010, primarily for exploration infrastructure and to advance the decline. We look forward to updating you on Hope Bay’s progress throughout the year.
Now, I will turn it over to Richard.
"
291795,84673379,51616,"Newmont Mining Corp., Q4 2009 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Newmont Corporation","Executives","Looking at our 2010 outlook on slide 13, equity gold production is expected to be between 5.3 million and 5.5 million equity ounces, driven by higher production from the Asia-Pacific region, as a result of the ramp-up of Boddington to full production, par",1145,"Looking at our 2010 outlook on slide 13, equity gold production is expected to be between 5.3 million and 5.5 million equity ounces, driven by higher production from the Asia-Pacific region, as a result of the ramp-up of Boddington to full production, partially offset by lower production from Nevada in North America, and at Yanacocha in South America, as a result of increased stripping and lower ore grades.
Total costs applicable to sales are expected to be between $450 and $480 per ounce, including the impacts of accounting for Boddington on a co-product basis. Total costs applicable to sales would be expected to be between $440 and $470 per ounce, including the impacts of accounting for Boddington on a by-product basis. Costs applicable to sales are up in 2010 from 2009 as a result of lower production at Yanacocha, and low production at Nevada. By the way, Boddington, on a standalone basis, would be about $295 to $315, announced on a by-product basis; and about $375 to $395, announced on a co-product basis.
Our copper production in 2010 is expected to be 350 million to 380 million pounds, at costs applicable to sales of $0.85 to $0.95 per pound, driven by higher production at Batu Hijau, and the ramp-up of slightly higher cost production at Boddington. We also expect to spend on a consolidated basis $1.4 million to $1.6 million in capital expenditures in 2010. This figure includes the capital related to aggressively advancing the development of our projects, which Guy spoke to earlier, and there is a chart in our earnings release, which goes into detail on the spending on those projects.
Moving to slide 14, at the time of our third-quarter earnings call, we announced that we believed our 2010 production would be up 5% to 10% from 2009 levels. Our outlook, as presented today, is at the bottom of that previous guidance, and I wanted to describe the major factors affecting this shift to the lower end of that range. As mentioned earlier, the biggest incremental contributor to our production profile in 2010 is Boddington, which we anticipate will produce 800,000 to 875,000 equity gold ounces in 2010. And that is slightly below our targeted 1 million ounce run rate, as we continue to ramp up to full production throughout 2010.
As you know, our Yanacocha operation continues to mature, since commercial operation began there in 1993, and we expect its production in 2010 to decline to between 750,000 and 810,000 equity gold ounces. Incrementally, this represents a decline of approximately 300,000 ounces from 2009. The primary reasons for the decline in production is lower leach placement, and lower mill ore grade. Looking forward, we expect South America’s production to remain near 2010 levels.
Turning to Nevada, our production outlook for 2010 is 1.6 million to 1.7 million equity gold ounces, approximately 17% lower than our 2009 production, due to lower production from the Carlin operations and the closure of Deep Post, partially offset by increased production at Leeville. The lower production at Carlin is due to a geotechnical event we experienced in late December at Gold Quarry, limiting access to ore that was originally scheduled to be mined in 2010 and 2011. Following the series of geotechnical mine planning and ore blending analysis conducted in January and February this year, up to approximately 150,000 equity ounces of gold production are expected to be deferred from Gold Quarry in 2010, with potential additional ounces deferred in 2011. We continue to study opportunities to safely accelerate the production of the ounces currently scheduled to be produced in 2012 and 2013. Of course, this event will not likely affect our life of mine plants for Gold Quarry, but it does defer the production of those ounces to 2012, 2013 timeframe. In total, we are expecting 2010 equity gold production to be between 5.3 million and 5.5 million ounces, which represents production growth potential of up to 5%.
Turning to copper, we expect to produce between 350 million and 380 million equity pounds of copper in 2010. That is up approximately 60% from 2009 levels. This is driven by the ramp-up of Boddington, as well as an assumed economic interest of 52.44% in Batu Hijau.
Looking at slide 15, our 2010 costs applicable to sales outlook compared to the 2009 actual figure, is that higher costs are primarily driven by lower production at Yanacocha and Nevada, as well as the change in accounting for Boddington from a by-product credit basis to co-product accounting. Boddington's low-cost production will benefit our 2010 costs applicable to sales as well, bringing the total costs applicable to sales for the year to between $450 to $480 per ounce as I mentioned earlier.
Our costs applicable to sales for copper will be slightly higher in 2010 compared to 2009, as a result of more costs being allocated to copper at Batu Hijau, as well as co-product accounting treatment at Boddington.
As previously mentioned, our consolidated capital expenditure outlook for 2010 is $1.4 billion to $1.6 billion, with approximately 30% invested in each of the North America and Asia-Pacific regions, and the remaining 40% at other locations. Approximately 60% of the 2010 capital budget is allocated to sustaining investments, with the remaining 40% allocated to project development, including the development of Akyem in Ghana, Conga in Peru, and Hope Bay in Canada. We will continue to provide additional information about our projects throughout the year.
In closing, our achievements in 2009 provide Newmont a strong and enduring foundation for strong operating results and project development capacity for decades to come. We have demonstrated that we have the ability to consistently deliver on our plans and do what we say we are going to do. We have also demonstrated our ability to deliver significant margin growth, and leverage to an increasing gold price. Our existing production base and focus on responsibly containing our costs have given us strong operating cash flow generation and a strong balance sheet to fund the development of our next generation of major gold and copper projects. As we embark on our next major mine development campaign, Newmont is well-positioned to take advantage of ongoing strength in metal prices. We are inspired by Newmont's ongoing transformation, as the changes we have implemented begin to yield noteworthy results for our shareholders and stakeholders.
And we are not done yet. As I stated at the beginning of this presentation, we are all committed to doing what it takes to make Newmont the most valued and respected mining company through industry-leading performance. Lastly, I again want to express my gratitude to our employees for delivering a record year, and for the foundation they are creating to ensure the future success of our company.
And with that, I would like to thank all of you for listening and open the call for questions.
"
291795,84673379,51616,"Newmont Mining Corp., Q4 2009 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Newmont Corporation","Operator","(Operator Instructions) John Bridges, your line is open.",8,"(Operator Instructions) John Bridges, your line is open.
"
291795,84673379,51616,"Newmont Mining Corp., Q4 2009 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Newmont Corporation","Analysts","Thank you. And good morning, Richard.",6,"Thank you. And good morning, Richard.
"
291795,84673379,51616,"Newmont Mining Corp., Q4 2009 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Newmont Corporation","Executives","Hey, John.",2,"Hey, John.
"
