"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
306013,83890672,45724,"SUPERVALU Inc., Q3 2010 Earnings Call, Jan-12-2010",2010-01-12,"Earnings Calls","SUPERVALU INC.","Operator","Good morning. My name is Carrie, and I will be your conference operator today. At this time, I would like to welcome everyone to the SUPERVALU Third Quarter Earnings Release. [Operator Instructions] I would now like turn the call over to Ken Levy, Vice Pr",55,"Good morning. My name is Carrie, and I will be your conference operator today. At this time, I would like to welcome everyone to the SUPERVALU Third Quarter Earnings Release. [Operator Instructions] I would now like turn the call over to Ken Levy, Vice President of Investor Relations. Mr. Levy, you may begin your conference."
306013,83890672,45724,"SUPERVALU Inc., Q3 2010 Earnings Call, Jan-12-2010",2010-01-12,"Earnings Calls","SUPERVALU INC.","Executives","Good morning, and welcome to SUPERVALU's fiscal 2010 third quarter conference call. I'm pleased to have recently joined SUPERVALU as the Vice President of Investor Relations and look forward to working with you in the future. With me on today's call are C",173,"Good morning, and welcome to SUPERVALU's fiscal 2010 third quarter conference call. I'm pleased to have recently joined SUPERVALU as the Vice President of Investor Relations and look forward to working with you in the future. With me on today's call are Craig Herkert, SUPERVALU's Chief Executive Officer and President; Pam Knous, Executive Vice President and Chief Financial Officer; and David Oliver, CFO of SUPERVALU Supply Chain Services. Following prepared marks from Craig and Pam, we will open up the call for questions and answer session. Thereafter, Craig will return with some closing remarks. As you know, the information presented and discussed today includes forward-looking statements, which are made under the Safe Harbor provisions of the Private Securities Litigation Reform Act of 1995. The risks and uncertainties related to such statements are detailed in our fiscal 2009 10-K. Today's call will be available for replay on our website at www.supervalu.com. Dave and I will be available after the call for any additional questions. I will now turn the call over to Craig Herkert."
306013,83890672,45724,"SUPERVALU Inc., Q3 2010 Earnings Call, Jan-12-2010",2010-01-12,"Earnings Calls","SUPERVALU INC.","Executives","Good morning, and thank you for joining us today. With the start of the new year, I want you to know that I'm approaching fiscal 2011 optimistically. This isn't because I see a robust pickup in the economy because frankly, I don't. It is because I believe",2807,"Good morning, and thank you for joining us today. With the start of the new year, I want you to know that I'm approaching fiscal 2011 optimistically. This isn't because I see a robust pickup in the economy because frankly, I don't. It is because I believe SUPERVALU is running its business better and that means we are in control of our own destiny.Let me be specific here. The work streams that we previewed with you in October are showing traction and that makes me confident that they will deliver meaningful and visible results in the year ahead. I'm pleased to announce that SUPERVALU reported net earnings of $0.51 per diluted share on net sales of $9.2 billion for the third quarter, exceeding the consensus estimate. These results were achieved against significant economic headwinds and consumer spending trends, which have heightened competition throughout our industry.You've heard me say that grocery retail is a business and I believe that our results show that we are getting back to basics. Clearly defined areas of accountability are helping to fuel more intelligent data-driven decision-making throughout our organization. Today, SUPERVALU's associates understand better their respective roles and responsibilities and I am proud of their accomplishments and dedication to improving the shopping experience for our customers.This quarter's earnings performance reflects our product risks and initiatives we set into motion earlier this year. Our margins held up well, which is the direct result of improved communications and stronger relationships between our corporate merchants and our banners. In general, we saw more effective promotional spending, which helped to stabilize gross margins and we also benefited from good expense controls. Either with this meaningful progress, work still remains. I am not satisfied with the same-store sales performance but believe that our company is gaining momentum on key initiatives and behavioral changes that are designed to improve sales in fiscal '11 and beyond as they are implemented across our company. My objective is to position the company for long-term sustainable growth. While Pam will discuss details of our financial performance shortly, I did want to touch up on four items that I view as particularly important to the quarter.First, the quarter was a tough quarter and one in which we made difficult decisions in terms of striking the right balance between sales and promotional investment. I'm pleased to report that we achieved the appropriate balance and our results validate these decisions. As you may recall, our retail gross margins were off 60 basis points in the second quarter and 80 basis points in the first quarter when compared to last year. Clearly, our promotional activities during the first half of the year were costly and did not produce the sales and margin results that we had hoped for. In contrast to the first two quarters, our third quarter retail gross margins were off by only 10 basis points relative to the prior year. At our very core, we remain a promotional retailer as our promotional mix increased by 350 basis points compared to last year. However, we will not sacrifice margins but promotional activities, which we do not believe will influence long-term customer loyalty. Rather, our goal is to offer every everyday pricing that customers believe to be fair and merchandise that is relevant to the local markets where we serve.Second, we're making progress in narrowing the gap between our regular shelf price and our promotional prices. I can say this because our pricing surveys validate this effort. Today, price improvements have been driven through centralized decision-making, the consolidation of vendors, sometimes even leading to exclusive providers and leveraging the scale of our 4,300 store network. Fair pricing is top of mind at SUPERVALU and I'm pleased with the progress that we've made this quarter. Third, it is important to note that segment EBIT margins improved in third quarter relative to the prior two quarters. Third quarter retail EBIT, excluding the benefit of Salt Lake City, was 3.5% compared to 3.9% last year, but well ahead of the 2.5% last quarter and the 3.1% in the first quarter. Our Supply Chain business also achieved its operating goals, even after fully transitioning the Target business, delivering 3.1% compared to 3% a year earlier. I recognize that one quarter is not a winning streak, but I am starting to count.And finally, SUPERVALU is fulfilling its long-term commitment to reduce debt and regain financial flexibility. With our exit of the Salt Lake city market, the company reaped $150 million in after-tax proceeds. These funds have been applied to outstanding debt and through the end of Q3, debt is down over $300 million. We remain on target to pay down $700 million in fiscal '10.As a backdrop to the quarter, the overall industry remains challenged by the economic environment, heightened competitive activity and deflationary pressures. Deflation continued in November with a CPI food and home index declining 2.9% year-over-year. This figure was generally in line with October's reading and driven primarily by dairy and produce. Further, I believe the value orientation of today's shopper is secular and will remain with us for the foreseeable future.Industry-wide, we are seeing increased promotional activity targeting the thrift-conscious consumer. In my 30 plus years in retail, I've never witnessed the intense level of price reductions and promotional activity now occurring. My belief is that the recent industry trend toward lower pricing is here to stay. However, a hyper promotional environment can encourage routine cherry-picking and may not, in my view, necessarily builds long-term brand equity.This trend has only intensified an already competitive landscape. Consumers have become adept to tracking weekly advertisements and executing with surgical precision the purchase of those items that maximize their own savings. Accordingly, price tactics once used to drive foot traffic and tonnage are now driving lower transaction size and margin erosion.I'm sure many of you are wondering how this tough environment will impact SUPERVALU's full year earnings guidance. To that, I would respond that our earnings outlook for the fourth quarter fully captures the competitive retail climate in today's thrift-conscious consumer. We entered the fourth quarter with many headwinds including weak sales trends, however, we continue to focus on the basics of food retailing, placing the customer at the center of everything we do. We remain comfortable with the earnings guidance previously provided for fiscal '10 of diluted earnings per share within a range of $1.95 to $2.05. Now I'd like to turn my attention to the long-term outlook for the company and so doing, add more color to the vision that I outlined in our last call. SUPERVALU possesses many unique strengths, including a diverse network of owned and supplied stores. My vision for the company builds upon these tremendous assets integrating SUPERVALU's multiple distinct businesses to better serve our customers.As I said, future growth for the company will emphasize geography over ownership or banner and be driven by long-term strategic impact, rather than by quarter-to-quarter sales and earnings. I am optimistic about the future of this company and believe that there is significant untapped value. My goal as a steward of the stockholder is to capture the value for our investors, customers, affiliated independent retailers and employees.The principles that guide my decision making, at least at a high level, can be summarized as follows: Maximize the strength inherent in our diverse formats; effectively leverage our size and scale; nurture the unique brands we possess; create a sustainable competitive advantage that is relevant, differentiated and compelling for our customers; and finally, deliver financial results indicative of the growth company. Over the long term, as we execute against this vision of ""America’s Neighborhood Grocer"", we will improve on our return on invested capital by maximizing the value of our diverse store network and asset base. We will diligently review our existing portfolio and will take action to monetize assets where it makes sense.As I said in the past, SUPERVALU is capable of producing long-term financial results characterized by top line annual growth of approximately 4%, annual improvement in EBIT of 8%, bottom-line growth of 10% annually and a return on invested capital of 15%. While these goals will not be reached overnight, they are achievable by making fundamental changes to the management of our company in weaving together the fragmented operations of our traditional retail, hard discount and wholesale businesses.As CEO, one of my primary responsible is to build a leadership team that will execute on SUPERVALU's new vision. I'm happy to announce today that three new executives have joined our team. The first is Steve Jungmann, who will serve as Executive Vice President of Merchandising. Steve brings 25 years of sales and marketing experience to SUPERVALU, including a long tenure at Kraft and his most recent work with Solo Cup Company. His deep knowledge in consumer behavior and corporate planning will aid him in overseeing merchandising for all of our retail banners. Next, Chuck Elias will be SUPERVALU's Group Vice President of Strategic Planning. Chuck brings over 20 years of experience in operations and strategic management and has held leadership positions at Home Depot and General Electric. Finally, Keith Wyche joins us as President of Cub Foods. Most recently, Keith led U.S. operations for Pitney Management Services and brings 28 years of strong leadership experience to our company. Steve, Chuck and Keith strengthen SUPERVALU's management team and I look forward to their contributions as members of my leadership team. Last quarter I shared with you the major tenets of my vision for SUPERVALU. Among these was the decision to operate our multiple, distinct businesses as one cohesive entity. This is a departure from how SUPERVALU has historically viewed itself, so I'd like to spend a bit more time discussing the strategic benefits of this new operational paradigm.As you know, SUPERVALU is a large company serving a wide range of customers and neighborhoods nationwide, through both owned and affiliated locations. No one format we operate can effectively meet the varied needs of consumers in all the markets we serve. However, our complementary operations in multiple formats are key strengths that both differentiate SUPERVALU from other retail competitors and provide us significant flexibility in addressing the local needs of each market.In the second quarter, we talked about Chicago as a specific example of this opportunity. As I've traveled across the country, I've seen a number of other markets where our traditional retail format does not necessarily resonate with all of the customer preferences in that market. In these markets, there are niche ethnic players, high-end retail operators and other independent stores that do an excellent job in serving their diverse customer bases. The differentiator for these retailers is that they are hyper local, they exist to serve a narrow segment to the population and know their customers needs intimately. For example, some of the Hispanic retailers I met during my trips operate in-store at the [indiscernible] and offer vast arrays of meats and cheeses, as well as freshly prepared foods, tailored to their neighboring customers. Partnering with these local entrepreneurs will allow SUPERVALU to capture incremental market share that today is not available through our traditional retail banners. While we have a meaningful retail presence in many major markets across America, focusing on hyper local independents will offer SUPERVALU another incremental growth opportunity that leverages existing capabilities without having to invest in retail store locations. Again, this is incremental growth that would not come from our retail banners as they exist today and it is a unique growth opportunity available only at SUPERVALU. I should also point out that our Save-A-Lot format is another brand not present in many of these markets and will represent a catalyst for growth over the long term.By thinking of our business holistically rather than by banner or ownership, we will be more agile and better able to capitalize on expanded market opportunities. Among the growth vehicles that SUPERVALU possesses, none is as potent as Save-A-Lot. I'm committed to doubling the size of this hard discount format over the next five years. As you saw this morning's press, next year's capital plans calls for doubling of Save-A-Lot's new store openings. We continue to refine our execution with the opening of each new store and have approved an aggressive growth plan for our fiscal '11, which includes opening 100 locations, leveraging our existing network across the U.S.We believe the current commercial real estate market only enhances the already strong growth opportunities available to Save-A-Lot. Over the past four months, our real estate team has been working at a feverish pace to build fill pipeline. Already, we're seeing interest from new prospects to licensed Save-A-Lot stores and we continue to market locations to existing licensees. We believe our ability to grow with both licensed and corporately owned stores will ensure that Save-A-Lot achieves its growth target and maximizes the potential of this format. As we look to the future, speed and simplicity will be SUPERVALU's mantra, especially from an operating perspective. We will shine a light on inefficiency and bureaucratic decision-making to streamline operations and facilitate nimble action. As I commented last quarter, we are embarking on a metamorphosis that will redefine and reposition the company over the long-term. Going forward, we will be ""America’s Neighborhood Grocer"", a company that is focused on the consumer with fair everyday prices, partnering with the finest independent retailers in the country, operating with a lower cost structure, ruthlessly allocating capital, leveraging our national scale while remaining locally relevant, operating with best in class systems and easier to do business with. We will honor our pledge as stewards of the environment and will return to an investment grade company. Since the second quarter, we have taken actions to eliminate redundancies, make decision making more transparent and bring uniformity to information systems and business reporting activities. I'd like to highlight our progress on these areas to illustrate how SUPERVALU is coding speed and simplicity into its corporate DNA and everyday interaction with customers. We're now delivering clear more visible value statements to consumers in our stores, our promotional areas and grocery endcaps are much simpler, displays have been limited to two significant sale items to draw attention to the best values we offer, we streamline procurement of advertising by centralizing decision-making and negotiating better distribution and print rates for our weekly circulars, we remain on track to complete SKU rationalization across our retail network within the next 15 months. Let me add that SKU rationalization is going well. During the quarter we completed the review of 15 product categories that will be implemented beginning in February. Among the categories we looked at was bath tissue. To give you some insight into this category, each national brand offers multiple distinct varieties tissue and historically, SUPERVALU has carried four- to five-pack sizes in each assortment. This practice creates inefficiencies in stocking and visual noise for the customer. By February, we will have paired back tissue SKUs used by 25%. This will reduce the number of package sizes across brands, but still keeps those varieties that are most relevant to our customer. This will increase holding power for our best selling items and add space for SUPERVALU's own brands. If you think about what this does, it makes shopping easier because it reduces clutter and more clearly defines choices for consumers. It also makes it easier for our store associates who manage inventory and logistics. Consider this, the changes in this one category will eliminate one supplier from our operations, reduce stored inventory by one palette and trim in-store labor associated with maintenance. Now multiply these savings by 1,200 stores in our traditional retail network. You can see where I'm going. What each category review and implementation, SUPERVALU drives savings and improves the shopability of our stores. Finally, we've implementing guard rails around our own brand pricing. We're no longer bashful in endorsing our wide assortment of own brand products, with more prominent positioning on our shelves and representations on our displays.The last thing I want to cover is SUPERVALU's most recent store-level of customer satisfaction survey. I introduced this survey on our last call and am delighted to report that for the second consecutive quarter, customer scores improved by 300 to 600 points when asked about the quality and freshness of our perishables, courtesy and friendliness of our checkers, if they would recommend us to others and our overall price competitiveness. I would also add that Save-A-Lot scores are showing similar upswing. As always, I appreciate your continued interest in SUPERVALU and believe that the positive traction that you have begun to get to see this quarter is a good indicator of future trends and underscores our commitment to getting back to the basics of retail. With that, let me now turn the call over to Pam for additional information on our financial results."
306013,83890672,45724,"SUPERVALU Inc., Q3 2010 Earnings Call, Jan-12-2010",2010-01-12,"Earnings Calls","SUPERVALU INC.","Executives","Thank you, Craig, and good morning, everyone. In addition to providing some comments on the third quarter, which ended December 5, I will also cover SUPERVALU's financial condition and outlook for the fourth quarter.Let me begin with the observations that",1907,"Thank you, Craig, and good morning, everyone. In addition to providing some comments on the third quarter, which ended December 5, I will also cover SUPERVALU's financial condition and outlook for the fourth quarter.Let me begin with the observations that touch upon today's operating environment. First and foremost, unemployment remains high and the behavior of today's consumer can best be characterized as cautious. With national unemployment sitting at 10%, a level not seen since the of summer of 1983, many Americans are concerned about our financial future and have responded to this uncertainty by changing their shopping and savings habits. Consumer confidence, which is closely linked to the labor market, has improved slightly, but it is languishing near historical lows. Interestingly, the Conference Board, which publishes this index, attributes the modest improvement in recent months to a decline in the percent of consumers expecting business conditions to worsen as opposed to an increase in the percentage of consumers expecting it to improve. In short, less bad seems to be the new good. This environment poses practical challenges for consumers as well as for retailers. Consumers remain concerned about their jobs and have become even more value-conscious in making everyday decisions.Retailers have responded by investing in price, increasing promotional activities, reducing inventories and adjusting staffing to accommodate today's consumer. Compounding these challenges, we have also seen five consecutive months of year-over-year deflation in the CPI food at home index, a trend that benefits consumers that had pressured the top line of food retailers. The general sentiment seems to be that inflation will return in 2010 and we expect to begin cycling deflation in variant produce in our fourth quarter. With that as a backdrop, let me turn my remarks to our third quarter results.As Craig stated, we are pleased to announce that SUPERVALU's third quarter earnings per diluted share were $0.51, which included a $0.06 gain from the sale of [indiscernible] from Salt Lake City market and a $0.01 charge for previously announced foreclosures. Adjusting for these two items, our earnings per share of $0.46 exceeded First Call consensus of $0.40 and compares to earnings per share of $0.62 a year earlier before $14.57 in non-cash impairment charges. As Craig stated, quarter three was a tough quarter. Net sales were $9.2 billion compared to $10.2 billion last year, a decline of 9.4%. The change in year-over-year sales was driven by our exit from the Salt Lake City retail market, the impact of previously announced store closures, the transition to self distribution by the Target Corporation and negative 6.5 ID sales. The fall in identical store sales was attributable to a 2% decline in customer count and a 4.5% drop in average basket size.So what makes up the 4.5%? Consistent with my comments on our second quarter, the quarter three transaction size was again impacted by high levels of deflation, accelerating by 40 basis points over quarter two to approximately 1.2% in quarter three. Deflation was most pronounced in the dairy and produce categories. Trade down remained a factor as customers continue to look for ways to stretch their shopping dollars. Overall, we estimate the impact of trade down was about 100 basis points. One favorable side effect of this behavior was improved penetration of our own brand products, which increased slightly to 17.6% of sales, and now represent 21% of total units sold. Initial fourth quarter data shows continued improvements in own brand penetration, highlighting our merchants' increased focused on first tier label. We continue to see approximately one half item less per transaction. This trend was driven by the same factors I spoke to last quarter, mainly consumers' adherence to shopping lists and a reduced willingness to add impulse items to their baskets.Lastly, to comment on the change in customer count to negative 2% in quarter three, we were not surprised to see this slight decrease over the quarter two run rate of 70 basis points, as it is the direct result of our decision to eliminate ineffective promotions. Our ID sales guidance for full year F10 is approximately negative 5%, as the fourth quarter is trending comparable to the third quarter.Turning to operating earnings, we delivered good results despite a challenging environment. Excluding one-time items in both periods, retail food operating earnings were 3.5% of sales in the third quarter compared to 3.9% a year earlier. Supply chain operating earnings were 3.1% of sales in the third quarter compared to 3.0% a year earlier. Let me provide some additional detail on these results beginning with retail food. The 40 basis point change in operating earnings is composed of a 10 basis point decline in gross margin and a 30 basis point increase in expenses as a percentage of sales.The gross margin rate during the quarter primarily reflected price and promotional investments, which were partially offset by a lower LIFO charge. The gross margin rate was down only slightly to last year, as we did a good job balancing our promotional spending during the highly promotional holiday period. On the expense side, the largest driver of the 30 basis point increase was lower sales. Yes, expense reductions were a focus during the quarter and excellent progress was made. However, these results were not sufficient to offset reduced sales leverage.I would like to share various initiatives on which we are currently working to improve SUPERVALU's cost structure as we strive to achieve the 50 basis point selling and administrative reduction we had targeted for the long term. First, workforce productivity. So far this year, metrics per ton per item and time per customer, as well as overtime hours improved concurrent with front-end customer satisfaction scores.Next, reductions in store capital cost. Both traditional and hard discount remodel costs are down an average of 10% to 30%. We are also driving lower energy consumption. Energy costs are down 2% through efforts that include lighting retrofits and the installation of case curtains to reduce cold air loss during off hours.And finally, we are reducing in-store costs. We are leveraging SUPERVALU's scale to save dollars in procuring goods and services not offered for resale including floor maintenance, in-store product demos, bags and print services.I do want to also comment that our supply chain team did an excellent job managing operations in the quarter and posted a 10 basis point improvement in operating margin as a percent of sales year-over-year. Efficiency initiatives fully offset the completion of Target's previously announced transition of certain volumes to self [ph] distribution. As well as in the third quarter, we saw at the cumulative benefits of standardization of our distribution centers, the consolidation of East Coast operations and the mechanization of our Lancaster facility.Let me now turn to our financial condition starting with capital spending. This quarter we opened one new traditional store, our Shaw's Chestnut Hill location, which Craig spoke to on our last quarter call, and it is off to a great start. And we completed 24 major store remodels. At the end of quarter three, almost 70% of our stores were either new or newly remodeled within the past seven years and we expect to finish the fiscal year close to this level.This morning's release provided guidance on fiscal '11 capital, which includes new customer facing initiatives designed to drive sales. We commented last quarter that we are now comfortable with the overall condition of our facilities and consistent with our customer-focus vision, are now turning our attention to new merchandising activities within the four walls of our stores. We expect to cut well over 300 locations in fiscal '11 with these activities, allowing us to be locally relevant with compelling differentiated offerings, yet not requiring the level of capital investments captured in our seven-year metric.It is particularly exciting for me to share the coming year's capital plan, which doubles the number of Save-A-Lot store to openings relative to fiscal '10, as we begin the task of doubling the size of our hard discount format. Since we launched this growth objective late in October, I have met personally with a number of Save-A-Lot licensees in their respective markets to learn about their businesses, understand their growth objectives and hear what we can do to support their growth. We are confident with our new focus on Save-A-Lot growth, that we will achieve 100 openings in fiscal '11.Turning to the balance sheet, SUPERVALU remains on plan to reduce debt by $700 million in this fiscal year. In fact, year-to-date through last week, we reduced total debt by $580 million and have reduced over $1.6 billion in total debt since our acquisition of Albertsons in 2006. We remain in compliance with our debt covenant, including the most restrictive levels that take effect as of the end of the fiscal year. For the trailing 12 months, EBIT, excluding impairment and non-operating charges, totaled $1.4 billion. Depreciation and amortization was $1.0 billion. Net rent expense was $0.4 billion and total debt, including capital leases, was $8.2 billion, reflecting the typical seasonal borrowing peak.We finished the third quarter with approximately $1.5 billion in total borrowing capacity available to us under our revolving credit in AR facilities. As we look towards future debt maturities, we have sufficient cash flow and available borrowing capacity to meet our fiscal '11 obligations, which total approximately $1.2 billion. Our senior credit facility expires in June of fiscal '12. As we think about replacing this facility, we recognize that today's credit markets indicate less favorable rates than we presently have.We are actively engaged with our banking partners to determine the appropriate time and manner to replace the facility and would expect it to reflect terms indicative of our strong cash flows. As you likely recall, when we announced the exit of the Salt Lake City retail market, we stated that the overall impact of the transaction would be negligible to our results. As a recap, we did record approximately $0.04 of impairment charges in the second quarter. The transaction closed in the third quarter, netting a $0.06 gain, and we expect an additional $0.01 in exit cost in the fourth quarter for a full year favorable net impact of $0.01.We affirm fiscal '10 guidance for net earnings per diluted share in the range of $1.95 to $2.05 on a GAAP basis and $2.01 to $2.11 on an adjusted basis when excluding costs related primarily to previously announced store closures. Based on this outlook, our fourth quarter GAAP earnings guidance is a $0.56 to $0.66 per diluted share and compares to adjusted earnings of $0.81 in the fourth quarter of last year, which excludes $0.06 for the 53rd week.In April, as we have traditionally done in the past, we will provide guidance for fiscal '11 sales and earnings per share as well as our debt-reduction target. And as promised last quarter, we will also provide additional disclosures in terms of operating metrics and market shares to improve transparency into our Retail, Hard Discount and Wholesale businesses.Let me close by saying that the balance of this year will be challenging. We made real progress in the third quarter in stabilizing our margins and we remain focused on retail basics to better meet the evolving needs of our customers. I look forward to updating you in April on our fourth quarter results and our outlook for fiscal '11. I will now open up the call for your questions, and following Q&A, Craig will provide some closing remarks. Thank you."
306013,83890672,45724,"SUPERVALU Inc., Q3 2010 Earnings Call, Jan-12-2010",2010-01-12,"Earnings Calls","SUPERVALU INC.","Operator","[Operator Instructions] Your first question comes from the line of Deborah Weinswig with Citigroup.",14,"[Operator Instructions] Your first question comes from the line of Deborah Weinswig with Citigroup."
306013,83890672,45724,"SUPERVALU Inc., Q3 2010 Earnings Call, Jan-12-2010",2010-01-12,"Earnings Calls","SUPERVALU INC.","Analysts","Craig, can you just really help us think about the investments that were made in the third quarter from a promotional perspective and what that do with the top line data and maybe help compare and contrast that to the first and second quarter?",44,"Craig, can you just really help us think about the investments that were made in the third quarter from a promotional perspective and what that do with the top line data and maybe help compare and contrast that to the first and second quarter?"
306013,83890672,45724,"SUPERVALU Inc., Q3 2010 Earnings Call, Jan-12-2010",2010-01-12,"Earnings Calls","SUPERVALU INC.","Executives","Well, Deborah, I would say, what we're trying to do is, we've got -- I may have mentioned in the past, we've got a very strong analytics team here at SUPERVALU. And what we're doing today and we have more work to do, but what we see in the third quarter i",245,"Well, Deborah, I would say, what we're trying to do is, we've got -- I may have mentioned in the past, we've got a very strong analytics team here at SUPERVALU. And what we're doing today and we have more work to do, but what we see in the third quarter is a better integration of that analytics group into our ad-planning process. So I don't know that I want to go market by market or week by week and talk about a particular program. But we're getting a whole lot better each week at not running programs that frankly, might drive traffic, but only cost the customer to buy that item and then to leave. What we're interested here in doing is driving loyalty and traffic with customers who want to actually do their shopping at our stores. So we look at our promotional spend as a vital important part of who we are, but it is only part of who we are. We have arguably -- as many or more work streams going on today to address all the other parts of the store experience so that the consumer can make a choice to shop at our stores based on more than just the weekly ad. But again, I want to be clear, the weekly ad is important to us and we're trying to get smarter and better about what we put in that ad. I'm not sure if I answered your question."
306013,83890672,45724,"SUPERVALU Inc., Q3 2010 Earnings Call, Jan-12-2010",2010-01-12,"Earnings Calls","SUPERVALU INC.","Analysts","I mean, in terms of -- so it sounds like going forward, that they're -- and part of it is the kind of the centralized marketing and merchandising that SUPERVALU has put together, but you have the analytical capabilities to basically be more effective with",59,"I mean, in terms of -- so it sounds like going forward, that they're -- and part of it is the kind of the centralized marketing and merchandising that SUPERVALU has put together, but you have the analytical capabilities to basically be more effective with your promotional calendars in terms of driving sales and through more effective gross margins."
306013,83890672,45724,"SUPERVALU Inc., Q3 2010 Earnings Call, Jan-12-2010",2010-01-12,"Earnings Calls","SUPERVALU INC.","Executives","Yes, exactly right. I think, we're using the talent that we have here and the skills and the data that we have. But again, I want to be clear, we would self profess that we have more work to do in that area. But we're on our way, which is good news.",52,"Yes, exactly right. I think, we're using the talent that we have here and the skills and the data that we have. But again, I want to be clear, we would self profess that we have more work to do in that area. But we're on our way, which is good news."
306013,83890672,45724,"SUPERVALU Inc., Q3 2010 Earnings Call, Jan-12-2010",2010-01-12,"Earnings Calls","SUPERVALU INC.","Analysts","And what's the impact because obviously, you have a loyalty card in many of your stores but you don't in a Save-A-Lot store so what impact does that have on the analytical capabilities?",34,"And what's the impact because obviously, you have a loyalty card in many of your stores but you don't in a Save-A-Lot store so what impact does that have on the analytical capabilities?"
