"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
610501,85029662,48799,"Spectra Energy Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Spectra Energy Corp","Operator","Good morning. My name is Trinity, and I'll be your conference operator today. At this time, I would like to welcome everyone to the Spectra Energy 2009 Year End Earnings Conference Call. [Operator Instructions] Thank you. Mr. Arensdorf, you may begin your",43,"Good morning. My name is Trinity, and I'll be your conference operator today. At this time, I would like to welcome everyone to the Spectra Energy 2009 Year End Earnings Conference Call. [Operator Instructions] Thank you. Mr. Arensdorf, you may begin your conference."
610501,85029662,48799,"Spectra Energy Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Spectra Energy Corp","Executives","Thanks, Trinity, and good morning, everyone. I'm John Arensdorf, Chief Communications Officer for Spectra Energy and I'd like to thank you for joining us today. As you know, we are with many of you recently in New York providing an overview of our 2010 bu",268,"Thanks, Trinity, and good morning, everyone. I'm John Arensdorf, Chief Communications Officer for Spectra Energy and I'd like to thank you for joining us today. As you know, we are with many of you recently in New York providing an overview of our 2010 business and financial plan, and we're pleased to share with you today our 2009 fourth quarter and year-end results. Leading our discussion today will be Greg Ebel, our President and CEO; and Pat Reddy, our Chief Financial Officer. Greg is going to begin by sharing his perspective on our 2009 performance, and Pat will provide detail and context around our fourth quarter and year-end financial results.  We'll move quickly through our presentation to allow ample time for your questions. In addition to the slides we'll cover with you today, you'll find in the materials on our website an appendix of information that we think you'll find helpful. As you know, some of what we'll discuss today concerning future company performance will be forward-looking information within the meanings of the securities laws. Actual results may materially differ from those discussed in these forward-looking statements, and you should refer to the additional information contained in Spectra Energy's Form 10-K and other filings made with the SEC concerning factors that could cause those results to differ from those contemplated in today's discussion. In addition, today's discussion will include certain non-GAAP financial measures as defined under SEC Regulation G. A reconciliation of those measures to the most directly comparable GAAP measures is available on our website at spectraenergy.com. So with that, let me turn things over to Greg."
610501,85029662,48799,"Spectra Energy Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Spectra Energy Corp","Executives","Thank you, John, and good morning, everyone. We appreciate you joining us today and I'm pleased that we've got good result to share with you. 2009 was indeed a good year for Spectra Energy and our investors. As you've seen, we reported ongoing fourth quar",1087,"Thank you, John, and good morning, everyone. We appreciate you joining us today and I'm pleased that we've got good result to share with you. 2009 was indeed a good year for Spectra Energy and our investors. As you've seen, we reported ongoing fourth quarter net income of $217 million compared with $197 million in 2008 or about a 10% increase. And for all of 2009, we earned $1.18 per share beating our original forecast of $1.60 per share, even in light of lower NGL prices and an equity offering early in the year. The composition of our 2009 earnings underlines the power and resiliency of our diversified portfolio. Our investors benefited from 10 projects we placed into service in 2009. Projects that are earning returns above our targeted level both today and I expect for the longer-term. We began seeing improved commodity prices during the fourth quarter for Western Canada in Field Services, and we are pleased that, that momentum is continuing into 2010. We also took steps during 2009 to position our company for continued success over the longer term. Earlier in the year, we bolstered our financial flexibility, and we've consistently maintained adequate liquidity to fund all of our activities. We're achieving good growth, sustainable growth from our core businesses. And we've financed strategic acquisitions through our MLPs [master limited partnership], Spectra Energy partners and DCP Midstream Partners. So, 2009 was a good year in and of itself, and an even better year in terms of positive positioning it provided for consistent earnings growth. During the year of uncertainty and economic downturn, Spectra Energy was able to rely upon its core strengths. A resilient forward-looking business model, financial strength and flexibility, diversity of robust sector-leading businesses and operational excellence. Consider the almost $3 billion in capital projects we signed in 2009, including the New Jersey/New York expansion, TIME III, TEMAX, TEAM 2012 and the Fort Nelson Expansions. All of these projects are underpinned by long-term binding-fee based contracts that will provide attractive returns. In fact, last year, we signed more contracts for new major and natural gas infrastructure projects than any other company. That says a lot about our responsiveness to growing demand markets, our ability to expand our asset footprint and our commitment to grow value for investors and customers alike, even in challenging economic times. Let's take a look now at what we're doing to ensure we deliver on our plan. We're very clear on our long-term purpose and milestones needed to lead our sector as the company of choice and the investment opportunity of choice. We share this slide with you on January 22, but want to reiterate it. This year, we'll deliver $1.42 in ongoing fully diluted earnings per share based on an average oil price of $80 a barrel, an NGL price of $0.95 a gallon and a natural gas price of $5.50. We provided you with our sensitivities to these factors so that you can insert your own commodity assumptions. For example, all things being equal, if commodity prices and the Canadian dollar were to remain unchanged all year from about where they are today, then our $1.42 EPS could move to the mid $1.50 range. We will, of course, maintain our annual dividend of at least $1 per share. We'll continue to effectively execute on our 2010 to 2012 capital expansion plan, placing some $900 million of projects in the service in 2010, projects that will deliver returns on capital in excess of 12%. And as you can see, we're focused on superior execution in 2010. But we're also focused our sights on long-term success and achievement. We're looking at opportunities beyond 2012 and well into the future. Some of those are regional opportunities like those we're acting upon in the Marcellus, in the Horn River Basin and others are demand-related, like power conversions in the in the Southeast, similar to our Northeastern Tennessee project where we're working with TVA [Tennessee Valley Authority] to provide about $150 million cubic feet a day of firm capacity on East Tennessee to a TVA generating facility. As this project will be completed at SEP [Spectra Energy Partners], I expect they'll provide more details on the project during their call tomorrow. We also have a slate of excellent projects self financed at DCP. We'll continue to use our MLPs, as appropriate, to take advantage of acquisition opportunities as they come along, as we did just like last week at DCP Midstream's MLP. Over the next five years, we see growth opportunities on of at least $1 billion per year, with returns on capital averaging 12% to 14%. These growth projects provide us with the confidence to tell our shareholders to expect a strong, sustainable level of earnings growth, this year and into the future. We expect our compound annual EPS growth rate between 2010 and 2012 to be in the 8% to 10% range. That kind of EPS growth, coupled with our attractive dividend, should give investors the opportunity to realize annual total shareholder returns in the range of 12% to 14%. That's the value proposition I believe our shareholders should find compelling today and over the longer term. Let's take a look at our record of project execution. You'll recall that when we launched Spectra Energy back in 2007, we committed to you to invest about $1 billion per year in fee-based businesses at an attractive return in the 10% to 12% range. Well we're not only meeting those commitments, we're actually exceeding them. Between 2007 and 2009, we placed into service 42 fee-based expansion projects totaling more than $3 billion, all while maintaining a strong balance sheet and improving credit metrics. And, as I said earlier, going forward, we see opportunities of at least $1 billion a year. In the next five years, between 2010 and 2014, that implies that we could invest about $5 billion in expansion growth. Realizing incremental annual EBIT of $600 million to $700 million for return on capital in the 12% to 14% range. By the end of 2014, we will have created incremental EBIT from our expansion capital program of well over $1 billion a year. Our focus on results, strategic growth and long-term positioning continues to yield results for our investors, our customers and the markets we serve. With that, let me turn things over to Pat and more detail about the results from each of our business segment, and provide some context around those results and how they bridge to 2010."
610501,85029662,48799,"Spectra Energy Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Spectra Energy Corp","Executives","Well thanks, Greg, and it's a pleasure to be with you this morning and to report on our fourth quarter results and our overall 2009 performance. As Greg told you, it's been a good year for us, a year of hard work, significant challenges and attractive ret",2145,"Well thanks, Greg, and it's a pleasure to be with you this morning and to report on our fourth quarter results and our overall 2009 performance. As Greg told you, it's been a good year for us, a year of hard work, significant challenges and attractive returns. Let's take a look.As you've seen in our earnings release, Spectra Energy reported fourth quarter net income of $219 million, or $0.34 per diluted share. After removing the effect of discontinued operations, our ongoing earnings were $217 million or $0.33 per share. For the year, we delivered ongoing earnings of $758 million or $1.18 per share. The annual results reflects solid performance from our fee-based businesses. The company benefited from expansion project placed into service in both 2008 and 2009. And while commodity prices didn't meet the level included in our $1.15 per share guidance for the year, they did recover nicely toward the end of year, and as Greg mentioned, that momentum gives us a positive start to 2010. Let's review the results for each business segment in a little more detail beginning with our U.S. Transmission operations. U.S. Transmission reported fourth quarter 2009 EBIT of $204 million compared with $161 million in the fourth quarter of 2008. The 2008 period included a $44 million special item for an impairment of the Islander East project. Ongoing EBIT for fourth quarter 2009 was $204 million, essentially flat with the prior year's quarter. This segment benefited by $34 million from EBITDA on expansion projects like our J2 [ph] expansion, Steckman Ridge, Moss Bluff and Egan. These earnings were offset by the timing of O&M expenses, including pipeline integrity and lower capitalized cost, as well as a favorable customer settlement in the fourth quarter of 2008 related to our maritimes in Northeast based by projects. Now let's turn to our distribution segment.  Distribution reported fourth quarter 2009 EBIT of $96 million, compared with $90 million in the fourth quarter of 2008. Excluding the effect of a stronger Canadian dollar, earnings were $7 million lower than in the 2008 quarter, primarily the results of warmer weather. Despite a challenging economic year, Union's customer base grew at just over 1%, adding a little more than 15,000 customers. And the team did a great job in managing bad debt to keep it within our rate allowance.Let's now look at our results in Western Canada. Western Canada Transmission and Processing reported fourth quarter 2009 EBIT of $120 million compared with $65 million in the fourth quarter of 2008. Beyond the effect of the stronger Canadian dollar, which added $16 million to earnings this quarter compared with last year, the increase was due mainly to higher frac spread affecting our Empress natural gas liquids revenues. The Empress frac spread for the quarter was $7.55 per MMBtu compared to $3.11 last year. This segment also had improved sustainable results in the base gathering and processing business, primarily driven by higher contracted volumes and revenues from expansions. This quarter's results reflect the resurgence of the BC [British Columbia] gathering and processing business, a positive trend that has just gotten started and should manifest itself through significant growth in this segment in 2010 and beyond.Now let me turn to our Field Services business. Our Field Services segment, which segments Spectra Energy's 50% interest in DCP Midstream had a solid quarter, reporting EBIT of $77 million compared with $69 million in the fourth quarter of 2008. Prior to the effects of the change in DCP Midstream partners mark-to-market results, we saw an almost 77% increase in our half of DCP Midstream's net income, from $47 million in the fourth quarter of 2008 to $83 million in the fourth quarter of 2009.The increase in earnings was driven by higher commodity prices. During the fourth quarter of 2009, crude oil averaged about $76 per barrel compared with $59 per barrel in the prior quarter, and the NGL accrued relationship averaged 53% up from about 46% last year.While volumes were lower for the quarter, we're seeing a positive turnaround on that front with natural gas rigs within DCP's footprint, up about 65% from the lows that we saw in early 2009. As we've mentioned many times, Spectra Energy uses the cash it receives from DCP Midstream to help fund it's fee-based capital expansions. We received distributions of $70 million in the fourth quarter and $100 million for the full year and in January, we received an additional distribution of $75 million. Now let's look at our Other segment, which is primarily comprised of our corporate governance cost and captive insurance and a few additional items.  For the fourth quarter, other reported ongoing net cost of $28 million compared with net cost of $21 million in the previous year's quarter. The increase was primarily due to higher benefits cost. Interest expense for the quarter was $154 million compared with $166 million in the fourth quarter of 2008. The decrease was primarily due to the benefit of lower realized interest rates and lower Commercial Paper balances, partially offset by the effects of a stronger Canadian dollar during the 2009 quarter. The fourth quarter's effective tax rate was 28% compared with 19% last year. The Canadian currency changed from $1.21 last year to about $1.6 this year, increasing fourth quarter after-tax earnings by about $12 million. As of December 31, 2009, our debt-to-total capitalization ratio stood 55.7%. We fully expect to be able to fund our CapEx program through a combination of internally generated funds and debt, while staying within the 55% to 60% range that we've committed to. As of December 31, we had total capacity under our credit facility of $2.7 billion and available liquidity of $2.3 billion. So that's an overview of our fourth quarter results, and as you can see, we've had a solid quarter and year. So now let's review quickly our earnings expectations for 2010.So here are the components of our 2010 plan. This is the chart we shared with you recently and it provides our projected EBIT and EBITDA detail for each of our business segments, and all the information you need to see how we arrive at our EPS number of $1.42. We're confident that we'll see solid performance in each of our businesses this year and on into the future.You're aware that traditionally, the first and fourth quarters had been our biggest, delivering about 60% of our actual EBIT, and that trend continues to apply to 2010. However, when we look at the earnings split between the first half and the second half of the year, in 2010, we expect slightly stronger earnings in the second half, largely driven by new projects coming online later in the year and importantly, volumes increasing at DCP Midstream towards the back end of the year. So that should help you understand our quarterly distribution of our $1.42 per share. Our next slide will show you how we get from our ongoing net income in 2009 to our forecast net income in 2010.We begin with actual 2009 ongoing net income of $758 million, which supports our $1.18 earnings per share, and we then reconcile it to our 2010 projected net income of $925 million or $1.42 per share. First item is our 50% share of DCP Midstream earnings, which is expected to be $195 million higher than last year, primarily as a result of higher commodity prices in 2010. Next, we expect projects placed into service in 2009 and '10 to provide 2010 incremental EBIT of about $130 million. This increase is roughly split, 50/50, between U.S. Transmission and Western Canada.We also expect to see an EBIT increase of about $35 million as a result of the stronger Canadian dollar. These commodity, expansion and currency items represent the significant drivers of our projected earnings increase in 2010. The next bar shows a decrease of $40 million related to development cost at U.S. Transmission. Last year, we recorded a $40 million increase to earnings as a result of capitalizing project development cost, which have previously been expensed. In 2010, we've improved our processes around the evaluation, our project development status, which should result in earlier capitalization of development cost. Therefore, there are no significant expense or income amounts related to development cost forecast for 2010. So you'll see less year-over-year earnings volatility caused by these cost going forward. Next, our 2010 forecast includes additional pension expense of almost $30 million. This expense represents the accounting amortization of the effect of the significant declines in the market value of our pension assets over the last couple of years. Our interest expense, net of interest income, is expected to increase by $20 million due to higher average debt balances in 2010. As you would expect, our higher estimated pretax earnings in 2010 produce additional income tax expense of $85 million. And finally, we had numerous other items totaling $18 million, that take us to net income of $925 million or $1.42 per share. During our recent meeting in New York, we had a question on why our EBIT for U.S. Transmission for 2010 did not appear to be growing much. So let me provide a little more detail to show you that we are experiencing positive growth in that segment.This chart shows U.S. transmission EBIT for 2007 to 2010, adjusted for a couple of items, project development cost and processing revenues on Texas Eastern. We're adjusting for these items to more clearly show that we're realizing good growth from the expansion projects we placed in service. Let me explain these adjustments a little bit further. As discussed earlier, we expect less income and expense effects from our project development cost going forward. So we prepared this graph, as if prior year's development cost had all been capitalized to an incurred and not run to the income statement. We've also adjusted our processing revenue. As a result of increased volumes, due to hurricanes and relatively high commodity prices, 2007 and 2008 included much higher than normal processing revenues. So in order to see a better comparison of EBIT growth for 2007 to 2010, we have adjusted processing revenue to a more normalized level of about $80 million per year, which is the amount in our 2010 guidance based on our commodity assumptions. As you can see, we realized growth of 4.8% over the 2007 to 2010 period in our core U.S. transmission business after adjusting for these items. This growth primarily reflects EBIT from new expansion projects, placed in service over the last few years. Now let's take a closer look at distributions growth. We invest in and finance our Canadian businesses using Canadian dollars and we earned Canadian returns. But as you know, the earnings from our Canadian businesses are converted to U.S. dollars for U.S. financial reporting purposes. This conversion, at fluctuating FX rates, can make comparisons challenging. So we've shown distribution and Western Canada's earnings for 2007, 2008 and 2009, along with their estimate for 2010, on the Canadian dollar basis. As you can see here, we're experiencing real growth at distribution on a Canadian dollar basis with EBIT increasing 4.2% from 2007 to 2010. That level of growth is more attractive than you would normally expect to see in an LDC, and is attributable to the fact that Union Gas finally operates a successful Distribution business, but also a leading Storage and Transmission business.Finally, let's look at our growth in Western Canada. Again, when you look at the underlying fee-based businesses in Canadian dollars, represented by the blue section of the bars on this page, you see strong growth in our Western Canada segment. On a Canadian dollar basis, the fee-based businesses grow at an impressive 12.2% from 2007 to 2010, reflecting strong contracted growth in the Horn River and Montney regions. We've been layered on the Empress EBIT in Canadian dollars. And we expect the growth in gathering and processing to continue beyond 2010 to increase utilization of existing facilities, and the build out of new facilities that served the long-term contracts we've recently signed as a result of increased drilling in the Montney/Doig and Horn River basin areas. Doug Bloom discussed these growth opportunities with you in detail when we rolled out our 2010 plan.So as you've seen, with a solid fourth quarter that capped a good year of respect for energy. Given these results, we feel confident in our ability to deliver 2010 through 2012 EBIT growth in our Spectra Energy Transmission business in a 7% to 9% range. And we likewise feel confident in our 2010 plan, and in the fact that we have the financial capacity to execute that plan and deliver enhanced value to our shareholders this year and well into the future. So with that, let me turn things back over to Greg to wrap up before we move on to your questions."
610501,85029662,48799,"Spectra Energy Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Spectra Energy Corp","Executives","Thanks, a lot, Pat. I think you can see our confidence in our 2010 plan and our outlook going forward. And here's really what makes Spectra Energy such a compelling investment opportunity. We have an unbeatable track record of delivering results in a stro",467,"Thanks, a lot, Pat. I think you can see our confidence in our 2010 plan and our outlook going forward. And here's really what makes Spectra Energy such a compelling investment opportunity. We have an unbeatable track record of delivering results in a strong growth outlook. We all know that 2009 was a challenging year, yet Spectra Energy is starting 2010 with much better growth prospects than we had at the beginning of 2008. That's right, not 2009, but 2008. That positioning and the ability to excel and grow across market and economic cycles is fundamental to our success. We have the advantage of the most strategically situated natural gas infrastructure assets in North America. We see it serve four of the five fastest growing demand markets in North America and we're located in the midst of both expanding shale plays and conventional supply. You can't beat that positioning, and you definitely couldn't build it today. We have an abundance of expansion opportunities. Over the next several years, we'll invest at least $1 billion annually in new growth projects, that are manageable in size and aligned with our execution strength, and we'll deliver those projects with returns above our 10% to 12% range. We see low risk, steady growth momentum from our core fee-based businesses. On January 22, you heard directly from two of those growth businesses, our Northeast U.S. and Western Canadian operation. So you know that we have excellent long-standing and productive relationships with our customers. Relationships that have resulted in firm contract and exceptionally high renewal rates. This core business was profitable steady growth, which produces stable cash flow, enables us to pay an attractive dividend, which we expect to grow over time with earnings. We're well positioned financially too. The strong cash flow and investment-grade balance sheet, ample liquidity and excellent access to capital. Investors are also poised to reap the rewards of further commodity strengthening we see on the horizon. And I'll remind you again, that the improving commodity prices at DCP Midstream bolsters an already reliable source of cash to help fund Spectra Energy's growth prospects. And finally, natural gas is uniquely positioned to help address North America's energy and environmental challenges, clean, abundant, reliable and domestically available. And it will be vital to the improvement in North America's carbon footprint and the economy overall. Bottom line, we're executing on our plan and we will continue to deliver the operational and financial targets we've committed to achieve. When considering Spectra Energy, investors can reasonably expect to earn an annual total shareholder return in the 12% to 14% range, from a company that's almost 80% of its EBIT coming from low-risk, fee-based businesses. That's good value. With that, I'll turn the things back over to John, so we can talk with you."
610501,85029662,48799,"Spectra Energy Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Spectra Energy Corp","Executives","Okay, Trinity, if you'd -- we're ready for the Q&A session. So if you'd give the instructions on how to ask a question one more time.",26,"Okay, Trinity, if you'd -- we're ready for the Q&A session. So if you'd give the instructions on how to ask a question one more time."
610501,85029662,48799,"Spectra Energy Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Spectra Energy Corp","Operator","[Operator Instructions] Your first question is from Lasan Johong. [RBC Capital Markets]",12,"[Operator Instructions] Your first question is from Lasan Johong. [RBC Capital Markets]"
610501,85029662,48799,"Spectra Energy Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Spectra Energy Corp","Analysts","I wanted to ask you about kind of a little bit more big picture stuff. You said 65% drilling rig increased in DCP areas. Going forward in 2010, what kind of an increase or what kind of change are predicting for drilling rig counts and activity in your sec",51,"I wanted to ask you about kind of a little bit more big picture stuff. You said 65% drilling rig increased in DCP areas. Going forward in 2010, what kind of an increase or what kind of change are predicting for drilling rig counts and activity in your sectors for 2010?"
610501,85029662,48799,"Spectra Energy Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Spectra Energy Corp","Executives","Well, maybe the way to look at it, Lasan, and thanks for your comments, is really kind of volume increased, because obviously that's where we make our money in. I think versus '09, Tom's [ph] business would see volumes increased by about 2% from '09. That",122,"Well, maybe the way to look at it, Lasan, and thanks for your comments, is really kind of volume increased, because obviously that's where we make our money in. I think versus '09, Tom's [ph] business would see volumes increased by about 2% from '09. That will be probably more back end loaded, because even as you saw in 2009, one of the result of big drop in the rig counts, you really didn't see any volume impact towards the last half of the year and then as things started to come back on with rigs, it will take a little while for that to impact. So think about 2% kind of growth from '09 to '10 with respect to volume comparisons."
610501,85029662,48799,"Spectra Energy Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Spectra Energy Corp","Analysts","What I was actually trying to get at a productivity number or productivity measure for rigs, 1,600 rigs to 600 rigs, and now do you expect that around 825? I was wondering what you would need to sustain kind of level of production going forward?",45,"What I was actually trying to get at a productivity number or productivity measure for rigs, 1,600 rigs to 600 rigs, and now do you expect that around 825? I was wondering what you would need to sustain kind of level of production going forward?"
