"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
417206,84137131,49297,"Sprint Nextel Corp., Q4 2009 Earnings Call, Feb 10, 2010",2010-02-10,"Earnings Calls","Sprint Corporation","Operator","Good morning. My name is Janet, and I will be your conference operator today. At this time, I would like to welcome everyone to the Fourth Quarter Earnings Conference Call. [Operator Instructions] Thank you. Ms. Brentano, you may begin your conference.",41,"Good morning. My name is Janet, and I will be your conference operator today. At this time, I would like to welcome everyone to the Fourth Quarter Earnings Conference Call. [Operator Instructions] Thank you. Ms. Brentano, you may begin your conference."
417206,84137131,49297,"Sprint Nextel Corp., Q4 2009 Earnings Call, Feb 10, 2010",2010-02-10,"Earnings Calls","Sprint Corporation","Executives","Thank you, Janet. Good morning, and welcome to Sprint Nextel's Fourth Quarter Earnings Call. Thanks for joining us this morning. For the format of the call, Dan Hesse, our CEO, will discuss operational performance in the quarter; and then our CFO, Bob Bru",302,"Thank you, Janet. Good morning, and welcome to Sprint Nextel's Fourth Quarter Earnings Call. Thanks for joining us this morning. For the format of the call, Dan Hesse, our CEO, will discuss operational performance in the quarter; and then our CFO, Bob Brust, will cover the financial aspects of the quarter. Before we get underway, let me remind you that our release and the presentation slides that accompany this call are both available on the Investor Relations page of the Sprint website. Slide 2 is our cautionary statement. I want to point out that in our remarks this morning, we will be discussing forward-looking information, which involves a number of risks and uncertainties that may cause actual results to differ materially from our forward-looking statements. We provide a comprehensive list of risk factors in our SEC filings, which I encourage you to review including our Form 10-Q for the third quarter of 2009 and when filed, our Form 10-K for 2009. Turning to Slide 3. Throughout our call, we will refer to several non-GAAP metrics. Reconciliations of our non-GAAP performance and liquidity measures to the appropriate GAAP measures for the fourth quarter can be found on the attachments to our earnings release, and also at the end of today's presentation, which is stored on our website.Next, I would like to quickly cover our EPS results. Basic and diluted loss per common share for the fourth quarter was $0.34, compared to $0.17 in the third quarter 2009 and $0.57 in the year-ago period. Approximately $0.11 of the fourth quarter loss per share was due to a non-cash charge to increase the valuation allowance on deferred taxes. 2009 basic and diluted loss per common share was $0.84 compared to $0.98 in 2008. I will now turn the call over to Sprint CEO, Dan Hesse."
417206,84137131,49297,"Sprint Nextel Corp., Q4 2009 Earnings Call, Feb 10, 2010",2010-02-10,"Earnings Calls","Sprint Corporation","Executives","Thanks, Yijing. Thank you for joining us this morning. I think some of you may be joining us from your homes, enjoying this winter. Going to Slide #5. We've been making progress each quarter, and the most recent quarter is no exception. I talk about the s",1405,"Thanks, Yijing. Thank you for joining us this morning. I think some of you may be joining us from your homes, enjoying this winter. Going to Slide #5. We've been making progress each quarter, and the most recent quarter is no exception. I talk about the same three priorities on each of our calls: The customer experience, the brand and cash, and I will keep this string going on this call. I'll try to shake it up today by going in reverse order. Starting with cash. With $666 million of free cash flow in the fourth quarter, Sprint generated $2.8 billion in free cash flow in 2009, the highest level ever for Sprint Nextel, allowing us to acquire Virgin Mobile, iPCS and invest approximately $1.1 billion in Clearwire in the fourth quarter. And still in the year, with almost $4 billion in cash, cash equivalents and short-term investments. Bob will talk more about earnings and cash in his remarks.We go to Slide 6. Regarding the brand, we continue to make progress, perhaps best evidenced by our improving subscriber performance. We lost a total of 69,000 retail subscribers in the quarter, and fewer than 1 million for the entire year, an improvement of over 4 million year-over-year. Although postpaid subscribers declined by 504,000, the fourth quarter represents both the best sequential and the best year-over-year improvements in company history, sprint's 600,000 or 54% year-over-year improvement, postpaid results we would have achieved without any acquisitions lies in sharp contrast to the rest of the industry. Our Sprint branded services, which run on the CDMA network, were net add positive in the fourth quarter and showed the best sequential improvement in almost three years. We showed a lot of progress in the second half. The improvement in net adds in the second half both year-over-year and compared to the first half of the year were both best-ever results. The brand improvement is being demonstrated further through gross adds. Second half gross add performance year-over-year and versus the first half, were both the best in five years. Our estimate of fourth quarter share of gross adds or SOGA, shows an improvement year-over-year of 350 basis points. Our fourth quarter cost per gross add was also the lowest in over three years. We also maintained a high percentage of prime customers on postpaid, over 84%. Churn of 2.11% was a slight improvement both sequentially and year-over-year, but we still need to do better with churn.Going to Slide 7. Fourth quarter prepaid net adds were 435,000. For 2009, Boost generated over 2.5 million net adds, and we grew Boost revenue by 35%. Although we took actions to minimize churn during the fourth quarter, the success experienced by Boost Unlimited during the first three quarters of 2009 became increasingly difficult to replicate. Prepaid competition expanded and intensified as our competitors used more aggressive pricing tactics. We expect this highly competitive environment will continue.Our prepaid team is taking actions to overcome these recent challenges and expects to regain momentum during the second quarter. We expect to make meaningful progress in our prepaid net add results as we enter the second half of 2010. Prepaid should continue to be a source of subscriber and financial growth for the company. We are beginning to implement a robust, multi-brand strategy to appeal to multiple segments of the prepaid market with our Boost, Virgin Mobile and Assurance brands. Each of these brands, along with others, will target a specific segment of the market with a unique value proposition.We go to Slide 8. Large contributions to Sprint's momentum come from improvements in our top priority area, the customer experience. Customer satisfaction with care and first call resolution as measured both by a Sprint-sponsored external survey and by a very reputable independent survey, have now improved for eight consecutive quarters. Both metrics also hit all-time highs. Because of the improvements we made, J.D. Power asked to me to keynote their annual customer experience roundtable in New York three weeks ago. In J.D. Power's most recent survey, not only was Sprint's improvement by far the most significant, Sprint alone accounted for half of the improvement showed by the entire industry.As we look back on 2009, the University of Michigan Customer Satisfaction study showed Sprint made not only the most improvement among wireless carriers, but the most improvement of any company in the survey, from all industries. In a recently released well respected independent survey, Sprint was the only company that improved customer satisfaction in every category. From fourth place at the end of 2008, Sprint moved to number two in satisfaction with price value. Also, from fourth place in 2008, Sprint moved to number two in network satisfaction.In Consumer Reports, Sprint moved past AT&T. And based upon our analysis of the specific market data, Sprint improved or stayed the same in 80% of the markets. The next best competitor was at 24%. These improvements in care satisfaction have all been accomplished in an environment where we reduced care credits by 47% and reduced calls per sub 12% year-over-year, and by 39% from 2007 peak levels. We've closed three more call centers in the fourth quarter, bringing the total to 19 centers in 2009 and 30 centers closed in two years.Network performance, like care, is important to the customer experience. Our networks are performing at their best levels ever with PC World recognizing our reliability. Our customers enjoy more than twice the 3G coverage AT&T customers do. Our business customers in particular, have noticed the improvements. Sprint ranked number one among large business users. Those are users with 500 or more employees in both voice and data satisfaction in the recent Yankee Group and Mobile Enterprise Magazine survey.We hope that the quality improvements we've made to our networks will bring a new breed of wholesale device to the network, like the new Skiff Reader which generated so much excitement at the Consumer Electronics Show. We will also work to make sure our selection of retail devices is second to none. Sprint continue to grow the breadth of our device offerings in the fourth quarter, including the first CDMA Android devices in the United States, the HTC Hero and the Samsung Moment. We also launched the Palm Pixi, Samsung Intrepid, Motorola Debut and the new Blackberry Curve 8530. In 2010, we have already launched the LG Lotus Elite, Motorola Brute i680 and we announced the Rumor Touch, with many more devices to come. A robust portfolio of devices is important, as 49% of our fourth quarter CDMA postpaid handset sales and upgrades were either smartphones or handsets with touchscreens.We are encouraged by the January launch of the Sierra Wireless Overdrive(TM) 3G/4G Mobile Hotspot, the first device of its kind. The Overdrive can turn over 400 million Wi-Fi enabled devices today into Sprint 4G devices, including the iPod Touch, the iPhone and the iPad. The Overdrive won Best of CES recognition, that's Consumer Electronics Show, from both PC World and CrunchGear. The Overdrive, combined with our growing 4G coverage, provides our customers with mobile connectivity that is up to 10x faster than 3G. However, 4G is not just about speed, it's also about great value. You get a larger data bucket for the same price as with 3G.For customers that prefer a traditional AirCard, we offer the only dual-mode 3G/4G connection card, the U301, which won PC Magazine's Editors Choice award. We have also been working with several equipment manufacturers that will embed 4G capability into dozens of devices. Additional devices, especially phones, will be an important part of our 2010 4G plan. Expanding the coverage of 4G in 2010 will be an important catalyst for continued improvement in Sprint's postpaid subscriber results, so we chose to invest an additional $1.1 billion in Clearwire during the fourth quarter, bringing our total ownership to 56%.So with 4G as a catalyst, we expect that both postpaid and total subscriber losses will improve in 2010 as compared to last year. Even though we still have much improvement to make, if there was one word that would sum up the fourth quarter and 2009, it would be progress. Quarter by quarter, we will strive to continue to improve the customer experience, strengthen the brand and generate positive free cash flow. We feel we have momentum as we move into 2010. Now, I'll turn it over to Bob Brust, who will discuss the financial aspects of our results."
417206,84137131,49297,"Sprint Nextel Corp., Q4 2009 Earnings Call, Feb 10, 2010",2010-02-10,"Earnings Calls","Sprint Corporation","Executives","Thanks, Dan and good morning. Moving on to Slide 11, we had another strong quarter, as Dan said, in terms of free cash flow, generating $666 million in the fourth quarter and $2.8 billion for the full year 2009. This compares to $664 million in the third",965,"Thanks, Dan and good morning. Moving on to Slide 11, we had another strong quarter, as Dan said, in terms of free cash flow, generating $666 million in the fourth quarter and $2.8 billion for the full year 2009. This compares to $664 million in the third quarter and $1.8 billion for the full year 2008.  During the third quarter of 2009, we made a $200 million cash contribution to Sprint's defined benefit pension plan, which we do not expect to be necessary in 2010. We are especially pleased with our consistent quarterly cash generation throughout 2009. We expect to generate a meaningful level of positive free cash flow in 2010.During the quarter, we repaid the remaining $1 billion of outstanding borrowings on our revolving credit facility. We also provided a net $1.118 billion of funding to Clearwire and paid $560 million in net cash for the acquisitions of Virgin Mobile and iPCS during the fourth quarter, in addition to issuing approximately 96 million shares for our acquisition of Virgin Mobile. Even with our cash payments in the fourth quarter, we ended 2009 with a solid cash, cash equivalent and short-term investment balance of $3.9 billion. Our goal continues to be to maintain a healthy cash balance for the foreseeable future. Taking into consideration the availability under our bank credit facility, we also had a strong liquidity position of $6.6 billion exiting 2009.Looking ahead, we have $750 million in debt maturing in the second quarter of 2010, $1.65 billion in January of 2011 and $2.750 billion in 2012. Our current view is to pay this debt as scheduled and not refinance. Enhancing our repayment ability, we expect rebanding cost to lower sharply in 2011 and beyond. Lastly, our revolving credit facility expires at the end of 2010, and we plan to take appropriate action before its maturity. We spent $554 million in capital during the fourth quarter compared to $431 million in the third quarter of 2009, and $548 million in the fourth quarter of 2008. Fourth quarter 2008 CapEx included $90 million of 4G expenditures. We spent approximately $1.6 billion in capital in 2009 compared to $3 billion in 2008, which included approximately $560 million of 4G. We remain extremely focused on network quality for our customers and will spend where we need to, largely for capacity from the growth and data network development projects such as dual-mode, 3G/4G and network performance. We continually make improvements in network quality and coverage to additional macro sites backhaul capacity, the use of pico and femtocells repeaters and tuning. We also made strides during the quarter on our affiliate modernization program, which involves expanding our EVDO footprint and adding capacity in certain markets that we acquired through our affiliate purchases. We expect that full year 2010 capital spend will be as high as $2 billion.Moving on to the financial results for the fourth quarter. Consolidated adjusted OIBDA for the quarter was $1.409 billion, down sequentially from $1.506 billion in the third quarter, and $1.7535 billion year-ago period. The chart on Slide 12 outlines a sequential change. Consolidated operating revenues declined approximately 2% sequentially due to fewer postpaid subscribers, the decline of postpaid ARPUs were approximately $55 and lower Wireline revenues offset by revenue growth in prepaid. The decline in postpaid ARPU resulted from two primary factors: Seasonably lower usage driven revenue streams and a loss in overage revenue associated with the addition of Any Mobile, Anytime feature to certain plans. With this new feature, we are excited about the opportunity to offer our customers a great value with a worry-free bill. Although we experienced some near-term dilution in ARPU with the launch of Any Mobile, Anytime, we do not expect further deterioration of this magnitude.Looking at Prepaid, we experienced close to a $4 sequential decrease in ARPU due to the inclusion of lower ARPU Virgin Mobile customers post acquisition. Offset by continued growth in Boost Monthly Unlimited offer. A further decline of $2 to $4 should be expected in the first quarter, since we will have a full quarter of prepaid results including Boost, Virgin Mobile and Assurance Wireless.Wireline revenues decreased sequentially, primarily due to IP rate declines and lack of IP growth. Labor actions taken in the fourth quarter will help OIBDA margins sequentially, but we will continue to see pressure on full year results. As we move into 2010, the expected continued growth in Prepaid and improving trends in Postpaid should significantly improve the downward trend in revenue we have experienced the past few years. On the cost side, we saw sequential improvement in the cost of service and an increase in G&A. Within the cost of service, we experienced seasonally lower roaming and favorable rates with our premium services providers, offset by an increase in vendor fees due to our increased mix of smartphones.  Additionally, our service and repair expenses were down due to seasonably lower volume and a focus on refurbishing devices. SG&A expenses increased sequentially, primarily due to higher variable cost. The prepaid contribution to OIBDA improved sequentially as we benefited from continued growth in the Boost Monthly Unlimited offer. The Boost contribution is partially offset by the post-acquisition Virgin Mobile impact on results which is driven by acquisition-related accounting adjustments and seasonably higher gross adds. We expect that our Prepaid group will continue to provide positive contribution to OIBDA through the course of 2010.In summary, the Postpaid subscriber losses we experienced in 2009 will continue to create OIBDA challenges. We took actions in the fourth quarter to reduce cost and we'll take additional actions in 2010 in other operational areas. We expect to improve our near-term historical revenue trend in 2010, and generate more than enough cash to meet our obligations. Now, I'll turn it over back to Yijing for Q&A."
417206,84137131,49297,"Sprint Nextel Corp., Q4 2009 Earnings Call, Feb 10, 2010",2010-02-10,"Earnings Calls","Sprint Corporation","Executives","Thank you, Bob. In just a minute, Janet will instruct our listeners on how to queue up for the question-and-answer session. I want to point out that you may access an audio replay or webcast of our presentation on our website. We will now open the lines f",55,"Thank you, Bob. In just a minute, Janet will instruct our listeners on how to queue up for the question-and-answer session. I want to point out that you may access an audio replay or webcast of our presentation on our website. We will now open the lines for your questions. Janet, please instruct our participants."
417206,84137131,49297,"Sprint Nextel Corp., Q4 2009 Earnings Call, Feb 10, 2010",2010-02-10,"Earnings Calls","Sprint Corporation","Operator","[Operator Instructions] Your first question comes from the line of David Barden. [Bank of America Merrill Lynch]",17,"[Operator Instructions] Your first question comes from the line of David Barden. [Bank of America Merrill Lynch]"
417206,84137131,49297,"Sprint Nextel Corp., Q4 2009 Earnings Call, Feb 10, 2010",2010-02-10,"Earnings Calls","Sprint Corporation","Analysts","Just starting out with the pricing side of the equation. Obviously last quarter, it seems like a long time ago but there's a lot of hoopla about the T-Mobile pricing, and it doesn't really seem to have had any impact on your business in the 4Q results. I",155,"Just starting out with the pricing side of the equation. Obviously last quarter, it seems like a long time ago but there's a lot of hoopla about the T-Mobile pricing, and it doesn't really seem to have had any impact on your business in the 4Q results. I guess looking at the 1Q, we had MetroPCS take pricing down, AT&T, Verizon, and I'd love to kind of hear your guys' kind of strategic commentary about pricing positioning and competition, and your expectations for 2010. And the second question would be specifically related to Simply Everything. This was the big initiative two years ago, it was how you differentiated yourself competitively. Those guys are coming off of two-year contracts starting I guess, next month and it seems like AT&T and Verizon especially, will be going after those guys. What kind of retention initiatives do you think are going to be necessary to lock down that base?"
417206,84137131,49297,"Sprint Nextel Corp., Q4 2009 Earnings Call, Feb 10, 2010",2010-02-10,"Earnings Calls","Sprint Corporation","Executives","Hey David, Dan here, are you sure you don't have any more questions? Let me take them one at a time. First of all on pricing, you're right. There's been a lot of competitive activity. As you mentioned, kind of T-Mobile as well as AT&T and Verizon in recen",787,"Hey David, Dan here, are you sure you don't have any more questions? Let me take them one at a time. First of all on pricing, you're right. There's been a lot of competitive activity. As you mentioned, kind of T-Mobile as well as AT&T and Verizon in recent months. So there's no question that the industry is getting more competitive. If there's a benefit for us, I think it's going to put more of a focus on what customers are paying each month. That's been actually a concern of ours that there's been so much focus on the handset pricing, that customers aren't doing enough to compare what they're paying each month. And I think, if you take a look at the value of, for example, Any Mobile, Anytime, that's a $70 plan. If you compare that to, let's say, the Verizon and AT&T plans at $70, you have to pay like an extra $30 for data, that's included in ours. You have to pay an extra $20 for tax, that's included ours. If you want navigation, that's maybe $10 a month, that's included in ours. So we think we're well positioned from a value point of view, although we still have some education to do. I'd say the same thing with simply everything, if you just take a look at all the things that it includes, and you compare it to a $70 plan and what you need to bolt on to those plans, we're pretty well, I think, positioned from a pricing point of view. So yes, it is getting more competitive, there is no question from a pricing perspective. But we kind of like where we are and our job will be to educate the consumer better in terms of what all is included in those offers. Your second question had to do with, was it Simply Everything? And I think it's similar to what we have to do kind of in churn, totally. First of all, we've seen improved churn characteristics for customers that have Simply Everything and also Any Mobile, Anytime. That's a big piece of the economic equation because there aren't any surprises, there aren't overages, satisfaction tends to be high. And what we do with our customers, what'll be important are a number of things. I think the number one is still focusing on the brand health and the perception of the company among our customers. And if you were to take a look at what we call MWI, most want to investigate, we've made a lot of progress in terms of brand health with our existing base. Unfortunately, we haven't made as much progress with non-customers. But we believe that will come. And particularly, perception of price value, which I mentioned is coming up. So customers on Simply Everything kind of know they're getting a good deal from Sprint as well as perception of the network. Strong handsets, they'll be looking to upgrade. We'll want to make sure that we have the handset lineup that they're going to want. That'll be very attractive. That's a very important element of retention. And customers that have Simply Everything are automatically on our Premier program, which means they get an upgrade every year. And that puts them in kind of special situation relative to the industry. And of course, handsets are becoming very important. So strong handset lineup with Simply Everything customers being able to upgrade more frequently than they could on competitors, I think puts us in a good position. We've also I think done a much better job on our Save Desk of late. We've really focused time and attention on that and we're seeing our save rates improve. So we know there's no question the environment, and it's a good question to ask, the environment on postpaid is getting much more competitive. T-Mobile, Verizon and AT&T have all taken pricing actions since we launched Any Mobile, Anytime. But we think we're priced where we need to be and still provide very, very good value to customers. And on the prepaid side, I can throw it over to Dan Schulman, but there's no question that there's increasing competition in prepaid, where when we launched Boost Unlimited at the beginning of 2009, we really had kind of a very strong value proposition where $50 meant $50. Now Boost has moved from really aggressive price plan to, one could argue, at parity, possibly even premium to similar plans in Prepaid. So Dan has a, I think a very robust and comprehensive plan on prepaid that allows us to use different brands for different segments of the market. Dan, you on there, you want to make a couple of comments on Prepaid?"
417206,84137131,49297,"Sprint Nextel Corp., Q4 2009 Earnings Call, Feb 10, 2010",2010-02-10,"Earnings Calls","Sprint Corporation","Executives","Sure, Dan. I think as we think about the prepaid market, as Dan just mentioned, obviously Boost had a great first three quarters of the year. But it was kind of a single play being run and competition eventually caught up to that and impacted some of its",346,"Sure, Dan. I think as we think about the prepaid market, as Dan just mentioned, obviously Boost had a great first three quarters of the year. But it was kind of a single play being run and competition eventually caught up to that and impacted some of its growth in the fourth quarter. We've been looking quite hard at the overall Prepaid segment right now, and it's a pretty robust segment, it's somewhere between 55 and 60 million Americans now have prepaid. And so the market is no longer a one-size-fits-all. There are definitely very distinct segments of the market out there, they have very unique needs and wants. They shop in different channels, they want specific handsets or specific value propositions. And so what you're going to see from us on the Prepaid side, and we've just started to implement some of this, is actually create brands that have very unique value propositions that appeal to very specific segments of the market. And so some segments of the market are more price sensitive than other segments of the market, and we'll take actions where we need to there. Others have much different needs, and we don't need to take pricing action there. And so what we're looking at is on a segment-by-segment basis and a brand-by-brand perspective, exactly what type of value proposition do we need to have out there to clearly win in the marketplace. Because, by the way, different competitors target different segments of the market. And you don't really need to react from a pricing perspective, just because one competitor takes action across the market. And so we'll have not only unique value proposition but very unique CPGA and CCPU for each of the brands that we put out there, so that we think that we can drive not only very meaningful net add growth but provide a very compelling financial return as well. And so that's in a nutshell, kind of our strategy in the prepaid market and we'll have that fully rolled out by the end of the second quarter"
417206,84137131,49297,"Sprint Nextel Corp., Q4 2009 Earnings Call, Feb 10, 2010",2010-02-10,"Earnings Calls","Sprint Corporation","Executives","This is Dan. I'll just make one more point. I know a lot of the analysts on the call understand this, but with respect to the upgrade program, on Simply Everything. When a customer does upgrade, they sign a new two-year contract. So that's why it's import",68,"This is Dan. I'll just make one more point. I know a lot of the analysts on the call understand this, but with respect to the upgrade program, on Simply Everything. When a customer does upgrade, they sign a new two-year contract. So that's why it's important. It kind of keeps the customer, if you will, a long way away from being near the end of the contract."
