"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
34780,84205183,48589,"Stericycle Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Stericycle, Inc.","Operator","Good afternoon. My name is Kim, and I'll be your conference operator today. At this time, I would like to welcome everyone to the Fourth Quarter 2009 Earnings Conference Call. [Operator Instructions]  I would now like to turn the call over to the CFO, Fra",52,"Good afternoon. My name is Kim, and I'll be your conference operator today. At this time, I would like to welcome everyone to the Fourth Quarter 2009 Earnings Conference Call. [Operator Instructions]  I would now like to turn the call over to the CFO, Frank ten Brink. You may begin your conference."
34780,84205183,48589,"Stericycle Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Stericycle, Inc.","Executives","Thank you. Welcome to Stericycle's Quarterly Conference Call. Joining me on today's call will be Rich Kogler, COO; and Mark Miller, CEO. I will now read the Safe Harbor statement. Statements by Stericycle on this conference call that are not strictly hist",418,"Thank you. Welcome to Stericycle's Quarterly Conference Call. Joining me on today's call will be Rich Kogler, COO; and Mark Miller, CEO. I will now read the Safe Harbor statement. Statements by Stericycle on this conference call that are not strictly historical are forward-looking.  Forward-looking statements involve known and unknown risks and should be viewed with caution. Factors described in the company's Form 10-K, 10-Q, as well as its other filings with the SEC could affect the company's actual results and could cause the company's actual results to differ materially from expected results. The company makes no commitment to disclose any revisions to forward-looking statements or any facts, events or circumstances after this date that may bear upon forward-looking statements.Now into the results, the results for the fourth quarter are as follows: Revenues grew $39.5 million to $313.5 million, up 14.4% from $274 million in Q4 of '08; revenues grew 13.5% when adjusted for the favorable foreign exchange impact of $2.6 million;  Domestic internal growth, excluding returns managements, was up approximately 6%; and International internal growth adjusted for foreign exchange was up over 5%. Domestic internal growth consisted of SQ up 8% and LQ up 3%. The regulated recalls and returns management services revenues were $16.1 million.Gross profit was $147.1 million or 46.9% of revenues. Excluding the restructuring costs, the gross margin would have been 47.2%. SG&A expense was $61.8 million or 19.7% of revenues. Net interest expense was $8.8 million and net income attributable to Stericycle was $44.6 million or $0.52 per share on an as-reported basis and $0.55 adjusted for transactional expenses related to acquisitions and restructuring costs.At the end of the quarter, the revolver borrowings were approximately $382 million. Currently, $100 million of our revolver is hedged at an average fixed 2.83% LIBOR rate plus 75 basis points. The remaining $282 million is floating at LIBOR plus 75 basis points or the prime rate, whichever is lower. The unused portion of the revolver debt at the end of the quarter was approximately $244 million.We repurchased 93,670 shares of common stock on the open market at an amount of $4.5 million in the quarter. Cumulatively, we have purchased approximately 13.2 million shares. We still have authorization to purchase an additional 3 million shares. Our CapEx was $10.3 million, and our DSO at the end of the quarter was 52 days. The cash provided from operations in the quarter was $63.3 million and $277.2 million for the year. And now, I will turn it over to Rich."
34780,84205183,48589,"Stericycle Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Stericycle, Inc.","Executives","Thanks, Frank. We want to thank each member of our worldwide team for their solid performance and continued commitment to our customers and shareholders. In the quarter, we enjoyed strong sales growth in all of our business segments. SQ growth was primari",100,"Thanks, Frank. We want to thank each member of our worldwide team for their solid performance and continued commitment to our customers and shareholders. In the quarter, we enjoyed strong sales growth in all of our business segments. SQ growth was primarily driven by Steri-Safe with 80% of new Steri-Safe customers choosing select or preferred programs. LQ sales growth was driven by the continued adoption of our Bio Systems offering and new service agreements. In summary, we ended Q4 with over 459,000 accounts, of which approximately 447,900 were small and the remainder, large. Now I'll turn it over to Mark."
34780,84205183,48589,"Stericycle Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Stericycle, Inc.","Executives","Thanks, Rich. I would now like to provide insight on our current outlook for 2010. Please keep in mind that these are forward-looking statements. During the fourth quarter, we completed six acquisitions, two domestic and four international. The incrementa",236,"Thanks, Rich. I would now like to provide insight on our current outlook for 2010. Please keep in mind that these are forward-looking statements. During the fourth quarter, we completed six acquisitions, two domestic and four international. The incremental revenue impact in the fourth quarter of this year was approximately $6.3 million. The annualized revenues of these acquisitions is approximately $59.9 million. But please keep in mind that our guidance does not include future acquisitions, divestitures and the related transactional expenses, but our guidance does include these items for the MedServe transaction completed at the end of Q4. We believe analyst EPS estimates will be in the range of $2.34 to $2.40 which we're comfortable with. Please note that this guidance includes approximately $0.04 negative impact per share of acquisition integration expenses. We believe the analyst revenue estimates for 2010 will be in the range of $1.32 billion to $1.35 billion, depending on assumptions for growth and foreign exchange. We believe analysts will have estimates for net income between $202 million and $208 million, depending upon assumptions for margin improvement and interest expense. We believe analysts will have estimates for free cash flow of $245 million to $255 million with CapEx anticipated between $45 million and $50 million.In closing, we're very excited about the tremendous growth opportunities this year and beyond. We thank you for your time. And operator, we'll now switch to the Q&A session."
34780,84205183,48589,"Stericycle Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Stericycle, Inc.","Operator","[Operator Instructions] Your first question comes from the line of Ryan Daniels from William Blair & Company.",17,"[Operator Instructions] Your first question comes from the line of Ryan Daniels from William Blair & Company."
34780,84205183,48589,"Stericycle Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Stericycle, Inc.","Analysts","If I could just start on the M&A front, Mark, could you talk a little bit more about the deals you did? Obviously, this is a great quarter, and I know a lot of the revenue there is MedServe. But maybe, the other incremental deals and focus on internationa",54,"If I could just start on the M&A front, Mark, could you talk a little bit more about the deals you did? Obviously, this is a great quarter, and I know a lot of the revenue there is MedServe. But maybe, the other incremental deals and focus on international, where those acquisitions were?"
34780,84205183,48589,"Stericycle Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Stericycle, Inc.","Executives","This is Frank. So we had six acquisitions. Four were international. There was one in Portugal, one in Romania, one in Canada and one in Chile. There were two in the U.S, one of which was MedServe and another was a transaction on the East Coast.",46,"This is Frank. So we had six acquisitions. Four were international. There was one in Portugal, one in Romania, one in Canada and one in Chile. There were two in the U.S, one of which was MedServe and another was a transaction on the East Coast."
34780,84205183,48589,"Stericycle Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Stericycle, Inc.","Analysts","And were all those kind of traditional med waste acquisition?",10,"And were all those kind of traditional med waste acquisition?"
34780,84205183,48589,"Stericycle Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Stericycle, Inc.","Executives","Yes, they were.",3,"Yes, they were."
34780,84205183,48589,"Stericycle Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Stericycle, Inc.","Analysts","And then maybe, Frank, another quick one for you. I know at the start of the year, last year, you guys were looking for free cash flow, kind of $175 million to $185 million. If I'm doing my math right, it looks like you ended up closer to $240 million. Wa",72,"And then maybe, Frank, another quick one for you. I know at the start of the year, last year, you guys were looking for free cash flow, kind of $175 million to $185 million. If I'm doing my math right, it looks like you ended up closer to $240 million. Was there anything during the year that surprised you that drove that to become so strong and well above your initial guidance?"
34780,84205183,48589,"Stericycle Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Stericycle, Inc.","Executives","I think the team has done extremely well when it comes to the receivable collections. Obviously, that contributed substantially to this year. The DSO was reduced from 57 to 52 days so that obviously, even in this market environment, they did an excellent,",90,"I think the team has done extremely well when it comes to the receivable collections. Obviously, that contributed substantially to this year. The DSO was reduced from 57 to 52 days so that obviously, even in this market environment, they did an excellent, excellent job. And that, I think, is a major. The CapEx was maybe a little lower than we started from a guidance point of view in the year. So that, I would, say is the second contributor and then the further increase in earnings during the year."
34780,84205183,48589,"Stericycle Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Stericycle, Inc.","Analysts","And then can you provide a little bit more color on the restructuring? I think you're moving some of the facilities. Is it just related to that for the returns business?",31,"And then can you provide a little bit more color on the restructuring? I think you're moving some of the facilities. Is it just related to that for the returns business?"
34780,84205183,48589,"Stericycle Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Stericycle, Inc.","Executives","In the returns business, we had a site consolidation that's there in the process. It's in Conyers, Georgia and Boynton Beach, Florida that are getting consolidated into Indianapolis.",28,"In the returns business, we had a site consolidation that's there in the process. It's in Conyers, Georgia and Boynton Beach, Florida that are getting consolidated into Indianapolis."
34780,84205183,48589,"Stericycle Inc., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Stericycle, Inc.","Analysts","Do you actually have the number of new LQ clients and Bio Systems clients? And then the second part would be Steri-Safe total customers and percent on premium and select?",30,"Do you actually have the number of new LQ clients and Bio Systems clients? And then the second part would be Steri-Safe total customers and percent on premium and select?"
