"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
108616,84225351,51770,"Interpublic Group of Companies, Inc., Q4 2009 Earnings Call, Feb 26, 2010",2010-02-26,"Earnings Calls","The Interpublic Group of Companies, Inc.","Operator","Good morning, and welcome to the Interpublic Group Fourth Quarter and Full Year 2009 Earnings Conference Call. [Operator Instructions] I would now like to introduce Mr. Jerry Leshne, Senior Vice President of Investor Relations. Sir, you may begin.",38,"Good morning, and welcome to the Interpublic Group Fourth Quarter and Full Year 2009 Earnings Conference Call. [Operator Instructions] I would now like to introduce Mr. Jerry Leshne, Senior Vice President of Investor Relations. Sir, you may begin."
108616,84225351,51770,"Interpublic Group of Companies, Inc., Q4 2009 Earnings Call, Feb 26, 2010",2010-02-26,"Earnings Calls","The Interpublic Group of Companies, Inc.","Executives","Thank you. Good morning. Thank you for joining us. We have posted our earnings release and our slide presentation on our website, interpublic.com, and we'll refer to both in the course of this call. This morning, we are joined by Michael Roth and Frank Me",123,"Thank you. Good morning. Thank you for joining us. We have posted our earnings release and our slide presentation on our website, interpublic.com, and we'll refer to both in the course of this call. This morning, we are joined by Michael Roth and Frank Mergenthaler. We will begin with prepared remarks to be followed by Q&A. We plan to conclude before market open at 9:30 a.m. Eastern. During this call, we will refer to forward-looking statements about our company, which are subject to uncertainties and the cautionary statement included in our earnings release and the slide presentation and further detailed in our 10-K and other filings with the SEC. At this point, it is my pleasure to turn things over to Michael Roth."
108616,84225351,51770,"Interpublic Group of Companies, Inc., Q4 2009 Earnings Call, Feb 26, 2010",2010-02-26,"Earnings Calls","The Interpublic Group of Companies, Inc.","Executives","Thank you, Jerry, and thank you all for joining us, especially in this difficult weather environment. I guess, we're similar to our credo of our good client, U.S. Post Office. I will review the results for the quarter and the full year 2009, I'll begin by",711,"Thank you, Jerry, and thank you all for joining us, especially in this difficult weather environment. I guess, we're similar to our credo of our good client, U.S. Post Office. I will review the results for the quarter and the full year 2009, I'll begin by covering the headlines relating to our performance and how we see the year ahead. Frank will then take us through the financial results in detail. After his remarks, I'll return with some agency-specific observations and closing comments before we move on to the Q&A.As you can see, the very tough economic environment resulted in an organic revenue decrease for the year of 10.8%. Notwithstanding, we were able to deliver operating income of $340 million and operating margin, excluding incremental severance with 6.9%. It bears mention that the high level of severance in the fourth quarter reflects softer-than-anticipated revenue in Europe and Japan. And the fact we weren't satisfied with 2010 run rates in those regions, as we move through our planning process late last year. Earnings per diluted share were $0.19. Looking at the quarter, the organic revenue decline of 8.2% represented a sequential improvement from the previous six months. This result is in keeping with our public comments since the October conference call, in which we've consistently been clear that we think the worst of the recession's impact on our business has passed. Economic conditions appear to have stabilized, and we believe that we should see improvement during the course of 2010. It's likely that progress won't be linear. But it's fair to say that it's a good time for our clients to refocus on building for the future and investing in their brands. Overall, I would characterize the tone of the business as one of tempered optimism, especially for the second half of 2010. But we have begun to see clients reengage with many of our project-driven marketing service companies and there's also a greater willingness on the part of our clients to commit to annual spending plans. That wasn't the case at the end of last year. As you remember, we indicated to you that even in a flat organic environment this year, we would be in a strong position to recoup much of the margin progress made from 2006 to 2008, and then continue building on that momentum in the years to come. Those are goals we continue to believe are readily achievable.Another item of note, as we review last year's performance is the degree to which our long-standing conservative approach to the balance sheet, again proved to be our target. We've been building a sound financial foundation for the business for a number of years. And in 2009, we made further strides in expanding our debt maturity profile and enhancing the company's cash position. Furthermore, we continued to demonstrate our ability to effectively manage costs. For the full year, expenses were down significantly, as we took over $500 million of cost out of our business. I've mentioned previously that it's not possible in such a steep downturn to cut costs in line with revenue declines and not damage the quality of the services we deliver. Nonetheless, we're pleased that the way in which our management teams around the world responded to the business conditions that prevailed last year. We acted quickly and decisively to address both fixed and variable cost. We took hard decisions on cost and did so consistently throughout the year. These actions will be critical in allowing us to return to margin improvement trajectory we are on prior to the economic downturn.It bears mention that we were able to accomplish this while continuing to build on the quality of the talent and capabilities at our various agencies. I will have more to say about the performance of our agencies and the competitiveness of our service offering later on the call. But at the macro level, it's gratifying to point out that we are at the table, winning our fair share of all major account reviews and that our agencies are receiving a degree of industry recognition across all marketing disciplines. That clearly positions us for an eventual media and advertising recovery. With that, I'll now hand things over to Frank for an in-depth look at our results."
108616,84225351,51770,"Interpublic Group of Companies, Inc., Q4 2009 Earnings Call, Feb 26, 2010",2010-02-26,"Earnings Calls","The Interpublic Group of Companies, Inc.","Executives","Good morning. As a reminder, I hope we will be referring to the slide presentation that accompanies our website as available on our website. Before turning to the presentation, I would underscore that during the quarter, we continue to be aggressive in ma",2266,"Good morning. As a reminder, I hope we will be referring to the slide presentation that accompanies our website as available on our website. Before turning to the presentation, I would underscore that during the quarter, we continue to be aggressive in managing our costs, which resulted in more extensive headcount reduction than we anticipated coming out of Q3. As a result of our actions in the quarter and the year, we began 2010 with a reduction in the headcount of approximately 11% compared to a year ago. The amount of severance expense in our operating results therefore, are grouped commensurately. Severance was $71 million in Q4 and $166 million for the year. Excluding year-over-year incremental severance of $77 million, full year operating margins was 6.9%, which is consistent with our expectations coming out of the third quarter. That said, our structural expense improvement goes beyond headcount. While I'll have more detail on Q4 expenses in a few minutes, it's worth highlighting that we move into 2010 with a broadly-disciplined cost base. The investments we have made over the last few years in talent and in tools for business insight and control will provide even greater operating leverage as market conditions improve. I would also add that we concluded the year with strong cash flow from operations, well-managed working capital and in a strong position with respect to our balance sheet and liquidity. We ended with $2.5 billion of cash and marketable securities compared with $2.3 billion a year ago, while retiring approximately $200 million net debt during the year.  Diluted EPS in Q4 was $0.24 per share, compared with $0.39 a year ago. For the full year, that comparison is $0.19 per share, compared to $0.52.Turning to Slide 3, you can see our P&L for the quarter. I'll cover revenue and operating expenses in detail in the slides to follow. Other income was $29 million in the quarter, approximately half of this amount was due to the expiration settlement of certain liabilities that have been recognized in our 2004 restatement, with the remainder related to the sales of an investment held to an employee benefit trust.Turning to a closer look at operations on Slide 4, beginning with revenue. Revenue in the quarter was $1.8 billion, a decrease of 5.3%. Compared to Q4 2008, exchange rates had a positive impact of 2.9%. The impact of acquisitions and divestitures was de minimis. Our organic revenue change was a decrease of 8.2%, primarily the result of client reductions in scope, industry-free pressure and some lost assignments. In terms of client sectors, the top performers were retail, which increased from a year ago; packaged goods, health and personal care and financial services. It's worth noting that while auto  decreased from a year ago, the pace of decline slowed from Q's two and three. Each of the sector changes I just mentioned also showed improvement sequentially compared to Q3. Tech and telecom continued to weigh on our topline, reflecting lost assignments and generalized spending weakness in the sector. Revenue was somewhat stronger than we anticipated coming into the quarter. The organic change was less negative compared to the first nine months of the year, against softer prior performance and showed improvement from October to November, November to December. Relative our expectations among our major agency groups, we have the strongest outperformance in media, our U.S. independent agencies and the Draftfcb. At our Event business, which faced something of a perfect storm during the past year, the decrease moderated against softer results a year ago, and revenue grew outside of the U.S. Regionally, the U.S. performed better than international as a whole, with significant variance by international markets. More detail in a moment.On the bottom half of this slide, you can see the revenue performance of our operating segments. At our Integrated Agency Networks the organic change was negative 8%, with domestic performance approximately 2% better than outside of U.S. We were led by Mediabrands, Draftfcb and a strengthening in our U.S. independents.At our CMG segment, Q4 revenue decreased 9.7% organically. Here again, the U.S. decreased less than international. Our PR discipline decreased mid single digits organically as the rate decrease slowed in advance as I mentioned, while branding continued to be a difficult area.Slide 5 provides a breakdown of revenue by region. As you can see, spending reductions by multinational clients and in local project assignments continue to cross our major markets in the quarter. In the U.S., the organic decrease was 7.3%. The largest driver continue to be decreased spending from existing clients. Auto continue to weigh on domestic results, while lost assignments in the technology sector were also a factor. We are encouraged to see increases at several units in the U.S., including Mediabrands, Lowe and Deutsch, Draftfcb and Hill Holliday. Results included new business revenue due to account wins in digital and media disciplines and in the healthcare sector. Internationally, revenue decreased 3%, which includes a significant lift in currency in the quarter. The organic decrease was 9.2%. In the U.K., Q4 revenue decreased 4.5% organically. Performance was led by growth in Mediabrands and Jack Morton. This was offset by a pressure across other businesses due to decreased client spending, as well as some lost assignments. While our Q4 comparison in the U.K. shows significant improvement from the prior nine months, our outlook here in the near term remains fundamentally cautious.  In Continental Europe, our organic decrease was 14.6%. In Asia-Pac, where we have a large Japan presence, it was 11.5%. And in Latin America, 7.1%. Performance in all three markets was due to factors I've already mentioned. Our other markets and regions decreased 2% organically, which reflects the timing of certain project revenue in the prior year's quarter, which had no impact in the full year over year comparison.On Slide 6, we present a longer view of organic revenue growth that tracks our trailing 12-month performance. As you can see, we are pleased to get the 2009 behind us. On Slide 7, we take a closer look at operating expenses. Throughout the year, our financial priorities have been to align costs with revenue, protect margin to the extent possible and position ourselves to resume strong margin expansion, as marketers' conviction and the strength of the economic recovery takes hold. In Q4, operating expenses before the restructuring line decreased 6.5% organically, excluding incremental severance, decreased 8%. For the full year, operating expenses decreased 8.3% organically and decreased 9.6%, excluding the incremental severance. Q4 salaries and related expense were $1.05 billion compared with $1.08 billion a year ago, a decrease of 2.6% and 6.3% organically. Excluding incremental severance, salaries and related expense decreased 8.4% organically. Importantly, base salaries, benefits and tax decreased 10% organically, as a result of headcount actions taken over the preceding four quarters and decreased 30 basis points as a percentage of revenue. Severance expense was $71 million, compared with $48 million a year ago, or 3.9% of Q4 revenue compared with 2.5% a year ago. These expenses are the upfront cost of aligning headcount with revenue, as well as structural investments and productivity that will pay back in 2010 and beyond. As I mentioned earlier, as the quarter developed, we remained aggressive with headcount actions, focused on markets in Europe, Japan as well as the U.S. Full year severance was $166 million. Since the fourth quarter of 2008, headcount actions have addressed 14% of our workforce. Incentive expense in Q4 was 2.9% of revenue, compared with 2.3% a year ago. The comparison primarily reflects lower equity-related long term incentive expense in Q4 of 2008. For the full year, reflecting overall performance, incentive expense decreased 25%. Temporary labor expense decreased to 3% in Q4 and with 2.8% of revenue compared with 2.7% a year ago. For the full year, expense for temporary labor decreased 24%.Turning to office and general expense on the lower half of the slide, O&G was $475 million in Q4, a decrease of 1.9%, while the organic decrease was 7%. O&G expenses were 26.4% of the revenue in the quarter. And for the full year, O&G decreased to 28.5% of revenue from 28.9%. Occupancy expense was 7.6% of revenue compared with 6.9% a year ago due to lower revenue in 2009. We continue to act on opportunities to lower and contain lease expense around the world, including lease restructurings that improve utilization across all our agencies. In 2009, we were able to reduce square footage by approximately 5%, despite softness in real estate markets around the globe. Professional fees were 2.1% of Q4 revenue, the same level as a year ago. We reduced professional fees by $20 million for the full year. Travel, office supplies and telecom expenses were 3.4% of revenue compared with 3.9% in Q4 '08. This was an area of our procurement focus throughout the year, which contribute to a 28% decrease, $85 million for the full year. Our all other category decreased 5.5% organically in Q4 and with 13.3% of revenue compared with 12.6% a year ago. The comparison includes the timing of certain project expenses in the prior year's quarter that had no effect in the full year-over-year comparisons, as well as currency gains in Q4 '08 that did not repeat. On Slide 8, we show our operating margin history on a trailing 12-month basis. Given the magnitude of the recession, we gave back some of the gains made in '08, but margin expansion to a fully competitive level remains one of our primary financial objectives.On Slide 9, you can see our debt maturity schedule as of the end of the year. Debt totaled $1.9 billion, a reduction of approximately $200 million during 2009. As indicated, the $214 million that remains of our floating rate notes mature in November of this year. We remain confident that we are positioned to again, use cash on hand to delever this year. Two related items not shown here but are worth noting. Toward the conclusion of fourth quarter, we're pleased to add a dedicated letter of credit facility. The new facility is sized at 45 million pounds or approximately $72 million allows us to move a portion of the LC supported by our revolving credit facility, which further enhances our total available maturity there back. At year-end, we had a total of $95 million of letters of credit outstanding. And in January, we move $60 million to the new facility. As a reminder, we have never drawn on our current revolving credit facility and we have no plans to do so.Also in January, we received the full support of our bank group for mending two covenants in our revolving credit facility, in light of the 2009 operating environment and severance expense. The leverage covenant was expanded to allow debt to EBITDA of 3.75x through March 31 and subsequently steps down included the year at 3.47. The minimum EBITDA requirement was also adjusted by $30 million to $520 million through March 31, after which it steps up. For 2009, our actual covenant EBITDA was $561 million. The new EBITDA level is conservative and precautionary in our view and there is nothing in our 2010 operating plan that would test that level. Details for the covenants are available in our filings and our related year-end calculations also appear in the presentation appendix.Turning to the current portion of our balance sheet on Slide 10. We ended the year with $2.5 billion in cash and short-term marketable securities, which despite the very challenging year is an increase of $200 million from a year ago. As I mentioned, we used $200 million net in 2009 retired debt. On Slide 11, we turn to cash flow. This is the full year presentation. The fourth quarter is in the presentation appendix. For the year, cash flow from operations was $541 million, compared with $865 million in 2008, with a change due to mainly a decrease in net income. Cash from working capital changes was $99 million, a strong result for the year and a challenging operating environment. Our performance was due to our focus on working capital management and the growth of certain of our businesses, notably in Q4. The seasonality of our business means we typically see strong cash generation from working capital in the fourth quarter. And related to that build, we typically see seasonal use in working capital that follows in Q1. Investing activities used $128 million compared with $250 million in 2008. CapEx was $67 million, well below our historic levels. Financing activities used $267 million, which mainly reflects our redemption of 2009 and '11 maturities and a portion of our 2010s, offset by the issuance of our new 2017 notes. The net increase in cash and marketable securities for the year was $231 million. In summary, on Slide 12, the quarter continue to reflect marketers' decisions to reign in spending in 2009. Since the broader economic tone is still cautious, we will continue to manage our business conservatively as we move into 2010 with a continued focus on cost containment. Our teams will continue to execute aggressively on expense management in order to support our positioning for the strong profit growth that we believe is achievable as the economy picks up. Our financial resources remain strong. During the year, we reduced debt, extended our maturity profile, added a new letter of credit facility and increased our cash position, which has enhanced our liquidity and our financial flexibility. Now to talk about the state of our agency brands and our outlook for the year, I'd like to turn it back over to Michael."
108616,84225351,51770,"Interpublic Group of Companies, Inc., Q4 2009 Earnings Call, Feb 26, 2010",2010-02-26,"Earnings Calls","The Interpublic Group of Companies, Inc.","Executives","Thank you, Frank. As you can tell, we've just come through an extremely challenging year. The pressure that the recession placed on our clients had significant effects on the marketing activity and therefore, on our revenue. Our financial performance refl",928,"Thank you, Frank. As you can tell, we've just come through an extremely challenging year. The pressure that the recession placed on our clients had significant effects on the marketing activity and therefore, on our revenue. Our financial performance reflected this, but it also showed a strong focus on cost discipline, brought to bear by our management teams across the organization. We successfully consolidated much of the margin progress made in recent years and continued to hold our conservative approach to the balance sheet. Equally important during 2009, we saw a further confirmation that the strategic decisions we've been taking in recent years are positioning the company for long-term competitive competitiveness and growth. Full year performance of Draftfcb was very strong on both top and bottom line. This further validated the move we made to create a new agency that brings together marketing accountability and creativity in the media neutral model. There was also continued strong improvement in other areas of the business that we've been focusing on, such as Mediabrands, which performed particularly well in the fourth quarter. In the U.S., the combination of Lowe and Deutsch is tracking well and should give that network the ability to participate in more multinational new business opportunities. Our global PR agencies, Weber Shandwick and GolinHarris keep on delivering industry-leading work to their clients, including growing digital capabilities. This is what allows them to consistently gain share and outperform their peers. Our U.S. independents, particularly the Martin Agency and Hill Holliday also posted strong results, in spite of the economic challenges. as did our outstanding digital specialist, R/GA and HUGE. We saw ample recognition of this progress and the important year-end rankings released by the leading trade publications. The Martin Agency, R/GA and UM swept the Adweek Agency of the Year Awards in the U.S. Creative, U.S. Media and Digital categories. Martin and UM also appeared in the Ad Age A-List, along with Draftfcb and Weber Shandwick, one of the very few times a PR agency has ever made this list. Since it doesn't seem fair to put in a year's work for all these honors and not get acknowledged on our call, I have to mention that Deutsch, R/GA, Gotham and HUGE also appeared in Ad Age's list of up-and-coming agencies. You remember that last year initiative was a big winner in these awards, which coupled with UM's honors this year explains why media post named Mediabrands unit as the Media Holding Company of the Year for 2009. This performance was outstanding among our peers and particularly notable, because it included companies from across the full range of our portfolio. It shows that we're very much in the game when it comes to the competitors of our offerings that we can build on the recent momentum in new business arena and that we're well-positioned to grow once an economic recovery begins to take hold. It's also important to mention news that our largest unit, the McCann Worldgroup. Though it felt much of the impact of our issues in the tech and auto sectors last year, Worldgroup continues to have a very powerful global network and a full range of leading-edge services that include advertising, events promotion and activation, as well as CRM and digital, where they posted a significant recent win at GM that speaks of the depth and scope of their expertise. As announced, as of April 1, Nick Brien will assume the CEO role of Worldgroup from John Dooner, who remains Chairman at the balance of the year to ensure a seamless transaction. John was a major force in growing the Worldgroup into a global powerhouse, and we're indebted to him for his dedication and contributions. At Mediabrands, Nick led the introduction of many innovative digital offerings that are driving the business forward. Working closely with us at IPG and drawing on his multidisciplinary experience, Nick has also created a culture of collaboration at Mediabrands that helped us win a number of major integrated pitches. The senior leadership team that remains in place at Mediabrands is well-positioned to continue the success we've been seeing of late.This focus on an innovation, digital solutions and integrated marketing are all qualities that we believe will help us unlock greater value, from the McCann franchise. In sum, we have the talent and the tools to return to growth in line with the broader recovery. While there's still uncertainty at the world, we can expect in 2010 and we will manage the business accordingly, the economy has stabilized and begun to see signs of improvement. Clients are taking note and should increasingly move forward with their marketing and branding programs. Therefore, our goal of achieving 8% percent or greater operating margin this year in a flat revenue environment is within our reach. As is the opportunity to more aggressively expand margins if the back half of the 2010 shows marked improvement. Ultimately, our goal continues to remain to be fully competitive margin performance in the years to come. In terms of our professional offerings, we'll stay focused on the horizon by investing in digital talent across all our agencies, continue to develop tools that demonstrate the work we do as moving the needle for our clients business, adding to our strength in emerging market growth areas, such as the BRICs and MENA, this combination of contemporary forward-looking agencies and highly-disciplined financial management will be the key driver of long term value for our shareholders. With that, I'd like to thank you for being with us, and open up the floor for questions."
108616,84225351,51770,"Interpublic Group of Companies, Inc., Q4 2009 Earnings Call, Feb 26, 2010",2010-02-26,"Earnings Calls","The Interpublic Group of Companies, Inc.","Operator","[Operator Instructions]  Our first question comes from Alexia Quadrani from JPMorgan.",11,"[Operator Instructions]  Our first question comes from Alexia Quadrani from JPMorgan."
108616,84225351,51770,"Interpublic Group of Companies, Inc., Q4 2009 Earnings Call, Feb 26, 2010",2010-02-26,"Earnings Calls","The Interpublic Group of Companies, Inc.","Analysts","Michael, if I could follow up on your comments on McCann, if you can give us a better sense I think of how the performance was McCann in the fourth quarter compared to the overall company may be held at was versus the trends you saw earlier in the year? A",61,"Michael, if I could follow up on your comments on McCann, if you can give us a better sense I think of how the performance was McCann in the fourth quarter compared to the overall company may be held at was versus the trends you saw earlier in the year? And then specifically, are you seeing any improvement going into 2010?"
108616,84225351,51770,"Interpublic Group of Companies, Inc., Q4 2009 Earnings Call, Feb 26, 2010",2010-02-26,"Earnings Calls","The Interpublic Group of Companies, Inc.","Executives","Obviously, McCann is our largest global network and a significant contributed to our profitability and revenue. It continues to be that. We saw some softening in Europe, in particular with respect to McCann. But overall, I believe, as indicated by the win",204,"Obviously, McCann is our largest global network and a significant contributed to our profitability and revenue. It continues to be that. We saw some softening in Europe, in particular with respect to McCann. But overall, I believe, as indicated by the win at MRM with General Motors and other potential new client opportunities and expansion of opportunities within their existing clients, I'm comfortable that the McCann Worldgroup continues to be, and will continue to be, a major factor in our overall performance. I think it was a difficult year for everyone in 2009, and what they showed at the Worldgroup is their ability to take cost out of their business, reposition themselves in the marketplace. If you take a look at some of that severance expenses, for example, in particular, in Japan and in Europe, these just weren't headcount reductions. These were structural changes at the Worldgroup to be more efficient in the marketplace, we're adding new talent and management there that I believe will go a long way to returning McCann Worldgroup to the high levels of margin that they're used to accomplishing. That said, they still delivered margin for us and overall profitability, and their competitiveness in the marketplace is first rate."
108616,84225351,51770,"Interpublic Group of Companies, Inc., Q4 2009 Earnings Call, Feb 26, 2010",2010-02-26,"Earnings Calls","The Interpublic Group of Companies, Inc.","Analysts","And then you touched on auto earlier, you have a lot out of moving pieces in auto at IPG in 2009. I know it's very early in the year, so it might be too hard to comment. But do you think its -- what's your outlook for I guess auto in general for you guys",76,"And then you touched on auto earlier, you have a lot out of moving pieces in auto at IPG in 2009. I know it's very early in the year, so it might be too hard to comment. But do you think its -- what's your outlook for I guess auto in general for you guys in 2010? Do you think its possible we could see it up or is it going to be hard to do?"
108616,84225351,51770,"Interpublic Group of Companies, Inc., Q4 2009 Earnings Call, Feb 26, 2010",2010-02-26,"Earnings Calls","The Interpublic Group of Companies, Inc.","Executives","It can't go any worse than it was in 2009, and there's no question that we're seeing improvements. Even in the fourth quarter, we saw certainly the reductions on the auto sector were less in the fourth quarter than they were before. And we are seeing posi",173,"It can't go any worse than it was in 2009, and there's no question that we're seeing improvements. Even in the fourth quarter, we saw certainly the reductions on the auto sector were less in the fourth quarter than they were before. And we are seeing positive impact, particularly from General Motors. The other side is we've been winning other clients in the auto sector, the media group, in particular, with the adding of Chrysler and BMW, and our continuous performance at Media [ph] and Hyundai and very encouraging. And of course, Deutsche won Volkswagen. So the auto sector will continue to be an important sector for us, and I see encouraging signs on the expense side. And of course, General Motors is back to spending, and they can't believe the old agency continues to be the agency of record with respect to Chevrolet. And the new can will group [ph] continues to service the General Motors on a global basis. So I'm encouraged by what I'm seeing on the auto sector."
