"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
311907,81834325,47856,"Varian Medical Systems Inc., Q1 2010 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Varian Medical Systems, Inc.","Operator","Good day, ladies and gentlemen, and welcome to the First Quarter 2010 Varian Medical Systems Earnings Conference Call. My name is Shamika and I will be your coordinator for today. [Operator Instructions] I would now like to turn the presentation over to y",58,"Good day, ladies and gentlemen, and welcome to the First Quarter 2010 Varian Medical Systems Earnings Conference Call. My name is Shamika and I will be your coordinator for today. [Operator Instructions] I would now like to turn the presentation over to your host for today's call, Mr. Spencer Sias, Vice President of Investor Relations and Corporate Communications."
311907,81834325,47856,"Varian Medical Systems Inc., Q1 2010 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Varian Medical Systems, Inc.","Executives","Thank you. Good afternoon and welcome to Varian Medical Systems conference call for the first quarter of fiscal year 2010. With me are Tim Guertin, President and CEO; Elisha Finney, CFO; and Tai Chen, our Corporate Controller. Tim and Elisha will summariz",271,"Thank you. Good afternoon and welcome to Varian Medical Systems conference call for the first quarter of fiscal year 2010. With me are Tim Guertin, President and CEO; Elisha Finney, CFO; and Tai Chen, our Corporate Controller. Tim and Elisha will summarize our results and we'll take your questions following the presentation. To simplify our discussion, unless otherwise stated, all references to the quarter or the year are fiscal quarters and fiscal years. Quarterly comparisons are for the first quarter of fiscal 2010 versus the first quarter of fiscal 2009. All results of our continuing operations, which exclude the sale of the research instruments portion of ACCEL. Please be advised that this presentation and discussion contains forward-looking statements. Our use of words and phrases such as outlook, could, should, believe, opportunity, can, estimate, optimistic, hope, expect and confident and similar expressions are intended to identify those statements which represent our current judgment on future performance or other future matters. While we believe them to be reasonable based on the information currently available to us, these statements are subject to risks and uncertainties that could cause actual results to differ materially. Some of the important risks relating to our business are described in our first quarter earnings release and in our filings with the SEC. We assume no obligation to update or revise the forward-looking statements in this presentation and discussion because of new information, future events, or otherwise.As a reminder, our Annual Stockholders Meeting, which will also be webcast, is scheduled for February 11 in Palo Alto. We encourage you to go to your proper seat [ph]. And now, here's Tim."
311907,81834325,47856,"Varian Medical Systems Inc., Q1 2010 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Varian Medical Systems, Inc.","Executives","Good afternoon and welcome. Thanks for joining me in our First Quarter Fiscal 2010 Conference Call. Today, we are reporting 6% growth in revenues, solid gains in our gross and operating margins and a 13% increase in earnings per diluted share from continu",1415,"Good afternoon and welcome. Thanks for joining me in our First Quarter Fiscal 2010 Conference Call. Today, we are reporting 6% growth in revenues, solid gains in our gross and operating margins and a 13% increase in earnings per diluted share from continuing operations. Net orders for the company would've grown 1% excluding the reversal of a $62 million Proton Therapy order, including this reversal net orders fell 10%. Net orders increased in both our Oncology Systems and X-ray Products businesses on the strength of their international markets. Despite the Proton reversal, our total company backlog grew 4%. Given these results, we have elected to raise our guidance for the fiscal year. But before getting to guidance, I'll focus on market and operational activity during the quarter and let Elisha give you some color on the numbers.Oncology Systems' first quarter net orders grew by 2% to $437 million, which was nice to see after a decline in the fourth quarter. Net orders rose 19% in international markets with double-digit gains in Asia and Europe, while orders fell 13% in North America with declines for both hospitals and freestanding clinics. We start by focusing on the international markets, which accounted for more than 55% of the Oncology orders during the period. Both Asia and Europe had strong growth helped somewhat by a weaker dollar. Asia's growth was led by the trio of Japan, China and India. In Japan, we benefited from a government stimulus package to enhance cancer treatment capabilities. In China and India, demand was strong for high-performance machines, and we saw a greater interest in our units for more affordable care as well. The star in Europe was Germany, where orders more than tripled with activity in private as well as public centers. In all of these markets, we're seeing healthcare systems expanding their radiotherapy and radiosurgery infrastructure to better serve their growing cancer patient populations. In North America, we are seeing early signs of renewed interest among freestanding clinics. However, hospitals are still constrained by tightened annual capital spending budgets established last year in response to the recession and concerns about healthcare reform. As hospital balance sheets improve, we hope to see a higher capital spending budgets and a resumption of more normal purchasing patterns. In all of the markets, the interest in our products and technology remains very high. Continued demand for our RapidArc product also contributed to Oncology's growth. And as of the end of the quarter, we had installed more than 340 systems. RapidArc is far and away to clear market standard for fast image-guided IMRT. In the quarter, we saw a richer mix of orders for high-energy Trilogy and Novalis Tx machines capable of delivering stereotactic radiosurgery and traditional radiotherapy centers. We expect that radiosurgery is on its way to becoming a standard offering in radiation oncology facilities. We also received our second order, this one from India, for our new cost competitive UNIQUE accelerator for image-guided RapidArc treatments, and we are obtaining clearances to sell this machine in more international markets. Customer interest is strong and we expect this to be a very successful product. BrachyTherapy product orders increased with the help of new, much faster treatment planning software, which uses an out rhythm that we are now incorporating into our Eclipse software for planning radiotherapy and radiosurgery treatments. Despite very tough comps from the year-ago quarter, our Service business expanded nicely and it now represents a $500-million business annually. We are focused on achieving a higher contract capture rate among our install base with accelerators. And as a new data point, per UR [ph] install base now stands at more than 5,800 units with another 500 non-varying units within our service arena. These installations are split evenly between the North American and international markets.Let me take a moment to address our position relative to competitors. Looking backward over the fiscal year, we believe that both Elekta and Varian gained share at the expense of other competitors. At the end of the day, though, this isn't about beating competitors, it's about beating cancer with better and better products to deliver fast and affordable life-saving treatments, that's our focus.Turning to our X-Ray Products businesses, we passed a major milestone during the quarter as orders for our digital imaging detectors exceeded two borders for the first time and helped to grow X-ray's total net orders for the quarter by 9% to $99 million. This product mix shift was a prime contributor to improve margins for this business during the quarter.Moving to digital image detectors has resulted in the continued expansion of the X-ray business and has helped the insulators from a harsh market environment that is hurting imaging equipment manufacturers, particularly in North America. We talked in the past about being uniquely equipped to offer customers special packages, paring tubes and detectors, that are optimized for digital X-ray imaging. We landed another significant deal like this during the quarter, a $7 million order from an equipment manufacturer in China. It was among more than $15 million in detector orders from several new customers in Asia and Europe that contributed to the gains made by this business during the quarter. From a geographic perspective, the X-ray Products order gross stand exclusively from international markets, especially Asia. As I indicated a moment ago, North America has been tough for everybody, including us. Orders in this region were down particularly from Mammography Tubes and detectors for dental and veterinary imaging systems. Our focus now is on segments and customers that are doing well in this market, and we believe we can continue to benefit from equipment manufacturers' ongoing rollout, a film with X-ray imaging systems which speed the imaging process and lower the cost per procedure. In our Other business category, including our SIP, Security and Inspection Products business, our Particle Therapy business and our Ginzton Technology Center, combined net orders for the quarter declined $73 million to a negative $40 million, primarily because of the reversal of a $62 million proton order for Skandionkliniken in Sweden. We also had a $10 million decline in orders for our SIP business which had an unusually strong first quarter in the last year. As most of you know, from our earlier 8-K filings during the quarter, Skandionkliniken canceled its proton order, following a successful core challenge to its public tender process. We are prepared to respond to a new public tender with hopes of being selected again for this project. We have great confidence in the suitability of our Particle Therapy and pencil beam scanning technology for this and other proton center projects around the world. As an example, we reached a major milestone with this technology in December when we successfully commissioned the second treatment gantry at the RPTC [Rinecker Proton Therapy Center] proton center in Munich. More than 80 patients have been treated at the clinic to date and more patients are currently undergoing treatment. The clinical implementation of a second gantry is enabling RPTC to double its treatment capacity. We are excited about the growth prospects for this business and we are in active discussions with several groups who are planning to open Proton Therapy centers in various sites around the world. We're continuing to gain for two or more proton orders per year. The slightest flow for this quarter, our SIP business, continues to have a healthy pipeline and good opportunities for growth. Our biggest challenge in this business is dealing with its lumpiness, as governments around the world move to deploy this technology and fit some starts. It is clear, however, that there is a concerted and ongoing effort to improve security of ports and borders, and we're confident that our technology will play a key role in this endeavor.We are concentrating on providing security customers with superior value in terms of smaller, lighter components and systems that deliver higher image quality, as well as faster imaging and analysis for automatic detection. For example, the materials discrimination technology that we developed is now included in about 80% of the products we sell, for cargo and for the security. We expect that this development work will enable Varian to deploy security products in a broader array of fixed and mobile systems, as well as applications including screening air cargo.Now I'll turn it over to Elisha for a review of the numbers, and then I'll come back to you with our outlook for the second quarter and for the full fiscal 2010."
311907,81834325,47856,"Varian Medical Systems Inc., Q1 2010 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Varian Medical Systems, Inc.","Executives","Thanks, Tim, and hello, everyone. As usual, I will walk you through the income statement, as well as cover a few balance sheet items. First quarter revenues of $541 million increased 6%. Oncology Systems posted an increase of 8%, X-ray Products posted a g",434,"Thanks, Tim, and hello, everyone. As usual, I will walk you through the income statement, as well as cover a few balance sheet items. First quarter revenues of $541 million increased 6%. Oncology Systems posted an increase of 8%, X-ray Products posted a gain of 6% and revenues from businesses under the Other category decreased by $5 million or 20%. In constant currency, total company revenues increased 3% from the year-ago quarter as a result of a weaker dollar. The first quarter gross margin for the company rose 1.5 points to 44.6%. Strong gains in Oncology Systems and X-Ray Products gross margins were partially offset by sharp declines among businesses and the Other category. Oncology Systems gross margin increased nearly three points to 46.5%, due primarily to cost control initiatives that improved margins across our product lines and a higher mix of software and service revenue. X-Ray Products gross margin rose one point to 41.2%, due to the higher mix of digital detectors. First quarter SG&A expenses were $84 million or 15% of revenue, a one point improvement from the year-ago quarter as a result of tight cost controls. First quarter R&D expenses were $38 million or 7% of revenue, nearly even with the year-ago quarter as a percentage of revenue.Moving down the income statement, first quarter operating earnings rose 21% to $119 million or 22% of revenue, up about 2.5 points. Depreciation and amortization totaled $12 million for the quarter. Net interest expense for the quarter was $300,000. The effective tax rate was 33.7% for the quarter, up more than three points from the year-ago quarter when we benefited from discrete items including a reinstatement of the R&D tax credit. For fiscal year 2010, we continue to estimate the tax rate will be 31% to 32%. Fully diluted shares outstanding were approximately $125 million at the end of the quarter. Diluted earnings per share from continuing operations rose 13% to $0.63. Turning now to the balance sheet. We ended the quarter with cash and cash equivalents of $625 million, that's a $37 million and stockholders equity of $1.4 billion. DSO or days sales outstanding for the quarter was 84 days, up one day from the year-ago quarter and up three days from the prior fourth quarter. First quarter cash flow from operations was $131 million, with most of it coming from net earnings and strong AR [Accounts Receivable] collections. Primary uses of cash were $55 million to repurchase $1.3 million shares of stock under our repurchase program and $8 million for capital expenditures.Now, I'll turn it back over to Tim for the outlook."
311907,81834325,47856,"Varian Medical Systems Inc., Q1 2010 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Varian Medical Systems, Inc.","Executives","Thanks, Elisha. Given our revenue growth, improved margins and the strength of our earnings in the first quarter, we now believe that revenues for fiscal year 2010 can grow by about 6% over the fiscal 2009 total. And net annual, net earning earnings per d",167,"Thanks, Elisha. Given our revenue growth, improved margins and the strength of our earnings in the first quarter, we now believe that revenues for fiscal year 2010 can grow by about 6% over the fiscal 2009 total. And net annual, net earning earnings per diluted share could be in the range of $2.76 to $2.83. We believe that for the second quarter of fiscal year 2010, total company revenues could increase by about 4% over the prior-year period and net net earnings per diluted share could be in a range of $0.66 to $0.68. To summarize our thoughts on the quarter and the rest of the year, we're cautiously optimistic. We're seeing strength in the international markets, and we hope to see renewed purchasing activity in North America as new budgets are put in place. Our strategic plans are sound and we're executing well. We remain confident that we can achieve long-term growth in all of our businesses. Thank you, and we're now ready for your questions."
311907,81834325,47856,"Varian Medical Systems Inc., Q1 2010 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Varian Medical Systems, Inc.","Operator","[Operator Instructions] Your first question comes from the line of Amit Bhalla of Citigroup.",14,"[Operator Instructions] Your first question comes from the line of Amit Bhalla of Citigroup."
311907,81834325,47856,"Varian Medical Systems Inc., Q1 2010 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Varian Medical Systems, Inc.","Analysts","Tim, I wanted to start with North America Oncology and have you talked a little bit more about freestanding clinics as well as the hospitals? Last quarter, you said the freestanding was down about 50% and hospitals were down 10% to 15%. So maybe you could",87,"Tim, I wanted to start with North America Oncology and have you talked a little bit more about freestanding clinics as well as the hospitals? Last quarter, you said the freestanding was down about 50% and hospitals were down 10% to 15%. So maybe you could give a little bit more granularity on how the two performed this quarter. And secondly, reimbursement rates came in better than expected back on November 1. So how much of a positive impact did that have on orders in the quarter?"
311907,81834325,47856,"Varian Medical Systems Inc., Q1 2010 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Varian Medical Systems, Inc.","Executives","Both hospitals and free standings, of course, were not where they were a year  ago. A year ago, this process was just beginning. People were operating on budgets that have been established in the previous year. So we expected that we would have some diffi",358,"Both hospitals and free standings, of course, were not where they were a year  ago. A year ago, this process was just beginning. People were operating on budgets that have been established in the previous year. So we expected that we would have some difficulty there. We are seeing renewed signs of interest in the freestanding clinics, and we're hopeful that, that will turn into more and more business for us as the year goes on. In hospitals, they're still operating off a budget they set last year. We need to see those budgets gradually weighted in the new budgets. They're going to do that as they look at their balance sheets, and their balance sheets are looking a lot better now than they were looking when they made these budgets a year ago. So I'm hoping that as I look at those balance sheets and as they get pressure from clinicians and their operations to upgrade their equipment and to adopt more modern equipment to replace aging equipment that they will start to budget more. We didn't see that in the first quarter, we didn't expect to see it in the first quarter, but we're hoping that we will see it more and more as the year goes on. And to remind you, we still have an aging base. That aging got a lot worse during the year because there wasn't as much buying, and so I think the pressure to replace that aging equipment may be as high now as it will ever be. And I'll also add that there was concern during the year about what healthcare reform would be, and I think those concerns are probably not as great now as they might have been for hospitals. And although that situation is probably not over and certainly could come up again, I think that hospitals prepared in 2009 for whatever might be coming in 2010 and that preparation is now built in to their budgets. And I think that, as I say, the balance sheets are stronger, and I think their behavior will be more normal next year than what we saw in 2009."
311907,81834325,47856,"Varian Medical Systems Inc., Q1 2010 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Varian Medical Systems, Inc.","Analysts","Tim, I know you don't give order guidance in Oncology or for the rest of the business, but is it safe to assume that you expect within Oncology the trajectory, the beginning to be improving in subsequent quarters of the year?",41,"Tim, I know you don't give order guidance in Oncology or for the rest of the business, but is it safe to assume that you expect within Oncology the trajectory, the beginning to be improving in subsequent quarters of the year?"
311907,81834325,47856,"Varian Medical Systems Inc., Q1 2010 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Varian Medical Systems, Inc.","Executives","Expect might be too strong a word. Certainly, I have good reasons for optimism, but my customers need to change their behavior and people don't change their behavior overnight. So I would say I have good reasons to expect it, but I'm going to wait to see",58,"Expect might be too strong a word. Certainly, I have good reasons for optimism, but my customers need to change their behavior and people don't change their behavior overnight. So I would say I have good reasons to expect it, but I'm going to wait to see them actually can change their behavior before I use that word."
