"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
24689,83655926,48158,"Time Warner Inc., Q4 2009 Earnings Call, Feb 03, 2010",2010-02-03,"Earnings Calls","Warner Media, LLC","Operator","Hello, and welcome to the Time Warner's Fourth Quarter and Full Year 2009 Earnings Call. [Operator Instructions] I will now turn the call over to Doug Shapiro, Senior Vice President of Investor Relations. Sir, you may begin.",37,"Hello, and welcome to the Time Warner's Fourth Quarter and Full Year 2009 Earnings Call. [Operator Instructions] I will now turn the call over to Doug Shapiro, Senior Vice President of Investor Relations. Sir, you may begin."
24689,83655926,48158,"Time Warner Inc., Q4 2009 Earnings Call, Feb 03, 2010",2010-02-03,"Earnings Calls","Warner Media, LLC","Executives","Thanks a lot. Welcome to Time Warner's 2009 Fourth Quarter and Full Year Earnings Conference Call. Before we begin, there's several items I need to cover.First, we refer to certain non-GAAP financial measures. Schedules setting out reconciliations of hist",203,"Thanks a lot. Welcome to Time Warner's 2009 Fourth Quarter and Full Year Earnings Conference Call. Before we begin, there's several items I need to cover.First, we refer to certain non-GAAP financial measures. Schedules setting out reconciliations of historical non-GAAP measures to the most directly comparable GAAP measures are included in our earnings release and trending schedules. These reconciliations are available on our website at timewarner.com/investors. Reconciliations of our expected future financial performance are also included on our website. Second, today's announcement includes certain forward-looking statements, which are based on management's current expectations. Actual results may vary materially from those expressed or implied by these statements due to various factors. These factors are discussed in detail in Time Warner's SEC filings, including it's most recent annual report on Form 10-K, and quarterly reports on Form 10-Q. Time Warner's under no obligation, and in fact, expressly disclaims any obligation to update or alter it's forward-looking statements, whether as a result of new information, future events or otherwise. Lastly, just please keep in mind that the company has presented the operating results for Time Warner Cable and AOL as discontinued operations for all periods presented. With that, let me turn the call over to Jeff."
24689,83655926,48158,"Time Warner Inc., Q4 2009 Earnings Call, Feb 03, 2010",2010-02-03,"Earnings Calls","Warner Media, LLC","Executives","Thanks, Doug. Good morning, everyone, and thanks for joining us. We began 2009 with an ambitious agenda, and we achieved what we set out to do. So as a result, Time Warner is better positioned today than ever. We've got strong operational and financial mo",2202,"Thanks, Doug. Good morning, everyone, and thanks for joining us. We began 2009 with an ambitious agenda, and we achieved what we set out to do. So as a result, Time Warner is better positioned today than ever. We've got strong operational and financial momentum, and there's increasing evidence that industry trends are going our way. And now, I think we're structured to run our businesses more aggressively than ever. We delivered very strong adjusted earnings per share growth last year, despite the worst recession in most of our lives. Our Networks and Film businesses posted record profits, driven largely by the strength of our content. And that performance underscores two things that we have discussed before. Demand is growing for the kind of high quality content that we make, as consumers enjoy more choices. It also shows how our unique combination of scale, brands and talent enables us to institutionalize success in hit-driven businesses. In 2009, we approved the efficiency and productivity of our businesses. By reallocating resources, we substantially raised our investment in her programming and production. And that's critical to drive our revenue and extend our competitive position. And we still increase margins by significantly reducing overhead expense. While we were doing that, we strengthened our balance sheet last year as well, while doubling our return of capital to shareholders. Free cash flow totaled almost $3 billion. And we returned over $2 billion of that, or more than 70%, to our shareholders through dividends and share repurchases. We also spun off Time Warner Cable and AOL, and that allowed us to focus all our energy and resources on what we do best, making and distributing the most compelling branded content on traditional and emerging platforms, and monetizing it better than anyone else. In 2010 and beyond, we'll build on this foundation. As you saw in this morning's outlook release, we expect to grow our Adjusted EPS mid-teens in 2010. We'll do that by executing even more aggressively on the four operational priorities that I've discussed with you before. The first is leveraging our scale and brands to create the highest quality content and monetize it better than anyone else. Second, make our operations more efficient by allocating resources to the best and most productive use. Third, we're going to keep expanding internationally. And fourth, we're developing new business models that capitalize on changes in consumer usage and technology, while at the same time ensuring when possible that they're additive and not cannibalistic. We're going to talk more about that. In practice, this means that we will again spend more on programming and production in 2010. We'll invest more in new digital initiatives and extend our brands internationally. And we'll do that while keeping our overall expenses relatively flat. And I'd like to expand on what that means in each of our four divisions.So I'll start with Turner. We made considerable investments in original programming last year to make sure that our networks become even more attractive for our viewers, our advertisers and our affiliates. We have a lot of successes. Last year, TNT original dramas grew ratings in the same time slots by over 50% over the prior year. And three of it's new original series ranked in cable's top five. Just to pick one of them, TBS debuted the Lopez Tonight Show to double-digit gains in it's time slot. And in it's first few weeks, it outdelivered most other late-night talk shows in valuable 18 to 30 demo. However, not every new original or acquired series worked or connected with viewers as much as we would have liked. We're making changes where necessary, and I remain confident, as we have been, that we'll attract growing audience over the long term. In 2010, just to give you a view of that, we'll bring back hit shows like The Closer and Leverage to TNT, while developing new original dramas such as the new series from Steven Spielberg and George Clooney. We'll also expand our original programming lineup on TBS. I'd like to point out that we expect our entertainment networks to grow ad revenue for the year, even without a major rebound in ratings trends, which we will be working on to do as well. At CNN, we invest tremendous resources on news gathering to deliver the most comprehensive, non-partisan news and analysis in the industry, and do it across all platforms. If you've watched CNN during the tragedy in Haiti, you know that the depth and breadth of our coverage is unparalleled. CNN's ratings vary depending on the news environment. We typically outperform our peers significantly during major news events, as more people turn to CNN than anywhere else. And we have lower ratings when the news cycle is slow. But CNN's position as the premium, biggest reach, multi-platform brand in the news business enables us to consistently command premium pricing from advertisers. In fact, despite ratings declines, this last year compared to the record performance in the 2008 election year, CNN again grew it's profits by double digits in 2009. This year, we expect another year of strong profit growth at CNN.HBO. The performance at HBO last year illustrates that it's value proposition has never been better. It aired four of the six highest-rated shows in it's entire history, and it grew it's subscriber base for the year despite the recession. This year, HBO is bringing back the next season of our highest-rated shows, including True Blood, Entourage, Hung and Big Love. We'll debut The Pacific, the highly anticipated miniseries from Steven Spielberg and Tom Hanks. That's the companion to Band of Brothers. And we'll premiere Martin Scorsese's Boardwalk Empire, with it poised to HBO's next breakout hit show. Both Turner and HBO will keep expanding internationally this year too. Turner's International business currently operates more than 100 feeds across 200 countries. We'll expand organically by launching new feeds in new markets and adding new distributors. We'll also make acquisitions where it makes sense. For example, we recently agreed to acquire NDTV Imagine, which is a general entertainment network in India, that will significantly increase our presence and scale in that region. HBO has over 33 million subscribers internationally, that at HBO Latin America, HBO Asia and HBO Central Europe. And it's the leading pay-TV provider in each of these markets. We plan to extend this lead as we rollout new features like On Demand. Altogether, we expect our International Cable Networks business and related content sales to generate more than $400 million of adjusted OIBDA in 2010. And they're set to grow even faster than our domestic networks. In TV, as in film and magazines, we're leading the charge to digital business models that enhance the value of our content both for us and for consumers. In 2010, both Turner and HBO will continue to pioneer the industry-wide TV Everywhere initiative, which is basically TV on demand and on broadband. Turner will be in trials or commercial launch with every major distributor this year, cable, satellite and telco. And you'll soon hear more about HBO's rollout of it's streaming service, HBO Go, which will offer three times the content of what's on HBO On Demand today.Now let's move over to our studio. Warner Bros. performed phenomenally last year too, shattering records everywhere it turned. It broke the all-time global box office record with more than $4 billion in sales. Seven films crossed the $100 million mark domestic box-office in 2009, that's also a record, including the latest in the Harry Potter franchise, Sherlock Holmes, The Blind Side and The Hangover. The Hangover was the best selling R-rated comedy ever at the box office and on home video. Even with declines in the Home Video category industry-wide, this performance helped power Warner Bros. to it's most profitable year ever, roughly $1.5 billion in adjusted OIBDA. And even after a record 2009 slate, we are very optimistic about this year's film slate. 10 fall releases include the seventh Harry Potter; Sex and the City 2; Inception, a film from Christopher Nolan, who directed The Dark Knight; Due Date from Todd Phillips, who gave us the Hangover; Clash of the Titans and Guardians of Ga'Hoole, which is a 3D CGI film based on the popular young adult book series. In the next few months, you'll also hear more about our plans to mine more aggressively the deep catalog of DC comics characters across Warner Bros. theatrical, home video, TV and games divisions, and across our other divisions as well.Turning to the Television Production business, very important business. As you may know, in most years, Warner TV Production contributes as much as half the profits in our filmed entertainment division. This year, Warner will continue to develop and foster the relationships with A-list writers and directors that's made us the number one provider of broadcast TV programming for 18 of the past 23 years. And that's enabled us produce hits like Two and A Half Men and Big Bang Theory, which are the two top comedies on TV right now. We see encouraging secular dynamics this year and over the next several years, with recent signs that broadcasters may be able to secure our cash carriage fees, and NBC's recent decision to resume broadcasting scripted programming at 10 p.m., and the robust marketplace for both original and off-network programming on cable. Demand for high-quality scripted programming seems to be going up, and that is right in Warner TV's sweet spot. Last year, we parlayed our leading position at the box office and on TV into the number one share in the Home Video business for the ninth consecutive year. That included Warner's being number one in every category, standard definition, Blu-Ray high def, VOD and electronic sell-through. In 2010, we'll continue to lead the transition of the Home Video business to digital, which carries higher gross profits for us than physical DVDs. We're also actively working with distributors to make sure that we can offer consumers convenience and a compelling value proposition, while ensuring that we're appropriately compensated for our intellectual property. Overall, due to the strength in our film slate, our expectations for another strong year in TV production and our progress in the Home Video business, we believe that Warner Bros. is set to deliver another year of very strong profits coming up in 2010.On the Time Inc., we recently announced that we and several other publishers have formed a consortium to develop common technology standards for reading print content on tablets and on other e-Reader devices. We view these devices as a key way to transition the dual revenue stream Print business model to digital. And as these readers grow in popularity, they are proving that consumers will pay for quality content, and these readers enhance the kind of content that we can deliver. And as they improve functionality, they hold increasing promise as an advertising medium. Just as in our TV and Film business, we intend to lead the way in determining how Digital business models will evolve here to. Operationally, timing faced a pretty challenging advertising climate last year, but there were clean signs of improvement in the fourth quarter. And testifying to the strength of Time's content and brands, in 2009, Time Inc. grew it's share of advertising and grew it's share of readership. This year, Time Inc. will continue to reduce it's cost structure. The restructuring that we undertook in the fourth quarter should generate about $100 million in savings on a run-rate basis in 2010 and years after. And at the same time that we're building that in, Time Inc. will continue to distance itself from it's competitors by investing in it's biggest brands and in high-quality editorial content. Now John, in a minute, will talk more to you about our financial performance in 2009, and our plans for 2010 and our balance sheet. But before I handed it off to John, I'd like to touch on how we're approaching our capital management this year.Philosophically, I think one of our most important jobs is to actively manage our capital, to enhance the organic returns of our businesses and maintain a strong balance sheet, as we go along. In line with this goal, our board has increased our dividend, and authorized the increase in the remaining stock repurchase authorization to $3 billion. As a result, we now provide, by far, the highest dividend payout ratio and the highest yield of any of our peers in media, and we're on pace to return even more capital in 2010 than we did last year. These steps reflect our confidence, confidence in the future of high-quality content over the long term, confidence in our strategic and competitive position and confidence that we can deliver steady, superior returns to stockholders year-by-year and over the long term. We think that the more you know about today's Time Warner, the more you'll share this confidence. And we're looking forward to talking more with you about this in detail across each of our businesses at our Investor Day that we've scheduled in late May. We'll be sending out details soon. With that, I'd like to turn the call over to John."
24689,83655926,48158,"Time Warner Inc., Q4 2009 Earnings Call, Feb 03, 2010",2010-02-03,"Earnings Calls","Warner Media, LLC","Executives","Thanks, Jeff, and good morning, everyone. And let me begin by saying that there are slides that are now available on our website to help you follow along with my comments. And beginning on the first slide, you'll see some brief highlights and observations",2508,"Thanks, Jeff, and good morning, everyone. And let me begin by saying that there are slides that are now available on our website to help you follow along with my comments. And beginning on the first slide, you'll see some brief highlights and observations, some of which Jeff has made already. Despite the difficult environment, we had a number of important financial achievements in 2009, and we did accomplish all of our objectives. First, we delivered strong financial performance. Next, we completed the spins of both Time Warner Cable and AOL. And further, we maintained a very strong balance sheet, while both investing fully in our businesses and increasing direct returns to shareholders. Our fourth quarter results allowed us to deliver adjusted EPS of $1.83 for the year, and that compares to our full-year adjusted EPS outlook of at least $1.75. This EPS figure was also a significant improvement over 2008. We also continued to generate significant levels of free cash flow, with a very high full-year conversion ratio of 15% of adjusted OIBDA. And this enabled us to return $2.1 billion to shareholders through both dividends and share repurchases, and that represented over 70% of our free cash. And as Jeff mentioned, our board authorized both an increase in the annual dividend to $0.85 a share, and an increase in our remaining share repurchase program to about $3 billion. And as we look ahead, we are very, very encouraged by both improving macroeconomic trends and the strong competitive positions of our businesses. And we intend to maintain their leadership position by further improving our operating efficiency and by allocating resources towards areas of higher growth and better returns. This year, we'll use our balance sheet strength to fund even more investment in our businesses, we'll improve our capital efficiency and we're on course to return even capital directly to shareholders. This is all reflected in this morning's outlook.This next slide shows our consolidated fourth quarter and full year financial highlights. Fourth quarter revenues increased 2%, as higher content and subscription revenues more than offset an 8% decline in advertising revenues. And while advertising was down for the quarter, this did represent a sequential improvement from the 10% drop in the third quarter of 2009 and it did represent the smallest decline that we saw for the entire year. It's also the first quarter of overall revenue growth this since the second quarter of 2008, so we're quite pleased with that.Adjusted OIBDA was up very nicely in the fourth quarter, and our film studio was a big driver of the growth. Now you do see some pretty large year-over-year profit growth variances in our fourth quarter reported results. Please remember that in last year's fourth quarter, we incurred an approximately $270 million legal charge related to the sale of our winter sports teams. Over the course of the past year, we talked to you also about the impact that we've experienced from higher pension expense, as well as unfavorable foreign currency exchange rates and the impact that those have had on our results. For the full year, pension and FX taken together were an almost 600 basis point drag on our adjusted OIBDA growth.Operating expenses, which include cost to revenues and SG&A, fell by an approximately $1 billion last year for the full year. Margins climbed more than 200 basis points, and were higher at three out of our four operating divisions. This reflects our continued cost efforts across the entire company. Full-year adjusted EPS was up almost 30% over the year-ago results. And now, let me turn to our segment highlights. And we're going to begin with a discussion at our networks.We did have another very strong year at both HBO and Turner, and they each recorded their highest annual profits ever. The Network segment represented nearly 60% of the company's profits in the quarter and almost 70% of the profits for the full year. Adjusted OIBDA grew 29% in the quarter and 15% for the year. And keep in mind these comparisons reflect the legal charge from a year ago that I just mentioned. And in this year, they also reflect the $100 million programming write-down to Turner, and the consolidation of HBO Latin America. Now let me briefly expand on the programming write-down for a moment. This was a management decision to take one show off the programming schedule. And while programming decisions like this are an ongoing way of doing business here, we don't anticipate incurring any more write-downs of anything close to this size for the foreseeable future. As expected, advertising revenue decline modestly in the quarter at the networks, they were down 4%. And although the scatter market was very strong for us, the decline resulted from difficult comparisons at our news division, and that's against last year's U.S. presidential election, as well as the impact of lower CPMs in the 2009/2010 upfront, and to a lesser extent, lower ratings at the domestic entertainment networks. Looking at the first quarter, scatter pricing is very much above upfront levels. We expect advertising revenues at the networks to be up in the first quarter compared to the first quarter of 2009, and that's despite continued tough comparisons at CNN against the inauguration in last year.Subscription revenue growth of 11% in the quarter and 10% for the full year reflected the consolidation of HBO Latin America, and rate increases at both Turner and HBO. And as Jeff mentioned, HBO finished the year with it's highest year-end domestic subscriber base ever. The decline in content revenue the quarter was due to lower video and syndication revenue at HBO's original programming, including Sex and the City and the Sopranos. Looking ahead, we are very optimistic that HBO's slate of original programming will lead the growth in content revenue, and that's going to begin this year. Before I move on, I do want to note, as Jeff said, that we did recently agree to acquire the majority stake in NDTV Imagine, it's one of the leading general entertainment networks in India. India is a country where we see significant opportunity in the coming years. And as Jeff described, NDTV should help our competitive position there significantly. For 2010 however, NDTV is expected to be a drag on our OIBDA profits of about $40 million. Not withstanding that, or despite this, we anticipate our international cable networks will be a driver of growth in 2010, as we anticipate ad markets to improve.Moving over to film, Warner Brothers had an absolutely amazing year, setting a record for full-year profits. This was the seventh straight quarter of adjusted OIBDA growth at our other filmed entertainment division. Adjusted OIBDA rose 41% in the fourth quarter, driven by the successful home video releases of Harry Potter and the Half-Blood Prince and The Hangover, and the strong theatrical performances of The Blind Side and Sherlock Holmes. Our Games business within that division was also a contributor to growth in the quarter, and we expect to continue in the coming years. Games now generates for us over $500 million annually in revenue, and it has healthy margins. Thanks to our continued efforts to streamline costs, margins climbed over 200 basis points for the year. And heading into this year, we no doubt have difficult comparisons in this division against the very strong performance last year, just to point out a couple of things. One item affecting our 2010 comparisons would be the impact of our decision to self distribute New Line films overseas instead of pre-selling the rights, which is what New Line used to do. This should enable us to realize increased profits overtime. But for timing and accounting reasons, it's going to result in a drag of more than $100 million on our OIBDA this year. In addition, 2009's results included approximately $75 million of combined benefits related to a true up, or participation expense in the resolution of an international tax matter, and we wouldn't anticipate similar benefits to recur in 2010. Now having said all that, and despite this, let me reiterate what Jeff said, which is that we do expect Warner Bros. to once again deliver very, very strong profit levels again in 2010, and here's why. First, we're optimistic about the strength and the quality of the film slate this year. Second, while we expect sales of standard definition DVDs to remain somewhat challenged, we expect continued growth of higher-margin Blu-Ray, VOD and electronic sell-through to help offset this pressure, and we'll be releasing a greater number of titles into home video this year. And lastly, we expect our TV business have another very, very strong year in 2010, helped by a growing TV syndication pipeline. We really didn't have any significant new availabilities of syndicated programming last year in 2009, but we will have several in 2010, including Two and a Half Men on cable, New Adventures of Old Christine, The Closer and Supernatural. And we'll also continue to take a hard line on costs in this division.Looking at our Publishing division on the next slide, Time Inc.'s fourth quarter was affected by the tough ad environment, with advertising down 12% in the quarter. This did represent however a significant sequential improvement rather in year-over-year trends. Domestic advertising revenues were down 9%, and most of this decline was due to the fewer ad pages, with ad rates down only in the low single digits. As you know, Time Inc.'s domestic magazines are operated in three units. And just wanted to note that the style and entertainment unit was our strongest performer in the fourth quarter, with revenue growth that People Magazine helping keep ad revenue for the group essentially flat. Most of the advertising softness in the quarter was concentrated in our News segment. Looking ahead to the first quarter, print advertising trends have improved, and that's relative to the fourth quarter and it's being largely driven by higher volumes. Our style and entertainment group remains our strongest performer, and is tracking up solidly for the quarter. We also saw sequential improvement in subscription trends in the fourth quarter, and that was primarily in newsstand. Although subscription renewal rates improved in the last few quarters, our year-over-year growth rates are still being affected by the lower renewals at the height of the credit the credit crisis in the fourth quarter of 2008 and the first quarter of 2009. Adjusted OIBDA at our publishing unit increased 27% in the quarter, as lower revenues and higher pension costs were more than offset by cost-saving initiatives and lower restructuring charges. On the cost side of the equation, we expect, as Jeff mentioned, that the restructurings that we took last year should generate about $100 million of cost savings this year.Turning next to our 2010 outlook on the next slide, overall, we expect to return to revenue growth in 2010 due to an improved ad environment, steady and healthy subscription revenue trends and a promising content slate. We will increase investments in programming and production that will drive our growth this year and over the long term. To help fund these increased investments in these businesses, we'll remain focused on containing overhead expenses and that should definitely benefit operating margins. This is all reflected in the outlook we released this morning. And as you saw on the release, we expect full year adjusted OIBDA to increase in the mid-teens over the base of $1.83. For modeling purposes, let me just add that we do expect our book tax rate to move back up to closer to the 38% range. And it's also worth noting that beginning in the first quarter of this year, our intention is to shift away from adjusted OIBDA as being the primary key profit measure for the company and we'll be focusing more and more on adjusted operating income. We believe that adjusted operating income will be a more meaningful metric for the company going forward. And it's also consistent with our increased focus on return on invested capital. And it mirrors the shift that we've been making and we've made internally for purposes of measuring our own performance.Turning next to the next slide, we delivered nearly $3 billion in free cash last year, and our conversion ratio was 50%. This is lower than the year-ago period. We did expect that. And that's as a result of higher cash taxes and fluctuations in working capital, offset by lower net cash interest; or cash taxes increased due to higher taxable income and the runoff of tax attributes that benefited us in the past. Recall that our working capital benefited in 2008 from lower TV and film production spending, and that was due in part to the writers' strike that was going on at the time. Our reduced cash interest is due principally to lower debt levels in 2009. And I'd ask you to move to the last slide, which just shows a roll forward of our net debt balances. We ended the year with a little over $10.5 billion in net debt. That's about half the level that we had at the beginning of 2008. And it was, more or less, unchanged from the end of the third quarter. In the quarter, our free cash flow generation was offset by continuing returns to shareholders through our regular dividend and ongoing share repurchases. We ended the year with about $4.8 billion in cash on hand. That's a significant reduction from the $7 billion that we had as of the end of September. And the reduction was principally due to the retirement of a $2 billion debt maturity in November, as well as our continued dividend and share buyback programs. In 2009, we significantly enhanced our balance sheet strength, and that allowed us to meet three key objectives. First, we increased investments in programming production in CapEx by more than 15%.  Second, we more than doubled the returns to shareholders. And third, we maintained strategic flexibility. As we look ahead, our philosophy on balance sheet management has not changed and will not change, but our objectives will evolve somewhat. In 2010, we intend to invest even more in our businesses to bolster their competitive position and drive long-term growth. At the same time, we'll improve the efficiency of the balance sheet through further reduction of cash balances and by carefully managing our debt maturities. And we're making a greater commitment to provide direct returns to stockholders. This is evident in the board's decision to raise the dividend and increase the share repurchase program. We also believe it's important to maintain strategic flexibility. And now that we have completed the AOL separation, our leverage ratio is about 2x, and that's closer to our long-term target of about 2.5x. We plan to maintain this long-term leverage target at the 2.5x level, as we believe a strong balance sheet is a competitive advantage. So that concludes my remarks. Thanks for listening, and I will turn it over to Doug. We'll start the Q&A portion."
24689,83655926,48158,"Time Warner Inc., Q4 2009 Earnings Call, Feb 03, 2010",2010-02-03,"Earnings Calls","Warner Media, LLC","Executives","Joseph, please get started with the Q&A. And I'd ask everyone to please limit themselves to no more than one or two questions, so we can get to as many people as possible.",33,"Joseph, please get started with the Q&A. And I'd ask everyone to please limit themselves to no more than one or two questions, so we can get to as many people as possible."
24689,83655926,48158,"Time Warner Inc., Q4 2009 Earnings Call, Feb 03, 2010",2010-02-03,"Earnings Calls","Warner Media, LLC","Operator","[Operator Instructions] And our first question comes from the line of Spencer Wang from Credit Suisse.",16,"[Operator Instructions] And our first question comes from the line of Spencer Wang from Credit Suisse."
24689,83655926,48158,"Time Warner Inc., Q4 2009 Earnings Call, Feb 03, 2010",2010-02-03,"Earnings Calls","Warner Media, LLC","Analysts","I have a two-part question on cable networks. Jeff, you talked about managing the businesses more aggressively. And I know some of your peers have been probably more aggressive than you on growing affiliate rates. So I was interested in your view on, or p",102,"I have a two-part question on cable networks. Jeff, you talked about managing the businesses more aggressively. And I know some of your peers have been probably more aggressive than you on growing affiliate rates. So I was interested in your view on, or philosophy, on affiliate rate growth for the Turner networks, and what leverage you have to bring to bear in negotiations with the distributors. And then for John, just on cable margins, given the investment in programming you talked about, should we expect cable margins to be up in 2010, excluding the programming write-down in the fourth quarter?"
24689,83655926,48158,"Time Warner Inc., Q4 2009 Earnings Call, Feb 03, 2010",2010-02-03,"Earnings Calls","Warner Media, LLC","Executives","We have been planned to be as aggressive as possible on affiliate rates. The outlook for affiliate position at both HBO and Turner is pretty strong and has been strong. And I think you have to look at comparisons in any year-to-year basis; depends on wher",212,"We have been planned to be as aggressive as possible on affiliate rates. The outlook for affiliate position at both HBO and Turner is pretty strong and has been strong. And I think you have to look at comparisons in any year-to-year basis; depends on where somebody starts at. And if they have lower base rates, they're in a bit of a different situation. We basically have the strongest suite of networks across HBO and Turner in the television world and majority of our revenue under both HBO and Turner is under multi-year contracts built in escalators [ph]. Our strategy, as we've been discussing, has been to invest heavily to make the networks compelling value propositions. I think that's equally true of HBO as Turner. Turner with the strength in programming and its reach across CNN Headline, truTV, Cartoon Network, TNT and TBS, is in a very good position to capture the economic upside, let's say, as all those networks become more important and the reach and the success of their programming continues to be successful. So we're very confident about our rate moves going forward, including in relation to competition. And we do think that the moves towards TV Everywhere will simply support the growth in affiliate fee revenue as well."
24689,83655926,48158,"Time Warner Inc., Q4 2009 Earnings Call, Feb 03, 2010",2010-02-03,"Earnings Calls","Warner Media, LLC","Executives","Getting to your second question, we've been talking now for some time about an ongoing program towards management of the network group that would consider margin improvement as a way of an ongoing program or architecture. We did experience nice margin imp",142,"Getting to your second question, we've been talking now for some time about an ongoing program towards management of the network group that would consider margin improvement as a way of an ongoing program or architecture. We did experience nice margin improvements this year. And notwithstanding the fact that we anticipate increasing our investment programming, which we think is critically important, the order of magnitude of that increase is not going to be overwhelmingly significant. And we're going to continue to try to reallocate funds from SG&A or overhead to be able to fund the programming investments. And while we don't have a crystal ball exactly to what the advertising environment is going to do, because that obviously will ultimately affect margins, we would anticipate that the trends that we've been seeing in the business, which has been margin increases, should continue."
24689,83655926,48158,"Time Warner Inc., Q4 2009 Earnings Call, Feb 03, 2010",2010-02-03,"Earnings Calls","Warner Media, LLC","Operator","And our next question comes from the line of Michael Morris of UBS.",13,"And our next question comes from the line of Michael Morris of UBS."
