"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
527542,83438980,47447,"Xcel Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","Xcel Energy Inc.","Operator","Good morning, ladies and gentlemen and thank you for standing by. Welcome to the Xcel Energy fourth quarter 2009 earnings conference call. During today’s presentation, all parties will be in a listen-only mode. Following the presentation, the conference",70,"Good morning, ladies and gentlemen and thank you for standing by. Welcome to the Xcel Energy fourth quarter 2009 earnings conference call. During today’s presentation, all parties will be in a listen-only mode. Following the presentation, the conference will be open for questions. (Operator Instructions) 
I would now like to turn the conference over to Mr. Paul Johnson, Managing Director of Investor Relations and Assistant Treasurer; please go ahead, sir.
"
527542,83438980,47447,"Xcel Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","Xcel Energy Inc.","Executives","Thank you and welcome to Xcel Energy 2009 year end earnings release conference call. I’m Paul Johnson. With me today are Ben Fowke, President and Chief Operator Officer; Dave Sparby, Vice President and Chief Financial Officer; Teresa Madden, Vice Presid",316,"Thank you and welcome to Xcel Energy 2009 year end earnings release conference call. I’m Paul Johnson. With me today are Ben Fowke, President and Chief Operator Officer; Dave Sparby, Vice President and Chief Financial Officer; Teresa Madden, Vice President and Controller; Scott Wilensky, Vice President, Regulatory and Resource Planning; George Tyson, Vice President and Treasurer; Michael Connelly, Vice President and General Counsel.
Today we planned to cover our 2009 results and accomplishments. Please note that there are slides accompany the conference call, which are available on our webpage. Let me remind you that some of our comments may contain forward-looking information. Significant factors that could cause results to differ from those anticipate are described in our earnings release and our filings with the SEC.
You’ll notice that today’s press release refers to both GAAP and ongoing earnings. 2009 ongoing earnings were $1.50 per share, compared with $1.45 per share in 2008. 2009 GAAP earnings were $1.48 per share, compared with the $1.46 per share in 2009. As you may recall in 2007, we reached a settlement resolving a dispute with the IRS regarding our Company Owned Life Insurance program, also known as COLI.
Our 2009 GAAP earnings included a charge of $0.01 per share, for a legal cost associated with our claims against insurance providers and brokers of the COLI policies. In addition, we incurred a discontinued operations charge of $0.01 per share related to tax expense and legal accruals for previously divested businesses.
Our 2008 GAAP earnings include a $0.01 per share benefit from discontinued COLI programs. Management believes that ongoing earnings, which removes the impact of COLI and discontinued operations provides a more meaningful comparison. As a result, we will discuss ongoing earnings during this call. Please see note six in today’s earnings release for a detailed reconciliation of GAAP and ongoing earnings results.
I’ll now turn the call over to Ben Fowke.
"
527542,83438980,47447,"Xcel Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","Xcel Energy Inc.","Executives","Thanks Paul and good morning. I’m pleased to announce that Xcel Energy had another successful year. This morning, we’ve reported 2009 ongoing earnings of $1.50 per share compared with $1.45 per share in 2008. Proud to deliver our earnings results at t",266,"Thanks Paul and good morning. I’m pleased to announce that Xcel Energy had another successful year. This morning, we’ve reported 2009 ongoing earnings of $1.50 per share compared with $1.45 per share in 2008. Proud to deliver our earnings results at the midpoint of our 2009 earnings guidance range of $1.45 to $1.55 per share, despite unfavorable weather, which reduced earnings by $0.05 per share and decline in electricity sales due to sluggish economy, which reduced earnings by $0.03 per share.
To offset the impact of unfavorable weather and lower sales, we took actions to reduce expenses and reached constructive outcomes in seven State rate cases in order to deliver earnings within our guidance range. Resolution of these cases as well as two rate cases also provides greater regulatory certainty as we began 2010. We have a relatively light docket this year with two smaller rate cases pending, a Minnesota gas rate case on a per coal sale rate case in Colorado. In addition, we plan to file our wholesale case in a retail reopened case in Wisconsin.
Operationally, customer satisfaction and reliability improved in 2009. We completed major construction projects like MERP and Fort St. Vrain. We also made significant progress on the construction of Comanche 3. Final testing is being completed and we expect this plant to go in service in February. Comanche 3 will deliver tremendous value to our customers with the construction cost of approximately $1500 per KW.
I’ll now turn the call over to Dave Sparby, who’ll walk you through the year end results and also give you a regulatory update.
"
527542,83438980,47447,"Xcel Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","Xcel Energy Inc.","Executives","Thanks Ben and good morning. Let’s take a look at the details of 2009 starting with a review of the annual results at each of our subsidiaries. For the year, earnings at PSCo decreased by $0.04 per share. The decrease was largely due to the negative imp",1012,"Thanks Ben and good morning. Let’s take a look at the details of 2009 starting with a review of the annual results at each of our subsidiaries. For the year, earnings at PSCo decreased by $0.04 per share. The decrease was largely due to the negative impact of weather and raising cost, which was partially offset by new electric rates that went into effect last July.
In NSP-Minnesota, earnings decreased by $0.01 per share. The decline result of largely from cooler than normal summer temperatures and timing of nuclear outage expenses. The decrease was partially offset by an electric rate increase that went into effect in January 2009. NSP-Wisconsin, earnings were flat for the year. Increased costs were offset by better fuel recovery and new rates that went into effect in January 2009.
At SPS, earnings increased by $0.08 per share, the improved financial results were due to 2009 electric rate increase, in Texas and New Mexico and the resolution of fuel cost issues. Finally, our investment in WYCO, our natural gas pipeline in Colorado generated $0.02 per share of incremental earnings.
Next I’ll discuss the drivers that affected various lines of the income statement, beginning with retail electric margin. Electric margin increased by $297 million during 2009. This was largely driven by rate increases in Minnesota, Colorado, Texas, New Mexico, and Wisconsin, which increased electric margin by $218 million.
Conservation revenue, non-fuel riders, and MERP riders also to increase retail electric margin by a total of $113 million, increases in the conservation revenue, however, are largely offset by higher conservation in DSM expense. Some of the factors that offset these increases include purchased capacity costs, primarily at SPS, which reduced margin by $44 million, cool summer temperatures, which reduced margin by $6 million, and a decline in weather adjusted retail sales, which reduced margin by $22 million.
Turning to expenses, 2009 O&M increased about $130 million or 7%, some of the contributing factors to the O&M increase included higher employee benefit cost, which increased $90 million, the increase was due to performance based incentive expense, active health care costs, and pension expense in 2009. As you recall, we didn’t accrue any incentive compensation in 2008.
An increase in nuclear outage costs of $30 million, the increase was the result of the Minnesota commission’s approval of the change in a recovery of nuclear refueling outages in 2008 and finally, higher nuclear plant operations expenses, which increased $21 million primarily due to higher security costs and regulatory fees.
Fees and other items were partially offset by lower consulting costs and lower bad debt expense. For the year depreciation expense decreased by $10 million, the decrease was largely the result of regulatory decisions, which extends the lives of our nuclear plants for the purposes of determining depreciation and decommissioning expense.
Next, I’ll touch on some of the regulatory developments, starting with the cases that wrapped up at the end of the year. We recently completed our 2010 Colorado electric case. In that case, the commission improved an electric rate increase of $128 million based on authorized ROE of 10.5% and an equity ratio of 58%.
Subsequent to the commission’s approval of the rate increase, it became apparent that Comanche 3 would not be in service at the end of 2009. We filed a proposal with the commission to phase in the rate increase to reflect the actual in service date of Comanche 3.
The CPUC approved our proposal and as a result, the rate increase will be phased in over three steps. A rate increase of $67 million was implemented on January 1. Electric rates will increase another $54 million, when Comanche 3 goes into service currently expected to occur in February and finally, rates will increase another $7 million in January 2011 to recover property taxes associated with Comanche 3.
The phase and due rate reduces the impact on our customers and we’ll have minimal earnings impact on PSCo or Xcel Energy. Last June, we filed a request to increase Wisconsin retail electric rates by $30 million based on an REO of 10.75% and a 2010 forecast test year. In December the Public Service Commission of Wisconsin approved an electric rate increase of approximately $6.4 million and no change in gas rates, based on 10.4% ROE and 52.3% equity ratio.
The major differences between the amount requested and the authorized includes a variety of items that do not affect our earnings such as, savings from the life extension of the Prairie Island nuclear plant for purposes of determining depreciation and decommissioning and a significant drop in forecast fuel cost. The major earnings related adjustments were lower ROE and equity ratio.
Last June we also filed a request to increase South Dakota Electric Rates by about $19 million based on an ROE of 11.25% and a 2008 historic test year with adjustments for known and measurable changes.
Earlier this month, the South Dakota Commission approved a rate increase of $10.9 million. The difference between the requested increase and the settlement amount related to a lower ROE use of a 20 year life for Prairie Island nuclear plant, which reduces the revenue deficiency and expense accruals by a corresponding amount. New rates went into effect earlier this month.
After completing an ambitious regulatory effort in 2009, we enter 2010 with an improved regulatory certainty and only two pending rate cases. In November, we filed a request with the commission to increase Minnesota gas rates by $16 million in 2010. The request is based on an ROE of 11% and equity ratio of 52.5% and a rate base of $441 million.
Interim rates of $11.1 million went into effect in January. We expect a decision late this year. In 2009, PSCO filed an increase Colorado wholesale rates by $30 million, based on a 12.5% ROE, a 58% equity ratio, and a rate base of $315 million. We are in settlement discussions with our wholesale customers and expect rates to go into effect later in 2010.
Before we go to Q-and-A, Ben has a few closing remarks.
"
527542,83438980,47447,"Xcel Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","Xcel Energy Inc.","Executives","Thanks, Dave. In closing, in a year largely defined by sluggish electric retail sales and unfavorable weather. I’m proud that we were again able to deliver on our financial objectives. On the regulatory front, we received constructive outcomes in our ra",107,"Thanks, Dave. In closing, in a year largely defined by sluggish electric retail sales and unfavorable weather. I’m proud that we were again able to deliver on our financial objectives. On the regulatory front, we received constructive outcomes in our rate cases. These outcomes enable Xcel Energy to continue to make prudent investments across our service territories.
Our successes in 2009, demonstrate our commitment to achieving our financial objectives, while delivering quality service to our customers. Finally, we are reaffirming our ongoing earnings guidance of $1.55 to $1.65 per share for 2010.
I’ll now turn it back over to Dave and we’ll open it up for questions.
"
527542,83438980,47447,"Xcel Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","Xcel Energy Inc.","Operator","(Operator Instructions) Your first question comes from Ali Agha - SunTrust.",11,"(Operator Instructions) Your first question comes from Ali Agha - SunTrust.
"
527542,83438980,47447,"Xcel Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","Xcel Energy Inc.","Analysts","Given all the rate cases that you all have completed in ‘09 and as you mentioned fairly light regulatory activity in 2010, if you look at your utility portfolio today and you compare, the ROE’s that you are earning currently versus aloud, would you sa",68,"Given all the rate cases that you all have completed in ‘09 and as you mentioned fairly light regulatory activity in 2010, if you look at your utility portfolio today and you compare, the ROE’s that you are earning currently versus aloud, would you say that the regulatory lag is pretty much eliminated now? Or how would you categorize that actual ROEs versus authorized ROEs at this point.
"
527542,83438980,47447,"Xcel Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","Xcel Energy Inc.","Executives","We continue to make improvement every year as you know. Ali, we’ve added significant amounts to our ability to recover through riders as well as we’ve improved the timing of rate cases. So we’ve seen some lag, we managed to reduce it and we see ours",58,"We continue to make improvement every year as you know. Ali, we’ve added significant amounts to our ability to recover through riders as well as we’ve improved the timing of rate cases. So we’ve seen some lag, we managed to reduce it and we see ourselves continuing to reduce that lag further over the next couple of years.
"
527542,83438980,47447,"Xcel Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","Xcel Energy Inc.","Analysts","So you would not say that you’re pretty much earning authorized returns across the portfolio yet? That is still more to be done?",24,"So you would not say that you’re pretty much earning authorized returns across the portfolio yet? That is still more to be done?
"
527542,83438980,47447,"Xcel Energy Inc., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","Xcel Energy Inc.","Executives","We’ll earn close to 10% across the portfolio. We do have some of our op those more opportunities to earn closer to that average. We see ourselves continuing to make progress in that regard.",35,"We’ll earn close to 10% across the portfolio. We do have some of our op those more opportunities to earn closer to that average. We see ourselves continuing to make progress in that regard.
"
