"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
24827,117927254,92658,"Amphenol Corporation, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,"Earnings Calls","Amphenol Corporation","Operator","Hello, and welcome to the Fourth Quarter Earnings Conference Call for Amphenol Corporation. [Operator Instructions] I would now like to introduce for today's conference your host, Diana Reardon. Ma'am, thank you. You may begin.",34,"Hello, and welcome to the Fourth Quarter Earnings Conference Call for Amphenol Corporation. [Operator Instructions] I would now like to introduce for today's conference your host, Diana Reardon. Ma'am, thank you. You may begin."
24827,117927254,92658,"Amphenol Corporation, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,"Earnings Calls","Amphenol Corporation","Executives","Thank you. Good afternoon. My name is Diana Reardon, and I'm Amphenol's CFO. I'm here together with Adam Norwitt, our CEO, and we like to welcome our fourth quarter earnings results conference call. Fourth quarter will release this morning. I will provi",1031,"Thank you. Good afternoon. My name is Diana Reardon, and I'm Amphenol's CFO. I'm here together with Adam Norwitt, our CEO, and we like to welcome our fourth quarter earnings results conference call. 
Fourth quarter will release this morning. I will provide some financial commentary on the quarter, and Adam will give an overview of the business and current trends. We'll then have a question-and-answer session.
The company had a record fourth quarter, achieving strong growth in both sales and earnings per share and exceeding the high end of the company's guidance. Sales were $950 million, up slightly from Q3 2010 and up 25% in U.S. dollars and local currencies over the fourth quarter of 2009. 
From an organic standpoint, excluding both acquisitions and currency, sales in Q4 2010, were up 21% from last year. Breaking down sales into our two major components, our Cable business, which comprise 6% of our sales, was down 7% from last year and 12% from last quarter. The sales declines relate primarily to lower spending in North America and broadband markets. The Interconnect business, which comprise 94% of our sales was up 28% from last year and 1%, sequentially. Adam will comment further on trends by market in a few minutes.
Operating income for the quarter was $191 million compared to $138 million last year. Operating margin was 20.1% compared to 18.3% last year. Operating income is net of stock option expense of approximately $6.8 million in Q4 2010, compared to $5 million in Q4 2009, 0.7% of sales in both periods. 
From a segment standpoint in the Cable segment, margins were 12.3%, down from 15.5% last year. The margin decline relates to higher relative material costs, the impact of market price reductions and lower volumes. 
In the Interconnect business, margins were 22.4% compared to 20.6% last year. The improvement in margin reflects the benefit of higher volume levels combined with the proactive and aggressive management of all elements of cost. 
Overall, we're very pleased with the company's record operating margin achievement of 20.1%. This represents a conversion margin on incremental sales over the fourth quarter of 2009 of approximately 27%. This is excellent performance in any environment, but particularly in the face of increasing global cost pressures. We continue to believe that the company's entrepreneurial operating structure and culture of cost control will allow us to react in a fast and flexible manner and achieve strong profitability going forward.
Interest expense for the quarter was $10.2 million compared to $9.5 million last year. The increase over the prior year relates primarily to the inclusion in interest expense of a seasoned company's receivable securitization program in accordance with the adoption of new accounting rules effective January 1. In 2009, approximately $400,000 were included in other expense.
In the fourth quarter, the company had an effective tax rate of 27.2% compared to a rate of 27.5% in the fourth quarter of 2009. we currently expect the rate approximately 27.5% in 2011. 
Net income in the quarter was approximately 14% of sales, a very strong performance. Diluted earnings per share for the fourth quarter was $0.74 and grew $0.48 over the prior-year quarter on an as-reported basis and 42% after adjusting the prior-year earnings per share for onetime item. This represents an EPS growth rate of approximately 1.7x sales growth, demonstrating the company's significant operating leverage.
Orders for the quarter were not $948 million, up 24% from last year, resulting in a book-to-bill ratio of approximately 1:1. The company continued the strong focus on balance sheet management in the quarter. Accounts receivable was $719 million, down 1% from the end of Q3. 
Days sales outstanding were up the high end of the company's normal range at 68 days at the end of 2010, up from 64 days at the end of 2009. In addition, payable days increased from 61 days at the end of 2009 to 54 days at the end of 2010. 
Inventory in the quarter was $549 million, up about 2% from the end of Q3. From a day's perspective, inventory was at 77 days at the end of 2010, down from 80 days at the end of 2009. This is a good performance for the company for a historical perspective, although we continue to focus on improving inventory performance.
The company continues to be an excellent generator of cash. Cash flow from operations was $161 million in Q4, over 120% of net income. Cash from operations, along with proceeds and related tax benefits from option exercises of $36 million, were used primarily for capital expenditures of $36 million, acquisition payments relating to previous acquisitions of $15 million and a reduction in borrowings under the company's credit receivable facility of $104 million. 
In addition, the cash and short-term investments increased $29 million to $604 million at the end of the year. Total debt was $800 million and net debt approximately $176 million at year end. In August, as previously reported, the company refinanced with senior of credit facility. The new $1 billion facility matures at August 2014. And at the end of the year, the company had availability under that facility of $896 million.
To company also had $100 million receivable securitization facility that expires in 2013. In accordance with previous accounting rules, the facility was accounted for balance sheet as are several receivable. Effective January 1, those rules were changed end of facility was brought on balance sheet, reducing the company's operating cash flow in Q1 of 2010 and for the year by $82 million.
At December 31, 2010, borrowings under that facility were $92 million and are reflected as long-term debt. At December 31, '09, approximately $82 million of receivables were sold under the facility and were excluded from the balance sheet. 
Operating cash flow for 2010, excluding this accounting change impact, was $507 million, over 100% of net income. Supporting the high-quality of the company's earnings. The company's leverage and interest coverage ratios remain very strong as have less than 1x and 22x, respectively. And EBITDA in the fourth quarter was approximately $226 million. From a financial perspective, this was an excellent quarter.  Adam will now provide an overview of the business."
24827,117927254,92658,"Amphenol Corporation, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,"Earnings Calls","Amphenol Corporation","Executives","Well, thank you very much, Diana, and welcome to all of you on the phone today, and I like to take this opportunity to wish all of you a happy new year as we start 2011. I'd like to take this opportunity to highlight first the fourth quarter and the full",1617,"Well, thank you very much, Diana, and welcome to all of you on the phone today, and I like to take this opportunity to wish all of you a happy new year as we start 2011. I'd like to take this opportunity to highlight first the fourth quarter and the full year 2010 achievements for the company, giving a little bit of color to what Diana had just mentioned. I'll discuss the trends and progress in our markets. And then, I'll take a few moments to comment on our outlook for the first quarter and the full year of 2011.
Before going into our performance, however, I would like to recognize wanting. We announced done early December that after 37 years with the company Martin Loeffler, would retire as the Executive Chairman but will continue to serve as nonexecutive Chairman of our Board of Directors. I'd like to take this moment on behalf of all the Amphenol employees as well as our Board of Directors to thank Martin for his extraordinary contribution to long-term success of Amphenol. I personally look forward to the discontinued support as nonexecutive chairman of our board.
Now with respect to the fourth quarter, I'm very pleased to report record revenues and earnings in what is still a very dynamic economic environment. Revenues increased a very strong 25% from prior year, up slightly from a record third quarter. And we were especially excited to build on our already strong operating margin, achieving, as Diana mentioned a record return on sales of 20.1%. 
Our achievement of this level of profitability despite the significant inflationary pressures around the world is a clear reflection of the strength and discipline of our agile organization and our entrepreneurial management team.
with respective the full year 2010, we're very proud of the strong recovery and our results and 2010, which reached new levels at every stage, revenues of $3,554,000,000, operating margins of 19.7% and earnings per share of $2.82. We are especially pleased that in 2010, we were able to exceed our 2008 sales levels by nearly 10%, while the industry as a whole has not yet necessarily recovered to these precrisis levels. 
Our consistent focus and technology innovation and customer support through all phases of this economic cycle have resulted in Amphenol strengthening our position across each of end market. In addition, our organization has continued to create innovative technologies, which capitalize on exciting new areas of an ever-expanding electronics market, thereby, broadening the opportunity for our future growth.
in 2010, we have also successfully continued our acquisition program adding three new family members for Amphenol during the course of the year among creating you all excellent platform for future expansion. As we closed the year, we find it very rewarding that our entire organization has created an excellent new platform of strength, which creates optimism for our future performance.
Not turning to the specifics of our performance in each of our served markets, the Military and Aerospace market represented 22% of sales in the quarter and sales increase ever be strong 27% from prior year. This strength was broad-based and included especially straight in military vehicles and commercial air application together with gain from our recent acquisitions. As expected, our sales were stable in the fourth quarter from the third quarter.
We feel increasingly positive about trends in the Commercial Aircraft market, as existing program volumes grow and as your our growth platform will begin to materialize during the course of 2011. Although there remains uncertainty in defense budgets of certain developed economies, we're very optimistic that the increasing electronic content in military equipment, together with our broad program participation and our strong positions in high-growth emerging markets, will continue to drive performance in the future. While we expect demand to remain stable in the first quarter, we look forward to a very strong long-term outlook for this important market for Amphenol.
The Industrial market represented 12% of our sales in the quarter. Sales in this very diverse market increased a very strong 69% from prior year and had a slight increase from the third quarter. Our growth in Industrial was broad based, but that led especially in sales into the geophysical and oil and gas, alternative energy, factory automation and instrumentation segments of the market. We were's very pleased that we closed 2010 that we have experienced a very broad-based recovery in virtually all the segments of the Industrial market. While we expect this market to be stable in the first quarter, we continue to be encouraged by a strong outlook and 2011 as our new technologies continue to proliferate into these exciting growth areas.
The automotive market represented 7% of our sales in the quarter. Sales increase in that market 11% from prior year, and a very strong vendor percent sequentially as we benefited from an increase in vehicle volumes as well as the ramp-up of new hybrid electric vehicle platforms. 
We continue to be excited by the new opportunities that we see, which are driven by rapidly expanding electronics platforms in cars. We expect demand in the automotive market to strengthen in the first quarter, led by our further progress in these new onboard electronics as well as the ongoing ramp-up of hybrid vehicles.
Sales into the broadband market represented 7% of our sales in the quarter. Sales in this market decreased 8% from prior year and declined sequentially by 15%, as the expected seasonal pause in spending by cable operators started earlier than we typically would see. While profitability in this segment continued to be pressured by rising material prices as well as market pricing dynamics, we continue to be encouraged by our increasing position with new Cable and Interconnect products as well as our strong position in international markets. We expect demand in the broadband market to improve seasonally in the first quarter and look forward to realizing further benefits from our diversification efforts.
Our sales into the information technology and data communications market represented 20% of our sales in the quarter and increased 10% from prior year, although declined by 7% sequentially on what was unexpected pause in activity by customers in the IT market. We're continuing to see acceleration of adoption of our broad range of next-generation technologies into networking, storage and servers, creating a strong basis for our long-term positive outlook. While we expect demand to remain at these near-term levels in the first quarter, we're excited by our ongoing new program wins with our advanced new technologies, which position us for a strong 2011 and beyond.
Our sales into the mobile networks market represented 12% of sales in the quarter, an increase 12% from prior year as we benefited from increased buildout of next-generation wireless network. Sales also increased slightly on a sequential basis in what is typically a more seasonally soft fourth quarter. We expect demand to be stable in be first quarter as operators on a worldwide basis continue to invest in network buildout and capacity upgrades in support of the accelerating data usage that's arising smart Mobile Devices. we look also to further long-term strength driven by or broad design and position on many new base station platforms.
Our sales into mobile device market represented 20% of the total in the quarter, an increase of very strong 58% from prior year and 10% sequentially, as we benefited from strong sales of new Mobile Devices incorporating our leading Interconnect antenna products. While we do anticipate a normal seasonal moderation of demand in the first quarter, we remain very excited by our strengthening position in the rapidly expanding range of new smart Mobile Devices and the growth potential that these create for the company and 2011. Our comprehensive portfolio for products for Mobile Devices as well as the solid preferred supplier relationships that we have with all major device makers positions us strongly for the future.
So in summary, I am extremely proud of our entire organization around the world as we continue to execute well in a very dynamic demand environment. Our achievement of these two records in sales earnings and especially operating profitability is extremely rewarding, especially given the many challenges that we see in the marketplace. 
Our success is reflected in these new record results as a direct reflection of our distinct competitive advantages: our leading technology, our increasing position with customers in diverse markets, our worldwide presence, our lean and flexible cost structure and very importantly, an agile entrepreneurial management team.
Now turning to our outlook for the first quarter and the full year of 2011. With the more normal market conditions that we are seeing in that we foresee further future, we are pleased to be able to return to our customer not providing was again full year guidance for our performance. 
Based on content exchange rates and normal seasonal patterns, we now expect in the first quarter and the full year of 2011 the following results: We expect sales in the range of $925 million to $940 million and $3,885,000,000  to $3,960,000,000, respectively and we expect earnings per share in the range of $0.70 to $0.72 and $3 to $#.10, respectively. For the full year, this guidance represents the sales growth of 9% to 11% and 11% to 15%, respectively. 
We are very encouraged by the strong outlook for sales and earnings, and I am very confident in the ability of our outstanding management team to build upon of these do record levels of performance as they capitalize on the many, many opportunities to expand our market position as well as our profitability for the future. At this time operator, would be happy to entertain any questions that there may be."
24827,117927254,92658,"Amphenol Corporation, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,"Earnings Calls","Amphenol Corporation","Operator","[Operator Instructions] Our first question comes from Amitabh Passi, UBS.",10,"[Operator Instructions] Our first question comes from Amitabh Passi, UBS."
24827,117927254,92658,"Amphenol Corporation, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,"Earnings Calls","Amphenol Corporation","Analysts","Adam, first question for you. Can you provide maybe a little more color in terms of how you're thinking about the full year guidance you just provided for 2011? Perhaps either your expectations across end markets or generally how you came up with sort of",74,"Adam, first question for you. Can you provide maybe a little more color in terms of how you're thinking about the full year guidance you just provided for 2011? Perhaps either your expectations across end markets or generally how you came up with sort of the 10% growth rate? What factors might be factoring in? And then, finally, I just want to clarify, just assume organic growth order also assume some level of M&A?"
24827,117927254,92658,"Amphenol Corporation, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,"Earnings Calls","Amphenol Corporation","Executives","I think I'll answer your second question first, which is we don't forecast, and we certainly don't guide towards acquisitions that may or may not come in the future. Relative to our outlook for the full year, first of all, in general, we think this is ver",172,"I think I'll answer your second question first, which is we don't forecast, and we certainly don't guide towards acquisitions that may or may not come in the future. Relative to our outlook for the full year, first of all, in general, we think this is very strong outlook and if you look at any industry outlook or forecast, this would certainly be continuing the trend that Amphenol has over many years of outperforming our industry. And we're very pleased to be able to support such an outlook. Without going in real details to each of the markets, with a great opportunities in each of our markets, I think where we see maybe above-average opportunities would be really in the wireless device, Industrial, automotive, and those would be markets that be would see as being maybe better-than-average drivers. I think we see good opportunities in aerospace and IT. We see also good opportunities in broadband and Wireless Infrastructure, if not, necessarily to those levels that I mentioned for the stronger margins."
24827,117927254,92658,"Amphenol Corporation, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,"Earnings Calls","Amphenol Corporation","Analysts","And then for Diana, just to clarify, and I hope I'm doing the math correct here. But did to get to your midpoint of the full year guidance of $3.05, i get incremental kind of 33% below the 25%. Just wanted to clarify, I mean, is there maybe a level of con",89,"And then for Diana, just to clarify, and I hope I'm doing the math correct here. But did to get to your midpoint of the full year guidance of $3.05, i get incremental kind of 33% below the 25%. Just wanted to clarify, I mean, is there maybe a level of conservatism here or perhaps there's some puts and takes below the operating income line that we will be factoring? So maybe just some color in terms of the EPS guidance in the implied operating margin a bit conservative."
24827,117927254,92658,"Amphenol Corporation, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,"Earnings Calls","Amphenol Corporation","Executives","Roughly speaking, we know we still have the 25% conversion margin goal that hasn't changed and the guidance. We ask that whether it's exactly 25% of with their mass given what you have in the rest of the income statement it would be I'd for me to comment,",85,"Roughly speaking, we know we still have the 25% conversion margin goal that hasn't changed and the guidance. We ask that whether it's exactly 25% of with their mass given what you have in the rest of the income statement it would be I'd for me to comment, on specifically. But I can tell you that the 25% conversion margin goal is still the goal for the company, and the management team remains very committed to that, and that is reflected in the company side."
24827,117927254,92658,"Amphenol Corporation, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,"Earnings Calls","Amphenol Corporation","Operator","Next, Wamsi Mohan, Bank of America Merrill Lynch.",8,"Next, Wamsi Mohan, Bank of America Merrill Lynch."
24827,117927254,92658,"Amphenol Corporation, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,"Earnings Calls","Amphenol Corporation","Analysts","Adam, you alluded to markets or stabilizing returning perhaps of normal seasonality of providing full year guidance here. What do you think is normal seasonality for your business? I mean, over the past five years, obviously, we've seen some very, very se",84,"Adam, you alluded to markets or stabilizing returning perhaps of normal seasonality of providing full year guidance here. What do you think is normal seasonality for your business? I mean, over the past five years, obviously, we've seen some very, very seasonality. And your mix is changed quite a bit to the Mobile Devices have become a much larger part of the mix driving increased Seasonality so perhaps if you could comment on what you think now is what we'll see for your business?"
