"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
251349,118237049,97610,"Anadarko Petroleum Corporation, Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Anadarko Petroleum Corporation","Operator","Good day, ladies and gentlemen, and welcome to the Q4 2010 Anadarko Petroleum Corporation Earnings Conference Call. My name is Michael, and I will be your coordinator for today. [Operator Instructions] I will now turn the presentation over to your host fo",50,"Good day, ladies and gentlemen, and welcome to the Q4 2010 Anadarko Petroleum Corporation Earnings Conference Call. My name is Michael, and I will be your coordinator for today. [Operator Instructions] I will now turn the presentation over to your host for today's conference, Mr. John Colglazier. You may proceed."
251349,118237049,97610,"Anadarko Petroleum Corporation, Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Anadarko Petroleum Corporation","Executives","Thanks, Michael. Good morning, everyone, and I'm glad you could join us today for Anadarko's Fourth Quarter and Year End 2010 Conference Call. Please note we will only be addressing our 2010 results today. We plan to host an extended conference call on Fe",309,"Thanks, Michael. Good morning, everyone, and I'm glad you could join us today for Anadarko's Fourth Quarter and Year End 2010 Conference Call. Please note we will only be addressing our 2010 results today. We plan to host an extended conference call on February 24 to provide additional details surrounding our 2011 capital plan, guidance and how that plays into attaining our five-year strategic plan, as well as some additional property-level details. We'll be sending out more information for that call in the coming days.
I want to take a few seconds to thank Chris Campbell for his contributions during the last four years as a valuable member of our Investor Relations team. Chris is continuing to play an important role at Anadarko and has joined our Corporate Planning Group. Dean Hennings and I look forward to continuing to work with you guys.
I will remind you that today's presentation will contain our best and most reasonable estimates and information. However, a number of factors could cause actual results to differ materially from what we discuss today. You should read our full disclosure on forward-looking statements in our latest presentation slides, our latest 10-K, other filings and press releases and for the risk factors associated with our business. 
In addition, we'll reference certain non-GAAP measures so be sure to see the reconciliations in our earnings release and on our website. We encourage you to read the cautionary note to U.S. investors contained in the presentation slides for this call. And as we do each quarter, we've included additional information in our quarterly operations report that's available on our website. With that, let me turn the call over to Jim Hackett, our Chairman and CEO, who will discuss our 2010 results, and Jim is joined by other executives who will be available to answer questions later in the call. Jim?"
251349,118237049,97610,"Anadarko Petroleum Corporation, Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Anadarko Petroleum Corporation","Executives","Thanks, John, good morning, everybody. Anadarko had a great operational year in 2010, and we surpassed the guidance we provided earlier in the year in almost every category. Starting with sales volumes at our Investor Conference in March of last year, we",2464,"Thanks, John, good morning, everybody. Anadarko had a great operational year in 2010, and we surpassed the guidance we provided earlier in the year in almost every category. Starting with sales volumes at our Investor Conference in March of last year, we projected that we would grow about 4% over 2009 levels, and that we would spend about $5.5 billion in capital. We were able to outperform these objectives with almost 7% sales volumes growth in 2010 while spending almost $200 million less in capital. 
Also in March, we forecasted an organic reserve replacement ratio of at least 130%, and we achieved 140%, adding 330 million barrels of oil equivalent of proved reserves before the effects of price revisions. Costs incurred amounted to just over $5 billion, resulting in better-than-anticipated reserve replacement costs as well. We've talked previously about our ongoing efforts to reduce our lease operating expense per unit, and the 2010 results in this area continued to improve. Results were favorable to guidance by more than $0.80 per barrel of oil equivalent, representing the savings of more than $170 million. 
Coming off one of Anadarko's best exploration years in its history in 2009, we again reached a high mark in 2010. Our offshore exploration and appraisal drilling program has achieved a combined 75% success rate. Another one of our goals as we discussed in March was attaining 10% production growth per debt adjusted share. We met this target as we delivered record production levels in 2010. 
The 2010 results reflect the depth and quality of Anadarko's portfolio. The record sales volumes were about 6.5 million barrels of oil equivalent higher than the midpoint of the original guidance, and 100% of this incremental growth was driven by increases in our liquids production as we allocated and redirected capital to liquids-rich areas of the portfolio. These areas included the Eagleford Shale, Bone Spring, Wattenberg and Greater Natural Buttes, among others. 
Also partly as a result of our focus on liquids-rich assets within the portfolio, adjusted EBITDAX improved almost 40% versus 2009 to about $30.50 per barrel of oil equivalent, excluding items affecting comparability. 
The 13% year-over-year growth in our higher-margin liquid volumes, coupled with our efforts to manage cost more efficiently, contributed significantly to the improved EBITDAX for the year. We also continued to achieve reduced drilling cycle times, with notable improvements throughout the onshore portfolio. One of the most dramatic examples was in the Eagleford Shale, where our spud-to-release times are now less than 12 days compared to more than 22 days in mid-2009. 
From a broader perspective, seven of 10 major assets in the southern region had record cycle times during the quarter, and the Rockies industry study recognized four of Anadarko's contracted rigs as being among the top 10 rigs in the U.S. onshore for total footage drilled. All major areas of the portfolio provided year-over-year growth, led by the Rockies and the accelerated development activities in the shale plays. 
In the Rockies, we delivered an 11% increase in sales volumes, and several areas continued to achieve record production levels, including Greater Natural Buttes, Wattenberg, our operated Wamsutter and Salt Creek EUR. In the Southern Appalachian region, the advancement of our shale and other unconventional resource plays contributed significant increases in sales volumes during the year as well. With the additions of the Grugan Gathering System and other infrastructure expansions in Marcellus Shale in Pennsylvania, by the end of the fourth quarter, we had nearly doubled gross sales volumes versus the end of the third quarter. The Marcellus continues to be the only major area where we are drilling for dry natural gas due to the proximity to premium gas markets, which further enhance the already robust economics of the play. We exited the year with approximate gross sales volumes in the Marcellus of 330 million cubic feet per day from about 70 wells.
Turning to the Eagleford Shale in South Texas, we recently established ourselves as the largest producer in this play. With the existing infrastructure and service agreements in place, about 94% of all completed wells have been flowing to sales. We ended the quarter with gross sales volumes of about 27,000 barrels of oil equivalent per day, of which 75% is liquids. This represents a six-fold increase in volumes versus the prior year fourth quarter. 
At current market prices, the Eagleford is generating excellent economics. And with 450 million barrels of oil equivalent and net risk resource potential on our acreage and more than 2,000 identified well sites, we plan to ramp up to 10 rigs by the end of the first quarter of 2011 from two rigs at the beginning of 2010. We continue to evaluate the joint venture structure for our Eagleford program similar to what we have done in the Marcellus. 
Beyond the phenomenal growth in our shale assets in the southern region, five of our seven major operating areas achieved their lowest base decline rate during the quarter, as we continued to focus on maintaining our existing base production. Additionally, we're actively pursuing other emerging growth plays in the Bone Spring, Avalon Shale and horizontal Niobrara Place, each with encouraging results, high liquids yields and substantial running room.
Moving to our mega project, as you all know, the Jubilee field Offshore Ghana reached its first oil milestone in a record three and a half years following discovery, which is twice as fast as the industry average. We're proud of the integrated project team to safely deliver upon the time and cost schedules for this deepwater development. Jubilee is currently producing around 50,000 barrels of oil per day from four wells, and we expect to ramp up the capacity of around 120,000 barrels per day by midyear. Jubilee also gives us an excellent foundation in Ghana from which we can grow in future years, given our additional exploration and development opportunities in these blocks. 
In Algeria, development drilling and construction work are progressing at the El Merk mega-project. Initial production is anticipated around the beginning of 2012 and will be increased as the full facility is commissioned. In the Gulf of Mexico, we were making good progress on the Caesar/Tonga project and had received the necessary permits to begin completion activities in the first two wells. However, as we announced yesterday, we're disappointed that the project will not begin first production by the first half of this year, as a result of the production riser system failing our recent hydro-testing procedures. We have a team in place that is actively working toward a safe and reliable alternative. In the meantime, we want to assure you that we fully expect to be well within our 2011 production guidance of 240 million to 250 million of barrels of oil equivalent that we provided last March. 
Also in the Gulf of Mexico, we are fully utilizing our two contracted rigs. We recently brought the well in line of Independence hub and completed work-over activities on two wells in the K2 area, returning them to production. 
During 2010, as you recall, we announced several successful appraisal wells in both the Lucius and Vito fields. During the moratorium, these future megaprojects continued to advance with feasibility and preliminary front end engineering studies, as well as permit applications for additional drilling. We filed for permits with the BOEMRE to resume appraisal during our Heidelberg discovery in the deepwater Gulf of Mexico as well. 
Our worldwide exploration program continued to create differentiating value for our stockholders in 2010. We believe we were again one of the most active deepwater drillers in the world, announcing eight offshore discoveries with a 60% success rate. We also were nine-for-nine in our offshore appraisal program. In addition, we continued the successful evaluation and development of the Eagleford and Marcellus shales, which enabled us to establish a net risk resource potential of about 1.5 billion barrels of oil equivalent in these two major growth areas. These successful activities and discoveries continue to expand the resource potential, confirm our geological understanding and derisk our positions in the U.S. onshore and in our offshore acreage positions in Brazil, Ghana, Mozambique and Sierra Leone. 
Beyond the overall high success rate in Africa, according to IHS Energy, four of our exploration wells were among the five largest offshore discoveries in 2010. Three of those were in the Rovuma Basin in Mozambique where we hold a 36.5% working interest in the 2.6 million acre Offshore Area 1. These natural gas discoveries were made at the Windjammer, Barquentine and Lagosta prospects. Based on the results of those wells, our partnership is designing an accelerated appraisal program in analyzing various development options. We plan to keep at least one rig in the basin throughout 2011 to carry out an active appraisal and exploration program, as well as to conduct at least one drill stem test. 
Currently in Mozambique, we are drilling the Deepwater Tuburão's prospect, which is located approximately 19 miles south southwest of the Lagosta discovery. Tuburão is a 15,000-foot test of an ESC in system and we hope to have results from this well within the next week. 
In West Africa, we made our second discovery offshore at Sierra Leone at the Mercury prospect, which we operate with a 65% working interest. The well encountered approximately 135 net speed of oil pay in two Cretaceous-age fan systems. The discovery also demonstrated the stratigraphic tracking systems we've identified are working, and that the petroleum system is generating high-quality oil. We expect to have an active exploration and appraisal drilling program offshore at Sierra Leone Liberia and potentially Cote d'Ivoire, with three to five wells planned this year. 
Our partnership's 2010 activities in Ghana continues to expand the potential of this world-class petroleum province with the discovery and continuing appraisal of the Enyenra field, formerly known as Owo. Enyenra is adjacent to our Tweneboa discovery in the Deepwater Tano license, where we hold an 18% working interest. 
The partnership drilled four successful appraisal wells in this block during the year, three in the Tweneboa field and one side track in the Enyenra field. We plan to continue an active appraisal program in 2011 and expect to submit a plan of development for the area by the end of this year. 
In the adjacent West Cape Three Points Block, where we hold a 31% working interest, we drilled another successful appraisal at the Mahogany East area to the southeast of the Jubilee Field. The M5 well follow three other successful wells in the area that have enabled the partnership to submit a Declaration of Commerciality to the Ghanaian government. 
We are currently drilling the Teak prospect on the same block, about 2.5 miles northeast of the Jubilee Unit boundary. Teak is testing multiple Campanian and Teroni objectives, and we are encouraged that what we have seen so far in this well with results expected soon. The partnership plans to the drill these and other four exploration wells this year on the block. 
In Brazil, drilling is ongoing at the Itauna Discovery on block BM-C-29, where we hold a 50% working interest. Back in November, we announced Itauna's discovery after the well encountered more than 275 net feet of oil pay in the post-salt section. We've begun drilling a bypass to the original wellbore that should enable us to obtain core data and additional reservoir and fluid information to better define the discovery. We plan to drill additional wells in the block in the latter half of 2011 contingent upon rig availability. 
I'll summarize just some of the highlights of our exploration and appraisal drilling programs and encourage you to look through the quarterly operations report on our website for more information. 
Turning to the financial results for the fourth quarter of 2010, we reported earnings of about $0.22 per diluted share. As with previous quarters, we provided a breakout in the earnings release to certain items affecting comparability, without which, fourth quarter net income would've been about $0.07 higher or $0.29 per share. 
Discretionary cash flow totaled approximately $1.3 billion for the quarter and almost $5.4 billion for the full year. We generated more than $200 million of free cash flow in 2010. As for the BP oil spill, we remain confident in our publicly-stated position. Consistent with the past two quarters, we've continued to apply accounting guidelines to the facts that they are known to us today, and accordingly, we have not recorded a contingent liability associated with this event. We will, of course, include expanded disclosures in our 10-K when it is filed with the SEC later this month. 
As mentioned in last night's earnings release, we ended the quarter with about $3.7 billion of cash on hand, after returning more than $400 million of additional debt during the fourth quarter. Also in 2010, we took a number of steps to further strengthen the balance sheet and enhance liquidity, such as extending and upsizing our revolving credit facility from $1.3 billion to $5 billion. This facility remains undrawn. Our capital expenditures, including expense G&G, were approximately $5.3 billion for the year. As I mentioned earlier, this is nearly $200 million lower than the midpoint of original guidance.
Turning to reserves, we added 330 million barrels of oil equivalent of organic proved reserves during 2010 before the effective price revisions. This equates to a reserve appraisal ratio of approximately 140%, which exceeded our target as I mentioned earlier. We accomplished this one incurring cost of just over $5 billion associated with our oil and natural gas exploration and development activities.
As our year end 2010, about 69% of our proved reserves were developed and only 31% undeveloped. An estimated 44% of our proved reserves were liquids. Consistent with the previous year, put up meaningly from 2008 levels, when liquids only comprised about 40% of our product mix. In March of last year, we detailed our five-year goals and with the results in 2010, we are firmly on track to deliver upon those metrics. 
As I stated in last night's release, we are very proud of the dedication and focus of our employees who delivered very strong results in the face of significant challenges that we experienced last summer. The reference resulted in record production, better net tax, high liquids volumes, improved LOE, important fractionation agreements and infrastructure expansions and significant exploration success. 
We look forward to updating you on our longer-term plans and providing our 2011 guidance and capital program later this month. As I mentioned earlier on the call, we anticipate full year production to be well within the guidance we provided last March. We also expect our total capital spending program to be in line with cash flows. With that, Michael, if you would, we'd like to open it up for questions."
251349,118237049,97610,"Anadarko Petroleum Corporation, Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Anadarko Petroleum Corporation","Operator","[Operator Instructions] And your first question comes from the line of Peter Chisel of Howard Vale.",16,"[Operator Instructions] And your first question comes from the line of Peter Chisel of Howard Vale."
251349,118237049,97610,"Anadarko Petroleum Corporation, Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Anadarko Petroleum Corporation","Executives","Peter, this is Chuck. It is preliminary. We are in the drilling studies to evaluate the full development of both of those fields. There's a lot of synergy between them, particularly on the early time. And so that's the direction we're heading. But those s",60,"Peter, this is Chuck. It is preliminary. We are in the drilling studies to evaluate the full development of both of those fields. There's a lot of synergy between them, particularly on the early time. And so that's the direction we're heading. But those studies are ongoing. We hope to have a decision later this year or early next year."
251349,118237049,97610,"Anadarko Petroleum Corporation, Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Anadarko Petroleum Corporation","Executives","This is Bob. I'll speak to your question on the Maverick first. We're looking at a structure similar to that, which we did in the Marcellus. I think that's the best guidance we could give you on that front. The progress is continuing. We've seen strong in",140,"This is Bob. I'll speak to your question on the Maverick first. We're looking at a structure similar to that, which we did in the Marcellus. I think that's the best guidance we could give you on that front. The progress is continuing. We've seen strong interest and our expectations around execution haven't changed there. And as we speak to the Niobrara, we aren't looking at the Niobrara yet for a JV. Certainly down the road, it might be something we would consider but as you know, we're in the very early stages. We like to get our science done. It's worthwhile in the Marcellus and now in the Maverick to get the science done to show some really good performance and then to go to the market to sell the project as it's been a little bit more developed."
251349,118237049,97610,"Anadarko Petroleum Corporation, Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Anadarko Petroleum Corporation","Executives","We're obviously happy that there's interest showing in Niobrara from the outside world.",14,"We're obviously happy that there's interest showing in Niobrara from the outside world."
251349,118237049,97610,"Anadarko Petroleum Corporation, Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Anadarko Petroleum Corporation","Operator","Your next question comes from the line of Doug Leggate from Bank of America Merrill Lynch.",16,"Your next question comes from the line of Doug Leggate from Bank of America Merrill Lynch."
251349,118237049,97610,"Anadarko Petroleum Corporation, Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Anadarko Petroleum Corporation","Analysts","First of all, I know you don't want to speak to the production guidance, given that you have your call later this month, but when you put out the release yesterday on Caesar/Tonga, and you confirmed that you will be within your March guidance, can you jus",78,"First of all, I know you don't want to speak to the production guidance, given that you have your call later this month, but when you put out the release yesterday on Caesar/Tonga, and you confirmed that you will be within your March guidance, can you just reiterate what your maintenance capital is or your stay flat capital is? And what the underlying decline looks like now, Jim? You said that it was getting a little bit better."
251349,118237049,97610,"Anadarko Petroleum Corporation, Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Anadarko Petroleum Corporation","Executives","Well, Doug, this is Al. Let me try and see if I can help you that as best I can recognizing, as you say, we're going to be probably only answer it only in part today. The capital intensity around our ability to replace reserves year-over-year really hasn'",173,"Well, Doug, this is Al. Let me try and see if I can help you that as best I can recognizing, as you say, we're going to be probably only answer it only in part today. The capital intensity around our ability to replace reserves year-over-year really hasn't changed. If you recall, that was about a $2 billion spend in prior years, and that will probably be about the same as we go forward. As we look at what we're going to be able to hopefully achieve in 2011, we do believe that despite the delays with Caesar/Tonga, the guidance we gave you in March is going to continue to be something that we can deliver on. And I think as we move forward here in a couple of weeks, we'll be able to give you a little more information around that, hopefully, in a way that we'll continue to kind of give you kind of development activity in our shales that is probably going to be the largest growth agent for that."
