"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
260725,128418354,112196,"Cintas Corporation, Q3 2011 Earnings Call, Mar 22, 2011",2011-03-22,"Earnings Calls","Cintas Corporation","Operator","Good day, everyone and welcome to the Cintas quarterly earnings results conference call. [Operator Instructions] At this time, I'd like to turn the call over to Mr. Bill Gale, Senior Vice President of Finance and Chief Financial Officer. Please go ahead,",42,"Good day, everyone and welcome to the Cintas quarterly earnings results conference call. [Operator Instructions] At this time, I'd like to turn the call over to Mr. Bill Gale, Senior Vice President of Finance and Chief Financial Officer. Please go ahead, sir."
260725,128418354,112196,"Cintas Corporation, Q3 2011 Earnings Call, Mar 22, 2011",2011-03-22,"Earnings Calls","Cintas Corporation","Executives","Good evening, and thank you for joining us to discuss our third quarter fiscal 2011 results. With me today is Mike Hansen, Cintas' Vice President and Treasurer. After some comments on the quarter's results, we will open the call to questions.For the qua",540,"Good evening, and thank you for joining us to discuss our third quarter fiscal 2011 results. With me today is Mike Hansen, Cintas' Vice President and Treasurer. After some comments on the quarter's results, we will open the call to questions.
For the quarter ending February 28, 2011, total revenue was $938 million, an 8.8% increase from the third quarter of fiscal 2010. Earnings per share were $0.41 versus $0.32 a year ago. 
As provided in our press release, we are updating our guidance for the fiscal year ending May 31, 2011. We now expect total revenues to be between $3.75 billion and $3.77 billion, and our total earnings per share to be in the range of $1.60 to $1.63. This guidance takes into consideration our expectation that energy costs will pressure margins in our fourth quarter. We will not be providing guidance for our fiscal year ending May 31, 2012, until we release our fourth quarter 2011 results in mid-July. 
We are pleased to see continuing improvement in our revenues among all four of our reportable segments. As mentioned in our release, we ramped up the investment in our sales force in the last year's third quarter, because we saw signs of stabilization in the U.S. economy. We also expected a slow employment recovery. And we wanted to create revenue momentum by not only increasing our sales force, but also by having the sales force focused on added penetration at existing customers. As we look one year later, we are pleased with the momentum created and with the improvement in our sales productivity. This improved sales productivity, coupled with the stabilization of the economy, have now given Cintas four consecutive quarters of increasing total and organical revenue growth beginning with our fiscal 2010 fourth quarter.
While we continue to see a general reluctance on the part of our customers to add employees, on a positive note, they continue to replace employees and large workforce reductions are minimal. The higher revenue levels, along with ongoing cost control efforts at Cintas, have helped drive margin improvement despite the higher energy costs and the fewer workdays in our third quarter than the prior two quarters this fiscal year. These recent energy costs increases, if they continue, will pressure margins going forward. While not significantly affecting this fiscal year, continued elevated cotton costs could impact fiscal year 2012 results. We will discuss this impact further during our discussion of fiscal 2012 guidance in July.
Our balance sheet remains strong. Total net debt to capitalization is 25%. In December, we paid our annual dividend of $0.49 per share, the 28th consecutive year in which the dividend was increased dating back to 1983, the year we went public. 
The Private Securities Litigation Reform Act of 1995 provides a Safe Harbor from civil litigation for forward-looking statements. This conference call contains forward-looking statements that reflect the company's current views as to future events and financial performance. These forward-looking statements are subject to risks and uncertainties, which could cause actual results to differ materially from those we may discuss. I refer you to the discussion on these points contained in our most recent filings with the SEC. I will now turn the call over to Mike Hansen."
260725,128418354,112196,"Cintas Corporation, Q3 2011 Earnings Call, Mar 22, 2011",2011-03-22,"Earnings Calls","Cintas Corporation","Executives","Thank you, Bill. Before discussing the quarter in more detail, please note that our fiscal 2011 workdays are the same as last year. That means there were 64 in the third quarter, and there will be 66 in the fourth quarter. As a planning note for fiscal 20",1578,"Thank you, Bill. Before discussing the quarter in more detail, please note that our fiscal 2011 workdays are the same as last year. That means there were 64 in the third quarter, and there will be 66 in the fourth quarter. As a planning note for fiscal 2012, our workdays will be as follows: 66 in the first quarter, 65 in the second quarter, 65 in the third quarter and 66 in the fourth quarter.
As Bill mentioned, total revenue increased 8.8% from the third quarter of last year with total company organic growth being 5.5%. We have four reportable operating segments: Rental Uniforms and Ancillary Products; Uniform Direct Sales; First Aid, Safety and Fire Protection Services; and Document Management Services. Uniform Direct Sales, First Aid Safety and Fire Protection Services and Document Management Services are combined and presented as other services on the face of the income statement. 
The Rental Uniforms and Ancillary Products operating segment consists of the rental and servicing of uniforms, mats, towels and other related items. This segment also includes restroom supplies and other facility products and services. Rental Uniforms and Ancillary Products revenue accounted for 71% of company revenue in the third quarter. Rental revenue was $665 million for the quarter, which is up 6.8% compared to last year's third quarter. Organic growth was 4.3% over last year, which is an improvement from last quarter's organic growth of 1.9%. As mentioned earlier, our sales productivity continued to improve this quarter both in new business opportunities and in customer penetration. We have also seen our account retention improve.
Our Uniform Direct Sales operating segment includes the direct sale of uniforms, branded promotional products and other related products to national and regional customers. Uniforms and other related products are also sold to local customers, including products sold to rental customers through our direct sale catalog. Uniform Direct Sales revenue accounted for 11% of company revenue in the third quarter. Third quarter revenue of $102.6 million represents an increase of 8.7% compared to last year's third quarter. Organic growth was also 8.7%.
Our growth in this segment continued to be broad-based in which we saw rental catalog revenue, national account revenue and lodging, hospitality and gaming revenue increase nicely.
Our First Aid, Safety and Fire Protection Services operating segment includes revenue from the sale and services of First Aid products, Safety products and training and fire protection products. First Aid Safety and Fire Protection revenue accounted for 10% of company revenue in the third quarter. During the quarter, revenues within this operating segment were $91.2 million, an increase of 15.1% versus last year's third quarter. Organic growth was 9.3%, up from the second quarter organic growth rate of 8.4%. Sales productivity has continued to improve and customer spending in this space has also picked up.
Our Document Management Services operating segment includes document destruction, storage and imaging services. Document Management accounted for 8% of third quarter total company revenue. Revenue increased 20.3% over last year's third quarter to $79.1 million with organic growth of 77.8%. Recycled paper prices remained at relatively high levels. However, we have now anniversary-ed the high paper prices. The Document Management growth rate in total now more closely resembles the impact of new customers and higher customer volume levels.
Moving on to margins. Total company gross margin for the third quarter was 41.8%, which is in line with last year's third quarter gross margin of 41.7%. Energy-related costs were up 10 basis points compared to last year's third quarter. The gross margin of 41.8% increased slightly compared to the 41.7% gross margin for the second quarter despite having one less workday in the third quarter and despite a 40 basis point increase in energy-related costs compared to the second quarter. Sequentially through this third quarter, our energy-related costs did increase to fairly high levels by the end of the quarter. After being at 3% in our first two quarters this fiscal year, our third quarter energy-related costs as a percent of revenue were 3.4% and reached as high as 3.6% during the quarter. As Bill mentioned, these costs could continue to run at high levels and could negatively impact our fourth quarter earnings. The updated guidance in our press release considered this impact.
Rental gross margin of 42.8% was up 10 basis points from last year's third quarter. Material cost has increased due to the injection of new garments during this fiscal year. The injection of new garments has increased due to our higher new business levels including many new Carhartt and Flame Resistant clothing accounts. This higher material cost is more than offset though by lower production and service costs as a percent of revenue due to improved capacity utilization from the higher volumes. The rental gross margin of 42.8% was also an increase from the 42.6% in our second fiscal quarter. This improvement comes despite one less workday in the third quarter and an increase of 30 basis points in energy-related costs. As just mentioned, material cost increases were more than offset by improved capacity utilization due to higher volumes.
Other services gross margin was 39.3% for the quarter as compared to 39.2% in last year's third quarter. First Aid, Safety and Fire Protection gross margin improved significantly due to a better mix of higher-margin revenue and improved capacity utilization. Uniform Direct Sales gross margin was relatively flat compared to last year. And Document Management Services gross margin decreased from 52.7% in last year's third quarter to 49.4% in this year's third quarter. This decrease is mainly due to our U.S.-based Storage and Imaging business. Our Storage business had several greenfield starts this fiscal year. While these startups are operating as planned, they do generate losses in the first year of a operations. In addition, our Imaging Services business, which is primarily a project-based business began ramping up for several large fourth quarter projects. And finally, energy-related costs in this business segment increased 65 basis points compared to last year.
Selling and administrative expenses in the third quarter was 30.2% of revenue, a decrease from 32% in last year's third quarter and also a decrease from 30.8% in this year's second fiscal quarter. As we discussed, our sales force productivity has improved over the course of the past year since we increased our investment in last year's third quarter. In addition, we continue to look for ways of controlling administrative expenses. As a result, our third quarter selling and administrative expenses have only increased 2.7% year-over-year while our revenue has grown 8.8%.
Our effective tax rate was 38.9% for the quarter compared to 32.8% last year. Due to the timing of specific reserve builds and releases, our effective tax rate can fluctuate from quarter-to-quarter. We expect our fiscal 2011 effective tax rate to be approximately 37%. 
Our cash and marketable securities were $217 million at February 28, a decrease of $68 million from November 30, 2010. This decrease is mainly due to the $72 million payment of our annual dividend in December. Accounts receivable increased by $14 million since November 30, primarily because of the higher revenue levels. DSOs on accounts receivable remained at 40, the same as of November 30. 
New goods inventory at February 28 was $232 million, up $24 million from November 30.  We converted our global supply chain to the SAP system in our third quarter, and that conversion has gone as planned. In anticipation of this conversion, we intentionally built up inventory levels prior to the conversion. We expect the added inventory related to this conversion to burn off over the next six months.
Uniforms and other rental items in service increased by $9 million from November 30 to February 28 due to the higher volume levels throughout the third quarter. Accrued liabilities decreased $101 million compared to November 30 due to the $72 million accrual of the dividend, which was paid on December 15 and decreased accrued bond interest. Long-term debt at February 28 was $808 million. Our average rate on the outstanding debt is approximately 6%. Total debt as a percentage of total book capitalization was 25%; while net debt, or long-term debt less cash and marketable securities as a percentage of total capitalization, was 19%.
Turning to our cash flow. Cash provided by operating activities was $99 million for the third quarter, a decrease from $135 million in last year's third quarter. Last year's cash flow benefited from lower working capital needs associated with our decreasing volumes. This year, the increasing revenue levels have increased our working capital needs such as increased inventory levels and higher accounts receivable balances. The third quarter cash provided by operating activities of $99 million was an increase over the second quarter's $74 million.
CapEx for the third quarter was $54 million. Our CapEx by operating segment was as follows: $33 million in rental; $1 million in Uniform Direct Sales; $6 million in First Aid, Safety and Fire Protection; and $14 million in Document Management. We expect CapEx for the fiscal year to be in the range of $170 million to $180 million. 
We invested $70 million in the third quarter on strategic acquisitions. This includes acquisitions in our Rental Uniforms and Ancillary Products operating segment, our Document Management operating segment and our First Aid, Safety and Fire Protection Services operating segment. We will continue to evaluate acquisition candidates as opportunities arise. 
That concludes our prepared remarks, and we will now take any of your questions."
260725,128418354,112196,"Cintas Corporation, Q3 2011 Earnings Call, Mar 22, 2011",2011-03-22,"Earnings Calls","Cintas Corporation","Operator","[Operator Instructions] And we'll go first to Andrew Wittman with Baird.",11,"[Operator Instructions] And we'll go first to Andrew Wittman with Baird."
260725,128418354,112196,"Cintas Corporation, Q3 2011 Earnings Call, Mar 22, 2011",2011-03-22,"Earnings Calls","Cintas Corporation","Analysts","I just wanted to get a little bit clarity on some of the assumptions behind the guidance. Looks like the midpoint's about a 5% -- 5.5 maybe percent organic growth rate, which would be about consistent with what we saw in the third quarter. Does that seem",51,"I just wanted to get a little bit clarity on some of the assumptions behind the guidance. Looks like the midpoint's about a 5% -- 5.5 maybe percent organic growth rate, which would be about consistent with what we saw in the third quarter. Does that seem about right to you?"
260725,128418354,112196,"Cintas Corporation, Q3 2011 Earnings Call, Mar 22, 2011",2011-03-22,"Earnings Calls","Cintas Corporation","Executives","Well, it seems about right. Here's our concern, and I would say we expected some of you to think maybe we were a little conservative on this. But our concern is in the energy costs arena, not only how it impacts our margin but how it might impact our cust",94,"Well, it seems about right. Here's our concern, and I would say we expected some of you to think maybe we were a little conservative on this. But our concern is in the energy costs arena, not only how it impacts our margin but how it might impact our customers. So we are forecasting continued growth on the top line. But given the uncertainty in the energy markets as well as in the other issues going on around the world, we felt it prudent to be somewhat conservative in our view of the revenue."
260725,128418354,112196,"Cintas Corporation, Q3 2011 Earnings Call, Mar 22, 2011",2011-03-22,"Earnings Calls","Cintas Corporation","Analysts","I see. And just in terms of the margins, thanks for the clarity. It sounds like you are anywhere between 3.4% and 3% and as high as 3.6%, I guess. Given that today, where are we on that spectrum? Are we still kind of 40 basis points over the first two qua",67,"I see. And just in terms of the margins, thanks for the clarity. It sounds like you are anywhere between 3.4% and 3% and as high as 3.6%, I guess. Given that today, where are we on that spectrum? Are we still kind of 40 basis points over the first two quarters at the 3.4% level? just trying to get a handle of what you're implying on."
260725,128418354,112196,"Cintas Corporation, Q3 2011 Earnings Call, Mar 22, 2011",2011-03-22,"Earnings Calls","Cintas Corporation","Executives","We're running on that 3.5% to 3.7% level right now. And if you think about the way that the energy impacts as we did some calculations and basically for every 50 basis points of energy costs, that's about $0.02 a share for us. So we're projecting energy c",67,"We're running on that 3.5% to 3.7% level right now. And if you think about the way that the energy impacts as we did some calculations and basically for every 50 basis points of energy costs, that's about $0.02 a share for us. So we're projecting energy costs will, at best, stay at these elevated levels but likely to go even higher depending on what happens."
260725,128418354,112196,"Cintas Corporation, Q3 2011 Earnings Call, Mar 22, 2011",2011-03-22,"Earnings Calls","Cintas Corporation","Analysts","And just in terms of the operating environment, last quarter, it sounds like pretty similar to this quarter in terms of add/stops at existing customers. Is that fair? And is it also fair to assume then that it's still what you call the, I guess new storef",61,"And just in terms of the operating environment, last quarter, it sounds like pretty similar to this quarter in terms of add/stops at existing customers. Is that fair? And is it also fair to assume then that it's still what you call the, I guess new storefronts, new customers and further penetration in existing customers that's really driving that organic growth?"
260725,128418354,112196,"Cintas Corporation, Q3 2011 Earnings Call, Mar 22, 2011",2011-03-22,"Earnings Calls","Cintas Corporation","Executives","That's primarily correct, a little bit better results in lost business too, Andy. But yes basically, we're seeing new business continuing to be pretty good. And fortunately, customers when they lose employees are replacing those employees. So they're just",53,"That's primarily correct, a little bit better results in lost business too, Andy. But yes basically, we're seeing new business continuing to be pretty good. And fortunately, customers when they lose employees are replacing those employees. So they're just -- there's not a lack of adds or additions to our customers' headcount."
