"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
173341,117864311,103486,"Comcast Corporation, Q4 2010 Earnings Call, Feb 16, 2011",2011-02-16,"Earnings Calls","Comcast Corporation","Operator","Good morning, ladies and gentlemen, and welcome to Comcast Fourth Quarter and Full Year 2010 Earnings Conference Call. [Operator Instructions] I will now turn the call over to Senior Vice President, Investor Relations, Ms. Marlene Dooner. Please go ahead,",41,"Good morning, ladies and gentlemen, and welcome to Comcast Fourth Quarter and Full Year 2010 Earnings Conference Call. [Operator Instructions] I will now turn the call over to Senior Vice President, Investor Relations, Ms. Marlene Dooner. Please go ahead, Ms. Dooner."
173341,117864311,103486,"Comcast Corporation, Q4 2010 Earnings Call, Feb 16, 2011",2011-02-16,"Earnings Calls","Comcast Corporation","Executives","Thank you, operator, and welcome, everyone, to our earnings call. Joining me on the call are Brian Roberts, Michael Angelakis, Steve Burke and Neil Smit.As we did in the third quarter call, Brian and Michael will make formal remarks, and Steve and Neil",236,"Thank you, operator, and welcome, everyone, to our earnings call. Joining me on the call are Brian Roberts, Michael Angelakis, Steve Burke and Neil Smit.
As we did in the third quarter call, Brian and Michael will make formal remarks, and Steve and Neil will also be available for Q&A. As you know, we closed the NBC Universal transaction on January 28. And as a result, today's call will only cover Comcast results for the fourth quarter and full year 2010. Beginning in the first quarter, NBC Universal's results will be consolidated in Comcast financial statements. So we are not providing 2010 pro forma results today. We plan to provide quarterly and full year 2010 pro forma results on both a consolidated basis and by segment when we announce first quarter results on May 4. We hope that level of detail will provide a good basis for comparison as we begin to report 2011 results on a consolidated basis.
So to begin, let me, as always, refer you to Slide #2, which contains our Safe Harbor disclaimer and remind you that this conference call may include forward-looking statements subject to certain risks and uncertainties.
In addition, in this call, we will refer to certain non-GAAP financial measures. Please refer to our 8-K for the reconciliation of non-GAAP financial measures to GAAP. 
With that, let me now turn the call to Brian Roberts for his comments. Brian?"
173341,117864311,103486,"Comcast Corporation, Q4 2010 Earnings Call, Feb 16, 2011",2011-02-16,"Earnings Calls","Comcast Corporation","Executives","Thanks, Marlene, and good morning, everyone. I'm delighted to begin this first call of the year with really only positive news. Today, we're reporting strong results for 2010. We have successfully completed the NBC Universal transaction and really everyth",1006,"Thanks, Marlene, and good morning, everyone. I'm delighted to begin this first call of the year with really only positive news. Today, we're reporting strong results for 2010. We have successfully completed the NBC Universal transaction and really everything you will hear on this call points to an exciting new beginning for our company.
Our financial and operating performance accelerated throughout 2010, and we finished the year with real strength in financial and customer results in the fourth quarter. Our Cable and Programming teams achieved these results as they worked through a year-long regulatory approval process for NBC Universal, which is now complete with conditions that we believe will allow us to effectively execute on our plans for growth and innovation. Therefore, we're beginning 2011 in a wonderful position. We have strong financial and operating momentum. We're starting to execute on the many unique opportunities that are available to Comcast now that NBC Universal is part of our company. 
So let me briefly review the results. In the fourth quarter, consolidated revenues increased 7% and operating cash flow increased 9%. We generated free cash flow of $1.1 billion for the quarter, up 46% and $5.4 billion for the year, an increase of 22%. This was the third consecutive year with growth in free cash flow above 20%, showing our real and consistent focus on free cash flow generation and an effective and disciplined approach to expense and capital management.
Combined with these solid financial results, we also saw real strength in customer metrics. In the fourth quarter, we had fewer video losses than in the third quarter and in last year's fourth quarter despite having a larger competitive footprint than a year ago. We also had strong growth in Voice and High-Speed Internet net additions. In fact, 2010 marks the fifth year in a row where we added more than 1 million High-Speed Internet customers. this strong momentum in Cable also demonstrates that the investments we have been making in technology for our XFINITY products combined with our focus on enhancing the customer experience are paying off. 
Our key technical initiatives, All-Digital and DOCSIS 3.0, are nearing completion, with All-Digital in 75% of our markets and DOCSIS 3.0 deployed in more than 85% of our footprint. We've also put in place a library server infrastructure, which we call our Content Delivery Network for OnDemand in the majority of our markets. All of this means we're delivering better products to our customers where high-def and foreign-language programming up to 25,000 OnDemand choices, better guides, improved DVR functionality, more interactivity, as well as higher speeds for our High-Speed Internet customers.
We're also quickly leveraging these investments and taking advantage of technology advances in IP technology and new devices to continue to enhance the experience that provides our customers more choices and more ways to enjoy our services. Online, with XFINITY TV.com, which gives you access to 150,000 entertainment choices at home or on the go with tablets and mobile devices with our XFINITY TV app, which just for the iPad alone had been downloaded more than 1 million times since we launched it in mid-November. The app now combines the functionality of a remote, a TV guide and a mobile video player with Play Now, a streaming feature that initially gives customers access to 3,000 hours of movies and TV content. And later this year, we plan to expand to include live programming.
Our XFINITY platform gives us the capability to build new products and features and to deliver more innovation to our customers. It also positions us to innovate faster than ever before and enables us to have new growth opportunities like Business Services and in advertising and in content. 
Now that we have completed the NBC Universal transaction, we are in a special position with a strategic mix of assets and a unique opportunity to build value for our shareholders, both near term with assets like the Cable networks and longer term, with Universal Films and NBC broadcast network. Our investments in NBC Universal is structured to provide solid returns. The financing was completed on terms that are better than we originally anticipated, and NBC Universal has good momentum going into 2011.
With scale in both distribution and content, we believe we can drive product leadership and innovation even faster. Reflecting all of this confidence and optimism in the future of our businesses, today we are pleased to announce 19% increase in our planned annual dividend to $0.45 per share, and we're accelerating our share repurchases in 2011 by 75% to $2.1 billion.
So we really do start 2011 on a positive note. We have a strong foundation with increasingly diverse revenue streams, strong subscription businesses and opportunities to build new businesses. And our competitive position has never been better. Now it's really all about execution in order to maintain our financial and operating momentum and to drive profitable and sustainable growth. 
Under Neil Smit's leadership for over a year now, we are speeding up innovation and really moving forward with the customer experience. We have reinforced our focus on first call resolution for our customers and online self-service. And as a result, repeat service calls are down by 15%, and online transactions have increased by 20%. At the same time, customer awareness of our customer guarantee increased by 10 points last year. When taken together, these steps are driving higher customer satisfaction, as well as increased efficiencies in our Cable businesses.
At NBC Universal, Steve Burke is focused first on maintaining the strong performance and momentum of the Cable channels, which drive most of the profitability of NBC Universal. We're also integrating the Comcast networks into NBC Universal's wonderful group of cable properties. And beginning to execute on the many new opportunities to come out of this combination. Across the board, we are focused on execution and on building value at each and every one of our businesses. 
Let me now pass to Michael to cover the fourth quarter and 2010 results in more detail."
173341,117864311,103486,"Comcast Corporation, Q4 2010 Earnings Call, Feb 16, 2011",2011-02-16,"Earnings Calls","Comcast Corporation","Executives","Thank you, Brian. Let me begin by briefly reviewing our consolidated results starting on Slide 5. We are pleased to report solid full year 2010 and fourth quarter results, which reflect a consistent focus on profitable growth and underscores the effective",2391,"Thank you, Brian. Let me begin by briefly reviewing our consolidated results starting on Slide 5. We are pleased to report solid full year 2010 and fourth quarter results, which reflect a consistent focus on profitable growth and underscores the effective execution in our Residential, Commercial, Programming and Advertising businesses. We are particularly pleased with our fourth quarter results, which showed real momentum and a balanced approach to financial and customer metrics in our Cable Operations. 
For the fourth quarter, consolidated revenue increased 7.2% to $9.7 billion, and operating cash flow grew 9% to $3.7 billion, resulting in consolidated operating cash flow margin of 38.2% versus 37.6% in 2009. When adjusted for NBC transaction costs, the operating cash flow growth was 9.1%, and our margin was 38.5%.
For the full year, consolidated revenue increased 6.1% to $37.9 billion, and operating cash flow grew 6.4% to $14.6 billion, resulting in a consolidated operating cash flow margin of 38.5%. Again, when adjusted for NBC U transaction costs, 2010 operating cash flow growth was 6.9%, and our margin was 38.7%. Given the economic and competitive environment we're facing, we are pleased with these financial results. 
Cable Advertising recovered this past year, and the business benefited from the 25.9% increase in revenues to $1.8 billion. This improvement was led by renewed strength in automotive and also political revenue, which added over $180 million to 2010's results. 
Shifting to our Programming segment, this business also benefited from a healthy advertising market with revenue growth of 11.8% and operating cash flow growth of 20.6%. 
Please refer to Slide 6. We also remain very focused on free cash flow, free cash flow per share and earnings per share as important metrics in evaluating the strength of the company. In each of these key metrics, our performance in the fourth quarter and during 2010 was very strong and reflects solid progress related to our continued focus on return on invested capital and on execution.
During the fourth quarter, we generated consolidated free cash flow of $1.1 billion, an increase of 46% compared to last year, primarily the result of higher consolidated operating cash flow, lower capital expenditures and changes in operating assets and liabilities. For the fourth quarter, free cash flow per share increased 48% to $0.40 per share. For the full year of 2010, our free cash flow increased 22% to $5.4 billion, and free cash flow per share increased 25% to $1.91 per share. Excluding total NBC Universal-related costs and other non-recurring items, EPS for the fourth quarter grew 20.7% to $0.35 per share. For the full year again, excluding total NBC Universal costs and other non-recurring items, earnings per share grew 18% to $1.31 per share. Please refer to Table 4 in the press release for more details on these items.
Let's turn to Slide 7 to review the Cable division's results. For the fourth quarter, Cable revenue increased 6.9% to $9.2 billion, reflecting growth in our Residential business and continued strength in Business Services and Cable Advertising. As Brian previously mentioned, we experienced real strength in our customer metrics in the fourth quarter when compared to 2009 and in prior quarters. We added 414,000 total Video, High-Speed Internet and Voice customers during the fourth quarter, and we had fewer Video losses than in the prior quarter as well as compared to last year, signaling that the impact of the digital transition is now behind us.
In addition, we saw strong growth in our High-Speed Internet additions as we continue to take share with product superiority, and we added healthy levels of Voice customers as we Voice editions with our Triple Play offers. We continue to manage the business for profitable growth, and we've been effective during 2010 in driving recurring revenue. Total revenue per Video customer increased 11% to over $133 per month in the fourth quarter, reflecting strong ARPU management, the higher contribution from Comcast Business Services and an increasing number of customers taking multiple products. At the end of the fourth quarter, 33% of our Video customers took all three services compared to 28% at the end of 2009.
For the fourth quarter, total Video revenue increased 2.1%. Video revenue continues to strengthen, reflecting rate adjustments and increasing number of our customers taking higher levels of digital and Advanced Services and an increase in pay revenue. This quarter, we added 228,000 advanced service customers who subscribe to high-def and/or DVR services. We now have 10.1 million advanced service customers equal to 51% of our digital customer base and 44% of all Video customers. 
High-Speed Internet revenue increased a healthy 10.7% during the quarter, reflecting rate adjustments, continued growth in our customer base and an increasing number of customers taking higher-speed services. Today, 23% of our residential High-Speed Internet customers take the higher speed tier above our flagship service. We added 292,000 High-Speed Internet customers in the fourth quarter and 1.1 million in 2010. This compares to 247,000 for the fourth quarter of 2009 and 1 million for all of 2009. Our penetration continues to trend upward and is now at 33%.
Voice revenue also posted strong growth, increasing 11.8% for the quarter, reflecting continued growth in our residential customer base as we successfully bundle with the Triple Play and benefit from a growing contribution from Business Services. We added 257,000 total Voice customers in the fourth quarter and added 988,000 Voice customers during 2010 compared to 1.1 million last year. Over the last 12 months, our penetration has increased 160 basis points and is now at 17.3%.
We also had another strong performance in Business Services, with revenue increasing 53.5% to $365 million in the quarter to 53.1% to $1.3 billion for 2010. This business' margins are improving and we expect the momentum in the small end of the business market continue. As I have mentioned previously, we are in the early stages of targeting medium-sized businesses and have invested in this effort during 2010. We remain very enthusiastic about the growth opportunities to serve midsized businesses and to also expand our cell backhaul efforts. 
As I mentioned, Cable Advertising performed well as fourth quarter revenue increased to 29.3%. This improvement was, again, led by strength in automotive, as well as higher political revenue. Excluding the impact of political, core Cable Advertising revenue increased 10.2% this quarter to 16.4% for the full year.
Please refer to Slide 8, and let's review our Cable division's operating cash flow results. Fourth quarter Cable operating cash flow increased 8.7% to $3.8 billion. Our Cable operating cash flow margin increased to 41.2%, a 70 basis point improvement compared to last year's fourth quarter. For 2010, Cable operating cash flow increased 6.4% to $14.6 billion, and our Cable operating cash flow margin increased to 40.7% from 40.4%. Total expenses in our Cable segment increased 5.6%, reflecting higher video Programming and marketing expenses, as well as continued investment to expand our capabilities in Business Services. 
Programming expenses increased 5.9% this quarter and 5.6% for all of 2010, reflecting an increasing number of our customers taking higher levels of our digital services, the addition of new Programming and contract resets. As we enter new contracts, we are also receiving more value in our Programming contracts, particularly with more OnDemand Programming and increasing availability of content across multiple platforms. As we look to 2011, we expect Programming expenses to grow at a slightly higher rate than in 2010 due in part to higher sports-related costs.
Marketing expenses increased 24.2% this quarter and 17.4% for the year as a result of continued investment in direct sales in our retail channels and in higher overall advertising and media spend, including our XFINITY branding. Our XFINITY brand is now launched in 84% of our footprint, and awareness of XFINITY now exceeds 90%. Among non-customers, we have seen consideration levels that is potential customers willing to evaluate and consider our brand for purchase grow by over 36% since the launch of XFINITY one year ago. In addition, among our current customers, we have seen our ratings were being technologically advanced grow by more than 40%, and our scores for having good value for money increased by 30%. Our marketing investment is yielding positive results, driving connect activity improving our competitive positioning in the market.
We also remain very focused on expense management throughout the entire enterprise. We are constantly evaluating our cost structure to gain efficiencies. In the fourth quarter, we realized improvements in network costs and reduced our direct costs for High-Speed Internet and Voice businesses. In addition, customer service and technical expenses were relatively flat for the year as we benefited from a number of efficiency initiatives, which resulted in lower activity levels and increasing call automation and customer self service. 
Please refer to Slide 9 to review our capital expenditures. In the fourth quarter, capital expenditures decreased $77 million to $1.5 billion, representing 15.8% of total revenue, continuing our trend of decreasing capital intensity, lower equipment pricing and strong return on invested capital. Fourth quarter CapEx reflects meaningful investments to support growth in Business Services and to expand our efforts in midsized businesses such as Metro-E and cell backhaul. We have now deployed almost 17 million Digital Adapters since the inception of the All-Digital project, including 1.9 million during the fourth quarter and 10.7 million during 2010. Our All-Digital project has freed up bandwidth for DOCSIS 3.0, as well as enabled our new Content Delivery Network for OnDemand. And as Brian mentioned, All-Digital is providing significant product enhancements for our customers.
We're generating incremental revenue from a reduction in best of service and higher take rates for Advanced Services and pay-per-view. All-Digital is also helping to drive operating efficiencies, which reduced truck rolls and higher utilization of self installations. As a result, the All-Digital project is providing double-digit returns, while generating significant strategic and operating benefits for the company. 
Another high-return capital investment area is our deployment for advanced digital boxes. We have articulated the investment returns for this area before. In the fourth quarter, we deployed 781,000 advanced high-def and/or DVR set tops. For the full year of 2010, capital expenditures decreased 3% to $5 billion, equal to 13.1% of revenue and again, reflects decreased capital intensity. In addition, consistent with prior years, our growth-oriented CapEx represents approximately 71% of total Cable  capital expenditures.
With regard to 2011, we anticipate our capital intensity to moderate further as Cable capital expenditures are expected to be lower as a percentage of Cable revenue when compared to 2010. This further reduction in CapEx should occur even as we aggressively invest internally in strategic opportunities, which we believe have attractive risk adjusted returns and represent future organic growth. 
Please refer to Slide 10. Now let me provide an update on the NBC Universal transaction, which we view as strategically and financially attractive and consistent with our capital allocation strategy. The transaction is transformative to our content assets as we now have scale in both content and distribution. The transaction has been structured to yield strong double-digit returns, maintain Comcast's conservative balance sheet and strong investment grade ratings and allow us to accelerate our return of capital to shareholders. 
As you know, we closed the transaction on January 28. At closing, we funded $6.2 billion in cash and also contributed our national Programming networks, regional sports and news networks and several digital assets. The structure produces significant tax benefits associated with tax depreciation and amortization deductions that afford Comcast tax benefits similar to an asset purchase. The resulting tax benefits may exceed our previous estimate of $1.5 billion on a net present value basis. 
In the last year, we raised $13.1 billion of new attractively priced debt to fund this transaction, including $9.1 billion at NBC U and $4 billion at Comcast Corporation. At closing, our consolidated leverage is approximately 2.4x. And as we have said in the past, we remain comfortable with our debt to operating cash flow leverage target between 2.0x to 2.5x. 
We will consolidate NBC Universal, but we'll manage Comcast Cable and NBC Universal as two separate balance sheets and two separate pools of cash flow generation and funding capacity. Comcast Cable, which includes the Cable business and our corporate operations will continue to allocate its free cash flow generation to reinvestment in its businesses and to return capital to shareholders. NBC Universal will retain its free cash flow and debt capacity for reinvestment in its businesses and to fund future redemptions by GE. 
While day one integration went smoothly and we are just beginning to operate these businesses, NBC Universal starts 2011 with good momentum. We are very excited about the opportunities. And as Marlene mentioned, we'll provide more details in transparency for NBC Universal in its operating segments with the first quarter results on May 4. 
Please refer to Slide 11. As we review 2010 and begin 2011, we have a consistent financial strategy that is balanced and discipline. Our first priority remains to profitably invest in the operating and strategic needs of our businesses. And we will continue to deploy capital when it provides attractive risk-adjusted returns, enhances our competitive position and delivers sustainable organic growth. In terms of external investments, we expect our focus to be on execution and on the integration of NBC Universal. We remain extremely disciplined focusing on opportunities that extend our services and add features that allow us to build new complementary and profitable revenue streams.
In 2010, we returned approximately 42% of our consolidated free cash flow to shareholders or $2.3 billion, including dividend payments totaling $1.1 billion and share repurchases totaling $1.2 billion. With today's announcement, our return of capital is increasing 45% to $3.3 billion during 2011, representing approximately 60% of our last 12 months' free cash flow and approximately 90% of our last 12 months' net income. That incorporates the 19% increase in our planned annual dividend to $0.45 per share and acceleration by 75% in our share repurchases to $2.1 billion for this year. When you combine all these elements together, we feel very good about our financial strength, our current operating momentum and opportunities in 2011. We have a terrific mix of assets, and we're looking forward to executing on the opportunities to build value for our shareholders. 
Now let me turn it over to Marlene for Q&A."
173341,117864311,103486,"Comcast Corporation, Q4 2010 Earnings Call, Feb 16, 2011",2011-02-16,"Earnings Calls","Comcast Corporation","Executives","Thanks, Michael. Operator, let's open up the call for Q&A, please.",11,"Thanks, Michael. Operator, let's open up the call for Q&A, please."
173341,117864311,103486,"Comcast Corporation, Q4 2010 Earnings Call, Feb 16, 2011",2011-02-16,"Earnings Calls","Comcast Corporation","Operator","[Operator Instructions] Our first question comes from the line of Jessica Reif-Cohen with Bank of America Merrill Lynch.",18,"[Operator Instructions] Our first question comes from the line of Jessica Reif-Cohen with Bank of America Merrill Lynch."
173341,117864311,103486,"Comcast Corporation, Q4 2010 Earnings Call, Feb 16, 2011",2011-02-16,"Earnings Calls","Comcast Corporation","Analysts","I have two questions. First on NBC Universal, could you highlight the top goals or priorities over the next one or two years? And are there any of the parts of the business you'd like to add to, for example, international is an area that doesn't seem to b",116,"I have two questions. First on NBC Universal, could you highlight the top goals or priorities over the next one or two years? And are there any of the parts of the business you'd like to add to, for example, international is an area that doesn't seem to be particularly strong right now. And then as a separate topic, on the SME business the 53% growth is fantastic. I'm just wondering it feels like you're just starting on the midsized business, when would you expect to achieve scale in the medium-sized business? And you mentioned that margins are accelerating. Can you tell us what they are now and what you expect them to be at scale?"
173341,117864311,103486,"Comcast Corporation, Q4 2010 Earnings Call, Feb 16, 2011",2011-02-16,"Earnings Calls","Comcast Corporation","Executives","I'll start with the NBC Universal goals and then pass to Neil on the small and medium-sized business question. One of the advantages of waiting 13 or 14 months to get a deal closed due to regulatory approval is you get a chance to really get to know the a",296,"I'll start with the NBC Universal goals and then pass to Neil on the small and medium-sized business question. One of the advantages of waiting 13 or 14 months to get a deal closed due to regulatory approval is you get a chance to really get to know the assets, really get to know the people and get a chance to create a set of goals and plans and priorities for the future. We have a lot of big goals for NBC Universal. I would start with the fact that 80% of the EBITDA or 80% of the value are the Cable channels. The Cable channels are in fantastic shape, have been growing double digits. There you just want to make sure we continue to make the right investments and continue the growth. The biggest opportunity I think over the next few years, and we certainly don't expect to see anything in the next year but if you go out three, four, five years at the NBC network where we have some real strength in NBC news and some real weakness with prime time, and we think we can make progress and we're doing a variety of things, putting a variety of things in place to get that progress. But I don't think we're going to see anything for a while. And then very excited about opportunities like Telemundo. You mentioned international. We think international is a real opportunity, so we think the assets are fantastic. And the real core of the assets, the Cable channels, are in great shape. Want to continue to keep that going, but we're going to be opportunistic in terms of the places where we can invest and grow like international, like Telemundo, like the NBC network as well. Neil?"
173341,117864311,103486,"Comcast Corporation, Q4 2010 Earnings Call, Feb 16, 2011",2011-02-16,"Earnings Calls","Comcast Corporation","Executives","Yes. On the Business Services side, we are pleased with the growth. We've been focusing primarily on the SMB business. And as that business has scaled, we see margins that are higher than our residential side. Going forward, we're really investing right n",110,"Yes. On the Business Services side, we are pleased with the growth. We've been focusing primarily on the SMB business. And as that business has scaled, we see margins that are higher than our residential side. Going forward, we're really investing right now into PRIs, the Metro-E business and the cell backhaul towers. We've now got PRI available on about 90% of our footprint. The Metro-E is over half of our footprint, and we increased our cell backhaul towers by about 80%. I think, Jessica, to answer your question, we will be seeing those returns over the next couple of years. We're making the investment now for the longer-term growth."
173341,117864311,103486,"Comcast Corporation, Q4 2010 Earnings Call, Feb 16, 2011",2011-02-16,"Earnings Calls","Comcast Corporation","Analysts","Have you seen any telco response?",6,"Have you seen any telco response?"
