"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
383724,117980987,96678,"Federated Investors, Inc., Q4 2010 Earnings Call, Jan 28, 2011",2011-01-28,"Earnings Calls","Federated Hermes, Inc.","Operator","Greetings and welcome to the Federated Investors Fourth Quarter 2010 Earnings Call and Webcast. [Operator Instructions] It is now my pleasure to introduce your host, Ray Hanley, President of Federated Investors management company. Thank you. Mr. Hanley, y",40,"Greetings and welcome to the Federated Investors Fourth Quarter 2010 Earnings Call and Webcast. [Operator Instructions] It is now my pleasure to introduce your host, Ray Hanley, President of Federated Investors management company. Thank you. Mr. Hanley, you may begin."
383724,117980987,96678,"Federated Investors, Inc., Q4 2010 Earnings Call, Jan 28, 2011",2011-01-28,"Earnings Calls","Federated Hermes, Inc.","Executives","Good morning and welcome. Leading today's call will be Chris Donahue, Federated's CEO; and Tom Donahue, Chief Financial Officer. And they'll give some brief remarks before we open up for questions. Joining us for the Q&A will be Debbie Cunningham, CIO of",126,"Good morning and welcome. Leading today's call will be Chris Donahue, Federated's CEO; and Tom Donahue, Chief Financial Officer. And they'll give some brief remarks before we open up for questions. Joining us for the Q&A will be Debbie Cunningham, CIO of Federated Money Markets. 
In the way of forward-looking statements let me say that during today's call, we may make forward-looking statements and we want to note that Federated's actual results could be materially different than the result applied by such statements.  We invited you to review our risk disclosures in our SEC filings. No assurance can be given as to the future results, and Federated assumes no duty to update any of these forward-looking statements.
And with that, I'll turn it over to Chris."
383724,117980987,96678,"Federated Investors, Inc., Q4 2010 Earnings Call, Jan 28, 2011",2011-01-28,"Earnings Calls","Federated Hermes, Inc.","Executives","Thank you, Ray, and good morning. I will start with a brief review of Federated's recent business performance before turning the call over to Tom to discuss our financials.Looking first at cash management, Money Market assets were up $15 billion from th",1021,"Thank you, Ray, and good morning. I will start with a brief review of Federated's recent business performance before turning the call over to Tom to discuss our financials.
Looking first at cash management, Money Market assets were up $15 billion from the prior quarter, with about $3 billion of this coming from the completion of the SunTrust Money Market acquisition. As you can see by looking at the average assets, inflows came in later in the quarter as we've seen at other year ends. So far in January, Money Market assets are down slightly. While market conditions continue to be challenging, our cash management business remains well-positioned, strong and stable.
The fourth quarter saw an uptick in Money Fund Yield waivers to just the beyond the high side of our population us quarter. Tom will comment on the waiver impact in his remarks. We continue to expect that these waivers will not change much until a clear path to higher short-term rates and Fed increases emerges. Debbie will talk about our rate outlook a bit later. 
Our Money Market fund share at the end of the year was about 8.8%. This compares to about 8.5% at year-end '09 and year-end '08, and about 7% in '07 and about 5% at the beginning of the year 2000. On the regulatory front, Federated and many others have responded to the SEC's request for comments to options discussed in the President's working group report. In our view, the changes made in 2010 to Rule 2a-7 which are still being implemented by the industry of further strengthen the framework that has worked exceptionally well for over 30 years. We believe it would be appropriate to allow these measures to be fully implemented and evaluated over a longer time frame before considering this option of additional regulatory changes. 
We continue to support the liquidity bank measure what was proposed by the industry through the ICI Working Group. We see this as an option that will enhance money fund resiliency by offering a source of additional liquidity or high-quality investments, but importantly, does not socialize credit risk and does not provide for a guarantee on the money funds which we believe is neither practical nor necessary.
Turning to other products, we have a variety of equity funds with solid records that we expect to gather assets as the market conditions continue to improve. Gross and net sales in the fourth quarter were strongest in our strategic value dividend fund, which is well-positioned as investors increasingly look for income from equity investments. The Kaufmann Large Cap Fund recently marked its three year anniversary and with its strong performance, achieved strong ratings and positive flows. The Kaufmann Small-cap fund also had positive flows during the fourth quarter. 
Our International group has produced a very solid performance over the last year. We saw positive flows into the international leaders and international strategic value funds in the fourth quarter. On the value side, the Clover Small Value Fund has performed well and has produced positive flows in the fourth quarter. 
While our growth equity fund sales increased about 7% in the fourth quarter from the prior quarter, flows were negative due mainly to outflows in the Prudent Bear fund. We position this fund as an overall enhancement to a portfolio over market cycles, and we believe that this is how most of the shareholders use the fund. Yet, we have seen that the fund tends to acquire assets in down markets that experienced outflows in up markets.  This fund had inflows of $216 million in the third quarter and then moved to outflows of $295 million in the fourth quarter for a swing of over $500 million. 
By looking at the first quarter results for the first few weeks, equity flows had been modestly negative. Within equity separate accounts, outflows were largely due to net redemptions in Quant products, the MBT, SMA and institutional accounts. We won the small-cap growth additional mandate that we expect to find the next quarter with about $120 million.
Looking at bond funds, our growth sales were up slightly in Q4, while net sales decreased from Q3 consistent with industry trends. However, our total return bond fund showed higher growth and net sales compared to Q3, and our high yield funds remained in positive flows. 
Ultrashort products swung from positive in the third quarter to slightly negative in the fourth quarter. On the mutiny bond side, growth sales were higher in Q4 than Q3, but we saw negative flows in the group compared to the positive flows in Q3.
Bond flows are negative in the first couple of weeks of January due in part to a $200 million redemption from total return bond fund from a client reaching its fund asset concentration limit. We've also seen a pickup in mini bond fund redemption. In fixed income separate accounts, we had a solid quarter of net inflows over $800 million, and we expect about $350 million of new assets to fund in the first quarter.
Turning to fund investment performance and looking at year-end Lipper rankings for Federated Equity funds, 25% weighted assets were in the first or second quartile over the last year; 21%, three years; 65%, five years and 83%, 10 years. For bond fund assets of the comparable first and second quartile percentages are 31%, one year; 65%, three years; 74%, five years; and 66%, 10 years.
As of January 26, our managed assets were approximately $356 billion, including $274 billion in money markets, $31 billion in equities and $51 billion in fixed income including our liquidation portfolio. Money market mutual fund assets stand at about $241 billion. So far in January, our money fund assets have ranged between $236 billion and $245 billion and have averaged right about $241 billion. 
Regarding acquisitions, we continue to look for an alliance to further advance our business outside the U.S. as a component of our strategy to expand globally. We remain active in looking for consolidation deals, including money market business. As always, we cannot predict the probability or timing of any potential deals. 
Tom?"
383724,117980987,96678,"Federated Investors, Inc., Q4 2010 Earnings Call, Jan 28, 2011",2011-01-28,"Earnings Calls","Federated Hermes, Inc.","Executives","Thank you, Chris. As mentioned in the press release, our results this quarter were impacted by a non-cash impairment charge. Operating income was up from Q3 by $4 million, excluding the $3.2 million impairment charge, it would have been up by $7.2 million",501,"Thank you, Chris. As mentioned in the press release, our results this quarter were impacted by a non-cash impairment charge. Operating income was up from Q3 by $4 million, excluding the $3.2 million impairment charge, it would have been up by $7.2 million. EPS of $0.45 would've been $0.47 excluding the impairment charge up from $0.42 for Q3. 
Money fund yield waivers reduced revenues by about $6 million more in Q4 that in Q3, with about $5 million of this offset by lower related distribution expense. These waivers reduced operating income by $12.3 million for the quarter compared to $11.2 million in the prior quarter. Based on current market conditions and asset levels, we expect these waivers to reduce operating income by about the same amount in the first quarter. We do not expect the impact from waivers to change materially from this level until the market begins to factor in the potential for Fed increases and then again, when the Fed actually begins to increase interest rates. As Chris said, Debbie will comment and give our rate outlook in a few minutes. 
Looking forward, we estimate that gaining another 10 basis points in gross yields will likely reduce the impact of these waivers by about 1/3 from the current level, and a 25 basis point increase would reduce the impact by about 2/3.
Turning to expenses, compensation and related expense was down by $5 million from Q3. Late in the fourth quarter the Board of Directors approved a change to the Executive Compensation Program for 2010 that resulted in a greater percentage of incentive compensation to be paid in the form of restricted stock and previously estimated. The computation expense from the restricted stock program will be recorded over the next three years as the stock is met. This change was made only for 2010 and made up the majority of the reduction in comp compared to Q3.
For Q1, we currently expect compensation and related expense will be in a range of $64 million to $66 million. Of course, there are a number of factors that could move Q1 computation outside this estimate.
Distribution expense was flat despite higher money market fund assets due to higher yield waivers. The impairment charge recorded was due to a decrease in the fair value of certain assets from the acquisition on NDP Advisers, our quantitative equity group. We have approximately $3.5 million in remaining book value in the amortizable assets from this acquisition. 
Looking at our balance sheet, cash and marketable securities totaled $334 million at year-end. This combined with the expected additional cash flows from operations and availability under present debt facilities provides us with significant liquidity to be able to take advantage of acquisition opportunities when they arrive, as well as the ability to fund related contingent payments, share repurchases, dividends, new product fees and other investments, capital expenditures and debt repayments.
Before we open up the call for questions, Debbie, could you please comment on Fed interest rate outlook?"
383724,117980987,96678,"Federated Investors, Inc., Q4 2010 Earnings Call, Jan 28, 2011",2011-01-28,"Earnings Calls","Federated Hermes, Inc.","Executives","Sure, Tom. We are still in the range of 0.25 on the target basis in case anybody missed the announcement this week. The yield curve for money market securities has begun to two to three basis points at this time. It ranges from 20 basis points on average",262,"Sure, Tom. We are still in the range of 0.25 on the target basis in case anybody missed the announcement this week. The yield curve for money market securities has begun to two to three basis points at this time. It ranges from 20 basis points on average on an overnight basis. That's about 80 basis points for one year paper. So again, slightly steeper as that curve and in the 75 to  78 basis points area a quarter ago. 
Our outlook is still that we will not see actual Fed increases until later in the second half of 2011. But we do continue to expect some yield improvement beginning probably in the summer of 2011, based on what will be an expectation of increasing rates and a steeper yield curve that infuses that point. We have begun to reduce the average maturity of our money market funds in anticipation of that steeper yield curve which we feel is more imminent today that it might have been at all during the 2010  time period. We think also that the credit situation in the marketplace is improving, and that also should play through to a bit of a steeper and more positively developed yield curve as the year goes on. And from a regulatory perspective, Chris mentioned the PWT but there a whole host of other regulations and implications from the FDIC, Moody's and others that are developing in a pretty positive sense for the industry and for Federated money market funds franchise in particular. We continue to work diligently on these topics."
383724,117980987,96678,"Federated Investors, Inc., Q4 2010 Earnings Call, Jan 28, 2011",2011-01-28,"Earnings Calls","Federated Hermes, Inc.","Executives","Thank you, Debbie. We would like to open the call up for questions now.",14,"Thank you, Debbie. We would like to open the call up for questions now."
383724,117980987,96678,"Federated Investors, Inc., Q4 2010 Earnings Call, Jan 28, 2011",2011-01-28,"Earnings Calls","Federated Hermes, Inc.","Operator","[Operator Instructions] Our first question is from Roger Freeman with Barclays Capital.",12,"[Operator Instructions] Our first question is from Roger Freeman with Barclays Capital."
383724,117980987,96678,"Federated Investors, Inc., Q4 2010 Earnings Call, Jan 28, 2011",2011-01-28,"Earnings Calls","Federated Hermes, Inc.","Analysts","Just to come back, Debbie, to the comments you just made, you really think the Fed you're working assumptions come in the second half of the year. There is a commentary as we said that going cash and up to bring employment down so it seems like they might",54,"Just to come back, Debbie, to the comments you just made, you really think the Fed you're working assumptions come in the second half of the year. There is a commentary as we said that going cash and up to bring employment down so it seems like they might be a little optimistic, no?"
383724,117980987,96678,"Federated Investors, Inc., Q4 2010 Earnings Call, Jan 28, 2011",2011-01-28,"Earnings Calls","Federated Hermes, Inc.","Executives","We're looking to the latter part of the second half. So towards the end of the year, but again in anticipation, we think the yield curve will start to season out before then, and that will quite play through positively to the yields on the funds. We're ba",262,"We're looking to the latter part of the second half. So towards the end of the year, but again in anticipation, we think the yield curve will start to season out before then, and that will quite play through positively to the yields on the funds. We're basing that on some of the strength we are seeing in the economy today. We continue to see it gather a little bit of steam. Importantly, looking at the affluent the comments what is not seen as much strength as the Fed would like to see is the employment situation. That's obviously the one that the big monitoring item at this point. And we continue to see improvements, there but not to the degree that the Fed would like. 3Q seems to be a focus of the Fed, and that is one that I think is probably a look at more positive in the context of when we might see a rate hike begin to develop in that a good portion of the programs behind us at this point. And although the beginning of it with some resistance from the bond fund perspective with increasing longer-term rates initially, that seems to have developed the little bit more positive of a sense that that is probably a little bit more comfortable with that side of the equation. And as such, with the economy continuing to make improvements on most funds, including the employment fund although not as much as one. We're still working towards the end of the second half of 2011 at this point."
383724,117980987,96678,"Federated Investors, Inc., Q4 2010 Earnings Call, Jan 28, 2011",2011-01-28,"Earnings Calls","Federated Hermes, Inc.","Analysts","More broadly, on money market flows, can you just comment on what you think is sort of obviously drove the inflows at the end of the year? I haven't had a chance to go back and look at the pattern historically, although I've seen the results where you hav",100,"More broadly, on money market flows, can you just comment on what you think is sort of obviously drove the inflows at the end of the year? I haven't had a chance to go back and look at the pattern historically, although I've seen the results where you have these inflows at the end of the year it starts to come out again at the beginning of the year to some sort of year-end balance sheet management. It's not that that hasn't really happened it seems to the globe would the more move to riskier assets and better equity close?"
