"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
4593731,127101739,106274,"First Solar, Inc., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","First Solar, Inc.","Operator","Good day, everyone, and welcome to the First Solar Fourth Quarter and Year-End 2010 Earnings Conference Call. [Operator Instructions] I would now like to turn the call over to Mr. Larry Polizzotto, Vice President of Investor Relations for First Solar, Inc",46,"Good day, everyone, and welcome to the First Solar Fourth Quarter and Year-End 2010 Earnings Conference Call. [Operator Instructions] I would now like to turn the call over to Mr. Larry Polizzotto, Vice President of Investor Relations for First Solar, Inc. Mr. Polizzotto, you may begin."
4593731,127101739,106274,"First Solar, Inc., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","First Solar, Inc.","Executives","Good afternoon, everyone, and thank you for joining us for First Solar's Fourth Quarter 2010 Conference Call. Today after the market closed, the company issued a press release announcing our fourth quarter and full year financial results for 2010 and our",594,"Good afternoon, everyone, and thank you for joining us for First Solar's Fourth Quarter 2010 Conference Call. Today after the market closed, the company issued a press release announcing our fourth quarter and full year financial results for 2010 and our guidance update for 2011. If you did not receive a copy of the press release, you can obtain one from the Investors section of First Solar website at www.firstsolar.com. In addition, First Solar has posted the presentation for this call, as well as key quarterly financial metrics and historical data and financial and operating performance on our IR website. We'll be discussing the presentation during this call and webcast. An audio replay of this conference call will also be available approximately two hours after the conclusion of the call. The replay will remain available until Tuesday, March 28, 2011, at 7:30 p.m. Eastern time and can be accessed by dialing (888) 203-1112  if you're calling within the United States, or (719) 457-0820 if you're calling from outside the United States and entering replay pass code. A replay of the webcast will be available on the Investors section on the company's website approximately two hours after the conclusion of this call and remain available for approximately 90 calendar days. Investors may access the webcast on the Investors section of the company's website on www.firstsolar.com. If you are a subscriber of FactSet or Thomson One, you can obtain a written transcript From them.
With me today are Rob Gillette, Chief Executive Officer; Jens Meyerhoff, Chief Financial Officer and President of Utility Systems Business Group; and Bruce Sohn, President of First Solar. Rob will present an overview of the company's fourth quarter and 2010 results and give an update on the market and business. Jens will review the fourth quarter financial results and update guidance for 2011. We will then open up the call for questions. During the Q&A period, as a courtesy to those individuals seeking to ask questions, we ask that participants limit themself to one question. First Solar has allocated approximately one hour for today's call. I want to remind you that all the financial numbers are reported and discussed on today's call are based on U.S. Generally Accepted Accounting Principles, except for free cash flow because it's a non-GAAP measure, which is reconciled in the operating cash flow in the back of our presentation. 
Now I'd like to make a brief statement our regarding forward-looking remarks you may hear on today's call. During the course of this call, the company will make projections and other comments that are forward-looking statements within the meaning of the Federal Securities laws. The forward-looking statements in this call are based on current information and expectations and are subject to uncertainties and changes in circumstances and do not constitute guarantees of future performance. Those statements involve a number of factors that could cause actual results to differ materially from those statements, including the risks as described in the company's most recent annual report on Form 10-K and other filings within the Securities and Exchange Commission. First Solar assumes no obligation to update any forward-looking information contained in this call or with respect to announcements described herein. 
During the first quarter of 2011, First Solar will be attending the following conferences: Morgan Stanley Technology Conference in San Francisco on March 1; Canaccord Genuity Sustainability Forum in Dear Valley, Utah on March 3 and 4; UBS Alternative Energy Conference in the. Citi, March 8. It's now my pleasure to introduce Rob Gillette, Chief Executive Officer of First Solar. Rob?"
4593731,127101739,106274,"First Solar, Inc., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","First Solar, Inc.","Executives","Great. thanks, Larry, and welcome to our Q4 Earnings Call. Thanks for joining us today. Let me start by saying that 2010 was a good year and we exceeded the 2010 EPS guidance we set a year ago despite the many market uncertainties we faced. The strong res",2804,"Great. thanks, Larry, and welcome to our Q4 Earnings Call. Thanks for joining us today. Let me start by saying that 2010 was a good year and we exceeded the 2010 EPS guidance we set a year ago despite the many market uncertainties we faced. The strong results demonstrate the capability of our low-cost technology and PV systems solutions, the diversification of our markets and the strength of our systems pipeline, as well as some really good execution in the operations. For 2010, our net sales of $2.6 billion were up 24% year-over-year. Fourth quarter net sales is $610 million increased 24% over the third quarter of 2010 primarily because the prior quarter included completed contract revenue recognition for the 60-megawatt Sarnia project and Q4 was impacted by our decisions to expedite Module replacement program.
Our fourth quarter net income was $156 million or 25.6% of net sales resulting in diluted EPS of $1.80. Diluted EPS for 2010 was $7.68 which exceeded our guidance. Return on net assets was 19.5% on a four quarter rolling basis, representing an EBA of over 7% or 200 basis points above our target. Our cash and marketable securities balance of $1.1 billion increased $117 million sequentially.
Our Q4 production was 395 megawatts, up 27% versus prior year and 13% quarter-over-quarter. The sequential increase was driven by high line throughput, improved conversion efficiency and six additional days of production due to our adoption of a calendar year for financial reporting. The annual capacity per line increased by 3 megawatts quarter-over-quarter to 62.6-megawatt per line. Across all production lines, this adds 138 megawatts to our current and planned annual capacity.
Our conversion efficiency was 11.6% which is up a half a percentage point year-over-year. Both conversion efficiency and capacity per line benefited as we successfully completed the process changes we began implementing in Q2. Our manufacturing cost per watt was $0.75 which is down $0.09 or 11% year-over-year and down $0.02 compared to the third quarter. We also began construction of our new full line manufacturing plant in Vietnam with expected volume production in the third quarter of 2012.
Moving to Page 7. In terms of market development, we've made progress on several areas. We completed the construction of both the 30-megawatt Cimarron and the 48-megawatt Copper Mountain projects. We sold the 290-megawatt Agua Caliente project to energy energy contingent on receiving federal loan guarantee. Energy subsequently received the conditional commitment for that guarantee from the DOE and the sale was expected to be finalized when the loan closes in the second quarter. We expect to begin recognizing revenue on the first construction milestone in the second quarter. The PNM and Santa Teresa projects began construction in the first quarter.
We also achieved a number of milestones in our project portfolio. The AV solar Ranch 230-megawatt project received its final environmental impact report and conditional use permit from LA County. The Silver State North 50-megawatt project received its right-of-way grant from the Bureau of Land Management to proceed with construction. And we signed a 250-megawatt PPA with Southern California Edison for our Silver State South project.
In Europe, as we previously discussed, in December, we implemented plan price changes for 2011 that reflect market economics give an expected feed-in tariff adjustments. The new pricing is designed to drive South routes by supporting project economics and yield an acceptable returns to project investors and partners. We also made progress in developing the Chinese and Indian markets. First Solar signed a memorandum of understanding with China Guangdong Nuclear to build Phase I of the 30-megawatt Ordos project. Under the MoU, CGN will be the majority owner of the project and performed the EPC. We planned to work together with CGN to establish the project economics with the government in China. In addition, we are discussing other project opportunities with partners across China. We also signed Module agreements in India, including with Acme tele power which contracted for 15-megawatt and Moser Baer Clean Energy which contracted for 25 megawatts. We see continued strong demand for our products in India.
On Page 8, you can see we completed 138 megawatts AC of North American projects in 2010: Sarnia, Copper Mountain and Cimarron. All three were completed early and under budget built out of velocity 2x to 3x faster than their predecessors. Two of those projects are also record breakers with Sarnia now the largest operating TV plant in the world at 80 megawatts and Copper is the largest in the United States at 58 megawatts. Overall, 2010 balance of system of cost improved almost 30% compared to 2008, which is well ahead of our 2014 balance of systems cost reduction roadmap.
The strong performance demonstrates the improvements our EPC team has made in reducing cycle time and cost per watt through engineering design improvements and economies of scale. Since costs make up a force in make a LCOE, these achievements are important as we advanced to our goal of great parity. Slide 9 shows the progress that we have made in adding new customers for utility scale systems and in selling additional projects to existing customers. Since the Q3 Earnings Call, we had sold 400-megawatt of projects and signed 37-megawatt of EPC agreements. Energy Energy is significantly expanded its relationship with us through its purchase of the Avalon Collie project and by hiring us to do the EPC and provide modules for their Santa Teresa project. Blythe also purchased two additional projects in Ontario. Next Sarah GE and platonic have become new buyers that First Solar projects and here in Arizona a new utility customer, EPS, selected First Solar to develop and provide EPC modules for the Paloma project.
On Page 10, you can see how we have grown our systems pipeline overtime, including the increase from 2.2 gigawatts in 2010  to 2.4 gigawatt as of today. The orange line shows our increase in project construction from 12 megawatts in 2008 to the planned 400 megawatts in 2011. This slide also illustrates the expansion and diversification of the utility system customer base including IPPs, utilities and financial investors.
The next slide provides the detailed update of projects we intend to begin constructing in 2011, as well as a list of our contracted projects that are in development. Our current North American pipeline is 2.4 gigawatts of PPA, EPC for Ontario constructed projects. First Solar has the leading position of the 11 gigawatt contracted solar projects in the United States. We expect to execute on 400-megawatt DC from 12 projects in 2011 up from three in 2010, and we have the flexibility to build additional megawatts in 2011. The growth in construction from about 165 megawatt GC in 2010 to 400 megawatt in 2011 also improved the economies of scale for both our development and balance of systems cost and the stable economics of these projects provides the buffer against declining bps in Europe. We've now sold almost all the projects we intend to construct in 2011 and are in discussions to sell the remainder. We also expect to sign new EPC agreements with partners that may contribute to 2011 growth.
Overall, we're experiencing strong buyer demand for our utilities scale systems projects due to our proven systems performance, low LCOE, vastly time to generation and attractive project economics. With the addition of the new Silver State South PPA, we are developing almost 1.7 gigawatt of projects with PPAs, as well as other projects that did not yet have PPAs.
On Page 12, as our latest analyst consensus forecast of the global PV market demand. On average, the 17 analysts included in this survey estimate that the 2010 market grew to 16 gigawatts, up 122% year-over-year primarily driven by Germany, Italy and North America. Analysts have a wide range of market estimates where the consensus to 2011 growth of 10% to 17.6 gigawatt. This is up 2.5 gigawatts from the December consensus due to an increase in expectations for Italy and North America. The market is expected to continue to diversify in 2011 with Germany declining from 7.4 gigawatt in 2010 to 6.2 gigawatt in 2011. Italy at 3 gigawatts, North America at 2.4 gigawatt and Japan, China and the rest of Europe at about 1 gigawatt each.
However, there is market risk due to several governments discussing potential changes in feed-in tariff structures and caps.
Turning to Slide 13. I want to update you on how we see the key markets evolving and how they relate to First Solar's growth strategy and investments. In Europe, as the result of the strong 2010 growth due to the major European governments are seeking to balance subsidy costs for the 2020 commitment to the EU on renewable energy targets. Germany, France and Italy are in the process of discussing additional changes to their feed-in tariff structures and potential market caps. This creates risk going forward and highlights the importance of global market development and project pipelines. In Germany, the government is expected to adopt the partial July and September pull in of the January 2012 FIT aggression. Germany appears to be targeting market size of 3.5 to 4 gigawatt per year. The French FIT program moratorium continues with the government considering a 500 to 800-megawatt cap on the annual market size and a reduction of the FiT, as well as introduction of a tender system for large projects.
Italy is evaluating additional subsidy changes for 2012, the unplanned reductions in 2011. This may include FIT restrictions on some prime agricultural land based on regional decisions. As a result of these anticipated changes, we expect a strong first half in Germany and Italy, with potential for tighter economics in the second half of 2011 as the industry adjusts to lower FiT rates.
We have taken a number of steps to mitigate these risks. First, pricing to our third-party Module business is at levels that we continued to believe are sufficient to drive sell through. Second, as we had in 2010, we plan to use our 2.4 gigawatt North American pipeline as a buffer against demand fluctuations in Europe. Most of our 400-megawatt North American systems builds are planned for the second half and we have the flexibility to build additional megawatts if needed. We expect to continue to add new EPC and PPA agreements in North America to increase our pipeline.
We are increasing our investments in market development to diversify our market exposure in North America, India, Australia and China. We are investing to drive for the lowest LCOE and maximize energy yields. In North America, the market could double to two gigawatts in 2011. The ICT cash grant was extended through 2011 which improves market liquidity. The industry is working to include the DOE loan guarantee extension and government budgetary legislation. The DOE program opens the capital markets and builds an investor base which we hope will support the abilities to place long term unguaranteed project bonds into the U.S. institutional market.
In California, the legislature is currently considering a bill which would increase California's renewables portfolio standard from 20% by 2010 to 33% by 2020. We believe that California IOUs, are well on their way to fulfill their 33% RPS requirements but a meaningful percentage of these contracted agreements may not be realized. So we look at this as an opportunity for First Solar. We are also working to encourage policy in other states like Florida and Texas to support the development of sustainable PV markets.
Meanwhile, new southwestern U.S. PPA prices are already declining from the $0.14 to $0.16 per kilowatt hour in our contracted projects towards grid parity of $0.10 to $0.12 per kilowatt hour by 2014. In China, the government has stated its commitment to developing solar market of at least 20 gigawatt by 2020. Although the market has potential demand, the systems providers need viable public economics to realize projects and current economics enough to support sustainable market development. Currently, concessionary bidding prices serve as price benchmarks and there is the possibility of an additional round of biddings in 2011.
In India, the national solar mission objective is 22 gigawatt by 2022. In addition, several states, including, continued to drive additional meaningful demand through their own programs. We are investing resources to help the Indian market realize its potential and are working with the number of customers to deploy more than 100 megawatts of projects in 2011. The market is expected to grow to about 600 megawatts in 2012, constrained by the high cost of capital which pressures the system prices.
In Australia, the federal government's the solar flagship program and state promoting market growth with first utilities scale production realization expected in the first half of 2011. We are participating in a number of programs with local partners including two of the four shortlisted PV projects that are in the first phase of this solar flagships program. The winner is expected to be announced in Q2 of 2011.
On Slide 14, you can see the progress we're making in diversifying our demand, a joint portion of our megawatt shift declined from approximately 77% in 2008 to 46% in 2010. North America became the second largest portion at about 18%. We estimate France, Italy and Spain are about 17%, 12% and 4%, respectively. We expect the German portion will continue to decline to 30% to 35% in 2011. India is driving our growth in Asia from about 1% in 2010 to 8% in 2011. I want to highlight again that in 2011, we are significantly increasing our investment in market development to sell the unique challenges of new markets and segments. We are increasing spending in places like India, China, Australia, and the Middle East. We are working with existing partners as they expand globally, as well as adding new partners in local markets. First Solar's scale, global reach and systems expertise make us an attractive partner on a global basis which gives us the competitive advantage.
As the result, First Solar expects to have a greater percentage of sales in non-German European, and North American countries that the industry, in 2011, compared to market estimates. Overall, we have good demand visibility in 2011, in line with typical industry seasonal patterns and the growth of our systems business, we have confidence in our ability to sell the two gigawatts that we plan on producing.
We illustrate on Slide 15 our plants capacity expansion is now 2.9 gigawatt by the end of 2012, which is up 138-megawatt quarter-over-quarter based on the Q4 increase in annual lined run rate to 62.6-megawatt per year. Our annual line run rate has improved 17% since Q4 of 2009. And we will continue to execute on our capacity expansion plans. Malaysia plants five began production in late December and will ramp to full production by the end of the first quarter. Malaysia plan six is on schedule to ramp in the second quarter. As announced in the guidance call, the Frankfurt order expansion ramp was moved up one quarter to Q3 of 2011. In Vietnam, we broke ground on our initial full line factory in the doll not industrial park. We expect the initial production in the third quarter of 2012.
At our new Vietnam and new U.S. sites, we are investing in land and infrastructure to provide the options to expand beyond the initial four lines that meet future capacity needs. Our , France plants construction remains on hold pending clarity on for framework which we expect in March. We remain hopeful that the compromise will be reached to support a transparent sustainable market in France.
To summarize, we delivered solid Q4 in 2010 results that position us well for 2011 and 2012 growth. We expect solid growth in European markets in the first half of 2011, with tightening economics in the second half. First Solar will manage in this environment similar as we did in 2010. We're diversifying geographically and by segments. Our pricing is set to drive sell through with expected FiTs and competitive environment. We are continuing to execute on our mission and growth strategy. We are confident in our ability to start what we make with good demand visibility through European and Indian contracts and in North American projects flexibility. We are investing in market development and we're organized to execute. First Solar is on a roadmap to minimize LCOE and maximize energy yield. The North American utility scale pipeline grew to 2.4 gigawatt and we sold 400 megawatts of projects. Our 2012 year end capacity is now 2.9 gigawatt, with expansions on plan in Malaysia, Germany, the United States and Vietnam.
With that, I'd like to turn over the call to James who will discuss our fourth quarter and full year 2010 financial performance and our updated guidance for 2011. James?"
4593731,127101739,106274,"First Solar, Inc., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","First Solar, Inc.","Executives","Thank you, Rob. Good afternoon. Let me start with Page 18. First Solar delivered solid financial results in 2010. Net sales grew 24% year-over-year to approximately $2.6 billion.Property module was 29.2% and fully diluted earnings per share came in at $",1434,"Thank you, Rob. Good afternoon. Let me start with Page 18. First Solar delivered solid financial results in 2010. Net sales grew 24% year-over-year to approximately $2.6 billion.
Property module was 29.2% and fully diluted earnings per share came in at $7.68, above the guidance range we provided in December of 2009 and also above our bigger guidance from our third quarter 2010 earnings call. We achieved what we return on net assets of 19.5%, exceeding our weighted average cost of capital by 7%.
Moving on to net sales. During the fourth quarter, demand met our expectations with continued strength in our Module business. Net sales for the fourth quarter were $609.8 million, down $188.1 million or 24% compared to the third quarter of 2010. The decrease was primarily driven by the lower systems revenue recognition. For example, Sarnia Phase 2 revenue recognition occurred in the third quarter, additionally, ASP declines due to mix and to implementation of 2011 pricing in December. And as Rob mentioned earlier, we delivered the firm volumes to expedite the Module replacement programs. This impact will partially offset by positive effects of increased volume, conversion efficiency improvements, and foreign exchange. Our ETC revenue mix declined from 28% of total net sales in the third quarter to 5% net sales in the fourth quarter.
The blend exchange rate in the fourth quarter increased 1.5% sequentially to $1.33 per euro while increased to 6% to $1.36 per euro. However, the stronger euro added net sales by only about 1% but we were heavily hedged in line with our long-term strategy.
We produced 395 megawatts during the fourth quarter, up 13% compared to the prior quarter. The increase was driven in part by a 5% improvement in the line throughput to 62.6 megawatts per year and by the improvement of our module conversion efficiency to 11.6%. We also had a six additional production days during the fourth quarter after moving to a calendar year.
Our Module cost per watt in the fourth quarter were $0.75, down $0.02 from prior quarters. Our core manufacturing costs per watt also declined by $0.02 to $0.73. This improvement was driven by our conversion efficiency improvements, the increase of line throughput and the material cost savings which was partially offset by equipment maintenance and upgrade, foreign exchange and the rent penalty.
Onto the next slide. Fourth quarter gross margin was 48.7%, up 8.4% from the prior quarter. The increase was the result of the mix shifted more Module sales, as well as lower margin costs per watt, including a conversion efficiency improvement. The increase was partially offset by foreign exchange in the lower Module ASPs also. During the fourth quarter, we reserved an additional $8.5 million for the module replacement program discussed during our second quarter 2010 earnings call. In Q4, we conclude a claims process and based on our field the execution to date. We update our total replacement cost estimate. Our Module gross margin was 49.1% during the fourth quarter, in line with the prior quarter, but the cost per watt improvement and the strong euro offset the decline in average selling prices.
Turning to Slide 22. Operating expenses were up $20.8 million quarter-over-quarter due to an $8.4 million sequential increase in plant start up costs due to our capacity expansion to increasing expense on the reinvestment and the infrastructure investments of ERP implementation costs.
Slide 23 shows operating income trends. Operating income for the fourth quarter was $165.7 million compared to $211.6 million in the third quarter. due to the decrease in total net sales and increased investments. Also in the margins for the quarter were up 27.2% compared to 26.5% in the prior quarter due to the mix shifting into our Module segments that was partially offset by the increase in operating expenses just described.
On the next slide. Net income was $155.9 million or $1.80 per share on a fully diluted basis. And the effective tax rate was 10% for the fourth quarter, for the full year, earnings per fully diluted share were $7.68 and this effective tax rate was 12.8%.
Slide 25 illustrates that in the fourth quarter, we generated $105 million of free cash flow, driven by operating cash flow of $350 million. We spent $212 million for capital expenditure from the depreciation was $41 million. For 2010, we generated $143 million of free cash flow even after investing $589 million in capital to execute on our capacity expansion plans. Operating cash flow was $705 million.
Our balance sheet remained strong, but cash and all other marketable securities increased about $117 million quarter-over-quarter to over $1.1 billion at year-end. Debt decreased by $13 million and our debt to equity ratio continue to remain low at 7%. This leads me to our updated guidance for 2011.
We have made several key assumptions underlining our guidance. We maintain our start exchange rate function of $1.30 per euro. For the first quarter, we are fully hedged at the rate of $1.32 per euro for the full year, $1.58 percent of our net sales and a 72% expected net income were hedged that demonstrate $1.32 per euro as of today. The percent change in the dollar and euro spot rate would impact our revenue guidance for the year by about $6 million and our net income guidance by about $3 million.
We adjust the pricing in December of 2010 to position our channel partners that fell through in 2011 in anticipation of feeding  tariff declines in Germany and other European markets. Our guidance reflects the expected feed-in tariff changes in 2011. We continued to plan to build 400-megawatt DCO of system projects in North America. We retained the flexibility increase that this amount should demand in other markets fell short of current expectations. However, will naturally decline as we progress through the year unless utilized. We began shipping Malaysia Plant 5 in the first quarter and we planned to rest plants six in the second quarter, followed by our second German plant in the third quarter. Our capital spending is primarily driven by the capacity expansion in Malaysia, Germany, Vietnam, the U.S. and France.
Slide 28 shows that based on these assumptions we expect net sales to range from $3.7 billion to $3.8 billion. The new factor penalty in cost of goods sold will range from $15 million to $20 million. And the factories start up expense will range from $60 million to $70 million, slightly below our guidance. Stock-based to compensation is expected to be between $115 million and $125 million, with approximately 20% allocated to cost of goods sold that is in line with our prior guidance. GAAP operating income is expected in the range of $910 million and $980 million, which is up from prior guidance. We expect our 2011 effective tax rate to be between 11% and 13%. We estimate that the year end 2011 fully diluted share count to be in the range of 87 to 88 million shares. Earnings per fully diluted share should range from $9.25 to $9.75, up from prior guidance. Capital expenditure for the year is expected to be between $1 billion to $1.1 billion. Approximately 75% of our capital budget in 2011 is for capacity expansion and another 15% to 20% is for factory maintenance which includes productivity improvements and R&D expenditures. The remainder covers infrastructure spending for IT systems, facilities and others.
Operating cash flow is projected in the range of $1 billion to $1.1 billion. We net assets will range from 17% to 18%, in line with our goal to deliver returns exceeding our weighted average cost of capital by at least 5%.
Finally, Slide 29 gives you an update of the expected quarterly profile of revenue recognition and operating margins through 2011. Please note that if you read across horizontally from Q1 to Q4 of each chart, the sum of all quarters is 100%. Note that for first quarter, we're expecting to recognize less than 15% of our full-year revenue guidance and the less than 12% of our full-year operating income guidance. The profile you'll see here is driven by the following assumptions.
First, factory capacity is renting throughout 2011. Second, Agua Caliente revenue recognition stopped in the second quarter and accelerate into the fourth quarter. Third, Canadian projects under the complete contract accounting showing revenue recognition primarily in the fourth quarter. Finally, we will continue to use our systems pipeline as a buffer against the European demand fluctuations, which could affect our balance of systems revenues. With this, we conclude our prepared remarks and open the call for questions. Operator?"
4593731,127101739,106274,"First Solar, Inc., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","First Solar, Inc.","Operator","[Operator Instructions] And our first question will come from Smitti Srethapramote with Morgan Stanley.",14,"[Operator Instructions] And our first question will come from Smitti Srethapramote with Morgan Stanley."
4593731,127101739,106274,"First Solar, Inc., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","First Solar, Inc.","Analysts","Just a quick question on your lineup rates. Now that you recently converted all your lines to upgrade all your lines to 11.6% conversion efficiencies, I was wondering what you plan to do next move it up to the 12% level?",41,"Just a quick question on your lineup rates. Now that you recently converted all your lines to upgrade all your lines to 11.6% conversion efficiencies, I was wondering what you plan to do next move it up to the 12% level?"
4593731,127101739,106274,"First Solar, Inc., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","First Solar, Inc.","Executives","It's Rob. We're going to continue to execute on the project and plans that we have in place of roughly 0.5 per year. So I think as we discussed, I think Q3 when we've made some modification and changes, but it's something because a number of lines and the",92,"It's Rob. We're going to continue to execute on the project and plans that we have in place of roughly 0.5 per year. So I think as we discussed, I think Q3 when we've made some modification and changes, but it's something because a number of lines and the way we execute it will make progress on and then it may level out in a given quarter and then continue to make progress. So we're continuing to invest in that and it was our plan to drive the 0.5 per year."
4593731,127101739,106274,"First Solar, Inc., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","First Solar, Inc.","Operator","And we'll now go to our next question that will come from Satya Kumar with Credit Suisse.",18,"And we'll now go to our next question that will come from Satya Kumar with Credit Suisse."
4593731,127101739,106274,"First Solar, Inc., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","First Solar, Inc.","Analysts","I was wondering if you could give any additional color on the non-driven European volumes just given the risk in Italy and the potential for a Cap in France, I was wondering if you could give any granularity in the megawatt exposure you might have to thes",59,"I was wondering if you could give any additional color on the non-driven European volumes just given the risk in Italy and the potential for a Cap in France, I was wondering if you could give any granularity in the megawatt exposure you might have to these two other European market but you could have on Slide 14?"
4593731,127101739,106274,"First Solar, Inc., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","First Solar, Inc.","Executives","Yes, for this, Rob again, I would say that obviously there's been considerable amount of change. I'll give you some framework for us. We talked about a gigawatt in each outside of Germany is the estimate and an estimate based on everything we know. We exp",118,"Yes, for this, Rob again, I would say that obviously there's been considerable amount of change. I'll give you some framework for us. We talked about a gigawatt in each outside of Germany is the estimate and an estimate based on everything we know. We expect to ship about 10% to 15% of our Module productions to France in 2011. And as it relates to Italy, I think we are planning to do 15 to 20, develop our megawatt ships to Italy. So we spent a lot of time there and continue to work with and going to the markets and trying to see what we did to make it sustainable and transparent overtime and it's been interesting."
