"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
4180255,118540471,99902,"Lorillard, Inc., Q4 2010 Earnings Call, Feb 07, 2011",2011-02-07,"Earnings Calls","Lorillard, LLC","Operator","Good day, ladies and gentlemen, and welcome to the Lorillard Inc. Fourth Quarter and Full Year 2010 Earnings Conference Call. My name is Celeste and I will be your conference operator today. [Operator Instructions] At this time, I would like to turn the c",58,"Good day, ladies and gentlemen, and welcome to the Lorillard Inc. Fourth Quarter and Full Year 2010 Earnings Conference Call. My name is Celeste and I will be your conference operator today. [Operator Instructions] At this time, I would like to turn the conference over to your host for today's call, Mr. Bob Bannon. You may begin, sir."
4180255,118540471,99902,"Lorillard, Inc., Q4 2010 Earnings Call, Feb 07, 2011",2011-02-07,"Earnings Calls","Lorillard, LLC","Executives","Thank you, Celeste, and good morning, everyone. I'm Bob Bannon, Lorillard's Director of Investor Relations, and joining me on today's call is Murray Kessler, Lorillard's Chairman, President and Chief Executive Officer; and David Taylor, the Chief Financia",130,"Thank you, Celeste, and good morning, everyone. I'm Bob Bannon, Lorillard's Director of Investor Relations, and joining me on today's call is Murray Kessler, Lorillard's Chairman, President and Chief Executive Officer; and David Taylor, the Chief Financial Officer. By now, you should have received the copy of or fourth quarter and full year 2010 earnings release. It can be found on the company's website, www.lorillard.com, under News Releases.
But before we begin, I'd like to remind you that some of the comments on today's call and some of the responses to your questions may contain forward-looking statements. These statements are subject to risks and uncertainties as described in the company's earnings release and in other filings with the SEC. 
I'd now like to turn the call over to Murray Kessler."
4180255,118540471,99902,"Lorillard, Inc., Q4 2010 Earnings Call, Feb 07, 2011",2011-02-07,"Earnings Calls","Lorillard, LLC","Executives","Thank you, Bob, and good morning, everyone. I am pleased to report to you that our fourth quarter finished strong. Based on a consistently strong performance all year long, Lorillard finished the year with record high levels of net sales, operating income",1066,"Thank you, Bob, and good morning, everyone. I am pleased to report to you that our fourth quarter finished strong. Based on a consistently strong performance all year long, Lorillard finished the year with record high levels of net sales, operating income, net income, diluted earnings per share and market share. The company earned over $1 billion in net income for the first time in its 250-year history. Needless to say, my comments regarding the strength of our brands, people and business model during our last conference call remain intact, and provide the basis for the strategic planning process we are engaged in.  I will touch on the status of that process in just a few minutes, but first, let me give you a few highlights from the quarter and the year.
Lorillard continued to bout industry trends growing domestic wholesale shipments plus 4.6% in the fourth quarter in the backdrop of industry domestic wholesale shipments, which declined 4.7%. That's over a nine percentage point out-performance against the industry. Within that plus 4.6% increase, our flagship brand, Newport, grew 2.2%, benefiting from the launch of Newport Non-Menthol, partially offset by a fourth quarter 2010 versus 2009 comparative reduction in inventory position.
Newport Non-Menthol is gaining trial in the marketplace, and volume continues to grow week to week. It's too early to assess this long-term potential, but we are encouraged with what we've seen so far. 
As you would expect, when our volume trend exceeds that of the industry, we gain market share. Total Lorillard market share in the fourth quarter increased 120 basis points to 13.2%. About half of a share point of that was associated with the Newport Non-Menthol launch.
Total volume growth, along with higher prices and lower promotion spending, translated to a 7.8% increase in net sales versus a year ago. Coupled with an increase in gross margin, and the accretive impact of the companies share repurchase program, diluted earnings per share increased 14.5% versus a year ago to $1.74 for the quarter. 
For the year, Lorillard domestic wholesale shipments increased 5.3% versus a year ago, while the industry declined 3.8%. Net sales increased to a record $5.9 billion. Diluted earnings per share increased 17.7% to a record high $6.78 and our market share increased 1.1 share points to a record high 12.9%. 
Our key financial officer, David Keller, will provide more details on these numbers in just a few minutes. But first, I'd like to take a couple of minutes to underscore the strength of these numbers by putting them into the context of our strategic planning process and also make a few comments regarding TPSAC.
In regards to the strategic plans, we are well into the process. It is my goal to complete it shortly, communicated internally and then share it externally, that will take place over the next few months. While we are not ready to share the full plan right now, let me give you a couple of thoughts. 
First, our analysis clearly shows that our core business has running room. The two leading cigarette companies in the U.S. saw declines in sticks sold of approximately $45 billion and $30 billion respectively during the last five years. While our volumes over the same period time increased over $2.6 billion We believe the fundamentals remain in place for our strong brands, led by Newport to continue to out pace the industry. So as I said in our last conference call, Lorillard is not in need of a course correction.
Second, we do see and we announced the support that there is an opportunity for organic portfolio expansion at geographic expansion beyond our core markets for further upside, albeit these must be pursued carefully and with discipline.
Third, there is a need for some capability improvements to navigate through the rapidly changing external environment and to be able to pursue those adjacencies. Examples of this would be strengthening in the areas of regulatory affairs and new product development. 
And finally, fourth, we will continue to be a strong cash flow generator and clearly understand the need for our investors to share in that strong cash flow. In the roughly two and a half years since our staff really returned over $3.5 million to shareholders in the form of share repurchases and dividends.
Turning to the potential for the increased regulation of menthol cigarettes, our position hasn't changed since we spoke last. Congress mandated that the FDA evaluated the impact of menthol in cigarettes on the public health. Lorillard continues to believe that the best available scientific evidence does not support an absorption that menthol and cigarettes negatively or disproportionately impact the public's health.  Second, we acknowledge smoking has serious risks, but menthol does not contribute to those risk.  Third, a move like banning menthol would dramatically expand the cigarette black market, making it easier for underage kids to gain access. Such a black market would likely increase crime, cost jobs and reduce tax and MSA revenue. These counter-veiling effects are also mandated to be take into account by the FDA.  In summary, a menthol cigarette is just another cigarette and should be regulated no differently in totally or for any demographic group.
As it relates to TPSAC, we remain concerned that this committee is being more driven by politics than by science, and therefore don't rule anything out for their March 23 non-binding recommendation. To help understand what Lorillard believes are the realities versus some of the miss surrounding the menthol debate, a new presentation has been added this morning to the ""Understanding Menthol"" website. This website, sponsored by Lorillard, is designed to educate interested parties on the impact of the use of menthol in cigarettes.
We do believe that when the issue is evaluated by the FDA itself, hard science will prevail and as a result, menthol will not ultimately be banned. It's just difficult to assess the duration of the evaluation, but it's likely to take years. So while we continue to be actively involved in the menthol review process, rest assured, we will not take our eye off of responsibly building our business for both today and the future.  We remain committed to consistently delivering a double-digit total shareholder return as measured by EPS growth and the dividend yield over the long-term. 
And with that, I'll turn the call over to David Taylor, our Chief Financial Officer. David?"
4180255,118540471,99902,"Lorillard, Inc., Q4 2010 Earnings Call, Feb 07, 2011",2011-02-07,"Earnings Calls","Lorillard, LLC","Executives","Thank you, Murray. And good morning, everyone. After I briefly go to the financial results, we'll open the line for questions. Lorillard's 2010 fourth quarter results were very strong, capping an outstanding 2010. Net sales for the fourth quarter of 201",861,"Thank you, Murray. And good morning, everyone. After I briefly go to the financial results, we'll open the line for questions. Lorillard's 2010 fourth quarter results were very strong, capping an outstanding 2010. 
Net sales for the fourth quarter of 2010 increased 7.8% to $1.486 billion compared to the fourth quarter of 2009. It was driven by a 4.5% increase in total shipment volume, higher net average selling prices and lower sales promotion costs which are accounted for as a reduction in sales. 
The increase in unit shipped when compared to last year's fourth quarter in light of the industry's decline reflects the underlying strength of our brands, which continued to gain share. Unit volumes for Newport were up 2.2%, and Maverick were up 25.2%. The stability of Newport Menthol and the growth of Maverick have been common themes, and you've heard them before, and this year's fourth quarter also reflect the introduction of Newport Non-Menthol on November 1.
While the quarter shipments included the introduction of Newport Non-Menthol, Newport Menthol continued its very strong trend. In fact, as we look at the shipments from wholesale to retail in or database, which is a better indicator of consumer take away, Newport Menthol's volume was flat to slightly up for the quarter. 
We have the increase in wholesale prices uncertain of or cigarette  brands, including Newport on November 30, which amounted to approximately 1.5% on our brand portfolio. As a typical for quarters where it anticipates price increase, such as the fourth quarters of both this year and last year, changes in wholesale inventory patterns skewed the volume comparisons a bit for the quarter. 
Wholesale inventories increased modestly during the fourth quarter of last year, making the year-over-year comparison a little tougher. We estimate that in inventory dynamic dragged the unit volume comparison by about 1.5 percentage points. So adjusted for wholesale inventory changes, we estimate total Lorillard volume to be up about 6%. Needless to say, this makes the quarter's performance much more fresh.
This outstanding volume performance for the quarter brings the annual numbers for 2010 for record levels. Total domestic unit volume for the year grew by 5.3% from 2009, in the face of an industry decline of about 3.8%. The increase in volume in the fourth quarter combined with the higher average net selling prices drives the increase in net sales before excise taxes of 9% for the fourth quarter and 10% for the year.
Gross profit in the fourth quarter of 2010 increased by $57 million to $538 million when compared to the fourth quarter of 2009. Cost of goods sold in the fourth quarter reflects increases over last year in certain costs, including increased FDA fees. Amounts due under the State Settlement Agreements and the Tobacco Growers Assessment increased to $24 million compared to last year quarter. 
Selling, general administered of costs increased $22 million from last year's fourth quarter, mainly from legal fees and expenses associated with increased litigation activity during the quarter. But also some higher compensation expenses this year due to the CEO transition and incentive compensation accrual.
Fourth quarter operating income increased 8.8% to $433 million or 29.1% of sales from $398 million or 28.9% of sales in last year's fourth quarter. Operating income per unit shipped for the year increased about 6.6% compared with 2009.
Fully diluted earnings per share for the fourth quarter increased 14.5% from last year's fourth quarter to $1.74 per share. It increased 17.7% for the year to $6.78. Those results reflect the strong performance we've already discussed, but also the effect of a lower average share count this year. The lower share count increased reported EPS for the fourth quarter about $0.11 a share.
So 2010 was an outstanding year for Lorillard, and it's finished on a strong note: Outperforming the rest of the industry, and frankly most reasonable expectations on almost every measure. We saw unit volume increase in the face of industry-wide increase market share increases to record levels and net sales increased to record levels. We saw gross margins increase, operating margin increase and operating income per unit increase. We saw net income exceed $1 billion for the first time, and we saw a double-digit increase in EPS.  Obviously, a great way to end 2010. 
Also, during 2010, we substantially increased our dividend and continued to repurchase shares in the market. Through December 31, we had repurchased approximately 4.5 million shares at a cost of $376 million under our $1 billion share repurchase authorization as we announced last fall. I won't comment on the future pace of share repurchases during this call, and I will not be able to comment about the level or our timing of future dividend declarations by the board or capital structure activity such as further debt issuances and the like. I will tell you that we have not changed our longer-term leverage target of approximately 1.5x EBITDA, nor have we change our long-term target of paying dividend approximating 70% to 75%. 
Once again, we are very pleased with the company's performance this quarter and for the year.  And with that, we'd like to open the line for questions."
4180255,118540471,99902,"Lorillard, Inc., Q4 2010 Earnings Call, Feb 07, 2011",2011-02-07,"Earnings Calls","Lorillard, LLC","Operator","[Operator Instructions] Your first question comes from the line of Judy Hong with Goldman Sachs.",15,"[Operator Instructions] Your first question comes from the line of Judy Hong with Goldman Sachs."
4180255,118540471,99902,"Lorillard, Inc., Q4 2010 Earnings Call, Feb 07, 2011",2011-02-07,"Earnings Calls","Lorillard, LLC","Analysts","Murray, as you go through your strategic plan and you get more clarity on what tip side is potentially thinking, are you making any contingency plans or tweaking your strategic plans to potentially account for some of the regulatory changes that we can ex",44,"Murray, as you go through your strategic plan and you get more clarity on what tip side is potentially thinking, are you making any contingency plans or tweaking your strategic plans to potentially account for some of the regulatory changes that we can expect?"
4180255,118540471,99902,"Lorillard, Inc., Q4 2010 Earnings Call, Feb 07, 2011",2011-02-07,"Earnings Calls","Lorillard, LLC","Executives","As the appropriate time, I guess would be the answer. From my perspective, Judy, there is an awful lot of weight at the very least of this perception in March. And in March, is a nonbinding recommendation from the TPSAC group. Concurrently, there is indus",136,"As the appropriate time, I guess would be the answer. From my perspective, Judy, there is an awful lot of weight at the very least of this perception in March. And in March, is a nonbinding recommendation from the TPSAC group. Concurrently, there is industry recommendation that has been recommended from the FDA, and that's the prologue or chapter one in a very long book. And from there, it will be years. So as it's appropriate and as it progresses, if this becomes a real and meaningful issue that could affect our business would be on contingency plans and when we discuss that, sure, of course but I just want to caution everybody that there are some focus in March and we see that is a very long process and March is the beginning of that."
4180255,118540471,99902,"Lorillard, Inc., Q4 2010 Earnings Call, Feb 07, 2011",2011-02-07,"Earnings Calls","Lorillard, LLC","Analysts","To the extent that after margin and at some point FDA comes back with their final proposal on what happens with the menthol, can you just maybe help us understand what your realistic assumptions might be in terms of Newport's ability to retain its current",55,"To the extent that after margin and at some point FDA comes back with their final proposal on what happens with the menthol, can you just maybe help us understand what your realistic assumptions might be in terms of Newport's ability to retain its current volume in the event of Draconian regulatory change in menthol?"
4180255,118540471,99902,"Lorillard, Inc., Q4 2010 Earnings Call, Feb 07, 2011",2011-02-07,"Earnings Calls","Lorillard, LLC","Executives","Let me talk process first, and then I'll give you the very highest level because it's premature to say the answer. But process wide again, be clear the FDA never has to come back if they don't want to. The FDA, the only requirement I progress was that wit",320,"Let me talk process first, and then I'll give you the very highest level because it's premature to say the answer. But process wide again, be clear the FDA never has to come back if they don't want to. The FDA, the only requirement I progress was that within the year or by March 23, that a non-binding advisory committee have to submit a recommendation. We will see down the line where FDA prioritizes, and when they get to it and if they get to it. Having said that, there is a lot more to the Newport brand, a lot more to the Newport brand than menthol. Our product are preferred in taste testing and as I dig into it and dug on to the strategic plan as the core of that everything from tobacco plants to the designing of the cigarettes to huge brand equity. And in that respect to the extent that cigarette smokers or menthol cigarette smokers choose to continue smoking, Newport smokers most likely, are going to want to stay with that brand and will be able to formulate a new product, better in my opinion than anybody else might be able to do so to retain those. So if someone's going to continue smoking, that is a Newport smoker, I believe we will obtain the bulk of those. The second part of it is will a percentage quit and people, their behavior versus what they say today they're going to do tends to differ and history says that very few quit in this type of situation. So that's probably less of a factor. And then the final issue, which is concerning is that whenever we get to a draconian move would be the a black market and all the debit taking about affect that would come out of because remember Congress passes bill in order to create regulation and ordering control not to create chaos."
4180255,118540471,99902,"Lorillard, Inc., Q4 2010 Earnings Call, Feb 07, 2011",2011-02-07,"Earnings Calls","Lorillard, LLC","Analysts","On the Newport Reds launch, it seems like you talked about the brand already gaining about half a share point, but it seems like volume is actually growing on a week by week basis. So at this point, can you talk about what the run rate for this market sha",83,"On the Newport Reds launch, it seems like you talked about the brand already gaining about half a share point, but it seems like volume is actually growing on a week by week basis. So at this point, can you talk about what the run rate for this market share looks like and where is the volume coming from in terms of is it menthol or is it premium not menthol is a discount maybe help us understand where the trial's coming from?"
