"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
362220,118548721,100774,"Polo Ralph Lauren Corp., Q3 2011 Earnings Call, Feb 09, 2011",2011-02-09,"Earnings Calls","Ralph Lauren Corporation","Operator","Good morning, everyone, and thank you for calling the Polo Ralph Lauren's Third Quarter Fiscal 2011 Earnings Conference Call. [Operator Instructions] Now for opening remarks and introductions, it is my pleasure to turn the call over to Mr. James Hurley. P",44,"Good morning, everyone, and thank you for calling the Polo Ralph Lauren's Third Quarter Fiscal 2011 Earnings Conference Call. [Operator Instructions] Now for opening remarks and introductions, it is my pleasure to turn the call over to Mr. James Hurley. Please go ahead, sir."
362220,118548721,100774,"Polo Ralph Lauren Corp., Q3 2011 Earnings Call, Feb 09, 2011",2011-02-09,"Earnings Calls","Ralph Lauren Corporation","Executives","Good morning, and thank you for joining us on Polo Ralph Lauren's Third Quarter Fiscal 2011 Conference Call. The agenda for the call includes Roger Farah, our President and Chief Operating Officer, who will give you an overview of the quarter and comment",176,"Good morning, and thank you for joining us on Polo Ralph Lauren's Third Quarter Fiscal 2011 Conference Call. The agenda for the call includes Roger Farah, our President and Chief Operating Officer, who will give you an overview of the quarter and comment on our broader strategic initiative; Tracey Travis, our Chief Financial Officer, will provide operational and financial highlights from the third quarter in addition to reviewing our expectations for fiscal 2011. After that, we will open the call up for your questions, which we ask that you limit to one per caller.
During today's call, we will be making some forward-looking statements within the meaning of the federal securities laws, including our financial outlook. Forward-looking statements are not guarantees, and our actual results may differ materially from those expressed or implied in the forward-looking statement. 
Our expectations contain many risks and uncertainties. The principal risks and uncertainties that could cause our results to differ materially from our current expectations are detailed in our SEC filings. And now, I'll turn the call over to Roger."
362220,118548721,100774,"Polo Ralph Lauren Corp., Q3 2011 Earnings Call, Feb 09, 2011",2011-02-09,"Earnings Calls","Ralph Lauren Corporation","Executives","Thank you, Jim, and good morning, everyone. We're pleased to be reporting excellent third quarter results today. Consolidated sales rose 24%, including 15% comp store growth at our directly operated retail stores and concession shops, and a 21% increase",1539,"Thank you, Jim, and good morning, everyone. We're pleased to be reporting excellent third quarter results today. 
Consolidated sales rose 24%, including 15% comp store growth at our directly operated retail stores and concession shops, and a 21% increase in our wholesale shipments. All regions of the world contributed to the strong performance. Most of the growth was fueled by the incredible appeal of the Ralph Lauren brand in our core Men's, Women's and children's apparel products.
Our merging products and regions also continue to contribute, but the real momentum in the quarter came from the strength of our core. The customers are responding to the high-quality and compelling value of our merchandise across channels. We are clearly picking up substantial market share, particularly in the United States and in Europe.
Simply put, we have a superb holiday season. we offered exceptional merchandise across all lifestyle sensibilities, the more luxurious products at our Ralph Lauren stores to our aspirational assortments in our department stores worldwide. 
The strength of our merchandise was supported by world-class advertising and marketing efforts. Our innovative 4D light show alone has delivered more than $600 million media impressions worldwide since the event took place. And at point of sale, our product was showcased with spectacular in-store presentations. 
The holiday windows in our stores around the world are a destination. And we have strong placement in leading department stores as well, including our exclusive holiday program at Macy's. We invest considerable resources at our creative presentations and field teams to ensure we are delivering the most compelling customer experience we can. These teams are tireless and a competitive advantage for us. 
We are effectively monetizing our top line momentum as you can see in our profit matrix. Operating profits increased 43%, and diluted EPS rose 56% for the quarter. The clarity of our brand message drove highly profitable sell through, and we'd love it's just even as we incurred incremental investments in our growth initiatives. The disciplined execution of our global teams delivered results that were better than we planned for but entirely consistent with our strategies. So on behalf of Ralph and myself, I want to congratulate and thank our employees for a job well done.
we made important progress in each of our strategic growth initiatives during the quarter. On January 1, we successfully transitioned our former licensing South Korea operations go directly controlled operation. As a result, we welcomed 200 new associates the Polo Ralph Lauren family, add more stores at 179 concession shops for global distribution network. 
As you know, we progressively assumed direct control of our distribution through Asia. Beginning with Japan in fiscal 2008, most of the rest of Asia and fiscal '10 in South Korea in January. Collectively, this region of the world is currently comprised of 44 directly operated stores and 503 concession shops. This primarily represents the former licensees distribution strategy.
With the transition of South Korea, we have now completed an important first phase of our broader Asia strategy that is expected to transform our company over the long term. We have a once-in-a-lifetime opportunity to custom build this region in a manner that is allied would've a global luxury images strategies. So we intend to be deliberate with the sequencing of our efforts. We have new leadership in place and a team that is incredibly energized and focused on driving the next phase of our Asia strategy, which will be more focused on refining and expanding that the distribution in building customer awareness.
For more than 30 years, the entire region has been built primarily around Men's sportswear. Most of you are well aware that the breadth of our product assortments and more developed markets such as the United States and Europe is far more expensive. 
So far, we have found that the more we elevate our stores in the merchandise mix, the stronger the customer response. So over the next several years, we intend to intensify the exposure of our premium brands and showcase the breadth of our lifestyle offerings. 
We see a particularly compelling opportunity with our accessory products, handbags, small leather goods, watches and jewelry, included. Customer receptivity to these product categories will be very important for our success is in the region.
As you can imagine, takes a fair amount of time for us to execute our plans, Japan and South Korea and what I'll call China territories, are each a different stages of development for us. And it takes time to understand the varying tastes and preferences of our customers throughout this region. We are simultaneously looking for ways to maximize operational efficiencies throughout the region. This is easiest to do with our corporate shared services and creative teams, but we are also exploring synergies with inventory management and merchandising initiatives, again, recognizing there are often substantial differences between countries.
We've made good progress in Japan in a relatively short period of time and despite extremely unfavorable market conditions. But we're still far away from where we want to be. And in the China territories, we're beginning to see improvement in our sales philosophy as we become more stood with our planning and tiering of our merchandise, especially as customers are exposed to our more premium labels and products.
In South Korea, much of our first year will be spent on gradually normalizing inventory levels, which are exceptionally lean today. Renovating shops are important as well as implementing a target-door strategy to test of our more elevated merchandising strategies.
The Asian customer is driving a large part of the growth in the luxury market, both at home and abroad. They have a sophisticated appreciation for quality, craftsmanship and the integrity of design. These qualities lie at of the core of our company, and it's all that we do and think about. When we are dealing with this level of customer, our products really shine. 
Given the relatively modest scope of our existing Asia business, we are confident there's a considerable opportunity for us there. With $1.3 billion in cash and investments in our balance sheet, we are obviously not constrained by capital to pursue our goals. And we will commit more of our resources throughout the region and realize the returns we believe are achievable.
But with a deliberate pace of growth, which needs to be measured to ensure we are executing with the highest standards we acquire and what we've achieved in the rest of the world. This long tail to our growth aspirations is the right thing to do.
We successfully executed a similar strategy in Europe, the region that is an important contributed to our strong financial results and continues to offer considerable growth for us. Year-to-date, European sales and profits have grown at a double-digit pace reflecting excellent productivity gains in our core apparel categories. We have a lot more terrain to explore in Europe both in terms of incremental distribution and leveraging our full range of lifestyle sensibilities and product categories.
Our focus on expanding our direct-to-customer reach is also contributing to sales and profit growth. Our spectacular new Madison Avenue flagship stores are performing well ahead of plan as our most of the flagships worldwide. We're also driving better productivity in our existing stores. 
Over the last several years, we've expanded our Retail segment operating profit margin significantly. I believe that is a consistent investment we've made to create the world's most fantastic shopping environment enhance customer service experiences has supported this profit expansion. It enables us to capture our customer in a more meaningful way as we showcase the world of Ralph Lauren and immerse them in all that we have to offer.
The growing acceptance of our accessory products in our retail stores is very encouraging. As these products grow, the percent of our overall sales mix, they should enhance our retail productivity metrics further. More targeted in sophisticated marketing strategies are also to our retail results. 
At our brick-and-mortar store, we've increased our focus on our most loyal and highest-spending customer on in-store events. Online, we've developed more efficient search-optimization techniques and customer-engagement strategies and innovative events such as virtual fashion shows and other interactive merchant payment, which has proven to be very successful for us, both in terms of new customer acquisition and inspiring deeper loyalty from our existing customers. You can certainly see the impact on RalphLauren.com as we continue to go from strength to strength, registering a 33% increase in sales during the prior quarter. 
And consistent with our strategies to distort resource the high-growth high-margin opportunities, last week we launched the first phase of the next generation of RalphLauren.com in the United States. The site features a new look with enhanced product presentation and an improved customer experience. I encourage you all to check it out along with our new spring collections. 
And momentum is building at our new U.K. e-commerce site, where traffic is improving weekly, and we're experiencing stronger conversion rates. We're on track to launch e-commerce in France and Germany next summer, and we continue to explore Asian e-commerce opportunities.
At this point, I'd like to have Jackie Nemerov expand a bit more our product development strategies that she has day-to-day oversight of them."
362220,118548721,100774,"Polo Ralph Lauren Corp., Q3 2011 Earnings Call, Feb 09, 2011",2011-02-09,"Earnings Calls","Ralph Lauren Corporation","Executives","Thank you, Roger. Good morning, everyone. There was no question that the momentum in our business around the world was fueled by the strength of our products. We are fortunate to be working with one of the world's most desirable brands and we support this",822,"Thank you, Roger. Good morning, everyone. There was no question that the momentum in our business around the world was fueled by the strength of our products. We are fortunate to be working with one of the world's most desirable brands and we support this with an extraordinary investment in new merchandise development and product innovation. I believe it is at the core competitive advantage for us.
With 43 years of experience as a company, we know our customers really well. And in that time, we appropriately evolved to address their dynamic lifestyle needs. In this last year alone, we have introduced exciting new handbag collections, a broad and compelling active wear assortment with RLX, our first fine jewelry collection. And just this week we introduced a new luxury denim offering. 
Ralph Lauren denim is an entirely new lifestyle expression for us and new terrain to the Women's designer-level merchandise. As Ralph's incredible vision is translated into new product ideas and lifestyle sensibilities, we were able to find incremental distribution opportunities to showcase the product. It not only makes us even more relative to our existing customers but also allows us to appeal to new customers. This is especially important as we grow our international presence since many of the regions of the world don't yet appreciate all we have to offer.
Given the diversity of our lifestyle labels and the complexity of our distribution around the world, we are careful to develop discrete products for discrete channels. As the businesses grown over the years and as we've come to more directly controlled various labels and product categories, the complexity of what we are executing has also increased. But with this rate of control, we were able to more effectively leverage our in-house expertise in design, manufacturing and merchandising across the portfolio of lifestyle sensibilities and develop more impactful, strategic merchandising initiatives on an increasingly global scale.
This benefit of greater cohesion begins with concept-design process, and Rawls all the rate through to spectacular, customized in-store presentation that deliver clear brand message to the customer. As a global luxury brand, the quality of our product and the consistency of our presentation is critical. And we invest considerable resources to ensure that Ralph's vision is properly executed. We do this for each and every one of our brands across the channel.
A recent and good example of this is our successful holiday tar program which Roger reference, wormer offer apparel, accessories and home products in a crisp, unified way that exacted the customer over the holidays and ultimately drove strong sell-throughs. 
We've executed similar strategies with our various lifestyle sensibilities. In just a few short years, Men's Black Label has evolved from tailor clothing and furnishings to now include a strong sportswear element and associated accessories. The launch of Ralph Lauren denim will be yet another extension of the Black Label sensibility for men. There was a similar story for the evolution of Purple Label, which now has an extremely compelling and fast-growing sportswear element to complement its core tailored clothing assortment.
In the department store arena, our Lauren brand has also evolved considerably. While Lauren has always been a fully realized lifestyle brand in its own right, with product offering across the rear, casual and weekend sportswear, it also has its own successful sub-brand, with Lauren Jeans Company, Lauren Active and Lauren Home. 
Of course, we've recently introduced exciting new Lauren product categories with footwear, handbag and dresses. Each of which has its own range of lifestyle sensibilities and use of location for the brands to address. These products quickly benefit from a high-brand awareness and considerable distribution platform of core existing Lauren business. 
Today, Lauren has primarily distributed in the United States but we believe there was considerable global growth for it. We intend to expand European distribution, including layering in Ralph Lauren various lifestyle elements over the next few seasons. We managed all of these tremendous content with extraordinary discipline, how we force the product, plan the assortment, allocate the inventory and delivered a merchandise equally important. 
This blend of art and science is absolutely critical to our success. Our precise execution and the consistent quality of the merchandise in terms of design and make are what enable us to elevate our brands and ultimately drive strong sell-through rates and profitability. The benefits still only a group our company, but also to our retail partners, which is why we continue to gain share. It is also why they're eager for us to continue to innovate.
When you consider the categories we have just that our toes in like accessories and denim, there are a number of global opportunities across us sensibilities in the world of Ralph Lauren. So as far as we've come we've always done, we still have a long way to go, which is really exciting for us. And with that, I'll turn the call over to Tracey."
362220,118548721,100774,"Polo Ralph Lauren Corp., Q3 2011 Earnings Call, Feb 09, 2011",2011-02-09,"Earnings Calls","Ralph Lauren Corporation","Executives","Thank you, Jackie, and good morning, everyone. As you've seen on this morning's press release, our third quarter and year-to-date performance reflects exceptionally strong top line momentum and even more robust flow through to profit growth. Consolidate",1958,"Thank you, Jackie, and good morning, everyone. As you've seen on this morning's press release, our third quarter and year-to-date performance reflects exceptionally strong top line momentum and even more robust flow through to profit growth. 
Consolidated net revenues in the third quarter were $1.5 billion, a 24% increase from the prior year period with growth in both our wholesale and retail segments exceeding 20%. Solid performance of our core Men's, Women's and children's apparel was enhanced by incremental sales from our newly transitioned Asian operations and some favorable calendar shifts, which accounted for approximately 400 basis points of the consolidated sales increase.
Revenue growth exceeded our expectations, primarily due to the strength of our Retail segment, including considerable same-store sales growth and our directly operated stores and RalphLauren.com. Shipments to our global department store customers also exceeded our expectations in the quarter. The net impact of foreign currency translation on our total reported revenue growth was negligible for the third quarter. 
The gross profit rate of 58.6% in the third quarter was 40 basis points above the prior year period, reflecting stronger full priced sales up more than offset the initial impact of increasing cost of goods. Our comprehensive merchandising initiatives across all product categories and focus on our wholesale customers, retail stores and e-commerce sites, supported the excellence full price sell-throughs we experience. The strengthening of the Japanese yen more than offset the magnitude of the unfavorable currency impact we experienced form the euro translation and that we anticipated when we spoke with you in November.
Expenses in the quarter included incremental costs associated with our Hong Kong operation as well as the South Korean pre-acquisition costs, our European e-commerce launch expenses, higher incentive compensation costs and global infrastructure support costs. Despite these investment expenditures, we achieved 160 basis points of operating expense leverage, which was better than a modest levers we had expected. The magnitude of the operating expense leverage in the quarter was another important contributor to our outperformance relative to our expectations.
Operating income of $246 million was 43% above the prior year period. Our operating margin also showed considerable improvement, expanding 200 basis points to 15.9% and reflecting improved profitability across all of our reporting segments. 
Net income for the third quarter of fiscal 2011 increased 52% to $168 million, and net income per diluted share rose 56% or $1.72. The lower effective tax rate of 29% compared to 33% in the third quarter of fiscal 2010 reflects the favorable resolution of discrete tax items that was partially offset by a greater proportion of earnings generated in higher tax jurisdictions this fiscal year.
Moving on to segment highlights for the quarter. Our Wholesale segment sales rose 21% to $676 million, a result of double-digit shipment growth in both the United States and European market. Third quarter wholesale operating income of $130 million was 21% greater than last year, and the wholesale operating margin expanded 10 basis points to 19.3%. Higher profits flow-through on the growth and shipment volumes and disciplined operation management of expenses were the primary drivers of improved wholesale operating income and margin rate, although they were somewhat offset by the first signs of cost of good inflation.
For our retail group. Our marketing and merchandising efforts substantially benefited our direct-to-consumer channel during the quarter. From the opening of our 888 Madison Avenue flagship stores here in New York in October and the considerable response to it to the strength of our global merchandising product lines for fall and holiday to our visual presentation, both in-store and online of the brand, we seem to resonate with consumers globally. 
Our customer traffic at retail continue to build throughout the quarter. As a result, strong comparable store sales grow, the contribution from newly opened stores and incremental sales from our newly assumed stores and concession shops in Asia drove third quarter revenue up 29% to $822 million.
Our overall comp store sales increased 15% during the quarter, reflecting 7% growth at Ralph Lauren stores and concession shops, a 15% increase at global factory stores and 12% growth at Club Monaco stores. Improved traffic and improved conversion trends, in addition to increased full price selling, were all key drivers of comp growth. It is encouraging for all of us to see a broad range of key performance indicators delivering in a retail environment that were still fairly unpredictable and promotional in the quarter.
In the U.S., stores in key tourist destinations, like New York, California, Dallas and Florida, have rebounded and are outperforming the average comp trend. Club Monaco continues to benefit from compelling Women's fashion assortments and the Men's business also gained some momentum during the quarter. 
RalphLauren.com's spectacular 33% sales growth was also supported by higher traffic to the site and improved conversion, with accessories and children's were registering the rate of sales gains on the site. Even as consumers are shopping more online, the momentum at RalphLauren.com combined with the solid comp growth at our brick-and-mortar stores and our strength and wholesale suggest we are providing a compelling customer experience and desirable product assortments, and therefore, capturing a higher share of wallet across all channels and formats.
We opened 14 directly operated freestanding stores and closed five directly operated freestanding stores during the quarter, ending the period with 376 company-operated stores. We also operated 520 concession shop locations worldwide at the end of the third quarter. 
Included in these store counts are four directly operated stores and 179 concession shop locations assumed in the transition of the formerly licensed South Korea operations, which occurred on January 1, 2011, the last day of our fiscal quarter, although we did not record any sales associated with the network during that period.
Retail segment operating income grew 52% to $153 million in the third quarter, and the retail operating margin increased 280 basis points to 18.6%. This is a new peak level of Retail segment profitability for the third quarter period. The considerable improvement in retail operating income and the expansion in margin rate were a result of strong comparable store sales growth, higher full-priced sell-through rates across most retail concepts and disciplined operating management. 
Partially offsetting these gains were incremental expenses related to our newly assumed Asian operations and start-up costs for our international e-commerce efforts. Investments we've made in product develop and presentation, product flow, sales training for our associates in marketing and advertising are also clearly supporting our improvement in sales productivity.
Licensing royalties grew 4% to $50 million in the third quarter, as higher domestic product licensing revenues more than offset lower international royalties due to the transition of formerly licensed Asian operations. Operating income for our Licensing segment increased 23% to $30 million, primarily as a result of lower net costs associated with the Asian transition. 
Our strong operating results are reflected in our solid financial condition. We ended the quarter with approximately $1.3 billion in cash and investments and $1 billion in net cash. Consolidated inventories were up 28% from the prior year period on a reported basis, which includes the incremental inventory to support over 300 Asian concession shops and stores in the Hong Kong region and the newly transitioned South Korea network.
Excluding the incremental Asian inventory, consolidated comp inventory was up 19% from the comparable period last year. The remaining growth in inventory primarily reflects the investment to support our new and enhanced merchandising programs, such as handbags, basic stock replenishment and our new European e-commerce site. 
In addition, we've taken proactive measures to avoid potential supply chain disruptions in light of the timing of the lunar new year in Asia, which is February 3 through February 14, by receiving goods earlier. In fact, hiring transit inventory accounted for about half of the total increase on the like-for-like basis. The inflationary impact of cost of goods also affected our ending inventory balance approximately 400 basis points.
Based on our third quarter sales results and our current perspective on our aggregate strength summer shipment schedule, we are comfortable with the currency of our inventory. We spent approximately $78 million on CapEx during the third quarter to support new retail stores, shop installations and infrastructure investments. 
For the last 12 months, our return on equity was 20%, and our return on investment was 40% due to the continued strength of our free cash flow generation and with confidence in our strategic agenda. As we announced in our press release this morning, our Board of Directors has authorized a new $250 million share repurchase program bringing our aggregate current authorization to approximately $719 million. 
In addition, the board has doubled the company's quarterly cash dividend payment to $0.20 per share from the current level of $0.10 per share. The board's actions enable us to enhance shareholder return even as we continue to invest in high-growth, high-margin opportunities. Our strong financial metrics were also recognize by Moody’s recently, who raised our corporate debt rating to A3 from Baa in January.
Our results for the first nine months of fiscal 2011 clearly showcased the considerable performance of our entire organization. That momentum has been enhanced by the growing contribution from emerging category categories and channels and our disciplined operational management. Collectively, these dynamics have helped to fund the investments we are making and will continue to make in Asia and offset the additional signs of based on our strong year-to-date performance, we are obviously raising our profit outlook for the full year.
In this morning's press release, we outlined our revised expectations for fiscal 2011 and I'd like to briefly review those with you now. For the full year period, we continue to expect revenues to increase at a low double-digit rate. Implicit in this outlook is an expectation for high single-digit growth in wholesale shipments and mid-teen growth for our Retail segment revenue. Based on our year-to-date performance, we now expect our full year operating margin rate to be approximately equal to fiscal 2010's level, which compares to our prior expectations of a 50 basis point decline.
Our outlook continues to imply both increased pressure from cost of goods inflation and exchange rate pressure in the fourth quarter as well as dilution related to the initial transition of the South Korea operations. In addition, we have encountered ships that impact the fourth quarter most notably, the fiscal 2011 as a 52-week year versus fiscal 2010's 53 weeks. And at the week between Christmas and new year, within our fiscal third quarter this year versus the fiscal fourth quarter last year. Collectively, we estimate these shifts to account for approximately 10 full basis points in sales growth and about 200 basis points in operating profit margin. 
We currently expect the fiscal 2011 tax rate of approximately 32%. Our year-to-date results confirmed a successful execution of our business strategies. We've demonstrated our ability to drive substantial profit flow-through on strong top line momentum, which speaks to the operational discipline of our team. We are proactive about pursuing market share opportunities and operational efficiencies as we consistently reinvest in the business to support our long-term strategic goal.
Second half calendar shifts aside, we continue to seek encouraging underlying demand trends for our products. This includes early reads on fall, holiday 2011 orders, which suggest we are strengthening our leadership position in a more developed merchandise categories and gaining traction with our newer product categories. Around the world, customers are voting for the Ralph Lauren brand and the compelling value proposition of our high-quality luxury products. This gives us further confidence to continue to reinvesting for future growth. 
And with that, I'll conclude the company's remarks and open the call up for your questions. Operator, would you assist us with that please?"
362220,118548721,100774,"Polo Ralph Lauren Corp., Q3 2011 Earnings Call, Feb 09, 2011",2011-02-09,"Earnings Calls","Ralph Lauren Corporation","Operator","[Operator Instructions] We'll take our first question from Omar Saad with Credit Suisse.",13,"[Operator Instructions] We'll take our first question from Omar Saad with Credit Suisse."
362220,118548721,100774,"Polo Ralph Lauren Corp., Q3 2011 Earnings Call, Feb 09, 2011",2011-02-09,"Earnings Calls","Ralph Lauren Corporation","Analysts","You've mentioned a little bit, Tracey, from your comments come I was wondering how you guys are thinking about continent inflation? it's obviously a big concern for a lot of investors in the sector right now. I think guidance for next year yet have you th",89,"You've mentioned a little bit, Tracey, from your comments come I was wondering how you guys are thinking about continent inflation? it's obviously a big concern for a lot of investors in the sector right now. I think guidance for next year yet have you thought about strategy for pricing and if you are going to use price as a tool, kind of know how you think demand elasticity across the sector, we did a vary by region? Just like to get an update on are thoughts there."
362220,118548721,100774,"Polo Ralph Lauren Corp., Q3 2011 Earnings Call, Feb 09, 2011",2011-02-09,"Earnings Calls","Ralph Lauren Corporation","Executives","So Omar, this is a big question, and I'll try to answer completely. So it gets as much information out there that we're able to provide. Clearly, you've all heard, read and know the extraordinary inflationary raw materials issue. cotton for sure, but all",475,"So Omar, this is a big question, and I'll try to answer completely. So it gets as much information out there that we're able to provide. Clearly, you've all heard, read and know the extraordinary inflationary raw materials issue. cotton for sure, but all other fiber, Cashmere, will on and on and on are experiencing enormous increases. Some of that I think you have to recognize is coming off the low base post-recession, so the comparison is distorted. But even with that said, it's extraordinary by any measure. So with raw materials being the most important part of garment's costs, it's having a meaningful impact on how we think and plan and organize ourselves with that beginning to come into play in the back half of this year as we've talked about before, moving gradually through spring and then really coming on in more of a spike for fall and beyond. So I think we're all trying to monitor and watch that regularly. The other piece of that is the manufacturing cost are rising as well. And so, it sort of a double whammy of that, that is impacting everybody. We have taken a very clear position that we will not alter the quality of our materials, our manufacturing, our finding, our trims, or really where we are making product at this point. The backbone we think of our brand equity is the extraordinary products we make, and we think they've always been fairly priced for what they are. So that won't change. Our ability, we believe, to responsibly increase our prices later in the year, are based on that brand equity. And our customers believe that the products we provide, represent not only extraordinary design but extraordinary value. So for us, our thoughts, as we head into fall and beyond, is to look at products, look at pricing by category, by region, and again, make a responsible adjustment that reflects the reality of cost of goods increases. And beyond the short-term impact of this, the question is, where is it going to go over the next two or three years? And quite frankly, at this point nobody knows. So we have to be thoughtful about our expectation of our consumers that are going to react. And I don't think we'll really see a fair read on that until the fall. I think there would be selected price increases during the spring in the marketplace. We may get some modest read off of that. But I think, really, until we all get the fall of next year, we won't no whether the end consumer understands and accepts what will be an overall increase for most product categories. We just think with our brand, and our quality and the momentum we have, we've got to make responsible decisions about how we adjust our thinking on this."
362220,118548721,100774,"Polo Ralph Lauren Corp., Q3 2011 Earnings Call, Feb 09, 2011",2011-02-09,"Earnings Calls","Ralph Lauren Corporation","Operator","Moving on, we'll now hear from Adrianne Shapira with Goldman Sachs.",11,"Moving on, we'll now hear from Adrianne Shapira with Goldman Sachs."
362220,118548721,100774,"Polo Ralph Lauren Corp., Q3 2011 Earnings Call, Feb 09, 2011",2011-02-09,"Earnings Calls","Ralph Lauren Corporation","Analysts","Roger, I was just wondering, in light in the change in your guidance, EBIT margins now flat versus a down 50 basis points, help us think about what has changed in your thinking that gives you a bit more confidence there and how we should be thinking about",76,"Roger, I was just wondering, in light in the change in your guidance, EBIT margins now flat versus a down 50 basis points, help us think about what has changed in your thinking that gives you a bit more confidence there and how we should be thinking about going forward in line of your comments of inflationary pressures? How should we be thinking about sources of opportunity as it relates to gross margin and expense control?"
