"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
25915843,143527419,218905,"Expedia Inc., Q4 2011 Earnings Call, Feb 09, 2012",2012-02-09,"Earnings Calls","Expedia Group, Inc.","Operator","Gentlemen, thank you for standing by. Welcome to the Expedia, Inc. Fourth Quarter Earnings Conference Call. [Operator Instructions] This conference is being recorded today, Thursday, February 9, 2012. I would now like to turn the conference over to Alan P",44,"Gentlemen, thank you for standing by. Welcome to the Expedia, Inc. Fourth Quarter Earnings Conference Call. [Operator Instructions] This conference is being recorded today, Thursday, February 9, 2012. I would now like to turn the conference over to Alan Pickerill. Please go ahead, sir."
25915843,143527419,218905,"Expedia Inc., Q4 2011 Earnings Call, Feb 09, 2012",2012-02-09,"Earnings Calls","Expedia Group, Inc.","Executives","Thank you, Joe. Good afternoon, and welcome to Expedia, Inc.'s financial results conference call for the fourth quarter and year ended December 31, 2011. I'm pleased to be joined on the call today by Dara Khosrowshahi, Expedia's CEO and President; and Mik",235,"Thank you, Joe. Good afternoon, and welcome to Expedia, Inc.'s financial results conference call for the fourth quarter and year ended December 31, 2011. I'm pleased to be joined on the call today by Dara Khosrowshahi, Expedia's CEO and President; and Mike Okerstrom, our CFO. The following discussion, including responses to your questions, reflects management's views as of today, February 9, 2012, only. We do not undertake any obligation to update or revise this information.
As always, some of the statements made on today's call are forward-looking, typically preceded by words such as we expect, we believe, we anticipate or similar statements. Please refer to today's press release and the company's filings with the SEC for information about factors which could cause our actual results to differ materially from these forward-looking statements.
You'll find reconciliations of non-GAAP measures to the most comparable GAAP measures discussed today on our earnings release which is posted on the company's IR website at expediainc.com/ir. I encourage you to periodically visit our Investor Relations site for important content, including today's earnings release and our updated investor presentation.
Finally, unless otherwise stated, all references to cost of revenue, selling and marketing expense, general and administrative expense, and technology and content expense, excludes stock-based compensation. And all comparisons in this call will be against our results for the comparable period of 2010.
With that, let me turn the call over to Dara."
25915843,143527419,218905,"Expedia Inc., Q4 2011 Earnings Call, Feb 09, 2012",2012-02-09,"Earnings Calls","Expedia Group, Inc.","Executives","Thanks, Alan. The fourth quarter wrapped up a solid year for Expedia. As promised, we completed the spin-off for TripAdvisor in the fourth quarter, unlocking significant value for our shareholders. It was a significant effort from a lot of folks in our or",917,"Thanks, Alan. The fourth quarter wrapped up a solid year for Expedia. As promised, we completed the spin-off for TripAdvisor in the fourth quarter, unlocking significant value for our shareholders. It was a significant effort from a lot of folks in our organization and we're happy to have successfully completed the transaction. We're now completely focused on our stand-alone travel transactions business and eager to prove that we can achieve healthy and meaningful top line profit growth in the years to come. We're investing in key technology projects on modern platforms that will allow us to innovate much more quickly.
Additionally, we're investing in international expansion in order to position the business well for long-term growth. As such, although we saw transaction growth of 11%, gross bookings growth of 12% and revenue growth of 14% for the full year, these investments led to cost deleverage with adjusted EBITDA growing just 1%.
For the fourth quarter, gross bookings grew 10%, revenue grew 7% while adjusted EBITDA was down 4% year-on-year. Mark will have more to say about this after my remarks.
Our key technology projects are on track and proceeding as expected. As we mentioned last quarter, the Expedia brand hotel product is on the new platform and the team is testing and rolling out new innovation that are showing early signs of success. While the overall Expedia brand performance for the quarter was unsatisfactory, its stand-alone result on that growth as measured on a book basis improved for the quarter compared to what we saw in Q3 and a conversion is headed on the right direction. Air and packages continue to perform poorly however, and are weighing on that business.
We believe that air and packages are key to Expedia percent of proposition and we'll continue to invest appropriately. We successfully tested the new air product for Expedia brand site and we'll roll it out through Q1 with the majority of traffic expected to be on the new platform end-to-end aircraft within the quarter. We also portions of the package product on to the new platform, but we still don't still don't expect to have end-to-end packages product finished into the back half of 2012. To be clear, we don't expect improvements from this platform work to have a meaningful impact on Expedia brand's financial return until the back half of 2012, but it is one of the top priorities and we're optimistic we will see things begin to turn.
We continue to progress on our international expansion with Hotels.com in particular seeing healthy room growth across all regions. Our Expedia brand is 6 months into its current contribute your Asia and we see excellent growth rate of progress in that new business. Although we don't consolidate the results for the JV, including it would've contributed roughly 200 basis points of total room night and revenue growth for the quarter.
Importantly, the Expedia brand launched 11 new points of sale in 2011, representing a new record for that brand. And this week marks the full consumer launch of Expedia Mexico which now features our full air product.
Mark will spend more time on the quarterly results but I did want to highlight our robust 19% room night growth, 21% include the AirAsia joint venture this quarter. With the exception of Expedia brand, all of our major brands delivered year-on-year room night growth this quarter as good or better than what we saw in Q3. Overall room night growth in APAC accelerated nicely, when room night growth for the EMEA and Americas region was largely similar to what we saw last quarter. Importantly, we continue to grow room night on a healthy puppies on the U.S. despite its relative maturity so showing that there's still plenty of growth to be had here in what is our most mature market.
We spent a total of $134 million on increased investments in eLong during 2011. We believe that China represents a unique and extremely sizable opportunity and we're happy to be able to continue investing in that market. For Egencia, we're also pleased to completed the acquisition of Traveldoo in the fourth quarter, a leading European provider of corporate online booking tools to enterprises and TMCs. The acquisition addresses a new segment of the managed travel market that we don't have after been Egencia's integrated solution. And although the business operates under Egencia, we'll run Traveldoo on a completely stand-alone basis. In many cases, Traveldoo will compete with Egencia in the same way that our Leisure brands compete with one another today. We're excited by the corporate travel space in the second acquisition portfolio leading companies as we continue to position the business for long-term growth.
In closing, with 2011 behind us, we're squarely focused on executing our 2012 plan. All of our brands are doing quite well with the exception of Expedia brand. We know we have to turn the business around, and we have a good playbook in the teams are executing. As we move into 2012, we'll face some really tough expense comps early in the year but those will abate as the year progresses. By the end of the year, we'll have completed our key technology project, setting us up for faster profit growth in what we think will be an excellent 2013. The business continues to generate significant annual free cash flow and will be disciplined in our capital allocation and our stewardship of that cash.
With that, let me turn it over to Mark."
25915843,143527419,218905,"Expedia Inc., Q4 2011 Earnings Call, Feb 09, 2012",2012-02-09,"Earnings Calls","Expedia Group, Inc.","Executives","Thank you, Dara. From a financial perspective, Q4 came in largely as we expected. Strong room night growth was the gross bookings and revenue driver for the quarter. Room night growth was broadly strong across all regions with mid-teens growth in the Amer",1201,"Thank you, Dara. From a financial perspective, Q4 came in largely as we expected. Strong room night growth was the gross bookings and revenue driver for the quarter. Room night growth was broadly strong across all regions with mid-teens growth in the Americas and EMEA region and much faster and accelerating growth in APAC. Revenue per room night, however, was down 5%. The gap between 2% growth in AVRs and the decrease in revenue per room night was driven primarily by 4 key factors, each of which I would roughly .
We had a year-on-year headwind from the foreign exchange book-to-stay impact. Note that although this depresses revenue per room night, it is largely offset from an economic perspective through our hedging program and has relatively little impact on adjusted EBITDA. Mix also pushed down the revenue per room night, as we saw last quarter, we saw faster growth in our chain hotels versus independents. The cost of our loyalty programs also had an impact. For the Expedia brand, this is a relatively new program which we did not have in place this time last year. And for Hotels.com, this is a program that we recently rolled out to all of our international markets. Note that we managed this item more like selling and marketing expense, but we do report it as cost of revenue. And as we mentioned last quarter, we continued with certain competitive pricing actions designed to ensure that we are putting the best possible deals in front of our customers.
As expected, our air business was down sharply in the quarter due to an 8% decline in ticket volume combined with an 11% decrease in revenue per ticket. The revenue per ticket pressure came from a combination of lacking the change to our merchant air accounting which we described last year and lower overall unit economics from recently negotiated contracts. These were partially offset by higher interline fees and consumer fees on certain international point-of-sale. Generally, we are expecting continued pressure on the air business in 2012.
From a brand perspective, we once again saw strong revenue performance pretty much across the board, with exception of our Expedia brand, which was down 9% year-on-year. Revenue growth for the total business, excluding the Expedia brand, was 21% for the quarter.
Running through key expense categories, we saw nice leverage in cost of revenue this quarter which was aided by an easier comp for Q4 due to an acceleration of some nonrefundable merchant fees and some one-time adjustments in Q4 2010. As expected, selling and marketing faster than revenue, driven largely by mix shift into our Expedia Affiliate network and Hotels.com businesses. This impact was partially offset by a reduction in selling and marketing for Expedia. In addition, selling and marketing headcount grew across most of our brand as well as within our supply organization.
Technology and content grew 29% for the quarter as we continued to see year-on-year impact of the buildup of headcount needed to complete the key technology projects which we have discussed previously. Growth in G&A expense was much higher than we are striving for on an ongoing basis to a number of the factors that are individually insignificant, but when combined with growth in people cost, growth deleverage-ed. These included a tougher year-on-year bonus comp, consulting costs for the reorganization our supply group and its increased expenses related to our efforts to turn the Expedia business around. Also, as we mentioned last quarter, we did have a one-time expense of roughly $7 million in Q4 related to our London office move. This item is spread across multiple expense categories.
Moving on to taxes, our GAAP effective fax rate was lower than expectations for the fourth quarter and certainly lower than we can expect going forward. This was primarily due to a higher proportion of international earnings and favorable adjustments to our valuation allowances. Please note that our go-forward blended tax rate will be lower than it was when we owned TripAdvisor since the travel transaction business had a higher relative proportion earnings in international regions with lower tax rates. Though precision can be difficult on this one, we would expect our effective rate to be in the range of 25% to 28% in 2012. We've had some favorable adjustments in the last couple of quarters and the obvious caveat here is that these can sometimes go the other way.
Free cash flow totaled $618 million for the full year and grow a robust 32%. We used a portion of that free cash flow to make acquisitions and investments totaling just under $200 million, including the Traveldoo acquisition and the eLong transactions mentioned earlier. During the year, we also repurchased 10.6 million shares on a presplit adjusted basis of Expedia for just over $280 million and we paid out a total of just over $75 million in dividends. As we've said consistently over the years, we generate robust cash flow and such invested appropriately on in the business while making opportunistic acquisitions and returning cash to shareholders. As you may have seen on our earnings release, our quarterly dividend is now $0.09 per share effective for the March payout.
In terms of our financial expectations for full-year 2012, we are expecting adjusted EBITDA growth in the mid-single-digit range. As a reminder, our revenue is significantly more seasonal without TripAdvisor and our expense comps are quite tough in the first and second quarters, with easing expected as we move throughout the year. As such, we expect most of our adjusted EBITDA growth to build in the back half of 2012. Note that we are basing our guidance on the foreign currency rates that we can see now and we don't try to forecast any future FX fluctuations.
Before I wrap up, a few quick housekeeping items. As we mentioned last quarter, you'll see from our recent disclosure that we've switched to adjusted EBITDA as our primary operating metric. It's effectively OIBA plus depreciation with one other primary difference, being additional exclusion or reserves for occupancy tax litigation settlements. Occupancy tax settlement reserve items are now outside of our core non-GAAP operating measure and outside of G&A. Going forward, they reside in the legal reserves occupancy tax and other line item of our GAAP financials, and I would encourage investors interested in these matters to read the related disclosures in our SEC filings.
You can see the complete definition of adjusted EBITDA in our earnings release along with the reconciliation of net to GAAP measures. Further, for Q3, we had anticipated that our international gross bookings grew 6% on a currency-neutral basis. Since then however, we have taken another look at this and now estimate that international gross bookings actually grew 14% in Q3 on a currency-neutral basis.
Lastly, as part of the TripAdvisor spin-off, we retired our 8.5% notes. The expense associated with this is just under $40 million and will be reported in the first quarter of 2012. The expense will recorded in discontinued operations, and as such, will be excluded from adjusted EBITDA and adjusted net income. With that, let's turn to questions. Operator, would you please remind listeners how to ask a question."
25915843,143527419,218905,"Expedia Inc., Q4 2011 Earnings Call, Feb 09, 2012",2012-02-09,"Earnings Calls","Expedia Group, Inc.","Operator","[Operator Instructions] Our first question comes from the line of Tom White from Macquarie.",14,"[Operator Instructions] Our first question comes from the line of Tom White from Macquarie."
25915843,143527419,218905,"Expedia Inc., Q4 2011 Earnings Call, Feb 09, 2012",2012-02-09,"Earnings Calls","Expedia Group, Inc.","Analysts","I've got a quick follow up on the ADR growth versus revenue per night. On the couponing and loyalty piece, in particular, how should be sort of think about that over the course of 2012? Any change the way you guys are going to be doing that, I guess, mayb",55,"I've got a quick follow up on the ADR growth versus revenue per night. On the couponing and loyalty piece, in particular, how should be sort of think about that over the course of 2012? Any change the way you guys are going to be doing that, I guess, maybe based on macro factors?"
25915843,143527419,218905,"Expedia Inc., Q4 2011 Earnings Call, Feb 09, 2012",2012-02-09,"Earnings Calls","Expedia Group, Inc.","Executives","Sure. So I think there's 2 pieces of that question. One on couponing, the other on loyalty. If it's couponing, if you're talking about competitive pricing actions, I think, going forward, when we see ADRs and ATPs such as they have been, you can expect to",225,"Sure. So I think there's 2 pieces of that question. One on couponing, the other on loyalty. If it's couponing, if you're talking about competitive pricing actions, I think, going forward, when we see ADRs and ATPs such as they have been, you can expect to see that happening. Now ADR growth has slowed down a little bit, but potentially in 2012, you can see that item easing. But it's tough to say. You'll have to see how things unfold. On loyalty, the thing that's really impacting that item in this quarter last quarter is the fact that we didn't have the Expedia program last, last year at this time. So you've got to -- you basically got a very difficult comp. Now that program was rolled out in probably Q1, really part of Q2. And so as we roll through 2012, the comps on that front will get easier. We also saw an expanded rollout of the Hotels.com program, which again, is to some extent, a one-time item. That happened basically in Q4. So again, you'll see that with a little bit tougher comp throughout 2012. I will say with loyalty as one of those items but as these programs mature, they start to harden up and until that happens, can sometimes see fluctuations in the loyalty accruals, certainly we can see last quarter."
25915843,143527419,218905,"Expedia Inc., Q4 2011 Earnings Call, Feb 09, 2012",2012-02-09,"Earnings Calls","Expedia Group, Inc.","Operator","Our next question is from the line of Naved Khan with Jefferies.",12,"Our next question is from the line of Naved Khan with Jefferies."
25915843,143527419,218905,"Expedia Inc., Q4 2011 Earnings Call, Feb 09, 2012",2012-02-09,"Earnings Calls","Expedia Group, Inc.","Analysts","It's Naved Khan from Jefferies. If you sort of look at Europe and would you comment about the environment you saw in the Q4 and you're seeing today in terms of new bookings? Can you sort of give us more color as to what's going on in the different markets",60,"It's Naved Khan from Jefferies. If you sort of look at Europe and would you comment about the environment you saw in the Q4 and you're seeing today in terms of new bookings? Can you sort of give us more color as to what's going on in the different markets there especially between the Northern Europe and Southern Europe?"
25915843,143527419,218905,"Expedia Inc., Q4 2011 Earnings Call, Feb 09, 2012",2012-02-09,"Earnings Calls","Expedia Group, Inc.","Executives","Naved, we haven't seen too much change. Last time we talked to you, we said we saw some spotted weakness in southern Europe as far as economies and the effect on travel spend and we haven't seen much change there. I think the significant change in Europe",119,"Naved, we haven't seen too much change. Last time we talked to you, we said we saw some spotted weakness in southern Europe as far as economies and the effect on travel spend and we haven't seen much change there. I think the significant change in Europe between Q3 and Q4 are foreign exchange rates that we started going against us very significantly in Q4 with all the news coming out of Europe. But operationally, European room nights have been generally we're stable. I think Expedia, in Q4, had a bit of the weaker quarter in Europe than I think what you saw in Q3, but I think that was more of an Expedia issue versus a macro issue."
