"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
3738520,145552006,213208,"Seagate Technology PLC, Q2 2012 Earnings Call, Jan 31, 2012",2012-01-31,"Earnings Calls","Seagate Technology Holdings plc","Operator","Good afternoon, ladies and gentlemen, and welcome to Seagate Technology's Fiscal Second Quarter 2012 Financial Results Conference Call. My name is Melanie, and I'll be your coordinator for today. [Operator Instructions] As a reminder, this conference is b",275,"Good afternoon, ladies and gentlemen, and welcome to Seagate Technology's Fiscal Second Quarter 2012 Financial Results Conference Call. My name is Melanie, and I'll be your coordinator for today. [Operator Instructions] As a reminder, this conference is being recorded for replay purposes. 
This conference call contains forward-looking statements, including but not limited to statements related to the company's future operating and financial performance in the December 2011 quarter and thereafter, and include statements regarding customer demand for disk drives and general market conditions. These forward-looking statements are based on information available to Seagate as of the date of this conference call, but are subject to a number of risks, uncertainties and other factors that could cause actual results to differ materially from those anticipated by these forward-looking statements. 
Such risks, uncertainties and other factors may be beyond the company's control. In particular, global economic conditions and significant disruption to the industry supply chain from the severe flooding throughout parts of Thailand may pose a risk to the company's operating and financial performance. 
Information concerning additional factors that could cause results to differ materially from those projected in the forward-looking statements is contained in the company's annual report on Form 10-K and Form 10-KA, as filed with the U.S. Securities and Exchange Commission [indiscernible] filed August 24, 2011, respectively. These forward-looking statements should not be relied upon as representing the company's views as of any subsequent date, and Seagate undertakes no obligation to update forward-looking statements to reflect events or circumstances after the date they were made. 
I would now like to turn the conference over to our host, Mr. Steve Luczo, CEO. Please go ahead."
3738520,145552006,213208,"Seagate Technology PLC, Q2 2012 Earnings Call, Jan 31, 2012",2012-01-31,"Earnings Calls","Seagate Technology Holdings plc","Executives","Thank you, Melanie. Good afternoon, everyone, and thank you for joining us today. On the call with me from Seagate our Pat O'Malley, our Chief Financial Officer; Dave Mosley, Executive Vice President of Operations; and Rocky Pimentel, Chief Sales and Mark",377,"Thank you, Melanie. Good afternoon, everyone, and thank you for joining us today. On the call with me from Seagate our Pat O'Malley, our Chief Financial Officer; Dave Mosley, Executive Vice President of Operations; and Rocky Pimentel, Chief Sales and Marketing Officer; and Ken Massaroni, Executive Vice President and General Counsel. 
We have posted detailed supplemental information about our fiscal second quarter on our Investor Relations site at www.seagate.com. In today's call, I will review the results for the December 2011 quarter, provide an update on our Thailand operations on our view of the impact of the flooding, share our progress on the Samsung hard drive business integration and provide our outlook for our fiscal third and fourth quarters, as well as calendar year 2012. After that, we'll open up the call to questions and answers. 
For the December quarter, the industry shipped approximately 119 million units which was within our expected range. Seagate reported revenue of $3.28 billion and non-GAAP diluted earnings per share of $1.32. We shipped 47 million units during the quarter, and our non-GAAP gross margin was 31.7%. We ended the quarter with $2.3 billion in cash. 
The disaster in Thailand affected a vast number of individuals and thousands of businesses. Although the industry is continuing to increase output, it's important to note that where many observers tend to believe that mid to late October was the low point of industry production, we believe the low point was closer to mid-December. 
Seagate's geographically diversified factory footprint and broad supply chain provided inherent advantages that mitigated the impact of the floods to Seagate's operations, although many of our external component suppliers are still working to recover their businesses and return to full capacity. We have been very impressed with the response and efforts of our suppliers who have worked tirelessly to rebound from the effects of the flooding. There are still clear challenges that lie ahead in our component supply chain, and to help address the gaps in various product lines, Seagate has worked with its customers and suppliers on aggressive qualifications of new parts and factories, allowing us to match pressure supply to end demand. 
I'll now turn the call over to Dave Mosley who'll provide more detail on the situation in Thailand."
3738520,145552006,213208,"Seagate Technology PLC, Q2 2012 Earnings Call, Jan 31, 2012",2012-01-31,"Earnings Calls","Seagate Technology Holdings plc","Executives","Thanks, Steve. The human tragedy that surrounds the flooding in Thailand is deeply troubling, and our thoughts go out all of those affected, especially our employees and their families. To put the disaster in an economic perspective, it is by some measure",424,"Thanks, Steve. The human tragedy that surrounds the flooding in Thailand is deeply troubling, and our thoughts go out all of those affected, especially our employees and their families. To put the disaster in an economic perspective, it is by some measures the fourth largest natural disaster in history. So far, estimates are at $45 billion of damage and 13 million lives were disrupted. 
The damages done by the flooding created by far the most stressful quarter in the history of the disk drive supply chain. The flood was most impactful in the industrial parts approximately 30 miles north of downtown Bangkok, where 7 of our top 10 suppliers suffered direct factory damage. As a result, all of our 20-plus product platforms experienced some form of supply interruption, and for a few products, the damage brought down the supply lines completely. 
Components have had varying degrees of challenges in the recovery. Specifically, a large portion of the precision machining capability that supports the hard drive industry, the motors and base decks to actuators and specialty mechanical parts were catastrophically lost. In some cases, various fixtures were salvaged while in other cases, our suppliers have had to rush to secure new tooling. To date, over 200 requalifications have occurred for motor-based assembly alone. 
Also, many clean room facilities that support the industry where contamination control is critical were destroyed. Even certain electrical component manufacturing was damaged, impacting parts from IC packaging to individual discretes like capacitors. 
In addition, we're seeing much longer than usual lead times for certain pieces of capital equipment. Some sub-suppliers have limited access to capital to rebuild their systems and get back online, and Seagate is working with many of its suppliers to provide assistance where it can to accelerate the return of those businesses. Examples include temporary changes in payment terms, adaptation of our product portfolio to match their capabilities and assistance and funding for capital equipment. We believe these structural changes occurring in the supply chain today will have a lasting impact on the long-term structure of the industry. We're also working to ensure these relationships will lessen future risks and supply chain disruptions. 
With packs and the temporary underutilization of our in-house capacity, our average unit costs went up approximately $2.50 in the December quarter. I would like to thank our suppliers for their efforts in these trying times. In particular, vendors have shown their dedication to our industry and our mutual end customers to prioritize urgent product gaps and restore high-quality production as soon as possible. Steve?"
3738520,145552006,213208,"Seagate Technology PLC, Q2 2012 Earnings Call, Jan 31, 2012",2012-01-31,"Earnings Calls","Seagate Technology Holdings plc","Executives","Thanks, Dave. In response to the supply chain disruptions in the December quarter, Seagate dramatically reduced product configuration complexity and moved the vast majority of our fulfillment process to direct factory shipments. These efforts have fundame",1184,"Thanks, Dave. In response to the supply chain disruptions in the December quarter, Seagate dramatically reduced product configuration complexity and moved the vast majority of our fulfillment process to direct factory shipments. These efforts have fundamentally altered demand planning dynamics with our customers and have resulted in a much better alignment of supply and demand. We expect that these improvements to supply chain management will become standard practice as our industry fully recovers over the course of calendar 2012, benefiting our industry, suppliers and customers. 
Our average selling price per unit for the quarter was approximately $13 higher than they were in the September quarter. While market conditions would've clearly supported the higher price for our products across our portfolio, we balance this condition with the needs of our customers and suppliers, as well as our objective for more stability in our margins. We made the business decision to trade a short-term profit-maximizing opportunity for long-term commitments from customers, stronger relationships and more stable margins. 
As a result of improvements in supply-demand alignment and our approach to cut pricing, nearly all of our largest customers have entered into binding long-term agreements or LTAs, to ensure continuity of their hard disk drive supply. Some of these LTAs extend for multiple years. LTAs of this nature are new to the disk drive industry and represent a structural change in the way we do business. 
These agreements are mutually beneficial and improve the strategic alignment between Seagate and its customers by improving forecast accuracy, unit volume and pricing visibility, product build planning and logistics. The executed LTAs are expected to account for an excess of 60% of our total production capacity during the calendar year. These volume commitments were made while considering our broader business, which includes the global distribution channel, our own branded Retail business and other OEMs who have not executed LTAs. We are receiving additional request for LTAs from our customers, and we will evaluate our ability to meet those requests while ensuring that our customers have adequate supply to achieve their business objectives. 
The current industry environment has also created changes within our distribution channel, including the elimination of programs that historically complicated pricing and reduced transparency. We believe these changes will improve the profitability of our distribution partners and also result in better alignment of supply and demand, reducing the potential for excess inventory. 
Finally, in order to provide our customers another channel to access Seagate products, we are planning to auction approximately 200,000 drives later this week. In addition to making drives available for those qualified customers not covered by an LTA or where LTA volumes are not sufficient to cover their needs, this will allow us to fully understand and gauge marginal pricing. We have over 50 customers already committed to participate in the first auction. Our current expectation is that we will be conducting auctions periodically during this and future quarters. 
As previously mentioned, product configurations were dramatically reduced in the December quarter. As a result, we have accelerated most of the critical product transitions we discussed in last quarter's call. We prioritized transitions in desktop, nearline and mission-critical with speed volume recovery, and we have made substantial progress in manufacturing yields across all these programs. Our 500-gigabyte per disk notebook products are still on the plan and will be substantially completed with this transition in the next 6 months. 
As previously reported, we closed the acquisition of Samsung's hard drive business on December 19, and our integration of the Samsung business is largely complete and the transition has progressed as expected. The logistics to complete the shift of Samsung's disk drive operations to Seagate's system are closely coordinated, and the completion of this move is a testament to the solid work of our integration and operations team.  In the final weeks of 2011, Seagate shipped approximately 700,000 Samsung drives using Seagate's global systems. 
The acquisition includes the addition of Samsung's Spinpoint M8 Series to Seagate's 2.5-inch product portfolio. This product delivers industry-leading capacity and is a volume leader that will significantly improve Seagate's position as a supplier of 2.5-inch products. 
As with many other product lines, external component shortages resulting from the Thailand floods have constrained the production of this product. We are now seeing incremental improvements in the ramp of this product and expect ongoing improvements throughout the calendar year. We are excited about the broader ongoing relationships with Samsung and are pleased to welcome the Samsung employees that have joined Seagate at our new Korean design center and in the sales organization. 
With respect to our forecast for the remainder of the fiscal and calendar year, it is our belief that as a result of the structural damage to the supply chain, there's substantial and growing shortfall in unmet exabyte demand. We believe that the exabyte demand is growing at 40% per year, while areal density growth is increasing at less than 25% per year. We continue to expect that calendar 2012 unit demand will exceed supply, that the exabyte shortage will be more pronounced than the unit shortage and that price declines on a like-for-like basis will be relatively benign throughout the year. We believe the industry will likely exit the calendar year with approximately 100 exabytes of unmet demand. 
Based on Seagate's average capacity per drive shipped last quarter, which was the highest in the industry, this exabyte shortfall equates to approximately 115 million units. For the March quarter, we are expecting drive shipments of at least 60 million units, revenues to be at least $4.3 billion, gross margins to exceed 33% and operating expenses of approximately $405 million. Based on share repurchases completed during the month of January, fully diluted share count used in the EPS calculation is expected to be 465 million shares. 
For the June quarter, we expect that our supply chain capabilities will continue to improve, which will result in revenues of at least $5 billion and gross margins comparable to those expected for the March quarter. In light of the persistent supply-demand imbalances that we believe will exist throughout the calendar year, combined with greater visibility due to our LTAs, we currently expect a relatively benign pricing environment, resulting in revenues of at least $20 billion for calendar year 2012. 
With respect to the capital structure and our priorities for cash, we expect to continue our practice of returning value to shareholders through dividends and share repurchase throughout the calendar year 2012. To the extent market conditions allow, we expect to engage in share repurchases, which should result in a share count of approximately 350 million by the end of the calendar year. 
Last week, the Seagate board authorized a new $1 billion share repurchase program, which adds to the approximately $900 million remaining from the December 2010 authorization. Additionally, the board approved a 39% increase to our quarterly dividend from $0.18 to $0.25 per share. We believe these actions will help us maximize value for our shareholders and demonstrate our ongoing confidence in the business. 
Melanie, we're now open -- ready to open up the call for questions."
3738520,145552006,213208,"Seagate Technology PLC, Q2 2012 Earnings Call, Jan 31, 2012",2012-01-31,"Earnings Calls","Seagate Technology Holdings plc","Operator","[Operator Instructions] And our first question comes from the line of Steven Fox with Cross Research.",16,"[Operator Instructions] And our first question comes from the line of Steven Fox with Cross Research."
3738520,145552006,213208,"Seagate Technology PLC, Q2 2012 Earnings Call, Jan 31, 2012",2012-01-31,"Earnings Calls","Seagate Technology Holdings plc","Analysts","Two questions basically related to the same subject which is mix. You mentioned that like-for-like pricing should be flattish in the quarter, but you didn't talk about the impact of platter density, I guess, improving as the year goes on and also served m",71,"Two questions basically related to the same subject which is mix. You mentioned that like-for-like pricing should be flattish in the quarter, but you didn't talk about the impact of platter density, I guess, improving as the year goes on and also served market priorities going forward with regard to mix relative to branded, et cetera. Could you just sort of walk through what that means for pricing and gross margins?"
3738520,145552006,213208,"Seagate Technology PLC, Q2 2012 Earnings Call, Jan 31, 2012",2012-01-31,"Earnings Calls","Seagate Technology Holdings plc","Executives","Well, I mean, Pat, I mean, I think we did say that we basically expect pricing to be benign for like-for-like for the year. If average drive capacity increases, then that would imply an ASP increase. And that's a function really of our recovery on compone",110,"Well, I mean, Pat, I mean, I think we did say that we basically expect pricing to be benign for like-for-like for the year. If average drive capacity increases, then that would imply an ASP increase. And that's a function really of our recovery on components, our ability to deliver higher and higher capacity, Steven. As you know in the last quarter, we were up about 5% quarter-over-quarter, which will probably be the high watermark for the industry. And we hope to improve upon that moving forward as we get stronger supply on the component side to build some of the shortages that are particularly probably in the business-critical area."
3738520,145552006,213208,"Seagate Technology PLC, Q2 2012 Earnings Call, Jan 31, 2012",2012-01-31,"Earnings Calls","Seagate Technology Holdings plc","Analysts","And then just a follow-up on that, is there any way to prioritize or let us a little bit on your thinking about what you're going to prioritize in terms of the served markets going forward, how much you can put more into the branded market even with these",53,"And then just a follow-up on that, is there any way to prioritize or let us a little bit on your thinking about what you're going to prioritize in terms of the served markets going forward, how much you can put more into the branded market even with these LTAs, et cetera?"
3738520,145552006,213208,"Seagate Technology PLC, Q2 2012 Earnings Call, Jan 31, 2012",2012-01-31,"Earnings Calls","Seagate Technology Holdings plc","Executives","Again, the LTAs where -- the volume commitments made for the LTAs were made in consideration of the other markets that we have to serve, so I as I pointed out, that's global distribution, that's our branded business then there's other OEM customers that d",135,"Again, the LTAs where -- the volume commitments made for the LTAs were made in consideration of the other markets that we have to serve, so I as I pointed out, that's global distribution, that's our branded business then there's other OEM customers that don't have LTAs. So if you add all that up, it's obviously, it's in excess of what our capacity is. And so our ability to first address the market opportunities that our customers are presenting to us is the strategic decision Seagate's made, and the give for that was a commitment on behalf of the customers to engage with Seagate for one or more years. So we're going to obviously serve the retail channel as we can, but we're pretty heavily committed to our LTA customers and our global distribution partners."
3738520,145552006,213208,"Seagate Technology PLC, Q2 2012 Earnings Call, Jan 31, 2012",2012-01-31,"Earnings Calls","Seagate Technology Holdings plc","Operator","Our next question comes from the line of Mark Miller with Noble Financial.",13,"Our next question comes from the line of Mark Miller with Noble Financial."
