"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
278212,163462240,259710,"H. J. Heinz Company, Q3 2012 Earnings Call, Feb 17, 2012",2012-02-17,"Earnings Calls","The Kraft Heinz Company","Operator","Good morning. My name is Frances, and I'll be your conference operator today. At this time, I'd like to welcome everyone to the H.J. Heinz Company Fiscal Year 2012 Third Quarter Earnings Release Conference Call. This call is being recorded at the request",75,"Good morning. My name is Frances, and I'll be your conference operator today. At this time, I'd like to welcome everyone to the H.J. Heinz Company Fiscal Year 2012 Third Quarter Earnings Release Conference Call. This call is being recorded at the request of the H.J. Heinz Company. [Operator Instructions] I'd now like to turn the call over to Meg Nollen, Senior Vice President of Investor Relations. Ms. Nollen, you may now begin the conference."
278212,163462240,259710,"H. J. Heinz Company, Q3 2012 Earnings Call, Feb 17, 2012",2012-02-17,"Earnings Calls","The Kraft Heinz Company","Executives","Thank you, Frances, and good morning, everyone. I'd like to welcome you to our conference call and webcast. Copies of the slides used in today's presentation are available on our website at heinz.com. Joining me on today's call are Art Winkleblack, Execut",338,"Thank you, Frances, and good morning, everyone. I'd like to welcome you to our conference call and webcast. Copies of the slides used in today's presentation are available on our website at heinz.com. Joining me on today's call are Art Winkleblack, Executive Vice President and CFO; and Ed McMenamin, Senior Vice President, Finance. 
Before we begin with our prepared remarks, please refer to the forward-looking statement currently displayed, which is also available in this morning's earnings release and in our most recent SEC filings. To summarize, during our presentation, we may make forward-looking statements about our business that are intended to assist you in understanding the company and its results. We ask you to refer to our April 27, 2011, Form 10-K and today's press release, which lists some of the factors that could cause actual results to differ materially from those in these statements. Heinz undertakes no obligation to update or revise any forward-looking statements, whether as a result of new information, future events or otherwise, except as required by securities laws. 
We may also use non-GAAP financial measures in our presentation as the company believes such measures are well for consistent period-to-period comparison of the business. The most are the comparable GAAP financial measures and reconciliations of these non-GAAP measures are available in the company's earnings release and on our website at heinz.com. Please note we plan to file our third quarter  10-Q next Tuesday, February 21. Our complete financial highlights pages or stat pages will become available with the filing of the 10-Q and will be posted on the Investor Relations section of the heinz.com towards the bottom of the page. The P&L is out there today. 
Now onto today's call. We'd like to request that you limit your questions during the Q&A session to 1, single-part question in order to ensure adequate time for all who wish to participate and to ensure we end the call timely. With the formalities out of the way, let me turn the call over to Art Winkleblack. Art?"
278212,163462240,259710,"H. J. Heinz Company, Q3 2012 Earnings Call, Feb 17, 2012",2012-02-17,"Earnings Calls","The Kraft Heinz Company","Executives","Thanks, Meg, and good morning, everyone. Today, Ed and I will take you to through our Q3 results and expectations for the remainder of the fiscal year, and we'll try to be brief since we'll be seeing all of you next week at CAGNY. Overall, we're very plea",1296,"Thanks, Meg, and good morning, everyone. Today, Ed and I will take you to through our Q3 results and expectations for the remainder of the fiscal year, and we'll try to be brief since we'll be seeing all of you next week at CAGNY. Overall, we're very pleased with our results for this quarter, highlighted by strong top line growth and good P&L leverage. The key facets of the performance for Q3 include strong sales growth, again driven by Emerging Markets, Global Ketchup and our Top 15 brands, continuing investments in marketing, processes and systems that drive future growth and productivity and a double-digit increase in EPS, reflecting solid growth in operating income and a better-than-expected tax rate. In short, we drove both top and bottom line growth despite a very challenging environment in developed markets. 
Turning to our items P&L scorecard for the quarter, you can see the currency translation had a negligible effect. Overall, sales grew by more than 7%. Operating income increased better than 4% and EPS was up 13%. That's a good result as we continue to increase the investment in our brands and on Project Keystone while tightly controlling other spending. EPS got a boost from the favorable tax rate which was 20% for the quarter. Again, this was better than expected and added $0.07 to the year-on-year increase in EPS. The most difficult result for the quarter was gross margin. While this margin level represents a continuation of sequential improvement in the business and is our high watermark so far this fiscal year, it was still 140 basis points below last year. Now to put this into perspective, our gross margin performance for the quarter was the third best in the peer group. We've left off specific company names here, but you can see that the whole group is working to overcome the harsh commodity inflation buckling the industry. 
We're obviously not satisfied with this and our expectations are that commodity inflation, while not going away, will continue to moderate, easing the pressure on gross margins somewhat. With that said, let's turn back to the top line story. We're very proud of the fact that we've now driven 27 consecutive quarters of organic growth. And this quarter's organic growth of 4.6% represents our highest growth rate in nearly 3 years. Importantly, all segments reported positive organic sales growth in the quarter, led by the Rest of World and Asia/Pacific segments, but also reflecting positive growth in difficult developed markets of Europe and North America. Again, this quarter, the formula for growth is based on our trio of growth engines: Emerging Markets, Global Ketchup and our Top 15 brands. 
On our last earnings call, we mentioned that growth in Emerging Markets would accelerate in Q3, and that's exactly what happened. For the quarter, Emerging Markets generated very strong organic growth of 20%, and on a reported basis, the number was even stronger, up about 40% when you include sales from the Quero business we bought in Brazil in Q4 last year. Now on an organic basis, growth was driven by Latin America, China, Russia, Indonesia, India and Africa/Middle East. 
Q3 was another strong quarter for Global Ketchup as well, where we delivered 9% organic growth, led by Latin America, U.S. Foodservice and Russia. Though smaller scale, we also posted big percentage gains on Heinz Ketchup in Brazil and in China. And to round out the discussion of our growth engines, the Top 15 brands posted 6% organic growth, led by the Heinz bread, the Master brand of soy sauces in China and our ABC brand in Indonesia. Our Top 15 brands represent more than 70% of global sales and continue to grow as a percentage of our total mix. 
A key to the continued growth in our portfolio is increasing support of our brands. Over a 5-year period ending in fiscal 2011, Heinz increased marketing spending by almost 60% to help drive organic growth and we're continuing to increase our investment level this fiscal year. Through the first 9 months of FY '12, our spending is up another 10%, reflecting higher spending in both emerging and developed markets. 
Now let's take a quick look at top and bottom line performance in each of our key segments. First, in North American Consumer Products, we posted stable results in a difficult market with a challenged consumer. Organic sales were up 1%, offset by a 2% impact from the exit of Boston Market. Organic sales of frozen products were up in the U.S., while Ore-Ida sales were basically flat. The gains in frozen were partially offset by weaker sales in pasta sauces. Gross margin was impacted by net commodity inflation and lower margin product mix. We effectively leveraged SG&A spending and we're excited to see the new accessible price point products reaching store shelves in Q4. We'll talk more about that next week at CAGNY. 
U.S. Foodservice business returned to sales and profit growth in Q3, driven by branded front of house products and continuing productivity initiatives. Importantly, Dip & Squeeze distribution continues to expand and is now available at Wendy's. With this addition, Dip & Squeeze already represents about 25% of our total branded portion control Ketchup business in the United States. The industry saw modest improvement in overall restaurant traffic, particularly in December, driven largely by quick serve restaurants, though traffic in some of our key customers IS still down slightly. Gross margins strengthened sequentially but still below prior year as net pricing has increased and commodity inflation is beginning to moderate. And finally, we continue to rationalize the factory footprint in order to drive down fixed costs. 
Despite the headlights coming out of Europe these days, Heinz posted solid results with constant currency sales up almost 4% and operating income about flat. Organic growth for the region was driven by another strong quarter in the U.K., up 6% and continuing momentum in Russia, up 19%. Italy, on the other hand, was impacted by the country's debt crisis and incurred a 3-day national truck strike at the end of our quarterly January. We continue to invest in processes and systems across Europe and are very pleased with ongoing progress in the rollout of Project Keystone and the establishment of the European supply chain hub and new Innovation Center. 
Turning to the Asia/Pacific, that region posted nearly 7% constant currency sales growth and almost 23% operating income growth, a dramatic improvement from their results last quarter. Each emerging market in the region drove double-digit sales growth, led by China, Indonesia and India. China is generating particularly good growth in Foodstar, western sauces and Infant/Nutrition. Operating income improvement for the segment was led by excellent growth in China, Japan and Indonesia. We also saw a sequential improvement in Australia this quarter, driven by new leadership there. 
Turning to the rest of the world segment, on a constant currency basis, both sales and operating income more than doubled. This growth was driven by continued strong performance in Latin America. A key element here is the addition of the Quero brand in Brazil where the quarter sales in Brazil exceeded $100 million. Notably, we began distributing Heinz ketchup in Brazil through the Quero sales force and we've seen ketchup sales almost doubled. Though still small, we had high expectations for this Ketchup business. 
Adding to the growth story Latin America, we recently launched new baby food and ketchup pouches in Mexico and Central America. They're off to a great start and we think this will be an important packaging innovation for cash-strapped consumers. 
And finally, Africa/Middle East contributed to the strong sales growth in the quarter as well. Now I'd like to turn it over to Ed for a bit deeper insight on the quarter. Ed?"
278212,163462240,259710,"H. J. Heinz Company, Q3 2012 Earnings Call, Feb 17, 2012",2012-02-17,"Earnings Calls","The Kraft Heinz Company","Executives","Thanks, Art. Good morning, everyone. I'll take you through some of the details underlying our financial results which reflect strong top line and bottom line growth. Let's look first at EPS. Consistent with our previous releases this year, we're reporting",1180,"Thanks, Art. Good morning, everyone. I'll take you through some of the details underlying our financial results which reflect strong top line and bottom line growth. Let's look first at EPS. Consistent with our previous releases this year, we're reporting our results for fiscal 2012 adjusting for the special charges related to our productivity initiatives. 
To summarize Q3, going from right to left, including the $0.07 cost of our productivity initiatives, reported EPS was $0.88, up $0.04 or almost 5% from last year. Our constant currency EPS and EPS excluding special charges were both $0.95, up 13.1% as foreign exchange activity this quarter had virtually no impact on the bottom line. Here, you can see the components of our productivity charges and where there are reflected in the P&L. In Q3, we incurred $9 million for severance and employee benefit costs related to the reduction of the global workforce. $11 million related to asset write-offs for the closure of 6 factories so far this year and we're working towards exiting at least 2 more factories by year end. $14 million of other implementation expenses, primarily professional fees, contract termination and relocation costs, incurred to improve manufacturing efficiencies most notably affecting our Australian business. Overall, we recorded charges of $34 million pretax, of which $22 million is in cost of goods sold and $12 million in SG&A. The after-tax impact of the charges was $23 million or $0.07 per share and the entire amount was reported in our non-operating segment. 
As a reminder, we currently expect the total cost of these initiatives to be around $215 million pretax or $0.50 per share for the full fiscal year and we continue to look for additional opportunities to drive cost down further. The rest of our financial discussion will focus on the results excluding these special items as we believe it provides 1 of the most useful perspective for evaluating our performance. 
Now turning to the P&L, net sales exceeded $2.9 billion, up almost 8% on a constant currency basis. Gross profit dollars were up 4% on a constant currency basis as higher pricing acquisitions were partially offset by higher net commodity costs. As Art mentioned, gross margin was down, along with all of our peers as a result of the commodity cost movements. Marketing expense increased in line with our strong top line growth while SG&A increased at only 1/4 of the rate of sales. SG&A was up 2% on both a reported in constant currency basis, reflecting increases from acquisitions, incremental talent to support growth in our Emerging Markets, as well as Project Keystone. We continue to prioritize investment to support the future while balancing overall costs. In fact, SG&A in our developed markets was down versus the prior year, reflecting our focus on tight cost controls. Operating income was up around 5% on a constant currency basis despite soft results in the U.S. and Italy, as well as incremental investments for marketing and Keystone. Net interest and other expense increased $5 million primarily due to interest expense. The effective tax rate for the quarter was 20% compared to 26.1% last year primarily due to the relief of foreign tax reserves no longer subject to claims, as well as reduced repatriation costs. We're now anticipating a tax rate for the full year, excluding special charges in the mid to low 20s. This reflects the reserve I just mentioned, as well as other foreign tax planning initiatives. 
At the bottom line, we delivered a net and increase in net income of 12% at EPS of 13% in Q3. Looking at the key components of sales growth, as Art mentioned, we delivered organic sales growth of 4.6% for the quarter, the highest growth since fiscal 2009. Price improvements of 4.2%, particularly in the U.S., U.K. and Latin America, drove this growth, while volume was slightly positive at 0.4%. The Emerging Markets delivered balance organic growth with volume and price both up approximately 10% and the developed markets and Europe posted positive volume with the exception of Italy. Japan had a strong performance, exceeding 10% volume growth this quarter while we saw declines in Canada and Australia, as well as a small decline in the U.S. The Quero net acquisition in the Boston Market added 2.9% our top line while foreign exchange reduced sales by 40 basis points. Our gross margin at 36.4% declined 140 basis points as our pricing and productivity initiatives effectively offset approximately half of the headwinds from the commodity markets. 
Looking specifically at commodities, we've seen inflation in most of our key raw materials, particularly sweeteners, meals, meat and dairy. The overall result has been market inflation for the quarter of around 7%, in line with our full year expectations. 
Finally, for the quarter, operating free cash flow was about $250 million, down from last year. This reflects a $34 million outflow for productivity initiatives, increased QOWC, particularly receivables driven by growth in Asia and Brazil, while inventory payables were roughly offset each other. Additionally, increased capital spending reflected further investments in Project Keystone, capacity projects in the Emerging Markets and new productivity initiatives. In total, capital expenditures were 3.4% of sales, up 70 basis points from the prior year. Dividends reflect the 6.7% increase that we announced in May. And finally, the increasing Treasury stock reflects the repurchase of about 800,000 shares at a total cost of $42 million, net of options exercised. 
Now let's move to the balance sheet scorecard through 9 months. Capital expenditures were 3.2% of sales, up 70 basis points from the prior year, reflecting the investments I just mentioned. We're still anticipating spending of around 4% of sales for the full fiscal year. Our cash conversion cycle at 45 days slipped by 1 day versus last year as a 3-day improvement in payables was offset by 2 days in receivables and inventory. Operating free cash flow of $476 million was down from last year. We spent $64 million in our productivity initiatives so far this year, and QOWC has increased primarily due to the timing of payables. Overall, QOWC should be in line with fiscal '11 by year end as a result of our concerted efforts to reduce inventories. 
Additionally, in line with our plans, cash taxes are higher this year and capital spending is up on a year-to-date basis. Net debt to EBITDA was 2.0x this year versus 1.8x last January. The increase was due to higher net debt primarily related to the Brazilian acquisition where we remain quite pleased with improvements in net debt to EBITDA from just a few years ago. ROIC was 18.6%, down 70 basis points from this time last year. But if you adjust for the Brazilian acquisition, the base business, which shown improvement of 20 basis points over the comparable period last year. 
In summary, our performance for this quarter reflects solid top line and EPS growth with substantial incremental investments back into our business to help support future growth. 
With that, I'll now turn it back to Art to take you through our full year outlook"
278212,163462240,259710,"H. J. Heinz Company, Q3 2012 Earnings Call, Feb 17, 2012",2012-02-17,"Earnings Calls","The Kraft Heinz Company","Executives","Thanks, Ed. Now let's finish after a quick look at the full year forecast. On the next items basis, we're confident that we'll deliver on the expectations we established at our Analyst Day last May. Those goals included constant currency sales growth of 7",317,"Thanks, Ed. Now let's finish after a quick look at the full year forecast. On the next items basis, we're confident that we'll deliver on the expectations we established at our Analyst Day last May. Those goals included constant currency sales growth of 7% to 8%; EPS growth of 6% to 8%; and operating free cash flow of around $1.15 billion. As discussed last quarter, given the negative changes in the economic environment, our path is a bit different than we had originally expected. 
On a reported x items basis, we're narrowing our range and expect to deliver EPS of between, $3.32  and $3.34. This includes the full year benefit of approximately $0.05 of foreign currency. Thus, this range should equate to constant currency performance of around $3.27 to $3.29, which is at the middle of our original outlook of $3.24 to $3.32, and this effectively takes up the bottom of our expected range. So as we look forward, we expect to continue our top line momentum, further invest in the business, deliver double-digit EPS growth in Q4 and aggressively reduce inventory levels. As part of this, as Ed mentioned, we now expect our full year tax rate to be in the mid to low 20s. And finally, we expect to deliver $1 billion in operating cash flow on a reported basis after the impact of spending for special items. 
So to summarize, we're posting solid sales in EPS results in a challenging environment, driving the top line primarily through growth in Emerging Markets, Global Ketchup and an increase in marketing behind our Top 15 brands; continuing to invest in the business for sustainable long-term growth despite by the environment; successfully executing our productivity initiatives to further build the foundation for the future; and expecting to deliver our original full year outlook. So with that, I'll turn it back to Meg and we'll take your questions. Meg?"
278212,163462240,259710,"H. J. Heinz Company, Q3 2012 Earnings Call, Feb 17, 2012",2012-02-17,"Earnings Calls","The Kraft Heinz Company","Executives","All right, operator?",3,"All right, operator?"
278212,163462240,259710,"H. J. Heinz Company, Q3 2012 Earnings Call, Feb 17, 2012",2012-02-17,"Earnings Calls","The Kraft Heinz Company","Operator","[Operator Instructions] Our first question is from the line of Ken Goldman from JPMorgan.",14,"[Operator Instructions] Our first question is from the line of Ken Goldman from JPMorgan."
278212,163462240,259710,"H. J. Heinz Company, Q3 2012 Earnings Call, Feb 17, 2012",2012-02-17,"Earnings Calls","The Kraft Heinz Company","Analysts","It seems, at least optically, that you're guiding to a little bit of a drop in performance between 3Q and 4Q, maybe a little bit more sudden than some people might have expected. So I guess my question is, first, is this accurate? And second, if so, maybe",61,"It seems, at least optically, that you're guiding to a little bit of a drop in performance between 3Q and 4Q, maybe a little bit more sudden than some people might have expected. So I guess my question is, first, is this accurate? And second, if so, maybe you could walk us through some of the drivers of that relative softness?"
278212,163462240,259710,"H. J. Heinz Company, Q3 2012 Earnings Call, Feb 17, 2012",2012-02-17,"Earnings Calls","The Kraft Heinz Company","Executives","No, I think, frankly, we're real pleased with the performance in the business. I mean, you saw the strong growth in the top line. The 3 growth engines are continuing to bang away. We've got sequential improvement in Australian Foodservice. We're investing",229,"No, I think, frankly, we're real pleased with the performance in the business. I mean, you saw the strong growth in the top line. The 3 growth engines are continuing to bang away. We've got sequential improvement in Australian Foodservice. We're investing in the business. We're taking out inventory. For the quarter, ROI was up nicely and we continue to drive the productivity initiatives. So we're feeling very good about the business. I think what you're seeing in some timing in terms of the tax impacts. Certainly, the tax was better than we expected this quarter, a little bit worse than we expected next quarter, so largely timing there. This allows us flexibility, frankly. I mean, in this tough environment, there's just no reason to be heroic. So I think we are prudently balancing the P&L. We're also aggressively taking out inventory in the fourth quarter, and as you know, as you reduce inventory, you're taking absorption hit. You're pulling basically fixed costs off the balance sheet into the P&L and there's a hit associated with that and we think that's the right thing to do to pull inventory out and to drive cash flow. So now we feel very good about the business and feel very good about the fact that we're taking into the middle of the range and taking up the bottom end of our guidance."
278212,163462240,259710,"H. J. Heinz Company, Q3 2012 Earnings Call, Feb 17, 2012",2012-02-17,"Earnings Calls","The Kraft Heinz Company","Executives","Absolutely. The only other thing I would add is, if you take the numbers we've given you on FX, we're going to take that next quarter on FX, and that obviously was not anticipated. So we are at a positive $0.08 for the company year-to-date and our guidanc",139,"Absolutely. The only other thing I would add is, if you take the numbers we've given you on FX, we're going to take that next quarter on FX, and that obviously was not anticipated. So we are at a positive $0.08 for the company year-to-date and our guidance this morning includes a positive $0.05, so that's a $0.03 hit potentially in the fourth quarter from FX alone. So you take the FX hit, you take the absorption hit and a little softness, but it's not major softness. I think we're going to have an incredibly strong quarter. If we get these numbers we've put out there, guys, that's double-digit OI in EPS and that is nothing to be to need that. So we're hitting on all cylinders as you saw with all of our segments at positive organic growth."
