"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
33352,146288443,267652,"Progressive Corp., Q4 2011 Earnings Call, Mar 01, 2012",2012-03-01,"Earnings Calls","The Progressive Corporation","Operator","Welcome to the Progressive Corporation's Investor Relations Conference Call. [Operator Instructions] In addition, this conference is being recorded at the request of Progressive. If you have any objections, you may disconnect at this time. The company wil",98,"Welcome to the Progressive Corporation's Investor Relations Conference Call. [Operator Instructions] In addition, this conference is being recorded at the request of Progressive. If you have any objections, you may disconnect at this time. The company will not make detailed comments in addition to those provided in its annual report on Form 10-K, and letter to shareholders, which have been posted at the company's website, and will use this conference call to respond to questions.
Acting as moderator for the call will be Matt Downing. At this time, I will turn the call over to Mr. Downing."
33352,146288443,267652,"Progressive Corp., Q4 2011 Earnings Call, Mar 01, 2012",2012-03-01,"Earnings Calls","The Progressive Corporation","Operator","[Operator Instructions]  Our first question today is from Michael Zaremski with Crédit Suisse.",13,"[Operator Instructions]  Our first question today is from Michael Zaremski with Crédit Suisse."
33352,146288443,267652,"Progressive Corp., Q4 2011 Earnings Call, Mar 01, 2012",2012-03-01,"Earnings Calls","The Progressive Corporation","Analysts","The 10-K cites 35,000 independent agencies. That's up from 30,000 in more recent years. Have the new agencies been a driver of the PIP growth? And I was curious what your penetration rate is among independent agencies.",38,"The 10-K cites 35,000 independent agencies. That's up from 30,000 in more recent years. Have the new agencies been a driver of the PIP growth? And I was curious what your penetration rate is among independent agencies."
33352,146288443,267652,"Progressive Corp., Q4 2011 Earnings Call, Mar 01, 2012",2012-03-01,"Earnings Calls","The Progressive Corporation","Executives","Mike, unfortunately the answer's probably not significant driver of growth. We obviously know agencies, agents and we've always sort of held to a number that we could reasonably represent was a fair representation. But every so often, we take a more detai",145,"Mike, unfortunately the answer's probably not significant driver of growth. We obviously know agencies, agents and we've always sort of held to a number that we could reasonably represent was a fair representation. But every so often, we take a more detailed senses and this has not changed, our form will change to report it's now, 35,000 is more representative than 30,000 which we used for a long time. So it's a little bit more of a consistent PI change, and not representing a feathered ship or a sudden increase in agent. So no to the driver of additional volume, but our independent agency channel overall has actually been doing quite nicely. So we're happy with that, but don't focus too much on the change in number. You'll see that number going forward as a much more representative number in our PR and general releases."
33352,146288443,267652,"Progressive Corp., Q4 2011 Earnings Call, Mar 01, 2012",2012-03-01,"Earnings Calls","The Progressive Corporation","Analysts","Okay. And lastly, policy life expectancy has been decreasing indirect despite Snapshot and Home Advantage, which I believe our bigger contributors in that channel. Could you talk about that? And also, what the driver of the increased life expectancy in ag",48,"Okay. And lastly, policy life expectancy has been decreasing indirect despite Snapshot and Home Advantage, which I believe our bigger contributors in that channel. Could you talk about that? And also, what the driver of the increased life expectancy in agency has been -- what's been behind that."
33352,146288443,267652,"Progressive Corp., Q4 2011 Earnings Call, Mar 01, 2012",2012-03-01,"Earnings Calls","The Progressive Corporation","Executives","Sure. PHA and Snapshot both remained positive. So unfortunately, when you have questions like this, it tends to be little pieces of data and sometimes hard to connect the dots, so I'll try to do that as best I can. We had taken a significant -- and we've",315,"Sure. PHA and Snapshot both remained positive. So unfortunately, when you have questions like this, it tends to be little pieces of data and sometimes hard to connect the dots, so I'll try to do that as best I can. We had taken a significant -- and we've talked about this in past calls, significant rating action in Florida. Now I point out one thing, and you might say well, just one state. Florida represents a significant chunk of our business, and therefore, it does matter. When those rate changes take place, which are unfortunately very necessary, they have a delayed effect on future renewals. And a large piece of the retrenchment on PLE, which we are certainly not happy with, is a result of our rate changes -- our necessary rate changes in Florida. We have sort of beaten ourselves up quite approximately to see if there was anything we were doing internally. And frankly, there were a few things that we were doing internally that also were destructive to our PLE. A couple of those were more specific the direct than they were to agency. So the results are as we report them, but I don't sense any systemic issue or major change between direct or agency. And as long as our rate levels remain adequate for certainly our large states, I would expect to see those stats to reverse themselves and come back to the levels that they were at. That's not anything other than my expectation. But the reason for the decline primarily, a price shock, a little bit more accentuated indirect, where we also have some things that we needed to fix with regard to build plans and some what we call on-boarding activities, where we bring the customers on board, some things that we could do considerably better. All of those are either remediated or very close to remediation."
33352,146288443,267652,"Progressive Corp., Q4 2011 Earnings Call, Mar 01, 2012",2012-03-01,"Earnings Calls","The Progressive Corporation","Analysts","And since you brought up Florida, the bills in the Florida House regarding PIP in the Senate, were those going to be good for auto insurers like Progressive?",28,"And since you brought up Florida, the bills in the Florida House regarding PIP in the Senate, were those going to be good for auto insurers like Progressive?"
33352,146288443,267652,"Progressive Corp., Q4 2011 Earnings Call, Mar 01, 2012",2012-03-01,"Earnings Calls","The Progressive Corporation","Executives","Though it's somewhat dangerous. I need a carrier of not speculating on political issues, but it's a very fair question. Florida PIP is not irrelevant relative to the state of the industry right now. So I'd say a couple of things. The House bill, I think,",223,"Though it's somewhat dangerous. I need a carrier of not speculating on political issues, but it's a very fair question. Florida PIP is not irrelevant relative to the state of the industry right now. So I'd say a couple of things. The House bill, I think, has more potential from our perspective. Obviously, people in Florida have to choose to do whatever they do. We do not tend to get particularly involved in legislative for fears. We offer our opinion, and our experience in data, whereas the Senate build does not do nearly as much as the House Bill. And Florida has, since the third and fourth District Court ruling, changed a level of understanding of reimbursement for PIP that we thought was well expressed by the legislature in 2008. They are now what is called ruling something other than that, which is causing some degree of disruption. And frankly, we have made some moves to incorporate some language in our policy contract that we think puts us in a relatively better position than many. But the likelihood of reform, I'm not even going to give you a probability on that. I would tell you that if the House Bill were the one to be ratified, let's set it and government, that will be more useful to us than the Senate Bill."
33352,146288443,267652,"Progressive Corp., Q4 2011 Earnings Call, Mar 01, 2012",2012-03-01,"Earnings Calls","The Progressive Corporation","Executives","Mike, this is Brian. He also asked a little bit about the drivers of agency policy life expectancy increasing. There's a number of reasons, but one of the reasons would be, we're actually getting more quoting activity the preferred market or some policy,",79,"Mike, this is Brian. He also asked a little bit about the drivers of agency policy life expectancy increasing. There's a number of reasons, but one of the reasons would be, we're actually getting more quoting activity the preferred market or some policy, such that policy have a tendency or norm to stay with us longer. So that is, for us, a very good thing. And our agents are now quoting us more for those preferred type of risks."
33352,146288443,267652,"Progressive Corp., Q4 2011 Earnings Call, Mar 01, 2012",2012-03-01,"Earnings Calls","The Progressive Corporation","Operator","Our next question is from Josh Shanker from Deutsche Bank.",10,"Our next question is from Josh Shanker from Deutsche Bank."
