"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
27862,141379526,208346,"eBay Inc., Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,"Earnings Calls","eBay Inc.","Operator","Good day, ladies and gentlemen, and welcome to eBay's Q4 2011 Earnings Call. [Operator Instructions] And as a reminder, today's conference call is being recorded. Now I would look to turn the conference over to your host, Jennifer Ceran, Vice President of",44,"Good day, ladies and gentlemen, and welcome to eBay's Q4 2011 Earnings Call. [Operator Instructions] And as a reminder, today's conference call is being recorded. Now I would look to turn the conference over to your host, Jennifer Ceran, Vice President of Investor Relations."
27862,141379526,208346,"eBay Inc., Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,"Earnings Calls","eBay Inc.","Executives","Thank you, and good afternoon, everyone. Thank you for joining us and welcome to eBay's earnings release conference call for the first quarter and full year 2011. Joining me today on the call are John Donahoe, our President and Chief Executive Officer; an",470,"Thank you, and good afternoon, everyone. Thank you for joining us and welcome to eBay's earnings release conference call for the first quarter and full year 2011. Joining me today on the call are John Donahoe, our President and Chief Executive Officer; and Bob Swan, our Chief Financial Officer. 
We're providing a slide presentation to accompany Bob's commentary during the call. All gross rates mentioned in Bob and John's prepared remarks represent year-over-year comparisons unless they clarify otherwise. The conference call is also being broadcast on the Internet and both the presentation and call are available through the Investor Relations section of the website at investor.ebayinc.com. In addition, an archive of the webcast will be accessible for 90 days through the same link. 
Before we begin, I'd like to remind you that during the course of this conference call, we will discuss some non-GAAP measures in talking about our company's performance. You can find the reconciliation of those measures to the nearest comparable GAAP measures and the slide presentation accompanying this conference call. In addition, the management will make forward-looking statements relating to our future performance that are based on our current expectations, forecasts and assumptions and involve risks and uncertainties. These statements include, but are not limited to, statements regarding expected financial results for the fourth quarter and full year 2012, our 3-year outlook of the future growth in the payments, Marketplaces and GSI businesses. Our actual results may differ materially from those discussed in this call for a variety of reasons including, but not limited to, global and on the events; changes in political, business and economic conditions including any further downturn or crisis in Europe; foreign exchange rate fluctuations; our ability to integrate, manage and grow businesses recently acquired or that may be acquired in the future, including GSI; our increasing need to grow revenues from existing users, particularly in more established markets; at an increase in the competitive environment for our business; the complexity of managing an increasingly large enterprise with a broad range of businesses at different stages of maturity; our need to manage regulatory, tax, IP and litigation risks including risks specific to PayPal, Bill Me Later and the financial industry; and our need to timely update our technology and customer service infrastructure at reasonable costs or adding new products and features and maintaining site stability and performance. You can find more information about factors that could affect our operating results in our most recent annual report on our form 10-K and our subsequent quarterly reports on form 10-Q, available at investor.ebayinc.com. You should not rely on any forward-looking statements. All information in this presentation is as of January 18, 2012, and we do not intend and undertake no duty to update this information. With that, let me turn the call over to John."
27862,141379526,208346,"eBay Inc., Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,"Earnings Calls","eBay Inc.","Executives","Thanks, Jenny. Good afternoon, everyone, and welcome to our Q4 and full year earnings call. We had a strong fourth quarter and a strong finish to an excellent year. We're delivering on our commitments in our vision of enabling commerce. Our 2011 results h",1425,"Thanks, Jenny. Good afternoon, everyone, and welcome to our Q4 and full year earnings call. We had a strong fourth quarter and a strong finish to an excellent year. We're delivering on our commitments in our vision of enabling commerce. Our 2011 results highlight the competitive portfolio of global commerce businesses that comprise our company today. eBay, PayPal, GSI and X.commers are reinventing how people shop and pay. And we are positioning ourselves as an effective partner to retailers of all sizes. 
2011 marked an inflection point for shopping. Online and offline retail are rapidly blending into a seamless multichannel world. Consumers are driving this change and technology is enabling it. In this new retail world, our company has powerful global commerce platforms to deliver technology-driven innovation to retailers and consumers. 
We're leveraging shopping technology such as Milo, Ware and RedLaser with a strong leadership position in mobile commerce and payments, and we're innovating and social and mobile commerce. 
For consumers and retailers, we intend to make shopping more locally convenient and more globally accessible. This means enabling retailers of all sizes to reach consumers when, where and how those consumers want to shop. New retail at anytime anywhere. And in this fluid environment, we will help retailers compete but we will never compete with them. 
At the beginning of last year, we laid out bold 3-year growth goals. Our strong performance in 2011 was a big down payment for these goals and we have increased confidence in our outlook. I will talk more about what this means for 2012 and 2013 in his remarks. 
Now let's take a look at our results for Q4. We had a strong close to the year. Q4 revenue grew 35% and non-GAAP EPS was up 17%. All of our businesses performed well. 
PayPal had another strong quarter. EBay had solid growth in its core markets and GSI had a great holiday season driving strong growth for its merchant clients. Both PayPal and eBay now have over 100 million active accounts and active users. And during this holiday season, both PayPal and eBay set new records during peak shopping periods. 
For example, on Cyber Monday, PayPal sold more than 10,000 transactions per minute during peak periods, a new record for us. We also had our biggest mobile holiday shopping season yet with consumer spending $180 per second through our eBay mobile apps. 
Let's take a look at the results for each business unit. PayPal is becoming an increasingly global business. Q4 marked the first time that more than 1/2 of PayPal's revenues came from outside the U.S. Consumers and merchants around the world are responding to the benefits PayPal offers and this business has a tremendous opportunity globally. 
In Merchant Services, TPV was up 29%. PayPal added more than 1 million new active users each month in Q4 ending the year with more than $106 million globally. And PayPal customers continue to steadily increase the number of times they use PayPal with Q4 transactions increasing 30% year-over-year. PayPal TPV and eBay was up 16% for the quarter as penetration on eBay accelerated more than 1 point for Q3, or 74%. And PayPal's Mobile Payment business ended the year with strong momentum. For the year, our mobile payment volume hit $4 billion, more than 5x the volume of the year before. The number of PayPal customers regularly making a purchase through their mobile phone more than doubled during the second half of the year. And during the holiday season, mobile payment volume increased more than 500% on Thanksgiving, Black Friday and Cyber Monday. Simply put, consumers are shopping more frequently via mobile and merchants who adopt PayPal mobile Express Checkout are seeing significantly higher conversion. We expect PayPal's mobile growth to continue with mobile volume in 2012 estimated to hit $7 billion. 
Meanwhile, PayPal continues to generate excitement around our plans to extend PayPal as a point-of-sale retail locations. We anticipate this will be give consumers better shopping experiences and more flexible payment choices. As for retailers, we believe this will give them opportunities to not only engage consumers at checkout but also throughout their entire multichannel shopping experience. 
Since we opened it in November, over 100 retailers have visited PayPal's shopping showcase in New York, where our new payment innovations are being demonstrated in retail-like environments. And in Q4, we began a limited in-store test with Home Depot, our first national retail partner. And later this week, we'll be launching a pilot to 51 Home Depot stores primarily in the Bay Area. 
PayPal customers will be able to easily and quickly pay for purchases in these stores by either swiping their PayPal card or simply entering their mobile phone number and PIN. You can shop without your wallet, without your credit cards or even your mobile phone, just pay with PayPal. We're excited about our partnership with Home Depot and we'll continue to be focused on delivering the best, possible product experience for consumers and retailers as we expand with Home Depot and other national retailers later this year. 
Turning to Marketplaces. eBay had a solid quarter. Marketplaces revenue grew 16% with core GMV up 10% and marketing services up 24%. Let me talk a little more about GMV. 
Core GMV grew 10% both in the U.S. and internationally. Fixed price, which now accounts for 64% of total GMV, grew 14% globally and 15% in e-commerce, in line or in the U.S., in line with e-commerce. Today, eBay offers consumers more inventory than ever with approximately 300 million listings available at any given time. The site is cleaner, easier and faster to shop than ever before and our most trusted sellers continue to win. 
In Q4, nearly 1/2 of all GMV on eBay in the U.S. came from top-rated sellers, a reflection of the trusted retail-like experience they're offering shoppers today. Same-store sales for top-rated sellers grew 19% in the quarter, outpacing e-commerce. And eBay sellers offered free shipping on more items this holiday season representing 43% of transactions, up 14 points over the prior year. 
eBay also continued its strong mobile commerce leadership, ending the year with $5 billion of mobile volume. That's more than double 2010. And in 2012, we expect eBay mobile volume to grow to $8 billion. Mobile can make any moment conveniently shopable and consumers love having their favorite store, eBay, in their pocket. 
And mobile is driving more than just shopping on eBay. In 2011, eBay acquired more than 1 million new active users via mobile devices. And each week, eBay sellers are now uploading on average more than 1 million listings through our mobile apps with each listing taking an average of 60 seconds or less to complete. 
We also stepped up our marketing in Q4 and we are pleased with how our Buy It New, Buy It Now Consumer Campaign is beginning to change consumer perception in the U.S. Early feedback shows the campaign has been successful in helping to drive brand awareness and position eBay as the destination with a great selection of new merchandise at fixed prices. 
Turning to our new business unit, GSI had a great holiday season, driving a 26% increase in same-store sales for its merchants. And we're making great progress in the second half of last year in our integration efforts. We're capturing synergies across the portfolio and ended the year with 13 GSI merchants selling on eBay. 
In Q4, we also launched X.commerce. We're excited about the enthusiastic response to X.commerce and the potential for this open commerce ecosystem to drive innovation for merchants and third-party developers. Today, we already have 800,000 developers, merchants and users on the X.commerce platform. 
In summary, I'm pleased with our fourth quarter performance, our progress over the past 12 months and our progress in delivering against our 3-year growth outlook we announced last February. In a dynamic and rapidly changing environment, we are operating with discipline and clarity. We have a strong bench of management talent and we will not skip a beat as we manage the transition at PayPal. Across the company, I'm more confident than ever in our ability to execute. 
We are a different eBay today; technology-driven and customer-focused with a portfolio of commerce, platforms and products that engage consumers and benefit retailers. We're no longer just an e-commerce leader but a stronger, more diverse global commerce company shaping the future of shopping payments. 
Now I'll turn it over to Bob, who'll provide more details on Q4 and the full year before we take questions."
27862,141379526,208346,"eBay Inc., Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,"Earnings Calls","eBay Inc.","Executives","Thanks, John. During my discussion, I'll reference our earnings slide presentation that accompanies the webcast. Before I go to the results for the quarter, I'd like to take a moment to put some perspective on the full year. As John mentioned earlier, c",1944,"Thanks, John. During my discussion, I'll reference our earnings slide presentation that accompanies the webcast. Before I go to the results for the quarter, I'd like to take a moment to put some perspective on the full year. 
As John mentioned earlier, commerce is at an inflection point. Technology-led innovation, driven by the wide adoption of eBay and other applications on smartphones and tablets is changing the way people shop. Retail is becoming multichannel and merchants of all sizes must keep up with changing consumer behavior. They have been reaching out to us for help and we are responding. 
Today, eBay is focused on enabling global commerce by investing in new products and services that extend our capabilities and put us in a position to meet the evolving needs of both merchants and consumers. Simply put, this is the essence of our 3-year plan we outlined at Analyst Day earlier last year. And we've now completed the first year of our 3-year journey. 
Overall, the first year was an excellent one for eBay. We grew the company's top line 27%, delivered EPS growth of 17% and generated $2.3 billion in free cash flow. And our platforms enabled nearly $150 billion of commerce volume for our customers. 
First is the guidance we gave you back in January of 2011, we are $1 billion larger and approximately $100 million better on net income with the balance sheet as strong as ever. We feel great about our portfolio and our capabilities. PayPal is adding merchants and consumers while investing in the next-generation payment capabilities. The Marketplaces' core business overall is healthy and investments in new features and functionality continue to make the site even better. And GSI is focused on helping larger retailers succeed in a multichannel world. 
One year into our 3-year plan, we are ahead of our expectations and we are increasingly confident about the future. Now let's take a look at the results from the fourth quarter. 
Q4 was a great quarter for our company and PayPal, Marketplaces and GSI all performed well. Revenue increased 35%. Non-GAAP EPS grew 17% and operating margins accelerated across all 3 segments. 
From a capital allocation standpoint, we closed the sale of our remaining investment in Skype for $2.3 billion. We completed 3 product-enhancing acquisitions and we repurchased approximately 8 million shares. We had a strong finish to a great year and we'll carry that momentum into 2012 and 2013. 
In Q4, our combined businesses generated net revenues of $3.4 billion, up 35%. Organic revenue growth of 19% and the inclusion of recently closed acquisition increased our growth by approximately 16 points. 
Third quarter non-GAAP EPS was $0.60, a 17% increase year-over-year. Solid top line growth drove our outperformance relative to guidance. Non-GAAP operating margin was 28.7%, down 80 basis points from Q4 2010. This was driven by operating leverage offset by business mix and the impact of recently completed acquisition. We generated strong free cash flow of $691 million in the fourth quarter with CapEx at roughly 9% of revenues. Now let's take a closer look at our segment results. 
PayPal posted another great quarter. Revenue growth was 28% and total payment volume increased to $33.4 billion, up 24%. We continue to expand our global footprint with international TPV increasing 33% and comprising 47% of overall TPV in the quarter. 
A few quick highlights on PayPal operational metrics. The number of payments grew 30%, a 1 point acceleration versus the third quarter. On eBay TPV grew 16% on FX neutral basis, driven by a 10% increase in GMV and a 4 point increase in PayPal penetration on eBay. 
Merchant Services TPV grew 29% on an FX neutral basis. This growth was driven by continued expansion on PayPal merchant sites around the world and an increase in share of checkout. While growth was strong, we decelerated 4 points in the quarter. The deceleration was driven by softness in cross-border trade, particularly to Europe, and declines in average payment size from strong growth and low price categories as well as holiday discounting. Transaction margin was 64.8% in Q4, up 130 basis points. The increase was mainly driven by a higher take rate and lower transaction expense as a result of the Durbin amendment. 
PayPal's segment margin was 24.7% in the quarter, up 260 basis points from last year and at the highest level over the past 5 years. Let me touch on a few key operating metrics for Bill Me Later. 
Bill Me Later's TPV was up 44%, driven by a continued strong penetration on and off eBay. BML penetration in the U.S. on eBay and in the PayPal Wallet has increased in the past year to more than 1.6% in the fourth quarter. This penetration reduces our funding costs as consumers shift away from credit cards to Bill Me Later. 
Risk-adjusted margins in the quarter was 16.9%, up 250 basis points over last year. Now let's move to our Marketplaces business. 
Overall, Marketplaces achieved net revenues of $1.8 billion, up 17% on an FX neutral basis. This was driven by transaction revenue growth of 15% and marketing services revenue growth of 24% from our adjacent format. 
A few quick highlights on Marketplaces operational metrics. Sold items grew 11%, approximately 2 point acceleration from Q3 driven by growth in the U.K., China and the U.S. U.S. GMV grew 10%, driven by strong active user growth and category sales in fashion and parts and accessories. 
While growth was solid, GMV decelerated 4 points as exports to Europe slowed and ASPs declined, primarily driven by gold prices on the platform.  From a format perspective, U.S. fixed price growth was strong at 15% while auctions grew 2%. International FX neutral GMV grew 10%, driven by acceleration in APAC, strong and stable performance in the U.K. and continued sluggish growth in Germany. Marketplaces segment margin was 40.6% in the quarter, up 140 basis points from operating leverage. Now let's turn to our newest business unit, GSI. 
GSI had a great quarter. Revenue was $364 million, up 11%, which was driven by strong volume growth, partially offset by the mix of merchant sales. Adjusting for the impact of the continued shift of clients to the service fee model, year-over-year growth would have been 15%. Global e-commerce Merchandise Sales, or GMS, grew 26% on a same-store sales basis, which was driven by strong performance in toys and health and beauty verticals. And GSI marketing services, which is primarily demand-generation activities accounted for nearly 20% of GSI revenue and was up 35% in the quarter. 
A quick update on the unit, on the GSI integration. GSI's profitability is improving as we capitalize on the synergies we laid out earlier last year. The number of GSI merchant selling on eBay platform is now 13 and we have added 8 new merchants to the eBay platform since the acquisition. And we are increasing PayPal's ubiquity with 89% coverage of GSI volume and 13% share of checkout. We are 6 months post the acquisition of GSI and we're even more excited about the opportunities ahead. 
Turning to operating expenses. For the fourth quarter, there were 42% of revenue, slightly lower on a year-over-year basis. This was driven by the impact of GSI as well as improved productivity from operational excellence initiatives offset by investment in product and the customer experience. 
From a capital allocation perspective, we generated strong free cash flow of $2.3 billion in 2011, including almost $700 million in the fourth quarter. We've improved our financial flexibility by funding approximately 50% of the U.S. Bill Me Later loan receivables portfolio with our offshore cash. 
During the year, we invested approximately $3.4 billion to strengthen our portfolio with 3 acquisitions closing in the fourth quarter. For the full year, we repurchased 33.6 million shares for a total of 1.1 billion. 
We ended the year with cash, cash equivalents and nonequity investments of $7.5 billion, including approximately $1 billion in the U.S. Now let me turn to guidance. 
From a macro perspective, we are assuming a relatively stable outlook for the global economy. Current foreign exchange rates and a continued low interest rate environment. While we remain anxious about the European economy and the impact of weaker European currencies on a cross-border volume, we are bullish about growth prospects for web-enabled commerce overall and e-commerce in particular. 
From an operating perspective, we expect continued strong performance in PayPal, solid performance in Marketplaces with continued investment and platform in new products, strong performance at GSI driven by top line growth and synergy realization, and our effective tax rate to be at the 18.5% to 19.5% range for the year. For the full year 2012, we expect revenue of $13.7 billion to $14 billion, representing growth of 18% to 20%. 
We anticipate non-GAAP EPS of $2.25 to $2.30, representing growth of 11% to 13%. Our non-GAAP EPS growth of 12% is driven by several factors. First, we are expecting strong operating earnings growth of approximately 15% with improving segment margins at PayPal and GSI and stable margins at Marketplaces. Second, we've made several acquisitions in 2011 that we expect to contribute 4 points to the top line and 1 point of growth to earnings. Third, the strong U.S. dollar will negatively impact top and bottom line by approximately 3 points. Lastly, the low interest rate environment and the loss of our 30% portion of Skype's income will negatively impact our EPS growth by approximately 1 point. 
In summary, strong top and bottom line growth will be tempered by a stronger dollar and a weak interest rate environment. For the first quarter, we expect revenues of $3.05 billion to $3.15 billion, representing growth of 20% to 24%. And we anticipate non-GAAP EPS of $0.50 to $0.51, representing growth of 7% to 9%. EPS will grow slower in the first quarter than the full year due to a more seasonal business magnified by the addition of GSI and higher investments in the first half of the year. 
Let me take a minute and go back to our Analyst Day of a year ago. You may recognize Slide 19 from the Analyst Day deck where we initially laid out our expectations for 2013. I've updated this outlook to reflect our current view. 
First, we had strong momentum coming out of 2011. And secondly, we're expecting continued momentum in 2012 with a more diversified portfolio and a stronger set of assets. This has given us the confidence to raise the midpoint of our 2013 revenue guidance by approximately $550 million. Additionally, we are also increasing PayPal segment margin by 1 point to 25% to 26%. 
As a result of the strong top line growth and improved PayPal margins, we are raising the midpoint of our 3-year non-GAAP EPS CAGR by 1 point to 14% to 16%. 
So in summary, we had a strong close to a great year and are well-positioned to capitalize on the opportunities ahead in the external environment. We exceeded the commitments we laid out for you at the beginning of the year. PayPal continues its strong growth. Core eBay is healthy and getting stronger and the GSI integration is going well. 
We are executing our strategies with a sharp focus on operational excellence that's enabling us to deliver on our commitments while reinvesting in commerce innovation and the customer experience. We allocated our capital with discipline, closing 13 acquisitions, repurchasing 34 million shares and selling our remaining minority stake in Skype. And finally, we are more confident in our 3-year operating plan and are increasing the midpoint of our 2013 numbers. And now, we'd be happy to take your questions. Operator?"
27862,141379526,208346,"eBay Inc., Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,"Earnings Calls","eBay Inc.","Operator","[Operator Instructions] Our first question comes from Ross Sandler of RBC Capital Markets.",13,"[Operator Instructions] Our first question comes from Ross Sandler of RBC Capital Markets."
27862,141379526,208346,"eBay Inc., Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,"Earnings Calls","eBay Inc.","Analysts","I just got one question for Bob on margins and then one for John on user growth. Bob, you've done a nice job in turning the margins around in both Marketplaces and PayPal. Can you just give us a little bit more color on the sustainability of the margins a",111,"I just got one question for Bob on margins and then one for John on user growth. Bob, you've done a nice job in turning the margins around in both Marketplaces and PayPal. Can you just give us a little bit more color on the sustainability of the margins and specifically on the PayPal side prior to the margin increases from Durbin versus other efficiencies? And then John, on the user growth, you rolled out the advertising program in the U.S. in the fall of this year. Do you feel good about the 6% global user growth? Or do you expect that to potentially tick higher as we get into '12?"
27862,141379526,208346,"eBay Inc., Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,"Earnings Calls","eBay Inc.","Executives","Yes, thanks. First, just to clarify the great job on margins in the segments. That's attributable to the market price for the PayPal and GSI teams. I'm just adding up their performance. So I'll pass along your comment. Secondly for PayPal, we had a year-o",187,"Yes, thanks. First, just to clarify the great job on margins in the segments. That's attributable to the market price for the PayPal and GSI teams. I'm just adding up their performance. So I'll pass along your comment. Secondly for PayPal, we had a year-over-year roughly 5-point improvement in segment operating margins. And it's 2 fundamental things: one, transaction margins continue to improve and stay well above that 60% level that we laid out 3 years ago; and secondly, we're beginning to get the benefits of the operating leverage without constraining investments in new products and capabilities. So those are the 2 primary drivers. In terms of sustainability, implied in our guidance both for '12 and 2013 is PayPal's margins will continue to expand. Marketplaces margins will continue to stay relatively stable, consistent with 38% to 42% range that we provided at the beginning of last year and our expectations at GSI margins will continue to grow as well with leverage on existing infrastructure, a better mix with its fast-growing marketing services and the synergies that we're able to generate with GSI's part of the eBay portfolio."
27862,141379526,208346,"eBay Inc., Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,"Earnings Calls","eBay Inc.","Executives","And Ross, your second question on user growth and our advertising, as you know, in the fourth quarter I finally felt it was time to begin getting the message out about eBay, that our user experience have improved enough that getting the message out was ri",191,"And Ross, your second question on user growth and our advertising, as you know, in the fourth quarter I finally felt it was time to begin getting the message out about eBay, that our user experience have improved enough that getting the message out was right. We did some TV advertising around the Buy It New, Buy It Now and intended to begin to shift brand perception. To be clear, this is a longer term, this is the beginning that. That's not going to happen overnight. I am pleased that we added more new users in the fourth quarter to eBay than we've done in several years in that 6% growth, but we are just getting started. I'm sitting next to Devin Wenig who's the new President of Marketplaces division. He's made adding new divisions, one of this key tenets both in existing markets and in new markets. And so we think we have a very good user experience and we've -- you look to us the beginning it to be on offense of getting that message out both to our current users, the last users and increasingly to new users."
27862,141379526,208346,"eBay Inc., Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,"Earnings Calls","eBay Inc.","Operator","Our next question in queue comes from Scott Devitt.",9,"Our next question in queue comes from Scott Devitt."
27862,141379526,208346,"eBay Inc., Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,"Earnings Calls","eBay Inc.","Analysts","Two, if I could. John first. As you continue to position the question of assets of the technology platform for enabling commerce, I was just wondering what do you think the most important metrics or milestones are that we should look toward in measuring t",144,"Two, if I could. John first. As you continue to position the question of assets of the technology platform for enabling commerce, I was just wondering what do you think the most important metrics or milestones are that we should look toward in measuring the company again for aspirations for the next few years? And then secondly, a follow-up. On the marketing campaign, the turnaround in the business seemed to start with increased frequency amongst existing loyal customers and then with the marketing campaign launch, now that you've reinvigorated user growth, I guess the question is when would you anticipate a change in frequency amongst these new users? You saw as a long-term endeavor. Is it something that a couple quarters in post marketing campaigns that you start to see changes in frequency or is it a year out or is it something else?"
