"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
31860,281248700,749825,"Ametek Inc., Q4 2014 Earnings Call, Jan 28, 2015",2015-01-28,"Earnings Calls","AMETEK, Inc.","Operator","Ladies and gentlemen, thank you for standing by, and welcome to the AMETEK Q4 2014 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded on Wednesday, January 28, 2015. I would now like to turn the conference",56,"Ladies and gentlemen, thank you for standing by, and welcome to the AMETEK Q4 2014 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded on Wednesday, January 28, 2015. 
I would now like to turn the conference over to the Vice President of Investor Relations, Mr. Kevin Coleman. Please go ahead, sir."
31860,281248700,749825,"Ametek Inc., Q4 2014 Earnings Call, Jan 28, 2015",2015-01-28,"Earnings Calls","AMETEK, Inc.","Executives","Great. Thank you, Frank. Good morning, everyone. Welcome to AMETEK's Fourth Quarter Earnings Conference Call.Joining me this morning are Frank Hermance, Chairman and CEO; Bob Mandos, Executive Vice President and Chief Financial Officer; and Dave Zapico,",253,"Great. Thank you, Frank. Good morning, everyone. Welcome to AMETEK's Fourth Quarter Earnings Conference Call.
Joining me this morning are Frank Hermance, Chairman and CEO; Bob Mandos, Executive Vice President and Chief Financial Officer; and Dave Zapico, Executive Vice President and Chief Operating Officer.
AMETEK's fourth quarter results were released earlier this morning. These results are available electronically on market systems and on our website at the Investors section of ametek.com.
A tape of today's call can be accessed until February 11th by calling  (800) 633-8284 and entering the confirmation code number 21758655.
This conference call is also webcasted. It can be accessed at ametek.com and streetevents.com. The call will be archived on both of these sites.
I will remind you that any statements made by AMETEK during the call that are not historical in nature are to be considered forward-looking statements. As such, these statements are subject to change based on various risk factors and uncertainties that may cause actual results to differ significantly from expectations.
A detailed discussion of the risks and uncertainties that may affect our future results is contained in AMETEK's filings with the Securities and Exchange Commission. AMETEK disclaims any intention or obligation to update or revise any forward-looking statements.
I will also refer you to the Investors section of ametek.com for a reconciliation of any non-GAAP financial measures used during this conference call.
We will begin today with prepared remarks, and then we'll open it up for questions. I will now turn the meeting over to Frank."
31860,281248700,749825,"Ametek Inc., Q4 2014 Earnings Call, Jan 28, 2015",2015-01-28,"Earnings Calls","AMETEK, Inc.","Executives","Thank you, Kevin, and good morning, everyone. AMETEK had a strong fourth quarter to complete another excellent year in the quarter on an adjusted basis, we established records for operating income, net income, diluted earnings per share and operating cash",1903,"Thank you, Kevin, and good morning, everyone. AMETEK had a strong fourth quarter to complete another excellent year in the quarter on an adjusted basis, we established records for operating income, net income, diluted earnings per share and operating cash flow. In the fourth quarter, we incurred additional Zygo integration costs of approximately $0.01 per diluted share. Including the costs from the third quarter, total Zygo integration cost in 2014 are approximately $0.05 per diluted share. The additional fourth quarter integration costs increases the expected Zygo synergy benefit from $15 million to $20 million. All financial results and commentary on the call today will be on an adjusted basis, excluding these integration costs. 
Now on to the full year and fourth quarter results. For the full year 2014, we established records for essentially all key financial metrics, including orders, sales, operating income, operating margin, net income, diluted earnings per share and operating cash flow. Sales were up 12% for the year, orders were up 13%, operating income was up 13%, operating margins were 22.8% and diluted earnings per share ended at $2.42, a 15% increase over 2013's diluted EPS. In the fourth quarter, sales increased 9% to $1.02 billion. Organic growth was up 2% against the very difficult comparison in the fourth quarter of 2013 while acquisitions added 9% and foreign currency was a 2% headwind. Organic growth in the fourth quarter was excellent, with broad-based strength across our businesses. Overall orders were up 10% and organic sales were very strong, up 7% on orders. Operating income for the fourth quarter was very strong. It increased 10% to a record $232.3 million. Operating income margin in the quarter was also very strong at 22.7%, a 40 basis point improvement over the fourth quarter of 2013. Net income was up 14% to $155.2 million and diluted earnings per share of $0.63 were up 15% over last year's fourth quarter. Both net income and diluted earnings per share were records. Operating cash flow was $213.3 million in the fourth quarter. For the full year, cash flow was $726 million, up 10% over 2013. Free cash flow was excellent at 125% of net income in the fourth quarter and 112% of net income for the full year. And working capital is also very good at 17.1% of sales in the quarter. Included in our fourth quarter results is approximately $0.02 per diluted share of realignment costs, which will contribute an approximate $0.04 per diluted share benefit in 2015 and $0.06 per diluted share benefit in 2016. Considering these realignment costs, the quality of earnings in the fourth quarter was excellent. 
Now turning to the individual operating groups. The Electronic Instruments Group had a very strong fourth quarter and an excellent year. For the quarter, sales were up 14% to $644.4 million, driven by strong growth in our Aerospace business plus the contributions from the recent acquisitions. Internal growth was up 1% on a very difficult comparison, while acquisitions added 14% and foreign currency was a 2% headwind. EIG's operating income increased 11% to $168.1 million and operating margins were 26.1% in the quarter. Excluding the dilutive impact of the recent acquisitions, EIG operating margins were up 70 basis points over last year's fourth quarter. The Electromechanical Group also had a very good quarter. Sales were up 1% to $379.8 million on strong growth in our Precision Motion Control and Engineered Materials, Interconnect and Packaging businesses. Organic sales were up 3% and foreign currency was a 2% headwind. EMG's operating income increased 9% to $77 million and operating margins were very strong at 20.3% in the quarter, up 150 basis points from the previous year. 
Now turning to our Four Growth Strategies of Operational Excellence, Global and Market Expansion, New Product Developments and Strategic Acquisitions. First, I will touch on acquisitions. We have a very active year, acquiring 5 businesses, including [ph], VTI Instruments, AMETEK's, Zygo and AMPTEK. We deployed approximately $575 million in capital and acquired roughly $285 million in revenue in 2014. 
Over the last 18 months, we acquired 8 businesses, deployed nearly $1 billion in capital and acquired approximately $460 million in annual revenue. The integration of these acquired businesses is going very well. In addition to driving operational improvements and efficiencies, through leveraging our global capabilities, we are focused on achieving sales, market and technology synergies between the acquired businesses and our existing businesses. Acquisitions will continue to be a key focus for us during 2015 as we see this strategy as a key driver to the creation of shareholder value. We have a financial managerial capacity and disciplined approach to support this acquisition focus. Our balance sheet, cash flow and financial facilities provide us with ample liquidity also to pursue this strategy. 
Now turning to Global and Market Expansion. Global and market expansion continues to be an important contributor to our growth as we are increasingly expanding our presence in attractive, higher growth market segments and geographies. International sales represented 54% of our total sales in the fourth quarter and 55% of our total sales for the full year. We continued to make investments globally to develop and expand our sales channels, service capabilities and manufacturing footprint in order to position our businesses to capitalize on the attractive growth opportunities in these international markets. Providing customers with high-quality service capabilities is increasingly being viewed as a key differentiator for our product sales, especially in China, India and Southeast Asia. These investments are yielding strong results. In 2014, we saw excellent growth across the BRIC regions, with overall growth of 17% and organic growth up 10%. China was a key driver of this growth, up 13% organically in 2014. 
Now moving to New Products. New product development is a key internal growth driver and critical to our long term health and growth. We have consistently grown our investment in RD&E to ensure our businesses are developing the right products to serve our customers and markets. In 2014, we spent approximately $210 million on RD&E, which was up 17% from 2013 and in 2015, we expect to spend approximately $220 million. 
I'll now talk about some new product introductions that we've recently done. AMETEK instruments business recently launched our software recovery analyzer, the model 888 field gas analyzer. AMETEK is the clear market leader in sulfur recovery analysis, with over 1,000 analyzers installed worldwide with more than 100 million hours of run time. With the introduction of the new model 888 analyzer, we have taken sulfur recovery analysis to the next level. Our third generation analyzer offers advanced, predictive diagnostics, remote PC Web-enabled interface and enhanced safety features. 
In addition it automatically detects and takes immediate corrective action in response to commonly encountered external failure modes in the sulfur recovery process. 
AMETEK's research business introduced its new micro C series high-speed digital video cameras at the North America and Automotive Testing Expo in late 2014. These compact of the deal cameras feature a ruggedized design with the ability to withstand shocks up to 170 Gs. This makes it the ideal choice for any number of extreme applications, including onboard automotive crash testing. Digital high-speed video serves us 1 of the most valuable tools researchers have in conducting crash test analysis and the new myriad C-Series offers performance and image quality unsurpassed by our competition. Lastly, AMETEK industry recently launched their first about in Incorporated key technology acquired as part of the recent AMPTEK acquisition. AMPTEK, which we acquired in 2014, provides x-ray and gamma ray detectors used to identify the composition of materials. Utilizing AMPTEK's fast silicon drip detector technology, this new elemental analysis system delivers a compact and lightweight product that provides the level of measurements performance, including resolution and output rates that aligns extremely well with many industry applications. This new product is targeted at the industrial energy dispersive spectral analysis market and the tabletop scanning electron microscope market, both target markets for expansion. 
From an overall perspective, revenue from products introduced over the last 3 years was excellent at 25% of sales in the quarter and 23% for the full year. This reflects the tremendous work of our businesses in developing the right products to serve their customers. 
Lastly, I will touch on Operational Excellence. Operational Excellence is the cornerstone strategy for AMETEK, our focus on cost and asset management remains a key driver to both our competitive and financial success. We continue to see tremendous results from our Operational Excellence initiatives as is evidenced by our record operating performance, strong operating margins and excellent working capital levels. Our management teams and employees continue to do an excellent job driving continual operational improvements through their businesses by leveraging the Operational Excellence tools we have in place throughout the company. OpEx include Lean Manufacturing, Six Sigma in our factories and back-office operations, Design for Six Sigma in our New Product Development efforts, global sourcing and strategic procurement initiatives, movement of production to low-cost locales and value engineering. Overall, we realized approximately $100 million in savings in 2014 through our various Operational Excellence initiatives. The largest contributor to this was our global sourcing office and strategic procurement activities where we recognized $19 million in savings in the fourth quarter and over $70 million in savings for all of 2014. 
For 2015, we expect approximately $110 million in total savings through our Operational Excellence initiatives, including $70 million in savings through our global sourcing office and strategic procurement initiatives. Included in this overall 2015 savings amount is approximately $13.5 million of savings from the realignment costs included in our fourth quarter results. 
Turning now to the outlook for 2015. We expect our businesses overall to show solid growth during 2015, with balanced organic growth across both operating groups. We anticipate 2015 revenue to be up mid-single digits on a percentage basis from 2014. Organic growth is expected to be up low- to mid-single digits for all of AMETEK and for both operating groups. Earnings for 2015 are expected to be in the range of $2.58 to $2.63 per diluted share, up 7% to 9% over 2014, reflecting the leverage impact of core growth, our Operational Excellence initiatives and the benefit of contributions from recent acquisitions. First quarter 2015 sales are expected to be up mid-single digits from last year's first quarter. We estimate our earnings to be approximately $0.61 to $0.63 per diluted share, up 7% to 11% over last year's first quarter. Our solid backlog, strong portfolio of businesses, proven Operational Excellence capabilities and a successful focus on Strategic Acquisitions should enable us to perform well in 2015. 
So in summary, our overall businesses performed very well in the fourth quarter and in 2014, producing records for essentially all key financial metrics on an adjusted basis. Our team did an excellent job navigating the modest worldwide growth environment. We are able to deliver exceptional operating results through our focus on executing our growth strategies. Our balance sheet remains strong and our significant cash flow generation provides us with plenty of liquidity to operate the business and pursue our acquisition strategy. We remain committed to making sizable investments in New Product Development, as well as, Global and Market Expansion to position ourselves for future growth. We really look forward to another successful year in 2015. Bob will now cover some of the financial details and then we'll be very glad to answer your questions."
31860,281248700,749825,"Ametek Inc., Q4 2014 Earnings Call, Jan 28, 2015",2015-01-28,"Earnings Calls","AMETEK, Inc.","Executives","Thank you, Frank. As Frank noted, we had an excellent fourth quarter with strong operating performance and an excellent quality of earnings. I will provide some further details. In the quarter, organic selling expenses were up less than organic sales on a",591,"Thank you, Frank. As Frank noted, we had an excellent fourth quarter with strong operating performance and an excellent quality of earnings. I will provide some further details. In the quarter, organic selling expenses were up less than organic sales on a percentage basis. General and administrative expenses were up 8% over last year's fourth quarter, driven by a contribution to the AMETEK charitable foundation in the fourth quarter. 
As a percentage of sales, general and administrative expenses were 1.2% of sales, in line with last year's fourth quarter. In the fourth quarter, total other expenses were down approximately $4.5 million versus the fourth quarter of 2013. This $0.01 per diluted share benefit was more than offset by realignment costs of $0.02 per diluted share taken in the fourth quarter resulting in a high-quality of earnings. The effective tax rate for the quarter was 27.1%, essentially in line with last year's fourth quarter of 27.2%. We are very pleased with the success of our ongoing international and state tax planning initiatives. For 2015, we estimate our tax rate to be between 28% and 29%. As we've said before, actual quarterly tax rates can differ dramatically be it positively or negatively on this full year rate. Overall, our quality of earnings was excellent in the quarter. 
On the balance sheet, working capital, defined as receivables plus inventory less payables, was a very strong 17.1% of sales in the fourth quarter and 17.6% for the full year. We remain 1 of the top performers in our peer group and our working capital performance is a direct reflection of the tremendous drives our business units have taken in driving towards operating excellence. Strong working capital management will remain a key priority. Capital spending is $24 million for the quarter and $71 million for the full year. Full year 2014 capital expenditures were 1.8% of sales. 2015 capital expenditures are expected to be approximately $75 million. Depreciation and amortization was $36 million for the quarter and $139 million for the full year. 2015 depreciation and amortization is expected to be approximately $150 million. 
Our cash flow was excellent in the quarter and for the full year. Operating cash flow for the quarter and full year were records. In the fourth quarter, operating cash flow was $213 million and free cash flow was $189 million, representing 125% of net income. Full year operating cash flow was $726 million, up 10% over 2013. And full year free cash flow was $65 million or 112% of net income. Our strong cash flow was deployed to support our acquisition strategy, where we expended approximately $575 million on transactions in 2014. 
In addition, in the fourth quarter, we repurchased approximately 4.7 million shares of stocks for approximately $243 million. These repurchases were in line with our stated strategy to offset the dilutive impact of our benefit plans with opportunistic share repurchases. 
Total debt was $1.71 billion at December 31, up approximately $300 million from 2013 year end, driven largely by acquisitions and share repurchases. Offsetting this debt is cash and cash equivalents of $378 million, resulting in a net debt-to-capital ratio at December 31 of 29.2%. At December 31, we had approximately $1.2 billion of cash at existing credit facilities to fund our growth initiatives. Our highest priority for capital deployment remains acquisitions. 
In summary, we had an outstanding 2014, establishing records for essentially all of the key financial metrics. We are well positioned for further growth, both organically and through acquisitions with a strong balance sheet and cash flow."
31860,281248700,749825,"Ametek Inc., Q4 2014 Earnings Call, Jan 28, 2015",2015-01-28,"Earnings Calls","AMETEK, Inc.","Executives","Great. Thank you, Bob. We'll now open it up for questions.",11,"Great. Thank you, Bob. We'll now open it up for questions."
31860,281248700,749825,"Ametek Inc., Q4 2014 Earnings Call, Jan 28, 2015",2015-01-28,"Earnings Calls","AMETEK, Inc.","Operator","[Operator Instructions] Our first question comes from that line of Allison Poliniak with Wells Fargo.",15,"[Operator Instructions] Our first question comes from that line of Allison Poliniak with Wells Fargo."
31860,281248700,749825,"Ametek Inc., Q4 2014 Earnings Call, Jan 28, 2015",2015-01-28,"Earnings Calls","AMETEK, Inc.","Analysts","So obviously can't let this call get away without talking about energy. Frank, can you give us a sense of what you're seeing out there today and how we should think about '15 in the parameters of what you talked about with guidance?",44,"So obviously can't let this call get away without talking about energy. Frank, can you give us a sense of what you're seeing out there today and how we should think about '15 in the parameters of what you talked about with guidance?"
31860,281248700,749825,"Ametek Inc., Q4 2014 Earnings Call, Jan 28, 2015",2015-01-28,"Earnings Calls","AMETEK, Inc.","Executives","Sure, Allison. In essence, we have included in our estimates what we believe is going to be the impact of oil prices falling to the levels that they're at, which is obviously a very depressed level. If you look at our business, we have about $125 million",187,"Sure, Allison. In essence, we have included in our estimates what we believe is going to be the impact of oil prices falling to the levels that they're at, which is obviously a very depressed level. If you look at our business, we have about $125 million of our business that is focused on Upstream oil and gas. And in total, if you look at the amount of business when you include the downstream and the midstream piece, it's about $400 million. We've done a rollout, we estimate that the impact on our business is going to be about $40 million in sales. As I mentioned, that's included in our estimates. The majority of that is in that $125 million Upstream part of the business. So we believe we have the impacts covered. There will be a counter effect that's positive that is difficult to predict in terms of the fact what the magnitude will be but there should obviously be a positive impact on the U.S. economy that should result from this reduction in oil prices. But we haven't assumed any of that in our estimates."
31860,281248700,749825,"Ametek Inc., Q4 2014 Earnings Call, Jan 28, 2015",2015-01-28,"Earnings Calls","AMETEK, Inc.","Analysts","That's great and then just touching on your EBITDA expectations for 2015 and we continue to hit new highs. How should we think about 2015 just given the next year business now?",33,"That's great and then just touching on your EBITDA expectations for 2015 and we continue to hit new highs. How should we think about 2015 just given the next year business now?"
31860,281248700,749825,"Ametek Inc., Q4 2014 Earnings Call, Jan 28, 2015",2015-01-28,"Earnings Calls","AMETEK, Inc.","Executives","Yes, another great question, Allison. We have rolled up in a very detailed manner the budget for 2015. And although our margins are very good and very high, we do expect that we can continue to expand margins and we're estimating a 30 to 40 basis point im",279,"Yes, another great question, Allison. We have rolled up in a very detailed manner the budget for 2015. And although our margins are very good and very high, we do expect that we can continue to expand margins and we're estimating a 30 to 40 basis point improvement in margins for 2015 over 2013 or '14. And the drivers for that are really 2 things. 1, is the fact that we expect organic growth in 2015 to basically have a very high contribution margin going to the bottom line. As you've heard us speak before, our contribution margins are very good. In 2014, the actual contribution margin for the company was actually greater than 40%. We have told you to estimate 35% for our contribution margins, but we tend to outperform that so you take that organic growth and that will go to the bottom line through that contribution margin and thus, that will be a lift on the margin performance of the company. The second thing is our very aggressive cost reduction activities. You heard in my opening comments that we're I would say conservatively expecting $110 million of cost improvements going through the P&L in 2014. We've been aggressive on the cost side. You heard the $0.02 of realignment cost that we put in the fourth quarter. As we saw the price of oil go down and we saw some of the FX impacts, we decided to take a bit aggressive stance in terms of additional cost reductions. So we're pretty confident in that $110 million of savings. And you sum those 2, and that leads to basically the 30 to 40 basis points of margin improvement."
