"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
29726,280547338,751647,"Biogen Idec Inc., Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Biogen Inc.","Operator","Good afternoon. My name is Cortney, and I will be your conference operator today. At this time, I would like to welcome, everyone to the Biogen Idec Fourth Quarter and Year End 2014 Earnings Conference call. [Operator Instructions] Thank you. Carlo Tanzi,",51,"Good afternoon. My name is Cortney, and I will be your conference operator today. At this time, I would like to welcome, everyone to the Biogen Idec Fourth Quarter and Year End 2014 Earnings Conference call. [Operator Instructions] Thank you. Carlo Tanzi, Director of Investor Relations, you may begin your conference."
29726,280547338,751647,"Biogen Idec Inc., Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Biogen Inc.","Executives","Thank you, and welcome to Biogen Idec's fourth quarter and full year 2014 earnings conference call.Before we begin, I encourage everyone to go to the Investors section of biogenidec.com to find the press release and related financial tables, including a",198,"Thank you, and welcome to Biogen Idec's fourth quarter and full year 2014 earnings conference call.
Before we begin, I encourage everyone to go to the Investors section of biogenidec.com to find the press release and related financial tables, including a reconciliation of the non-GAAP financial measures that we'll discuss today. 
Our GAAP financials are provided in Tables 1 and 2.
Table 3 includes a reconciliation of our GAAP to non-GAAP financial results. We believe non-GAAP financial results better represents the ongoing economics of our business and reflects how we manage the business internally. We have also posted slides on our website that follow discussions related to this call.
I would like to point out that we'll be making forward-looking statements, which are based on our current expectations and beliefs. These statements are subject to certain risks and uncertainties, and our actual results may differ materially. I encourage you to consult our SEC filings for additional details.
On today's call, I'm joined by our Chief Executive Officer, Dr. George Scangos; Dr. Doug Williams, EVP of Research and Development; Tony Kingsley, EVP of Global Commercial Operations; and our CFO, Paul Clancy.
Now I'll turn the call over to George."
29726,280547338,751647,"Biogen Idec Inc., Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Biogen Inc.","Executives","Thanks, Carlo. Good afternoon, everyone. Thank you for joining us today. Sorry, we had to move the call at the last minute but as you can imagine, things  were a little chaotic yesterday morning in Boston. I think we've optimally positioned between the Bl",852,"Thanks, Carlo. Good afternoon, everyone. Thank you for joining us today. Sorry, we had to move the call at the last minute but as you can imagine, things  were a little chaotic yesterday morning in Boston. I think we've optimally positioned between the Blizzard and the discussions that were starting today so you guys have something to fill your -- the void. 
But 2014 I think was a very successful year for Biogen Idec. We brought several new therapies of the market. We had encouraging data from some of the compounds in our pipeline. And importantly, we delivered 40% revenue growth and 54% non-GAAP EPS growth compared to 2013. 
In 2014, we launched 4 new products in 2 distinct therapeutic areas. I think it's a real accomplishment for our company of our size. TECFIDERA is in its second year on the market in the U.S. and 2014. We successfully launched TECFIDERA in the EU and are continuing to expand the presence across the globe. TECFIDERA is now the most prescribed MS therapy in Germany and the most prescribed oral therapy in the U.S. More than 135,000 people have been treated worldwide. As you all know from the IMF data, TECFIDERA did experience moderating growth in Q4, which we believe is due to to a variety of factors that Tony will discuss in more detail. However, we believe that TECFIDERA will continue to grow in the U.S. and will grow substantially in international markets so that we anticipate 2015 will be another year of meaningful growth for TECFIDERA and for our portfolio of MS products in general. PLEGRIDY was approved treatment of relapsing MS and launched in both the U.S. and EU in the second half of 2014. Although we're early in the launch, PLEGRIDY appears to be gaining rapid adoption. PLEGRIDY is an important part of our strategy to maintain our leadership position in the interferon segment of the MS market. We also obtained approval and subsequently launched our hemophilia products in the U.S. in 2014, ALPROLIX for hemophilia B and ELOCTATE for hemophilia A. ALPROLIX and ELOCTATE represent the first meaningful innovations in the treatment of hemophilia in many years and reflect our mission to help bring new therapies to patients who are underserved. 
In our pipeline, we had several potential therapeutic options across a broad set of disease areas. Along with our collaboration partner, Abby, we reported positive results from the Phase III trial of ZINBRYTA for relapsing forms of MS and expect to file marketing authorization in the first half of the year. 
We believe ZINBRYTA has the potential to become another important treatment option to serve the diverse needs of MS patients. Our collaboration partner, Isis, advanced its final muscular atrophy program, SMNRx, to Phase III in both infant and childhood forms of the disease. In December, we announced positive top line results from the Phase 1b trial of the BIIB037 in patients with Alzheimer's disease. These data are early but we believe they're compelling and we're aggressively working to advance this program into Phase III. And early this month, we announced Phase II results for our antilegal antibody in acute optic neuritis. We believe that the data strongly suggest that our antilegal antibody induced remyelination will now focus on the data from the MS trial, which we expect to have an early 2016. Throughout 2014, we also continue to build our research and development capabilities by hiring a number of highly accomplished researchers from both academia and industry and I believe that we now have truly world-class capabilities across the breadth of R&D. That has been our goal for a number for years and it's rewarding to have made such significant progress this year. 
In 2014, we increased the number of promising assets in our pipeline through strategic acquisitions and collaborations with a number of partners, including Sangamo, Eisai and most recently, Convergence and San Raffaele Hospital. We also made significant progress in advancing our internally developed candidates for the clinic, including 61 and oil compound development with the objective and has a remyelination. Additionally, phase 1 studies are ongoing for several novel formulations of dimethyl fumarate, the active ingredient of TECFIDERA, with the goal of achieving once a day dosing and potentially reducing side effects. We've not analyze data from these trails hope is the move 1 or more of these formulations forward towards co-approval. Our by similar joint venture, Samsung Bioepis, continues to make important progress towards our objective of becoming a leader in the development of biosimilar pharmaceuticALS. PMEA recently accepted our application for approval of a biosimilar version of intercept we believe that we're making excellent progress in other biosimilar molecules as well. Thorugh this, we intend then to high-quality biosimilar pharmaceutical by utilizing our world-class protein engineering and biologics manufacturing capabilities. It's our belief that biosimilars will become increasingly important in the world of healthcare and we believe that we're well positioned to contribute to this evolution. So all in all, it was a very busy and a very good year and with that, I'll now turn the call over to Doug."
29726,280547338,751647,"Biogen Idec Inc., Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Biogen Inc.","Executives","Thanks, George. Biogen Idec has a strong and increasingly diverse pipeline. I'd like to discuss several of our ongoing programs and the progress we're anticipating during the upcoming year. Our Phase III study of TYSABRI in secondary progressive MS know",577,"Thanks, George. Biogen Idec has a strong and increasingly diverse pipeline. I'd like to discuss several of our ongoing programs and the progress we're anticipating during the upcoming year. 
Our Phase III study of TYSABRI in secondary progressive MS known as ASCEND is fully enrolled. There's no effective therapies available today for this progressive and debilitating form of MS. ASCEND is a 2-year placebo-controlled study in 890 patients that will determine whether or not TYSABRI has an impact on disability progression as measured by a novel composite endpoint. The study is being conducted under a Special Protocol Assessment with FDA and we expect the data from ascend IN the second half of 2015. We're also conducting action, which is a Phase II study evaluating TYSABRI in acute ischemic stroke. In this study, we're examining if blocking the lymphocytic infiltration known to occur in the brain following stroke can reduce the extent of injury. Action is a placebo-controlled study in 160 patients, where brain imaging is used to measure the change in infarct volume compared to baseline. Action is fully enrolled and we expect data later this year. We previously discussed our positive top line interim Phase 1b results for BIIB037 in Alzheimer's disease. Additional BIIB037 study data will be presented at the upcoming ADPB meeting in March. The Phase 1b BIIB037 study remains ongoing and our current plan is to initiate our Phase III program later this year. We also recently announced Phase II from the anti-LINGO renew study in acute optic neuritis. We hope to present full data from RENEW at the upcoming American Academy of Neurology meeting in April. A second ongoing Phase II study evaluating anti-LINGO in MS patients is fully enrolled, and we anticipate obtaining results in 2016 as previously disclosed. We continue to develop Neublastin as a novel biologic therapy for neuropathic pain. Our Phase II study in patients with painful lumbar will evaluate whether or not Neublastin has an impact on pain intensity scores. The study is now fully enrolled and results are anticipated in the second half of this year. 
Enrollment in our STX-100 Phase IIa study in idiopathic pulmonary fibrosis continues. And the study is currently enrolling a fourth potentially final patient cohort. Through our collaboration with Eisai, have obtained codevelopment and Co. commercialization rights to 2 Alzheimer's disease candidates, BAN2401 an anti-amyloid beta monoclonal antibody and E2609, a small molecule base inhibitor. BAN2401 is enrolling patients in Phase 2 and Eisai has initiated a Phase II study with E2609 in patients with in mild cognitive impairment due the Alzheimer's disease. We've also made progress in strengthening our pipeline through business development and earlier this month, we announced our agreement to acquire Convergence, a leader in the development of therapeutics for neuropathic pain. Convergence's lead program, CNV1014802 is a small molecule inhibitor of the 1.7 channel that's being developed for trigeminal neuralgia. Following completion of the acquisition, we expect to work expeditiously to advance 802 into registerational clinical programs. This morning, we announced a collaboration with San Raffaele Hospital in Milan, Italy to develop gene therapy for both hemophilia A and B. Our collaborators at San Raffaele are leaders in the use of base gene therapy approaches.
While this technology remains an early research, we believe gene therapy has the potential to provide lifelong benefits to patients with hemophilia. We look forward to continuing to drive our &D progress during the year. I'll now pass the call to Tony."
29726,280547338,751647,"Biogen Idec Inc., Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Biogen Inc.","Executives","Thanks, Doug. We launched 4 new products in 2014 and I'm proud that the execution of the commercial organization. In 2014, we continue to grow our global MS market share, fueled by the continued rollout of TECFIDERA worldwide, the improving performance",627,"Thanks, Doug. We launched 4 new products in 2014 and I'm proud that the execution of the commercial organization. 
In 2014, we continue to grow our global MS market share, fueled by the continued rollout of TECFIDERA worldwide, the improving performance from TYSABRI and continued strength from our interferon business, including the recent launch of PLEGRIDY. Over the past 6 months, our data suggests that our portfolio has consistently captured roughly half of all newly diagnoses patients and the switch patients at the U.S. TECFIDERA continued to demonstrate strong performance, which we believe is a testament to its attractive about profile combining strong efficacy, favorable safety and tolerability and the convenience of oral administration. We believe TECFIDERA is on track to become the most prescribed therapy for MS worldwide. 
In the U.S., we saw a continued growth for the fourth quarter with its market share near 20%. As you may have seen through IMS, we observed moderating new starts for TECFIDERA in the fourth quarter. We believe several factors have impacted the recent performance of TECFIDERA, including a decline in the overall markets switch rate, the U.S. label update in December and the recent launch of PLEGRIDY, which is capturing some interferon switches that otherwise may have gone to TECFIDERA. Importantly, we have not noticed a meaningful change in TECFIDERA discontinuation rates. We are actively engaging physicians to ensure proper education on the label update, and we believe in the continued growth potential of the product in the U.S. Outside of the U.S., very continuing to see strong uptake in multiple launch markets, matching or exceeding the pace that we've seen in the U.S. In November, we launched TECFIDERA with full reimbursement in the U.K. and as of January, we secured reimbursement in both Italy and Spain. We continue to expect to achieve full reimbursement across the other major European markets by the end of the year. We believe that PLEGRIDY may become the interferon of choice based on its combination of efficacy, a favorable safety profile and every-2-week dosing with a convenient subcu autoinjector. Today, roughly half of PLEGRIDY prescriptions have come from AVONEX switches. The other half have come from other therapies and from newly diagnosed patients, which we believe is a positive message about the therapy's broad appeal. The rollout of the PLEGRIDY is expected to continue across Europe in 2015, with launches in most of the major markets anticipated by the end of the year. TYSABRI continues to perform well as the therapy enjoyed its third consecutive quarter of positive net new patient ads, even as the oral therapies have continued to gain share. We believe that this performance is due to the high level of efficacy that TYSABRI provides to patients. 
Turning to our hemophilia products. We continue to believe that reduced infusion frequency is the largest unmet need for the hemophilia community and that ALPROLIX and ELOCTATE meaningfully address this burden. We are encouraged by the strong uptake of ALPROLIX in the U.S. We believe its value proposition to patients has been relatively straightforward as the majority of patients starting on ALPROLIX have been choosing that once weekly prophylaxis dosing schedule. ALPROLIX ended the year with its market share in the low teens with over 60% of hemophilia treatment centers prescribing the product. 
The U.S. launch of ELOCTATE has been proceeding to plan and in the year, with share in the mid-single digits with over 60% of hemophilia treatment centers prescribing after 2 quarters on the market. As we expected, the hemophilia A market has been more competitive than hemophilia B. Acquiring additional patients will require sustained educational and promotional efforts but we believe we have the ability to execute on this strategy. 
I will now pass the call to Paul."
29726,280547338,751647,"Biogen Idec Inc., Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Biogen Inc.","Executives","Thanks, Tony. Our GAAP diluted earnings per share were $3.74 in the fourth quarter and $12.37 for the full year. Non-GAAP diluted earnings per share in the fourth quarter were $4.09 and $13.83 for the full year. Total revenue for the fourth quarter grew 3",1150,"Thanks, Tony. Our GAAP diluted earnings per share were $3.74 in the fourth quarter and $12.37 for the full year. Non-GAAP diluted earnings per share in the fourth quarter were $4.09 and $13.83 for the full year. Total revenue for the fourth quarter grew 34% to approximately $2.6 billion and grew 40% for the full year to $9.7 billion. 
Global fourth quarter TECFIDERA revenue was $916 million. We recorded revenues of $743 million in the U.S. and $173 million outside the U.S. 
TECFIDERA U.S. sales included 14 shipping weeks in the fourth quarter. This added approximately $50 million to  U.S. sales. Foreign exchange offset by hedging, weakened TECFIDERA revenue by approximately $7 million for the quarter versus prior quarter. Our estimate is that we ended the quarter with approximately 2.5 weeks of inventory in the U.S. wholesale channel, a similar level to last quarter. For the full year, worldwide TECFIDERA revenues were $2.9 billion, consisting of $2.4 billion in the U.S. and $483 million in sales outside the U.S. Interferon revenues, including both Avonex and PLEGRIDY were $777 million during the fourth quarter, which includes $528 million in the U.S. and $249 million in sales outside the U.S. 
For the full year, worldwide interferon revenue grew 2% to $3.1 billion consisting of $2 billion dollars in the U.S. and $1.1 billion in sales outside the U.S. 
AVONEX U.S. sales included 14 shipping weeks in the fourth quarter, which added approximately $35 million to the U.S. sales. Foreign exchange offset by hedging, weakened Q4 interferon revenue by approximately $9 million versus prior quarter. TYSABRI worldwide revenue was $484 million in the fourth quarter. These results were comprised of $266 million in the U.S. and $218 million internationally. TYSABRI U.S. sales included 13 shipping weeks in the fourth quarter versus 14 in Q3. Foreign exchange offset by hedging weakened TYSABRI revenue by approximately $9 million for Q4 versus Q3. 
For the full year, worldwide TYSABRI revenue was approximately $2 billion, of which U.S. revenue was $1 billion and $934 million internationally. 
Moving to hemophilia. ALPROLIX revenue in Q4 was $40 million and $76 million since being launched in May. And ELOCTATE revenue in Q4 was $37 million and $58 million since being launched in July. 
Turning to our anti-CD20, on consolidated joint business, which includes RITUXAN and GAZYVA U.S. profit share, as well as the profit share and royalties on sales of rituximab outside the U.S. We recorded $305 million for Q4 and $1.2 billion for the full year. Royalties were $31 million for Q4 compared to $67 million in the prior quarter. Our royalty revenues from ended on December 15 with the patent expiration. For the full year, royalty revenues were $177 million. 
Now turning to the expense lines on non-GAAP P&L. Q4 non-GAAP cost of good sold were $297 million or 11% of revenue. For the full year, non-GAAP COGS were $1.2 billion or 12% of revenues. Q4 non-GAAP R&D expense was $499 million or 19% of revenue, which includes approximately $50 million in milestones and other payments-related primarily to our JV with Samsung Bioepis and our recent collaboration with Google Docs Life Sciences. For the full year, non-GAAP R&D expense was $1.9 billion or 19% of revenue, an increase of 31% over 2013. 
Q4 non-GAAP SG&A expense was $573 million or 22% of revenue. And the full year, non-GAAP SG&A expense was $2.2 billion or 23% of revenue, an increase of 30% over 2013. 
Our Q4 non-GAAP tax rate was approximately 24% for the fourth quarter as we benefited from the reinstated R&D tax credit. Our full year tax rate was approximately 25%. During the quarter, we made a $200 million CVR payments to the former shareholders of [indiscernible].  And in Q4 part of our ongoing sure stabilization plan, we repurchased 1.7 million shares for a total of approximately $527 million. Our weighted average diluted shares at the end of the year were 237 million and we ended the year with approximately $3.3 billion in cash and marketable securities, split approximately 50%-50% between the U.S. and ex-U.S. This brings us to our non-GAAP dilutive earnings per share, which again were $4.09 for the fourth quarter and $13.83 for the full year, representing a 54% year-over-year increase. 
Let me turn to our full year 2015 guidance. In 2013, we plan to provide annual guidance and 1 update per year during our second quarter earnings. This modest change is intended to synchronize with our internal planning processes and ensure a continued focus in the long-term. 
Now starting with revenues. We expect the revenue growth between 14% and 16%. Before I provide color on the products, I'd like to highlight 3 factors: First, our plan assumes exchange rates at the recent spot rate; second, as a reminder, we expect the year-over-year decrease in royalty revenue of approximately $130 million as the royalties on sales have expired; and third, our plan assumes our 1 year of free pricing in Germany for TECFIDERA will end this March and move to a lower price. 
Now let me characterize how we're thinking about each of our products. Our plan assumes TECFIDERA will represent the largest contributor to our overall revenue growth. In Europe, our plan assumes TECFIDERA will have full reimbursement in the majority of the EU market. For TYSABRI, we believe the therapy will continue on a positive patient growth trajectory. We continue to be in discussions with to resolve the outstanding periods yet a settlement is not included in our 2015 guidance. We believe we're well positioned with PLEGRIDY within the interferon and combined with AVONEX, our plan assumes we'll continue to gain share within this declining segment. 
For our MS therapies, our plan assumes a constant number of shipping weeks of 13 for each of the 4 quarters in 2015. We believe ALPROLIX and ELOCTATE will continue to grow at a strong pace as we continue to focus on expanding the depth and breadth of the therapies. Our 2015 plan assumes revenues related to RITUXAN and GAZYVA will grow modestly. R&D expense is expected to be between 19% and 20% of sales, which includes approximately $250 million earmarked for business development activity, a similar level of spend when compared to  2014. SG&A expense is expected to be approximately 20% to 21% of revenue. As we're now through the commercial ramp of both TECFIDERA and hemophilia therapies, we anticipate over 200 basis point improvement in SG&A year-over-year. We anticipate non-GAAP EPS results between $16.60 and $17 and GAAP EPS to be between $15.45 and $15.85. 
From a cash prospective, we expect to pay over $1 billion in CVR payments to Fumapharm related to the sales of TECFIDERA. And we anticipate capital expenditures of approximately $400 million to $450 million, an increase over 2014 as we invest in our manufacturing capabilities and IT infrastructure. 
I'll turn the call over to George for his closing comments."
29726,280547338,751647,"Biogen Idec Inc., Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Biogen Inc.","Executives","Okay, thank you, Paul. In closing, we had a very productive year. We gained regulatory data protection for TECFIDERA in the EU and subsequently launched in Europe. We launched PLEGRIDY in the U.S. and Europe and ELOCTATE and ALPROLIX in the U.S., as well",252,"Okay, thank you, Paul. In closing, we had a very productive year. We gained regulatory data protection for TECFIDERA in the EU and subsequently launched in Europe. We launched PLEGRIDY in the U.S. and Europe and ELOCTATE and ALPROLIX in the U.S., as well as some other countries. We had a good year commercially and financially and we received positive results in some of the important compounds in our pipeline. 
We started out 2015 with the agreement to acquire Convergence and a collaboration with San Raffaele Hospital and we expect to complete additional business development transactions during the year. 
We also expect to see pipeline readouts for several compounds. In addition to the presentations of the data for BIIB037 and the anti-LINGO antibody expected in March and April and the completion of the TYSABRI SPMS trials, we expect to see mid-stage data for Neublastin and neuropathic pain and TYSABRI in stroke. So this will be another busy year with meaningful milestones. We have aggressive goals in all aspects of the business and we'll continue to do our best to achieve them. 
So in closing and as always, I'd like to thank our employees for dedicated to make a positive impact on patients' lives and the patients and physicians who are involved in our clinical development programs. So the achievements we have made together could not have been realized without their passion and commitment. 
So thank you, all, for joining us this afternoon. And operator, we'll now open up the call for questions."
29726,280547338,751647,"Biogen Idec Inc., Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Biogen Inc.","Operator","[Operator Instructions] Your first question comes from that line of Eric Schmidt with Cowen.",14,"[Operator Instructions] Your first question comes from that line of Eric Schmidt with Cowen."
29726,280547338,751647,"Biogen Idec Inc., Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Biogen Inc.","Analysts","Maybe for Paul on the ex-U.S.TECFIDERA trajectory. It sounds like the drug's now #1 in Germany and that you're quite optimistic for a lot of growth ex-U.S. and 2015 yet I think the numbers came out a little bit below consensus. You flagged the $7 million",68,"Maybe for Paul on the ex-U.S.TECFIDERA trajectory. It sounds like the drug's now #1 in Germany and that you're quite optimistic for a lot of growth ex-U.S. and 2015 yet I think the numbers came out a little bit below consensus. You flagged the $7 million FX hit but was there anything else on TECFIDERA that created maybe a little bit of the weaker ex-U.S. sales number?"
29726,280547338,751647,"Biogen Idec Inc., Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Biogen Inc.","Executives","No, nothing meaningful ex-U.S. We're happy with how moving alone ex-U.S. as you have noted. Our challenge to organization is that every country that we get reimbursement in we do better than the prior. We actually were able to do better in terms of launch",93,"No, nothing meaningful ex-U.S. We're happy with how moving alone ex-U.S. as you have noted. Our challenge to organization is that every country that we get reimbursement in we do better than the prior. We actually were able to do better in terms of launch curve, the timing call to 0 and in Germany than the United States. And we hope to date as we going to go to every other country. That's obviously an aspiration more than anything else. So nothing too meaningful in terms of the trends that  to point out."
