"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
35000,280899937,756280,"Symantec Corporation, Q3 2015 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","Gen Digital Inc.","Operator","Good day, and welcome to the Symantec's Third Quarter 2015 Earnings Conference Call. Today's call is being recorded. At this time, I would like to turn the call over to Ms. Helyn Corcos, Vice President of Investor Relations. Please go ahead.",41,"Good day, and welcome to the Symantec's Third Quarter 2015 Earnings Conference Call. Today's call is being recorded. At this time, I would like to turn the call over to Ms. Helyn Corcos, Vice President of Investor Relations. Please go ahead."
35000,280899937,756280,"Symantec Corporation, Q3 2015 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","Gen Digital Inc.","Executives","Good afternoon, and thank you for joining our call to discuss third quarter 2015 earnings results. By now, you should have had the opportunity to review our earnings release and supplemental information. We've also posted a presentation that complements o",370,"Good afternoon, and thank you for joining our call to discuss third quarter 2015 earnings results. By now, you should have had the opportunity to review our earnings release and supplemental information. We've also posted a presentation that complements our prepared remarks. If you have not reviewed these documents, they can be found on the Investor Relations homepage. A copy of today's prepared remarks will be available on the website after our call is completed.  Participants on today's call are Mike Brown, Symantec's President and CEO; and Thomas Seifert, Executive Vice President and CFO. This is a live call and will be available for replay via webcast on our website. 
I'd like to remind everyone that we provide year-over-year constant currency growth rates in our prepared remarks except for statements about net income and EPS. All references to financial metrics are non-GAAP unless otherwise stated. Also, implied billings refer to revenue plus the change in sequential deferred revenue, and we've provided a trended history of this metric in our supplemental information in both as-reported and at constant currency rates.
I'd like to take this opportunity to highlight a few dates for you. Mike will be presenting at the Goldman Sachs Technology Conference on February 11, and we will be holding our Financial Analyst Day in New York on April 17. We intend to announce our fourth quarter earnings on May 14. Please note non-GAAP financial measures referenced during the call are reconciled to their comparable GAAP financial measure in the press release and supplemental materials posted on our website. Today's call contains forward-looking statements based on the environment as we currently see it. Those statements are based on current beliefs, assumptions and expectations, speak only as of the current date, and as such, involve risks and uncertainties that may cause actual results to differ materially from our current expectations. Please refer to the cautionary statement in our press release for more information. You will also find a detailed discussion about our risk factors in our filings with the SEC and in particular in our annual report on Form 10-K for the year ended March 28, 2014.
And now I'd like to introduce our CEO, Mr. Mike Brown. Go ahead, Mike"
35000,280899937,756280,"Symantec Corporation, Q3 2015 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","Gen Digital Inc.","Executives","Thank you, Helyn. Separating our security and Information Management businesses has already began to improve both our strategic focus and operating discipline. Our employees, partners and customers are energized about our future and our momentum is accele",1902,"Thank you, Helyn. Separating our security and Information Management businesses has already began to improve both our strategic focus and operating discipline. Our employees, partners and customers are energized about our future and our momentum is accelerating. We continue to execute on our 5 key priorities especially in managing our businesses as a portfolio, which resulted in operating margin and EPS that exceeded guidance this quarter; achieving our operating margin target of 30%; implied billings growth of 3% year-over-year on a constant currency basis, marking our third consecutive quarter of implied billings growth; and year-over-year deferred revenue growth for the first time in 6 quarters. 
Now I'd like to discuss the progress we've made in more detail in each of our 3 segments, starting with our Veritas business. Revenue growth in our Information Management segment accelerated to 5% year-over-year from 3% in the September quarter, driven by double-digit revenue growth in NetBackup software, NetBackup Appliances and Enterprise Vault Cloud. Last week, we unveiled the new name of our standalone information management company, Veritas Technologies Corporation. Veritas remains a powerful brand that still has tremendous equity with our customers, partners and employees. The need for Information Management solutions continues to accelerate with growth in unstructured data projected to increase at 42% per year. This trend is underpinning the growth we are seeing in this business. We continue to outpace the market, with 15% year-over-year revenue growth in NetBackup software. Our NetBackup Appliances grew 22% year-over-year, driven by the October launch of our NetBackup 5330 appliance, which delivers twice the performance and capacity of prior models, making the management of information even simpler and less expensive. Similarly, in archiving, we have key releases that enabled our customers to access their archive content anywhere, including on mobile devices and to archive nearly any type of content. We are gaining share in all of these markets. Veritas will continue to aggressively enhance its industry-leading backup and recovery, storage management, clustering, disaster recovery, archiving and e-discovery core solutions with releases planned across all key products over the upcoming year. Those solutions would also create a foundation for new information availability and insight technologies that will help customers unlock the value of their data to help drive business productivity and profitability. By extending current product capabilities, leveraging IP and developing differentiated architectures, Veritas will bring next-generation solutions to market designed for the hybrid cloud throughout the upcoming year. 
Two examples of these solutions include the information map and the IT resiliency platform. First, the information map is a cloud-based service that provides a global view of all the information across an organization in a simple and rapidly deployed solution. The information map is the first application that will leverage our information fabric technology and the catalog from NetBackup, the most commonly installed backup platform in the world. Second, the IT Resiliency platform due out this summer is a new business continuity software solutions providing 1-click application recovery automation for complex enterprise hybrid clouds. Late last year, we announced the joint partnership to also deliver this capability as the complete service offering with HP services and the HP Helion Open Stack Cloud Platform. Both form factors reduce business risk and extent by bringing simplicity to complex enterprise operation. 
We shared our security strategy when announced the separation of our businesses on October 9. The 3 pillars of our unified security strategy are first, provide a unified security global analytics platform that leverages the intelligence of our enterprise and consumer offerings, augmented by third-party data to provide security outcomes to customers better than anyone else. Second, simplify our Enterprise Security Product portfolio by delivering newly develops integrated Advanced Threat Protection and information protection. We've already simplified our Norton offerings to a single product. And third grow our cyber-security service capabilities. We continue to make progress in realizing our strategy, particularly in leveraging our telemetry to deliver better threat protection for customers. 
Now let me discuss some of the progress we've made in our Consumer and Enterprise Security segment. As the largest provider of security for consumers, we continue to protect customers against increasingly sophisticated threats. As an example, we recently uncovered a 0 day vulnerability which affects several versions of Adobe Flash Player. Consumers with the latest Norton Security updates were protected against this threat. Our previous efforts to simplify our Norton product portfolio and exit unprofitable OEM products resulted in 1,055 basis points of year-over-year operating margin expansion. As we noted in our last earnings call, more transparency in automatic renewals in Norton, along with our decision to exit certain unprofitable OEM and retail channel arrangements, results in negative year-over-year revenue comparison in the Norton business over the next several quarters. Norton revenue was down 7% year-over-year to $461 million. However, the net impact of eliminating unprofitable revenue and lower operating expenses more than offset lower revenue resulting in 15% year-over-year growth in operating income. We believe we can mitigate the revenue declines in Norton by improving online customer acquisitions, enhancing the customer experience, transitioning Norton customers to a subscription service and by providing a virus removal guarantee to customers who opt in to auto renewal. Since Norton revenue is ratable, we expect the next 4 quarters of year-over-year declines to be at the magnitude we are seeing today. However, the rate of decline should start to moderate as revenue compare to these after that. Throughout this period, we expect to maintain operating margins above 50%. 
Moving to our Enterprise security segment, today, most advanced threats exploit endpoints to steal financial data and intellectual property. With our market-leading position at the Enterprise endpoint, we are well-positioned to help customers counter these trends. Symantec Endpoint Protection, or SEPs revenue wrote 5% year-over-year underscores our continued leadership in Endpoint Security, the largest segment of the security market. In a moment, I will discuss how we will further extend our endpoint leadership through our upcoming Advanced Threat Protection offerings. Unified security is our name for Symantec strategy to collect massive amounts of security relevant telemetry from the global footprint of our products, researchers and third parties in our Global Intelligence Network. To accelerate our efforts in harnessing this telemetry and building the next-generation analytics platform, we've hired 65 engineers and data scientists from Narrows, a Boeing subsidiary recognized as a leader in cybersecurity, Big Data analytics as well as acquire certain technology rights. Symantec will leverage Nars and expertise in data science, the data analytics and machine learning to deliver on our unified security strategy. 
Coupled with our efforts to enhance our analytics capability, we have organically developed a highly innovative Advanced Threat Protection, or ATP solution which consists of 3 modules. These modules cover the critical control points of network, email and endpoint. Our ATP network solution can scan our block malicious traffic using all of Symantec's industry-leading technologies and our new cynic virtual execution sandbox capabilities. ATP network will correlate suspicious traffic with endpoint and email activity monitored by other Symantec products. With this product we will provide a differentiated capability and prioritizing incidents for security professionals to help them cope with increasing number of false positives that occur with competitors' products. For example, when malware is detected on the network a security professional will able to see that SEP or emailsecurity.cloud has successfully blocked it, eliminating the need for further remediation. ATP Network will ship in the June quarter.  ATP Email extends our e-mailsecurity.cloud offering by providing additional visibility into targeted attacks delivered via email, a common attack vector for advance threats. ATP Email will also ship in June quarter. ATP Endpoint will collect endpoint activity data from our SEP agents and apply machine learning algorithms for detection and prioritization of suspicious files and behaviors. ATP Endpoint compares customer-specific data with our inside reputation global data and can submit files to Cynic to reduce false-positive and increase the confidence of detection. The security professional can then direct SEP to blacklist and eradicate these threats. ATP Endpoint will ship in the September quarter. Importantly, ATP Endpoint is not a SEP placement but a complimentary add-on product that makes customers' investment in over 100 million Symantec endpoints more valuable. 
With these ATP products, Symantec would be well-positioned to address not only better protection but also detection and response. Customers will be able to purchase any of our 3 ATP components together or may leverage investments they've already made in third-party's network solutions by purchasing any of our ATP offerings separately. 
Now I'd like to touch on our information protection product family where we're bringing 2 new cloud solutions to market. A comprehensive security solution not only keeps threats out of an organization, but it also keeps critical proprietary information in. Symantec's information protection products, including our flagship DLP offering, are the industry leaders with nearly twice the market share of our closest competitor. Our information protection solution will enhance advanced persistent threat detection intelligence by providing additional telemetry regarding location, access and movement of confidential information. This telemetry can then be profiled and correlated with our other products to better detect advanced threat activity. For example, in the case of a large network breach, since DLP knows which user machines actually store the most confidential information, security professionals can start at the source of greatest risk. We are well-positioned to leverage our DLP market leadership to protect Enterprise data stored in the crowd and on mobile devices. In the December quarter, we launched 2 new DLP cloud solutions. DLP for cloud email for Microsoft Office 365 Exchange, and DLP for Amazon Web Services. 
Finally, I'd like to discuss our cybersecurity services which address the $10 billion market opportunity by 2018 growing at a 30% compound annual growth rate. We are the only company in the world with the breadth of cybersecurity services that includes our market-leading security monitoring services, incident response services, managed adversary threat intelligence services and security simulation services. In the December quarter, we launched our managed adversary and threat intelligence annual subscription service, which provides clients with advanced warning and intelligence on key threat actors and their emerging tactics, techniques and procedures. This quarter, we are launching the cybersecurity simulation service, and we have already secured a large European government as a customer. This week, we launched our incident response retainer service in North America and the U.K. This service allows customers to take a more proactive approach by identifying gaps in their existing incident response program and deploying defense capabilities in advance of the security incident to reduce the time to identification and eradication of the threat. 
As the world's largest security company monitoring 4.3 trillion global threats in realtime, with more than 500 full time researchers, we continue to uncover new threats every day. We were the first to publish on Reagan, identifying the advanced spying tool that displays a degree of technical competence rarely seen, exhibiting traits reminiscent of other sophisticated malware families like stacksnet. He will continue to move quickly to making the changes required to ensure Symantec has a more successful future, and in doing so, we will stay focused on executing to deliver for customers, employees and shareholders. 
We look forward to outlining our business model targets for Veritas, Consumer Security and Enterprise security in more detail at our Financial Analyst Day on April 17. Now I'll turn it over to Thomas to provide a review of our financial results and guidance."
35000,280899937,756280,"Symantec Corporation, Q3 2015 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","Gen Digital Inc.","Executives","Thank you, Mike, and good afternoon. Both Symantec's operating margin, earnings per share exceeding guidance which drove operating margin above our 30% target and its guided rates we delivered revenue within our guidance range. The U.S. dollar continue to",1191,"Thank you, Mike, and good afternoon. Both Symantec's operating margin, earnings per share exceeding guidance which drove operating margin above our 30% target and its guided rates we delivered revenue within our guidance range. The U.S. dollar continue to appreciate significantly against major currencies during the December quarter, creating a headwind of $60 million [ph] to our revenue and $183 million to deferred revenue on a year-over-year basis. 
Our implied billings were up 3% year-over-year, marking our third consecutive quarter of growth. The number of large deals greater than $300,000 grew 21%, with strength in financial services, insurance and information technology. On a constant currency basis, deferred revenue grew 1% to $3.5 billion. License revenue continued its improving trend from last quarter growing 20% year-over-year and 35% on a sequential basis. Strength in license revenues was driven by Enterprise Backup and appliances. Enterprise subscriptions increased 3% year-over-year, accounting for 15% of total revenue. 
Moving now to our business segments, in Consumer Security, we continue to drive operating margin higher, increasing 10.6 percentage points year-over-year to 53%. As Mike discussed, we exited certain unprofitable OEM and retail channel arrangements, as well as provided greater transparency on automatic renewals which are adversely affecting revenue and billings in Norton over the next several quarters. Revenue in the period was down 7% year-over-year to $461 million [ph]. Enterprise security revenue was flat year-over-year at $509 million. Our Endpoint Protection and DLP products grew 5% and 2% respectively. This was offset by weakness in Endpoint Management at Mail and Web Security. 
GAAP operating margin declined to 17% compared to 20% in the year-ago period, driven by higher support spend. Information Management revenue increased 5% year-over-year to $668 million [ph]. NetBackup Appliances and software generated strong year-over-year growth of 22% and 15% respectively. Strength in the backup was offset by weakness in Backup Exec. GAAP operating margin improved sequentially to 25% compared to 20% last quarter but was down versus 27% in the year-ago period due to higher commission. 
Gross margin decreased 30 basis point year-over-year to 84.1%, driven by growth in lower margin appliance business. We achieved an operating margin of 30.4%, 140 basis points expansion year-over-year through a combination of pricing optimization and improved renewals processes which drove enhanced top line performance, coupled with profit improvement programs such as optimizing the Norton business. We incurred restructuring costs of $39 million and separation costs of $29 million during the December quarter. As we noted last quarter, we are reducing our workforce and taking steps to improve our cost structure as we prepare for the separation. We expect the remainder of these charges to occur in the March and June quarter.  Net income of $367 million resulted in fully diluted earnings per share of $0.53, up 2% year-over-year. 
Now turning to cash flow and share purchases, cash flow from operating activities totaled $358 million, up 9% year-over-year, driven by the ongoing reductions in our cost structure. Sequentially, cash flow from operations was up 107% from $173 million. Capital expenditures were $101 million as we continue to build our ATP cloud infrastructure. We returned $229 million to shareholders during the December quarter via share repurchases and dividends, $104 million was in the form of cash dividends and $125 million was used to repurchase 4.9 million shares at an average share price of $25.63. We have $283 million remaining under the current stock repurchase authorization. We remain confident in the strength of our cash flow generation and continue to be committed to returning value to our shareholders. With this goal in mind, our Board of Directors has approved a new $1 billion share repurchase program. 
Now I'd like to briefly discuss some of our revenue and cost initiatives. We reached our fiscal year target for our renewals initiatives with a greater focus on value selling and process improvement. In license compliance, we've ramped the team to conduct more than 3x the number of audits here to date than we completed in fiscal year '14. In the fourth quarter, we expect to conduct more than 10x the number of fiscal year '14 audits. With our cost saving initiative for the second consecutive quarter, we've realized the benefits of optimizing the Norton segment. We are focusing our global footprint reduction efforts to optimize our lapse data centers and location for 2 standalone companies. 
Before I review our guidance, I'd like to discuss the progress we are making to complete the separation of the Veritas and security businesses by calendar year end. We finalized the planning phase of the separation and are advancing to the execution phase and our separation activities remain on track. Let me review some of the important milestones that we have achieved. First, we've chosen Veritas Technologies Corporation as the name for the Information Management company and plan to relaunch the Veritas brand in the face approach fast approaching come off. Second, we named key leaders as well as sales and product personnel for both businesses. The Veritas and Symantec sales organization will be operating independently as of the new fiscal year begins. Third, in the area of consumer and partner contracts, we've made significant progress in allocating products and services between Veritas and Symantec. Fourth, we have begun building an ERP solution for Veritas and are well underway towards separating IT infrastructure. And fifth, we finalized key real estate decision and made substantial progress in creating the appropriate legal entities and corporate infrastructure to separate the companies. And consequently, we're on track to make Veritas operational as a standalone company in October. Over the coming month, we'll complete carved out financials statements and prepare the Form 10 to be filed with the SEC by August. At our financial analyst event, we will provide more detailed information, including financial targets for each business. 
Now turning to guidance, at the beginning of the fiscal year, we set our guidance at an exchange rate of $1.38. At that rate, we expect to achieve revenue growth year-over-year as reported and exceed our original fiscal year '15 guidance on all metrics. We are now providing fiscal year 2015 guidance and the weighted average exchange rate of $1.28. Using the exchange rate, we expect fiscal year '15 revenue to be between $6.515 billion and $6.575 billion. Operating margin between $27.5 billion and 27.7% and EPS between $1.87 and $1.90. With the continuing strengthening of the dollar against other major currencies, we're expecting an FX headwind of approximately 5.5 percentage points for our year-over-year revenue growth in the March quarter. At an exchange rate of $1.15 [ph], we expect the March quarter revenue between $1.525 billion to $1.585 billion, with operating margin between 26.5% to 27.5% resulting in EPS of $0.42 to $0.45.  The company's operating margin would be lower in the March quarter compared to December quarter due to difficult seasonality and the FX impact. 
In conclusion, I am pleased with the progress the team in better aligning our cost structure and selling apostate growth. I look forward to sharing more details and more progress at Financial Analyst Day. And with this, I'll turn it over to Helyn to be taking your questions."
35000,280899937,756280,"Symantec Corporation, Q3 2015 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","Gen Digital Inc.","Executives","Thank you, Thomas. Operator, will you please begin polling for questions.",11,"Thank you, Thomas. Operator, will you please begin polling for questions."
35000,280899937,756280,"Symantec Corporation, Q3 2015 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","Gen Digital Inc.","Operator","[Operator Instructions] We'll take our first question from Walter Pritchard with Citi group.",13,"[Operator Instructions] We'll take our first question from Walter Pritchard with Citi group."
35000,280899937,756280,"Symantec Corporation, Q3 2015 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","Gen Digital Inc.","Analysts","Tom, on a security side, I'm wondering, it feels like pure endpoint business is performing well, last time we had an update on that business, it was a big part of that security business. Can you talk about what that outlook looks like for -- you highlight",95,"Tom, on a security side, I'm wondering, it feels like pure endpoint business is performing well, last time we had an update on that business, it was a big part of that security business. Can you talk about what that outlook looks like for -- you highlighted on Endpoint Management, mail and web has dragged on the business. Is there and if on your road map that you think will help to mitigate some of the declines you're seeing and can help this a business which I think that business, the growth there shine through?"
35000,280899937,756280,"Symantec Corporation, Q3 2015 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","Gen Digital Inc.","Executives","Walter, so we are continuing to improve our SEP or endpoint product, which, you're right, is the flagship of our security Enterprise portfolio. So with continued releases we would expect to keep up with some of the trends we need to better protect attacks",158,"Walter, so we are continuing to improve our SEP or endpoint product, which, you're right, is the flagship of our security Enterprise portfolio. So with continued releases we would expect to keep up with some of the trends we need to better protect attacks. And then I think significantly, as you referred to, the ATP series is a set of modules that are really complementary products. So ATP endpoint obviously will be a complementary product that will better protect the endpoint, but it also drives strength from the modules that we'll be selling with that. And so ATP network, for example, will be attacking a completely new market for us to better protect incoming attacks that occur over network traffic. So we're excited about the continued growth we're seeing in the endpoint product. We're going to continue to enhance our product, but the ATP solution is something that would be additive to our revenue and enterprise security portfolio."
35000,280899937,756280,"Symantec Corporation, Q3 2015 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","Gen Digital Inc.","Analysts","Thomas, for you, on the buyback the $1 billion, topic around calls, $1 billion he announced, your pretty much continued $125 million per quarter on the buyback. Should we think about that $1 billion as all impacting the run rate at which you buyback stock",45,"Thomas, for you, on the buyback the $1 billion, topic around calls, $1 billion he announced, your pretty much continued $125 million per quarter on the buyback. Should we think about that $1 billion as all impacting the run rate at which you buyback stock?"
35000,280899937,756280,"Symantec Corporation, Q3 2015 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","Gen Digital Inc.","Executives","Not at this point. We were down to, I think, looks like slightly above $280 million [indiscernible] in the previous authorization and then the run rate we had that you correctly mentioned. That was not enough of a buffer and we were regard public that we",97,"Not at this point. We were down to, I think, looks like slightly above $280 million [indiscernible] in the previous authorization and then the run rate we had that you correctly mentioned. That was not enough of a buffer and we were regard public that we are going to continue the capital distribution policy that we have in place today, at least until the separation takes place. So this new authorization is really enabling to continue with what we have in place and at this point in time, not a contemplation than to increase the run rate."
