"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
180481,282227747,752226,"Legg Mason Inc., Q3 2015 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Legg Mason, Inc.","Operator","Welcome to the Legg Mason Third Fiscal Quarter 2015 Earnings Call. [Operator Instructions] Please note that this teleconference is being recorded. It is now my pleasure to introduce your host, Alan Magleby, Head of Investor Relations and Corporate Commu",46,"Welcome to the Legg Mason Third Fiscal Quarter 2015 Earnings Call. [Operator Instructions] Please note that this teleconference is being recorded. 
It is now my pleasure to introduce your host, Alan Magleby, Head of Investor Relations and Corporate Communications. Thank you, Mr. Maccabee. You may begin."
180481,282227747,752226,"Legg Mason Inc., Q3 2015 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Legg Mason, Inc.","Executives","Thank you. On behalf of Legg Mason, I would like to welcome you to our conference call to discuss operating results for the fiscal 2015 third quarter ended December 31, 2014.This presentation may contain forward-looking statements within the meaning of",262,"Thank you. On behalf of Legg Mason, I would like to welcome you to our conference call to discuss operating results for the fiscal 2015 third quarter ended December 31, 2014.
This presentation may contain forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. These forward-looking statements are not statements of facts or guarantees of future performance and are subject to risks, uncertainties and other factors that may cause actual results to differ materially from those discussed in the statements. For a discussion of these risks and uncertainties, please see risk factors and management's discussion and analysis of financial condition and results of operations in the company's annual report on Form 10-K for the fiscal year ended March 31, 2014, and in the company's subsequent filings with the Securities and Exchange Commission.
During the call today, we may also discuss non-GAAP financial measures. Reconciliations of the non-GAAP financial measures to the comparable GAAP financial measures can be found in the press release that we issued this morning, which is available in the Investor Relations section of our website. The company undertakes no obligation to update the information contained in this presentation to reflect subsequently occurring events or circumstances.
This morning's call will include remarks from Mr. Joe Sullivan, Legg Mason's Chairman and CEO; and Mr. Pete Nachtwey, Legg Mason's CFO, who will discuss our financial results. In addition, following a review of the company's quarter, we will then open the call to Q&A.
Now I would like to turn this call over to Mr. Joe Sullivan. Joe?"
180481,282227747,752226,"Legg Mason Inc., Q3 2015 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Legg Mason, Inc.","Executives","Thank you, Alan, and good morning, everyone. As always, I appreciate your interest in Legg Mason and welcome you to our Third Quarter Fiscal 2015 Earnings Call.We are pleased to announce another quarter of financial and strategic momentum. As we enter t",1895,"Thank you, Alan, and good morning, everyone. As always, I appreciate your interest in Legg Mason and welcome you to our Third Quarter Fiscal 2015 Earnings Call.
We are pleased to announce another quarter of financial and strategic momentum. As we enter this new calendar year, we intend to build on our progress and capitalize on the investment performance by our affiliates, which remained strong on a broad set of strategies and products. We enjoy a diverse lineup of high-performing investment offerings to address a global marketplace that's well characterized by dramatic differences across many economies, are nevertheless very interconnected and share similar investment challenges. Global events impacting investors range from a very turbulent geopolitical environment to volatility in the currency and energy markets, and certainly, persistently low interest rates, which have created a bit of a desperation for yield across the globe. But it is precisely this volatility that our active managers believes offers significant opportunity for long-term investors to achieve substantial returns. 
This morning, Pete will take you through the quarter from a financial performance standpoint, while I'd like to focus you on what I believe to be the 5 key takeaways for Legg Mason today.
First, and most importantly, the investment performance that we've delivered for clients remain strong overall. 
Second, we've made significant progress in expanding and evolving our product lineup to address the real and changing needs of global investors, though we are still in the very early innings of commercializing the opportunities that we have acquired through QS and Martin Currie. 
Third, we have made substantial progress with respect to the chronic net flow challenges, and we're very pleased to have been in positive long-term net flows for 3 consecutive quarters.
Fourth, we have maintained significant financial strength and flexibility through strategic debt refinancings, while we continue to generate and retain a significant amount of cash. 
And finally, we remain committed to investing in our business where and when we see opportunity, while growing our dividend and remaining committed to share repurchases. These are the 5 key themes that I hope you keep in mind as I walk you through some of the highlights.
Slide 2 presents the highlights for the quarter. Net income was $77 million or $0.67 per diluted share. Assets under management rose to $709 billion. We achieved $8.8 billion of long-term inflows, driven by nearly $10 billion in fixed income, offset by approximately $1 billion in equity outflows.
Fixed income inflows are particularly notable as the mutual fund industry actually experienced outflows in U.S. taxable fixed income for the quarter. While there is both art and science to the analysis, we believe that approximately 2/3 of our fixed income inflow was impacted by the money in motion underway in this space. That said, and I want to be very clear about this: Even absent the recent manager transition, we have been achieving solid net inflows and gaining market share, in particular, with our unconstrained and absolute return products, which offer the potential for our active managers to deliver value, especially in a more challenging market environment.
We recorded the second consecutive quarter of record global distribution growth and net sales across the entire platform. And as I mentioned earlier, our investment performance remains strong broadly, with 75% or more of strategy AUM exceeding benchmarks for all relevant time periods.
We ended the quarter with an aggregate $8.7 billion in unfunded wins, up from $6.3 billion at the end of September. We closed the acquisition of Martin Currie and the sale of LMIC during the quarter and we repurchased 1.6 million shares year.
And finally, our Board of Directors has approved an additional $1 billion share repurchase authorization, which we intend to deploy once we exhaust our current authorization.
Slide 3 is a very important slide. It shows AUM by affiliate in order of their earnings contribution to Legg Mason, and assets under management by asset class, by client type and by geography. This slide reinforces the increasing diversification of our business, a fact that I believe continues to be underappreciated. 
We see significant opportunity in our retail business, not only with our existing strategies and legacy affiliates, but as we bring Martin Currie's strategies into retail structures and implement sales campaigns around new products launched with QS investors. As I said earlier, these are initiatives that will take time, but they are part of a broader plan that will position Legg Mason for sustained and dependable growth going forward. I am quite pleased with the progress we've made in integrating those firms into Legg Mason, and we are solidly on track with bringing QS and Martin Currie to the global retail marketplace.
Slide 4 provides a snapshot of each of our core affiliates. Brandywine Global had $2.3 billion in total inflows, led by $1.6 billion in fixed income and $700 million in equities. Brandywine's pipeline remains strong at $2.1 billion. And for the second time in 3 years, Steve Smith, David Hoffman, and Jack Macentire, were nominated for the 2014 Morningstar U.S. Fixed Income Fund Manager of the Year for the Legg Mason Brandywine Global opportunities funds. Brandywine also won 2 awards from Asia Asset Management magazine, further recognition of their continued strong investment performance in global bond portfolios. 
ClearBridge Investments had $2.7 billion in inflows, its eighth straight quarter of positive net flows. This is a very, very strong showing, contrasting with the U.S. active equity mutual fund industry, which has been in outflows since March of 2014. Unfunded wins at Clearbridge stand at $700 million. And while we are pleased that Clearbridge has a category killer product and Aggressive Growth, their institutional wins and pipeline reflect investor interest in a broader set of strategies, including international value and large-cap growth. Those products as well as the Clearbridge tactical dividend and income products are also beginning to see good interest from our retail client base.
Martin Currie had $400 million outflows for the quarter, a portion of which we have previously disclosed as related to the transaction. Martin Currie closed the quarter with $1.1 billion in unfunded wins. The integration of Martin Currie with Legg Mason Australia has been completed and the firm has now been rebranded Martin Currie Australia. We have signed distribution agreements, enabling our global distribution teams to sell existing Martin Currie funds in the U.K, Europe, Asia and Latin America. And as I've said, we are in the process of bringing the remaining products to the global retail marketplace.
Permal had $20 million outflows for the quarter. The transition underway at Permal from the European high net worth sector to the institutional channel continues, and we are working with them to expand their presence in both the U.S. and international retail markets through the launch of liquid alternatives products.
QS Investors experienced $1.2 billion in outflows for the quarter, with $200 million in unfunded wins. The outflows at QS reflect a combination of a few deal-related outflows as well as a single large outflow from a client, whose asset allocation team made a move to passive. At the same time, I'm especially pleased that QS is experiencing momentum in global distribution, particularly with a number of platform wins in the insurance and sub-advisory channels, where we are well positioned to capture flows over time. 
Royce & Associates saw $2.5 billion in outflows during the quarter. As I've said before, we expect this trend to persist for some time as it will take time for their investment performance to recover. We remain very supportive of the work underway at Royce with respect to both investment performance and strengthening their organization for future growth.
And finally, Western Asset Management, with $8.2 billion in long-term inflows, $10.6 billion and liquidity outflows and $4.5 billion in unfunded wins. Western enjoyed strong flows in broad market portfolios, aided by the money in motion phenomena that we've highlighted as well as continued growth in their high-performing unconstrained strategies.
We continue to believe that money in motion in the institutional market is a long-term story extending out 2 [ph] years or more. We are extremely proud that Ken Leech, Karl Eisenstadt and Mark Lindbloom were named Morningstar's U.S. Fixed Income Fund Managers of the Year for the core and core plus funds, and we believe this is well-deserved acknowledgment that will only help grow our business with our retail and intermediary clients.
Now let me take a moment to step back and address fixed income more broadly, and Slide 5 underscores the opportunity before us. As you can see, we have very strong investment performance and capabilities across the fixed income spectrum, and I want to reiterate some of the points that I made on the last earnings call. 
First, this is no time to be passive with respect to fixed income investing. Different investors, depending on their individual objectives, need a variety of fixed income capabilities that perform well in an increasingly complex and volatile macro environment. This has never been more true than today, with extraordinarily low interest rates, volatile currency markets and the changing landscape and sovereign and corporate credit quality. When unconstrained, proven managers in fixed income can modify duration and diversify or otherwise hedge various exposures to avoid the impact that slavishly following a benchmark can have. We have confidence in the capabilities, the resources and the expertise of our fixed income managers as well as a track record of investment performance to capitalize for investors on just such opportunities. 
Now let's look at Slide 6 and talk about our global retail distribution platform. We enjoyed another very strong quarter in global distribution, with the highest levels of growth and net sales in its history. This was the fifth consecutive quarter of positive net sales for the platform, with positive sales in both the U.S. and internationally over that same timeframe. Looking specifically at fixed income, global sales in the taxable fixed income were $13 billion for the quarter, with $6 billion in net sales across mutual funds, retail SMAs and insurance and sub-advise mandates. 
While we believe the opportunity in fixed income is substantial and ongoing, we also achieved positive net sales within global distribution for all of our affiliates, with the exception of Royce. The quarterly redemption rate for our retail platform was 26%, with the quarterly increase driven primarily by 1 sub-advisory mandate redemption in Japan related to interest rates and currencies, and to a lesser degree, an uptick in outflows at Royce. The U.S. redemption rate remained at 20%, well below industry levels.
I'm very pleased that increasingly, our product development efforts reflect collaborative efforts with our global distribution partners. Specifically during the quarter, we enhanced and repositioned products with QS Investors, including the new 401(k) roadmap CIT funds and an innovative retirement solution launched with LPL Financial. Additionally, we launched the Permal alternative select variable insurance trust with MetLife's investment-only variable annuity. It's the collaborative product development and launches such as these that suggest strong long-term growth opportunities in those channels.
And finally, Slide 7 depicts our overall investment performance, which broadly remains strong. 75% or more of our strategy AUM beat benchmarks across all relevant time periods, and 60% or more of our long-term U.S. fund assets beat the Lipper category average over all-time periods. 
And with that, let me turn it over to Pete. Pete?"
180481,282227747,752226,"Legg Mason Inc., Q3 2015 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Legg Mason, Inc.","Executives","Thanks, Joe. Turning to Slide 8, I'll start with the financial highlights. As Joe noted, we delivered another solid quarter of operating earnings, with net income of $77 million or $0.67 per diluted share. During the quarter, we incurred our remaining QS-",1596,"Thanks, Joe. Turning to Slide 8, I'll start with the financial highlights. As Joe noted, we delivered another solid quarter of operating earnings, with net income of $77 million or $0.67 per diluted share. During the quarter, we incurred our remaining QS-related integration cost, Martin Currie and LMIC deal-related costs as well as an incremental $3 million of investments in global distribution.
In addition, with the second consecutive quarter of record gross and net sales from our global distribution platform, we saw an increase in sales commission expense. Our revenues increased primarily due to higher performance these as well as the addition of Martin Currie's revenues beginning on October 1st. This was partially offset by the loss of LMIC revenues after their sale on November 7th.
QS integration costs totaled $12.8 million this quarter, while cost related to the Martin Currie acquisition and the sale of LMIC totaled $5.7 million. These were partially offset by a $1.9 million gain on the sale of LMIC, which is included in nonoperating income. Looking forward, we do not anticipate any additional QS integration costs, but we are expecting a further $2.5 million in run rate spending related to our ongoing investments in global distribution. This will bring the run rate cost of these investments in our fiscal fourth quarter and beyond to $7 million to $8 million. 
Adjusted income was $113 million for the quarter or $0.98 per share, which included the impact of QS integration and other M&A-related cost. Average long-term AUM was up 1% from the prior quarter, with average equity up 3% and fixed income basically flat.
This quarter's total performance fees of $29 million were primarily from Brandywine Permal and Western. This quarter's better than forecast performance fees came from Brandywine, where strong performance led to higher than expected performance fee levels. While impossible to predict with any precision, we estimate that next quarter's performance fees could be in the range of $10 million to $15 million. 
On the capital front, this quarter, we repurchased an additional 1.6 million shares. And as Joe mentioned earlier, the Board approved an additional $1 billion repurchase authorization. We intend to deploy this new authorization after our current one is completed, and at our $90 [ph] million historical pace, as always, subject to markets and/or investments and growth opportunities. 
Moving on to Slide 9, the only additional item to highlight here is our GAAP effective tax rate of 32%, which largely reflects the successful completion of prior year's audits, which resulted in the release of tax reserves that increased our earnings per share by $0.03 this quarter. That said, we still expect our effective GAAP tax rate for the full fiscal year to be 35% to 37%. And as we've consistently highlighted, our actual cash tax rate continues to run at a substantially lower level than our GAAP rate. Specifically for this quarter and for the fiscal year, we expect the cash tax rate in the 6% range as you can see on Page 20 in the appendix.
Turning to Slide 10. Our assets under management were up slightly compared to the prior quarter, driven by long-term inflows of $8.8 billion as well as $3.1 billion favorable market impact, and despite $6.4 billion of unfavorable FX impact. AUM related to our acquisition of Martin Currie was offset by the AUM related to the sale of LMIC. 
Also at the bottom of this slide, we note our $116 billion of assets under advisement or AUA, which includes assets across most of our key affiliates. But as a reminder, these are generally very low fee mandates and can occasionally move in a fairly lumpy fashion. So in that spirit, I also want to point out that we're expecting our AUA to decline in February by approximately $80 billion. This is primarily due to a QS client deciding to take this service in-house. Although QS continues to have a very good and sizable AUM relationship with this client, due to its very low fee nature, the annualized impact of this loss is only roughly $0.02 per diluted share.
Long-term flows on Slide 11 were positive $8.8 billion and represent our third quarter of positive long-term inflows. Fixed income inflows of $9.9 billion reflected continued strong performance, combined with high market demand across a variety of our strategies and products. and both our fixed income affiliates, benefited from the money in motion that continues to be underway in fixed income.
Equity flows turned negative, with small cap being our most challenged area, while U.S. large-cap and income-oriented products continue turning in strong performance. 
Slide 12 shows the advisory fee trend with this quarter's lower rate, primarily reflecting the decline in average AUM at Royce. 
Now I'd like a step back for a minute and talk about how this connects to our revenues. Since we've noted over the last few quarters, when you look at net revenues, which is operating revenues less DNS expenses, we seem to be right in line with external estimates. But external expectations around gross operating revenues have continued to run a bit high. On a go-forward basis, using the current quarter's advisory fee rate is a good starting point. With DNS expenses as a percentage of operating revenues typically running between 21% and 22% after excluding performance fees, which will be a good proxy for that line item. So bottom line, we're just trying to get external estimates to our top line more in line with how we see our actual experience. 
Operating expenses on Slide 13 increased by $26 million or 5% to $600 million. I will discuss comp and benefits on the next slide, but looking at the other line items, DNS expense decreased as last quarter's expense included the impact of the Western closed-end fund launch. Occupancy expense increased $11 million, primarily related to the QS integration lease charge as well as from the impact of a prior quarter's lease reserve credit.
Communications and technology expenses increased $3 million due to Martin Currie expenses and the continued investment in global distribution. Other expenses increased $4 million due to Martin Currie, offset by the loss of a personal quarter of LMIC and also reflecting additional investments in global distribution.
Turning to Slide 14. Company benefits increased by $16 million. The increase was primarily due to higher performance fees and higher global distribution sales commissions. The addition of Martin Currie's expenses were partially offset by the reduction from LMIC. Transition cost and severance were also up due to the LMIC sale, while mark-to-market on deferred comp and seed also increased quarter-over-quarter. Compensation and benefits ratio, excluding the LMIC charges and the mark-to-market on deferred comp and seed investment, came in at 54%, consistent with our outlook for 53% to 54% ratio going forward. Next quarter's ration will likely be a bit higher due to seasonal compensation cost. 
Slide 15 highlights the operating margin as adjusted, which decreased to 21.4% from last quarter's 23.8%. The lower margin was primarily due to the increase in QS integration costs as well as the cost related to M&A activity in the quarter. This quarter's operating margin was reduced by 3.3% as a result of those costs, while the prior quarter's operating margin was similarly reduced by 2%. We would expect the operating margin as adjusted to increase next quarter due to the absence of integration cost and M&A activity, but that increase will be partially offset by the increase in seasonal compensation cost, the incremental investments in global distribution as well as lower estimated performance fees.
Slide 16 is a roll forward from fiscal Q2's GAAP earnings per share of $0.04 to this quarter's $0.67 per share. Fiscal Q2 included the debt refinancing and QS Investors' integration as well as other corporate initiative costs of approximately $119 million, which combined to reduce earnings per share by $0.65. 
In fiscal Q3, increases in operating income as well as the impact of share repurchases increased earnings per share by a penny. Mark-to-market on seed investments were positive this quarter compared with negative marks last quarter, and together, with lower interest expense resulting from our refinancing of fiscal Q2, these collectively increased EPS by $0.03. 
And finally, a combination of QS integration, the net cost of the LMIC disposition, Martin Currie acquisition cost, all partially offset by a reduction in tax reserves, reduced earnings by a net $0.06 per share.
I'll wrap up on Slide 17, which highlights our quarterly cash position as well as our consistent and balanced approach to capital deployment. In the upper left, you can see that we have steadily reduced our share count by 50 million shares or 31% since March of 2010. In the upper right, we've highlighted the change in our quarterly dividend over that same timeframe. We now have 5 straight years of increased annual dividends, representing over a fourfold increase since 2010. On the bottom left, you can see our cash position, which stands at $665 million as of December 31, up slightly from September despite the acquisition of Martin Currie in fiscal Q3.
Finally on the bottom right, we highlight our current seed investments of $374 million across a diversified portfolio by asset class. 
In summary, this was a solid quarter for Legg Mason. And as always, we have complemented our growth with a capital deployment strategy that highlights consistent dividends and share repurchases along with significant investments in growth initiatives, both organically and through acquisitions. So thanks for your time and your interest in Legg Mason. And I will turn it back to Joe."
180481,282227747,752226,"Legg Mason Inc., Q3 2015 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Legg Mason, Inc.","Executives","Thank you, Pete. Building momentum and positioning Legg Mason for growth have been our themes for this fiscal year, and I think it's quite clear that we're making good progress on both. Continued growth in global distribution gross and net sales reflect a",205,"Thank you, Pete. Building momentum and positioning Legg Mason for growth have been our themes for this fiscal year, and I think it's quite clear that we're making good progress on both. Continued growth in global distribution gross and net sales reflect a strong lineup of highly-competitive products and strong sales execution. With nearly 90% of the hiring associated with our distribution growth plans complete, we will expand client coverage by approximately 50%, which will be a key driver of future growth and progress.
We are excited about the expanded set of capabilities that we've acquired in QS and Martin Currie. There remains a significant opportunity within fixed income for active global managers, and with our deep expertise, scale, a strong breadth of products and compelling investment performance, we are well positioned to gain market share and grow. We also enjoy broad capabilities and strong investment performance across many of our equity products, and see opportunities to continue to win in active equities across the globe.
As I said upfront, even as we continue to invest in organic growth and M&A, we will continue to actively return capital to shareholders through dividends and share repurchases.
And with that, we are happy to take your questions."
180481,282227747,752226,"Legg Mason Inc., Q3 2015 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Legg Mason, Inc.","Operator","[Operator Instructions] Our first question is from Bill Katz from Citi.",11,"[Operator Instructions] Our first question is from Bill Katz from Citi."
180481,282227747,752226,"Legg Mason Inc., Q3 2015 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Legg Mason, Inc.","Analysts","I appreciate all the extra disclosure and your supplement as well. Joe, just -- if you could do the math, $1 billion on your current market cap is about 15%, 16%, just curious, and Pete mentioned to sort of keep that $90 [ph] million pace going. Any const",82,"I appreciate all the extra disclosure and your supplement as well. Joe, just -- if you could do the math, $1 billion on your current market cap is about 15%, 16%, just curious, and Pete mentioned to sort of keep that $90 [ph] million pace going. Any constraints here in terms of denominator on the share count? Obviously, we know the news with Mr. Phelps [ph] but just from your perspective on anything that would detract from that ratable return of cash?"
180481,282227747,752226,"Legg Mason Inc., Q3 2015 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Legg Mason, Inc.","Executives","Bill, no, we don't see anything. Our discussion with our Board this past week was that we continue to see our shares as undervalued. And as long as we do, we'll continue the buy back at that same pace. Pete, any adds?",42,"Bill, no, we don't see anything. Our discussion with our Board this past week was that we continue to see our shares as undervalued. And as long as we do, we'll continue the buy back at that same pace. Pete, any adds?"
180481,282227747,752226,"Legg Mason Inc., Q3 2015 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Legg Mason, Inc.","Executives","Yes, Bill. The only constraint as we always have said is around markets or other investment opportunities. So we saw something that had a higher IRR, we believe to the long-term shareholder, that would be the only reason we'd be slowing this down at this",66,"Yes, Bill. The only constraint as we always have said is around markets or other investment opportunities. So we saw something that had a higher IRR, we believe to the long-term shareholder, that would be the only reason we'd be slowing this down at this stage. And as you can see, we've been pretty consistent over the last 2 years of that $90 million a quarter."
180481,282227747,752226,"Legg Mason Inc., Q3 2015 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Legg Mason, Inc.","Analysts","Right.  Maybe a 2-part question is my follow up. Part 1 is could you talk about just the implications of passive encroachment relative to the value proposition of QS? And on the other side, how quickly can you add or push some products of Martin Currie to",50,"Right.  Maybe a 2-part question is my follow up. Part 1 is could you talk about just the implications of passive encroachment relative to the value proposition of QS? And on the other side, how quickly can you add or push some products of Martin Currie to the incremental platforms?"
