"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
290060,281086705,751345,"Murphy Oil Corporation, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Murphy Oil Corporation","Operator","Good afternoon, ladies and gentlemen, and welcome to the Murphy Oil Corporation Fourth Quarter 2014 Earnings Call. Today's conference is being recorded. I would now like to turn the call over to Mr. Barry Jeffery, Vice President, Investor Relations. Pleas",43,"Good afternoon, ladies and gentlemen, and welcome to the Murphy Oil Corporation Fourth Quarter 2014 Earnings Call. Today's conference is being recorded. I would now like to turn the call over to Mr. Barry Jeffery, Vice President, Investor Relations. Please go ahead, sir."
290060,281086705,751345,"Murphy Oil Corporation, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Murphy Oil Corporation","Executives","Thank you. Good afternoon, everyone, and thank you for joining us on our call today. With me are Roger Jenkins, President and Chief Executive Officer; Kevin Fitzgerald, Executive Vice President and Chief Financial Officer; and John Eckart, Senior Vice Pre",211,"Thank you. Good afternoon, everyone, and thank you for joining us on our call today. With me are Roger Jenkins, President and Chief Executive Officer; Kevin Fitzgerald, Executive Vice President and Chief Financial Officer; and John Eckart, Senior Vice President and Controller. Please refer to the infromational slides we have placed on the Investor Relations section of our website as you follow along with our webcast today. 
Today's call will follow our usual format. Kevin will begin by providing a review of fourth quarter 2014 results. Roger will then follow with an operational update, after which, questions will be taken. 
Please keep in mind that some of the comments made during this call will be considered forward-looking statements as defined in the Private Securities Litigation Reform Act of 1995. As such, no assurances can be given that these events will occur or that the projections will be attained. A variety of factors exist that may cause actual results to differ.  For further discussion of risk factors, see both Murphy's 2013 Annual Report on Form 10-K and Form 10-Q for the quarterly period ended September 30, 2014, on file with the SEC. Murphy takes no duty to publicly update or revise any forward-looking statements. I'll now turn the call over to Kevin."
290060,281086705,751345,"Murphy Oil Corporation, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Murphy Oil Corporation","Executives","Thanks, Barry. For the fourth quarter 2014, we had income from continuing operations of $442 million or $2.48 per diluted share. This compares to income from continuing operations of fourth quarter of '13 of $180.5 million or $0.96 per diluted share. For",492,"Thanks, Barry. For the fourth quarter 2014, we had income from continuing operations of $442 million or $2.48 per diluted share. This compares to income from continuing operations of fourth quarter of '13 of $180.5 million or $0.96 per diluted share. For the entire year of 2014, income from continuing ops was $1,025,000,000 or $5.69 per diluted share compared to $88.1 million or $4.69 per diluted share for 2013. 
The fourth quarter results from continuing operations for 2014 included a gain of $321.4 million on the sale of 20% interest in Malaysian business, and this made up of 2 pieces. We have $144.8 million of pretax profit, which is included in the Malaysia operating revenues and $176.6 million of tax benefits included in income taxes. We also had income tax benefit of $120.6 million related to foreign oil and gas investments, $46.3 million of impairments related to the Tahoe field in the Gulf of Mexico and Canadian goodwill assets, and $59.6 million related to the write-off of previously suspended exploration wells. These, and other items affecting comparability of earnings between periods, are listed in the schedule of adjusted earnings included as part of our earnings release. Unless stated otherwise, all of these figures are on an after-tax basis. 
Earnings in the 2014 quarter were negatively impacted by significantly lower realized sales prices for crude oil and natural gas liquids, the effects of which were partially offset by higher production levels. Crude oil and gas liquids production averaged approximately 173,000 barrels per day in the 2014 quarter compared to just under 140,000 barrels a day in 2013. The increase is primarily a result of ongoing drilling in Eagle Ford Shale and the current U.S. start up in the Dalmatian field in the Gulf of Mexico. Natural gas files of 540 million cubic feet a day in the 2014 quarter compared to 399 million cubic feet a day in '13 with the increase primarily due to higher production from Dalmatian, Eagle Ford Shale and Tupper area Western Canada and the Kikeh in Malaysia. 
In our corporate segment, we had net charges of $25 million for the fourth quarter of 2014 compared to net charges of $62 million in the fourth quarter of last year. Decreased cost in 2014 primarily relates to favorable results from transactions to and foreign currencies and lower administrative cost partially offset by higher net interest cost. 
Capital expenditures for continuing operations for 2014 totaled $3.76 billion. For 2015, our CapEx is expected to total $2.3 billion. Of that, approximately 1.9 is for development projects and approximately $380 million is to be spent on exploration activities. This assumes WTI pricing of $52.50 per barrels and Henry Hub pricing of $3 per Mcf. The year end 2014 Murphy's long-term debt amounted to approximately $2.54 billion, and this included about $290 million related to the Kakap SPS lease for 22.7% of total capital employed. And with that, I'll turn it over to Roger."
290060,281086705,751345,"Murphy Oil Corporation, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Murphy Oil Corporation","Executives","Hello, everyone. Before we get started today on our usual update, I want to a moment recognize Kevin. As we announced previously, he's retiring from the company in the February, after 32 years of service. This is Kevin's 77th consecutive call at Murphy da",118,"Hello, everyone. Before we get started today on our usual update, I want to a moment recognize Kevin. As we announced previously, he's retiring from the company in the February, after 32 years of service. This is Kevin's 77th consecutive call at Murphy dating back to 1996. A feat I do not think will be broken again. Kevin, I want to thank you for your long-term dedicated service to Murphy and wish you well in retirement. I'm sure you'll miss the fun of working with me personally on call preparations, especially when we have a great quarter and we go down 10%. I'm sure you'll continue to listen in, but I will not be taking questions from you."
290060,281086705,751345,"Murphy Oil Corporation, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Murphy Oil Corporation","Executives","I appreciate the comments, Roger. Thank you.",7,"I appreciate the comments, Roger. Thank you."
290060,281086705,751345,"Murphy Oil Corporation, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Murphy Oil Corporation","Executives","As we get into highlights for the quarter and the year, we continue to make progress in portfolio optimization. We closed the sale of 30% [ph] of our the Malaysian business for $2 billion in 2 phases: One announced on December 18 at 20%; and the just comp",2545,"As we get into highlights for the quarter and the year, we continue to make progress in portfolio optimization. We closed the sale of 30% [ph] of our the Malaysian business for $2 billion in 2 phases: One announced on December 18 at 20%; and the just completed Phase 2 for 10% which was announced publicly this morning. The completed the sale of the U.K. retail gasoline business, we initiated decommissioning of the Milford Haven refinery processing units with divestment of the terminal assets on word. We divested our small non-operated interest in South Louisiana and Alaska for cash proceeds of approximately $6 million. We built a balance sheet at the end of 2014 with a net debt to total cap ratio of 13.5%, which includes $1.6 billion -- $1.65 billion of cash and invested cash located across our business. We set a quarterly production record of 258,868 barrels of oil equivalent per day. We set an annual production record of 225,973 barrels equivalent per day, up 10% from 2013. We recorded total proved reserve replacement of 180%. We achieved First Oil at 3 new deepwater fields at Siakap North-Petai and Kakap-Gumusut in Malaysia and Dalmatian in the Gulf of Mexico. We sanctioned the Block H Malaysia floating LNG project and increased production in Eagle Ford Shale to a level near 57,000 barrel equivalent per day for the year, with over 500 operating wells. We repurchased 375 million of company common stock. We authorized an additional $500 million share repurchase and increased the regular dividend by 12% to $1.40 per share. 
When we look at prices, the drop in benchmark prices from third quarter to fourth quarter was near $25 a barrel. We sell fourth quarter realized oil prices in our Malaysian business near $67 per barrel, in great contrast to the third quarter prices in this year and fourth of last year. Our oil index SK Gas averaged near $5.50 per Mcf in the quarter. 
Moving to United States. The Eagle Ford Shale oil prices were over $78 from quarter, including the impact of our WTI hedging program, which finished up at year end. I realized oil prices in Gulf of Mexico averaged near $73 per barrel. In Canada, Syncrude was close to $71 per barrel in Seal, including a hedge and a narrowing heavy differential was near $46.50 per barrel. 
Our global lease operating expense for 2014, excluding Syncrude, is just over $11 per BOE showing an improvement of 24% over 2013. We went into the current price decline within an advantage to our peers on cash flow metrics. We expect to maintain this advantage but at lower level due to the continued decline in commodity prices. 
Looking at production in the fourth quarter. We set a new quarterly record, averaging just over 259,000-barrel equivalent per day, 4% above our guidance of guidance of 250,000 per day for the quarter.  The increase to guidance is primarily attributed to higher gas production in the Montney and Sarawak areas and house and oil production from the Gulf of Mexico and offshore Canada. 
Reduction for the full year averaged just short of 226,000, 10% higher than 2013 and ended up above our 220,000 to 225,000 barrel equivalent range given on July 30. 
The year-on-year growth came from continued ramp up at Eagle Ford Shale and new offshore projects coming online in the Gulf of Mexico and Malaysia. 
In reserves, in 2014, we expect to have reserves at a replacement rate of over 180%. Year-end 2014 reserve volumes represented at reserve life index of R over P of just over 9 years. This is consistent with our 5-year reserve replacement rate of 108% [ph] and is our 9th consecutive year at over 100%, and during this time, we increased production since 2006 by 125%. 
As we look at our price advantages here, our oil-weighted diverse portfolio has proven to have some benefits as we adjust to the lower price environment. Our Gulf of Mexico, Eagle Ford Shale and Malaysia oil prices compared well to many of the onshore shale regions in United States. 
In Eagle Ford Shale, we're oil-weighted with very little condensate and a proximity to the Gulf of Mexico's beneficial compared to some of the Mid-Continent crudes. 
Looking at our global offshore operations in Malaysia. Following customary reclosing and adjustments we have realized cash proceeds of  approximately  $1.87 billion on the 30% sale of our Malaysian assets. Production offshore Sabah near 46,500-barrel equivalent per day for the fourth quarter with 85% liquids. The Kakap-Gumusut main project declared first oil in October 14. The project has demonstrated excellent performance with production ramping up over the fourth quarter into this year with rates reaching 120,000 barrels per day gross. 
In shallow water offshore Sarawak, gas production in the fourth quarter was 177 million cubic feet per day with higher-than-expected nominations into the LNG facility. Sarawak liquids production was just over 23,000 barrels per day for the quarter. Drilling continues at the South Acis field where we've delivered 2 oil wells and drilled 4 water injectors during the fourth quarter. 
In the Gulf of Mexico, production for the quarter was near 32,400-barrel equivalent per day with 65% liquids. We continue to progress our subsea 2 well expansion project at Medusa and Mississippi Canyon where we have a 60% working interest. The first subsea well has been drilled to plan, and we are continuing with drilling the second well and subsea back to Medusa facility. First production from the new wells is expected by mid-year. 
At the nonoperated Kodiak development, where we held a 29% working interest, drilling continues on the initial development well with First Oil targeted in the first half of 2016. We're pleased with the paid results seen on the well so far. 
In North American onshore business at the Montney, Tupper gas fields in Western Canada, our fourth quarter production was 186 million cubic feet per day, up from 146 million per day in the third quarter as we added 8 new wells. We currently have 3 rigs and 1 completion spread in operation but reduced the rig count to 0 b the middle of February as a reduced capital spending across the company and across lower rate of return projects. 
We brought 8 new wells online in quarter 4, expected to deliver 9 wells in 2015. We have seen excellent results utilizing our new completion in short management strategy, which may lead to improved EUR on future wells. We have approximately 65 million cubic feet per day of gas hedged and near CAD 4.10 Aco [ph] for 2015. 
In the Eagle Ford Shale, the fourth quarter production averaged near 64,300-barrel equivalent per day net at 90% liquids, up from 60,500-barrel equivalent per day in the third quarter as we brought on 54 wells. The full year average of production at Eagle Ford Shale was just under 57,000 barrel equivalent per day, up from near 39,000-barrel equivalent per day in 2013. We have reduced our rig count in Eagle Ford Shale from a high of 8 in September to 5 today, and we plan to be at 4 rigs by early March as we release rigs due to capital constraints and falling commodity prices. 
We're now using 2 completion spreads down from 3 in December and expect to average 1.6 spreads this year. Production in the fourth quarter of 2015 is estimated to average 62,000 [ph]barrel equivalent per day, with 45 new wells coming online. We're now estimating full year production near 57,000-barrel equivalent per day, flat to the prior year, based on bringing on 118 new wells, down approximately 100 wells from 2014. We continue to see positive results from our downspacing in staggered well testing across the play, our current focus is on managing capital spending and operating expenses. The long-term value of our Eagle Ford position is bolstered by our early entry into the play at an average lease cost of approximately $2,000 per acre. 
We continue to execute well in Eagle Ford Shale. We built a strong team in execution to build an onshore business and growing production to current levels from our entry into the play in 2009 by lowering our drilling and completion and lease operating expenses each year. 
As we look at guidance. First quarter guidance for 2015 is detailed in our earnings release and on the Slide #14 today. We expect production to be near 221,000 barrels equivalent per day, with sales targeted 230,000-barrel equivalent per day with the over lift coming primarily from Malaysia. 
Exploration expense for the quarter is estimated at $108 million, includes $50 million potential dry hole cost for and the Gulf of Mexico and 3 Perth Basin wells in Australia and 24 million for J&J expenses globally. The full year production guidance range is 195,000 to 207,000 barrel equivalent per day, and I will provide more detail on this shortly.
Looking at CapEx in 2015. Our current budget for capital spending and production guidance is based an average oil prices for the year of $52 WTI; $57 Brent; and $3 Henry Hub. Further declines in price may result in changes to our guidance. We're forecasting our capital expenditures -- expenditures to be $2.3 billion, down approximately 33% in the 2014 pro forma of $3.5 billion when calculating up to the Malaysian sales. 
The bulk of our spending will be in development drilling and field projects with 17% of our capital allocated to exploration program, of which 266 million or near 75% is allocated to exploration drilling. The projected development spend were approximately $1.9 billion is split between our global offshore business at 45% and North American onshore at 55%. 
Most significantly, we're cutting our Eagle Ford Shale CapEx by 46% compared to 2014 spending with the reduction in rigs from 8 in September to hopefully 4 mid-March. 
In our exploration program in the Gulf of Mexico, we're currently drilling the operated Urca prospect in Mississippi Canyon 697 where we formed down from 50% to 35% working interest. We expect to reach by mid-February. This middle massing target is pre-geo gross meaning resource size of 130 million barrels. 
In Australia, we spread the first of 3 wells in our Perth Basin in January 22 where we operate with 40% working interest. We're testing a total of 280 million barrels of gross mean resource across 3 wells.  The 3D seismic program in our Australian Block in the Ceduna basin is now over 50% complete and we expect to finish that in the near term. 
Looking at the rest of our 2015 program. We plan to drill up to 4 wells in the Gulf, testing 620 million barrels equivalent gross mean resource. We will drill 5 wells in Southeast Asia, in Malaysia and Brunei to test 350 million gross mean resource. 
Overall, the 2015 program will test a net mean resource of near 190 million-barrel equivalent for $266 million in exploration drilling capital. 
As you look at production in 2015. We're guiding to a 2015 production range of 195,000 to 207,000 barrel equivalent per day in that year. The mid point of this range are 201,000 would place us with a slight growth over the 2014 pro forma with the 33% budget reduction in 2014 to '15, including a 46% reduction in Eagle Ford Shale capital year-on-year. 
As we look in 2015 post the sale down, we have both near quarter autumns and entire year autumns further impacting production. As a starting point, our fourth quarter average of near 259,000 equivalent will be lower to 231,000, and the 2014 annual production of near 226,000-barrel equivalent per day is adjusted to just under 200,000, both on a pro forma basis as sold down in Malaysia. 
Looking at the first quarter, we see Sabah being higher with the ramp up in the Kakap-Gumusut main project and new wells coming on to Kikeh. In the Gulf of Mexico, planned outages of nonoperated have narrowed in our Medusa field impact quarterly production rates. The rest of the decrease is attributed to assumed lower gas nominations in Sarawak and rig cuts for capital reduction starting to impact our North American onshore business. 
Typically, the fourth quarter is a high production period with no planned turnaround or outages schedule. Over the course of the full year, we have planned outages for maintenance for typically scheduled during better weather in the middle of the year. In addition, we continue risk production and nomination levels of both operated and the nonoperated facilities that we do not control. 
Moving to the full year, both Kakap-Gumusut and Siakap North-Petai will contribute to the entire year when compared to 2014. Full year contribution from Dalmatian and the mid-year start-up of Medusa expansion add to this year, but is offset with the expected shut in of the field, along with planned outages in field declines. Year-on-year, we see a slight increase in Montney production despite the fall off from the quarter high in 2014 in fourth quarters. We're seeing production decline in the heavy oilfields. We shut in uneconomic wells at this lower price levels. 
As to liquidity, we're starting off 2015 in very good financial shape, with our balance sheet and cash positions  bolstered by recent the sell down of our Malaysian business. We are well positioned with flexibility and optionality to carry out our 2015 plan of intention to operate in capital cost reduction, maintain the current dividend, manage our U.S. cash position, take advantage of opportunities that may arise during this downturn and increase our activity level when prices recover. 
As to take away -- as we look back in 2014, we impact our shareholders positively with share buybacks as well as increasing our dividend. And again, increase and replace production now for 9 years in a row. Our reserve replacement history continues at over 180%. I feel the current downturn in prices and associated capital reductions gives us the recalibration point to production, and we plan to take advantage of this change, with recent results showing improvement and meeting production guidance. 
Our onshore North American business has become very significant, representing near 45% [ph] of our 2014 production levels. Our early entry at low cost in the Eagle Ford Shale will now show the value of the play going forward. Our plan is to maintain our Eagle Ford Shale 2014 production level flat in 2015 with a 46% reduction in capital spending year-on-year. We've made many changes in senior personnel in process and our explanation business. We are confident our plans to test near 190 million barrels equivalent this year's program as well as evaluate new opportunities that will come available in this downturn. 
We went into the current price collapse of the cash flow per barrel advantage to our peers, which will continue. Late 2013, we set out to mark the value of our Malaysian business and removed some concentration risk as well as hopefully do further portfolio optimization work. That timely closing positions us very well to maintain flexibility from a balance sheet perspective. Our company has survived prior price drops with a conservative balance sheet, diverse producing assets and exploration base growth strategy as stood the test the time. I will not be glad to take your questions. Thank you."
290060,281086705,751345,"Murphy Oil Corporation, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Murphy Oil Corporation","Operator","[Operator Instructions] And we will take our first question from Leo Mariani at RBC.",14,"[Operator Instructions] And we will take our first question from Leo Mariani at RBC."
290060,281086705,751345,"Murphy Oil Corporation, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Murphy Oil Corporation","Analysts","I was hoping you could all speak to uses of the cash in Malaysia. Obviously, you gotten the proceeds at this point. Can you talk about how you're thinking about using that and how you would prioritize the uses?",39,"I was hoping you could all speak to uses of the cash in Malaysia. Obviously, you gotten the proceeds at this point. Can you talk about how you're thinking about using that and how you would prioritize the uses?"
290060,281086705,751345,"Murphy Oil Corporation, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Murphy Oil Corporation","Executives","Well, right now, we just -- it's been a very complicated long closing process, which I said in my comments, it takes a long time to sell these big assets for these being premiums, it's quite a complicated set of assets. Our team did an incredible job clos",211,"Well, right now, we just -- it's been a very complicated long closing process, which I said in my comments, it takes a long time to sell these big assets for these being premiums, it's quite a complicated set of assets. Our team did an incredible job closing and getting all these data together and all the improvements necessary. So I am very happy with that. Just getting in the last piece of today, Leo, during a pretty big price collapse there. So what we've been doing is late, quite honestly, is working real hard on our budget, getting our budget to the lowest level we think we can go until we see this price recovery get better. And we -- obviously, we all know where the opportunities will be. The M&A opportunity or share repurchase looking a lot of opportunity, I think the opportunity set today has been reduced some buy onshore players pulling many of those deals, and we'll have to see a calibration in the false behind so price there, our word in the aspect of it or some slowdown and stability in crude. So our plan is to hunker down and monitor all that right now and not just stay in what the plans are, quite frankly."
290060,281086705,751345,"Murphy Oil Corporation, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Murphy Oil Corporation","Analysts","All right. In your prepared comments, you spoke about your budget being based on, I guess, 52 50, 57 and 3 bucks. Can you talk as to where you would pull back some of the capital to the extent that price will stay longer? And then alternatively can you sp",85,"All right. In your prepared comments, you spoke about your budget being based on, I guess, 52 50, 57 and 3 bucks. Can you talk as to where you would pull back some of the capital to the extent that price will stay longer? And then alternatively can you speak to an acceleration case if we do that the recovery at some point during '15 and where you pull back and where you would add capital and maybe just kind of talk through some scenarios."
